EY comment,EY current paragraph
"<b>אלא הפרישם במנין.</b> והא דלא מנה אותם ג""כ מבן עשרים. הוא מפני שאילו היה מנין שבט לוי מבן עשרים שנה ומעלה כשאר השבטים היו נכללים גם הם בכלל הגזרה. אף אם היו השבטים סך לעצמן ושבט לוי סך לעצמו. ולפ""ז פי' אך את מטה לוי לא תפקוד וגו' בתוך בני ישראל באותו מנין שפקדת את ישראל דהיינו מבן עשרים שנה ומעלה (מזרחי) וע' לקמן פ""ג סי' ח'.",Bemidbar Rabbah 1:11
<b>אף בלשון כו'.</b> כי היכי דלא לישתמע סב רישא דפלניא.,Bemidbar Rabbah 1:11
<b>פלטינין היו.</b> פלטון בלשון רומיי היכל וארמון. ובני היכל מלך נקראו פלטיני (מוסף הערוך).,Bemidbar Rabbah 1:12
<b>לפרופסיטוט.</b> בלשון רומיי שר ונגיד (מוסף הערוך).,Bemidbar Rabbah 1:12
<b>שאין שבחו של מלך שימנה לגיונו עם הלגיונות.</b> שמפני שהם לגיון של מלך אין ראוי שיהיה מנינם מבן עשרים שנה ומעלה כמנין שאר השבטים. ולכן מנה שאר השבטים מבני כ' ומעלה ושבט לוי מבן חדש ומעלה. שבזה יהיה נבדל שבט לוי משאר השבטים ונהיה שבט לוי מין בפני עצמו ושאר השבטים מין בפני עצמו (מזרחי).,Bemidbar Rabbah 1:12
"<b>ואתה הפקד את הלוים.</b> מפרש הפקד לשון פקיד ושר. ר""ל שא""ל הקב""ה ואתה תמנה את הלוים על משכן העדות. הרי שפלטינין היו.",Bemidbar Rabbah 1:12
<b>הדא הוא דכתיב ואת ראשם לא תשא.</b> וכדפירש לעיל סב רישא דפלן.,Bemidbar Rabbah 1:12
"<b>והיו לי הלוים.</b> במדבר ח. וכדאיתא בויקרא רבה פ' ב סימן ג' בכל מקום שנאמר לי אינו זז לעולם לא בעולם הזה ולא לעולם הבא עכ""ל. והטעם שבאומר לי הוא תולה אותו בהקב""ה. וכשם שהוא קיים כך זה שנאמר בו לי קיים.",Bemidbar Rabbah 1:12
<b>ולא עוד כן אלא לפי שנמצאו כו'.</b> פי' ולא מחמת זה הדבר הגדול שעשו שמסרו עצמן על קדושת שמי. אלא אפילו מחמת זה הדבר הקטן שלא עבדו העגל ראוין הם שיהיו נאמני ביתי.,Bemidbar Rabbah 1:12
"<b>כל מי שנדבק.</b> צ""ל שנבדק. וכן להלן ביהושע צ""ל כן. וכן הוא במדרשים ישנים.",Bemidbar Rabbah 1:12
"<b>אהבו לעולם.</b> כלומר אף לזרעם אחריהם. ויותן לו שכרו מדה במדה. בדבר אשר נדבק נפשו בו. כמו יהושע שהתחזק עצמו במלחמת עמלק. על כן זאת שכרו שמשבטו יצא מכה בעמלק ע""ד שכר מצוה מצוה.",Bemidbar Rabbah 1:12
<b>מני אפרים שרשם בעמלק.</b> ומסיים בילקוט מני אפרים בלבד לשרש ביצתו של עמלק. ופי' ממני ומלבי שאפרים בלבד ישרש ביצתו כו'.,Bemidbar Rabbah 1:12
"<b>האומר לאביו ולאמו לא ראיתיו.</b> ופירש""י בחומש כשחטאו בעגל ואמרתי מי לה' אלי נאספו אלי כל בני לוי וצויתים להרוג את אבי אמו והוא מישראל. או את אחיו מאמו. או בן בתו. וכן עשו. ואי אפשר לפרש אביו ממש ואמו ממש ואחיו מאביו וכן בניו ממש. שהרי לוים היו. ומשבט לוי לא חטא אחד מהם שנאמר ויאספו אליו כל בני לוי ע""כ.",Bemidbar Rabbah 1:12
<b>בני פלטירי.</b> פי' חשובים ובני פלטרין שלי שיהיו ממונים על המשכן.,Bemidbar Rabbah 1:12
"<b>ולא תאמר שלא יגעו בו ישראל אלא בשעת הקמתו ובשעת פירוקו לבד. אבל בשעת המחנות יגעו. אלא אף בשעת המחנות לא יקרבו.</b> כצ""ל (א""א).",Bemidbar Rabbah 1:12
"<b>שריחקו עצמן כו'.</b> עשו בלב שלם הואיל והוא צווי ה'. וזהו דכתיב ככל אשר צוה ה' כן עשו (ש""ך על התורה).",Bemidbar Rabbah 1:12
"<b>משה ואהרן שוים בדיבור.</b> שבי""ח פעמים כתיב וידבר ה' אל משה ואל אהרן.",Bemidbar Rabbah 2:1
"<b>מג' אבות הראשונים אתה מוצא.</b> כצ""ל (א""א).",Bemidbar Rabbah 2:1
<b>וישכם אברהם בבקר אל המקום אשר עמד שם לפני ה'.</b> והוא (בראשית יט).,Bemidbar Rabbah 2:1
"<b>ויצא יצחק לשוח בשדה ואין שיחה כו'.</b> בזוהר סדר בא דף יח ע""ב איתא ויצא יצחק לשוח בשדה וכי לא הוי ליה בית או מקום אחר להתפלל. אלא אותו השדה היה אשר קנה אברהם סמוך למערה כו' ובשעתא דהוי יצחק אעיל בגויה חמא שכינתא וכו'. ואברהם אמאי לא הוי מצלי תמן משום דקביעותא דאתרא הוי ליה בקדמיתא וכו' ע""כ.",Bemidbar Rabbah 2:1
"<b>ואין שיחה אלא תפלה שנאמר תפלה כו'.</b> בשאלתות פרשה לך לך איתא שנאמר אשפוך לפניו שיחי. וכן הוא בתוס' ע""ז דף ו' ע""ב ד""ה ואין שיחה.",Bemidbar Rabbah 2:1
"<b>יעקב קבע תפלת הערב.</b> ובודאי שכל השלשה האבות התפללו כל אחד כל השלשה תפלות כל אחת בזמנה ערב ובקר וצהרים. רק מדמצינו בקרא שאברהם התפלל שחרית. ויצחק מנחה. ויעקב מעריב. ע""כ שאף שכל אחד התפלל כל התפלות. מכל מקום בעיקר התקנה לדורות הניח כל אחד מקום להשני לתקן תפלתו לדורות. ולכן כתב בתורה שחרית באברהם ומנחה ביצחק וערבית ביעקב. והדרשנים אומרים סימן לזמניהם לאות שניה משמותם. אברהם ב' כנגד בקר. יצחק צ' כנגד צהרים. יעקב ע' כנגד ערבית (אבודרהם).",Bemidbar Rabbah 2:1
"<b>רמז לי""ח ברכות.</b> שבתפלה ובירושלמי איתא א""ר הונא אם יאמר לך אדם י""ט ברכות אינון אמור לו של מינים קבעו חכמים ביבנה לאחר זמן מרובה. ואנשי כנסת הגדולה לא תקנו רק י""ח.",Bemidbar Rabbah 2:1
"<b>כנגד י""ח אזכרות שכתובות בשמע ישראל.</b> פי' הי""ח ברכות תקנו ג""כ כנגד י""ח אזכרות שבכל הג' פרשיות של ק""ש (ועיין ברכות כח ע""ב) וכנגד י""ח אזכרות שבמזמור לדוד הבו לה' בני אלים. דלכלהו איכוונו מסדרי הברכות ועיין בויקרא רבה פ""א סי' ח'.",Bemidbar Rabbah 2:1
"<b>ג' אבות התקינו כו'.</b> כלומר הג' תפלות בכלל ג' אבות תקנום. ואיכות הברכות ופרטם שהם י""ח. תקנום כנגד משה ואהרן וכנגד י""ח האזכרות. ועיין בתענית דף כח ע""א ברש""י ד""ה הללו.",Bemidbar Rabbah 2:1
"<b>הרי אנו מרננים בישועתך מה שעשית לנו כו'.</b> ר""ל שאין אנו מרננים בישועתינו אלא בישועתך שנתרומם ונתגדל שמך אחר הצער כביכול משעבודנו במצרים ע""ד עמו אנכי בצרה.",Bemidbar Rabbah 2:2
"<b>וישע כתיב.</b> יותר נראה גירסת הספרים דגרסי ויושע כתב כי הוא מלא וא""ו ע""פ המסורת ודרשינן ליה כאילו היה נקוד ויושע היו""ד בחירק והוא""ו בקמץ. כמו שיסד הפייט לגוחה מצויינת ויושע. וכן הוא בתנחומא ס""ס אחרי וכן הובא בילקוט זכריה רמז תקעז בשם תנחומא (מנחת שי) וז""ש כביכול ישראל נגאלין וכאילו הוא נגאל עמהם (כצ""ל).",Bemidbar Rabbah 2:2
"<b>שמו בשמנו ישראל ישר אל.</b> וגם כתיב הראובני השמעוני וכן כל השבטים שה""א בראש השם ויו""ד בסוף השם. הוא שם יה.",Bemidbar Rabbah 2:3
"<b>ועשה אותנו דגלים.</b> שהדגלים שעשו ישראל בסדרן מכוון לענין סדרי המלאכים למעלה ורמוזים עליהם כמ""ש להלן.",Bemidbar Rabbah 2:3
"<b>א""ר אבהו כו' למה הדבר דומה כו'.</b> דריש הביאני אל בית היין אל בית המיוחד ליין. היינו בראות האוהב שאין בו מאומה יין. הביאני שמה. כי נחשבתי לגפן טוב מוציא יין משובח. ונתן דגלו עלי. כי כל הבטתו עלי באהבה. והנמשל מבואר שהעולם אשר עיקר התכלית שיהיו אנשיו עובדי ה'. אך כולם פנו לרעה. רק עלי הביט שאני מוכנת לזה ולכן נתן דגלו זו התורה עלי למען אתיישר ע""י זה להיות מוכנת לדיבוק ובזכותי עומד האוצר כולו.",Bemidbar Rabbah 2:3
<b>למרתף הגדול של יין זה סיני.</b> כי הר סיני הוא מקום מוכן להשפעה הגדולה והחזקה אשר כל מיני שמחות נובע רק מזה.,Bemidbar Rabbah 2:3
