Index Title,Rashash on Pesachim
Rashash on Pesachim 6a:3,"<b>גמ' חמצו של נכרי עושה לו מחיצה עשרה טפחים משום הכירא. </b>(ב""ת האחרונות ליתנייהו ברי""ף ורא""ש והוא מוכרח לדעת האחרים פי' שבר""ן ולהה""מ שאביאם) ובר""ן וא""פ כו' וסגי בהכי אע""ג דקביל עליה אחריות כו' והה""מ בפ""ד הביא בשם העיטור והרמב""ן דבלק""ע אחריות לא בעינן מחיצה י' כו' והכא מיירי דוקא בקע""א ע""ש. ולכאורה יפלא דלפ""ז איך יתפרנס הסיפא ואם של הקדש הוא א""צ כו' דכיון דקבל עליו אחריות למה יגרע מש""א לעבור עליו משום ב""י וב""י ונלע""ד דשל גבוה לעולם א""ע אף בקע""א לשיטה זו דכל היכא דאיתא בי גזא דרחמנא איתא עי' חולין (קלט) והוה כקבל אחריות על חמצו של גבוה ברשות גבוה וסמוכין לזה (מב""ק עו) הגונב הקדש מבית בעלים פטור וגונב מבית האיש ולא מבית הקדש הרי דאף שעומד בבית בעלים מ""מ נקרא בית הקדש (ובזה נדחית ראיית הרר""י שבהרא""ש סי' ד' כפי מה שבארתי בחדושי דראייתו מהא דק""ל בית הקדש ה""ה דנקרא בית המפקיד אע""פ שהוא ברשות הנפקד והוא כעין שפי' בו הש""א בתשו' פ""ג דשאני גבוה כדאמרן) ונ""ל עוד ראיה מלעיל דקאמר יכול כו' ולקבל פקדונות מן הנכרי כו' דשביק לבר זוגיה דאתחיל ברישא אבל אתה רואה של אחרים ושל גבוה (וכבר הרגיש בזה התומים סימן ס""ו סקע""א) אלא ודאי דהקדש באמת מותר כנ""ל נכון בעז""ה. שוב ראיתי בירושלמי בפ' כ""ש ה""ב וז""ל א""ת תני לא יראה לך כו' אבל את רואה את לגבוה וא""ת תני אפילו לגבוה כו' תפתר בקדשים שחייב באחריותן כר""ש ע""כ. ואולי י""ל דדוקא לר""ש דס""ל בכהת""כ דבר הגורם לממון כמ""ד וא""כ הוי כדידיה ממש לכן אפילו הוא בבית אחר עובר עליו. אבל לרבנן דדוקא גבי חמץ גלי לן קרא כדלעיל י""ל דאינו אלא כשהוא בביתו (ובט""ז סי' ת""מ סק""ד כתב ג""כ לחלק בין ר""ש לרבנן ולהיפך ע""ש) ולפמש""כ ל""ד הש""א בר""ס ע""ח שכתב בשיטת העיטור והרמב""ן דאע""ג דרבי רחמנא לעבור על ב""י על חמץ של נכרי ושל גבוה בקע""א כו':"
Rashash on Pesachim 6b:1,"<b>גמרא כיון דלאו זמן איסורא הוא </b>(נ""ל דזהו תשובה על בארבע) ולאו זמן ביעורא הוא. (תשובה על בחמש ואפי' לר""י דתולין):"
Rashash on Pesachim 6b:2,"<b>רש""י ד""ה דלאו ברשותיה. אינו שלו. </b>ר""ל דהרי נאסר בהנאה כדפי' לעיל בע""א בד""ה אפי' מר""ה ועי' בב""א שהביא ראיה דאה""נ לא מיקרי שלכם מהא דכתובות אי כו' אף מעשה שבת אסור בהנאה ת""ל לכם שלכם יהא הרחיק ראייתו ולא הביא ממכילתין לקמן (כג) בסוגיא דחזקיה דאיתא שם כ""פ ראיה להתיר הנאה מדכתב לכם שלכם תהא:"
Rashash on Pesachim 6b:3,"<b>תוס' ד""ה ממאי. ותירץ ר""ת כו' ומסיק דיליף כו' ואמירת משה הוה בריש ירחא. </b>ונפלאתי על הסה""ד שכתב בב""א תמ""ט י""ג לחדש ניסן ויצו משה לעשות הפסח במועדו ודע דק""ל מסוגיין על הא דא""ר לוי (גיטין ס) ח' פרשיות נאמרו ביום שהוקם המשכן ולא חשיב פרשת הפסח וא""ל מפני שאין בה חדוש דין לדורות הלא שם כתיב במועדו דדרשינן ליה לקמן (עז) אפי' בשבת וטומאה וע""ש בתד""ה סד""א ובמהרש""א שם:"
Rashash on Pesachim 7a:1,"<b>גמרא הכא בתלמיד היושב לפני רבו כו'. </b>ופירש""י ומפני אימת כו'. נ""ל משום דמעיקרא דהוה ס""ד שכבר נתחמצה הוה א""ש בפשיטות דמשום ביטול ת""ת התירו לו בביטול לחודיה כמו ההולך לשחוט א""פ כו' דלקמן במשנה שלהי פ' א""ע. אבל לפי מאי דמוקי לה השתא בקודם שנתחמצה דאיכא הפסד ממון ה""ל למישרי לבטל ת""ת ולילך לאפותה עי' רש""י (שבת יא) ד""ה אבל אנו וכרי""ש (בברכות לה ב) הנהג בהן מנהג ד""א והרבה עשו כרי""ש ועלתה בידן. [וראיה לזה משו""ע יו""ד סימן רמ""ד ס""ה וסי' י""א ע""ש אך לפ""ז אין מקום להכ""ש שברש""י שבשבת] :"
Rashash on Pesachim 7a:2,"<b>רש""י ד""ה אפי' בחיטי. ואע""ג דאתי איסור כו'. </b>לכאורה כאן א""ש בפשיטות דזה יש כח ביד חכמים לאסור את המותר משום סייג וא""כ ממילא אין כאן שוה פרוטה ועמש""כ (בחולין צו) בתד""ה פלניא:"
Rashash on Pesachim 7a:3,"<b>רש""י ד""ה דיקא נמי. ומשום יו""ט נקיט ביהמ""ד. </b>לע""ד י""ל דאף משום שבת נקיט דאלו בביתו היה מריצה לפני כלבו כיון דעדיין לא נתחמצה או אפילו בחמץ גמור ובי""ד קודם זמן איסורו עי' שו""ע סימן תמ""ד ס""ד ובש""א ר""ס ע""ז:"
Rashash on Pesachim 7a:4,"<b>גמ' ניזול בתר בתרא כו' בירושלים בשעת הרגל מעשר כו'. </b>והקשה בצל""ח דילמא התם משום דאזלינן לחומרא ותירץ משום דאיכא התם חזקה לקולא ואין לומר דמע""ש הוה דשיל""מ דלא מהני רוב וכש""כ חזקה דמעות מעשר לא מיקרי דשיל""מ והב""א הקשה עליו דמ""מ מטבע חשיב ולא בטיל ברוב וא""כ כש""כ דלא תהני ליה חזקה ול""ד כלל דהא אף בדבר חשוב בפריש אזלינן בתר רובא (רק דלא בטיל ברוב מפני חשיבתו) וא""כ בטל הכש""כ ול""ד לדשיל""מ דלא אזלינן ביה בתר רובא אף בפריש כדמייתא הצל""ח מהמ""א ע""ש:"
Rashash on Pesachim 7a:5,"<b>רש""י ד""ה רוב אוכלי בשר. ונותנין אותם לבה""ע בטוה""נ. </b>ק""ל הא משמע (בקדושין נד ב) דליכא אלא חד סתמא כר""י דא""ל מעשר ממון הדיוט הוא ולפי' גם סתמא זו אתיא כוותיה דלר""מ אינו ניתן במתנה כמבואר שם וראיתי להתוי""ט במשנה זו שכתב ע""ד רש""י הללו ונימוקו עמו כו' וע""ש דאין ביאור לדבריו. ונראה דט""ס הוא שהיה כתוב בר""ת וצ""ע ונתחלף להמעתיק הצ' בנ' מפני שיווי תמונתן באותיות רש""י ומלבד זאת אני תמה דמצינו עוד סתם מתני' (בסנהדרין קיא ב) מע""ש וכה""ק יגנוזו דאתיא ג""כ כר""י ע""ש בגמרא (ס""ד קיב קיג) ולכאורה הייתי אומר דבכסף מעשר גם ר""מ מודה וכמ""ש הצל""ח בסוגיין לענין קדושין דאף דהמקדש בפירות מעשר א""מ לר""מ מ""מ בכסף מעשר אפשר דמקודשת (והב""א שכתב דבירושלמי פ""ב דקדושין מבואר דמקדשין בפרוטה של מע""ש ל""ד כלל דהתם הוא לר""י וכדפי' הק""ע) אמנם שם (בסנהדרין קיב ב) איתא רש""א כו' שללה פרט כו' וכסף מעשר. וכן שם בסוה""ע בסוגיא דר""ח מוכח דגם כסף מעשר הוי ממון גבוה ועמש""כ שם. וכ""מ בירושלמי פ""א דדמאי על משנת חלת ע""ה כו' תני וכולן שקרא שם כו' אין כר""מ היא מעשר היא שירי מנחות כו' ע""ש:"
Rashash on Pesachim 7a:6,"<b>ואני </b>תמה עוד בסוגיא דקדושין הנ""ל דהא סתמי דמתניתין ברפ""א ורפ""ג דמע""ש אבל נותנין זל""ז מתנת חנם אתיין נמי כר""י דמה שהביא הר""ש ברפ""א שם בשם הירושלמי דהיינו במזמינו על שולחנו בירושלמי שלפנינו אין שום רמז לזה וע""ש בשנ""א אלא דהירושלמי סובר דבמתנה אף לר""מ שרי דאינה כמכר לשיטתו בפ' יש בכור (כ""פ הרא""פ ברפ""ב דמעשרות) ור' יוסי ס""ל שם בירושלמי דלענין מע""ש ליתנו במתנה לכ""ע (ר""ל אף לרבנן דפ' יש בכור דס""ל דהוה כמכר) שרי. אבל גמרא דילן שם בקדושין ס""ל דלכ""ע אסור ליתנו במתנה למ""ד ממון גבוה הוא וא""כ ע""כ הני מתניתי אתיין כר""י (ואני תמה על הרמב""ם שפסק בפ""ג מהל' מע""ש הי""ז דא""נ במתנה ובהל' י""ח כתב אבל אומר לו הא לך יין שאין לי שמן כו' הלא זה מתנה גמורה) וליישב זאת נ""ל אשר כולהי מתניתי דס' זרעים כחדא חשבינן להו ותדע דקאמר שם הכא תרי סתמי והרי מתניתין דכרם רבעי הוזכרה ג""פ בפאה ובמע""ש ובעדיות ובפ""א דתרומות מ""ה ולא ממע""ש כו' שנפדו ופי' הר""ש דמתניתין ר""מ היא כו' ונ""ל דלזה נתכוון רש""י שכתב חדא בסדר זרעים וחדא בעדיות עי' (יבמות עג) בתד""ה נכסי כהן של""כ כן:"
Rashash on Pesachim 7b:1,"<b>גמרא מציאה ממציאה כו'. </b>נ""ל דר""ל ודלפינן דכוונת הכתוב שלא ימצא אפי' ע""י חפוש דנר ולכן ממילא צריך לבדוק מקודם בחפוש כזה:"
Rashash on Pesachim 7b:2,"<b>רש""י ד""ה פסח. הבעלים נצטוו כו'. </b>לכאורה מזה סתירה להש""ך בחו""מ שפ""ב סק""ד שכתב דמי שהוא מוהל אינו רשאי ליתן לאחר את בנו למוהלו ומבטל בזה מ""ע. הרי שחיטת קדשים דג""כ נצטוו בעליו ובכולי הש""ס מוכח דכהנים היו רגילין לשחוט. ועי' מש""כ בברכות (לא ב) אמנם ק""ל הרי במנחות (יט) אמרי' אי מה כו' אף שחיטה בבעלים וההוא לא מצית אמרת כו'. וצ""ל דהתם הכוונה שאינה לעיכובא אבל מ""מ מצוה בבעלים והעיקר נ""ל דכונת רש""י שהבעלים נצטוו שישתדלו בשחיטת קרבנם אם ע""י עצמו או ע""י שלוחן:"
Rashash on Pesachim 7b:3,"<b>רש""י ד""ה ונרות מנר. דכתיב בנר יחידי כו'. </b>עיין בחדושי אנ""ש שבגליון הרי""ף:"
Rashash on Pesachim 8b:1,"<b>גמרא ניזל מאי כו'. </b>ק""ק מיומא (עז ב) דשרי שם כה""ג מטעמא כדי שלא תהא מכשילן לע""ל. ועי' ביצה (יא ב):"
Rashash on Pesachim 8b:2,"<b>גמ' ולא יחמוד איש כו'. ואין חיה כו' ואין חולדה כו'. </b>דמצינו לשון איש גם על שארי ב""ח זולת האדם (בראשית ז ב) וכן ביריעות אשה אל אחותה (שמות כו) עי' פירש""י שם:"
Rashash on Pesachim 8b:3,"<b>גמ' והא חיצונות קתני. </b>כצ""ל:"
Rashash on Pesachim 8b:4,"<b>רש""י ד""ה פירות גינוסר. והיינו כנרת. </b>כ""ה במגילה (ו):"
Rashash on Pesachim 8b:5,"<b>רש""י ד""ה וריו""ח. ובודק כו' העליונות ע""פ כל ארכו ורחבו כו'. </b>הא דלא פי' ג""כ בשורה החיצונה שהיא ע""פ כל רחבו משום דסמיך על מה שפי' בה כבר בדברי רב יהודה דבה לא פליגי. והתוי""ט נדחק בזה והרע""ב נמשך אחר לשון רש""י:"
Rashash on Pesachim 9a:1,"<b>גמרא והתניא כו' מגורה מלאה פירות כו'. </b>הב""א חתר למצוא ראיות שתבואה נכללת בשם פירות. ושכח ראיה ממכילתין (נג) ולא מפירות שבעמקים ופי' רש""י תבואות דגן כו'. ובביצה (טו ב) ופירותיה משתמרין ופירש""י בשדה לבן קאמר ומשתמרת התבואה כו'. ובב""ב (צג ב) משנה המוכר פירות כו' ופי' רשב""ם תבואה. ובברייתא שם המוכר פירות לחבירו חטין כו' שעורים כו'. וברפ""ג דמכשירין שק שהוא מלא פירות ופי' הרמב""ם דר""ל זרעים כו'. וראיה יותר ברורה מרפ""ב דחלה פירות חו""ל כו' חייבים בחלה. ובזה נדחה ראיית המגיה במל""מ פ""ג מהלכות תרומות הי""ד מהא דמקשי התוס' מהמפקיד פירות כו' ע""ש וכ""מ מפירש""י שם ד""ה בכדי חסרונן ע""ש. ובלא""ה ראייתו איננה דהרי בברייתא שם איתא ג""כ יין והחמיץ כו' ה""ז לא יגע בהן וא""ל דקושיית התוס' הוא מיין:"
Rashash on Pesachim 9a:2,"<b>רש""י במשנה כשבדק זוית זו. </b>כצ""ל:"
Rashash on Pesachim 9a:3,"<b>רש""י ד""ה שא""כ. ולא חצר ממש כו'. </b>כוונתו דלא תקשי מדלעיל (ח) חצר א""צ בדיקה:"
Rashash on Pesachim 9a:4,"<b>רש""י ד""ה מי לא תנן. במגע ובמשא מודה. </b>נראה דר""ל וחיישינן שמא יאהיל על הקבר וזה מיקרי מגע כדמוכח ברפ""ג דאהלות וכרבא בחולין (קכה ב) דאפילו למעלה מטפח מיקרי מגע. והתוי""ט במשנה זו לא ירד לזה ע""ש:"
Rashash on Pesachim 9a:5,"<b>רש""י ד""ה ואב""א. ואח""כ זרה ומירח וחובת כו'. </b>כ""נ דצ""ל:"
Rashash on Pesachim 9a:6,"<b>בא""ד ואי תימא נהי דלא חייל כו'. </b>כצ""ל:"
Rashash on Pesachim 9b:1,"<b>רש""י ד""ה הרי אלו מותרין. פירות של קופת החולין כו'. </b>כצ""ל:"
Rashash on Pesachim 10a:1,"<b>גמרא [ספק על ספק לא על היינו בקעה כו'. </b>עפירש""י ונראה דאפי' ודאי על וספק מצה ספק חמץ הוה כספק על כדמוכח בעבודת כוכבים (ע) ובתוס' ב""ב (נה ב) ד""ה ר""א ה""א ע""ש] :"
Rashash on Pesachim 10a:2,"<b>גמ' הניח תשע ומצא עשר פלוגתא דר' כו'. </b>לפמש""כ רש""י ותוס' בביצה בטעמא דרבנן שאין אדם מניח חולין ומעשר ביחד. יקשה מאד הדמיון דהכא:"
Rashash on Pesachim 10b:1,"<b>תד""ה או דילמא. דמסתמא הראשון נשאר כו'. </b>כצ""ל:"
