Hebrew,English
מצות ב"ד לדון גנב בתשלומין או במיתה,<English Translation Here>
מצות ב"ד לדון בנזקי הבער,<English Translation Here>
מצות ב"ד לדון בנזקי האש,<English Translation Here>
מצות ב"ד לדון בדין שומר חנם,<English Translation Here>
מצות ב"ד לדון בדין טוען ונטען,<English Translation Here>
מצות ב"ד לדון בדין נושא שכר ושוכר,<English Translation Here>
מצות ב"ד לדון בדין השואל,<English Translation Here>
מצות ב"ד לדון בדין מפתה,<English Translation Here>
שלא להחיות מכשפה,<English Translation Here>
שלא להונות הגר בדברים,<English Translation Here>
שלא להונות הגר בממון,<English Translation Here>
שלא לענות יתום ואלמנה,<English Translation Here>
מצות הלואה לעני,<English Translation Here>
שלא נתבע חוב מעני שאין לו מה לפורעו,<English Translation Here>
שלא נשית יד בין לוה למלוה ברבית,<English Translation Here>
שלא לקלל הדיין,<English Translation Here>
לאו דברכת השם,<English Translation Here>
שלא לקלל הנשיא,<English Translation Here>
שלא להקדים חקי התבואות,<English Translation Here>
שלא לאכול טריפה,<English Translation Here>
שלא לשמוע טענת בעל דין שלא בפני בעל דינו,<English Translation Here>
שלא יעיד בעל עבירה,<English Translation Here>
שלא לנטות אחרי רבים בדיני נפשות בשביל אחד,<English Translation Here>
שלא ילמד חובה מי שלמד זכות תחלה בדיני נפשות,<English Translation Here>
מצות הטייה אחרי רבים,<English Translation Here>
שלא לרחם על עני בדין,<English Translation Here>
מצות פירוק משא,<English Translation Here>
שלא להטות משפט רשע,<English Translation Here>
שלא לחתוך הדין באומד הדעת,<English Translation Here>
שלא ליקח שוחד,<English Translation Here>
מצות שמטת קרקעות,<English Translation Here>
מצות שביתה בשבת,<English Translation Here>
שלא לישבע בע"א,<English Translation Here>
שלא להדיח בני ישראל אחר הע"א,<English Translation Here>
מצות חגיגה ברגלים,<English Translation Here>
שלא נשחט שה הפסח בי"ד בניסן בעוד שהחמץ ברשותינו,<English Translation Here>
שלא להניח אימורי הפסח לפסול בלינה,<English Translation Here>
מצות הבאת בכורים,<English Translation Here>
שלא לבשל בשר בחלב,<English Translation Here>
שלא לכרות ברית לשבעה עממים וכן לכל עובד ע"א,<English Translation Here>
שלא לשכון ע"א בארצנו,<English Translation Here>
מצות בנין בית הבחירה,<English Translation Here>
שלא להוציא בדי הארון ממנו,<English Translation Here>
מצות סידור לחם הפנים ולבונה,<English Translation Here>
מצות עריכת נרות במקדש,<English Translation Here>
מצות לבישת בגדי כהנים,<English Translation Here>
שלא יזח החשן מעל האפוד,<English Translation Here>
שלא לקרוע המעיל של כהנים,<English Translation Here>
מצות אכילת בשר חטאת ואשם,<English Translation Here>
מצות הקטרת קטרת,<English Translation Here>
שלא להקטיר ולהקריב על מזבח הזהב,<English Translation Here>
מצות נתינת מחצית השקל בשנה,<English Translation Here>
מצות קידוש ידים ורגלים בשעת עבודה,<English Translation Here>
מצות שמן המשחה,<English Translation Here>
שלא יסוך זר בשמן המשחה,<English Translation Here>
שלא לעשות במתכונ' שמן המשחה,<English Translation Here>
שלא לעשות במתכונת הקטרת,<English Translation Here>
שלא לאכול ולשתות תקרוב' ע"א,<English Translation Here>
מצות שביתת הארץ בשנת השמיטה,<English Translation Here>
שלא לאכול בשר בחלב,<English Translation Here>
שלא יעשו ב"ד משפט מות בשבת,<English Translation Here>
מצות מעשה העולה,<English Translation Here>
מצות קרבן מנחה,<English Translation Here>
שלא להקריב שאור או דבש,<English Translation Here>
שלא להקריב קרבן בלא מלח,<English Translation Here>
מצות מליחת הקרבן,<English Translation Here>
מצות קרבן ב"ד אם טעו בהוראה,<English Translation Here>
מצות קרבן חטאת ליחיד ששגג במצות ל"ת שחייבין עליה כרת,<English Translation Here>
מצות עדות,<English Translation Here>
מצות קרבן עולה ויורד,<English Translation Here>
שלא להבדיל בחטא' העוף,<English Translation Here>
שלא ליתן שמן זית במנחת חוטא,<English Translation Here>
שלא לתת לבונה במנחה זו שאמרנו,<English Translation Here>
מצות תוספת חומש לאוכל מן ההקדש או מועל בה,<English Translation Here>
מצות קרבן אשם תלוי,<English Translation Here>
מצות אשם ודאי,<English Translation Here>
מצות השבת הגזל,<English Translation Here>
מצות הרמת הדשן,<English Translation Here>
מצות הדלקת אש על המזבח בכל יום,<English Translation Here>
שלא לכבות אש מעל המזבח,<English Translation Here>
מצות אכילת שירי מנחות,<English Translation Here>
שלא לעשות שירי מנחות חמץ,<English Translation Here>
מצות קרבן מנחה של כהן בכל יום,<English Translation Here>
שלא תאכל מנחת כהן,<English Translation Here>
מצות מעשה החטאת,<English Translation Here>
שלא לאכול מבשר חטאות הנעשים בפנים,<English Translation Here>
מצות מעשה האשם,<English Translation Here>
מצות מעשה זבח השלמים,<English Translation Here>
שלא להותיר מבשר קרבן התודה,<English Translation Here>
מצות שריפת נותר הקדשי',<English Translation Here>
שלא לאכול פיגול,<English Translation Here>
שלא לאכול בשר קדשים שנטמא,<English Translation Here>
מצות שריפת בשר קדש שנטמא,<English Translation Here>
שלא נאכל חלב,<English Translation Here>
שלא נאכל דם בהמה חיה ועוף,<English Translation Here>
שלא יכנסו הכהנים למקדש מגודלי שיער,<English Translation Here>
שלא יכנסו הכהנים למקדש קרועי בגדים,<English Translation Here>
שלא יצאו הכהנים מן המקדש בשעת עבודה,<English Translation Here>
שלא להכנס שתויי יין במקדש וכן שלא יורה שתוי,<English Translation Here>
מצות בדיקת סימני בהמה וחיה,<English Translation Here>
שלא לאכול בהמה וחיה טמאה,<English Translation Here>
מצות בדיקת סימני דגים,<English Translation Here>
שלא לאכול דג טמא,<English Translation Here>
שלא לאכול עוף טמא,<English Translation Here>
מצות בדיקת סימני חגבים,<English Translation Here>
מצות טומאת שמנה שרצי',<English Translation Here>
מצות ענין טומאת אוכלים,<English Translation Here>
מצות ענין טומאת נבלה,<English Translation Here>
שלא לאכול שרץ הארץ,<English Translation Here>
שלא לאכול מיני שרצים דקים הנולדים בזרעים ובפירות,<English Translation Here>
שלא לאכול משרץ המים,<English Translation Here>
שלא לאכול מן השרצים המתהוי' מן העיפוש,<English Translation Here>
מצות ענין טומאת יולדת,<English Translation Here>
שלא יאכל טמא מן הקדשי',<English Translation Here>
מצות קרבן יולדת,<English Translation Here>
מצות ענין טומאת מצורע,<English Translation Here>
שלא לגלח שיער הנתק,<English Translation Here>
הנהג' המצורע וכל מטמאי אדם בקריעה ופרימה,<English Translation Here>
מצות ענין נגעי בגדים,<English Translation Here>
מצות הטהרה מן הצרעת שתהיה במינים ידועים,<English Translation Here>
מצות תגלחת מצורע ביום השביעי,<English Translation Here>
מצות טבילה לטמאים,<English Translation Here>
מצות קרבן מצורע כשיתרפא מצרעתו,<English Translation Here>
מצות ענין טומאת בית שיהי' בו נגע,<English Translation Here>
מצות ענין טומאת זב להיות טמא ומטמא,<English Translation Here>
מצות קרבן זב כשיתרפא מזובו,<English Translation Here>
מצות ענין טומאת שכבת זרע שהוא טמא ומטמא,<English Translation Here>
מצות ענין טומאת נדה שטמאה ומטמאה,<English Translation Here>
מצות ענין טומאת זבה שטמאה ומטמאה,<English Translation Here>
מצות קרבן זבה כשתתרפא מזובה,<English Translation Here>
שלא יכנסו הכהנים בכל עת במקדש וכל שכן זרים,<English Translation Here>
מצות עבודת יום הכפורי',<English Translation Here>
שלא לשחוט קדשים חוץ לעזרה,<English Translation Here>
מצות כסוי הדם,<English Translation Here>
שלא להתחתן באחת מכל העריות,<English Translation Here>
שלא לגלות ערות אב,<English Translation Here>
שלא לגלות ערות אם,<English Translation Here>
שלא לגלות ערות אשת אב ואע"פ שאינה אמו,<English Translation Here>
שלא לגלות ערות אחותו בכל צד שהיא אחותו,<English Translation Here>
שלא לגלות ערות בת הבן,<English Translation Here>
שלא לגלות ערות בת הבת,<English Translation Here>
שלא לגלות ערות הבת,<English Translation Here>
שלא לגלות ערות אחותו מן האב והיא בת אשת אביו,<English Translation Here>
שלא לגלות ערות אחות אב,<English Translation Here>
שלא לגלות ערות אחות האם,<English Translation Here>
שלא לבוא על אחי האב,<English Translation Here>
שלא לבוא על אשת אחי האב,<English Translation Here>
שלא לבוא על אשת הבן,<English Translation Here>
שלא לבוא על אשת אח,<English Translation Here>
שלא לבוא על אשה ובתה,<English Translation Here>
שלא לגלות ערות אשה ובת בנה,<English Translation Here>
שלא לגלות ערות אשה ובת בתה,<English Translation Here>
שלא לבוא על שתי אחיות מחיי',<English Translation Here>
שלא לבא על אשה נדה,<English Translation Here>
שלא ליתן מזרעו למולך,<English Translation Here>
שלא לבוא על הזכרים,<English Translation Here>
שלא לשכב עם בהמה,<English Translation Here>
שלא תשכבנה הנשים עם הבהמות,<English Translation Here>
מצות יראת אב ואם,<English Translation Here>
שלא לפנות אחר ע"א לא במחשבה ולא בדיבור ולא אפי' בהבטה,<English Translation Here>
שלא לעשות ע"א לא לעצמו ולא לזולתו,<English Translation Here>
שלא לאכול נותר,<English Translation Here>
להניח פאה בשדה,<English Translation Here>
שלא לכלות הפאה בשדה,<English Translation Here>
לעזוב הלקט בשדה,<English Translation Here>
שלא לקחת שבלי' הנופלים בשעת הקציר,<English Translation Here>
מצות הנחת פאת הכרם,<English Translation Here>
שלא לכלות פאת הכרם,<English Translation Here>
מצות הנחת פרט הכרם,<English Translation Here>
שלא ללקוט פרט הכרם,<English Translation Here>
שלא לגנוב שום ממון,<English Translation Here>
שלא נכחש על ממון שיש מאחד בידינו,<English Translation Here>
שלא לישבע על כפירת ממון,<English Translation Here>
שלא לישבע לשקר,<English Translation Here>
שלא לעשוק,<English Translation Here>
שלא לגזול,<English Translation Here>
שלא לאחר שכר שכיר,<English Translation Here>
שלא לקלל אחד מישראל בין איש בין אשה,<English Translation Here>
שלא להכשיל תם בדרך,<English Translation Here>
שלא לעוול המשפט,<English Translation Here>
שלא לכבד גדול בדין,<English Translation Here>
מצוה שישפוט בצדק,<English Translation Here>
שלא לרגל,<English Translation Here>
שלא לעמוד על דם ריעים,<English Translation Here>
שלא לשנא אחים,<English Translation Here>
מצות תוכחה לישראל שאינו נוהג כשורה,<English Translation Here>
שלא להלבין פני אדם מישראל,<English Translation Here>
שלא לנקום,<English Translation Here>
שלא לנטור,<English Translation Here>
מצות אהבת ישראל,<English Translation Here>
שלא להרביע בהמה מין עם שאינו מינו,<English Translation Here>
שלא לזרוע כלאי זרעים ולא נרכיב אילן בשום מקום בארץ,<English Translation Here>
שלא לאכול ערלה,<English Translation Here>
מצות נטע רבעי,<English Translation Here>
שלא לאכול ולשתות כדרך זולל וסובא,<English Translation Here>
שלא לנחש,<English Translation Here>
שלא לעונן,<English Translation Here>
שלא להקיף פאת הראש,<English Translation Here>
שלא להשחית פאת זקן,<English Translation Here>
שלא לכתוב בבשרינו כתובת קעקע,<English Translation Here>
מצות היראה מן המקדש,<English Translation Here>
שלא לעשות מעשה אוב,<English Translation Here>
שלא לעשות מעשה ידעוני,<English Translation Here>
מצות כיבוד חכמים,<English Translation Here>
שלא להונות במדות וכל המדות בכלל,<English Translation Here>
מצות צידוק המאזנים והמשקלים והמדות,<English Translation Here>
שלא לקלל אב ואם,<English Translation Here>
מצוה שישרפו מי שיתחייב שריפה,<English Translation Here>
שלא ללכת בחקות הגוים,<English Translation Here>
שלא יטמא כהן הדיוט במת זולת בקרובים המבוארים בכתוב,<English Translation Here>
מצות עניין טומאת הכהנים לקרוביהם ובכללה שיתאבלו כל אחד מישראל על ששה מקרוביהם הידועים,<English Translation Here>
שלא ישמש כהן טבול יום עד שיערב שמשו,<English Translation Here>
שלא ישא כהן אשה זונה,<English Translation Here>
שלא ישא כהן אשה חללה,<English Translation Here>
שלא ישא כהן גרושה,<English Translation Here>
מצות קדוש זרע אהרן,<English Translation Here>
שלא יכנס כ"ג באהל המת,<English Translation Here>
שלא יטמא כ"ג בשום טומאה במת,<English Translation Here>
מצות כ"ג לישא נערה בתולה,<English Translation Here>
שלא ישא כהן גדול אלמנה,<English Translation Here>
שלא יבעול כ"ג אלמנה ואפי' בלא קדושין,<English Translation Here>
שלא יעבוד כהן בעל מום במקדש,<English Translation Here>
שלא יעבוד כהן בעל מום עובר,<English Translation Here>
שלא יכנס בעל מום בהיכל כולו,<English Translation Here>
שלא יעבוד כהן טמא,<English Translation Here>
שלא יאכל כהן טמא תרומ',<English Translation Here>
שלא יאכל שום זר תרומה,<English Translation Here>
שלא יאכל תושב כהן ושכיר תרומה,<English Translation Here>
שלא יאכל ערל תרומה,<English Translation Here>
שלא תאכל חללה מן הקודש,<English Translation Here>
שלא לאכול טבל,<English Translation Here>
שלא נקדיש בעלי מומין למזבח,<English Translation Here>
מצות הקרבן להיות תמים,<English Translation Here>
שלא נתן מום בקדשים,<English Translation Here>
שלא נזרוק דם בע"מ על המזבח,<English Translation Here>
שלא נשחט בע"מ לשם קרבן,<English Translation Here>
שלא נקטיר מאימורי בעלי מומין,<English Translation Here>
שלא לסרס א' מכל המיני',<English Translation Here>
שלא להקריב בע"מ מיד הנכרי,<English Translation Here>
מצות הקרבן שיהיה מח' ימים ולמעלה,<English Translation Here>
שלא לשחוט בהמה ובנה ביום אחד,<English Translation Here>
שלא לעשות דבר שיתחלל בו שם שמים בין בני אדם,<English Translation Here>
מצות קידוש השם,<English Translation Here>
מצות שביתה ביום ראשון של פסח,<English Translation Here>
שלא לעשות מלאכה ביום א' של פסח,<English Translation Here>
מצות קרבן מוסף כל ז' ימי הפסח,<English Translation Here>
מצות שביתה בז' של פסח,<English Translation Here>
שלא לעשות מלאכה ביום ז' של פסח,<English Translation Here>
מצות קרבן העומר של שעורים,<English Translation Here>
שלא לאכול מתבואה חדשה קודם כלות ששה עשר בניסן,<English Translation Here>
שלא לאכול קלי מתבואה חדשה עד היום ההוא,<English Translation Here>
שלא לאכול כרמל מתבואה חדשה עד היום ההוא,<English Translation Here>
מצות ספירת העומר,<English Translation Here>
מצות קרבן מנחה חדשה מן החטים ביום עצרת,<English Translation Here>
מצות שביתה ממלאכה ביום עצרת,<English Translation Here>
שלא לעשות מלאכה ביום חג שבועות,<English Translation Here>
מצות שביתה ביום ר"ה,<English Translation Here>
שלא לעשות מלאכה ביום א' בתשרי,<English Translation Here>
מצות קרבן מוסף ביום ר"ה,<English Translation Here>
מצות תענית ביום עשירי בתשרי,<English Translation Here>
מצות קרבן מוסף של יום הכיפורים,<English Translation Here>
שלא לעשות מלאכה ביו"ד בתשרי,<English Translation Here>
שלא לאכול ולשתות ביה"כ,<English Translation Here>
מצות שביתה ממלאכה ביוה"כ,<English Translation Here>
מצות שביתה ממלאכה ביום ראשון של חג הסוכות,<English Translation Here>
שלא לעשות מלאכה ביום ראשון של חג הסוכות,<English Translation Here>
מצות קרבן מוסף בכל יום מז' ימי הסוכות,<English Translation Here>
מצות שביתה ממלאכה ביום שמיני של סוכות,<English Translation Here>
מצות קרבן מוסף ביום ח' של סוכות שהוא נקרא שמיני עצרת,<English Translation Here>
שלא לעשות מלאכה ביום שמ"ע,<English Translation Here>
מצות נטילת לולב,<English Translation Here>
מצות ישיבת סוכה,<English Translation Here>
שלא נעבוד האדמ' בשנה השביעית,<English Translation Here>
שלא נעשה עבודה גם באילנות,<English Translation Here>
שלא נקצור ספיחי' בשנה השביעית,<English Translation Here>
שלא נאסוף פירות האילן בשביעית כדרך שאוספין אותן בכל שנה,<English Translation Here>
מצות ספירת שבע שבתות שנים,<English Translation Here>
מצות תקיעת שופר ביה"כ,<English Translation Here>
מצות קידוש שנת היובל,<English Translation Here>
שלא נעבוד הארץ בשנת היובל,<English Translation Here>
שלא נקצור ספיחי תבואות של שנת היובל,<English Translation Here>
שלא לאסוף פירו' האילנו' בשנת היובל כדרך שאוספי' אותן בשאר השנים,<English Translation Here>
מצות עשיית דין לוקח ומוכר,<English Translation Here>
שלא להונות במקח וממכר,<English Translation Here>
שלא להונות אחד מישראל בדברים,<English Translation Here>
שלא למכור שדה בא"י לצמיתות,<English Translation Here>
מצות השבת קרקע לבעליהן ביובל,<English Translation Here>
מצות פדיון בתי ערי חומה עד השלמת שנה,<English Translation Here>
שלא לשנות מגרשי ערי הלוים ושדותיהן,<English Translation Here>
שלא להלוות ברבית לישראל,<English Translation Here>
שלא נעבוד בע"ע עבודת בזיון כמו עבודת כנעני,<English Translation Here>
שלא נמכור ע"ע על אבן המקח,<English Translation Here>
שלא לעבוד בע"ע בעבודת פרך,<English Translation Here>
מצות עבודה בעבד כנעני לעולם,<English Translation Here>
שלא להניח לגוי לעבוד בע"ע הנמכר לו,<English Translation Here>
שלא נשתחוה על אבן משכית אפי' לשם,<English Translation Here>
מצות מעריך אדם שיתן דמים הקצובים בתורה,<English Translation Here>
שלא נמיר הקדשים,<English Translation Here>
מצות הממיר בהמת ק' בבהמה אחרת שתהיינה שתיהן קודש,<English Translation Here>
מצות מעריך בהמה שיתן כפי שיעריכנה הכהן,<English Translation Here>
מצות מעריך בתי' שיתן כערך שיעריכנה הכהן ותוס' חומש,<English Translation Here>
מצות מעריך שדה שיתן כערך הקצוב בפרשה,<English Translation Here>
שלא לשנות הקדשים מק' לקרבן,<English Translation Here>
מצות דין מחרי' מנכסיו שהוא לכהנים,<English Translation Here>
שלא ימכור קרקע שהחרימו אותה בעלי' אלא תנתן לכהנים,<English Translation Here>
שלא יגאל שדה החרם,<English Translation Here>
מצות מעשר בהמה טהורה בכל שנה,<English Translation Here>
שלא למכור מעשר בהמה אלא יאכל בירושלים,<English Translation Here>
מצות שילוח טמאי' חוץ למחנה שכינה,<English Translation Here>
שלא יכנס טמא בבהמ"ק,<English Translation Here>
מצות וידוי על החטאת,<English Translation Here>
מצות סוטה שיביאנה הבעל אל הכהן ויעשה לה כמשפט הכתוב,<English Translation Here>
שלא ליתן שמן בקרבן סוט',<English Translation Here>
שלא להשים לבונה בקרבן סוטה,<English Translation Here>
שלא ישתה הנזיר יין או כל מיני שכר,<English Translation Here>
שלא יאכל הנזיר ענבים לחים,<English Translation Here>
שלא יאכל הנזיר צמוקים,<English Translation Here>
שלא יאכל הנזיר גרעיני הענבים,<English Translation Here>
שלא יאכל הנזיר קליפת הענבים,<English Translation Here>
שלא יגלח הנזיר שערו,<English Translation Here>
מצות גידול שיער נזיר,<English Translation Here>
שלא יכנס הנזיר לאהל המת,<English Translation Here>
שלא יטמא הנזיר במת ובשאר טומאות,<English Translation Here>
מצות גילוח הנזיר והבאת קרבנותיו,<English Translation Here>
מצות ברכת כהנים בכ"י,<English Translation Here>
מצות משא הארון בכתף,<English Translation Here>
מצות פסח שני בי"ד באייר,<English Translation Here>
מצות פסח שני שיאכל על מצות ומרורים,<English Translation Here>
שלא להותיר כלום מבשר הפסח שני למחרתו,<English Translation Here>
שלא לשבור עצם מעצמות פסח שני,<English Translation Here>
מצות תקיעת חצוצרות במקדש ובמלחמה,<English Translation Here>
מצות חלה,<English Translation Here>
מצות ציצית,<English Translation Here>
שלא לתור אחר מחשבת הלב וראיית העינים,<English Translation Here>
מצות שמירת המקדש,<English Translation Here>
שלא יתעסקו הכהנים בעבודת הלוים ולא הלוים בעבודת כהנים,<English Translation Here>
שלא יעבוד זר במקדש,<English Translation Here>
שלא לבטל שמירת המקד',<English Translation Here>
מצות פדיון בכור אדם,<English Translation Here>
שלא לפדות בכור בהמה טהורה,<English Translation Here>
מצות עבוד' הלוי' במקד',<English Translation Here>
מצות מעשר ראשון,<English Translation Here>
מצות הלוים לתת מעשר מן המעשר,<English Translation Here>
מצוה פרה אדומה,<English Translation Here>
מצות טומאה של מת,<English Translation Here>
מצות מי נדה שמטמאין אדם טהור ומטהרין טמא מטומאת מת בלבד,<English Translation Here>
מצות דיני נחלות,<English Translation Here>
מצות תמידין בכל יום,<English Translation Here>
מצות קרבן מוסף של שבת,<English Translation Here>
מצות קרבן מוסף בכל חודש וחודש,<English Translation Here>
מצות קרבן מוסף ביום חג השבועות,<English Translation Here>
מצות שופר בראש השנה,<English Translation Here>
מצות דין הפרת נדרים,<English Translation Here>
שלא נחל דברינו בדברים,<English Translation Here>
מצות ישראל לתת ערים ללוים לשבת בהן והן קולטו',<English Translation Here>
שלא להרוג מחוייב קודם שיעמוד בדין,<English Translation Here>
מצות ב"ד לשלוח מכה נפש בשגגה מעירו לערי מקלט ועל הרוצח בעצמו ללכת שם,<English Translation Here>
שלא יורה העד בדין שהעיד בו בדיני נפשות,<English Translation Here>
שלא ליקח כופר להציל ממות הרוצח,<English Translation Here>
שלא נקח כופר ממחוייב גלות לפוטרו מן הגלות,<English Translation Here>
שלא למנות דיין שאינו יודע בדיני תורה,<English Translation Here>
שלא יירא הדיין בדין,<English Translation Here>
שלא להתאות ממון חבירו,<English Translation Here>
מצות אחדות השם,<English Translation Here>
מצות אהבת השם,<English Translation Here>
ללמוד תורה וללמדה,<English Translation Here>
לקרות שמע ב"פ בכל יום,<English Translation Here>
להניח תפילין על היד,<English Translation Here>
להניח תפילין על הראש,<English Translation Here>
לקבוע מזוזה בפתחים,<English Translation Here>
שלא לנסות נביא אמת יותר מדאי,<English Translation Here>
להחרים שבעה עממין,<English Translation Here>
שלא לחון ולרחם על ע"א,<English Translation Here>
שלא להתחתן בע"א,<English Translation Here>
שלא ליהנות מעכו"ם ומשמשיה,<English Translation Here>
שלא ליהנות מתקרובת עכו"ם,<English Translation Here>
לברך השם אחר אכילת מזון,<English Translation Here>
לאהוב את הגרים,<English Translation Here>
לירא מהקב"ה,<English Translation Here>
לעבוד הש"י בתפלה בכל יום,<English Translation Here>
להדבק ביודעי התורה,<English Translation Here>
להשבע בשמו ית' באמת,<English Translation Here>
לאבד ע"ז ומשמשי',<English Translation Here>
שלא לאבד דברי' שנקרא שמו ית' עליהם,<English Translation Here>
שיביא כל נדריו ברגל ראשון,<English Translation Here>
שלא להקריב קרבן חוץ לעזרה,<English Translation Here>
להקריב כל הקרבנו' בבית הבחירה,<English Translation Here>
לפדות קדשים שנפל בהם מום,<English Translation Here>
שלא לאכול מעשר שני של דגן חוץ לירושלים,<English Translation Here>
שלא לאכול מעשר שני של תירוש חוץ לירושלים,<English Translation Here>
שלא לאכול מעשר שני של יצהר חוץ לירושלים,<English Translation Here>
שלא לאכול בכור תמים חוץ לירושלים,<English Translation Here>
שלא לאכול קדשי הקדשי' חוץ לעזרה,<English Translation Here>
שלא לאכול בשר העולה,<English Translation Here>
שלא לאכול קדשים קלים קודם זריקת דמים,<English Translation Here>
שלא יאכל כהן ביכורים קודם הנחתם בעזרה,<English Translation Here>
שלא לעזוב הלוי מליתן לו מתנותיו,<English Translation Here>
לשחוט בהמה חיה ועוף כראוי,<English Translation Here>
שלא לאכול אבר מן החי,<English Translation Here>
להבי' קדשי' בבית הבחיר',<English Translation Here>
שלא להוסיף על המצות ופירושן,<English Translation Here>
שלא לגרוע מכל המצות ופירושן,<English Translation Here>
שלא לשמוע למתנבא בשם ע"ז,<English Translation Here>
שלא לאהוב המסית,<English Translation Here>
שלא לעזוב שנאתו על המסית,<English Translation Here>
שלא להציל המסית,<English Translation Here>
שלא ללמד זכות למסית,<English Translation Here>
שלא למנוע מללמד עליו חובה,<English Translation Here>
שלא להסית לעבוד ע"ז,<English Translation Here>
לדרוש ולחקוד העדים,<English Translation Here>
לשרוף עיר הנדח' ולהרוג אנשיה,<English Translation Here>
שלא לבנות עיר הנדחת,<English Translation Here>
שלא ליהנות מכל ממונה,<English Translation Here>
שלא להתגודד,<English Translation Here>
שלא לקרוח שער ראשו על מת,<English Translation Here>
שלא לאכול קדשים שהופסלו,<English Translation Here>
לבדוק בסימני העוף,<English Translation Here>
שלא לאכול שרץ העוף,<English Translation Here>
שלא לאכול נבלה,<English Translation Here>
להפריש מעשר שני,<English Translation Here>
להפריש מעשר עני,<English Translation Here>
שישמיט כל הלוואותיו בשביעית,<English Translation Here>
לנגוש את הנכרי,<English Translation Here>
שלא לתבוע חוב שעברה עליו שביעית,<English Translation Here>
שלא יאמץ את לבבו על העני,<English Translation Here>
ליתן צדקה כמסת ידו,<English Translation Here>
שלא ימנע מלהלוות קודם שמיטה,<English Translation Here>
שלא לשלוח עבד עברי ריקם,<English Translation Here>
להעניק לו בצאתו לחפשי,<English Translation Here>
שלא לעבוד בקדשים,<English Translation Here>
שלא לגזוז הצמר בקדשי',<English Translation Here>
שלא לאכול חמץ בערב פסח אחר חצות,<English Translation Here>
שלא להותיר מקרבן חגיגה עד יום שלישי,<English Translation Here>
שלא להקריב קרבן פסח בבמת יחיד,<English Translation Here>
לשמוח ברגלים,<English Translation Here>
להראות בבית הבחירה ברגלים,<English Translation Here>
שלא להראו' שם בלא קרבן,<English Translation Here>
למנות שופטים ושוטרים,<English Translation Here>
שלא ליטע אשרה,<English Translation Here>
שלא להקים מצבה,<English Translation Here>
שלא להקריב בעל מום עובר,<English Translation Here>
לשמוע בקול בית דין בכל זמן,<English Translation Here>
שלא לסור מדבריהם,<English Translation Here>
למנות מלך מישראל,<English Translation Here>
שלא להקים עלינו מלך נכרי,<English Translation Here>
שלא ירבה המלך סוסים,<English Translation Here>
שלא לשכון בארץ מצרים,<English Translation Here>
שלא ירבה המלך נשים,<English Translation Here>
שלא ירבה המלך כסף וזהב,<English Translation Here>
