Lekach Tov,Perek+Pasuk
@55פס'. @11על מחבת בשמן. @22 @45(כח) מלמד שהיא טעונה כלי בשמן להוסיף לה שמן אחד ואיני יודע כמה הרי אתה דן טעונה שמן ומנחת נסכים (וזו) טעונה שמן מה מנחת נסכים ג' לוגין לעשרון אף זו ג' לוגין לעשרון:,6:14
"@11פירוש @22מנחת נסכים שבפ' שלח לך. (במדבר טו) דבר אל בני ישראל ואמרת אליהם כי תבואו אל ארץ מושבותיכם וגו' ועשיתם [אשה] לה' עולה או זבח. וכתיב (שם) סלת עשירון בלול ברביעית ההין שמן. הין י""ב לוגין הרי רביעית שלשה לוגין כלך לדרך הזו זו טעונה שמן ומנחת נדבה טעונה שמן שנא' (ויקרא יד) למנחה ולוג שמן. מה להלן לוג לעשרון אף כאן לוג לעשרון. נראה למי דומה דנין מנחה שהיא באה תמיד וטעונה כלי ודוחה את השבת ודוחה את הטומאה והיא תכט""ש דמסכת מנחות תמיד כלי טומאה שבת. או כלך לדרך הזו יג""ל מנחת יחיד ובגלל עצמה וטעונה לבונה וכו'. כדמפורש בתורת כהנים. תעשה מורכבת. מלמד שהיא נעשית ברותחין שכיון שהמים רותחין @45(כט)@46 יש להן תרבוך ויש אומרים מורבכת מלשון נבוכים בזמן שהן רותחין הן נבכין ונו""ן משמשין כגון נאצר ראצר: @45(ל)@46 ומרנא ורבנא טוביהו @22נתיישב שהלכה זו שיאמרו חכמים ז""ל במסכת מנחות בסוף פרק התכלת נראה למי דומה דנין תכט""ש מתכש""ט ואמרי דנין יגי""ל מיגי""ל והשיב בזה הענין הרי י' האחרון ביגי""ל אינו סימן לפי שאם תבוא לדרוש י' על עשרון שזו טעונה עשרון וזו טעונה עשרון והרי יו""ד תחת עשרון נתנן סימן יו""ד אם כן היה ראוי לכתוב דנין יגע""ל עי""ן תחת עשרון שהרי יו""ד הראשון היא מנחת יחיד וג' בגלל עצמה למ""ד טעונה לבונה אלא ללמדך שאינו (אלא) [לא] יגי""ל ולא יגע""ל אלא יג""ל כמו שאמרו רבותינו בתורת כהני' יג""ל מיג""ל ויו""ד השנית טעות. ואם נתבע ביג""ל צריכין אנו לקבוע כתט""ש תמיד טומאה שבת שאם תוסיף כ""ף שתאמר כלי אם כן הייתי אומר הנך נפישן תכט""ש ארבעה ויג""ל שלשה אלא תט""ש עיקר ויג''ל אינו עיקר. אכל כלי ועשרון אינם עיקר וכן מצאתי בתורת כהנים. הנ""ה זא""ת חקרנוה כן היא. והתלמוד הוסיף כו""ג ואינם עיקר וגם הפירושים בדעת התלמוד ואין בזה כלום. ואם בקשת לומר יגי""ל תאמר נם תכט""ש זה ד' וזה ד' ואליבא דרבי שמעון דאמר בתורת בהנים ריבה שמן מנחת חביתים וריבה שמן מנחת אילים מה מנחת אילים שני לוגין לעשרון אף זו שני לוגין לעשרון נראה למי דומה דנין מנחה שכולה זה קרבן אהרן ובניו ממנחה שכולה עשרון. מנחת כבשים. ואל תוכיח מנחת ח' אילים שאין כולה עשרון ויבוא י' השני תחת עשרון אבל על לשון האחרת לא יבוא י' כלל ואם יו""ד לא יתכן כ""ף לא יתכן והרי יסודו ומעמדו. @45(לא)@46 תופיני (אמתתו) תאפה נא נא כלומר עד שהיא היה תאפה אותה ולא תבשל אותה תחלה. ואחר כך תאפינה @45(לב)@46 רבי דוסא אומר תופינה לשון נאה לשון נוי. מנחת פתים. מלמד שהוא כופל לשנים ושנים לארבעה ואינו מבדיל. תקריב ריח ניחוח לה'. מה ת""ל שמא תאמר מה אהרן מקריב בכל יום אף בניו כן ת""ל זה. ומה אהרן דוחה את השבת ואת הטומאה אף בניו כן ת""ל זה. מה אהרן מביא רבוכה אף בניו כן ת""ל זה:",6:14
"@55פס'. @11והכהן המשיח. @22זה משוח בשמן המשחה בזמן בית הראשון אבל מרובה בגדים היה בבית שני שאין שם שמן משחה שכבר נגנז עם הארון כדאמרינן במסכת הוריות. ואותם הכהנים של בית שני נקראים מרובה בגדים על שם ארבעה כלים שלובש כהן גדול יותר מן ההדיוט. חשן ואפוד ומעיל וציץ. מנין שיביא עשירית האיפה ת""ל תחתיו מבניו. את שבנו עומד תחתיו מביא עשירית האיפה @45(לג)@46 יצא משוח מלחמה שאינו עומד תחתיו שנא' (שמות כט) שבעת ימים ילבשם הכהן [תחתיו] מבניו אשר יבוא אל אהל מועד יצא משוח מלחמה שאינו בא אל אהל מועד לשרת בקדש. מבניו יעשה אותה. מלמד שהבן קודם לכל אדם בזמן שהוא ממלא מקום אבותיו שנאמר (ויקרא טז) ואשר ימלא את ידו לכהן תחת אביו אבל אינו ממלא מקום אבותיו יבא אחר וישמש תחתיו. ד""א מבניו יעשה אותה. לימד על כהן גדול שמת תהא מנחתו קריבה משל יורשין. יעשה אותה. שלמה ולא חציה. חק עולם לה'. ממי שהברית שלו. כליל תקטר. י' הקטרה:",6:15
@55פס'. @11וכל מנחת כהן כליל תהיה לא תאכל. @22 @45(לד)@46 מנחת כהנת נאכלת מנחת כהן לא תאכל בא הכתוב ליתן לא תעשה על אכילתו:,6:16
"@55פס'. @11וידבר ה'. דבר אל אהרן ואל בניו לאמר. @22לפי שהכהנים אוכלים והבעלים מתכפרים לכך נאמר דבר אל אהרן ואל בניו לדורות. זאת אינה נוהגת בבמה. @45(לה)@46 תורת החטאת. (תורת החטאות) לכל החטאות שיהא דמן טעון כיבוס שנאמר ואשר יזה מדמה על הבגד וגו' במקום אשר תשחט העולה תשחט החטאת לפני ה' מלמד שכל החטאות טעונות צפון. קדש קדשים היא. לרבות זבחי שלמי צבור לצפון כדתנן זבחי שלמי צבור ואשמות אלו הן אשמות. אשם גזילות. אשים מעילות, אשם שפחה חרופה. אשם נזיר. אשם מצורע. אשם תלוי. שחיטתן בצפון וכו'. היא. פרט לתודה ולאיל נזיר:",6:17
"@55פס'. @11הכהן המחטא אותה יאכלנה. @22פרט לטבול יום ולמחוסר כפרה ולאונן שאין ראוי לחטא אותה. במקום קדוש תאכל. יכול במחנה לויים ת""ל בחצר אהל מועד. במקום קדוש תאכל. לרבות לשכות הבנויות בחול ופתוחות לקדש:",6:19
"@55פס'. @11כל אשר יגע בבשרה. @22יכול שלא (כבלע) [בלע] ת""ל בבשרה עד שיבלע בבשרה לא בעצמות ובגידים לא בקרנים ולא בטלפים. יקדש. להיות כמוה אם פסולה נפסל אם כשרה תאכל כחמור שבה. ואשר יזה מדמה על הבגד. מדם הכשרה ולא מדם הפסולה. מדמה. לא מדם קדשי קדשים. אשר יזה על הבגד. נתז על מקצתו של בגד יכול יהא טעון כיבוס ת""ל אשר יזה עליה תכבס. מקום הדם טעון כיבוס אין הבגד כולו טעון כיבוס. ניתז מידו של מזה עד שלא הוזה טעון כיבוס (ומהיזה) [ומשהוזה] אינו טעון כיבוס שנא' אשר יזה עליה. בגד. אין לי אלא בגד ומנין לרבות את העור משהופשט @45(לו)@46 ת""ל ואשר יזה על הבגד:",6:20
@55פס'. @11@45(לז)@46 וכלי חרש אשר תבשל בו. @22החטאת. והיכן ישבר למעלה. תכבס במקום קדוש. (וכלי חרש). מה כיבוס במקום קדוש אף שבירת כלי חרש במקום קדוש. מכאן אמרו חכמים כלי חרש אינו יוצא מידי דפנו לעולם ואין לו תקנה אלא שבירה. וכן לענין יין נסך וכן לענין חמץ בפסח. ומה טעם כלי חרש ישבר לפי שבושלה בו חטאת היום. ואם יבוא למחר לבשל בו החטאת פולט החטאת של אתמול בחטאת היום והוא נותר מעורב בקדשים. לפיכך טעון שבירה. ואם בכלי נחשת בושלה החטאת. ומורק ושוטף במים. לפי שאינו בולע ואינו פולט. וכן לכל איסורין שבתורה @45(לח)@46 (אבל כל שאר מיני מתכות טעונין ליבון באש). וכלי עץ. יביאנו ברותחין ובכלי ראשון בזמן שהוא רותח על האש. ומורק. כמריקת הכוס. ושוטף. כשטיפת הכוס. במים. כל שהן ולא בארבעים סאה:,6:21
@55פס'. @11כל זכר בכהנים יאכל אותה. @22יאכל אותה כשרה ולא פסולה. קדש קדשים. לרבות כל הקדשים שבשלם בכלי חרש טעון שבירה. בכלי נחשת טעון מריקות שטיפה משום נותר:,6:22
@55פס'. @11וכל חטאת אשר יובא מדמה אל אהל מועד. @22וכל לרבות כל הקדשים דברי ר' עקיבא. אמרו לו לר' עקיבא אפילו אתה מרבה כל היום אין כן אלא חטאת @45(לט)@46 אלא וכל לרבות האשם. אשר יובא מדמה אפילו מקצת דמה מכאן אמרו חטאת שקיבל דמה בשני כוסות יצא אחד מהן לחוץ הפנימי כשר. אל אהל מועד לכפר בקדש. להביא שילה ובית עולמים. ולא תאכל באש תשרף. מלמד ששריפתה לפנים. לא תאכל. נתן לא תעשה על אכילתו:,6:23
"@55פס'. @11וזאת תורת האשם. @22לבית עולמים. תורת האשם תורה אחת לכל האשמות שיהא דמן ניתן למטה שנאמר ואת דמו יזרוק על המזבח סביב שאע""פ שנא' כי כחטאת האשם הוא לכהן יכול ינתן דמו למעלה כדין חטאת ת""ל ואת דמו יזרוק על המזבח:",7:1
"@55פס'. @11ואת כל חלבו יקטיר. @22הכשר. והקטיר את הכל המזבחה אשה לה' אשם. לשם אישים. אשם אע""פ שלא סמך. הוא. מלמד שאם שחטו שלא לשמו כשר דברי ר' אליעזר וכן היה ר' אליעזר מוסיף האשם כדין חטאת וכו'. בתחלת מסכת זבחים חטאת דמו למעלה. אשם דמו למטה. חטאת אפילו גדייא בר זוזא. אשם בכסף שקלים זה וזה טעונין צפון. כל זכר. לרבות בעלי מומין. יאכלנו. הכשר ולא הפסול. קדש קדשים. לרבות שלמי צבור לזכרי כהונה לאכילה. הוא. @45(מ)@46 פרט לתודה ולאיל נזיר:",7:3
@55פס'. @11כחטאת כאשם. @22מה חטאת מן החולין וביום וביד ימנית אף אשם כן. תורה אחת להם. לסמיכה. הכהן אשר יכפר בו לו יהיה. פרט לטבול יום ולמחוסר כפורים ולאונן שאינו ראוי לכפר בו:,7:7
"@55פס'. @11והכהן המקריב את עולת איש. @22 @45(מא)@46 פרט לעולת הקדש. ד""א עולת איש. שעלת לאיש שנשחטה בזמנה פרט לשנשחטה שלא בזמנה וחוץ למקומה. עור העולה אשר הקריב. לרבות שאר קדשים. לכהן לו יהיה. @45(מב)@46 פרט לטבול יום ולמחוסר כפורים ולאונן:",7:8
"@55פס'. @11וכל מנחה אשר תאפה בתנור. @22 @45(מג)@46 יכול לו לבדו @45(מד)@46 ת""ל וכל מנחה בלולה בשמן וחרבה. אם כן מהו לכהן המקריב אותה לו תהיה נותנין אות' לאותו בית אב שעובד באותו שבת. אבל לא יחלקו זבחים כנגד עולות ולא כנגד מנחות שנאמר לכל בני אהרן תהיה איש כאחיו. האיש חולק אפילו בעל מום ואין קטן חולק אפילו תמים:",7:9
@55פס'. @11וזאת תורת זבח השלמים. @22כל המביא שלמים מביא שלום:,7:11
"@55פס'. @11אם על תודה יקריבנו. @22 @45(מה)@46 מלמד שהתודה נשחטה לשם תודה ולשם שלמים. יכול אף שלמים ישחטו לשם שלמים ולשם תודה ת""ל זאת. מה שלמים טעונין סמיכה ונסכים ותנופת חזה ושוק. אף תודה טעונה סמיכה ונסכים ותנופת חזה ושוק. אם על תודה יקריבנו. פרט (ללדה) [לולדה] ולתמורה שאינן טעונין לחם. והקריב על זבח התודה. לחייב על כל זבח וזבח. חלות בלולות בשמן. מה ת""ל בשמן בשמן שני פעמים. א""ר עקיבא אילו נאמר בשמן אחד הייתי אומר הרי היא ככל המנחות ללוג כשהוא אומר בשמן בשמן שתי פעמים שאין רבוי אחר רבוי אלא למעט מיעטה לחצי לוג. יכול ישתלשל חצי לוג לשלשת (המסם) [מינים] הללו לחלות ולרקיקין ולרבוכה ת""ל סלת מורבכת חלות בלולות בשמן שאין רבוי אחר מיעוט אלא לרבות. כיצד עושה נותן רביעית לרבוכה. ורביעית לשני המינים, ורביעית שהוא נותן לשני מינים. נותן מחצה לחלות ומחצה לרקיקין. ולפי שא""ר עקיבא אין רבוי אחר מיעוט אלא לרבות א""ל ר' אלעזר בן עזריה לר' עקיבא אפילו אתה מרבה כל היום בשמן לרבות ובשמן למעט איני שומע לך. אלא חצי לוג שמן לתודה ורביעית שמן לנזיר. וי""א יום שבין נדה לנדה @45(מו)@46 הלכה למשה מסיני. וזו הלכה שנתבקשה לי במסכת נדה. וסלת מורבכת חלות. כשם שהרבוכה סלת כך כולו סלת אפי' חלות אפי' רקיקין:",7:12
"@55פס'. @11על חלות לחם חמץ. @22וכי חמץ בלבד הוא והא כתיב מצות בלולות בשמן אלא כנגד חמץ הבא מצה מה חמץ עשרה עשרונים אף מצה עשרה עשרונים. מכאן אמרו התודה היתה באה חמש סאין ירושלמיות שהן שש מדבריות שתי איפות שהן כ' עשרון י' לחמץ וי' למצה י' לחמץ עשרון למצה עשרון לחלה ובמצה ג' מינין חלות ורקיקין ורבוכה נמצאו ג' עשרונות ושליש בכל מין וג' חלות לעשרון. ד""א על חלות לחם מלמד שאין הלחם מתקדש עד שיקרמו פניו בתנור. יקריב קרבנו על זבח. מלמד שאין הלחם מתקדש אלא בזביחה. על זבח תודת. שיהא זביחתו לשים תודה. שלמיו. לרבות שלמי נזיר לעשרה קבין ירושלמיים ולרביעית שמן:",7:13
"@55פס'. @11@45(מז)@46 והקריב ממנו אחד. @22מן (המובחר) אחד שלא יטול פרס מכל קרבן שיהו כל הקרבנות שוין שלא יטול מקרבן לחבירו. תרומה לה'. ואני איני יודע כמה אלא נאמר כאן תרומה ונאמר במעשר תרומה מה תרומות מעשר אחד מעשרה אף זו אחד מעשרה. למדנו כמה היא תרומה. אבל חלות איני יודע כמה היא נאמר כאן חלות ונאמר בלחם הפנים חלות שנא' (ויקרא כד) ואפית אותה שתים עשרה חלות שני עשרונים מה להלן שני עשרונים לחלה אף כאן שני עשרונים לחלה. או כלך לדרך הזו נאמר כאן לחם חמץ ונאמר לחם חמץ בשתי הלחם. מה להם חמץ האמור בשתי הלחם עשרון לחלה @45(מח)@46 אף לחם חמץ האמור כאן עשרון לחלה. זהו שאמרו חכמינו ז""ל @45(מט)@46 עשרה לחמץ עשרה לחלה. לכהן הזורק. למדנו שארבעים חלות היו בתודה וד' מהן לכהן והשאר נאכל לבעלים:",7:14
@55פס'. @11ובשר זבח תודת שלמיו. @22בא ללמד כשם שהזבח נאכל ליום אחד כך הלחם אינו נאכל אלא ליום אחד שנא' ביום קרבנו. ומנין שאף תחלת זביחתו לא יהא אלא על מנת להאכל ליום אחד שנאמר וכי תזבחו זבח תודה ביום ההוא יאכל ואם אינו ענין לאכילה שהרי כבר נאמר ובשר זבח תודת שלמיו וגו' @45(נ)@46 תנהו ענין לשחיטתו יהיה [על מנת] לאכול ליום אחד ואם לא עשה כן הרי זה פגול. לא יניח ממנו עד בוקר. אבל אוכל הוא כל הלילה. אם כן למה אמרו חכמים [עד] חצות כדי להרחיק אדם מן העבירה:,7:15
"@55פס'. @11ואם נדר או נדבה זבח קרבנו. @22 @45(נא)@46 מה בין נדר לנדבה. הנדר בא על שום דבר כענין (בראשית כח) וידר יעקב נדר לאמר אם יהיה אלהים עמדי, (במדבר כא) וידר ישראל נדר וגו' אם נתון תתן אבל נדבה לא. ביום הקריבו את זבחו יאכל, ואמר הרי זה בא ללמד על הנאכלין לשני ימים. ומנין שתהא זביחתו על מנת ליאכל לשני ימים ביום הקריבו ת""ל וכי תזבחו זבח שלמים לה' לרצונכם תזבחהו. ביום זבחכם יאכל וממחרת. אם אינו ענין לאכילה תנהו ענין לזביחה שאף תחלת זביחתו לא תהא אלא על מנת ליאכל לשני ימים. ביום הקריבו את זבחו יאכל. מצוה לאכול ממנו ביום הראשון יכול כולו ת""ל וממחרת. אי ממחרת יכול מצוה לאכלו לשני ימים ת""ל והנותר. אם הותיר הותיר. אי והנותר יכול אם הותיר כולו לשני ימים יהא פסול ת""ל יאכל. אפילו כולו. יכול יאכל לאור השלישי ת""ל עד יום השלישי. עד יום הוא נאכל ואינו נאכל לאור השלישי:",7:16
"@11מדרש אם על תודה יקריבנו. @22חביבין ישראל לפני הקב""ה שהוא סולח עונותיהם על זבחיהם. אין לו זבח יביא דברים נאים שנא' (הושע יד) קחו עמכם דברים. כל הזבחים באין על חטא חוץ מן התודה שהיא באה בלא חטא לפיכך הקב""ה מחבבה מכל הקרבנות. וכן דוד אומר (תהלים נ) זובח תודה יכבדנני. בשני נוני""ן בעולם הזה ובעולם הבא. וכן כל העונה אמן בעוה""ז זוכה לענות לעתיד שנאמר (שם פט) ברוך ה' לעולם אמן ואמן. גדול הוא השלום וכולי אגדתא:",7:16
"@55פס'. @11והנותר מבשר הזבח ביום השלישי באש ישרף. @22ביום ההוא נשרף (או) [אבל] אינו נשרף בלילה. @45(נב)@46 יכול אם עבר לא ישרף ת""ל ישרף לעולם. מבשר הזבח. לא מן העצמות ולא מן הגידים ולא מן הקרנים ולא מן הטלפים. הזבח. פרט לעובר ולשליא. מלמד שאין הנותר אלא בבשר הזבח. ביום השלישי. בנין אב לכל הנשרפים שלא יהו נשרפין אלא ביום:",7:17
"@55פס'. @11ואם האכל יאכל מבשר זבח שלמיו. @45(נג)@46 אמר ר' אלעזר כוף את אזניך לשמוע שהשוחט את זבחו על מנת לאכול ממנו בשלישי הרי זה בלא ירצה. המקריב אותו בשעת הקרבה הוא נפסל כלומר המקריב אותו הזבח שנקרב לו פגול יהיה, מכאן שנפסל במחשבה. יכול אין לי מחשבה פוסלת אלא באכילת בשר ומנין לרבות שירי הדם והקטר חלבים ת""ל ואם האכל יאכל אכילה לאדם אכילה למזבח. מצאנו חוץ לזמנו שמחשבה פוסלת. חוץ למקומו מנין שהמחשבה פוסלת. ת""ל בפרשת קדשים. ואם האכל יאכל ביום השלישי פגול הוא לא ירצה. אם אינו ענין לחוץ לזמנו תנהו ענין לחוץ למקומו. יכול יהו חייבין עליו כרת ת""ל בשלישי. עונו תשא. חוץ לזמנו בהכרת ואין חוץ למקומו בהכרת וכו' ברייתא. ד""א והנפש לא הצבור. האוכלת. @45(נד)@46 לא המאכלת. עונו תשא. ונאמר להלן (ויקרא יט) עונו ישא כי את קדש ה' חלל ונכרתה. מה להלן בכרת אף כאן בכרת:",7:18
"@55פס'. @11והבשר אשר יגע בכל טמא. @22במגע מטמא ולא במשא. בכל טמא. אפילו מחוסר כפורים מכאן אמר רבי יוסי לרביעי בקדש שהוא פסול. ומה אם מחוסרי כפורים שאינו פסול בתרומה פוסל בקדש. שלישי שהוא פוסל בתרומה אינו דין שיפסול בקדש למדנו לשלישי מן הכתוב ולרביעי מקל וחומר. והבשר כל טהור יאכל בשר. @45(נה)@46 לרבות בשר הפנימי שיהא מותר מכאן אמרו אבר שיצא חוץ לחומה בפסחים חותך עד שמגיע לעצם וקולף עד שמגיע לפרק ומתירו מן הפרק וחותך ובמוקדשין גורר כל מקום שהוא רוצה שאין בו שבירת העצם, כל טהור יאכל בשר. מה ת""ל @45(נו)@46 לפי שנאמר (דברים יב) ודם זבחיך ישפך על מזבח ה' (על יסוד מזבח העולה) תאמר לא יאכלו זבח אלא בעליו כדרך הפסח לכך נאמר כל טהור יאכל בשר:",7:19
"@55פס'. @11והנפש אשר תאכל בשר מזבח השלמים אשר לה' וטמאתו עליו. @22לא נתחייב משום טומאה אלא לאחר זריקת הדם @45(נז)@46 בזמן שהוא ראוי לטהורים. (מי) חייבין בו הטמאים פרט לפני זריקה שאין ראוי לטהורים. מכאן א""ר יהושע הפסח שבא בטומאה ואכלו ממנו זבים וזבות נדות ויולדות אינן חייבות, שהנשחט לטהורין חייבין בו טמאין ושאינו נשחט לטהורים אין חייבין בו טמאין. וטומאתו עליו. בטומאת הגוף הכתוב מדבר. ונכרתה הנפש. ולא הצבור. ההיא. לא אנוסה ולא שוגגת. מעמיה. ועמה שלום:",7:20
@99מדרש אם על תודה יקריבנו12 רבי פנחס ורבי לוי בשם רבי מנחם אמרו עתידין כל הקרבנות ליבטל לעתיד לבוא וקרבן תודה אינו בטל שנאמר (ירמיה יז) ומביאי תודה בית ה'. כל התפלות בטלות וההודאה אינה בטלה שנא' (שם לג) קול ששון וקול שמחה קול חתן וקול כלה קול אומרים הודו לה' כי טוב. הודו לה' זו הודאה ומביאי קרבן תודה וכן אמר דוד (תהלים נו) עלי אלהים נדריך אשלם תודות לך. ולמה השלמים הזכירם באחרונה @45(נח)@46 שיש בהן (מנין) הרבה הדם ואימורים למזבח. חזה ושוק לכהנים. והבשר והעור לבעלים:,7:20
@55פס'. @11ונפש כי תגע. @22לפי שאמר והנפש אשר תאכל בשר מזבח השלמים אשר לה' וטומאתו עליו כגון זב וזבה נדה ויולדת ובעל קרי כגון טומאת הגוף הוצרך לומר טומאת מגע @45(נט)@46 במגע ולא במשא. בטומאת אדם או בבהמה טמאה וכו'. @45(ס)@46 אלו נאמרו החמורות ולא נאמרו הקלות הייתי אומר קלות פטור צריך לומר קלות וחמורות. ואכל מבשר זבח השלמים אשר לה'. יצאו העצים והלבונה והקטרת שאינן ראוין לאכילה. הנפש. ולא הצבור. ההיא. לא אנוסה. מעמיה. ועמה שלום:,7:21
@55פס'. @11וידבר ה'. @22הפסיק הענין דבר אל בני ישראל. בני ישראל מוזהרין על החלב @45(סא)@46 ואין העובדי כוכבים מוזהרין על החלב. @45(סב)@46 לאמר. להזהיר זה את זה. כל חלב שור וכשב ועז לא תאכלו. כל. לרבות חלבים שלא הוזכרו בפרשה:,7:22
"@99ניקוי הבשר12 שור וכשב ועז. פרט לחיה ולעופות. ד""א כל חלב להביא את הכוי ופחות מכזית @45(סג)@46 שאינו בכרת והוא במלקות:",7:23
"@55פס'. @11וחלב נבלה וחלב טרפה. בנבלת בהמה טהורה הכתוב מדבר. יעשה לכל מלאכה. בין מלאכת הקדש בין מלאכת חולין. ואכול לא תאכלוהו. לעבור עליו בשני לאוין משום חלב ומשום נבלה לפי שהוא מותר בהנייה למוכרו לעובד כוכבים. (ד""א ואכול לא תאכלוהו לעבור עליו בשני לאוין משום חלב ומשום נבלה):",7:24
@55פס'. @11כי כל אוכל חלב מן הבהמה אשר יקריב ממנה אשה לה'. @22אין לי אלא תמימים הראוין ליקרב חלב בעלי מומין מנין ת''ל מן הבהמה. ונכרתה הנפש. ולא הצבור שאין הצבור נתפשין על היחיד באכילת החלב. האוכלת. ולא המאכלת בכרת. האוכלת. אכילת כזית. מעמיה. ועמה שלום:,7:24
"@55פס'. @11וכל דם לא תאכלו. @22 @45(סד)@46 יכול דם מהלכי שתים ת""ל לעוף ולבהמה. מה עוף ובהמה מיוחדין שיש [בהם] טומאה קלה ויש בהם טומאה חמורה ויש בהם אסור ויש בהם מותר. יצא דם מהלכי שתים שאין בהם טומאה קלה. ד""א כל דם. לרבות הגידים ודם התמצית. בכל מושבותיכם. אפי' אחרי חרבן הבית לפי שחובת הגוף נוהגת בארץ ובחוצה לארץ. לעוף ולבהמה. וחיה בכלל בהמה שנא' זאת החיה אשר תאכלו מכל הבהמה וגו'. ד""א לעוף ולבהמה להוציא דם דגים וחגבים. אזהרה שמענו. עונש מנין ת""ל כל נפש אשר תאכל כל דם ונכרתה הנפש ההיא מעמיה. ועמה שלום. וכבר נאמר בפרשת ויקרא חוקת עולם לדורותיכם כל חלב וכל דם לא תאכלו. ומה אם חלב ודם שהנפש קצה בהם הזהיר הקב""ה עליהם כל כך. גזל ועריות שהנפש מחמדתן ומתאוה להם על אחת כמה וכמה. וכן הוא אומר (דברים יב) רק חזק לבלתי אכול הדם וגו' ואומר לא תאכלנו למען ייטב לך. ואם מתן שכרן של אלו כך. מתן שכר של שאר המצות על אחת כמה וכמה. הוא שאמר דוד (תהלים לא) מה רב טובך אשר צפנת ליראיך. וישעיה אמר (ישעיה סד) עין לא ראתה אלהים זולתך יעשה למחכה לו. ולפיכך פותחין בתחלה בספר ויקרא ללמד לתינוקות מפני שהוא גופי תורה חוקים ומשפטים איסור והיתר לכך נקראת תורת כהנים ספרא דבי רב:",7:24
"@55פס'. @11דבר אל בני ישראל. @22מצוה ידועה לדורות @45(סה)@46 מה בא לחדש תנופה. בני ישראל מניפים ואין עובדי כוכבים מניפים. בני ישראל מניפין ואין בנות ישראל מניפות. המקריב את זבח שלמיו. המקריב לרבות הגרים והעבדים יכול כל הקרבנות כולן יטענו תנופה @45(סו)@46 ת""ל זבח. יצאו בכור ומעשר ופסח שאינן טעונין תנופה. שלמיו. ולא אשם מצורע. שלמיו. לרבות שלמי נזיר @45(סז)@46 בנין אב כל שהוא טעון תנופה טעון הרמה:",7:29
"@55פס'. @11ידיו תביאנה את אשי ה'. @22כיצד כהן מניח ידו תחת יד בעלים החזה והשוק למעלה שתי כליות ויותרת הכבד למעלה מהן. ואם יש שם לחם מניח את הלחם למעלה מהם ומניף, מוליך ומביא מעלה ומוריד שנא' (שמות כט) אשר הונף ואשר הורם. התנופות קודמות להגשות:",7:30
"@55פס'. @11והקטיר הכהן את החלב. @22מכאן שאין אהרן ובניו זכאין בחזה ושוק אלא לאחר הקטר חלבים. שנאמר והקטיר הכהן את החלב המזבחה והיה החזה לאהרן ולבניו. נטמאו אימורין או אבדו יכול [לא] יהא אהרן ובניו זכאין בחזה ושוק @45(סח)@46 ת""ל והיה החזה לאהרן ולבניו. וכן הוא אומר בבני עלי (ש""א ב) גם בטרם יקטירון את החלב ובא נער וגו'. ויאמר אליו האיש קטר יקטירון כיום החלב וגו'. וכתיב (שם) ותהי חטאת הנערים גדולה וגו'. והיה החזה לאהרן ולבניו @45(סט)@46 מחצה מחצה. ואת שוק הימין תתנו תרומה לכהן. לרבות שלמי צבור שיטענו תנופה שחוטין:",7:31
"@55פס'. @11המקריב את דם השלמים ואת החלב מבני אהרן. @22פרט לטמא בשעת זריקת דמים ולטהור בשעת הקטר חלבים שאין חולק בבשר שנא' המקריב את דם השלמים ואת החלב מבני אהרן לו תהיה שוק הימין למנה. ר' שמעון אומר @45(ע)@46 כל שאינו מודה בעבודה אין לו בכהונה שנאמר המקריב לו תהיה. כ""ד מתנות כהונה הן וכולן לאהרן ולבניו בכלל ופרט וברית מלח. אלו הן עשר במקדש וארבע בירושלים ועשר בגבולין. עשר במקדש, חטאת בהמה. וחטאת העוף. אשם ודאי. אשם תלוי. זבחי שלמי צבור. ולוג שמן של מצורע. מותר העומר. ושתי הלחם, ולחם הפנים. ושירי המנחות. ד' בירושלים. הבכורה. והבכורים. ומורם מתודה ואיל נזיר. ועורות קדשים. וי' בגבולין. תרומה. ותרומת מעשר. וחלה. וראשית הגז. ומתנות. ופדיון הבן. ופדיון פטר חמור. ושדה אחוזה. ושדה חרמים. וגזל הגר. וכן היה ר' שמעון אומר (מלאכי א) מי גם בכם ויסגור דלתים ולא תאירו מזבחי חנם @45(עא)@46 שני דברים שהיו נוטלין עליהן שכר דליקת הנר וסגירת הבית לא עשיתם חנם כל שכן שנוטלין עליהן שכר ואתן אותם לאהרן וגו':",7:33
"@55פס'. @11זאת משחת אהרן ומשחת בניו. @22זאת כדאי לאהרן ולבניו מלמד שאין אהרן ובניו צריכין שמן המשחה לעתיד לבא אלא משחת זאת די להם ומה אני מקיים (זכריה ד), אלה שני בני היצהר העומדים על אדון כל הארץ. @45(עב)@46 זה אהרן ודוד. ועל כי הזהיר מתנות כהונה הסמיך להם פרשה זו ולא הפסיק ביניהן ללמדך שלא תהא הפסקה בכהונתם לעולם. מאשי ה'. מלמד @45(עג)@46 שאף האשים סייעו. ביום הקריב אותם לכהן לה'. מלמד שאף היום סיוע:",7:35
@11פירוש @22שהיתה הצלחה מלפני ה' לאכילת הקדשים מעל המזבח שנאמר ותצא אש מלפני ה' ותאכל על המזבח וגו':,7:35
