number,name,text
11,"
ר' יששכר בער איילנבורג (צידה לדרך), פולין-איטליה (1550-1623)
","
מגדולי בעלי ההלכה סביב תחילת המאה ה-16, תלמידו המובהק של ר' מרדכי יפה, בעל הלבושים, ומתלמידיהם של המהר""ל והסמ""ע. שימש כאב""ד בגוריציה (איטליה).
השפיע רבות על כל גלילות פולין, ואיטליה והיה מחשבי הרבנים בדורו.
חיבורו ""צידה לדרך"" הוא פירוש לרש""י על התורה, אך הוא כולל גם הערות על פרשנים אחרים ובפרט לפירושו של הרא""ם.
חיבורו הגדול ""באר שבע"", מורכב משני חלקים:החלק הראשון הוא מעין השלמה לפירושם של בעלי התוספות על המסכתות שאין להן תוספות.החלק השני עיקרו שו""ת, שבסופו צירף את חיבורו ""באר מים חיים"" ובו ""מקורות הדינים ונגד איזה מנהגים"".
ספרו הנ""ל הגיע לידיו של המהר""מ גלאנטי וזה התפעל מבקיאותו וחריפותו של המחבר ובצוואתו המליץ לקהילת צפת להזמין את ר' איילנבורג לשמש כרב הקהילה. ראשי הקהילה עשו כמצוותו אך ר' איילנבורג נפטר בדרכו לעיר.
 
עוד על אודותיו באתר JewishEncyclopedia
"
12,"
ר'  זאב וולף איינהורן (מהרז""ו), הורודנא (נפטר ב-1862)
","
פרשנו הגדול של מדרש רבה (ושל פסיקתא רבתי).
 
מלבד פירושו, אשר נדפס יחד עם המדרש, כתב גם את:
- ""נתיב חדש"" - הרחבה לפירושיו על מדרש רבה (נדפס בוילנה 1846),- ""מדרש תנאים"" - על ברייתא דל""ב מידות לר' אליעזר בר' יוסי הגלילי ועל פרקי דר' אליעזר.
 
"
13,"
ר' ישראל איסרליין (תרומת הדשן), רגנסבורג - וינה-נוישטט (1390-1460)
","
מגדולי רבני אשכנז במאה ה-15, כונה גם מהרא""י.
הקים ישיבה בוינה-נוישטט ועמד בראשה. ברבות הימים נהייתה הישיבה למרכז תורני גדול, וממנה יצאו רבנים לקהילות אשכנז. עוד בחייו הוכר כגדול הדור, ושאלות רבות הופנו אליו. פסקיו היוו בסיס איתן למנהג אשכנז, ורבים מהם הובאו להלכה הן ע""י השלחן ערוך וגם ע""י הרמ""א. תלמידו המובהק ר' יוסף בן משה, כתב את הספר ""לקט יושר"" אשר מוקדש כולו לרבו להנהגותיו ולמנהגיו, ולדרכו בלימוד ובהוראה.
תשובתיו ההלכתיות נתקבלו בקרב הפוסקים כמקור הלכתי חשוב. תשובות אלו מרוכזות בספר השו""ת שלו, ""תרומת הדשן"", אשר מכיל (בחלקו הראשון) 354 שאלות (כמניין דש""ן). מקובל לטעון שמרבית השאלות בספר הנ""ל הומצאו על ידו לשם לימוד ופסק. חלק ב' נקרא פסקים וכתבים (פו""כ). 
נוסף על ספרו המפורסם חיבר גם את ""ביאורי מהרא""י"" על פירוש רש""י לתורה.
"
14,"
ר'  משה איסרליש (רמ""א), פולין (1520-1572)
","

פוסק, ראש ישיבה, פילוסוף, נחשב בעיני רבים לגדול הפוסקים האשכנזים בדורו.
כבר בילדותו נודע כעילוי ולמד בישיבתו של ר' שלום שכנא מלובלין, ולימים היה לחתנו. הוא הוסמך לרבנות בגיל 13 ובבגרותו כיהן כדיין בבית הדין בקרקוב, וכראש ישיבה שהקים בעיר.
מרבית חיבוריו עוסקים בהלכה, והמפורסם שבהם הוא הגהותיו על ""השולחן ערוך"" (""המפה"") - בהגהות אלו הוסיף פסיקה אשכנזית לכל הסוגיות ההלכתיות הנידונות בספרו של ר' יוסף קארו.
 
חיבוריו:


""דרכי משה"" - נכתב כהשגות על ספר ""בית יוסף"" לרבי יוסף קארו. 

""מחיר יין"" - פירוש על מגילת אסתר. 

""תורת חטאת"" - על דיני איסור והיתר. 

""תורת העולה"" - ספר פילוסופיה דתית. 

""שו""ת הרמ""א"" - בין היתר כולל ההתכתבות שהייתה לו עם בן דורו המהרש""ל שחלק עליו בנוגע ללימוד פילוסופיה.
אחדים מספריו, ובהם חיבור על כל האגדות שבמשנה, לא נשתמרו.
"
15,"
ר' יוסף  אלבו (ספר העיקרים), ספרד (1380-1444)
","

פילוסוף יהודי, מחבר ""ספר העיקרים"". תלמידו של רבי חסדאי קרשקש ואחד מהבולטים שבהוגי הדעות של יהדות ספרד בימה""ב, כיהן ברבנות בערים שונות בארגון ובקסטיליה.
בחיבורו ""ספר העיקרים"" הוא מציג את הדת היהודית כנשענת על שלושה עיקרים: א. מציאות ה'. ב. תורה מן השמיים.ג. שכר ועונש.
הספר נכתב בתקופה בה נערכו ויכוחים בין-דתיים בין נציגי היהדות ונציגי הנצרות (גם הר""י אלבו השתתף בויכוח כזה, בטורטוזה) וניתן לזהות בו טיעונים פולמוסיים שמכוונים כלפי הנצרות.
בדומה לכל הניסיונות שנעשו במהלך הדורות להגדיר את עיקרי האמונה היהודית גם העיקרים שהציג של ר""י אלבו זכה לביקורות שונות, בין היתר, בשל העובדה שלא קבע את האמונה במשיח כעיקר.
 
להרחבה ראו JewishEncyclopedia
"
16,"
פרופ' חנוך אלבק, פולין-ירושלים (1890-1972)
","

מגדולי חוקרי המשנה ותלמוד.
מגיל צעיר מאוד נטה לחקר הספרות התורנית הקדומה וכבר בהיותו בן 16 שקד על הוצאת מהדורה מדעית של פירוש המאירי למסכת יבמות. בבגרותו למד בבית המדרש לרבנים בוינה ובאוניברסיטה המקומית. החל משנת 1926 ועד לעלייתו ארצה (1936) לימד בבית המדרש הגבוה ללימודי יהדות בברלין. עם מוריו נמנה אביגדור אפטוביצר ועם תלמידיו - אברהם יהושע השל.
עם עלייתו ארצה החל ללמד במחלקה לתלמוד באוניברסיטה העברית, ולימים אף עמד בראשה.
במהלך השנים כתב ספרים מאמרים רבים בעברית ובגרמנית על ספרות חז""ל. בין ספריו: ""מבוא למשנה"", ""מחקרים בברייתא ובתוספתא"", ""מבוא לתלמודים"" ועוד. פירוש בהיר וקצר מפרי עטו על ששה סדרי משנה זכה לפופולאריות עצומה בקרב הציבור בישראל.
בשנת 1957 נבחר לקבל את פרס ישראל אך סירב לקבלו. בשנת 1959 נבחר כחבר האקדמיה הלאומית הישראלית למדעים.
 
עוד על אודותיו בויקיפדיה.
"
17,"
ר' אברהם אליגרי (לב שמח), קושטא (1560-1652)
","
רבה של קושטא, בתחילת המאה ה-17.
נתפרסם בזכות חיבורו ""לב שמח"" על ספר המצוות לרמב""ם.שם זהה ניתן גם לספר שו""ת מפרי עטו (המכיל 56 תשובות).
כתב גם הגהות ל""טור"", וכן דרשות ופסקים שלא הובאו לדפוס.
 
- לקריאה בספר ""לב שמח"" באתר hebrewbooks
- עוד על אודותיו ב-JewishEncyclopedia
 
כתיבה: יוחאי עופרן
"
18,"
ר' אליעזר מבלגנצי, צרפת (המאה ה-12)
","
פרשן צרפתי בן המאה ה-12, תלמידו של הרשב""ם, נודע גם כר' אליעזר באנגוסי.
עסק בחקר השתלשלות המחשבה והרעיונות. גם הוא כרש""י משתמש לעתים בשפה הצרפתית כדי לבאר מושגים קשים אך פרשנותו חפה מתוספות דרשניות. 
בין חיבוריו נשתמרו: דרשותיו לספרים ישעיהו, לתרי-עשר, ליחזקאל ולחלק מאיוב, ובכתביו הוא מזכיר גם דרשות שלו על בראשית.
 
עוד על אודותיו בJewishEncyclopedia
 

כתיבה: יוחאי עופרן
"
19,"
ר'  אליהו קרמר (הגאון מוילנה), ליטא (1720-1797)
","

מגדולי רבני המאה ה-18.
בקיאותו וידענותו העצומה זיכו אותו בכינוי ""הגאון מוילנה"", ולעיתים כונה בקיצור: ""הגר""א"" (ראשית תיבות: הגאון ר' אליהו). נודע במאבקו העיקש נגד תנועת החסידות, אשר כלל חרם שהוטל על החסידים בשמו של הגר""א, ובמסגרתו סירב הגר""א להפגש עם ר' שניאור זלמן מלאדי, מייסד חסידות חב""ד.
על-אף שלא החזיק במשרה רשמית כלשהי, קנה לו מעמד של מנהיג חשוב בדורו ובדורות הבאים אחריו.
כתביו לא ראו אור בחייו אך לאחר מותו נדפסו כ-70 ספרים המיוחסים לו וביניהם: פירוש למשנה, ספרי קבלה, פרשנות לתנ""ך ואף חיבורים במתמטיקה.
 
להרחבה - אנציקלופדיה יהודית.
 

כתיבה: יוחאי עופרן
"
20,"
ר' חסדאי אלמושנינו (משמרת הקודש), תיטואן-גיברלטר (1640-1727)
","
שימש כדיין בעיר תיטואן שבמרוקו ואח""כ העתיק מושבו לגיברלטר.בנו ר' יצחק היה הרב הראשי הראשון של גיברלטר.
בין ספריו:""משמרת הקודש"" - ביאורים על פירוש רש""י לתורה.""חסד אל"" - דרושים, נימוקי תנ""ך ומאמרי חז""ל.
"
21,"
נתן אלתרמן, ורשה- תל אביב (1910-1970)
","

משורר ומחזאי ישראלי.
נולד בוורשה ובהיותו בן 15 עלה לארץ עם משפחתו והתיישב בתל אביב. כשסיים את לימודיו בגימנסיה הרצליה נסע ללמוד אגרונומיה בצרפת. במהלך שהותו בפאריז החל לפרסם את רשימותיו ושיריו בעיתון ""כתובים"".
בשנת 1934 החל בכתיבת טור שבועי בעיתונים הגדולים, תחילה פרסם את טור לירי בשם ""סקיצות תל אביביות"" (עליו חתם בשם העט ""אלוף נון"") שהתפרסם בעיתון ""דבר"", ומאוחר יותר עבר לכתיבת טור סאטירי בשם ""רגעים"" בעיתון ""הארץ"" (שם חתם בשם ""אגב""). לבסוף (ב-1943) חזר ל""דבר"" ופרסם בו את ""הטור השביעי"" שברבות הימים נדפס כספר.
ברבים משיריו ביטא את תמיכתו בפלמ""ח וב""הגנה"" ומחה נגד הבריטים. בחלק מהשירים הוקיע את מעשי האצ""ל והלח""י. אחד משיריו הידועים ב""הטור השביעי"" הוא ""מגש הכסף"", שהתפרסם שלושה שבועות בלבד לאחר החלטת האו""ם על הקמת המדינה בכ""ט בנובמבר 1947.
ב-1948 אלתרמן התגייס לצה""ל, השתתף במבצע יואב, אך עד מהרה שוחרר בהוראתו של מפקד החטיבה, יצחק שדה, שחרד לגורלו של המשורר.
לאחר קום המדינה התמקד בשירים בעלי נושאים חברתיים ואישיים. 
ב-1968 הוענק לו פרס ישראל.
 
גם בתו של אלתרמן, תרצה אתר, התפרסמה כמשוררת וסופרת.
 
בין ספריו (שירים ופרוזה):
כוכבים בחוץ; שמחת עניים; שירי מכות מצרים; עיר היונה; חגיגת קיץ; רגעים; הטור השביעי; פזמונים; המסכה האחרונה (סאטירה פוליטית); החוט המשולש (אוסף מאמריו בעיתון מעריב); 
מחזות:
כנרת, כנרת; פונדק הרוחות; משפט פיתגורס; אסתר המלכה; שלמה המלך ושלמי הסנדלר; חגיגת קיץ. 
 
עוד על אודותיו בויקיפדיה
"
22,"
ר' אנשלמה אשתרוק (מדרשי התורה), ברצלונה (המאה ה-14)
","
מחכמי ברצלונה במאה ה-14, כתב פירוש לתורה בשם ""מדרשי תורה"".
הקידומת ""אנ"" המלווה את שמו - שלמה - היא כנראה קיצור של תואר כבוד שהיה מקובל בספרד. הכינוי ""הקדוש"" שהוצמד לשמו מעיד על כך שהוא נהרג על קידוש השם, ככל הנראה, בפרעות שהתחוללו בברצלונה ב-1391.
לא ידוע לנו הרבה על תולדות חייו. היה מי שסבר שהוא נכדו של הרשב""א (נייבויער) אך הוא לא ביסס את דבריו.
מלבד פירושו לתורה נשתמרו גם פירושיו למזמור קי""ט בתהלים, לישעיהו נ""ב (""הנה ישכיל עבדי""), ולמגילת אסתר.
 

כתיבה: יוחאי עופרן
"
