Index,Ref,Text
ר' נפתלי הירץ ויזל,Genesis 2,"חפץ ה' שהאדם יקרא שמות לחיה ולבהמה ולעוף השמים, על כן הביאם אליו לראות מה שם יקרא לכל אחד מהם, והוא, ברוך הוא, צופה ויודע הכל, וידע מה יקרא להם, ושיכוון בכל שם כפי הראוי לאותו המין. ואם כן – מילת ""לראות"" כמו (פרק י""א) ""לראות את העיר ואת המגדל אשר בנו בני האדם""; (תהלים י""ד ב') ""לראות היש משכיל דורש את אלוקים""; וכן, ""לראות מה יקרא לו"", כי הוא משגיח בכל עת, כי קריאת השמות איננו לבד שיבדלו בשמותיהם לדעת מי זה ומי זה, אבל השם הוא תולדתו הפנימית ולאיזה דבר נברא לשמש..."
בנו יעקב,Genesis 2,"לא נאמר שלא הייתה עדיין צמחיה קיימת, להיפך – נאמר: הייתה קימת אלא שהייתה עדיין במצב בלתי מפותח, ואין זה פלא, כי שני הגורמים המשפיעים על התפתחות הצמחיה לא פעלו עדיין: כי לא המטיר ה' ולא עבד אדם את האדמה. ובכן: פירוש ""טרם יהיה"" אינו: לא היה במציאות, לא היה קיים, כי אם: לא הגיע למה שהיה מיועד להיות. וכן ישעיהו ט""ו ו'; ירמיהו י""ד ה'. "
בנו יעקב,Genesis 6,"יתכן שהכנוי ""בני אלוהים"" מובנו כאן אירוני כמו (תהלים ע""ח) ""אני אמרתי אלוהים אתם ובני עליון כולכם – אכן כאדם תמותון..."""
בנו יעקב,Genesis 6,"ייתכן שהכינוי ""בני אלוהים"" מובנו כאן אירוני, כמו (תהילים ע""ח) ""אני אמרתי אלוהים אתם ובני עליון כולכם – אכן כאדם תמותון...""."
"הנצי""ב מוולוז'ין",Genesis 4,"ד""ה ויהי בונה עיר: שהבין קין עתה רצון ה', שטוב להיות מרבה בצרכיו ולא לחיות כחיה ובהמה על ידי עבודת האדמה לבדה, אלא לבקש חיי אנושי בייחוד, על כן בנה לו עיר."
ויקרא א' ט',Genesis 4,"ד""ה ניחוח: והנה בכתוב הזה טעם הקרבנות שהם אשה ריח ניחוח לה'. ואמר הרב במורה הנבוכים (ג מו) כי טעם הקרבנות, בעבור שהמצרים והכשדים, אשר היו ישראל גרים ותושבים בארצם מעולם, היו עובדים לבקר ולצאן, כי המצרים עובדים לטלה, והכשדים עובדים לשדים אשר ייראו להם בדמות שעירים, ואנשי הודו עד היום לא ישחטו בקר לעולם. בעבור כן ציוה לשחוט אלה השלושה מינין לשם הנכבד, כדי שייוודע כי הדבר שהיו חושבים כי הם בתכלית העבירה הוא אשר יקריבו לבורא, ובו יתכפרו העוונות. כי כן יתרפאו האמונות הרעות שהם מדווי הנפש, כי כל מדוה וכל חולי לא יתרפא כי אם בהפכו. אלה דבריו ובהם האריך.והנה הם דברי הבאי, ירפאו שבר גדול וקושיא רבה על נקלה, יעשו שולחן ה' מגואל שאיננו רק להוציא מלבן של רשעים וטפשי עולם, והכתוב אמר כי הם לחם אשה לריח ניחוח.וגם כי לפי שטותם של מצרים לא תתרפא מחלתם בזה, אבל תוסיף מכאוב, כי מחשבת הרשעים הנזכרים לעבוד למזל טלה ומזל שור, שיש להם כוח בהם כפי מחשבתם, ולכן לא יאכלו אותם לכבוד כוחם ויסודם, אבל אם יזבחו אותם לשם הנכבד זה כבוד להם ומעלה, והם עצמם כך הם נוהגים, כמו שאמר (ויקרא יז ז) ""ולא יזבחו עוד את זבחיהם לשעירים"", ועושי העגל זבחו לו. והרב מזכיר שהיו מקריבים ללבנה בכל ראשי חודשיהם, ולשמש בעלותה במזלות הידועים להם בספריהם. ויותר תתרפא המחלה באכלנו מהם לשובע, שהוא אסור להם ומגונה בעיניהם ולא יעשו כן לעולם.והנה נח בצאתו מן התיבה עם שלושת בניו - אין בעולם כשדי או מצרי הקריב קרבן, וייטב בעיני ה' ואמר בו (בראשית ח כא) ""וירח ה' את ריח הניחוח"". וממנו אמר אל לבו, ""לא אוסיף עוד לקלל את האדמה בעבור האדם"" (שם). ""והבל הביא גם הוא מבכורות צאנו ומחלביהן, וישע ה' אל הבל ואל מנחתו"" (שם ד ד), ולא היה עדיין בעולם שמץ עבודה זרה כלל. ובלעם אמר ""את שבעת המזבחות ערכתי ואעל פר ואיל במזבח"" (במדבר כג ד), ואין דעתו עתה לשלול ממנו אמונות רעות, ולא נצטוה בכך, אבל עשה כן לקרבה אל האלוהים, כדי שיחול עליו הדיבור. ולשון הקרבנות, ""את קרבני לחמי לאשי ריח ניחוחי"" (שם כח ב), וחלילה שלא יהא בהם שום תועלת ורצון רק שוללות עבודה זרה מדעת השוטים. ויותר ראוי לשמוע הטעם שאומרים בהם, כי בעבור שמעשי בני אדם נגמרים במחשבה ובדיבור ובמעשה, ציוה השם כי כאשר יחטא יביא קרבן, יסמוך ידיו עליו כנגד המעשה, ויתוודה בפיו כנגד הדיבור, וישרוף באש הקרב והכליות שהם כלי המחשבה והתאוה, והכרעים כנגד ידיו ורגליו של אדם העושים כל מלאכתו, ויזרוק הדם על המזבח כנגד דמו בנפשו, כדי שיחשוב אדם בעשותו כל אלה כי חטא לאלוהיו בגופו ובנפשו, וראוי לו שיישפך דמו ויישרף גופו לולא חסד הבורא שלקח ממנו תמורה וכיפר הקרבן הזה, שיהא דמו תחת דמו, נפש תחת נפש, וראשי אברי הקרבן כנגד ראשי אבריו, והמנות להחיות בהן מורי התורה שיתפללו עליו. וקרבן התמיד, בעבור שלא יינצלו הרבים מחטוא תמיד. ואלה דברים מתקבלים מושכים את הלב כדברי אגדה."
ר' נפתלי הירש ויזל,Genesis 4,"...ולדעתי לקרא בשם ה' כמו (צפניה ג' ט') ""כי אז אהפך אל עמים שפה ברורה לקרא כולם בשם ה' ולעבדו שכם אחד"" וכן ""ויבן שם מזבח לה' ויקרא שם בשם ה' אל עולם"", שכולם על פרסום אלוהותו ורוממותו יתברך ללמד לתועים דרך ה'. והודיע הכתוב שבימי אנוש כבר טעו רבים מבני אדם ומבני קין מדרך ה' והיו חסידי הדורות כמו אדם שת אנוש, ואולי נלוו יחידים עמהם מלמדים שם ה' ודרכיו לבני עולם, וכן התגלגל הדבר מדור לדור, שהיו יחידי סגולה מלמדים ומורים דרך ה', אבל לא הועיל כלום.והודיעה לנו התורה, שאל נחשוב, כי על כן רבה רעת האדם בארץ, בעבור שאין להם רב ומורה צדק ויהיה זה חרפת עולם לצדיקי הדורות ההם, אשר ידעו את מעשה ה' כי נורא הוא ולא הודיעום דרך ה', אבל כולם קראו בשם ה' ולא הועיל.אבל קודם הולדת אנוש היו רק מעטים בעולם ולא השחיתו דרכם עדיין, ויראה שהיה זה קודם ""שלקחו להם נשים מכל אשר בחרו"" ולא היו הקדושים צריכים לקרא בשם ה' לבני אדם, ולימדנו הכתוב שבימי אנוש כבר טעו בני אדם מדרך האמת."
מתנות כהונה,Genesis 1,"שמפרידו מזה העולם הכלה, ומביאו לעולם העומד, וגם שם שוב אינו בא לידי חטא. "
ר' דוד הנגיד,Genesis 2,"ואני אומר עוד ""ויהי האדם לנפש חיה"" שחובה על האדם שישתדל בחיי נפשו, יחיה את נפשו ואל ימיתנה, ירפאנה ולא יחלנה, יען כי לנפש יש בריאות ומחלה, ומחלת הנפש היא האיולת והסכלות וקניית המדות המושחתות, הפריצות והרשעות; ורפואתה – קניית המעלות ומדות טובות והלוך אחרי אנשי הדעת. ומגמת הבורא יתברך מן האדם, שילך בדרכיו יתברך ושיהיו כל מעשיו שלמים ובריאים ונפשו שלמה ומתוקנת ותתמיד בחיים הנצחיים, כמו שאמר ""ויהי האדם לנפש חיה""."
אונקלוס,Genesis 3,בקושטא ארי אמר ה'. 
ר' נפתלי הרץ ויזל,Genesis 1,"צוה ה' ואמר ""ישרצו המים"", כלומר יתנועעו המים על ידי שרץ נפש חיה שיבראו בהם... שניתנו המים למקומם, שחיותם בימים..."
אילת השחר,Genesis 2,"כל מקום שכפל הכינוי עם גוף הפעול יש בו דרוש (ויקרא כ""ה מ""ו) ""ובאחיכם... לא תרדה בו"", וכן כפל הייחוס ""ממנו מן""."
הרכסים לבקעה,Genesis 3,"כגידופי הרשעים האומרים (תהלים ב') ""ננתקה את מוסרותימו""... נאמר: ""יושב בשמים ישחק ה' ילעג למו"", כן הדבר הזה: על גידופי הנחש שהרשיע להכשיל האדם, ""והייתם כאלוקים יודעי טוב ורע"" – אמר הוא יתברך כמלעיג על דבריו: ""הן האדם היה עתה (לדברי המגדף) כאחד ממנו לדעת טוב ורע""..."
הרכסים לבקעה,Genesis 3,"המבקש לדעת מקום המבוקש, יאמר ""איפה הוא?"", ""איפה הם רועים?"" (בראשית ל""ז), ""איפה לקטת היום?"" (רות).אבל השואל ""איה הוא?"" אינו כי אם מתמיה שלא מצאו במקום הרגיל (וו איזט ער גאבליאן), ""ואיה נפלאותיו אשר ספרו לנו?"" (שופטים ו') וו בלייבען זיינע וואונדר, ""איה שרה אשתך?"" (בראשית י""ח) = מדוע איננה עמך פה? ""איה ה' אלוקי אדוני אליהו?"" (מלכים ב' ב') = מדוע איננו עמי להושיעני כמוהו? – וכן זה: ""איכה?"" = מדוע אינך במקום הרגיל?..."
ביאור,Genesis 4,"ד""ה חורש: ייתכן להיות שם בפלס (שמואל א', ט""ו ט""ז) ""ואת היותר החרמנו"". כלומר: מחדד כל אומנות נחושת וברזל."
"ר' אברהם בן הרמב""ם",Genesis 2,"ונבוכו הקדמונים והמפרשים ז""ל בטעם מאמרו ""ויכל ביום השביעי""... ואענה אף אני, ואף על פי שמה שאמר מי שקדמני בזה אינו רחוק ממה שאני אומר בו: כי כל השלמה בין שני גבולים היחס שלה אל אותם שני גבולים יחס אחד. זה דבר ברי שאין מספק בו אלא מי שאינו מבין אותו. והשלמת הבריאה הייתה עם סוף יום השישי ותחילת יום השביעי, לכן יחס השלמת הבריאה אל סוף יום השישי ואל תחילת יום השביעי יחס אחד. לכן: אילו אמר הכתוב ""ויכל א-לוהים ביום הששי"" היה טעמו עם סוף יום השישי, ומה שאמר ""ויכל א-לוהים ביום השביעי"" טעמו שבתחילת יום השביעי נשלמה הבריאה, לא שהיה ביום השביעי בריאה מחודשת. "
קאסוטו,Genesis 4,"כשם שבפסוק ב' אחר המלים ""ותוסף ללדת את אחיו את הבל"" נאמר ""ויהי הבל רועה צאן"" כך כאן – אחר המלים ""ותהר ותלד את חנוך"" נאמר בנוסחה דומה ""ויהי בונה עיר"". לפיכך כשם ששם נושא הפועל ""ויהי"" הריהו הבן הנולד, כך הדבר גם כאן: לא בקין הכתוב מדבר אלא בחנוך בנו. (בפסוק ב' מודגש שם הבן במפורש מפני ניגודו לשם קין, וכאן לא היה צורך בכך.)"
קאסוטו,Genesis 4,"שתי המשפחות המתפתחות זו בצד זו התפתחות מקבילה מבחינה מסויימת נבדלות זו מזו מבחינה אחרת, בעלת חשיבות מרובה:צאצאיו של קין... לא יכלו לפתח בתוך חוגם אלא את התרבות החמרית, שאינה מספקת לשמש תריס בפני הפורענות, והואיל וכך, נספו כולם במי המבול.ואילו צאצאיו של שת קיבלו בירושה (לא כולם אמנם, אבל יחידי סגולה לגבם) את דעת ה'... והנה דעת ה' והמידות המוסריות התלויות בה, מביאות לו לבן אדם אותה הברכה, שכל תרבות חומרית אינה יכולה להביא: הן שגורמות לנח... להיושע עם כל משפחתו ממי המבול."
קאסוטו,Genesis 2,"נראה שפירושם של חז""ל על ""לעבדה"" - אלו הקרבנות, אינו דרש בעלמא אלא פשוטו של מקרא."
קאסוטו,Genesis 6,"ד""ה וינחם ה' כי עשה את האדם: שלושה פעלים יש בפסוק זה: נחם, עשה, עצב. וכל שלשת השרשים האלה באו כבר ודוקא באותו הסדר, בתחילת דבריו של למך (ח' כ""ט) ""זה ינחמנו ממעשנו ומעצבון ידינו"" בודאי אין זה מקרה. לכל הפחות יש כאן הקבלה בצורה, הקושרת את שתי הפסקות זו בזו. ואולי יש גם הקבלה ניגודית בענין. למך היה מקוה שבנו יהיה מקור תנחומים מן העצבון היוצא ממעשי ידיהם של בני אדם העובדים עבודה קשה באדמה הארורה; אבל לא שם לב לזה, שכשם שמעשיהם של בני אדם במקצוע העבודה החמרית. היו גורמים עצבון לבעליהם, וכשם שבני אדם משתוקקים היו לתנחומים על העצבון הנגרם להם ע""י מעשיהם החומריים, כך הבורא מתוך עצבון לבו היה ניחם על שעשה את האדם בארץ."
קאסוטו,Genesis 4,"רגילה התורה להלביש רעיונותיה לבוש של תיאור קונקרטי ולמסור את הוראותיה על ידי סיפור מעשים, שאפשר להסיק מהם אותן הוראות... ההוראות שרצתה התורה למסור כאן (בפרק ד') אינן כלולות במאורעות שהיא מספרת אלא בדברי ה'... הוראות אלה מתחלקות לשני סוגים: יש מהן שבולטות לעין וברורות אפילו לקורא הנחפז... (והן שתים...) ויש סוג שני, שאנו יכולים למצוא בכתוב כשאנו מעיינים בו בתשומת לב, ואלו הן: ...מחאה נגד המנהג של נקמת הדם... ניכרת בחוקי התורה בכלל נטייה לצמצם אותו (את מנהג נקמת הדם) ולהעמידו על המועט... וגם בפרשתנו, בקשר למקרה הראשון של רצח בתולדות האנושות, באה לידי ביטוי נטייה מעין זו."
קאסוטו,Genesis 4,"לאחר שהזכירה (התורה) החידושים שחדש קין ובניו בתרבות האנושית, מביאה היא את שירו של למך, המוכיח שעל יד ההתקדמות החומרית לא הייתה מורגשת התקדמות מוסרית. החמס היה שורר ובמעשי החמס היו אותם הדורות מתפארים, דווקא המידות המגונות השנואות בעיני ה' היו נחשבות למעלה בעיני בני אדם. במצב שכזה לא היה אפשר ששופט כל הארץ לא יעשה משפט. כל ההישגים בתרבות החומרית אינם שווים כלום בלי המידות הטובות בדרכי המוסר..."
קאסוטו,Genesis 2,"ואשר להכפלה בענין יצירת האדם, המסופרת גם בפרשה הקודמת (פרק א') וגם בפרשתנו (פרק ב') – אינה מתנגדת כלל לדרכי המחשבה השמית... (התורה מספרת על יצירתו של האדם פעמיים) פעם בקיצור ובקווים הכלליים, כעל יצירת אחד היצורים שבעולם החמרי, ושנית באריכות ובפרטות כעל יצירת היצור המרכזי של העולם המוסרי. ולא היתה לה שום סיבה להמנע מהכפיל את העניין פעמיים, שהרי הייתה הכפלה זו מתאימה לשיטה של כלל ואחריו פרט, הרגילה לא רק בספרות המקראית, אלא גם ביתר הספרויות של המזרח הקדמון."
קאסוטו,Genesis 1,"בכל הפרשה כולה, רק סוגיהם הכלליים של הצומח והחי נזכרים ולא המינים המיוחדים חוץ מהתנינים. בודאי אין יציאה זו מן הכלל בלי כוונה מיוחדת.       "
אנשלמה אשתרוק,Genesis 6,"ויתעצב אל לבו: יש אומרים שכינוי ""לבו"" שב אל האדם, כי ניחם ה' במה שעשה את האדם, וזה כי עשה אלוהים את האדם ישר ונתן לו בשכלו לבחור בטוב ולמאוס ברע, והוא הרבה אשמה ונתעצב ונתעצם ללכת אחרי שרירות לבו ורוע תכונתו, כמו (תהלים קל""ט) ""וראה אם דרך עוצב בי""..., כי אמר דוד: ראה אם נטה לבבי בדרך עוצב ותכונה רעה ונחני בדרך מישור. או אמר ""אל לבו"" כמו על לבו. והרצון שלא נתעצב ה' בבריאת האדם במה שעשהו, כי כבר עשאהו בשלמות. רק נעצב וכעס על לבו של האדם ועל חפצו ורצונו לרע לו."
