id,perek_id,name,start,end
60,48,שמירה על איכות הלימוד,5,7
61,49,מעלת לימוד התורה,1,5
62,49,הצורך בהתמסרות ללימוד,6,9
63,49,שלילת ההתפרנסות מן הלימוד,10,11
64,49,היגיעה בלימוד וההתמדה בו,12,13
65,50,הראוי להיות תלמיד או רב,1,NULL
66,50,סדר הישיבה וההוראה בבית המדרש,2,3
67,50,הצורך להבין את הנלמד,4,5
68,50,אופן שאלת הרב,6,8
69,50,ההתנהגות בבית המדרש,9,NULL
70,51,חשיבות כבוד רבו,1,NULL
71,51,הוראה בפני רבו,2,4
72,51,דרך כיבוד רבו,5,9
73,51,כיבוד מי שאינו רבו מובהק ושאר תלמידי חכמים,9,10
74,51,מחילה על הכבוד וכבוד התלמידים,11,13
75,52,קימה בפני חכם,1,8
76,52,קימה בפני זקן,9,NULL
77,52,פטור ממסים והטבות נוספות,10,NULL
78,52,ביזוי חכמים ונידוי על כך,11,13
79,52,הדברים שעליהם מנדים,14,NULL
80,53,נידוי תלמיד חכמים,1,NULL
81,53,דיני הנידוי והחרם,2,6
82,53,התרת הנידוי,7,13
83,53,שיקולים בהטלת הנידוי ובהתרתו; הנהגת חכם בנידוי לכבודו,13,NULL
84,61,איבוד עבודה זרה ואיסור הנאה ממנה,1,5
85,61,צורות מותרות ואסורות,6,8
86,61,איסור הנאה בכל שהוא,9,10
87,61,הנאה מאשֵרה,11,14
88,61,הנאה מתקרובת עבודה זרה,15,16
89,61,הנאה מרכוש עבודה זרה,17,19
90,62,עבודה זרה שאין בה תפיסת יד אדם,1,3
91,62,מקום שמצויה בו עבודה זרה,4,5
92,62,אופן איבוד עבודה זרה,6,NULL
93,62,איסור הנאה מציפויי עבודה זרה,7,NULL
94,62,הנאה מעבודה זרה שביטלוה ואופן הביטול,8,12
95,63,הימים האסורים במשא ובמתן,1,5
96,63,דברים האסורים במכירה,6,9
97,63,הנאה עקיפה לעבודה זרה וממנה,9,14
98,63,הרחקות שונות מעבודה זרה,15,18
99,64,ריפוי והצלה ממוות,1,2
100,64,מכירה והשכרה של מקרקעין; סיפור בשבחם ונתינת מתנות,3,4
101,64,הנהגות עם הגויים מפני דרכי שלום,5,NULL
102,64,איסור ישיבת גויים בארץ,6,NULL
103,65,איסור הליכה בחוקות הגויים,1,3
104,65,מנחש,4,5
105,65,קוסם,6,7
106,65,מעונן,8,9
107,65,חובר חבר,10,12
108,65,דרישה אל המתים ואל בעל אוב וידעוני,13,14
109,65,מכשף,15,NULL
110,65,ההבל שבדברים הללו,16,NULL
111,66,גילוח פאת הראש,1,6
112,66,גילוח הזקן,7,8
113,66,התלבשות אישה כאיש ולהפך,9,10
114,66,כתובת קעקע,11,NULL
115,66,"שריטה, גדידה וקרחה",12,16
116,55,התפתחות עבודה זרה,1,2
117,55,ההכרה של אברהם אבינו באחדות האל וייסוד עם ישראל,3,NULL
118,56,עיקר איסור עבודה זרה,1,NULL
119,56,איסור פנייה אחריה,2,3
120,56,חומרתה,4,5
121,56,המגדף את השם,6,10
122,57,המעשים שחייבים עליהם,1,5
123,57,אופנים נוספים של עבודה,6,8
124,57,עשיית עבודה זרה וצורותיה,9,11
125,58,כיצד נעשית,1,5
126,58,כיצד נידונת,6,NULL
127,58,נכסיה,7,15
128,58,חשיבות המקיים דינה,16,NULL
129,59,המסית,1,5
130,59,מתנבא בשם עבודה זרה ונביא שקר,6,9
131,59,נדר ושבועה בשם עבודה זרה ואיסור הזכרתה,10,11
132,60,אוב וידעוני,1,2
133,60,הנותן מזרעו למולך,3,5
134,60,מצבה ואבן משכית,6,8
135,60,נטיעת אילן במקדש,9,10
136,68,מצוות התשובה והווידוי,1,2
137,68,כפרה על ידי שעיר המשתלח ויום הכיפורים,2,3
138,68,זמן הכפרה על עברות שונות,4,NULL
139,69,מהות התשובה,1,3
140,69,דרכי התנהגות של השב בתשובה,4,5
141,69,תשובה בין ראש השנה ויום הכיפורים,6,8
142,69,מחילה על עברות שבין אדם לחברו,9,11
143,70,שקילת הזכויות והעוונות,1,5
144,70,אלו שאין להם חלק לעולם הבא,6,14
145,71,עוונות שהעושם נענש שלא יספיק לשוב,1,NULL
146,71,התנהגויות שלא מאפשרות לאדם לשוב,2,NULL
147,71,חטאים שאי אפשר לשוב מהם בתשובה גמורה,3,NULL
148,71,חטאים שאין רגילים לשוב מהם,4,NULL
149,71,דברים שקשה לפרוש מהם,5,NULL
150,71,האפשרות להתגבר על מעכבי התשובה,6,NULL
151,72,אפשרות הבחירה להיות צדיק או רשע,1,2
152,72,חשיבות עיקר זה והסברו,3,4
153,72,היחס בין עיקר זה לבין ידיעת הבורא את העתיד,5,NULL
154,73,מניעת אפשרות התשובה כעונש לחוטא,1,5
155,73,אפשרות הבחירה של היחיד שלא לחטוא אף שנודע שהציבור בכללו יחטא,5,NULL
156,74,ההשתדלות התמידית לעשות תשובה,1,2
157,74,תשובה מן הדעות הרעות,3,NULL
158,74,מעלת השב בתשובה,4,7
159,74,מעלת הבושה על חטאי העבר,8,NULL
160,75,מהות העולם הבא,1,5
161,75,הטובה הגדולה של העולם הבא,6,7
162,75,מציאות העולם הבא בתוך ההווה,8,NULL
163,76,היחס בין העולם הבא לשכר שמופיע בתורה,1,2
164,77,העבודה מיראה כדרך שאינה מעולה,1,NULL
165,77,העבודה מאהבה,2,3
166,77,דברי חכמים בדבר הדרך הראויה לעבודת ה',4,5
167,77,ידיעת ה' ואהבתו,6,NULL
168,610,מצוות שחיטת הפסח ועונש המבטלה,1,2
169,610,מקום השחיטה וזמנה,3,4
170,610,איסור שחיטה על החמץ,5,NULL
171,610,זריקת הדם והקטרת האימורים,6,8
172,610,סדר שחיטת הפסח,9,15
173,610,שחיטת הפסח בשבת,16,20
174,611,שחיטת הפסח על בני החבורה,1,4
175,611,שחיטה על מי שאינו ראוי לאכול מן הקרבן,5,7
176,611,שחיטה עבור אחרים,8,13
177,611,מספר הנמנים על הפסח ועד מתי אפשר להימנות,14,NULL
178,611,חלוקת בשר הפסח בין המנויים,15,NULL
179,612,טעות ושכחה לגבי סוג הפסח,1,2
180,612,שני פסחים שנשחטו על חבורה אחת,3,6
181,612,פסחים של חבורות שונות שהתערבו,7,9
182,613,פסח שנפסל,1,3
183,613,פסח שקרב הוא או דמיו לשלמים,4,9
184,613,מעות הפסח,10,11
185,614,מצוות הקרבת פסח שני ועונש המבטלה,1,4
186,614,מילת בנים ועבדים שמעכבת מלהקריב את הפסח,5,6
187,614,"חיוב פסח שני לגרים, קטנים ונשים",7,8
188,614,הגדרת דרך רחוקה,8,9
189,615,טמאים שנדחים לפסח שני,1,2
190,615,טמאים ששוחטים עליהם את הפסח,3,5
191,615,מצוות חכמים שדוחות את הפסח ואלה שנדחות מפניו,6,9
192,615,ספק טומאה וקבר התהום,10,13
193,616,מתי נעשה הפסח בטומאה,1,7
194,616,אכילת הפסח הבא בטומאה,8,9
195,617,המצוות והאיסורים באכילת הפסח,1,5
196,617,הגדרת נא ומבושל,6,8
197,617,צליית הפסח,9,14
198,617,זמן אכילת הפסח,15,NULL
199,618,אכילת הפסח בחבורה,1,6
200,618,האסורים באכילת הפסח,7,9
201,619,איסור שבירת עצם בקרבן הפסח,1,10
202,619,צליית הפסח כשהוא שלם והאיסור להותיר מבשרו,11,NULL
203,619,חגיגת ארבעה עשר,12,14
204,619,הבדל בין פסח ראשון לשני ובין פסח מצרים לפסח דורות,15,NULL
205,621,מצוות הקרבת עולת ראייה ושלמי חגיגה ושמחה,1,NULL
206,621,שווי הקרבנות,2,3
207,621,זמן ההקרבה,4,7
208,621,הקרבה ביום טוב ובחול המועד,8,10
209,621,כמות העולות והשלמים שראוי להביא,11,NULL
210,622,"החייבים והפטורים בראייה, חגיגה ושמחה",1,5
211,622,הבאת ראייה וחגיגה בשאר ימי החג,6,7
212,622,הדברים שבהם יוצא ידי חובה,8,14
213,622,המצווה לשמח את העניים והלוויים,14,NULL
214,623,מצוות הקהל והחייבים בה,1,2
215,623,תוכן הקריאה וזמנה,3,NULL
216,623,מעמד הקריאה והברכות,4,6
217,623,דחיית הקריאה כשיום הקהל חל בשבת,7,NULL
218,625,בכור אדם ובכור בהמה טמאה וטהורה,1,2
219,625,דיני בכור בהמה טהורה,3,7
220,625,זמן אכילת בכור תם ובעל מום,8,13
221,625,זמן נתינתו לכהן,14,15
222,625,איסורי אכילה של בכור תם,16,NULL
223,625,"פדיון, מכירה והפשטה של בכור",17,19
224,626,בכור שפסול להקרבה או שאין בו קדושה כלל,1,6
225,626,הטלת מום בבכור,7,14
226,626,נאמנות על מומי הבכור,15,19
227,627,התרת בכור בעל מום בשחיטה על ידי מומחה,1,7
228,627,איסור קנייה מהחשוד על הבכור ודין המוכר באיסור,8,9
229,627,הנאה מבכור שנמצא טרפה,10,NULL
230,627,הנאה מגיזת הבכור,11,13
231,628,בעלות הגוי הפוטרת מן הבכורה,1,5
232,628,בכור מספק,6,9
233,628,נפל הפוטר מן הבכורה,10,13
234,628,יציאה דרך הרחם,14,21
235,629,ספק מי הבכור,1,6
236,629,נאמנות ישראל על הבכור,7,NULL
237,629,"חיוב בכורה בקדשים, מעשר שני ושביעית",8,NULL
238,629,איסור סחורה בבכור,9,11
239,630,חובת הפרשת מעשר בהמה ודינו,1,4
240,630,מכירת מעשר,5,8
241,630,נאמנות על מומי המעשר,9,NULL
242,630,הבהמה החייבת במעשר,10,16
243,631,אופן הקדשת המעשר,1,NULL
244,631,הצטרפות הבהמות יחד למעשר,2,6
245,631,גרנות למעשר בהמה,7,9
246,632,בעיות במניין,1,7
247,632,מניין הראוי למעשר פוטר,8,11
248,632,מנוי שנכנס חזרה לדיר והפסקה במניין,12,15
249,634,שגגות כרת שחייבים עליהן חטאת קבועה,1,4
250,634,סוג הקרבן שמביאים,4,5
251,635,הגדרת השגגה והצורך בידיעת החטא,1,6
252,635,השוגג בלא כוונה למעשה (מתעסק),7,NULL
253,635,השוגג תוך כדי עשיית מצווה,8,16
254,636,חיוב חטאת על ידי עדים,1,2
255,636,הבאת חטאת אחת לשם חטא אחד,3,6
256,636,חטאת המשומד,7,8
257,636,הבאת חטאת ואשם לאחר יום הכיפורים והמבעט בכפרה,9,11
258,636,חטאת ואשם של היוצא ליהרג,12,NULL
259,637,התנאים לחיוב כמה חטאות על מעשה אחד ודוגמאות לכך,1,5
260,638,חטאות אחדות מחמת ידיעות חלוקות,1,2
261,638,חטאות אחדות מחמת גופים חלוקים,3,5
262,638,אישה שראתה דם בשעת תשמיש,6,7
263,639,חטאות נפרדות מחמת ידיעות חלוקות,1,NULL
264,639,חטאת אחת בגופים חלוקים,2,3
265,639,חטאות נפרדות מחמת איסורים חלוקים,4,6
266,639,צירוף של חצאי שיעור באיסורים חלוקים או בידיעות חלוקות,7,8
267,639,ידיעות שמחלקות לחטאות,9,12
268,640,חטאות אחדות בעבודה זרה,1,NULL
269,640,חטאות אחדות בחילול שבת,2,10
270,640,מתעסק ומלאכה שאינה צריכה לגופה,11,12
271,641,חיוב אשם תלוי,1,NULL
272,641,איסור קבוע,2,4
273,641,המסופק בסוג החטא,5,NULL
274,641,"אשמות נפרדים בידיעות, איסורים וגופים חלוקים",6,8
275,641,ספקות בשתי חתיכות שהיה בהן איסור ונאכלו שתיהן,9,10
276,642,העברות שחייבים עליהן אשם; אשם שפחה חרופה,1,6
277,642,אשם גזלות,7,NULL
278,642,אשם מעילות,8,9
279,642,כללי אשם ודאי,10,11
280,642,ספקות בשתי חתיכות שהיה בהן איסור ונאכלו שתיהן,12,13
281,643,החייבים בקרבן עולה ויורד וקרבנותיהם,1,5
282,643,הבאתו עבור אחר,6,NULL
283,643,חיוב מלך וכהן משיח,7,NULL
284,643,פטור האנוס,8,NULL
285,643,שינויים בסוג הקרבן,9,13
286,644,ידיעה בתחילה ובסוף,1,2
287,644,שהייה בעזרה בטומאה,3,4
288,644,ספק טומאה וספק ידיעה,5,7
289,644,חיוב על ידי עדים,8,NULL
290,644,הקרבנות המכפרים במחוסר ידיעה או במזיד,9,NULL
291,645,סוגי הקרבנות שמביאים בית הדין,1,NULL
292,645,תנאים לחיוב בקרבן,2,NULL
293,646,בית הדין המורה ואופן ההוראה,1,NULL
294,646,עשיית החטא על ידי רוב הקהל,2,5
295,646,שגגה וזדון בהוראת בית הדין ובעשיית הקהל,5,6
296,647,תוכן ההוראה שחייבים עליה,1,2
297,647,הוראת טעות,3,NULL
298,647,שכחת תוכן ההוראה,4,NULL
299,647,העושה לאחר שנודע לבית הדין ששגגו,5,NULL
300,648,תנאי חיוב כהן משיח בהוראתו,1,5
301,648,ספק שגגת כהן משיח ונשיא,6,NULL
302,648,הגדרת נשיא וכהן משיח,6,7
303,648,קרבן שגגת נשיא,8,9
304,648,כהן משיח ונשיא שחטאו קודם מינוים,10,NULL
305,650,ארבעת מחוסרי הכפרה וקרבנותיהם,1,3
306,650,זמן הבאת הקרבנות; הקרבה שלא מדעת,4,5
307,650,הזבה והיולדת החייבות בקרבן,6,9
308,650,דין הקרבן של מחוסרי כפרה מספק,10,11
309,650,הבאת הקרבן למקדש,12,13
310,651,הגדרת הזוב המטמא,1,5
311,651,מניין ראיות הזיבה והצטרפותן,6,8
312,651,שיעור הראייה המטמא והחשבת ראייה אחת ככמה ראיות,9,14
313,652,ספירת שבעה נקיים לטהרה ולהבאת קרבן,1,3
314,652,דין הראיות בימי הספירה ואחריהם לעניין חיוב קרבן,4,5
315,652,המיטמאים בזיבה ודין קרבנם,6,7
316,653,סדר כפרת המצורע,1,3
317,654,הגדרת התנוך והבהונות,1,NULL
318,654,פסולים בשחיטה,2,3
319,654,לוג השמן ומתנותיו,4,7
320,654,מצורע שנתנגע שוב,8,NULL
321,654,קרבן העשיר והעני,9,11
322,656,האיסור להמיר בהמת קדשים ועונש הממיר,1,2
323,656,האנשים שעושים תמורה,3,10
324,656,הבהמות שעושות תמורה,11,21
325,657,הלשונות שבהן ממירים,1,NULL
326,657,איזו לשון מתפרשת כהמרה ואיזו כחילול,2,3
327,657,המרה בשני קרבנות,4,NULL
328,658,תמורה של קרבנות שונים,1,2
329,658,תמורה של בהמות שאינן קרבות,3,5
330,658,תמורה של תערובת,6,7
331,659,ולדות קרבנות שונים,1,7
332,659,ולדות פסולים ונפלים,8,10
333,659,שינוי מקדושה לקדושה,11,13
334,659,חתימת הספר,13,NULL
335,662,הדרכים שבהן המת מטמא,1,2
336,662,טומאת מגע,3,5
337,662,טומאת משא,6,9
338,662,טומאת אוהל,10,11
339,662,האנשים המטמאים והנטמאים במת,12,14
340,662,מתי אדם נחשב מת,15,NULL
341,663,נפל ובשר מן המת,1,2
342,663,איבר מן החי או מן המת,3,7
343,663,עצמות המת,8,11
344,663,דם המת,12,14
345,663,הקבר,15,16
346,664,דרכי הטומאה של חלקי המת ותוקפן,1,3
347,664,רקב המת,4,8
348,664,מת ובשר המת שנעשה בהם שינוי,9,10
349,664,עור האדם,11,12
350,664,חלקי גוף נלווים והפרשות,13,14
351,664,החלקים שאם חסרו טהורים,15,NULL
352,665,צירוף טומאות ממתים שונים,1,3
353,665,עצמות המת ובשרו שנחלקו,4,7
354,665,צירוף על ידי אוהל,8,9
355,665,טומאה בבית שנבלעה או אבדה,10,12
356,665,דם שנשפך או נבלע,13,NULL
357,665,שמות הטומאה וצירופיהם,14,NULL
358,666,הנטמאים טומאת שבעה,1,6
359,666,דרגות הטומאה,7,11
360,666,טומאת אוהלים,12,NULL
361,666,אופנים שהמת והנטמאים בו אינם מטמאים,13,14
362,667,כלים שאינם נטמאים בטומאת מת,1,3
363,667,טומאת גולל,4,8
364,667,חצר הקבר,9,NULL
365,668,יציאת טומאה דרך פתחי הבית,1,3
366,668,דין קבר סתום וטומאה רצוצה,4,7
367,669,שדה שאבד קבר בתוכה,1,3
368,669,מקומות הסמוכים לבית הקברות,3,4
369,669,קבר או מת שנמצא,5,8
370,669,ציון הטומאה,9,11
371,670,תבוסת המת ושכונת קברות,1,6
372,670,בדיקת מקום שיש בו ספק טומאה,6,10
373,670,דין ספק טומאת מת,11,12
374,671,הגדרתו,1,3
375,671,מתי אינו נעשה בית הפרס,4,7
376,671,נטיעה וזריעה בו,8,NULL
377,671,החזקת מקום כבית פרס,9,10
378,671,הליכה בו,11,NULL
379,671,טיהורו,12,NULL
380,672,ארץ העמים,1,6
381,672,מדור גויים,7,11
382,672,מקומות שאינם טמאים משום ארץ העמים,12,NULL
383,673,אוהל שמביא את הטומאה וחוצץ בפניה,1,2
384,673,נסר על פי תנור,3,4
385,673,גזרות באוהלים שאין בהם פותח טפח,5,7
386,673,אוהלים עגולים,8,NULL
387,674,אוהל הנעשה מאליו,1,NULL
388,674,אוהל רעוע,2,NULL
389,674,מביא וחוצץ,3,NULL
390,674,מביא ולא חוצץ,4,NULL
391,674,לא מביא ולא חוצץ,5,7
392,674,חוצץ ולא מביא,8,NULL
393,675,גדלי החלונות השונים,1,5
394,675,פתחים וחורים בבית,6,7
395,676,סתימת החלון או מיעוטו בדברים החוצצים,1,5
396,677,בית שיש בתקרתו ארובה,1,5
397,677,קורות הבית שיש ביניהן אוויר,6,NULL
398,677,מבנה שגגו נסדק,6,7
399,678,זיז,1,4
400,678,כלים המונחים זה על גבי זה או זה לצד זה,4,5
401,678,טומאה תחת החבית בתוכה או על גבה,6,NULL
402,679,מעבר טומאה על ידי אדם,1,3
403,679,תנור ומגדל,4,6
404,679,שיפועי אוהלים,7,8
405,680,כוורת,1,5
406,680,גמל; סיכום: פירוט האוהלים מדברי סופרים,6,NULL
407,681,שלושת המצילים באוהל המת,1,NULL
408,681,בלועים המצילים,2,4
409,681,בלועים שאינם מצילים,5,6
410,681,שאר המצילים שאינם מונעים מהטומאה לטמא,6,8
411,682,הצלה משום צמיד פתיל,1,2
412,682,הצלה משום אוהל,3,8
413,682,הצלה בתנור ובחבית משום צמיד פתיל או אוהל,8,11
414,683,שלמות הכלי המציל בצמיד פתיל,1,8
415,683,הכיסוי הנחשב צמיד פתיל,8,11
416,684,הדברים שעליהם מציל צמיד פתיל,1,4
417,685,מחיצה בתוך הבית,1,2
418,685,בית מלא תבן,3,NULL
419,685,כתלי הבית ותקרתו,4,8
420,686,טומאה בעמודים ובחורי הכתלים,1,5
421,686,טומאה בכניסה לבית,6,7
422,686,אישה שילדה עובר מת,8,12
423,688,גיל הפרה,1,NULL
424,688,אדמומיות הפרה,8,NULL
425,688,מומים ומלאכה הפוסלים בה,7,NULL
426,688,פדיון פרה שנפסלה,18,NULL
427,688,הכהן העושה את הפרה,23,NULL
428,688,טבול יום בפרה,28,NULL
429,689,הפרשת הכהן מביתו ללשכה במקדש,4,NULL
430,689,הזאת מי חטאת על הכהן,10,NULL
431,689,הכשרת התינוקות המזים על הכהן,15,NULL
432,690,סדר שרפת הפרה,3,NULL
433,690,הטיפול באפר,7,NULL
434,691,שחיטת הפרה,4,NULL
435,691,קבלה והזאה של הדם,13,NULL
436,691,שרפת הפרה,26,NULL
437,691,איסוף האפר,17,NULL
438,691,מלאכה שפוסלת בזמן עשיית הפרה,35,NULL
439,692,טומאת העוסקים בפרה,5,NULL
440,692,טומאת העוסקים בחטאות הנשרפות  ובשעיר המשתלח,11,NULL
441,693,כללי המילוי הקידוש וההזאה,3,NULL
442,693,הכלים הכשרים,10,NULL
443,693,אופן המילוי הכשר,8,NULL
444,693,המים הכשרים,25,NULL
445,694,פסול מחמת מלאכה,1,NULL
446,694,פסול מחמת שכר,2,NULL
447,694,מלאכות הפוסלות בשעת מילוי המים,14,NULL
448,695,מלאכה הפוסלת בשעת הולכת המים,3,NULL
449,695,דברים הפוסלים בשעת קידוש המים,11,NULL
450,696,קידוש המים,4,NULL
451,696,הכלי שבו מקדשים,11,NULL
452,696,פסול תערובת ושינוי מראה,23,NULL
453,696,פסול מחמת טומאה,34,NULL
454,697,"מילוי, קידוש והזאה על ידי כמה אנשים או כלים",1,NULL
455,697,הולכת המים ושמירתם,7,NULL
456,697,הכשרים להזות,11,NULL
457,697,כוונה בהזאה וטבילת האזוב במי חטאת,17,NULL
458,698,אופן ההזאה וזמנה,1,2
459,698,האנשים המקבלים הזאה,3,NULL
460,698,האזוב הכשר להזאה,11,NULL
461,699,מגע מי ההזאה במיטהר,1,3
462,699,חיבורי כלים לעניין טומאה והזאה,4,12
463,700,הדברים שאינם טהורים לחטאת,3,NULL
464,700,הדרכים שבהן נטמאים לחטאת,14,NULL
465,700,נאמנות על טהרת חטאת,12,NULL
466,701,הנחה במקום טהור,1,5
467,701,מי חטאת שנטמאו,14,NULL
468,701,"כללי טומאה וטהרה המשותפים לחטאת, לקודש ולתרומה",19,NULL
469,702,אופני ההיטמאות ממי חטאת,1,NULL
470,702,מי חטאת שנפסלו או שנטמאו,2,8
471,702,אזוב טמא,9,NULL
472,702,הכלי שהוזה עליו,10,NULL
473,704,מראות הצרעת,1,6
474,704,שיעור הנגע,7,8
475,704,הגדרת בהרת,9,NULL
476,704,סימני הטומאה,10,11
477,705,השער המטמא ומקומו בבהרת,1,5
478,705,קדימת הבהרת לשער,6,9
479,706,המחיה המטמאת ומקומה בבהרת,1,3
480,706,קדימת הבהרת למחיה,4,NULL
481,706,בהרת ומחיה שנתמעטו או גדלו,5,7
482,706,מחיה בראשי איברים,8,9
483,707,הפשיון המטמא ומקומו בבהרת,1,4
484,707,שינויים בבהרת המקורית,5,6
485,707,חוט היוצא מן הבהרת,7,NULL
486,707,פשיון בבהרת שטהרה,7,9
487,707,בהרת עם כמה סימני טומאה,10,11
488,708,שחין ומכווה,1,7
489,708,קרחת וגבחת,8,11
490,709,מקומות שאינם מיטמאים בבהרת,1,3
491,709,בהרות טהורות,4,NULL
492,709,ספק נגעים,5,6
493,709,שינוי בבהרת בזמן ראיית הכהן,7,NULL
494,710,צרעת שפרחה עד שהלבין כולו,1,2
495,710,מחיה המעכבת את הפריחה,3,6
496,710,ראיית הכהן את הנגע הפורח,7,NULL
497,711,נתק המטמא,1,5
498,711,שער שחור המציל,6,9
499,711,שני נתקים סמוכים,10,11
500,711,ניתק כל שערו,12,13
501,711,צרעת הראש והזקן,14,NULL
502,712,הכהן הכשר לראיית הנגע,1,5
503,712,זמן ראיית הנגע,6,11
504,712,עמידת האדם הנגוע לפני הכהן,12,NULL
505,713,איסור הסרת הצרעת,1,5
506,713,הנהגת המצורע בימי טומאתו,6,10
507,713,טומאת המצורע,11,12
508,714,סדר הטהרה,1,2
509,714,פרטי דיני הטהרה,3,6
510,714,ציפורי המצורע,7,10
511,715,סימני הטומאה ותהליך ההסגר,1,5
512,715,מטלית התפורה בבגד,6,7
513,715,צרעת שפרחה בכולו,8,NULL
514,715,בגדים שאינם מיטמאים בנגעים,9,13
515,716,מיני הבגדים המיטמאים בנגעים,1,7
516,716,חוטים ושולי הבגדים,8,10
517,716,הבדלים בין בגד המוסגר למוחלט,11,12
518,716,טומאת הבגדים,13,15
519,717,סימני הטומאה,1,3
520,717,תהליך ראיית הנגע,4,5
521,717,מבנה הבית המיטמא,6,10
522,717,בתים שאינם מיטמאים,11,15
523,718,תהליך ההסגר,1,2
524,718,חליצת האבנים ונתיצת הבית,3,7
525,718,טיהור הבית,8,NULL
526,719,טומאת הבית המנוגע והנכנס אליו,1,5
527,719,שיעור השהייה בבית המטמא,6,8
528,719,כלים הניצלים מן הטומאה,9,NULL
529,719,חתימה: חומרת לשון הרע ודיבורים בטלים,10,NULL
530,721,המטמאים במשכב ומושב,1,2
531,721,הנטמאים בנידה ובזיבה,3,7
532,721,טומאת דם הנידה,8,11
533,721,טומאת זוב,12,13
534,721,המשקים היוצאים מן הזב,14,16
535,722,טומאת המשקים בעודם לחים או יבשים,1,NULL
536,722,חפצים ומאכלים שנדבק בהם רוק הזב,2,5
537,722,תערובת של משקים טמאים בטהורים,6,NULL
538,722,פרטי דינים במי רגליים של זב,7,9
539,722,גזרת טומאה על הגויים שיטמאו כזבים,10,NULL
540,723,בועל נידה,1,3
541,723,טומאה למפרע,4,8
542,723,מטמאי משכב ומושב מדברי סופרים,9,NULL
543,724,ארבע נשים שדיין שעתן,1,6
544,724,בדיקה לטהרות,7,9
545,724,טומאת כתמים,10,15
546,725,תלות הטהרה בטבילה,1,NULL
547,725,טומאת היולדת בשלבי היטהרותה,2,5
548,725,טומאת הזב והזבה בשלבי היטהרותם,6,9
549,726,טומאת משכב מושב ומרכב,1,NULL
550,726,טומאת בגדים,2,NULL
551,726,טומאת מדף,3,NULL
552,726,טומאה לאחר מיתה,4,NULL
553,726,הדברים שנטמאים על ידי הזב כאשר הם מעליו או מתחתיו,5,6
554,727,הדרכים שבהן המשכב והמושב נטמאים ומטמאים,1,2
555,727,טומאת משכב ומושב על ידי נשיאת רובו של האדם,3,7
556,727,הכלי הראוי להיטמא במשכב או במושב,8,NULL
557,728,טומאת היסט,1,5
558,728,מקרים של טומאת היסט וטומאות נוספות,6,10
