Chapter Name,Topic Name,Topic Name (sans nikud),English description,Aspaklaria Topic,Aspaklaria type,Is a Type of,Notes,#N/A
מַעֲשֵׂי אָבוֹת,חֲלֻקַּת יַעֲקֹב וְעֵשָׂו,חלקת יעקב ועשו,,יעקב ועשו,specific biblical person relationship,,,
מַעֲשֵׂי אָבוֹת,מִיתַת רִבְקָה וּקְבוּרַת רָחֵל,מיתת רבקה וקבורת רחל,,,#N/A,biblical historical event,,
מַעֲשֵׂי אָבוֹת,בֵּית יַעֲקֹב וּבֵית עֵשָׂו,בית יעקב ובית עשו,,יעקב ועשו,specific biblical person relationship,,,
מַעֲשֵׂי אָבוֹת,יוֹסֵף וְאֶחָיו,יוסף ואחיו,,יוסף ואחיו,specific biblical person relationship,,,
מַעֲשֵׂי אָבוֹת,יְרִידַת יְהוּדָה,ירידת יהודה,,יהודה ויוסף,specific biblical person relationship,,,
מַעֲשֵׂי אָבוֹת,יוֹסֵף בְּמִצְרַיִם,יוסף במצרים,,יוסף ומצרים,biblical historical event,,,
מַעֲשֵׂי אָבוֹת,יוֹסֵף לִפְנֵי פַּרְעֹה,יוסף לפני פרעה,,יוסף ופרעה,specific biblical person relationship,,,
מַעֲשֵׂי אָבוֹת,אֲחֵי יוֹסֵף בְּמִצְרַיִם,אחי יוסף במצרים,,יוסף ואחיו,specific biblical person relationship,,,
מַעֲשֵׂי אָבוֹת,יוֹסֵף מִתְוַדֵּעַ אֶל אֶחָיו,יוסף מתודע אל אחיו,,יוסף ואחיו,specific biblical person relationship,,,
מַעֲשֵׂי אָבוֹת,יְרִידַת יַעֲקֹב לְמִצְרַיִם,ירידת יעקב למצרים,,יעקב ומצרים,biblical historical event,,,
מַעֲשֵׂי אָבוֹת,מִיתָתוֹ וּקְבוּרָתוֹ שֶׁל יַעֲקֹב,מיתתו וקבורתו של יעקב,,יעקב מיתה,biblical historical event,,,
יִשְׂרָאֵל בְּמִצְרַיִם וִיצִיאַת מִצְרַיִם,שִׁעְבּוּד מִצְרַיִם,שעבוד מצרים,,גלות מצרים ישראל במצרים,biblical historical event,,,
יִשְׂרָאֵל בְּמִצְרַיִם וִיצִיאַת מִצְרַיִם,לֵדָתוֹ וְגִדּוּלוֹ שֶׁל מֹשֶה,לדתו וגדולו של משה,,משה לידתו,biblical historical event,,,
יִשְׂרָאֵל בְּמִצְרַיִם וִיצִיאַת מִצְרַיִם,מֹשֶה יוֹצֵא אֶל אֶחָיו,משה יוצא אל אחיו,,משה והמצרי,biblical historical event,,,
יִשְׂרָאֵל בְּמִצְרַיִם וִיצִיאַת מִצְרַיִם,מֹשֶה בְּמִדְיָן,משה במדין,,משה במדין,biblical historical event,,,
יִשְׂרָאֵל בְּמִצְרַיִם וִיצִיאַת מִצְרַיִם,נַאֲקַת בְּנֵי יִשְׂרָאֵל וּשְׁלִיחוּתוֹ שֶׁל מֹשֶה,נאקת בני ישראל ושליחותו של משה,,משה בסנה,biblical historical event,,,
יִשְׂרָאֵל בְּמִצְרַיִם וִיצִיאַת מִצְרַיִם,מֹשֶה חוֹזֵר לְמִצְרַיִם,משה חוזר למצרים,,,#N/A,biblical historical event,,
יִשְׂרָאֵל בְּמִצְרַיִם וִיצִיאַת מִצְרַיִם,מֹשֶה לִפְנֵי פַּרְעֹה,משה לפני פרעה,,משה ופרעה,specific biblical person relationship,,,
יִשְׂרָאֵל בְּמִצְרַיִם וִיצִיאַת מִצְרַיִם,קְשִׁי הַשִּׁעְבּוּד,קשי השעבוד,,גלות מצרים שעבוד,biblical historical event,,,
יִשְׂרָאֵל בְּמִצְרַיִם וִיצִיאַת מִצְרַיִם,הָאוֹתוֹת וְהַמַּכּוֹת,האותות והמכות,,עשר מכות,biblical historical event,,,
יִשְׂרָאֵל בְּמִצְרַיִם וִיצִיאַת מִצְרַיִם,קֹדֶם יְצִיאַת מִצְרַיִם,קדם יציאת מצרים,,גלות מצרים שאלת רכוש,biblical historical event,,,
יִשְׂרָאֵל בְּמִצְרַיִם וִיצִיאַת מִצְרַיִם,בִּזַּת מִצְרַיִם,בזת מצרים,,גלות מצרים שאלת רכוש,biblical historical event,,,
יִשְׂרָאֵל בְּמִצְרַיִם וִיצִיאַת מִצְרַיִם,אֲרוֹנוֹ שֶׁל יוֹסֵף,ארונו של יוסף,,יוסף ארון,inanimate object,,,
יִשְׂרָאֵל בְּמִצְרַיִם וִיצִיאַת מִצְרַיִם,יְצִיאַת מִצְרַיִם,יציאת מצרים,,יציאת מצרים,biblical historical event,,,
יִשְׂרָאֵל בְּמִצְרַיִם וִיצִיאַת מִצְרַיִם,קְרִיעַת יַם סוּף וּבִזַּת הַיָּם,קריעת ים סוף ובזת הים,,דור המדבר בים סוף,biblical historical event,,,
ישְִׂרָאֵל בַּמִּדְבָּר,מִמִּצרְַיםִ למִַּדבְּרָ,ממצרים למדבר,,דור המדבר מסע,biblical historical event,,,
ישְִׂרָאֵל בַּמִּדְבָּר,הַמָּן,המן,,דור המדבר מן,biblical historical event,,,
ישְִׂרָאֵל בַּמִּדְבָּר,הַבְּאֵר,הבאר,,דור המדבר באר,biblical historical event,,,
ישְִׂרָאֵל בַּמִּדְבָּר,עַנְנֵי כָּבוֹד,ענני כבוד,,,#N/A,spiritual entity,,
ישְִׂרָאֵל בַּמִּדְבָּר,מִלחְמֶֶת עמֲָלקֵ,מלחמת עמלק,,עמלק מלחמת,biblical historical event,,,
ישְִׂרָאֵל בַּמִּדְבָּר,מַתַּן תּוֹרָה,מתן תורה,,מתן תורה,biblical historical event,,,
ישְִׂרָאֵל בַּמִּדְבָּר,נָדָב וַאֲבִיהוּא,נדב ואביהוא,,נדב ואביהוא,group of people,,,
ישְִׂרָאֵל בַּמִּדְבָּר,חֵטְא הָעֵגֶל,חטא העגל,,דור המדבר חטא העגל,biblical historical event,,,
ישְִׂרָאֵל בַּמִּדְבָּר,הַמִּשְׁכָּן וְכֵלָיו,המשכן וכליו,,משכן,structure,,,
ישְִׂרָאֵל בַּמִּדְבָּר,נְסִיעָתָם וַחֲנִיָּתָם שֶׁל יִשְׂרָאֵל בַּמִּדְבָּר,נסיעתם וחניתם של ישראל במדבר,,דור המדבר מסע,biblical historical event,,,
ישְִׂרָאֵל בַּמִּדְבָּר,מְרַגְּלִים,מרגלים,,דור המדבר חטא מרגלים,biblical historical event,,,
ישְִׂרָאֵל בַּמִּדְבָּר,מַחֲלֹקֶת קֹרַח וַעֲדָתוֹ,מחלקת קרח ועדתו,,משה וקרח,biblical historical event,,,
ישְִׂרָאֵל בַּמִּדְבָּר,מֵי מְרִיבָה,מי מריבה,,משה מי מריבה,biblical historical event,,,
ישְִׂרָאֵל בַּמִּדְבָּר,טַרְחָנִים,טרחנים,,,#N/A,character trait,,
ישְִׂרָאֵל בַּמִּדְבָּר,אַהֲרֹן,אהרן,,אהרן,biblical person,,,
ישְִׂרָאֵל בַּמִּדְבָּר,מִיתָתוֹ שֶׁל אַהֲרֹן,מיתתו של אהרן,,אהרן מיתה,biblical historical event,,,
ישְִׂרָאֵל בַּמִּדְבָּר,הַנִּסִּים עַל נַחַל אַרְנוֹן,הנסים על נחל ארנון,,,#N/A,biblical historical event,,
ישְִׂרָאֵל בַּמִּדְבָּר,עוֹג מֶלֶךְ הַבָּשָׁן,עוג מלך הבשן,,עוג,biblical person,,,
ישְִׂרָאֵל בַּמִּדְבָּר,בִּלְעָם,בלעם,,בלעם,biblical person,,,
ישְִׂרָאֵל בַּמִּדְבָּר,בְּנוֹת צְלָפְחָד,בנות צלפחד,,צלפחד בנות,group of people,,,
ישְִׂרָאֵל בַּמִּדְבָּר,מִלחְמֶֶת מִדיְןָ,מלחמת מדין,,דור המדבר מלחמת מדין,biblical historical event,,,
ישְִׂרָאֵל בַּמִּדְבָּר,סִפּוּק צָרְכֵיהֶם שֶׁל יִשְׂרָאֵל בַּמִּדְבָּר,ספוק צרכיהם של ישראל במדבר,,,#N/A,biblical historical event,,
ישְִׂרָאֵל בַּמִּדְבָּר,סוֹף אַרְבָּעִים שָׁנָה בַּמִּדְבָּר,סוף ארבעים שנה במדבר,,דור המדבר מסע,biblical historical event,,,
ישְִׂרָאֵל בַּמִּדְבָּר,נְבוּאָתוֹ שֶׁל מֹשֶה,נבואתו של משה,,משה נבואה,theological process,,,
ישְִׂרָאֵל בַּמִּדְבָּר,אֶלְדָּד וּמֵידָד,אלדד ומידד,,אלדד ומידד,biblical person,,,
ישְִׂרָאֵל בַּמִּדְבָּר,מֹשֶה וִיהוֹשֻׁעַ,משה ויהושע,,משה ויהושע,specific biblical person relationship,,,
ישְִׂרָאֵל בַּמִּדְבָּר,מִיתָתוֹ שֶׁל מֹשֶה,מיתתו של משה,,משה מיתה וקבורה,biblical historical event,,,
ישְִׂרָאֵל בַּמִּדְבָּר,קִבְרוֹ שֶׁל מֹשֶה,קברו של משה,,משה מיתה וקבורה,biblical historical event,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",אֶרֶץ הַבְּחִירָה,ארץ הבחירה,,ארץ ישראל,geographic site,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",יְהוֹשֻׁעַ,יהושע,,יהושע,biblical person,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",בִּימֵי שְׁפֹט הַשּׁוֹפְטִים,בימי שפט השופטים,,הסטוריה שופטים,span of time,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",דְּבוֹרָה הַנְּבִיאָה,דבורה הנביאה,,,#N/A,biblical person,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",יִפְתָּח וּבִתּוֹ,יפתח ובתו,,יפתח,biblical person,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",שִׁמְשׁוֹן,שמשון,,שמשון,biblical person,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",פֶּסֶל מִיכָה,פסל מיכה,,מיכה ופסל,biblical historical event,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",מְגִלַּת רוּת,מגלת רות,,רות,biblical person,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",אֶלְקָנָה וְחַנָּה,אלקנה וחנה,,אלקנה,biblical person,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",בְּנֵי עֵלִי,בני עלי,,עלי בני,group of people,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",שְׁמוּאֵל,שמואל,,שמואל הנביא,biblical person,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",חֻרְבַּן שִׁילֹה,חרבן שילה,,שילה משכן,structure,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",בְּנֵי שְׁמוּאֵל,בני שמואל,,,#N/A,group of people,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",שָׁאוּל הַמֶּלֶךְ,שאול המלך,,שאול מלך,biblical person,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",מִיתָתוֹ שֶׁל שָׁאוּל,מיתתו של שאול,,,#N/A,biblical historical event,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",דָּוִד הָרוֹעֶה,דוד הרועה,,דוד,biblical person,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",דָּוִד וּמַעֲשֵׂי ה',דוד ומעשי ה',,דוד שירה,musical process,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",כִּנּוֹרוֹ שֶׁל דָּוִד,כנורו של דוד,,דוד כנור,musical process,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",חֵטְא דָּוִד וּתְשׁוּבָתוֹ,חטא דוד ותשובתו,,דוד חטא,biblical historical event,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",עַנְוְתָנוּתוֹ שֶׁל דָּוִד,ענותנותו של דוד,,דוד והארון,biblical historical event,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",דָּוִד וְאַבְנֵר,דוד ואבנר,,,#N/A,specific biblical person relationship,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",דָּוִד וְשׂוֹנְאֵי יִשְׂרָאֵל,דוד ושונאי ישראל,,דוד מלחמות,biblical historical event,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",דָּוִד וְאַבְשָׁלוֹם בְּנוֹ,דוד ואבשלום בנו,,דוד ואבשלום,specific biblical person relationship,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",דָּוִד וְיִשְׁבִּי בְּנֹב,דוד וישבי בנב,,דוד ופלשתים,specific biblical person relationship,,double check if included there,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",מִיתָתוֹ שֶׁל דָּוִד,מיתתו של דוד,,,#N/A,biblical historical event,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",חָכְמָתוֹ וּגְדֻלָּתוֹ שֶׁל שְׁלֹמֹה הַמֶּלֶךְ,חכמתו וגדלתו של שלמה המלך,,שלמה,biblical person,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",בִּנְיַן שְׁלֹמֹה,בנין שלמה,,בית המקדש בנין,halachic process,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",כִּסֵּא שְׁלֹמֹה,כסא שלמה,,שלמה כסא,inanimate object,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",שְׁלֹמֹה וּמַלְכַּת שְׁבָא,שלמה ומלכת שבא,,שבא מלכת,biblical person,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",שְׁלֹמֹה — מֶלֶךְ וְהֶדְיוֹט,שלמה — מלך והדיוט,,שלמה,biblical person,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",יָרָבְעָם,ירבעם,,ירבעם בן נבט,biblical person,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",עָמְרִי וְאַחְאָב,עמרי ואחאב,,אחאב,biblical person,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",אֵלִיָּהוּ וְעוֹבְדֵי הַבַּעַל,אליהו ועובדי הבעל,,אליהו,biblical person,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",יוֹנָה,יונה,,יונה הנביא,biblical person,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",גָּלוּת עֲשֶׂרֶת הַשְּׁבָטִים,גלות עשרת השבטים,,עשרת השבטים,group of people,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",הַכּוּתִים,הכותים,,כותים,nation/ethnicity,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",חִזְקִיָּהוּ וּמַפֶּלֶת סַנְחֵרִיב,חזקיהו ומפלת סנחריב,,חזקיה,biblical person,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",חִזְקִיָּהוּ וִישַׁעְיָהוּ,חזקיהו וישעיהו,,חזקיה,biblical person,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",שְׂכַר שְׁלוֹשׁ פְּסִיעוֹתָיו שֶׁל מְרֹאדַךְ בַּלְאֲדָן,שכר שלוש פסיעותיו של מראדך בלאדן,,מרודך בלאדן,biblical person,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",מְנַשֶּׁה,מנשה,,מנשה המלך,biblical person,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",צִדְקִיָּהוּ הַמֶּלֶךְ,צדקיהו המלך,,צדקיה,biblical person,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",נְבוּכַדְנֶאצַּר,נבוכדנאצר,,נבוכדנאצר,biblical person,,,
"שׁוֹפְטִים, מְלָכִים וּנְבִיאִים",יְהוֹיָקִים וִיכָנְיָה,יהויקים ויכניה,,יהויקים,biblical person,,,
חֻרְבַּן בַּיִת רִאשׁוֹן,חֻרְבַּן הַבַּיִת,חרבן הבית,,הסטוריה בית ראשון חורבן,span of time,,,
חֻרְבַּן בַּיִת רִאשׁוֹן,תִּשְׁעָה בְּאָב,תשעה באב,,תשעה באב,fast day,,,
חֻרְבַּן בַּיִת רִאשׁוֹן,עַל חָרְבוֹת יְרוּשָׁלַיִם,על חרבות ירושלים,,הסטוריה בית ראשון חורבן,span of time,,,
חֻרְבַּן בַּיִת רִאשׁוֹן,סִלּוּק שְׁכִינָה,סלוק שכינה,,הסטוריה בית ראשון חורבן,span of time,,,
חֻרְבַּן בַּיִת רִאשׁוֹן,הַקָּדוֹשׁ בָּרוּךְ הוּא בּוֹכֶה,הקדוש ברוך הוא בוכה,,הסטוריה בית ראשון חורבן,span of time,,,
חֻרְבַּן בַּיִת רִאשׁוֹן,אֵבֶל אָבוֹת,אבל אבות,,הסטוריה בית ראשון חורבן,span of time,,,
חֻרְבַּן בַּיִת רִאשׁוֹן,דָּמוֹ שֶׁל זְכַרְיָה,דמו של זכריה,,זכריה בית ראשון,biblical person,,,
חֻרְבַּן בַּיִת רִאשׁוֹן,יִסּוּרֵי הַגּוֹלִים,יסורי הגולים,,הסטוריה בית ראשון חורבן,span of time,,,
חֻרְבַּן בַּיִת רִאשׁוֹן,עַל נַהֲרוֹת בָּבֶל,על נהרות בבל,,הסטוריה בית ראשון חורבן,span of time,,,
חֻרְבַּן בַּיִת רִאשׁוֹן,גַּעְגּוּעִים,געגועים,,,#N/A,theological process,,
חֻרְבַּן בַּיִת רִאשׁוֹן,נֶחָמָה,נחמה,,גאולה,process,,,
בֵּין בַּיתִ לבְַיתִ,דָּנִיֵּאל וְהַתַּנִּין בְּבָבֶל,דניאל והתנין בבבל,,דניאל,biblical person,,,
בֵּין בַּיתִ לבְַיתִ,מֵתִים שֶׁהֶחֱיָה יְחֶזְקֵאל,מתים שהחיה יחזקאל,,יחזקאל,biblical person,,,
בֵּין בַּיתִ לבְַיתִ,"חֲנַנְיָה, מִישָׁאֵל וַעֲזַרְיָה","חנניה, מישאל ועזריה",,חנניה מישאל ועזריה,biblical person,,,
בֵּין בַּיתִ לבְַיתִ,עֶזְרָא,עזרא,,עזרא,biblical person,,,
בֵּין בַּיתִ לבְַיתִ,אַנְשֵׁי כְּנֶסֶת הַגְּדוֹלָה,אנשי כנסת הגדולה,,עזרא,biblical person,,,
בֵּין בַּיתִ לבְַיתִ,בִּימֵי מָרְדְּכַי וְאֶסְתֵּר,בימי מרדכי ואסתר,,פורים,rabbinic holiday,,,
בֵּין בַּיתִ לבְַיתִ,דְּבוֹרָה וְאֶסְתֵּר,דבורה ואסתר,,אסתר,biblical person,,,
בֵּין בַּיתִ לבְַיתִ,סְעוּדַת אֲחַשְׁוֵרוֹשׁ,סעודת אחשורוש,,אחשורוש משתה,biblical historical event,,,
בֵּין בַּיתִ לבְַיתִ,בִּגְתָן וָתֶרֶשׁ,בגתן ותרש,,בגתן ותרש,biblical person,,,
בֵּין בַּיתִ לבְַיתִ,גְּדֻלַּת הָמָן,גדלת המן,,אחשורוש והמן,specific biblical person relationship,,,
בֵּין בַּיתִ לבְַיתִ,מַחֲשֶׁבֶת הָמָן,מחשבת המן,,המן,biblical person,,,
בֵּין בַּיתִ לבְַיתִ,מַלְשִׁינוּת הָמָן וּגְזֵרַת אֲחַשְׁוֵרוֹשׁ,מלשינות המן וגזרת אחשורוש,,אחשורוש והמן,specific biblical person relationship,,,
בֵּין בַּיתִ לבְַיתִ,מַפֶּלֶת הָמָן וּגְדֻלַּת מָרְדְּכַי,מפלת המן וגדלת מרדכי,,המן,biblical person,,,
בֵּין בַּיתִ לבְַיתִ,תְּלִיַּת הָמָן,תלית המן,,המן,biblical person,,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,הַמִּקְדָּשׁ בְּתִפְאַרְתּוֹ,המקדש בתפארתו,,בית המקדש בית שני,structure,,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,גְּנִיזַת הָאָרוֹן,גניזת הארון,,כלי מקדש ארון,inanimate object,,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,כֶּתֶר כְּהֻנָּה,כתר כהנה,,כהן גדול,halachic role,,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,שִׁמְעוֹן הַצַּדִּיק,שמעון הצדיק,,שמעון הצדיק,mishnaic person,,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,מִקְדַּשׁ חוֹנְיוֹ,מקדש חוניו,,בית חוניו,geographic site,,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,דְּיוֹפְלוֹסְטוֹן שֶׁל אֲלֶכְּסַנְדְּרִיָּא,דיופלוסטון של אלכסנדריא,,אלכסנדריא,geographic site,,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,מִשְׁפְּחוֹת כּוֹהֲנִים,משפחות כוהנים,,כהונה משמרות,halachic role,,,
בַּיִת שֵׁנִי בְּבִנְיָנוֹ וּבַעֲבוֹדָתוֹ,אֲלֶכְּסַנְדְּרוֹס מֻקְדּוֹן,אלכסנדרוס מקדון,,אלכסנדר,mishnaic person,,,
