Topic,English description,Is a Type Of,Is a Type Of 2,Has Edge,To Topic (Original),To Topic (Actual),English description,Is a Type Of
בלשאצר,,biblical person,,member of,בבל,בבל,,nation/ethnicity
בלשאצר,,biblical person,,related to,דניאל,דניאל,,biblical person
בצע,gain/split,process,,related to,דיין,דיין,judge,role
בצע,gain/split,process,,similar to,שוחד,שוחד,bribe,process
בגדי כהונה,kohen clothing,inanimate object,,related to,כהונה,כהונה,quality of being a kohen,quality
בגדי כהונה,kohen clothing,inanimate object,,is category of,,בגדי כהונה חושן,breastplate of kohen gadol,inanimate object
בגדי כהונה,kohen clothing,inanimate object,,is category of,,בגדי כהונה ציץ,headplate of kohen gadol,inanimate object
בגדי כהונה,kohen clothing,inanimate object,,is category of,,בגדי כהונה מכנסים,pants of kohen clothing,inanimate object
בגדי כהונה,kohen clothing,inanimate object,,is category of,,בגדי כהונה מגבעת ומצנפת,hats of kohen/kohen gadol clothing,inanimate object
בגדי כהונה,kohen clothing,inanimate object,,is category of,,בגדי כהונה אפוד,apron of kohen gadol,inanimate object
בגדי כהונה,kohen clothing,inanimate object,,is category of,,בגדי כהונה אבנט,belt of kohen clothing,inanimate object
בגדי כהונה,kohen clothing,inanimate object,,is category of,,בגדי כהונה כתונת,shirt/gown of kohen clothing,inanimate object
בגדי כהונה,kohen clothing,inanimate object,,is category of,,בגדי כהונה מעיל,coat of kohen gadol,inanimate object
בגדי כהונה,kohen clothing,inanimate object,,related to,,קרבן,korban/offering,halachic role
בגלל,for/because,preposition,,similar to,בעבור,בעבור,for/because,preposition
בגלל,for/because,preposition,,similar to,כי,כי,if/maybe/but rather/that/because,word
בגלל,for/because,preposition,,similar to,למען,למען,so that,preposition
בהמות,behemoth,animal,,is a,בעלי חיים,בעלי חיים,animals,living creature
בהמות,behemoth,animal,,related to,לויתן,לויתן,leviathan,animal
בהמות,behemoth,animal,,participates in,לעתיד לבא סעודה,לעתיד לבא סעודה,feast in future redemption,theological process
ברוך בן נריה,,biblical person,,related to,ירמיה,ירמיה,,biblical person
בקור חולים,taking care of sick,halachic process,,related to,אדם חברו,אדם וחברו,treatment of others,meta halacha
בקור חולים,taking care of sick,halachic process,,related to,גמילות חסד,גמילות חסד,doing kindness,halachic process
בקור חולים,taking care of sick,halachic process,,has participant,חולה,חולה,sick person,quality
בצורת,famine,process,,related to,גשם,גשם,rain,weather
בצורת,famine,process,,similar to,רעב,רעב,hunger/famine,process
בצורת,famine,process,,related to,תענית,תענית,fast day,day
בהם,in them,preposition,,related to,ב,ב,,letter
בהו,emptiness,quality,,participates in,בריאה,בריאה,Creation,theological process
בהו,emptiness,quality,,related to,מציאות,מציאות,existence/reality,theology
בגד מרד,betray/rebel,process,,similar to,מעל,מעל מעילה,benefitting from sanctified property,halachic process
בגד מרד,betray/rebel,process,,similar to,מרד,מרד,rebellion,process
במה,altar,structure,,dissimilar to,בית המקדש,בית המקדש,,structure
במה,altar,structure,,related to,קרבן הקרבה,קרבן הקרבה,sacrificial order,halachic process
בית יער הלבנון,,structure,,has cause,שלמה,שלמה,,biblical person
בריאה שמים וארץ רקיע,"creation of heavens, earth, and rakia ",theological process,,is a,בריאה כללי,בריאה,Creation,theological process
בריאה שמים וארץ רקיע,"creation of heavens, earth, and rakia ",theological process,,specifically dependent on,שמים,שמים,sky/heavens/cosmos,geographic site
בגד לבוש,clothing,inanimate object,,related to,אדם הראשון כתנות עור,אדם הראשון כתנות עור,skin clothing of Adam,inanimate object
בגד לבוש,clothing,inanimate object,,related to,דור המדבר בגד,דור המדבר בגדים,miraculous clothing of generation of desert,group of inanimate objects
בגד לבוש,clothing,inanimate object,,synonymous with,לבוש,לבוש,clothing,inanimate object
בגד לבוש,clothing,inanimate object,,is category of,בגדי כהונה כללי,בגדי כהונה,kohen clothing,inanimate object
בגד לבוש,clothing,inanimate object,,similar to,שמלה,שמלה,clothing,inanimate object
בא בימים,become old,lifecycle process,,causes,זקן,זקן,beard,fiat object part
בא בימים,become old,lifecycle process,,related to,כבוד זקן,כבוד זקן ורב,respect for elderly/superior,halachic process
בא בימים,become old,lifecycle process,,similar to,שיבה,שיבה,old age,quality
בזבז,loot,process,,related to,רכוש,רכוש,property,object
בא,come,process,,dissimilar to,הלך,הלך הליכה,walking ,process
בא,come,process,,dissimilar to,יצא,יצא,go out,process
ביאה,relations,process,,has participant,איש אשה,איש ואשה,man and woman,relationship
ביאה,relations,process,,related to,נשואין,נשואין,marriage,halachic process
ברוך שם כבוד מלכותו,,phrase,,related to,ברוך,ברוך,blessed,quality
ברוך שם כבוד מלכותו,,phrase,,related to,קריאת שמע,קריאת שמע,saying shma,halachic process
בתואל,,biblical person,,corresponded with,אליעזר,אליעזר,,biblical person
בתואל,,biblical person,,parent of,רבקה,רבקה,,biblical person
בבל,,nation/ethnicity,,member of,אומות העולם ד' מלכויות,אומות העולם ד מלכויות,the 4 oppressive kingdoms,group of people
בבל,,nation/ethnicity,,participates in,גלות בבל,גלות בבל,babylonian exile,span of time
בבל,,nation/ethnicity,,synonymous with,כשדים,כשדים,,nation/ethnicity
בבל,,nation/ethnicity,,has member,נבוכדנצר,נבוכדנאצר,,biblical person
בבל חורבן,destruction of Bavel,biblical historical event,,has participant,בבל כללי,בבל,,nation/ethnicity
בבל חורבן,destruction of Bavel,biblical historical event,,related to,גאולה,גאולה,redemption,process
בבל חורבן,destruction of Bavel,biblical historical event,,related to,זרבבל,זרובבל,,biblical person
בבל חורבן,destruction of Bavel,biblical historical event,,has participant,כורש,כורש,,biblical person
בבל חורבן,destruction of Bavel,biblical historical event,,has participant,עזרא,עזרא,,biblical person
בריאה תכלית,purpose/function of creation ,theological process,,has cause,אלקים ומציאות,אלקים ומציאות,HaShem and existence,theological tenet
בריאה תכלית,purpose/function of creation ,theological process,,related to,בריאה כללי,בריאה,Creation,theological process
בריאה תכלית,purpose/function of creation ,theological process,,synonymous with,מציאות,מציאות,existence/reality,theology
בעל,master,role,,similar to,אדון,אדון,master,role
בעל,master,role,,similar to,איש,איש,important person,quality
באר לחי רואי,,structure,geographic site,related to,הגר,הגר,,biblical person
באר לחי רואי,,structure,geographic site,related to,ישמעאל,ישמעאל,,biblical person
בית המקדש בית שני,second temple,structure,span of time,is a,בית המקדש כללי בנין,בית המקדש,,structure
בית המקדש בית שני,second temple,structure,span of time,participates in,בית המקדש כללי בנין,בית המקדש בנין,building the Beis HaMikdash,halachic process
בית המקדש בית שני,second temple,structure,span of time,participates in,הסטוריה בית שני,הסטוריה בית שני,history of second Beis HaMikdash ,span of time
בית המקדש בית שני,second temple,structure,span of time,related to,עזרא,עזרא,,biblical person
בית המקדש בית שני,second temple,structure,span of time,related to,נחמיה,נחמיה,,biblical person
בית המקדש בנין,building the Beis HaMikdash,halachic process,,has participant,בית המקדש כללי,בית המקדש,,structure
בית המקדש בנין,building the Beis HaMikdash,halachic process,,related to,משכן מעשה,משכן מעשה,mishkan design and creation,biblical historical event
בלעם נבואה,,theological process,,has participant,בלעם כללי,בלעם,,biblical person
בלעם נבואה,,theological process,,dissimilar to,משה נבואה,משה נבואה,Moshe's prophecy,theological process
בלעם נבואה,,theological process,,is a,נבואה,נבואה,prophecy,theological process
בטלה,idleness,process,,related to,אדם מעשה,אדם מעשה,action of man,process
בטלה,idleness,process,,dissimilar to,מלאכה,מלאכה,work,process
בטלה,idleness,process,,dissimilar to,פרנסה,פרנסה,work/earning a living,process
ברית נח,covenant with Noach,biblical historical event,covenant,related to,דור המבול,דור המבול,generation of flood,group of people
ברית נח,covenant with Noach,biblical historical event,covenant,related to,טבע אחר המבול,טבע לפני ואחרי המבול,nature before & after flood,theology
ברית נח,covenant with Noach,biblical historical event,covenant,specifically dependent on,נח,נח,,biblical person
ברית נח,covenant with Noach,biblical historical event,covenant,has participant,קשת,קשת,bow/rainbow,inanimate object
ברוך,blessed,quality,,synonymous with,ברכה,ברכה,blessing/plenty,quality
ברוך,blessed,quality,,related to,ברכות,ברכות,halachic blessing,halachic process
בצרה,,geographic site,,related to,אדום,אדום,Edom,nation/ethnicity
בצרה,,geographic site,,related to,מלאך המות,מלאך המות,angel of death,spiritual entity
בן הדד,,biblical person,,member of,ארם,ארם,,nation/ethnicity
בן הדד,,biblical person,,participates in,הסטוריה בית ראשון,הסטוריה בית ראשון,history of first Beis HaMikdash ,span of time
בל תוסיף,not adding to mitzvos,halachic process,,related to,מצוה מעשה,מצוה מעשה,act of a mitzvah,halachic process
ברוריה,,mishnaic person,,spouse of,רבי מאיר,רבי מאיר,,mishnaic person
בועז,,biblical person,,participates in,הסטוריה שופטים,הסטוריה שופטים,history of shoftim,span of time
בועז,,biblical person,,spouse of,רות,רות,,biblical person
בית,house,structure,,related to,אדם,אדם,man,material quality
בית,house,structure,,related to,בנה,בנה בנין,build,process
בית,house,structure,,similar to,דירה,דירה,abode,structure
בית,house,structure,,related to,משפחה,משפחה,family,group of people
ברית ישראל,covenant with Israel,covenant,,related to,אלקים וישראל,אלקים וישראל,HaShem and Israel,relationship
בריאה,Creation,theological process,theological tenet,specifically dependent on,אלקים ומציאות,אלקים ומציאות,HaShem and existence,theological tenet
בריאה,Creation,theological process,theological tenet,related to,בראשית,בראשית,,theology
בריאה,Creation,theological process,theological tenet,synonymous with,מציאות,מציאות,existence/reality,theology
בריאה,Creation,theological process,theological tenet,synonymous with,עולם,עולם,world/universe/era,span of time
בתיה,,biblical person,,related to,משה,משה,,biblical person
בת,daughter,role,,has specific dependence,אב בת,אב ובת,father and daughter,relationship
בת,daughter,role,,similar to,בנים,בן,son,role
בת,daughter,role,,related to,ירושה,ירושה,inheritance,halachic process
בת,daughter,role,,has specific dependence,כהן בת,כהן בת,daughter of a kohen,halachic role
בגתן ותרש,,biblical person,,related to,אסתר,אסתר,,biblical person
בגתן ותרש,,biblical person,,was opposed by,מרדכי,מרדכי,,biblical person
ברכת הלבנה,blessing on new moon,halachic process,,related to,ירח,ירח,month,span of time
ברכת הלבנה,blessing on new moon,halachic process,,related to,קדוש החודש,קדוש החודש,declaring/sanctifying month,halachic process
ביתר,,geographic site,,related to,בר כוכבא,בר כוכבא,,mishnaic person
בחר,choose,process,,related to,חשק,חשק,intrinsic love,emotion
בחר,choose,process,,similar to,רצה,רצה רצון,want/will,emotion
בחר,choose,process,,similar to,חפץ,חפץ,desire,character trait
בעשא,,biblical person,,participates in,הסטוריה בית ראשון,הסטוריה בית ראשון,history of first Beis HaMikdash ,span of time
בנה בנין,build,process,,related to,בית,בית,house,structure
ברכה,blessing/plenty,quality,,has specific dependence,אבות ברכה,אבות ברכה והשגחה,blessing of patriarchs,theological process
ברכה,blessing/plenty,quality,,has specific dependence,ברכת כהנים,ברכת כהנים,kohen blessing,halachic process
ברכה,blessing/plenty,quality,,related to,הר גריזים,הר גריזים ועיבל,,geographic site
ברכה,blessing/plenty,quality,,has specific dependence,יעקב ברכה,יעקב ברכה,blessing of Yaakov,theology
ברכה,blessing/plenty,quality,,has specific dependence,יצחק ברכה,יצחק ברכת,Yitzchak blessings,biblical historical event
ברכה,blessing/plenty,quality,,has specific dependence,משה ברכה,משה ברכתו,Moshe blessing,biblical historical event
ברכה,blessing/plenty,quality,,similar to,שכר,שכר ברכה,divine reward,theological tenet
בלק,,biblical person,,related to,בלעם,בלעם,,biblical person
בלק,,biblical person,,participates in,דור המדבר חטא פעור עמון ומואב,דור המדבר חטא פעור,generation of desert and sin of Peor,biblical historical event
בית שמאי ובית הלל,,group of people,,related to,מחלוקת,מחלוקת,division/argument,process
בית שמאי ובית הלל,,group of people,,specifically dependent on,רבי הלל,הלל,,mishnaic person
בית שמאי ובית הלל,,group of people,,specifically dependent on,שמאי,שמאי,,mishnaic person
בנות צלפחד,,group of people,,child of,צלפחד,צלפחד,,biblical person
בת שבע,,biblical person,,participates in,דוד חטא,דוד חטא,David's sin,biblical historical event
בת שבע,,biblical person,,parent of,שלמה,שלמה,,biblical person
בית אבטינס,,structure,,related to,קטורת,קטורת,incense,inanimate object
בקש בקשה,request,process,,has participant,בי,בי,"""please""",phrase
בקש בקשה,request,process,,has participant,נא,נא בקשה,please,word
בקש בקשה,request,process,,similar to,שאל,שאל שאלה,question,process
בקש בקשה,request,process,,similar to,תפלה,תפלה,prayer,theological process
בור עם הארץ,unrefined person,quality,,synonymous with,עם הארץ,עם הארץ,ignorant person,quality
בקר בעלי חיים,cattle,animal,,is a,בעלי חיים,בעלי חיים,animals,living creature
בלעם וישראל,,specific biblical person relationship,,specifically dependent on,בלעם כללי,בלעם,,biblical person
בלעם וישראל,,specific biblical person relationship,,participates in,דור המדבר חטא פעור,דור המדבר חטא פעור,generation of desert and sin of Peor,biblical historical event
ברח,run away,process,,similar to,המלט,,#N/A,#N/A
ברח,run away,process,,similar to,נוס,נוס,run away,process
בער כסיל,fool,character trait,,similar to,כסיל,כסיל שוטה,fool,character trait
בער כסיל,fool,character trait,,similar to,פתי,פתי,gullible person/fool,character trait
בקיאות,expertise/encyclopedic knowledge,knowledge,,related to,למוד,למוד,learning,process
בקיאות,expertise/encyclopedic knowledge,knowledge,,related to,תלמיד חכם,תלמיד חכם,scholar,quality
בית כנסת,synagogue,structure,,similar to,בית מדרש,בית המדרש,the debate/study hall,structure
בית כנסת,synagogue,structure,,related to,תפלה,תפלה,prayer,theological process
בול,name for Marcheshvan/to decay,month,,is a,חודש,,#N/A,#N/A
בול,name for Marcheshvan/to decay,month,,related to,לוח,לוח,calendar,span of time
בעל מום,unfit/disqualified,quality,,related to,כהן עבודה,כהונה עבודה,service of kohanim ,halachic process
בעל מום,unfit/disqualified,quality,,related to,קרבן,קרבן,korban/offering,halachic role
בית ספר,school,structure,,participates in,חנוך,חנוך אב ובן,chinuch,process
בית ספר,school,structure,,related to,למוד,למוד,learning,process
בית ספר,school,structure,,related to,מלמד,מלמד,teacher,role
ברית,covenant,process,relationship,has specific dependence,אבות ברית והבטחה,אבות ברית והבטחה,covenant with patriarchs,theology
ברית,covenant,process,relationship,is category of,אברהם ברית,אברהם ברית,covenant of Avraham,covenant
ברית,covenant,process,relationship,has participant,אלקים וישראל,אלקים וישראל,HaShem and Israel,relationship
ברית,covenant,process,relationship,related to,מילה,מילה,bris milah,halachic process
ברית,covenant,process,relationship,has participant,נח,נח,,biblical person
ברית,covenant,process,relationship,related to,קשת,קשת,bow/rainbow,inanimate object
בריאה מלאכים,creation angels,theological process,,is a,בריאה כללי,בריאה,Creation,theological process
בריאה מלאכים,creation angels,theological process,,specifically dependent on,מלאך,מלאך,angel/messenger,spiritual entity
בן נח,noahide,quality,,member of,אומות העולם,אומות העולם,non-Jewish nations of the world,group of people
בן נח,noahide,quality,,related to,אבות תורה,אבות תורה,torah knowledge of patriarchs,knowledge
בן נח,noahide,quality,,similar to,נכרי,נכרי,foreigner (non-Jew),quality
בת קול,Divine voice/echo,spiritual entity,,similar to,נבואה,נבואה,prophecy,theological process
בת קול,Divine voice/echo,spiritual entity,,related to,נביא,נביא,prophet,role
בת קול,Divine voice/echo,spiritual entity,,similar to,רוח הקדש,רוח הקודש,inspiration/prophecy,theological process
בגדי כהונה בגדי שרד,fabrics for use in transporting mishkan,inanimate object,,related to,בגדי כהונה כללי,בגדי כהונה,kohen clothing,inanimate object
בגדי כהונה בגדי שרד,fabrics for use in transporting mishkan,inanimate object,,participates in,משכן מסע,משכן מסע,mishkan travel,halachic process
בטחון,trust,process,,related to,אדם תפקיד,אדם תפקיד ושלמות,purpose of man,disposition
בטחון,trust,process,,related to,אלקים אדם,אלקים אדם,HaShem and man,relationship
בטחון,trust,process,,similar to,אמונה,אמונה,faith/belief,character trait
בטחון,trust,process,,related to,השתדלות,השתדלות,making an effort,process
בטחון,trust,process,,related to,עבודת ה',עבודת ה,serving HaShem,theological process
בלדד,,biblical person,,member of,איוב וחבריו,איוב וחבריו,Iyov and friends,group of people
בל עבודה זרה,type of idolatry,theurgy,halachic process,is a,עבודה זרה,עבודה זרה,idolatry,halachic process
בזז,loot,group of inanimate objects,,similar to,שלל,שלל,loot,group of inanimate objects
בית קברות,cemetery,structure,,physically contains,מת,מת,dead person,quality
בית קברות,cemetery,structure,,related to,קבורה,קבורה,burial,halachic process
ביאת מקדש,entering the Mikdash,halachic process,,related to,בית המקדש עבודה,בית המקדש עבודה,service of Beis HaMikdash,halachic process
ביאת מקדש,entering the Mikdash,halachic process,,related to,כהנים עבודה,כהונה עבודה,service of kohanim ,halachic process
בכיה,crying,process,,related to,אבלות,אבלות,mourning,halachic process
בכיה,crying,process,,has participant,דמעה,דמעה,crying,process
בכיה,crying,process,,participates in,הספד,הספד,eulogy,lifecycle process
בכיה,crying,process,,has cause,עצב,עצב,sad/remorseful,emotion
ברזילי הגלעדי,,biblical person,,related to,דוד,דוד,,biblical person
ברזילי הגלעדי,,biblical person,,related to,זקנה,זקן זקנה,quality of being old/sage,quality
ברכות,halachic blessing,halachic process,,related to,ברוך,ברוך,blessed,quality
ברכות,halachic blessing,halachic process,,similar to,תפלה,תפלה,prayer,theological process
בריאות,health,quality,,participates in,אדם חייו טבע,אדם חייו,life of man,lifecycle process
בריאות,health,quality,,related to,אדם חייו טבע,אדם טבע ומדות,character traits of man,quality
בריאות,health,quality,,dissimilar to,מחלה,מחלה,sickness,process
בריאות,health,quality,,related to,רפואה,רפואה,medicine/medical treatment,process
בעבור,for/because,preposition,,similar to,בגלל,בגלל,for/because,preposition
בעבור,for/because,preposition,,similar to,כי,כי,if/maybe/but rather/that/because,word
בזה,disgrace,process,,similar to,בושה,בושה בושת,embarassment,emotion
בזה,disgrace,process,,similar to,מלבין פנים,מלבין פנים,embarass,phrase
בתולה בתולים,virgin,quality,,is a,אשה,אשה,woman,quality
בתולה בתולים,virgin,quality,,related to,בת,בת,daughter,role
בתולה בתולים,virgin,quality,,related to,כתובה,כתובה,marriage document,source
בתולה בתולים,virgin,quality,,related to,נשואין,נשואין,marriage,halachic process
בתולה בתולים,virgin,quality,,related to,נערה,נערה,young woman,quality
בתולה בתולים,virgin,quality,,related to,קטנה,קטנה,child (female),quality
ברכת כהנים,kohen blessing,halachic process,,specifically dependent on,ברכה,ברכה,blessing/plenty,quality
ברכת כהנים,kohen blessing,halachic process,,participates in,כהן עבודה,כהונה עבודה,service of kohanim ,halachic process
בעל צפון,type of idolatry,theurgy,,is a,עבודה זרה,עבודה זרה,idolatry,halachic process
בנימין,,biblical person,,sibling of,יוסף,יוסף,,biblical person
בנימין,,biblical person,,member of,יעקב ובניו,יעקב ובניו,Yaakov and children,specific biblical person relationship
בנימין,,biblical person,,related to,פלגש בגבעה,פלגש בגבעה,,biblical historical event
בנימין,,biblical person,,member of,שבטים,שבטים,the 12 tribes,group of people
ברא,create,process,,similar to,יצר,יצר ברא,formation in creation,theological process
ברא,create,process,,similar to,עשה,עשה,do/make/amass/complete,process
ברא,create,process,,similar to,פעל,פעל פעולה,do/make,process
בן סורר ומורה,wayward son,role,,related to,אב ובן,אב ובן,father and son,relationship
בן סורר ומורה,wayward son,role,,related to,חנוך,חנוך אב ובן,chinuch,process
בן סורר ומורה,wayward son,role,,related to,כבוד אב ואם,כבוד אב ואם,respect for parents,halachic process
בית המקדש חנכת,inauguration of Beis HaMikdash,biblical historical event,,similar to,משכן חנכת,משכן חנכת,mishkan inauguration,biblical historical event
בית המקדש חנכת,inauguration of Beis HaMikdash,biblical historical event,,has participant,קרבן נשיאים,קרבן נשיאים,korbanos of the chiefs in the desert,biblical historical event
בצק,dough,inanimate object,,related to,חלה,חלה מתנות כהונה,portion from dough given to kohanim,halachic role
בצק,dough,inanimate object,,related to,חמץ,חמץ,leavened bread,inanimate object
בצק,dough,inanimate object,,related to,שאור,שאור,leaven,inanimate object
בהמה,domesticated animal,animal,,is a,בעלי חיים,בעלי חיים,animals,living creature
ביתוסים,,group of people,,related to,אפיקורוס,אפיקורוס,type of heretic,role
ביתוסים,,group of people,,related to,מין,מין מינות,heresy,role
ביתוסים,,group of people,,similar to,צדוקים,צדוקי,sadducee,group of people
בי,"""please""",phrase,process,similar to,אנא,אנא,"""please""",phrase
בי,"""please""",phrase,process,is a,בקש,בקש בקשה,request,process
בי,"""please""",phrase,process,similar to,נא,נא בקשה,please,word
בן נח קרבן,noahide korbanos,halachic role,,specifically dependent on,בן נח כללי,בן נח,noahide,quality
בן נח קרבן,noahide korbanos,halachic role,,similar to,נכרי קרבן,נכרי קרבן,non-Jew bringing korban,halachic process
בית המקדש חורבן,destruction of Beis HaMikdash,biblical historical event,,related to,גלות,גלות,exile,process
בית המקדש חורבן,destruction of Beis HaMikdash,biblical historical event,,similar to,ירושלים חורבן,ירושלים חורבן,destruction of Jerusalem,biblical historical event
בית שמש,,geographic site,,related to,כלי מקדש ארון,כלי מקדש ארון,holy ark (of the covenant),inanimate object
בכורים,first fruits,halachic role,,is a,מתנות כהונה,מתנות כהונה,kohen gifts,halachic role
בריאה אדם,creation of man,theological process,,similar to,אדם צלם אלקים,אדם צלם אלקים,man representing the Divine,theology
בריאה אדם,creation of man,theological process,,related to,אלקים ואדם,אלקים אדם,HaShem and man,relationship
בריאה אדם,creation of man,theological process,,is a,בריאה כללי,בריאה,Creation,theological process
ברית לעתיד לבא,future covenant with Israel,covenant,,is a,ברית כללי,ברית,covenant,process
ברית לעתיד לבא,future covenant with Israel,covenant,,related to,ישראל לעתיד לבא,ישראל לעתיד לבא,future of Jewish people,theology
ברית לעתיד לבא,future covenant with Israel,covenant,,related to,לעתיד לבא,לעתיד לבא,future to come,theological process
ברית לעתיד לבא,future covenant with Israel,covenant,,related to,משיח ימות,משיח ימות,messianic era,span of time
באר בור,well/pit,structure,,similar to,בור,בור,pit,geographic feature
באר בור,well/pit,structure,,participates in,דור המדבר  באר,דור המדבר באר,generation of desert and the well,biblical historical event
באר בור,well/pit,structure,,related to,משה מי מריבה,משה מי מריבה,Moshe at waters of contention,biblical historical event
באר בור,well/pit,structure,,similar to,מעין,מעין,spring (of water),geographic feature
באר בור,well/pit,structure,,related to,שירת הבאר,שירת הבאר,song of the well,biblical source
בניהו,,biblical person,,related to,שלמה,שלמה,,biblical person
בעל מלאכה,working person,role,,participates in,אומנות,אומנות,craft,process
בעל מלאכה,working person,role,,participates in,פרנסה,פרנסה,work/earning a living,process
בריאה בעלי חיים,creation of animals,theological process,,specifically dependent on,בעלי חיים,בעלי חיים,animals,living creature
בריאה בעלי חיים,creation of animals,theological process,,is a,בריאה כללי,בריאה,Creation,theological process
בריאה בעלי חיים,creation of animals,theological process,,related to,עוף,עוף,bird,animal
בלהה,,biblical person,,spouse of,יעקב,יעקב,,biblical person
הימן,,biblical person,,related to,דוד שירה,דוד שירה,David's music/poetry,musical process
הימן,,biblical person,,related to,תהלים,תהלים,,biblical source
העתר,pleading,process,,similar to,תפלה,תפלה,prayer,theological process
הצנע לכת,modesty,character trait,,similar to,ענוה,ענוה,humility,character trait
הצנע לכת,modesty,character trait,,synonymous with,צניעות,צניעות,modesty/privacy,character trait
הרדם,fall asleep,process,,similar to,שינה,שינה,sleep,process
הבטחה,promise,relationship,,has specific dependence,אבות הבטחה,אבות ברית והבטחה,covenant with patriarchs,theology
הבטחה,promise,relationship,,related to,אלקים אמירה,אלקים אמירה,"HaShem ""speaking""",theological process
הבטחה,promise,relationship,,similar to,נדר,נדר,oath,halachic process
הסטוריה גלות בבל,history of Babylonian exile,span of time,,synonymous with,גלות בבל,גלות בבל,babylonian exile,span of time
הסטוריה גלות בבל,history of Babylonian exile,span of time,,preceded by,הסטוריה בית ראשון חורבן,הסטוריה בית ראשון חורבן,history of first Beis HaMikdash and destruction,span of time
הסטוריה גלות בבל,history of Babylonian exile,span of time,,has participant,נבוכדנצר,נבוכדנאצר,,biblical person
הסטוריה בית ראשון חטא,history of first Beis HaMikdash sin,span of time,,has participant,אחאב,אחאב,,biblical person
הסטוריה בית ראשון חטא,history of first Beis HaMikdash sin,span of time,,preceded by,דוד חטא,דוד חטא,David's sin,biblical historical event
הסטוריה בית ראשון חטא,history of first Beis HaMikdash sin,span of time,,is a,הסטוריה כללי,הסטוריה,history,span of time
הסטוריה בית ראשון חטא,history of first Beis HaMikdash sin,span of time,,has participant,ירבעם,ירבעם בן נבט,,biblical person
הסטוריה בית ראשון חטא,history of first Beis HaMikdash sin,span of time,,has participant,שלמה,שלמה,,biblical person
הגה,,biblical person,,related to,אחשורוש,אחשורוש,,biblical person
הגה,,biblical person,,related to,אסתר,אסתר,,biblical person
הורים,parents,role,,is category of,אב,אב,father,role
הורים,parents,role,,is category of,אם,אם הורים,mother,role
הורים,parents,role,,related to,כבוד אב ואם,כבוד אב ואם,respect for parents,halachic process
הריון,conception,lifecycle process,,has cause,ביאה,ביאה,relations,process
הריון,conception,lifecycle process,,precedes,לידה,לידה,giving birth,lifecycle process
הרס,destroy,process,,similar to,נתץ,נתץ,smash,process
הרס,destroy,process,,similar to,שבר,שבר שבירה,break,process
הפך הפכים,opposite,quality,,,העדר,העדר,absence,quality
הפך הפכים,opposite,quality,,related to,מציאות,מציאות,existence/reality,theology
השקף,look out/scrutinize,process,,similar to,הבט,הבט,gaze,process
השקף,look out/scrutinize,process,,similar to,הסתכל,,#N/A,#N/A
השקף,look out/scrutinize,process,,similar to,ראה,ראה ראיה,see,process
הלל תודה,Hallel,biblical source,,similar to,ברכות הגומל,ברכת הגומל,blessing on being saved,halachic process
הלל תודה,Hallel,biblical source,,related to,אלקים תהלה,אלקים תהלה,praise of HaShem,theological process
הלל תודה,Hallel,biblical source,,related to,דוד שירה תהלים,דוד שירה,David's music/poetry,musical process
הלל תודה,Hallel,biblical source,,related to,דוד שירה תהלים,תהלים,,biblical source
הלל תודה,Hallel,biblical source,,similar to,שבח,שבח,praise/appreciation,process
הלל תודה,Hallel,biblical source,,similar to,תודה,תודה,thanksgiving,process
הנפש,rest/restore calm,process,,related to,שבת,שבת,,holiday
הון,wealth,group of inanimate objects,,similar to,ממון,ממון,money/property,group of inanimate objects
הון,wealth,group of inanimate objects,,similar to,רכוש,רכוש,property,object
הגד,tell,process,,similar to,אמר,אמר,say,process
הגד,tell,process,,similar to,דבר,דבור,speech,process
הגד,tell,process,,similar to,ספר,ספור ספר,telling/talking,process
הסח הדעת,getting distracted,process,,dissimilar to,כונה,כונה,intention,process
הכנעה,subjection,process,,similar to,ענוה,ענוה,humility,character trait
הן,indeed,word,,similar to,הנה,הנה,preposition of presenting something novel ,word
הסגת גבול,invading property boundaries,halachic process,,synonymous with,מסיג גבול,מסיג גבול,expanding into others' property,halachic process
הנהגה,HaShem controlling the universe,theological process,,related to,אלקים ומציאות,אלקים ומציאות,HaShem and existence,theological tenet
הנהגה,HaShem controlling the universe,theological process,,similar to,בריאה,בריאה,Creation,theological process
הנהגה,HaShem controlling the universe,theological process,,similar to,השגחה,השגחה,providence,theological tenet
הנהגה,HaShem controlling the universe,theological process,,similar to,מציאות,מציאות,existence/reality,theology
הנהגה,HaShem controlling the universe,theological process,,similar to,עולם,עולם,world/universe/era,span of time
הסטוריה,history,span of time,,has participant,אבות,אבות,patriarchs of Judaism,group of people
הסטוריה,history,span of time,,has participant,דור המדבר,דור המדבר,generation of desert,group of people
הסטוריה,history,span of time,,has participant,דוד,דוד,,biblical person
הסטוריה,history,span of time,,has participant,שלמה,שלמה,,biblical person
הסטוריה,history,span of time,,has participant,בית המקדש בית ראשון ושני,הסטוריה בית ראשון,history of first Beis HaMikdash ,span of time
הסטוריה,history,span of time,,has participant,בית המקדש בית ראשון ושני,הסטוריה בית שני,history of second Beis HaMikdash ,span of time
הסטוריה,history,span of time,,temporally contains,גלות,גלות,exile,process
הסטוריה,history,span of time,,temporally contains,גלות בבל,גלות בבל,babylonian exile,span of time
התך,,biblical person,,related to,אסתר,אסתר,,biblical person
הצללפוני,,biblical person,,parent of,שמשון,שמשון,,biblical person
