category,tag,parent,hebrew tag,count,is a type of,is category,not synonym,aspaklaria topic,aspkalaria english,aspaklaria type,
Holidays,Purim,,פורים,478,,,,פורים,purim,rabbinic holiday,
Bible,Creation,,בריאה,475,,,,בריאה,Creation,theological process,
Society,Civil/Human Rights,,,455,freedom,,,,#N/A,#N/A,
Religion,Theology,,תאולוגיה,448,theology,yes,,,#N/A,#N/A,
Holidays,High Holidays,,ימים נוראים,432,holiday,,,,#N/A,#N/A,
Literature,Narrative Text,,,408,source,,,,#N/A,#N/A,
Society,Women,,נשים,406,,,,אשה,woman,quality,
Religion,Repentance,,תשובה,381,,,,תשובה,repentance,halachic process,
Philosophy,Ethics,,אתיקה,378,ethic,yes,,,#N/A,#N/A,
Food,Food,,מזון,373,food,yes,,אוכל,food/eating,food,
Texts,Pirkei Avot,,פרקי אבות,367,source,,,,#N/A,#N/A,
Bible,Jacob,,יעקב,363,,,,יעקב,,biblical person,
Philosophy,Obligation,,חובה,359,realizable entity,,,,#N/A,#N/A,
Religion,Revelation,,התגלות,340,theological process,,,,#N/A,#N/A,
Philosophy,Service/Volunteerism,,,333,,,,נדיבות,generosity/goodwill,character trait,
Authors,Rambam,,"רמב""ם",328,rishon person,,,,#N/A,#N/A,
Holidays,Seder,,סדר,322,halachic process,,,,#N/A,#N/A,
Israel,Israel,,ישראל,321,,,,ישראל,,nation/ethnicity,
Torah Portions,Parashat Bereishit,,בראשית,312,source,,,,#N/A,#N/A,
Bible,Esther,,אסתר,299,,,,מגילת אסתר,,biblical source,
Society,Advocacy,,הגנה,299,process,,,,#N/A,#N/A,
Prayer,Blessings,,ברכות,292,,,,ברכות,halachic blessing,halachic process,
Philosophy,Middot,,מידות,282,,,,אדם מדות,character traits of man,disposition,
Authors,Maimonides,,"רמב""ם",281,rishon person,,,,#N/A,#N/A,
Society,Discrimination & Diversity,,,281,ethic,,,,#N/A,#N/A,
Education,Torah Study,,לימוד תורה,274,halachic process,,,,#N/A,#N/A,
Geography,Sinai,,סיני,272,,,,הר סיני,,geographic site,
Religion,Sin,,חטא,271,,,,חטא,sin,process,
Education,Hillel,,הלל,259,,,,הלל,,mishnaic person,
Philosophy,Love,,אהבה,254,,,,אהבה,love,emotion,
Science,Land,,ארץ,251,,,,ארץ,land/earth,geographic feature,
Society,Hunger,,רעב,250,,,,רעב,hunger/famine,process,
Law,Law & Business Ethics,,,249,ethic,,,,#N/A,#N/A,
Society,Conflict & Emergency,,,247,process,,,,#N/A,#N/A,
Food,Eating,,אכילה,245,,,,אכילה,eating,process,
Food,Kashrut,,כשרות,238,,,,מאכלות אסורות,forbidden foods,halachic quality,
Society,Governance & Leadership,,,230,,,,ממשלה,sovereignty,site,
Texts,Mishnah,,משנה,228,,,,משנה,,source,
Ritual Objects,Light,,אור,227,,,,אור,light,inanimate object,
Holidays,Yom Tov,,יום טוב,225,,,,יום טוב,holiday,span of time,
Language,Speech,,דיבור,225,,,,דבור,speech,process,
Texts,Chassidut,,חסידות,224,source,,,,#N/A,#N/A,
Society,Death,,מוות,222,,,,מיתה,death,lifecycle process,
Education,Conservative Yeshiva,,הישיבה הקונסרבטיבית,221,group of people,,,,#N/A,#N/A,
Philosophy,Ethical Consumption,,,218,ethic,,,,#N/A,#N/A,
Society,Social Justice,,צדק חברתי,218,,,,צדק,justice,halachic process,
Society,Children,,ילדים,214,,,,ילד ילדות,child/juvenile,quality,
Bible,Joseph,,יוסף,204,,,,יוסף,,biblical person,
Ritual Objects,Shofar,,שופר,201,,,,שופר שופרות,shofar/trumpet,inanimate object,
Torah Portions,Parashat Yitro,,יתרו,198,source,,,,#N/A,#N/A,
Bible,Ruth,,רות,194,,,,רות,,biblical person,
Religion,Sacrifices,,קורבנות,194,,,,קרבן,korban/offering,halachic role of inanimate object,
Geography,Egypt,,מצרים,190,,,,מצרים,,nation/ethnicity,
Literature,Prophecy and Wisdom Literature,,,190,,,,,#N/A,#N/A,
Bible,Women in Tanach,,"נשים בתנ""ך",188,group of people,,,,#N/A,#N/A,
Society,Sexual Orientation & Gender Identity,,אוריינטציה מינית וזהות מגדרית,182,quality,,,,#N/A,#N/A,
Bible,Adam,,אדם הראשון,181,,,,אדם הראשון,,biblical person,
Religion,Korbanot,,קרבנות,181,,,,קרבן,korban/offering,halachic role of inanimate object,
Texts,Midrash,,מדרש,180,,,,מדרש,,source,
Torah Portions,Parashat Lech Lecha,,לך לך,176,source,,,,#N/A,#N/A,
Food,Food & Ethics,,,175,ethic,,,,#N/A,#N/A,
Language,Language,,שפה,173,language,yes,,,#N/A,#N/A,
Texts,Prophets,,נביאים,173,,,,נביאים,,biblical source,
Texts,Talmud,,תלמוד,173,,,,תלמוד,talmud,source,
Law,Ten Commandments,,עשרת הדברות,172,,,,עשרת הדברות,ten commandments ,theology,
Medicine,Health,,בריאות,171,,,,בריאות,health,quality,
Philosophy,Kindness,,גמילות חסדים,169,,,,גמילות חסד,doing kindness,halachic process,
Society,Sexuality,,מיניות,169,quality,,,,#N/A,#N/A,
Religion,Knowing God,,ידיעת השם,168,,,,ידיעת ה,knowledge of HaShem,theology,
Science,Trees,Plants & Trees,עצים,168,,,,אילן,tree,plant,
Society,Labor Rights,,,168,freedom,,,,#N/A,#N/A,
Philosophy,Responsibility,,אחריות,167,,,,ערבות,inter-responsibility/co-sign,quality,
Religion,Tzelem Elohim,Image of God,צלם אלוקים,167,,,,אדם צלם אלקים,man representing the Divine,theology,
Bible,Isaac,,יצחק,166,,,,יצחק,,biblical person,
Society,Women’s Empowerment,,,166,philosophy,,,,#N/A,#N/A,
Texts,Kabbalah,,קבלה,166,,,,קבלה,tradition,process,
Prayer,Shema,,שמע,161,,,,קריאת שמע,saying shma,halachic process,
Israel,Eretz Yisrael,Israel,ישראל,158,,,,ארץ ישראל,land of Israel,geographic site,
Science,Nature,,טבע,157,,,,טבע,nature,quality,
Holidays,Hanukkah,Chanukah,חנוכה,156,,,,חנכה,chanukah,rabbinic holiday,
Calendar,Elul,,אלול,155,,,,אלול,month of Elul,month,
Bible,Noah,,נח,151,,,,נח,,biblical person,
Society,"Trade, Aid & Debt",,,151,process,,,,#N/A,#N/A,
Torah Portions,Parashat Noach,,נח,149,source,,,,#N/A,#N/A,
Law,Covenant,,ברית,148,,,,ברית,covenant,process,
Society,Economic Justice,,צדק כלכלי,148,ethic,,,,#N/A,#N/A,
Education,Homework,,שיעורי בית,144,process,,,,#N/A,#N/A,
Medicine,Body,,גוף,144,,,,גוף,body,body part,
Society,Gender,,מין,144,quality,,,,#N/A,#N/A,
Religion,Redemption,,גאולה,142,,,,גאולה,redemption,process,
Texts,Liturgy,,סדר התפילה,142,,,,תפלה,prayer,theological process,
Ritual Objects,Mishkan,,משכן,141,,,,משכן,mishkan,structure,
Science,Animals,,בעלי חיים,140,,,,בעלי חיים,animals,living creature,
History,Beit Hamikdash,,בית המקדש,139,,,,בית המקדש,,structure,
Israel,Zionism,,ציונות,138,philosophy,,,,#N/A,#N/A,
Society,Sustainable Development,,,138,ethic,,,,#N/A,#N/A,
Philosophy,Truth,,אמת,134,,,,אמת,truth,quality,
Food,Drinking,,שתיה,133,,,,שכור,drunk,quality,
Education,Learning,,לימוד,132,,,,למוד,learning,process,
Law,Halacha,Halakhah,הלכה,132,halacha,yes,,הלכה,,law,
Society,Peace,,שלום,131,,,,שלום,peace,process,
Law,Judgement,,פסק דין,130,,,,דין,judgement,process,
Philosophy,Free Will,,בחירה חופשית,130,,,,בחירה,free will,theology,
Society,Parents,,הורים,130,,,,הורים,parents,family role,
Bible,Miriam,,מרים,129,,,,מרים,,biblical person,
Israel,Jerusalem,,ירושלים,129,,,,ירושלים,,geographic site,
Education,Assignment,,משימה,128,process,,,,#N/A,#N/A,
Bible,David,,דוד,127,,,,דוד,,biblical person,
Holidays,Spreading the Light 2015,,הפצת האור,127,,,,,#N/A,#N/A,
Philosophy,Joy,,שמחה,126,,,,שמחה,happiness,emotion,
Holidays,Tisha B'av,Tisha B'Av,תשעה באב,125,,,,תשעה באב,,fast day,
Food,Wine,,יין,124,,,,יין,wine/spirits,food,
Religion,Angels,,מלאכים,124,,,,מלאך,angel/messenger,spiritual entity,
Science,Ecology,,אקולוגיה,124,science,,,,#N/A,#N/A,
Texts,Talmud 4A,,,124,,,,,#N/A,#N/A,
Education,Teaching,,הוראה,123,,,,מורה,teacher,occupation,
Food,Water,,מים,122,,,,מים,water,inanimate object,
Authors,Shammai,,שמאי,120,,,,שמאי,,mishnaic person,
Society,People,,אנשים,120,,,,אדם,man,material quality,
Torah Portions,Parashat Shemot,,שמות,120,source,,,,#N/A,#N/A,
Education,Training Course,,,119,process,,,,#N/A,#N/A,
Society,Yetzer Hara,,יצר הרע,119,,,,יצר הרע,evil inclination,spiritual entity,
Torah Portions,Parashat Vayera,,וירא,119,source,,,,#N/A,#N/A,
Law,Fasting,,תענית,118,,,,תענית,fast day,day,
Philosophy,Gratitude,,הכרת הטוב,116,,,,הכרת טובה,being grateful,process,
Society,Chesed,,גמילות חסדים,116,,,,גמילות חסד,doing kindness,halachic process,
Bible,Kings,,מלכים,115,source,,,,#N/A,#N/A,
Torah Portions,Parashat Emor,,אמור,115,source,,,,#N/A,#N/A,
Authors,Hillel and Shammai,,הלל ושמאי,114,specific person relationship,,,,#N/A,#N/A,
Bible,Shmuel,,שמואל,114,,,,שמואל הנביא,,biblical person,
Education,ELI,,,113,,,,,#N/A,#N/A,
Education,Jewish Identity,,זהות יהודית,113,philosophy,,,,#N/A,#N/A,
Torah Portions,Parashat Kedoshim,,קדושים,113,source,,,,#N/A,#N/A,
Society,Strangers,,זרים,112,,,,זר,foreigner,role of person,
Bible,Psalms,,תהילים,110,,,,תהלים,,biblical source,
Arts,Music,,מוסיקה,108,,,,מוזיקה,music,musical process,
Bible,Akeidah,Akedah,עקידה,108,,,,עקדה,binding of yitzchak,biblical historical event,
Philosophy,Thanksgiving,,חג ההודיה,108,holiday,,,,#N/A,#N/A,
Society,Slavery,,עבדות,108,,,,עבד,slave/servant,role of person,
Bible,Jonah,,יונה הנביא,106,,,,יונה הנביא,,biblical person,
Bible,Judges,,שופטים,106,source,,,,#N/A,#N/A,
Society,Conversion,,גרות,106,halachic process,,,,#N/A,#N/A,
Society,War,,מלחמה,106,,,,מלחמה,war,process,
Law,HaChovel,,החובל,105,source,,,,#N/A,#N/A,
Religion,Prophecy,,נבואה,105,,,,נבואה,prophecy,theological process,
Society,Marriage,,נישואים,105,,,,נשואין,marriage,halachic process,
Literature,Debate,,עימות,103,,,,וכוח,argument,process,
Religion,Idolatry,,עבודת אלילים,103,,,,עבודה זרה,idolatry,halachic process,
Society,Rabbinic Authority,,רבנות,103,,,,רב רבנות,teacher/master/superior,occupation,
Bible,Sarah,,שרה,102,biblical person,,,,#N/A,#N/A,
Religion,Teshuva,,תשובה,100,,,,תשובה,repentance,halachic process,
Torah Portions,Korach,Parashat Korach,קרח,99,source,,,,#N/A,#N/A,
Bible,Esau,,עשיו,98,,,,עשו,,biblical person,
Bible,Aaron,,אהרון,97,,,,אהרן,,biblical person,
Philosophy,Chosenness,,בחירה,97,quality,,,,#N/A,#N/A,
Religion,Mourning,,אבלות,96,,,,אבלות,mourning,halachic process,
Holidays,New Year,,שנה חדשה,95,holiday,,,,#N/A,#N/A,
Philosophy,Happiness,,אושר,95,,,,אושר,personal acheivement,character trait,
Authors,Rashi,,"רש""י",94,rishon person,,,,#N/A,#N/A,
Education,OJSC,,,94,,,,,#N/A,#N/A,
Education,Teachers,,מורים,94,,,,מורה,teacher,occupation,
Prayer,Amidah,,עמידה,94,,,,תפלה שמונה עשרה,shmoneh esrei prayer,source,
Religion,Olam Haba,,עולם הבא,94,,,,עולם הבא,the world or era to come,theology,
Texts,Exodus,Sefer Shemot,ספר שמות,94,source,,,,#N/A,#N/A,
Ritual Objects,Omer,,קרבן העומר,93,,,,קרבן עומר,omer korban,halachic role of inanimate object,
Society,Immigration,,עלייה,93,halachic process,,,,#N/A,#N/A,
Torah Portions,Parashat Toldot,,תולדות,93,source,,,,#N/A,#N/A,
Philosophy,Wisdom,,חכמה,92,,,,חכמה,wisdom,knowledge,
Religion,Mysticism,,תורת הנסתר,92,,,,קבלה,tradition,process,
Society,Punishment,,ענישה,92,,,,עונש,punishment,process,
Society,Violence,,אלימות,91,process,,,,#N/A,#N/A,
Bible,Moshe,Moses,משה,90,,,,משה,,biblical person,
Philosophy,Choice,,בחירה,90,,,,בחירה,free will,theology,
History,American Judaism,,יהדות אמריקה,88,theology,,,,#N/A,#N/A,
Religion,Priesthood,,כהונה,88,,,,כהונה,quality of being a kohen,quality,
Torah Portions,Parashat Mishpatim,,משפטים,88,source,,,,#N/A,#N/A,
Society,Authority,,סמכות,87,,,,רבנות,authority,quality,
Torah Portions,Parashat Shemini,,שמיני,87,source,,,,#N/A,#N/A,
Science,Earth,,,86,,,,תבל ארץ,earth,geographic site,
Literature,Machloket,,מחלוקת,85,,,,מחלוקת,division/argument,process,
Philosophy,Humility,,ענוה,85,,,,ענוה,humility,character trait,
Religion,Holiness,,קדושה,85,,,,קדושה קדש,holiness,quality,
Society,Refugees,,פליטים,85,role of person,,,,#N/A,#N/A,
Law,Shemitah,,שמיטה,84,,,,שמטה,shemitah/sabbatical year,span of time,
Torah Portions,Parashat Vayishlach,,וישלח,84,source,,,,#N/A,#N/A,
Bible,Amalek,,עמלק,83,,,,עמלק,,biblical person,
Philosophy,Memory,,זיכרון,83,,,,זכר זכירה,remembering,process,
Religion,Ritual,,טקס,83,process,,,,#N/A,#N/A,
Society,Transgender,,טרנסג'נדר,83,quality,,,,#N/A,#N/A,
Holidays,The Four Sons,,ארבעה בנים,82,,,,ארבעה בנים,the 4 sons,philosophy,
Society,Freedom,,חירות,81,,yes,,חרות,freedom,freedom,
Society,LGBT,,"להט""ב",81,ethic,,,,#N/A,#N/A,
Bible,Pharaoh,,פרעה,80,,,,פרעה,,biblical person,
Holidays,Tu B'Shvat,Tu BiShvat,"ט""ו בשבט",80,,,,חמשה עשר בשבט,15th of Shvat,day,
Texts,Mishna,Mishnah,משנה,80,,,,משנה,,source,
Authors,Rabbi Akiva,,רבי עקיבא,79,,,,רבי עקיבא,,mishnaic person,
Society,Environmentalism,,איכות הסביבה,79,ethic,,,,#N/A,#N/A,
Torah Portions,Parashat Vayeitzey,,ויצא,79,source,,,,#N/A,#N/A,
Religion,Teshuvah,Teshuva,תשובה,78,,,,תשובה,repentance,halachic process,
Society,Money,,כסף,78,,,,כסף,money/silver,inanimate object,
Texts,Siddur,,סידור,78,,,,תפלה,prayer,theological process,
Literature,Prayer and Poetry,,,77,,,,,#N/A,#N/A,
Religion,Afterlife,,חיים לאחר המוות,77,,,,עולם הבא,the world or era to come,theology,
Society,Feminism,,פמיניזם,77,ethic,,,,#N/A,#N/A,
Bible,Haman,,המן,76,,,,המן,,biblical person,
Texts,Devarim,Parshat Devarim,דברים,76,source,,,,#N/A,#N/A,
Torah Portions,Parashat Bo,,בא,76,source,,,,#N/A,#N/A,
Torah Portions,Parashat Nitzavim,,נצבים,76,source,,,,#N/A,#N/A,
Arts,Song,,שיר,73,,,,שיר,song/poetry,artistic process,
Bible,Avraham,,אברהם,73,,,,אברהם,,biblical person,
Religion,Faith,,אמונה,73,,,,אמונה,faith/belief,character trait,
Ritual Objects,Matzah,,מצה,73,,,,מצה,unleavened bread,halachic role of inanimate object,
Society,Sex,,מיניות,73,material quality,,,,#N/A,#N/A,
Society,Individual,,אישי,71,,,,אנוכיות,I-ness,quality,
Torah Portions,Parashat Vayechi,,ויחי,71,source,,,,#N/A,#N/A,
Religion,Miracles,,נסים,70,,,,נס אות,miracle/sign,process,
Arts,Art,,אומנות,69,,,,אומן,craftsman,occupation,
Bible,Mordechai,,מרדכי,69,,,,מרדכי,,biblical person,
Education,Student,,תלמיד,69,,,,תלמיד,student,occupation,
Religion,Darkness,,חושך,69,,,,חושך,darkness,quality,
Society,Abortion,,הפלה,69,halachic process,,,,#N/A,#N/A,
Society,Lying,,שקר,69,,,,שקר,falsehood,quality,
Society,Migration,,,69,process,,,,#N/A,#N/A,
Society,Guests,,אורחים,68,,,,אורח,guest,role of person,
Bible,Isaiah,,ישעיהו,67,,,,ישעיה,,biblical person,
Bible,Yitro,,יתרו,67,,,,יתרו,,biblical person,
Religion,Chachamim,,חכמים,67,,,,"חכמינו ז""ל",Chazal,group of people,
Religion,Reform Judaism,,יהדות רפורמית,67,theology,,,,#N/A,#N/A,
Ritual Objects,Candles,,נרות,66,,,,נר אור,candle/lamp,inanimate object,
Ritual Objects,Sukkah,,סוכה,66,,,,סוכה,sukkah,structure,
Texts,Sefer Bereishit,,ספר בראשית,66,source,,,,#N/A,#N/A,
Torah Portions,Parashat Ki Tissa,,כי תשא,66,source,,,,#N/A,#N/A,
Torah Portions,Parashat Re'eh,,ראה,66,source,,,,#N/A,#N/A,
Education,Jew Curious,,יהודי סקרן,65,,,,,#N/A,#N/A,
Religion,Counting,,ספירה,65,process,,,,#N/A,#N/A,
Torah Portions,Parashat Beshalach,,בשלח,65,source,,,,#N/A,#N/A,
Calendar,Tishrei,,תשרי,64,,,,תשרי,,month,
Holidays,Rosh Chodesh,,ראש חודש,64,holiday,,,,#N/A,#N/A,
Religion,Purity,,טוהר,64,,,,טהור טהרה,purity,halachic quality,
Society,Welcoming Guests,,הכנסת אורחים,64,,,,הכנסת אורחים,hospitality,halachic process,
Texts,Genesis,Sefer Bereshit,בראשית,64,source,,,,#N/A,#N/A,
Science,Agriculture,,חקלאות,63,,,,חקלאות,agriculture,science,
Society,Teens,,בני נוער,63,,,,נוער,youth,quality,
Texts,Song of Songs,,שיר השירים,63,,,,שיר השירים,,biblical source,
Society,Clothing,,הלבשה,62,,,,לבוש,clothing,inanimate object,
Society,Homosexuality,,הומוסקסואליות,62,disposition,,,,#N/A,#N/A,
Society,Hospitality,,הכנסת אורחים,62,,,,הכנסת אורחים,hospitality,halachic process,
Society,Suffering,,סבל,62,,,,צרה,hardship,process,
Texts,Ta'anit,Taanit,תענית,62,source,,,,#N/A,#N/A,
Bible,Rebecca,,רבקה,61,,,,רבקה,,biblical person,
Philosophy,Respect,,כבוד,61,,,,כבוד,respect/honor,process,
Society,Inclusion,,הכללה,61,ethic,,,,#N/A,#N/A,
Education,Middle School,,חטיבת ביניים,60,process,,,,#N/A,#N/A,
Medicine,Medical Ethics,,אתיקה רפואית,60,ethic,,,,#N/A,#N/A,
Law,Bal Tashchit,,בל תשחית,59,,,,בל תשחית,not wasting,halachic process,
Prayer,Berachot,Blessings,ברכות,59,,,,ברכות,halachic blessing,halachic process,
Religion,Soul,,נפש,59,,,,נפש,soul/being/life,spiritual entity,
Science,Rain,,גשם,59,,,,גשם,rain,weather,
Society,Names,,שמות,59,,,,שם שמות,name,quality,
Torah Portions,Parashat Shoftim,,שופטים,59,source,,,,#N/A,#N/A,
Society,Disagreement,,מחלוקת,58,,,,מחלוקת,division/argument,process,
Society,Power,,כוח,57,,,,כח,power/strength,quality,
Society,Trans Torah,,טרנס תורה,57,,,,,#N/A,#N/A,
Philosophy,Charity,,צדקה,56,,,,צדקה,charity/giving,halachic process,
Bible,Eve,,חוה,55,biblical person,,,,#N/A,#N/A,
Medicine,Healing,,מרפא,55,,,,רפואה,medicine/medical treatment,process,
Torah Portions,Parashat Vayeshev,,וישב,55,source,,,,#N/A,#N/A,
Law,Minhag,,מנהג,54,,,,מנהג,custom/behavior,meta halacha,
Literature,Discussion,,דיון,54,process,,,,#N/A,#N/A,
Bible,Cain,,קין,53,,,,קין,,biblical person,
Bible,Golden Calf,,עגל הזהב,53,,,,דור המדבר חטא העגל,generation of desert and sin of golden calf,biblical historical event,
Religion,Birkat HaMazon,,,53,,,,ברכת המזון,blessing after meal,halachic process,
Society,Gender Fluid,,נזילות מגדרית,53,,,,,#N/A,#N/A,
Torah Portions,Parashat Ki Tavo,,כי תבוא,53,source,,,,#N/A,#N/A,
Medicine,Wellness,,בריאות,52,,,,בריאות,health,quality,
Religion,Mashiach,Messiah,משיח,52,,,,משיח,messiah/annointed,role of person,
Religion,Messiah,,משיח,52,,,,משיח,messiah/annointed,role of person,
Society,Family,,משפחה,52,,,,משפחה,family,group of people,
Society,Society,,חברה,52,,,,צבור,community/collective,group of people,
Authors,Heschel,,השל,51,modern person,,,,#N/A,#N/A,
Bible,Ten Plagues,,עשר המכות,51,,,,עשר מכות,ten plagues,biblical historical event,
Bible,Yaakov,Jacob,יעקב,51,,,,יעקב,,biblical person,
Education,Heilicher,,,51,,,,,#N/A,#N/A,
Education,Learning Torah,,לימוד תורה,51,halachic process,,,,#N/A,#N/A,
Philosophy,Intention,,כוונה,51,,,,כוונה,intention,process,
Religion,Sacrifice,,קרבן,51,,,,קרבן,korban/offering,halachic role of inanimate object,
Society,Disability,,נכות,51,quality,,,,#N/A,#N/A,
Society,Guns,,אקדחים,51,inanimate object,,,,#N/A,#N/A,
Texts,Zohar,,זהר,51,,,,זהר,,source,
Torah Portions,Parashat Terumah,,תרומה,51,source,,,,#N/A,#N/A,
Torah Portions,Parashat Va'etchanan,,ואתחנן,51,source,,,,#N/A,#N/A,
Bible,Joshua,,יהושע,50,,,,יהושע,,biblical person,
Holidays,Shavuos,Shavuot,שבועות,50,,,,שבועות,,pilgrimage festival,
Philosophy,Forgiveness,,סליחה,50,,,,סלח סליחה,forgiveness,process,
Religion,Image,,תמונה,50,,,,תמונה,image,object,
Ritual Objects,Chametz,,חמץ,50,,,,חמץ,leavened bread,inanimate object,
Torah Portions,Parashat Chayei Sarah,,חיי שרה,50,source,,,,#N/A,#N/A,
Bible,Noach,Noah,נח,49,,,,נח,,biblical person,
Society,Friendship,,חברות,49,,,,חבר אדם,friend/fellow,role of person,
Texts,Shemot,Sefer Shemot,שמות,49,source,,,,#N/A,#N/A,
Torah Portions,Parashat Balak,,בלק,49,source,,,,#N/A,#N/A,
Torah Portions,Parashat Eikev,,עקב,49,source,,,,#N/A,#N/A,
Torah Portions,Parashat Ki Teitzei,,כי תצא,49,source,,,,#N/A,#N/A,
Torah Portions,Parashat Va'era,Parashat Vaera,וארא,49,source,,,,#N/A,#N/A,
History,History,,היסטוריה,48,,,,הסטוריה,history,span of time,
Philosophy,Jewish Thought,,מחשבה יהודית,48,philosophy,,,,#N/A,#N/A,
Philosophy,Listening,,הקשבה,48,,,,קשב,listen,process,
Prayer,Kavanah,,כוונה,48,,,,כוונה,intention,process,
Ritual Objects,Masks,,מסכות,48,,,,מסוה,mask,inanimate object,
Israel,Relating to the Land,,,47,,,,,#N/A,#N/A,
Ritual Objects,Alcohol,,אלכוהול,47,food,,,,#N/A,#N/A,
Society,Giving,,נתינה,47,,,,חסד,giving,character trait,
Society,Political Thought,,חשיבה פוליטית,47,philosophy,,,,#N/A,#N/A,
Torah Portions,Parashat Tazria,,תזריע,47,source,,,,#N/A,#N/A,
Torah Portions,Parashat Tzav,,צו,47,source,,,,#N/A,#N/A,
Society,Civil Discourse,,שיח אזרחי,46,process,,,,#N/A,#N/A,
Society,LGBTQ,,"להט""בק",46,ethic,,,,#N/A,#N/A,
Society,Relationships,,יחסים,46,quality,,,,#N/A,#N/A,
Society,Stranger,Strangers,זרים,46,,,,זר,foreigner,role of person,
Texts,Ecclesiastes,,קהלת,46,,,,קהלת,,biblical source,
Education,Training Course for Educators,,,45,,,,,#N/A,#N/A,
History,Jewish History,,תולדות ישראל,45,span of time,,,,#N/A,#N/A,
Ritual Objects,Mikvah,,מקווה,45,,,,מקוה,collection of water/mikveh,halachic role of inanimate object,
Texts,Lamentations,,איכה,45,,,,איכה,,biblical source,
Texts,Leviticus,Sefer Vayikra,ספר ויקרא,45,source,,,,#N/A,#N/A,
Torah Portions,Parashat Naso,,נשא,45,source,,,,#N/A,#N/A,
Torah Portions,Parashat Vayigash,,ויגש,45,source,,,,#N/A,#N/A,
Torah Portions,Vayigash,Parashat Vayigash,ויגש,45,source,,,,#N/A,#N/A,
Philosophy,Universalism,,אוניברסליזם,44,philosophy,,,,#N/A,#N/A,
Philosophy,Yetzer Hatov,,יצר טוב,44,,,,יצר הטוב,good inclination,spiritual entity,
Ritual Objects,Menorah,,מנורה,44,,,,מנורה,candelabra,inanimate object,
Society,Transgender in Judaism,,טרנסג'נדרים ביהדות,44,ethic,,,,#N/A,#N/A,
Texts,Taanit,,תענית,44,source,,,,#N/A,#N/A,
Torah Portions,Kedoshim,Parashat Kedoshim,קדושים,44,source,,,,#N/A,#N/A,
Torah Portions,Parashat Miketz,,מקץ,44,source,,,,#N/A,#N/A,
Torah Portions,Parashat Pinchas,,פנחס,44,source,,,,#N/A,#N/A,
Bible,Rachel,,רחל,43,,,,רחל,,biblical person,
Calendar,Calendar,,לוח שנה,43,,,,לוח,calendar,span of time,
Philosophy,Mussar,,מוסר,43,,,,מוסר תוכחה,criticism,process,
Philosophy,Psychology,,פסיכולוגיה,43,science,,,,#N/A,#N/A,
Society,Queer,,קוויר,43,disposition,,,,#N/A,#N/A,
Bible,Eden,,עדן,42,,,,עדן,Eden/pleasantness,spiritual site,
Bible,Leprosy,,צרעת,42,,,,צרעת,tzaraas,halachic quality,
Bible,Nadav and Avihu,,נדב ואביהוא,42,,,,נדב ואביהוא,,group of people,
History,Temple,,בית המקדש,42,,,,בית המקדש,,structure,
