A,Edge,B
בבל,similar to,כשדים
בבל,synonymous with,כשדים
בגד לבוש,similar to,לבוש
בגד לבוש,synonymous with,לבוש
בגדי כהונה,related to,כהונה
בגדי כהונה,specifically dependent on,כהונה
אדם מעשה,has cause,בחירה
אדם מעשה,related to,בחירה
בי,is a,בקש בקשה
בי,participates in,בקש בקשה
בית המקדש חורבן,similar to,ירושלים חורבן
בית המקדש חורבן,temporally contained in,ירושלים חורבן
בית המקדש,related to,קרבן
בית המקדש,physically contains,קרבן
בית קברות,applies halacha,קבורה
בית קברות,related to,קבורה
בכיה,has cause,עצב
בכיה,related to,עצב
בכיה,has participant,דמעה
בכיה,similar to,דמעה
ברח,similar to,נוס
ברח,synonymous with,נוס
בריאה,similar to,עולם
בריאה,related to,עולם
בריאה,similar to,מציאות
בריאה,related to,מציאות
ברכה,participates in,ברכת כהנים
ברכה,has specific dependence,ברכת כהנים
גאולה,similar to,לעתיד לבא
גאולה,related to,לעתיד לבא
גוג ומגוג,participates in,משיח חבלי
גוג ומגוג,temporally contained in,משיח חבלי
גלוח,similar to,קרח קרחה
גלוח,related to,קרח קרחה
גלוי עריות,similar to,זנות
גלוי עריות,related to,זנות
גלות בבל,is a,הסטוריה
גלות בבל,temporally contained in,הסטוריה
גלות,has participant,ישראל ועמים
גלות,related to,ישראל ועמים
גלית,participates in,דוד וגלית
גלית,has specific dependence,דוד וגלית
דוד ונבל,related to,נבל אביגיל
דוד ונבל,specifically dependent on,נבל אביגיל
דור המדבר חטא פעור,has participant,פנחס
דור המדבר חטא פעור,related to,פנחס
דור המדבר מלחמת סיחון ועוג,has participant,סיחון
דור המדבר מלחמת סיחון ועוג,specifically dependent on,סיחון
דור המדבר,participates in,דור המדבר מקושש
דור המדבר,related to,דור המדבר מקושש
דור המדבר מתן תורה,has participant,ישראל תורה
דור המדבר מתן תורה,related to,ישראל תורה
דור המדבר מתן תורה,has participant,עשרת הדברות
דור המדבר מתן תורה,related to,עשרת הדברות
דור המדבר סיחון ועוג,has participant,סיחון
דור המדבר סיחון ועוג,specifically dependent on,סיחון
דור המדבר,participates in,מקושש
דור המדבר,related to,מקושש
דעת,has participant,שכל בינה
דעת,similar to,שכל בינה
דרום,similar to,נגב
דרום,synonymous with,נגב
דרך,participates in,הלך הליכה
דרך,related to,הלך הליכה
דשא,is a,צמח
דשא,similar to,צמח
הודאה תודה,similar to,תודה
הודאה תודה,related to,תודה
הודאה תודה,participates in,הכרת טובה
הודאה תודה,similar to,הכרת טובה
הוכח,similar to,קללה
הוכח,related to,קללה
הוראה,has participant,הלכה
הוראה,related to,הלכה
הכרת טובה,similar to,תודה
הכרת טובה,related to,תודה
המן,was opposed by,מרדכי
המן,opposed,מרדכי
הסטוריה,is category of,הסטוריה גלות בבל
הסטוריה,temporally contains,הסטוריה גלות בבל
השגחה,has specific dependence,ישראל השגחה
השגחה,is category of,ישראל השגחה
וידוי,participates in,תשובה
וידוי,similar to,תשובה
זבה,is a,נדה זבה
זבה,similar to,נדה זבה
זבולון,member of,יששכר וזבולון
זבולון,has specific dependence,יששכר וזבולון
זמה,similar to,זנות
זמה,related to,זנות
זמן,similar to,שעה זמן
זמן,temporally contains,שעה זמן
זקן זקנה,participates in,כבוד זקן ורב
זקן זקנה,has specific dependence,כבוד זקן ורב
בית המקדש חורבן,similar to,חורבן
בית המקדש חורבן,temporally contained in,חורבן
חלום,participates in,יוסף חלום
חלום,has specific dependence,יוסף חלום
חמור,participates in,פטר חמור
חמור,related to,פטר חמור
חמץ,has participant,שאור
חמץ,similar to,שאור
חנוך אב ובן,has participant,למוד
חנוך אב ובן,related to,למוד
חצות,related to,צהרים
חצות,temporally contained in,צהרים
טבילה,similar to,רחיצה
טבילה,related to,רחיצה
טבע,dissimilar to,נס אות
טבע,related to,נס אות
טוטפות,similar to,תפילין
טוטפות,synonymous with,תפילין
טטפות,similar to,תפילין
טטפות,synonymous with,תפילין
יהודה,has specific dependence,יהודה ותמר
יהודה,related to,יהודה ותמר
Q313228,parent of,יהויקים
Q313228,spouse of,יהויקים
יום טוב,is a,מועד
יום טוב,similar to,מועד
יום כפורים,has participant,כפרה
יום כפורים,causes,כפרה
יוסף ואחיו,participates in,יוסף מכירת
יוסף ואחיו,related to,יוסף מכירת
יוסף ופוטיפר,has participant,פוטיפר
יוסף ופוטיפר,participates in,פוטיפר
יין,causes,שכור
יין,related to,שכור
ימין,dissimilar to,שמאל
ימין,related to,שמאל
יעקב ובניו,has member,שבטים
יעקב ובניו,similar to,שבטים
יעקב ועשו,has member,עשו
יעקב ועשו,specifically dependent on,עשו
יעקב,has specific dependence,יעקב תורה
יעקב,related to,יעקב תורה
יצא,similar to,יציאה
יצא,related to,יציאה
יצחק ורבקה,has member,רבקה
יצחק ורבקה,specifically dependent on,רבקה
יציאת מצרים,has participant,יציאת מצרים אותות
יציאת מצרים,temporally contains,יציאת מצרים אותות
יציאת מצרים,has participant,משה אותות
יציאת מצרים,temporally contains,משה אותות
יצר הרע,is a,יצר רצון
יצר הרע,related to,יצר רצון
ירד משה,was opposed by,פרעה
ירד משה,opposed,פרעה
ירד משה,has specific dependence,משה ידיעה
ירד משה,related to,משה ידיעה
ישוב,similar to,כפר
ישוב,is category of,כפר
ישראל השגחה,similar to,ישראל מזל
ישראל השגחה,related to,ישראל מזל
ישראל,corresponded with,ישראל וה
ישראל,has specific dependence,ישראל וה
ישראל חטא,causes,ישראל עונש
ישראל חטא,precedes,ישראל עונש
ישראל תורה,participates in,מתן תורה
ישראל תורה,related to,מתן תורה
כבוד אב ואם,related to,מכה אביו ואמו
כבוד אב ואם,has halachic application,מכה אביו ואמו
כבוד ה,similar to,עמוד ענן
כבוד ה,is category of,עמוד ענן
כבש בעל חיים,similar to,שה
כבש בעל חיים,is category of,שה
כהונה בעל מום,related to,כהונה עבודה
כהונה בעל מום,specifically dependent on,כהונה עבודה
כהונה יין,dissimilar to,כהונה עבודה
כהונה יין,related to,כהונה עבודה
כהן גדול,role of,פנחס
כהן גדול,related to,פנחס
כלי מקדש שולחן,participates in,לחם הפנים
כלי מקדש שולחן,physically contains,לחם הפנים
כסף,is a,ממון
כסף,similar to,ממון
כסף,similar to,עושר
כסף,related to,עושר
כשוף,similar to,נחוש
כשוף,is category of,נחוש
לוט,member of,סדום
לוט,related to,סדום
לילית,is a,שד
לילית,related to,שד
למוד,has participant,תורה
למוד,related to,תורה
לעתיד לבא,similar to,משיח ימות
לעתיד לבא,related to,משיח ימות
לשון,similar to,שפה שפתים
לשון,adjacent to,שפה שפתים
מאזנים,participates in,משקל
מאזנים,related to,משקל
מזיקין,similar to,שד
מזיקין,is category of,שד
מחלה,dissimilar to,רפואה
מחלה,participates in,רפואה
מחצית השקל,has participant,שקל
מחצית השקל,specifically dependent on,שקל
מטה,participates in,משה מטה
מטה,has specific dependence,משה מטה
מילה,is category of,משה מילה
מילה,temporally contained in,משה מילה
מים אחרונים,is a,נטילת ידים
מים אחרונים,similar to,נטילת ידים
מיתה,has cause,רוצח
מיתה,has participant,רוצח
מיתת בית דין,has participant,רוצח
מיתת בית דין,related to,רוצח
מלך מלכות,is a,שררה
מלך מלכות,similar to,שררה
ממון,similar to,עושר
ממון,related to,עושר
מנהג,similar to,מסורת
מנהג,related to,מסורת
מסחר,has participant,קנין
מסחר,is category of,קנין
מעשה בראשית,similar to,מעשה מרכבה מרכבה
מעשה בראשית,related to,מעשה מרכבה מרכבה
מעשה,similar to,פעל פעולה
מעשה,is category of,פעל פעולה
מעשה,similar to,עשה
מעשה,is category of,עשה
מעשה,similar to,פועל יצר
מעשה,is category of,פועל יצר
מצורע,participates in,צרעת
מצורע,related to,צרעת
מקדש,related to,קרבן
מקדש,physically contains,קרבן
מקלל אביו ואמו,has participant,קללה
מקלל אביו ואמו,specifically dependent on,קללה
מקלל,participates in,מקלל אביו ואמו
מקלל,has specific dependence,מקלל אביו ואמו
משה במדין,has participant,משה וצפורה
משה במדין,related to,משה וצפורה
משה,has specific dependence,משה ידיעה
משה,related to,משה ידיעה
משה,was opposed by,פרעה
משה,opposed,פרעה
משיח חבלי,temporally contained in,משיח ימות
משיח חבלי,precedes,משיח ימות
משפחה,has member,קרוב קרובים
משפחה,similar to,קרוב קרובים
מת,participates in,קבורה
מת,has halachic application,קבורה
מתן תורה,has participant,עשרת הדברות
מתן תורה,related to,עשרת הדברות
מתנות כהונה,role of,תרומה
מתנות כהונה,is category of,תרומה
מצורע,participates in,נגע צרעת
מצורע,related to,נגע צרעת
נהג,similar to,נהל
נהג,synonymous with,נהל
נהג,similar to,נחה
נהג,synonymous with,נחה
נזיר,participates in,קרבן נזיר
נזיר,has specific dependence,קרבן נזיר
נזיר,role of,שמשון
נזיר,related to,שמשון
נטילת ידים,is a,רחיצה
נטילת ידים,related to,רחיצה
נכרי קרבן,is a,קרבן
נכרי קרבן,specifically dependent on,קרבן
נכרי,participates in,נכרי קרבן
נכרי,related to,נכרי קרבן
נעמה,is a,שד
נעמה,related to,שד
נפילים,similar to,ענק
נפילים,related to,ענק
נשא עון,similar to,סלח סליחה
נשא עון,related to,סלח סליחה
ברכה,participates in,נשיאת כפים
ברכה,has specific dependence,נשיאת כפים
נשמה,related to,נשמה יתרה
נשמה,is category of,נשמה יתרה
נשמה,is category of,שבת נשמה יתרה
נשמה,related to,שבת נשמה יתרה
סלח סליחה,has cause,תשובה
סלח סליחה,participates in,תשובה
עגלה ערופה,has participant,רוצח
עגלה ערופה,related to,רוצח
עליה לרגל,has participant,קרבן עולת ראיה
עליה לרגל,participates in,קרבן עולת ראיה
עץ הדעת,dissimilar to,עץ החיים
עץ הדעת,related to,עץ החיים
עץ,is a,צמח
עץ,similar to,צמח
עשב,is a,צמח
עשב,similar to,צמח
ממון,similar to,עשיר
ממון,related to,עשיר
כסף,similar to,עשיר
כסף,related to,עשיר
עשר מכות,has participant,פרעה
עשר מכות,temporally contains,פרעה
מכה אביו ואמו,related to,עשרת הדברות כבד את אביך
מכה אביו ואמו,applies halacha,עשרת הדברות כבד את אביך
אב ובן,related to,עשרת הדברות כבד את אביך
אב ובן,applies halacha,עשרת הדברות כבד את אביך
אם הורים,related to,עשרת הדברות כבד את אביך
אם הורים,applies halacha,עשרת הדברות כבד את אביך
קבורה,has participant,קבר
קבורה,related to,קבר
קדוש החודש,participates in,שנה
קדוש החודש,related to,שנה
קללה,similar to,תוכחה
קללה,related to,תוכחה
שחוק,has participant,שמחה
שחוק,causes,שמחה
