topic,is a type of,is a type of 2,,edge,rambam topic,
דמאי,uncertain produce (in terms of maaser),halachic role,,related to,Demai (Questionable Tithes from the Uneducated),
דרך ארץ,ettiquette/social norms,halachic process,,related to,Ethics law,
דרכי האמורי,Emorite ways/arbitrary non-Jewish practices,halachic process,,related to,,
הבדלה,havdallah,halachic process,,related to,Sanctification and Separation (of Shabbat),
הוכח,reprove,halachic process,,related to, Commandments Concerning Demeanor,
הוצאת שכבת זרע לבטלה,wasteful emission,halachic process,,related to,Respecting the Sages,
הוראה,psak halacha,halachic process,,related to,High Court Authority and Insubordination to It,
הוראת שעה,temporary/circumstantial psak,halachic process,,related to,,
הכנסת אורחים,hospitality,halachic process,,related to,Laws of Accompanying Guests,
הלואה,lending money,halachic process,,related to,Borrowing law,
הסגת גבול,invading property boundaries,halachic process,,related to,Measures and Weights,
העלם,hiddenness/forgetting,halachic process,,related to,Offerings for Errors of the Court or the Anointed Priest and Sin-offerings of the Nassi (Leader),
הקדש,dedication to Beis HaMikdash,halachic process,,related to,Sanctification and Dedication (of Property),
הקטרה,burning incense,halachic process,,related to,Temple Vessels,
הקפת הראש,cutting the corners of the hair,halachic process,,related to,Dissociation from Idolatry and its Worshippers,
הרבעה,breeding animals,halachic process,,related to,Forbidden Mixtures of Animals,
הרג,killing,halachic process,,related to,Intentional Murder,
הרכבה,grafting,halachic process,,related to,Forbidden Mixtures of Seeds and Trees,
השבת אבדה,returning lost object,halachic process,,related to,Lost Objects,
התראה,warning,halachic process,,related to,Court Punishments,
וידוי,confession,halachic process,,related to,Teshuvah (Repentance),
זבח,slaughter/sacrifice,halachic process,,related to,Korban law,
זונה,prostitute,halachic role,,related to,Forbidden Relatives,
זכור,homosexual act,halachic process,,related to,,
זנות,sexual immorality,halachic process,,related to,Those Forbidden to Marry Priests,
חולה בקור,caring for sick,halachic process,,related to,Laws of Visiting the Sick,
חומש,extra payment of fifth,halachic process,,related to,Challa Tithe,
חוקות הגוי,non-Jewish practices,halachic process,,related to,,
חלה מתנות כהונה,portion from dough given to kohanim,halachic role,,related to,,
חלול השם,defaming HaShem,halachic process,theology,related to,,
חליצה,,halachic process,,,Yibum Laws,
חמץ בדיקה וביעור,checking and removing chametz,halachic process,,related to,Chametz (Leavened Foods),
חנק,strangulation,halachic process,,,Court Punishments,
טבילה,immersing,halachic process,,,Immersion,
טביעות עין,identifying item visually,halachic process,,related to,Lost Objects,
טומאה אוכלין ומשקין,impurity of food/liquid,halachic quality,,related to,Food purity law,
טומאה הכשר,facilitation of impurity ,halachic process,,related to,Conditioning of Food,
טומאה כלים,impurity of items,halachic quality,,related to,Vessel purity law,
טומאה לידה,impurity of birthing,halachic quality,,related to,Impurity and Prohibition of a Menstruant Woman,Sanctification of God
טומאה מקדש וקדשיו,impurity eating korban/entering Beis HaMikdash,halachic quality,,related to,Vessel purity law,
טומאה משקין,impurity of liquids,halachic quality,,related to,,
טומאה מת,impurity of death,halachic quality,,related to,Corpse purity law,
טומאה נבלה,impurity of dead unslaughtered animal,halachic quality,,related to,,
טומאה ספק,uncertain impurity,halachic quality,,related to,Questionable Impurity,
טומאה שלוח,sending out impure,halachic process,,related to,,
טומאה שרץ,impurity of dead creature,halachic quality,,related to,,
טומאה,impurity ,halachic quality,,,Purity Law,
טרף טרפה,sick/mauled animal,halachic quality,,related to,Treifot (Types of Dying Animals),
יבום,yibum,halachic process,,related to,Yibum Laws,
ידעוני,type of sorcery,halachic process,,related to,Dissociation from Idolatry and its Worshippers,
יהרג ואל יעבר,mitzvos that require giving life over transgression,halachic process,,related to,,
יולדת,woman who's given birth,halachic quality,,related to,Offerings of the Zava and the Woman that gave Birth,
יום טוב אסורי,prohibitions of yomtov,halachic process,,related to,,
יום כפורים אסורי,prohibitions of yom kippur,halachic process,,related to,Yom Kippur Laws,
יום כפורים עבודה,service of yom kippur,halachic process,,related to,Service of Yom Kippur ,
יחוד,seclusion of opposite genders,halachic process,,related to,Preventative Separations,
יין נסך,,halachic role,,related to,,
יפת תאר,,halachic role,,,,
יציאת מצרים זכר,remembrance of the exodus ,halachic process,,,Shema Laws,
ירושה,inheritance,halachic process,,related to,Inheritance law,
ירושלים אבלות,mourning Jerusalem,halachic process,,related to,,
כבוד אב ואם,respect for parents,halachic process,,related to,Respect parents law,
כבוד הבריות,"respect for living things, esp. humans",halachic process,,related to,,
כבוד זקן ורב,respect for elderly/superior,halachic process,,related to,Respecting the Sages,
כהונה בית אב,family division of kohanim,halachic role,,related to,Temple Workers,
כהונה בעל מום,unfit as kohen,halachic quality,,related to,Temple Workers,
כהונה חלוקה ונחלה,portion/ownership of kohen,halachic process,,related to,Temple Workers,
כהונה טומאה,impurity for kohen,halachic quality,,related to,Laws of Mourning,
כהונה יין,kohen drinking alcohol,halachic process,,related to,Conditions that Forbid One from Entering the Temple and Serving in It,
כהונה מלואים,kohen inauguration,halachic process,,related to,Temple Workers,
כהונה משוח מלחמה,kohen annointed for war,halachic role,,related to,Wars,
כהונה משמרות,divisions of kohanim for service,halachic role,,related to,Temple Workers,
כהונה עבודה,service of kohanim ,halachic process,,related to,Temple Workers,
כהן אשה,wife of a kohen,halachic role,,related to,,
כהן בת,daughter of a kohen,halachic role,,related to,,
כהן גדול אבלות,kohen gadol mourning,halachic process,,related to,Temple Workers,
כהן גדול הוראה,kohen gadol halachic decision,halachic process,,related to,,
כהן גדול אשה,wife of kohen gadol,halachic role,,related to,,
כהן גדול,,halachic role,,,,
כונים,type of idolatry?,theurgy,halachic process,,Dissociation from Idolatry and its Worshippers,
כוס של ברכה,cup of blessing,halachic role,,,,
כלאים כלאי בהמה,mixing animals,halachic quality,,,Forbidden Mixtures of Animals,
כלאים,forbidden mixing of species,halachic quality,,,Kilayim law,
כלי גבר,men's clothing/adornment,halachic role,,,,
כלי מקדש מנורה הדלקה,the temple menorah lighting,halachic process,,,Temple Vessels,
כסוי הראש,head covering,halachic role,,,Preventative Separations,
כפל,double (payment),halachic process,,,Theft,
כרם רבעי,4th year vineyard produce,halachic role,,,,
כשוף דורש אל המתים,necromancy,halachic process,,,Dissociation from Idolatry and its Worshippers,
כשוף חובר חבר,animal taming sorcery,halachic process,,,Dissociation from Idolatry and its Worshippers,
כשוף ידעוני,yidoni sorcery,halachic process,,,Dissociation from Idolatry and its Worshippers,
כשוף,sorcery,halachic process,,,Dissociation from Idolatry and its Worshippers,
כתובה,marriage document,source,halachic role,,Financial Responsibilities in Marriage,
כתובת קעקע,tattoo,halachic process,,,Dissociation from Idolatry and its Worshippers,
לא ילבש גבר,prohibition of cross-dressing,halachic process,,,,
לא תחמוד,prohibition of coveting,halachic process,,,,
לא תחסום,prohibition of muzzling animal while working,halachic process,,,,
לא תתגודדו,prohibition of cutting oneself/splitting into factions,halachic process,,,,
לוים עבודה,levite service,halachic process,,,Temple workers law,
לולב,,halachic role,,,Four Species,
לחם הפנים,"""showbread""",halachic role,,,Regular and Additional Shabbat Sacrifices,
לפני עור,prohibition of taking advantage of others' weaknesses,halachic process,,related to,,
לקט,produce for poor to gather,halachic role,,related to,Agricultural Gifts to the Poor,
לשון הרע,negative speech,halachic process,,related to, Commandments Concerning Demeanor,
מאכלות אסורות,forbidden foods,halachic quality,,related to,Forbidden food law,
מגדף,curse,halachic process,,related to,,
מוציא שם רע,slander,halachic process,,related to,,
מורידין,,halachic process,,related to,,
מזיד,purposeful sin,halachic process,,related to,,
מחוסר זמן,premature,halachic quality,,,,doesn't apply specific halacha
מחצית השקל,half-shekel,halachic process,,related to,,
מי חטאת,parah adumah water,halachic role,,related to,,
מילה,bris milah,halachic process,,related to,,
מים אחרונים,,halachic process,,related to,,
מיתת בית דין,capital punishment,halachic process,,related to,,
מכה אביו ואמו,one who wounds parent,halachic process,,related to,,
מכנה שם,giving nickname,halachic process,,,,
מלואים,inauguration korban,halachic role,,,,
מלוה,loan,halachic process,,,,
מליקה,slaughtering by hand,halachic process,,,,
מלכת השמים,star/subject of idolatry,halachic process,,,,
מלק,slaughtering by hand,halachic process,,,,
מלקות,lashes,halachic process,,,,
מסיג גבול,expanding into others' property,halachic process,,,,
מסית,to encourage idolatry,halachic process,,,,
מעילה,benefitting from sanctified property,halachic process,,,,
מעל מעילה,benefitting from sanctified property,halachic process,,,,
מעלה בחוץ,sacrificing outside Beis HaMikdash,halachic process,,,,
מעמד ומושב,standing and sitting for mourners,halachic process,,,,
מעשר בעור וודוי,getting rid of/confession over tithe,halachic process,,,Confession of Tithes,
מעשר בהמה,animal tithe,halachic role,,,Animal Tithe,
מעשר עני,tithe for poor,halachic role,,,Poor Tithe,
מעשר שני,second tithe,halachic role,,,Second Tithe,
מעשר,tithe,halachic role,,,Maaser rishon law,
מפתה,seduce,halachic process,,,Rape and Seduction  ,
מצא מציאה,finding lost object,halachic process,,,Lost Objects,
מצה,unleavened bread,halachic role,food,,Matza,
מצוה מעשה,act of a mitzvah,halachic process,,,,
מצורע,metzora,halachic quality,,,Tsaraat of a Person,
מקוה,collection of water/mikveh,halachic role,structure,,Mikveh,
מקלל אביו ואמו,one who curses parent,halachic process,,,Respect and Awe of Parents and Insubordination to Them,
מראית העין,suspicion,halachic process,,,,
מרור,maror,food,halachic role,related to,The Seder Night,
משיכה,pulling/drawing [to buy],halachic process,,related to,Methods of Acquisition,
משכב זכור,homosexual act,halachic process,,related to,Forbidden Relatives,
משכן מסע,mishkan travel,halachic process,,related to,,
משלח מנות,gifts on Purim,halachic role,,related to,,
מת מצוה,abandoned body,halachic role,,related to,,
מתנות כהונה חזה ושוק,kohen gifts: breast and thigh,halachic role,,related to,,
מתנות כהונה,kohen gifts,halachic role,,related to,,
מתנות עניים,gifts to poor,halachic role,,related to,,
נאף,illicit relations,halachic process,,related to,,
נבול פה,innapropriate speech,halachic process,,related to,,
נביא שקר,false prophet,halachic role,,related to,,
נבלה מאכלות אסורות,dead animal (not by kosher slaughter),halachic quality,,related to,,
נגע צרעת,lesion of tzaraas,fiat object part,halachic role,related to,,
נגש לא יגש,pressure/demand payment,halachic process,,related to,,
נדה זבה,nidah/zavah,halachic role,,related to,,
נדוי,excommunication,halachic process,,related to,,
נדוניה,dowry,halachic role,,related to,,
נדר,oath,halachic process,,related to,,
נותר,forbidden leftover korban,halachic role,,related to,,
נזיקין,damages,halachic process,,,,
נזיר,nazirite,halachic role,,,,
נזק,damages,halachic process,,,,
נטילת ידים,washing hands,halachic process,,,,
נטירה,holding grudge,halachic process,,,,
ניאוף,illicit relations,halachic process,,,,
נכרי קרבן,non-Jew bringing korban,halachic process,,,,
נכרי תורה,non-Jew learning Torah,halachic process,,,,
נפילת אפים,falling on face prayer,halachic process,,,,
נשואין סעודה,wedding meal,halachic process,,,,
נשואין שנה ראשונה,first year of marriage,halachic process,,,,
נשואין,marriage,halachic process,,,Marriage,
נשיאת כפים,lifting the hands kohanic blessing,halachic process,,,The Priestly Blessing,
סוטה,accused woman,halachic role,,,Laws of Sotah,
סוכה,sukkah,structure,halachic role,,Sukkah,
סמיכה בית דין,ordination,halachic process,,,Judges and Courts,
סמיכה קרבן,leaning on korban,halachic process,,,Animal Sacrifices,
ספר תורה כתיבה,writing Torah scroll,halachic process,,,The Torah Scroll,
סקילה,stoning,halachic process,,,Court Punishments,
סרוס,castration/neutering/spaying,halachic process,,,Those Forbidden to Marry into the Congregation,
עבד כנעני הסגרה,not giving over runaway non-Jewish slave,halachic process,,,,
עבד כנעני יום או יומים,time for non-Jewish slave to recover,halachic process,,,,
עבד כנעני שן ועין,injuring tooth or eye of non-Jewish slave,halachic process,,,,
עבד עברי הענקה,departing gifts to Jewish slave,halachic process,,,Hebrew (Jewish) Slaves,
עבד עברי נרצע,piercing Jewish slave,halachic process,,,Hebrew (Jewish) Slaves,
עבד עברי שפחה,Jewish slave marrying non-Jewish slavewoman,halachic process,,,,
עבודה זרה אשרה,asherah idolatry,halachic process,theurgy,,Dissociation from Idolatry and its Worshippers,
עבודה זרה בטול,nullifying idolatry,halachic process,theurgy,,Dissociation from Idolatry and its Worshippers,
עבודה זרה דגון,dagon idolatry,halachic process,theurgy,,Dissociation from Idolatry and its Worshippers,
עבודה זרה חמנים,sun idolatry,halachic process,theurgy,,Dissociation from Idolatry and its Worshippers,
עבודה זרה כונים,type of idolatrous ritual,halachic process,theurgy,,Dissociation from Idolatry and its Worshippers,
עבודה זרה מולך,molech idolatry,halachic process,theurgy,,Dissociation from Idolatry and its Worshippers,
עבודה זרה,idolatry,halachic process,theurgy,,Definition and Prohibition of Idolatry,
עבור שנה,calculating leap year,halachic process,,,Setting the Hebrew Months and Leap Years,
עגלה ערופה,calf for finding body,halachic role,,,,
עדות עדים זוממים,conspiring witnesses,halachic role,,,,
עובד כוכבים,idolater,halachic role,,,,
עוון,sin/wrongdoing,halachic process,,,,
עוללות,grapes for poor,halachic role,,,,
עומר ספירת,counting the omer,halachic process,,,,
עון,sin/wrongdoing,halachic process,,,,
עיר לוים,city of Levites,geographic site,halachic role,,,
עיר הנדחת,idolatrous city,halachic role,,,,
עיר חומה,walled city,structure,halachic role,,,
עיר מקלט,refuge city,geographic site,halachic role,,,
עליה לרגל,pilgrimage to Jerusalem,halachic process,,,,
עמלק מחיית זכר,annihilating memory of Amalek,halachic process,,,,
עריות,illicit relationships,halachic process,,,,
ערכין,evaluation,halachic process,,,,
פאה מתנות עניים,corner of field for poor,halachic role,,,,
פאר לא תפאר,pick fruit tree bare,halachic process,,,,
פאת הראש והזקן,corner of head/beard,halachic role,,,,
פגול,improperly intentioned korban,halachic process,,,,
פדיון הבן,redeeming firstborn,halachic process,,,,
פדיון שבויים,redeeming captives,halachic process,,,,
פורש מדרכי צבור,those who separate themselves from the Jewish people,halachic process,,,,
פטר חמור,redeeming firstborn donkey,halachic process,,,,
פעור,type of idolatry,halachic process,,,,
פקדון,deposit,halachic role,,,,
פקוח נפש,life-threatening circumstance,halachic process,,,,
פרה אדומה,the red heifer,halachic quality,,,Red heifer law,
פרוזבול,contract of debt extension,halachic role,,,Release of Loans,
פרוע ראש,uncovered/overgrown head,halachic quality,,,,
פרט,grapes gift to poor,halachic role,,,,
פריה ורביה,having children,halachic process,,,,
פריקה וטעינה,helping other's animal,halachic process,,,,
צדק,justice,halachic process,,,,
צדקה,charity/giving,halachic process,,,,
צער בעלי חיים,causing suffering to animals,halachic process,,,,
צרעת בגדים,tzaraas of clothing,halachic quality,,,,
צרעת בתים,tzaraas of buildings,halachic quality,,,,
צרעת,tzaraas,halachic quality,,,,
קבורה,burial,halachic process,,,,
קדוש החודש,declaring/sanctifying month,halachic process,,,,
קדוש ידים ורגלים,washing/sanctifying hands and feet,halachic process,,,,
קדוש לבנה,blessing over new moon,halachic process,,,,
קדוש,kiddush,halachic process,,,,
קדושין,engagement,halachic process,,,,
קינוי וסתירה,warning and seclusion of married woman with other man,halachic process,,,,
קינין,bird korbanos,halachic role,,,,
קנין,transaction/ownership,halachic process,,,,
קעקע,tattoo,halachic process,,,,
קרבן אכילה,eating korban,halachic process,,,,
קרבן אשה,fire of korban,halachic role,,,,
קרבן אשם,guilt korban,halachic role,,,,
קרבן בית דין,korban of beis din,halachic role,,,,
קרבן בכור,korban of firstborn animal,halachic role,,,,
קרבן הקרבה,sacrificial order,halachic process,,,,
קרבן זריקת הדם,throwing blood of korban,halachic process,,,,
קרבן חביתין,daily minchah-korban of kohen gadol,halachic role,,,,
קרבן חגיגה,festival korban,halachic role,,,,
קרבן חזה ושוק,thigh and chest of korban,halachic role,,,,
קרבן חטאת,sin korban,halachic role,,,,
קרבן חנוך,inaugural korban,halachic role,,,,
קרבן יום הכפורים,korban of yom kippur,halachic role,,,,
קרבן לבונה,frankincense korban,halachic role,,,,
קרבן לידה,korban for giving birth,halachic role,,,,
קרבן מוסף,korban mussaf,halachic role,,,,
קרבן מחוסר זמן,korban too young,halachic quality,,,,
קרבן מלואים,inaugural korban,biblical historical event,halachic role,,,
קרבן מלח,salt on korban,halachic process,,,,
קרבן מליקה,slaughtering bird-korban by hand,halachic process,,,,
קרבן מנחה,minchah korban,halachic role,,,,
קרבן מעשר בהמה,animal tithe korban,halachic role,,,,
קרבן מצורע,korban of metzora,halachic role,,,,
קרבן נותר,leftover korban,halachic role,,,,
קרבן נזיר,korban of nazir,halachic role,,,,
קרבן נסוך המים,water-pouring korban,halachic role,,,,
קרבן נסך,libation of korban,halachic process,,,,
קרבן נשיא,korban of leader,halachic role,,,,
קרבן סוטה,korban of sotah,halachic role,,,,
קרבן סמיכה,leaning on korban,halachic process,,,,
קרבן עבודה זרה,korban for idolatry,halachic role,,,,
קרבן עולה ויורד,korban dependent on affordability,halachic role,,,,
קרבן עולה,completely burnt korban,halachic role,,,,
קרבן עולת ראיה,pilgrimage korban ,halachic role,,,,
קרבן עומר,omer korban,halachic role,,,,
קרבן עוף,bird korban,halachic role,,,,
קרבן עצים,donation of wood,halachic process,,,,
קרבן פגול,improper intention in korban,halachic process,,related to,,
קרבן פסח מצרים,korban passover in egypt,biblical historical event,halachic role,related to,,
קרבן פסח שני,korban pesach sheini,halachic role,,related to,,
קרבן פסח,passover korban,halachic role,,related to,,
קרבן פר העלם דבר,bull korban for national mistake,halachic role,,related to,,
קרבן פר כהן משיח,bull korban for kohen gadol mistake,halachic role,,related to,,
קרבן שחוטי חוץ,korban slaughtered outside temple,halachic role,,related to,,
קרבן שחיטה,korban slaughter,halachic process,,related to,,
קרבן שיר,song over korban,halachic process,musical process,related to,,
קרבן שלמים,shlamim korban,halachic role,,,,
קרבן שמיני,eighth day inaugural korban,biblical historical event,halachic role,,,in yesodei hatorah 6
קרבן שמן,oil for korban,halachic process,,related to,,
קרבן שני הלחם,two loaves korban,halachic role,,related to,,
קרבן שתי הלחם,two loaves korban,halachic role,,,,not clear what this refers to
קרבן תודה,thanksgiving korban,halachic role,,related to,,
קרבן תמורה,switching korban,halachic process,,related to,,
קרבן תמיד,daily korban,halachic role,,related to,,
קרבן תנופה,waving korban,halachic process,,related to,,
קרבן תקיעה,trumpeting over korban,halachic process,musical process,related to,,
קרבן,korban/offering,halachic role,,related to,,
קרוב רחוקים,kiruv,halachic process,,related to,,
קרי,seminal emission,halachic process,,related to,,
קריאת התורה,reading of the Torah,halachic process,,related to,,
קריאת שמע על המטה,saying shma before bed,halachic process,,related to,,
קריאת שמע,saying shma,halachic process,,related to,,
קריעה,tearing,halachic process,,related to,,
ראשית הגז,first shearing given to kohen,halachic role,,related to,,
רב רבי,rabbinic title,halachic role,,related to,,
רבית,charging interest,halachic process,,related to,,
רגל מזיק,damage by walking,halachic process,,related to,,
רודף רדף,pursuer/attacker,halachic process,,related to,,
רוצח,murderer,halachic role,,related to,,
רקיק,flatbread used in korban,food,halachic role,related to,,
רשות היחיד הרבים,private/public domains,halachic role,,,,
שאת צרעת,type of tzaraas,halachic quality,,,Tsaraat of a Person,
שבועה,swear,halachic process,,,Oath law,
שבעת ימי המשתה,7 days of celebration afrer wedding,halachic process,,,Marriage,
שבת אסורי,prohibitions of Shabbos,halachic process,,,39 Melachot Law,
שבת בגד,clothes for Shabbos,halachic role,,,Honoring and Enjoying Shabbat,
שבת זכור ושמור,remembrance and guarding Shabbos,halachic process,,,Shabbat law,
שבת נר,candles for Shabbos,halachic role,,,Shabbat Lights,
שבת סעודה,Shabbos meals,halachic process,,,Honoring and Enjoying Shabbat,
שבת קדוש והבדלה,kiddush and havdallah,halachic process,,,Sanctification and Separation (of Shabbat),
שבת תוספות,adding to Shabbos,halachic process,,,,
שואל,borrower,halachic role,,,Borrowers,
שוכר,renter,halachic role,,,Property Rentals,
שומרים,types of leases/watching agreements,halachic role,,,Laws of Guardianship,
שחיטה,slaughter,halachic process,,,Ritual Slaughter,
שטר,contract,halachic role,,,Contracts and Guarantors,
שכחה,forgotten sheaves,halachic role,,,Agricultural Gifts to the Poor,
שכר שכיר,paying workers on time,halachic process,,,Engagement of Workers,
שלוח הקן,sending away mother bird,halachic process,,,Commandments Pertaining to Ritual Slaughter,
שמא יקדמנו,exception for opportunity,halachic process,,,,
שמוש חכמים,attending to scholars,halachic process,,,Respecting the Sages,
שמות קדש הזכרה,mentioning Divine names,halachic process,,,,
שמות קדש מחיקה,erasing Divine names,halachic process,,,,
שמחת בית השואבה,celebration of water drawing,halachic process,,,Laws of Joy on Sukkot,
שמטת כספים,cancelling of debts during shemitah,halachic process,,,Release of Loans,
שמירת הברית,keeping the covenant of physical holiness,halachic process,,,,
שעטנז,shaatnez,halachic quality,,,Forbidden Mixtures in Garments,
שפחה חרופה,maid arranged to be married,halachic role,,,Kiddushin (Betrothal),
שפיכות דמים,murder,halachic process,,,Intentional Murder,
שרד,fabrics for use in transporting mishkan,halachic role,,,Priestly Garments,
שרט לנפש,cutting self in mourning,halachic process,,,Dissociation from Idolatry and its Worshippers,
שרף שרפה,burning,halachic process,,,Court Punishments,
תורה בטול,neglecting Torah study,halachic process,,,Torah Study,
תורה כתיבה,writing Torah scroll,halachic process,,,The Torah Scroll,
תליה,death by hanging,halachic process,,,Court Punishments,
תמורה,switching korban with other animal,halachic process,,,Substitution of Offerings,
תנופה,waving pieces of korban,halachic process,,,Animal Sacrifices,
תנחומין,condolences,halachic process,,,Laws of Comforting the Mourners,
תערובת,mixtures,halachic role,,,,
תפלה כריעות,kneeling/bowing in prayer,halachic process,,,Laws of Prayer,
תקון חצות,midnight prayer,halachic process,,,Laws of Prayer,
תרומה,terumah-tithe,halachic role,,,The Obligation of the Priestly Tithe and its Separation,
תרומת הדשן,clearing ashes from altar,halachic process,,,Regular and Additional Shabbat Sacrifices,
תרומת הלשכה,general fund of the Beis Hamikdash,halachic role,,,Shekel donation law,
תרומת מעשר,terumah from maaser,halachic role,,,The Obligation of the Priestly Tithe and its Separation,
תשובה,repentance,halachic process,theological process,,Teshuvah (Repentance),
תשליך,tashlich,halachic process,,,Rosh hashanah law,
