date,heb title,eng title,ref
1/10/2023,יז טבת,17 Tevet,"Tanya, Part I; Likkutei Amarim 12:10"
1/11/2023,יח טבת,18 Tevet,"Tanya, Part I; Likkutei Amarim 13:1"
1/12/2023,יט טבת,19 Tevet,"Tanya, Part I; Likkutei Amarim 13:6"
1/13/2023,כ טבת,20 Tevet,"Tanya, Part I; Likkutei Amarim 13:11"
1/14/2023,כא טבת,21 Tevet,"Tanya, Part I; Likkutei Amarim 14:1"
1/15/2023,כב טבת,22 Tevet,"Tanya, Part I; Likkutei Amarim 14:4"
1/16/2023,כג טבת,23 Tevet,"Tanya, Part I; Likkutei Amarim 15:1"
1/17/2023,כד טבת,24 Tevet,"Tanya, Part I; Likkutei Amarim 15:9"
1/18/2023,כה טבת,25 Tevet,"Tanya, Part I; Likkutei Amarim 16:1"
1/19/2023,כו טבת,26 Tevet,"Tanya, Part I; Likkutei Amarim 16:7"
1/20/2023,כז טבת,27 Tevet,"Tanya, Part I; Likkutei Amarim 17:1"
1/21/2023,כח טבת,28 Tevet,"Tanya, Part I; Likkutei Amarim 17:5"
1/22/2023,כט טבת,29 Tevet,"Tanya, Part I; Likkutei Amarim 18:1"
1/23/2023,א שבט,1 Shevat,"Tanya, Part I; Likkutei Amarim 18:9"
1/24/2023,ב שבט,2 Shevat,"Tanya, Part I; Likkutei Amarim 19:1"
1/25/2023,ג שבט,3 Shevat,"Tanya, Part I; Likkutei Amarim 19:7"
1/26/2023,ד שבט,4 Shevat,"Tanya, Part I; Likkutei Amarim 19:10"
1/27/2023,ה שבט,5 Shevat,"Tanya, Part I; Likkutei Amarim 20:1"
1/28/2023,ו שבט,6 Shevat,"Tanya, Part I; Likkutei Amarim 20:5"
1/29/2023,ז שבט,7 Shevat,"Tanya, Part I; Likkutei Amarim 21:1"
1/30/2023,ח שבט,8 Shevat,"Tanya, Part I; Likkutei Amarim 21:6"
1/31/2023,ט שבט,9 Shevat,"Tanya, Part I; Likkutei Amarim 22:1"
2/1/2023,י שבט,10 Shevat,"Tanya, Part I; Likkutei Amarim 22:6"
2/2/2023,יא שבט,11 Shevat,"Tanya, Part I; Likkutei Amarim 23:1"
2/3/2023,יב שבט,12 Shevat,"Tanya, Part I; Likkutei Amarim 23:8"
2/4/2023,יג שבט,13 Shevat,"Tanya, Part I; Likkutei Amarim 23:12"
2/5/2023,יד שבט,14 Shevat,"Tanya, Part I; Likkutei Amarim 24:1"
2/6/2023,טו שבט,15 Shevat,"Tanya, Part I; Likkutei Amarim 24:8"
2/7/2023,טז שבט,16 Shevat,"Tanya, Part I; Likkutei Amarim 24:12"
2/8/2023,יז שבט,17 Shevat,"Tanya, Part I; Likkutei Amarim 25:1"
2/9/2023,יח שבט,18 Shevat,"Tanya, Part I; Likkutei Amarim 25:6"
2/10/2023,יט שבט,19 Shevat,"Tanya, Part I; Likkutei Amarim 25:11"
2/11/2023,כ שבט,20 Shevat,"Tanya, Part I; Likkutei Amarim 26:1"
2/12/2023,כא שבט,21 Shevat,"Tanya, Part I; Likkutei Amarim 26:5"
2/13/2023,כב שבט,22 Shevat,"Tanya, Part I; Likkutei Amarim 26:7"
2/14/2023,כג שבט,23 Shevat,"Tanya, Part I; Likkutei Amarim 27:1"
2/15/2023,כד שבט,24 Shevat,"Tanya, Part I; Likkutei Amarim 27:6"
2/16/2023,כה שבט,25 Shevat,"Tanya, Part I; Likkutei Amarim 27:11"
2/17/2023,כו שבט,26 Shevat,"Tanya, Part I; Likkutei Amarim 28:1"
2/18/2023,כז שבט,27 Shevat,"Tanya, Part I; Likkutei Amarim 28:5"
2/19/2023,כח שבט,28 Shevat,"Tanya, Part I; Likkutei Amarim 29:1"
2/20/2023,כט שבט,29 Shevat,"Tanya, Part I; Likkutei Amarim 29:9"
2/21/2023,ל שבט,30 Shevat,"Tanya, Part I; Likkutei Amarim 29:15"
2/22/2023,א אדר,1 Adar,"Tanya, Part I; Likkutei Amarim 29:18"
2/23/2023,ב אדר,2 Adar,"Tanya, Part I; Likkutei Amarim 29:21"
2/24/2023,ג אדר,3 Adar,"Tanya, Part I; Likkutei Amarim 30:1"
2/25/2023,ד אדר,4 Adar,"Tanya, Part I; Likkutei Amarim 30:8"
2/26/2023,ה אדר,5 Adar,"Tanya, Part I; Likkutei Amarim 31:1"
2/27/2023,ו אדר,6 Adar,"Tanya, Part I; Likkutei Amarim 31:9"
2/28/2023,ז אדר,7 Adar,"Tanya, Part I; Likkutei Amarim 31:11"
3/1/2023,ח אדר,8 Adar,"Tanya, Part I; Likkutei Amarim 31:17"
3/2/2023,ט אדר,9 Adar,"Tanya, Part I; Likkutei Amarim 32:1"
3/3/2023,י אדר,10 Adar,"Tanya, Part I; Likkutei Amarim 32:4"
3/4/2023,יא אדר,11 Adar,"Tanya, Part I; Likkutei Amarim 33:1"
3/5/2023,יב אדר,12 Adar,"Tanya, Part I; Likkutei Amarim 33:6"
3/6/2023,יג אדר,13 Adar,"Tanya, Part I; Likkutei Amarim 33:9"
3/7/2023,יד אדר,14 Adar,"Tanya, Part I; Likkutei Amarim 34:1"
3/8/2023,טו אדר,15 Adar,"Tanya, Part I; Likkutei Amarim 34:6"
3/9/2023,טז אדר,16 Adar,"Tanya, Part I; Likkutei Amarim 35:1"
3/10/2023,יז אדר,17 Adar,"Tanya, Part I; Likkutei Amarim 35:4"
3/11/2023,יח אדר,18 Adar,"Tanya, Part I; Likkutei Amarim 35:5"
3/12/2023,יט אדר,19 Adar,"Tanya, Part I; Likkutei Amarim 35:8"
3/13/2023,כ אדר,20 Adar,"Tanya, Part I; Likkutei Amarim 35:11"
3/14/2023,כא אדר,21 Adar,"Tanya, Part I; Likkutei Amarim 36:1"
3/15/2023,כב אדר,22 Adar,"Tanya, Part I; Likkutei Amarim 36:9"
3/16/2023,כג אדר,23 Adar,"Tanya, Part I; Likkutei Amarim 37:1"
3/17/2023,כד אדר,24 Adar,"Tanya, Part I; Likkutei Amarim 37:9"
3/18/2023,כה אדר,25 Adar,"Tanya, Part I; Likkutei Amarim 37:12"
3/19/2023,כו אדר,26 Adar,"Tanya, Part I; Likkutei Amarim 37:17"
3/20/2023,כז אדר,27 Adar,"Tanya, Part I; Likkutei Amarim 37:19"
3/21/2023,כח אדר,28 Adar,"Tanya, Part I; Likkutei Amarim 37:22"
3/22/2023,כט אדר,29 Adar,"Tanya, Part I; Likkutei Amarim 37:26"
3/23/2023,א ניסן,1 Nissan,"Tanya, Part I; Likkutei Amarim 37:28"
3/24/2023,ב ניסן,2 Nissan,"Tanya, Part I; Likkutei Amarim 38:1"
3/25/2023,ג ניסן,3 Nissan,"Tanya, Part I; Likkutei Amarim 38:4"
3/26/2023,ד ניסן,4 Nissan,"Tanya, Part I; Likkutei Amarim 38:6"
3/27/2023,ה ניסן,5 Nissan,"Tanya, Part I; Likkutei Amarim 38:10"
3/28/2023,ו ניסן,6 Nissan,"Tanya, Part I; Likkutei Amarim 38:14"
3/29/2023,ז ניסן,7 Nissan,"Tanya, Part I; Likkutei Amarim 39:1"
3/30/2023,ח ניסן,8 Nissan,"Tanya, Part I; Likkutei Amarim 39:6"
3/31/2023,ט ניסן,9 Nissan,"Tanya, Part I; Likkutei Amarim 39:10"
4/1/2023,י ניסן,10 Nissan,"Tanya, Part I; Likkutei Amarim 39:15"
4/2/2023,יא ניסן,11 Nissan,"Tanya, Part I; Likkutei Amarim 39:17"
4/3/2023,יב ניסן,12 Nissan,"Tanya, Part I; Likkutei Amarim 39:19"
4/4/2023,יג ניסן,13 Nissan,"Tanya, Part I; Likkutei Amarim 40:1"
4/5/2023,יד ניסן,14 Nissan,"Tanya, Part I; Likkutei Amarim 40:5"
4/6/2023,טו ניסן,15 Nissan,"Tanya, Part I; Likkutei Amarim 40:7"
4/7/2023,טז ניסן,16 Nissan,"Tanya, Part I; Likkutei Amarim 40:14"
4/8/2023,יז ניסן,17 Nissan,"Tanya, Part I; Likkutei Amarim 41:1"
4/9/2023,יח ניסן,18 Nissan,"Tanya, Part I; Likkutei Amarim 41:5"
4/10/2023,יט ניסן,19 Nissan,"Tanya, Part I; Likkutei Amarim 41:11"
4/11/2023,כ ניסן,20 Nissan,"Tanya, Part I; Likkutei Amarim 41:16"
4/12/2023,כא ניסן,21 Nissan,"Tanya, Part I; Likkutei Amarim 41:20"
4/13/2023,כב ניסן,22 Nissan,"Tanya, Part I; Likkutei Amarim 41:22"
4/14/2023,כג ניסן,23 Nissan,"Tanya, Part I; Likkutei Amarim 41:25"
4/15/2023,כד ניסן,24 Nissan,"Tanya, Part I; Likkutei Amarim 42:1"
4/16/2023,כה ניסן,25 Nissan,"Tanya, Part I; Likkutei Amarim 42:5"
4/17/2023,כו ניסן,26 Nissan,"Tanya, Part I; Likkutei Amarim 42:10"
4/18/2023,כז ניסן,27 Nissan,"Tanya, Part I; Likkutei Amarim 42:14"
4/19/2023,כח ניסן,28 Nissan,"Tanya, Part I; Likkutei Amarim 42:16"
4/20/2023,כט ניסן,29 Nissan,"Tanya, Part I; Likkutei Amarim 43:1"
4/21/2023,ל ניסן,30 Nissan,"Tanya, Part I; Likkutei Amarim 43:6"
4/22/2023,א אייר,1 Iyar,"Tanya, Part I; Likkutei Amarim 43:9"
4/23/2023,ב אייר,2 Iyar,"Tanya, Part I; Likkutei Amarim 44:1"
4/24/2023,ג אייר,3 Iyar,"Tanya, Part I; Likkutei Amarim 44:6"
4/25/2023,ד אייר,4 Iyar,"Tanya, Part I; Likkutei Amarim 44:9"
4/26/2023,ה אייר,5 Iyar,"Tanya, Part I; Likkutei Amarim 44:13"
4/27/2023,ו אייר,6 Iyar,"Tanya, Part I; Likkutei Amarim 44:17"
4/28/2023,ז אייר,7 Iyar,"Tanya, Part I; Likkutei Amarim 45:1"
4/29/2023,ח אייר,8 Iyar,"Tanya, Part I; Likkutei Amarim 45:3"
4/30/2023,ט אייר,9 Iyar,"Tanya, Part I; Likkutei Amarim 46:1"
5/1/2023,י אייר,10 Iyar,"Tanya, Part I; Likkutei Amarim 46:4"
5/2/2023,יא אייר,11 Iyar,"Tanya, Part I; Likkutei Amarim 46:8"
5/3/2023,יב אייר,12 Iyar,"Tanya, Part I; Likkutei Amarim 46:11"
5/4/2023,יג אייר,13 Iyar,"Tanya, Part I; Likkutei Amarim 47:1"
5/5/2023,יד אייר,14 Iyar,"Tanya, Part I; Likkutei Amarim 48:1"
5/6/2023,טו אייר,15 Iyar,"Tanya, Part I; Likkutei Amarim 48:3"
5/7/2023,טז אייר,16 Iyar,"Tanya, Part I; Likkutei Amarim 48:7"
5/8/2023,יז אייר,17 Iyar,"Tanya, Part I; Likkutei Amarim 48:10"
5/9/2023,יח אייר,18 Iyar,"Tanya, Part I; Likkutei Amarim 49:1"
5/10/2023,יט אייר,19 Iyar,"Tanya, Part I; Likkutei Amarim 49:6"
5/11/2023,כ אייר,20 Iyar,"Tanya, Part I; Likkutei Amarim 49:12"
5/12/2023,כא אייר,21 Iyar,"Tanya, Part I; Likkutei Amarim 50:1"
5/13/2023,כב אייר,22 Iyar,"Tanya, Part I; Likkutei Amarim 50:6"
5/14/2023,כג אייר,23 Iyar,"Tanya, Part I; Likkutei Amarim 51:1"
5/15/2023,כד אייר,24 Iyar,"Tanya, Part I; Likkutei Amarim 51:4"
5/16/2023,כה אייר,25 Iyar,"Tanya, Part I; Likkutei Amarim 51:5"
5/17/2023,כו אייר,26 Iyar,"Tanya, Part I; Likkutei Amarim 52:1"
5/18/2023,כז אייר,27 Iyar,"Tanya, Part I; Likkutei Amarim 52:5"
5/19/2023,כח אייר,28 Iyar,"Tanya, Part I; Likkutei Amarim 52:7"
5/20/2023,כט אייר,29 Iyar,"Tanya, Part I; Likkutei Amarim 52:9"
5/21/2023,א סיון,1 Sivan,"Tanya, Part I; Likkutei Amarim 53:1"
5/22/2023,ב סיון,2 Sivan,"Tanya, Part I; Likkutei Amarim 53:3"
5/23/2023,ג סיון,3 Sivan,"Tanya, Part I; Likkutei Amarim 53:6"
5/24/2023,ד סיון,4 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah, Chinukh Katan 1"
5/25/2023,ה סיון,5 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah, Chinukh Katan 10"
5/26/2023,ו סיון,6 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah, Chinukh Katan 12"
5/27/2023,ז סיון,7 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah 1:1"
5/28/2023,ח סיון,8 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah 1:6"
5/29/2023,ט סיון,9 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah 2:1"
5/30/2023,י סיון,10 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah 3:1"
5/31/2023,יא סיון,11 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah 3:3"
6/1/2023,יב סיון,12 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah 4:1"
6/2/2023,יג סיון,13 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah 4:4"
6/3/2023,יד סיון,14 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah 4:8"
6/4/2023,טו סיון,15 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah 5:1"
6/5/2023,טז סיון,16 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah 6:1"
6/6/2023,יז סיון,17 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah 6:3"
6/7/2023,יח סיון,18 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah 6:6"
6/8/2023,יט סיון,19 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah 7:1"
6/9/2023,כ סיון,20 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah 7:4"
6/10/2023,כא סיון,21 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah 7:8"
6/11/2023,כב סיון,22 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah 7:10"
6/12/2023,כג סיון,23 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah 7:15"
6/13/2023,כד סיון,24 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah 7:19"
6/14/2023,כה סיון,25 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah 7:22"
6/15/2023,כו סיון,26 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah 8:1"
6/16/2023,כז סיון,27 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah 8:3"
6/17/2023,כח סיון,28 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah 9:1"
6/18/2023,כט סיון,29 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah 9:3"
6/19/2023,ל סיון,30 Sivan,"Tanya, Part II; Shaar HaYichud VehaEmunah 9:6"
6/20/2023,א תמוז,1 Tammuz,"Tanya, Part II; Shaar HaYichud VehaEmunah 10:1"
6/21/2023,ב תמוז,2 Tammuz,"Tanya, Part II; Shaar HaYichud VehaEmunah 10:4"
6/22/2023,ג תמוז,3 Tammuz,"Tanya, Part II; Shaar HaYichud VehaEmunah 11:1"
6/23/2023,ד תמוז,4 Tammuz,"Tanya, Part II; Shaar HaYichud VehaEmunah 11:6"
6/24/2023,ה תמוז,5 Tammuz,"Tanya, Part II; Shaar HaYichud VehaEmunah 12:1"
6/25/2023,ו תמוז,6 Tammuz,"Tanya, Part II; Shaar HaYichud VehaEmunah 12:5"
6/26/2023,ז תמוז,7 Tammuz,"Tanya, Part III; Iggeret HaTeshuvah 1:1"
6/27/2023,ח תמוז,8 Tammuz,"Tanya, Part III; Iggeret HaTeshuvah 1:7"
6/28/2023,ט תמוז,9 Tammuz,"Tanya, Part III; Iggeret HaTeshuvah 2:1"
6/29/2023,י תמוז,10 Tammuz,"Tanya, Part III; Iggeret HaTeshuvah 3:1"
6/30/2023,יא תמוז,11 Tammuz,"Tanya, Part III; Iggeret HaTeshuvah 3:4"
7/1/2023,יב תמוז,12 Tammuz,"Tanya, Part III; Iggeret HaTeshuvah 3:8"
7/2/2023,יג תמוז,13 Tammuz,"Tanya, Part III; Iggeret HaTeshuvah 4:1"
7/3/2023,יד תמוז,14 Tammuz,"Tanya, Part III; Iggeret HaTeshuvah 4:4"
7/4/2023,טו תמוז,15 Tammuz,"Tanya, Part III; Iggeret HaTeshuvah 4:9"
7/5/2023,טז תמוז,16 Tammuz,"Tanya, Part III; Iggeret HaTeshuvah 4:16"
7/6/2023,יז תמוז,17 Tammuz,"Tanya, Part III; Iggeret HaTeshuvah 5:1"
7/7/2023,יח תמוז,18 Tammuz,"Tanya, Part III; Iggeret HaTeshuvah 6:1"
7/8/2023,יט תמוז,19 Tammuz,"Tanya, Part III; Iggeret HaTeshuvah 6:7"
7/9/2023,כ תמוז,20 Tammuz,"Tanya, Part III; Iggeret HaTeshuvah 7:1"
7/10/2023,כא תמוז,21 Tammuz,"Tanya, Part III; Iggeret HaTeshuvah 7:8"
7/11/2023,כב תמוז,22 Tammuz,"Tanya, Part III; Iggeret HaTeshuvah 7:11"
7/12/2023,כג תמוז,23 Tammuz,"Tanya, Part III; Iggeret HaTeshuvah 8:1"
7/13/2023,כד תמוז,24 Tammuz,"Tanya, Part III; Iggeret HaTeshuvah 8:4"
7/14/2023,כה תמוז,25 Tammuz,"Tanya, Part III; Iggeret HaTeshuvah 9:1"
7/15/2023,כו תמוז,26 Tammuz,"Tanya, Part III; Iggeret HaTeshuvah 10:1"
7/16/2023,כז תמוז,27 Tammuz,"Tanya, Part III; Iggeret HaTeshuvah 10:5"
7/17/2023,כח תמוז,28 Tammuz,"Tanya, Part III; Iggeret HaTeshuvah 11:1"
7/18/2023,כט תמוז,29 Tammuz,"Tanya, Part III; Iggeret HaTeshuvah 11:6"
7/19/2023,א אב,1 Av,"Tanya, Part III; Iggeret HaTeshuvah 11:12"
7/20/2023,ב אב,2 Av,"Tanya, Part III; Iggeret HaTeshuvah 12:1"
7/21/2023,ג אב,3 Av,"Tanya, Part IV; Iggeret HaKodesh 1:1"
7/22/2023,ד אב,4 Av,"Tanya, Part IV; Iggeret HaKodesh 1:6"
7/23/2023,ה אב,5 Av,"Tanya, Part IV; Iggeret HaKodesh 1:9"
7/24/2023,ו אב,6 Av,"Tanya, Part IV; Iggeret HaKodesh 2:1"
7/25/2023,ז אב,7 Av,"Tanya, Part IV; Iggeret HaKodesh 3:1"
7/26/2023,ח אב,8 Av,"Tanya, Part IV; Iggeret HaKodesh 3:9"
7/27/2023,ט אב,9 Av,"Tanya, Part IV; Iggeret HaKodesh 4:1"
7/28/2023,י אב,10 Av,"Tanya, Part IV; Iggeret HaKodesh 4:5"
7/29/2023,יא אב,11 Av,"Tanya, Part IV; Iggeret HaKodesh 4:10"
7/30/2023,יב אב,12 Av,"Tanya, Part IV; Iggeret HaKodesh 4:13"
7/31/2023,יג אב,13 Av,"Tanya, Part IV; Iggeret HaKodesh 5:1"
8/1/2023,יד אב,14 Av,"Tanya, Part IV; Iggeret HaKodesh 5:6"
8/2/2023,טו אב,15 Av,"Tanya, Part IV; Iggeret HaKodesh 5:7"
8/3/2023,טז אב,16 Av,"Tanya, Part IV; Iggeret HaKodesh 5:10"
8/4/2023,יז אב,17 Av,"Tanya, Part IV; Iggeret HaKodesh 5:15"
8/5/2023,יח אב,18 Av,"Tanya, Part IV; Iggeret HaKodesh 5:20"
8/6/2023,יט אב,19 Av,"Tanya, Part IV; Iggeret HaKodesh 6:1"
8/7/2023,כ אב,20 Av,"Tanya, Part IV; Iggeret HaKodesh 6:9"
8/8/2023,כא אב,21 Av,"Tanya, Part IV; Iggeret HaKodesh 7:1"
8/9/2023,כב אב,22 Av,"Tanya, Part IV; Iggeret HaKodesh 7:6"
8/10/2023,כג אב,23 Av,"Tanya, Part IV; Iggeret HaKodesh 7:9"
8/11/2023,כד אב,24 Av,"Tanya, Part IV; Iggeret HaKodesh 7:12"
8/12/2023,כה אב,25 Av,"Tanya, Part IV; Iggeret HaKodesh 8:1"
8/13/2023,כו אב,26 Av,"Tanya, Part IV; Iggeret HaKodesh 8:4"
8/14/2023,כז אב,27 Av,"Tanya, Part IV; Iggeret HaKodesh 8:6"
8/15/2023,כח אב,28 Av,"Tanya, Part IV; Iggeret HaKodesh 8:8"
8/16/2023,כט אב,29 Av,"Tanya, Part IV; Iggeret HaKodesh 9:1"
8/17/2023,ל אב,30 Av,"Tanya, Part IV; Iggeret HaKodesh 9:3"
8/18/2023,א אלול,1 Elul,"Tanya, Part IV; Iggeret HaKodesh 10:1"
