Index Title,Penei Yehoshua on Makkot
Penei Yehoshua on Makkot 4a:4,"בד""ה תניא נמי הכי חבית מליאה יין. וגם רש""י לא גריס הכא מים כו' דאל""כ מאי קאמר וכן ככר של תרומה כו' והכי תנן בביצה כו' עד סוף הדיבור. וכתב מהרש""א ז""ל דאפשר שאין זו ראיה לפירש""י רק מדברי התוס' דהא רש""י לית ליה הך ראיה מדגריס לעיל מים זה תוכן דברי מהרש""א ע""ש. ולענ""ד במכ""ת דאגב חורפיה ושיטפיה כתב כן דהא דלא משמע ליה לרש""י הך ראיה דמסכת ביצה היינו משום דלא ניחא ליה לדמות השקה דשאובין לעשותן כמי מקוה להך השקה דמים טמאים אלא דהתוספות מסברא דנפשייהו משמע להו בפשיטות דיש לדמותן משא""כ בהך ככר של תרומה דהכא דקתני טמא והיינו שנטמא באדם טמא שטבל שם וא""כ פשיטא דלא שייך לומר דגרסינן חבית של מים דא""כ כיון שהמים עצמן של שאובין אף אם נאמר שנטמאו על ידי האדם אפילו הכי הרי נטהרו מטומאתן על ידי השקה וכל שכן שאין הדין שהמים יטמאו הככר של תרומה ואם כן היינו ממש הך דינא דתנן בביצה דמטבילין כן נראה לי ברור בכוונת התוספות שרוצין לפרש אף לשיטת רש""י דלא גרסינן הכא מים אלא יין וכמו שהביא רש""י בהדיא דהכי גרסינן בתוספתא. אמנם אחר העיון מצאתי ראיתי בלשון התוספתא בפ""ה דמקוואות וה""ג התם חבית שנשברה בים הגדול ומראה אותו המקום כמראה אותו היין הטובל באותו מקום כאילו לא טבל ולא עוד אלא אפילו נפל שם ככר של תרומה טמא עכ""ל התוספתא וא""כ נראה ברור שלא לזה נתכוון הך תוספתא ואפשר שהיא הך ברייתא גופא דמייתי הש""ס הכא אלא שדרך הש""ס לקצר משניות וברייתות דמסכת טהרות כדאשכחן בכמה דוכתי ולפי""ז יפה כתב רש""י בד""ה תנ""ה דעיקר סייעתא דמייתי הש""ס מהך ברייתא למימרא דרב היינו לענין הך מלתא לחוד דחיישינן בים הגדול במשקין הנופלים בו שהם עומדין במקומן וכוונתו בזה דלשאר מילי ודאי לא דמי כלל להדדי דמימרא דרב היינו במים שאובין שהוא מי""ח דבר לענין פסול תרומה ושיעורן בג' לוגין משא""כ בברייתא דאיירי ביין דלא שייך ביה טבילה כלל מדאורייתא אף לחולין מש""ה גזרו רבנן שאם נפלו לתוך מי מקוה או לים הגדול נפסלין המים בשינוי מראה ובזה נתיישב ג""כ מה שדקדקתי בסמוך דהאי לא עלתה לו טבילה דברייתא לא הוי כהך מימרא דרב דהא בהך תוספתא קתני להדיא כאילו לא טבל והיינו כדפרשינן בפירוש השני לשיטת רש""י דהאי דרב היינו דוקא לתרומה והך דברייתא היינו אף לחולין כן נראה לי ברור בעזה""י. נקטינן מיהא שיש בזה סתירה גמורה לגירסת ופירוש התוס' בדיבור הקודם דבמימרא דרב נמי גרסינן יין ועל זה כתבו לפרש דאיירי ביין לבן שאינו משנה מראית המים ואילו בהך תוספתא דמקוואות משמע להדיא להיפוך דבנפילת יין למי המקוה לא מיפסל אלא בשינוי מראה וכמדומה לי שנעלמה הך תוספתא מרבותינו בעלי התוס' וצ""ע ואכתי איכא למידק מלשון הרמב""ם ז""ל (בפ""ז מהל' מקוואות ה""ח) שכתב האי דינא דככר של תרומה אחבית מליאה מים שנפלה לים הגדול וא""כ הדרא הקושיא לדוכתא למה נטמא הככר שהרי המים עצמן אינו טמא שנטהרו בהשקה לים הגדול אם לא שנאמר שהרמב""ם סובר דלענין תרומה לא מהני השקה כדמשמע לכאורה בפ' כל שעה (דף ל""ג) דמדמה הש""ס התם השקה וזריעה דתרומה כמו בהקדש ע""ש אע""ג דיש לחלק קצת. או שנאמר שהרמב""ם סובר דהשקה לא מהני אלא דוקא היכא שנתכוין להשיקן ובלא""ה משמע בחולין דלתרומה דבעינן כוונה בטבילה היינו אפילו בכלים בעינן נמי דמכוין להו אדם וא""כ נראה דה""ה וכ""ש לענין השקה דלא מהני בתרומה כל היכא שלא נתכוין לכך כן נראה לי ועדיין צ""ע ותו לא מידי ודוק היטב:"
Penei Yehoshua on Makkot 4a:5,"במשנה מעידין אנו באיש פלוני שחייב לחבירו מאתים זוז כו' לוקין ומשלמין כו'. לכאורה הוי מצי למיתני הך פלוגתא דר""מ וחכמים דהכא אהנך בבי דמתניתין דרישא בהאי דמעידין שגירש את אשתו ובהאי דמעידין שחייב לחבירו אלף זוז דלר""מ לוקין ומשלמין ולחכמים אינן לוקין דמאי שנא. אלא כיון דבהנך מתניתין דלעיל איצטריך לאשמעינן ענין התשלומין גופא כיצד אומדין הטובת הנאה משום הכי קתני לה פלוגתא דר""מ וחכמים בבבא בפני עצמה וממילא ידעינן דשייך פלוגתייהו בכל עדות שהוזמו ע""י ממון:"
Penei Yehoshua on Makkot 4a:6,"בתוספות בד""ה לוקין ומשלמין שלא השם כו'. משמע דאי ליכא אלא חד קרא אינו לוקה ומשלם וקשה הא אמרינן בהשוכר את הפועלים החוסם פי פרה לדוש בה לוקה ומשלם אע""ג דליכא כו' עכ""ל. כוונתן מבואר דקשיא להו אהא דמוקי אביי התם הך ברייתא כר""מ דלרבא ודאי לא קשיא מידי דהוא מוקי לה התם אפילו כרבנן והאי משלם היינו לצאת ידי שמים ע""ש. אלא דלפי""ז קשיא לי דטפי הוי להו לאקשויי בפשיטות מסוגיא דשמעתין גופא דמפרש עולא טעמא דר""מ דגמר ממוציא שם רע וא""כ מאי האי דקאמר ר""מ שלא השם המביאו לידי מכות והאי טעמא למה לי דאדרבה מהאי טעמא משמע דהיכא שהוא משם אחד אין לוקה ומשלם ובמוציא שם רע נראה דליכא אלא שם אחד של הוצאת שם רע ואפ""ה לוקה ומשלם אלא ע""כ דהתם במוציא שם רע נמי מיקרי תרי שמות לאו דלא תלך רכיל וממון דכתיב בהדיא וענשו אותו מאה כסף והשתא אתי שפיר הא דקאמר ר""מ שלא השם המביאו כו' מהאי טעמא גופא דהוי דומיא דמוציא שם רע וא""כ על כרחך כדי רשעתו לא אתי למעוטי מלקות וממון בעדים זוממין אלא מיתה ומלקות כמ""ש התוספות לקמן בשמעתין בד""ה בשלמא ובד""ה סבר לה כר""ע וא""כ לפי""ז שפיר קאמר אביי נמי התם בהשוכר את הפועלים דהך ברייתא דהחוסם דלוקה ומשלם היינו כר""מ דכיון דבעדים זוממין לוקה ומשלם אע""ג דכדי רשעתו בעדים זוממין כתיב וע""כ היינו משום דכדי רשעתו במיתה ומלקות מיירי א""כ ממילא דבכל מקום סובר ר""מ דלוקה ומשלם כיון דליכא קרא למעט מלקות וממון. ועוד נראה לי דבלא""ה אין מקום לקושיית התוס' כיון דעיקר קושייתם אינו אלא אליבא דאביי וא""כ אביי גופא אזיל לטעמיה דאמר בפ' אלו נערות דחייבי מלקות וחייבי מיתות איתקשו להדדי בגזירה שוה דרשע רשע וכתבו התוספות שם דלפי""ז ע""כ לית ליה לאביי הך דרשא דכדי רשעתו למלקות וממון אלא למיתה ומלקות כר""מ וטעמייהו דרבנן דאמרי אין לוקין ומשלמין היינו מגזירה שוה דרשע רשע ואם כן שפיר מוקי אביי הך ברייתא דהפועלים כר""מ ועיין מה שכתבתי בזה בחידושינו בפרק אלו נערות באריכות ובסמוך בסוגיא דשמעתין אבאר עוד בענין אחר:"
Penei Yehoshua on Makkot 4a:7,"בא""ד לכך פירש הר""ם מבורגונ""י כו' עד סוף הדיבור. בכתובות בפ' אלו נערות (דף ל""ב ע""ב) בד""ה שלא השם כתבו התוס' זה התירוץ בשם הר""ר שלמה מטרוי""ש דהא דקאמר שלא השם היינו דממונו לא בעי אזהרה והוסיפו עוד ביאור בזה ומה שהקשו שם על פירש""י כבר כתבתי שם ליישב אלא שהנחתי פירש""י בקושיא מסוגיא דשמעתין. ולמאי דפרישית בסמוך נתיישב לנכון פירוש הקונטרס שם:"
Penei Yehoshua on Makkot 4b:1,"בגמרא בשלמא לרבנן כדי רשעתו כתיב אלא ר""מ מ""ט. וכתבו התוס' דאע""ג דר""מ דריש כדי רשעתו למיתה ומלקות אפ""ה הא גופא קשיא ליה לגמרא דטפי הו""ל למידרש לענין מלקות וממון. ונראה לי להוסיף ביאור בדבריהם דכיון דהאי כדי רשעתו משמע דאעדים זוממין נמי קאי כדאמר עולא לעיל דמלקות בעדים זוממין ילפינן מדכתיב והצדיקו את הצדיק והרשיעו את הרשע וכתיב והיה אם בן הכות הרשע א""כ שפיר אית לן למימר דלמעוטי מלקות וממון אתי ולאפוקי מהך סברא דר""מ דלא נימא דלוקה משום לאו דלא תענה דניתן למלקות וממון מכאשר זמם דלממון לא בעי אזהרה ועוד דלא נימא דלוקה ומשלם כדאשכחן במוציא שם רע משא""כ לענין מיתה וממון לא איצטריך האי מיעוטא גבי עדים זוממין דהא מיתה גופא בעי אזהרה דלא תענה ואדרבה הוי האי לאו דלא תענה לאו שניתן לאזהרת מיתת ב""ד ואין לוקין עליו ולא שייך נמי למילף ממוציא שם רע. אלא דאכתי קשיא לי לאידך גיסא מאי מקשה בגמרא מ""ט דר""מ הא בפשיטות מצינן למימר דטעמא דר""מ דבעדים זוממין לוקין ומשלמין דלוקה מטעמא דר' יוחנן בפרק אלו נערות דכל היכא דאיכא ממון ומלקות מילקי לקי ממונא לא משלם והיינו משום דסמיך ליה ארבעים יכנו א""כ כ""ש בעדים זוממין דאיירי ביה קרא להדיא וחייב נמי בתשלומין דהא בפירוש ריבתה התורה עדים זוממין לתשלומין דכתיב יד ביד רגל ברגל בשלמא לפי מה שכתבתי במשנתינו בפירושא דשלא השם א""כ על כרחך דר""מ לית ליה טעמא דר' יוחנן דאי אית ליה לא הוי צריך למימר האי לישנא דשלא השם כיון דבהדיא כתיב מלקות ותשלומין משא""כ לפירוש התוספות שפיר איצטריך למימר נמי הך טעמא דשלא השם א""כ הדרא קושיא לדוכתא מאי מקשה מ""ט דר""מ. מיהו איכא למימר דאה""נ דהא דמקשה מ""ט דר""מ לאו סתמא דתלמודא הכי מקשה אלא עולא גופא מקשה ומתרץ לה הכי כדאשכחן בכמה דוכתי וא""כ אתי שפיר דעולא לטעמיה דלית ליה כלל האי דרשא דר' יוחנן בפרק אלו נערות דסמיך ליה ארבעים יכנו כדמשמע התם להדיא כן נראה לי נכון ודוק היטב ועיין עוד בסמוך:"
Penei Yehoshua on Makkot 4b:2,"שם סבר ליה כר""ע דאמר עדים זוממין קנסא. משמע מהכא דחכמים דפליגי עליה דר""מ סברי דעדים זוממין ממונא הוא דאל""כ הוי ילפי ממוציא שם רע דלוקה ומשלם וכבר הקשיתי בזה לשאול לעיל (דף ג' ע""א) דמשמע מהתם דקי""ל כר""ע דעדים זוממין קנסא הוא וכ""כ כל הפוסקים וא""כ קשיא הילכתא אהלכתא דבכולהו תלמודא פשיטא לן דאין לוקה ומשלם כחכמים דמתניתין דהכא ודלא כר""מ ממילא נמי דאין הלכה כר""ע מיהו למאי דפרישית בסמוך אתי שפיר דמצינן למימר דחכמים דמתניתין נמי כר""ע ס""ל דעדים זוממין קנסא הוא ואפ""ה לא משמע להו למילף עדים זוממין ממוציא שם רע כיון דכדי רשעתו בעדים זוממין גופא כתיב דהא מהאי קרא דוהיה אם בן הכות הרשע ילפינן מלקות לעדים זוממין א""כ לפי""ז ע""כ דהנך שתי רשעיות היינו מלקות וממון כדפרישית וכיון דאפילו בעדים זוממין דקנסא הוא אמר רחמנא דאין לוקה ומשלם כ""ש בשאר ממון ודוקא אליבא דר""מ מפרש עולא הכי דקרא דכדי רשעתו דחיק ומוקי אנפשיה למיתה ומלקות ובזה נתיישבו כל הקושיות שהקשו התוס' כאן ובשמעתין ובכמה דוכתי ועיין עוד בסמוך:"
Penei Yehoshua on Makkot 4b:3,"שם איכא דמתני לה להא דעולא אהא דתניא לא תותירו כו'. ולכאורה לשון איכא דמתני אינו מדוקדק דהא שפיר מצינן למימר דעולא בתרווייהו קאמר הכי דאיתא להא דלעיל דיליף ר""מ עדים זוממים ממוציא שם רע דלוקה ומשלם ואיתא נמי להא דר' יהודה דאמר לאו שאין בו מעשה לוקין עליו היינו נמי משום דיליף ממוציא שם רע. ולמאי דפרישית אתי שפיר דהנך דמתני להא דעולא אהא לא ניחא להו למימר דעולא מפרש טעמא דר""מ במתניתין דגמר ממוציא שם רע דא""כ לא אתי שפיר הא דקאמר ר""מ שלא השם אלא ע""כ דטעמא דר""מ היינו משום דס""ל בעדים זוממין גופייהו כתיב בהדיא מלקות וממון. וכ""ש דאתי שפיר טפי למאי דמסקינן בסמוך דרבנן מוקי לאו דלא תענה לאזהרת עדים זוממין והיינו בבן גרושה ור""מ אזהרת עדים זוממין יליף מלא יוסיפו א""כ לפי""ז שפיר מצינן למימר דרבנן ור""מ בהא גופא קמיפלגי דלר""מ אייתר ליה אזהרה דלא תענה למימר דלוקה אפילו במקום תשלומין ותו לא צריכנא למימרא דעולא דלעיל ובזה נתיישבו כל הקושיות שהקשו התוס' בשמעתין ובכמה דוכתי בסוגיא דלוקה ומשלם וכבר הארכתי למעניתי בתכלית אריכות בסוגיא דפרק אלו נערות וגם בפ' מרובה (דף ע""א ע""א) ע""ש:"
Penei Yehoshua on Makkot 4b:4,"שם אלא מה להצד השוה שבהן שכן יש בהן צד חמור. וכתבו בתוספות תימה דהא אין זה פירכא שוה. וכוונתם דא""כ כל היכא דילפינן במה הצד והדר דינא שייך למיפרך הכי וכבר האריכו התוספות בזה בפרק אלו נערות (דף ל""ב ע""ב) ע""ש ומיישבים שם ג""כ בדוחק כמו כאן ע""ש בחידושינו וכאן אבוא בקצרה דבהאי דשמעתין פשיטא דלא קשיא מידי דהא עיקר מילתא דקי""ל לאו שאין בו מעשה אין לוקין ילפינן לקמן בר""פ אלו הן הלוקין היינו מדכתיב לעשות ובעינן נמי דליהוי דומיא דחסימה דמהכא ממעטינן נמי לאו הניתק לעשה וא""כ לפי""ז אם נאמר דלאו שאין בו מעשה לוקין בכל מקום א""כ בטלת הך דרשא דלעשות והאי היקישא דלאו דחסימה ולפי""ז לא דמיא כלל לשאר מה הצד שבתלמוד דלא ילפינן אלא כשיש איזה הצד השוה בטעם השוה לשניהם וממילא מוקמינן פשוטי המקראות לאותן דברים שאין בהם זו המעלה שמצינו באותן שניהם וכמו שכתבתי באריכות בפ' אלו נערות ולפי""ז ע""כ צריך לומר דאה""נ דר' יהודה לית ליה הך דרבא דלעשות. אלא דאכתי קשה טובא ממה נפשך אי ס""ל היקישא דלאו דחסימה א""כ לאו שאין בו מעשה נמי לא לילקי אלא היכא דאיכא הצד חמור מה דלא אשכחן בחסימה ואי לית ליה האי היקישא דלאו דחסימה א""כ מאי קאמר ואין לוקין אלאו דלא תותירו כיון שניתק לעשה היא גופא מנ""ל דלאו הניתק לעשה אין לוקין דלקמן לא ילפינן אלא מלאו דחסימה ויש ליישב בדוחק:"
Penei Yehoshua on Makkot 4b:5,"שם ורבנן האי לא תענה מאי דריש ביה. לכאורה הסוגיא תמוה דא""כ בכל לאוין דאין לוקין עליהם אמאי לא מקשינן הכי אלא ע""כ דלאיסורא בעלמא אתי כדאשכחן בדוכתי טובא וא""כ דלמא הכא נמי דכוותיה מיהו אפשר דשאני הכא כיון דכמה עשין וכמה לאוין נאמרו בדבר זה כגון מדבר שקר תרחק אל תשת ידך עם רשע והרבה כיוצא באלו מש""ה לא ניחא להו למימר דכולהו אתי לאיסורא בעלמא ואע""ג דכה""ג נמי אשכחן טובא בש""ס מ""מ הא אמרינן בעלמא דכל היכא דאיכא למידרש דרשינן ולא מוקמינן בלאוי יתירא א""כ מכ""ש הכא דאית לן למימר כיון דגלי רחמנא וכתב בעדים זוממין והיה אם בן הכות הרשע א""כ טפי אית לן למימר דהאי לא תענה נמי אתי למלקות כדקאמר ר""ע כן נראה לי:"
Penei Yehoshua on Makkot 4b:6,"בתוספות בד""ה ורבנן האי לא תענה כו'. אבל מ""מ קשה לעיל דפריך ותיפוק ליה וכו' לישני אי לאו דגלי קרא הו""א דלא לקי משום דלא תענה דהוי לאו שניתן לאזהרת מיתת ב""ד כדפרישית כו' עד סוף הדיבור. ותירוצם נראה דוחק ולענ""ד נראה ליישב הך קושיא בפשיטות דהא דקי""ל בעלמא לאו שניתן לאזהרת מב""ד אין לוקין ולאו שניתן לכרת לוקין הא מסקינן לקמן בר""פ אלו הן הלוקין היינו משום דמיתת ב""ד בעי התראה וכרת לא בעי התראה א""כ הכא בעדים זוממין דלא בעינן התראה ולא שייך נמי גבי התראה כדאיתא בפ' אלו נערות וכמ""ש התוספות שם וכמו שאבאר עוד בסמוך א""כ לא שייך הך מילתא דלאו שניתן לאזהרת מיתת ב""ד בכה""ג ואפ""ה פריך הש""ס שפיר ור""מ אזהרה לעדים זוממין מנ""ל דאע""ג דלא בעו התראה מ""מ אזהרה כל דהו מיהא בעינן כדי שידעו העדים עצמן שיש בהו איסור לאו כן נראה לי נכון ודו""ק:"
Penei Yehoshua on Makkot 5a:1,"במשנה אין העדים נעשין זוממין עד שיזימו את עצמן כיצד כו' שהרי נהרג זה או הורג זה היה עמנו כו' אין אלו זוממין אבל אמרו כו'. ומסקינן בגמרא דיליף לה מקראי אלא דהרמב""ם ז""ל בחיבורו (בפי""ח מהל' עדות ה""ג) הוסיף בה טעם לשבח כיון שכת שנייה המזימין אין יודעין בגוף העדות כלום אם הרג ולא באו להעיד אלא אעדים עצמן ואע""ג דלכאורה אדרבה בענין זה לא מיקרי סרה גופה של עדות כיון שאין יודעין אם הרג או לא הרג אעפ""כ כוונת הרמב""ם ז""ל מבואר מתוך מה שמצאנו בלשון הרמב""ן ז""ל בפירושו על התורה על פסוק ודרשו השופטים היטב והנה עד שקר העד ולא פירש הכתוב איך יודעין שהוא עדות שקר כיון דתרי ותרי נינהו ותרי כמאה ולא נוכל לומר שבא הרוג ברגליו דלא שייך בזה ודרשו השופטים היטב אלא ע""כ דפירוש הכתוב היינו שהמזימין אומרים עמנו הייתם וא""כ הראשונים אינם נאמנים על עצמן שלא עשינו כך שהרי יכולין הללו לומר עליהן שהרגו נפש או חיללו שבת ע""כ תוכן כוונת לשון הרמב""ן ז""ל וא""כ מסתמא כוונת הרמב""ם ז""ל בחיבורו ג""כ נוטה לדבר זה שכך המה מפרשים לשון הגמרא דבכה""ג מיקרי טפי סרה גופה של עדות אע""ג דמסברא לכאורה הוי משמע איפכא שעיקר העדות תלוי אם הרג אם לא הרג אפ""ה אי אפשר לומר בבירור שהראשונים שקרו בעדותן יותר מן האחרונים אם לא בענין זה שאומרים עמנו הייתם. ונראה לי להוסיף בדברים שמתוך כך ניכר שאלו העדים האחרונים המזימין אומרים אמת וליכא למיחש בהו דמשקרי לאהבת רוצח או משום ממון או מחמת שנאת העדים דאכתי מה להם לצרה זו להעיז פניהם נגד שנים הראשונים בענין שאחד יודע מחבירו ויותר היה להם להעיד על כל אחד ואחד מהם שעשה עבירה שחייב מיתת ב""ד דבזה הענין אין אחד מהראשונים יודע מחבירו כלום כן נראה לי ברור מדקדוק לשון הרמב""ם ז""ל. אלא דאכתי מה שכתב הרמב""ם ז""ל שם בחיבורו שאפילו אם אומרין המזימים ביום זה במקום זה היינו עמכם ועם אלו כל היום ולהד""ם לא זה הרג את זה כו' הרי זה הכחשה ולא הזמה וכבר נתקשה הלחם משנה שם וכתב שלא ידע מהיכן הוציא הרמב""ם דין זה דמלשון הגמרא דעיקר הטעם דבעינן שתשקר ותסרה גופה של עדות א""כ בכה""ג שאומרים היינו עמכם ועם אלו טפי הוי סרה גופה של עדות ע""ש באריכות ומ""ש בשם מהר""י בן לב. ותחילה אבאר דלדידי איפכא מסתברא שהרי כשאומרים היינו עמכם ועם אלו ביום פלוני ובמקום פלוני א""כ אין כאן הכחשה בעיקר העדות של הריגה אם הרג אם לא הרג כיון שמקצת העדות מיהא קיימת אף לדברי המזימין שהעדים הראשונים נמצאים ביחד ביום פלוני ובמקום פלוני עם ההורג והנהרג ואין כאן הכחשה אלא במקום לבד ואפשר דתרווייהו קושטא קמסהדי וחד מהנך כיתות טעו במקום וליכא למימר נמי דכיון שאומרים היינו עמכם ועם אלו הוי כאילו אומרים בבירור שלא הרג הא ודאי ליתא דאדרבה לא ראינו אינו ראיה ובהעלמת עין ברגע אחד יוכל להיות שהרג ועוד דאכתי מאי חזית משא""כ כשאומרים עמנו הייתם לבד באותו יום ובאותו מקום שאתם אומרים וראינו שההורג וההרוג לא היה עמכם ולא עמנו אין לך סרה גופה של עדות יותר מזה כן נראה לי נכון בכוונת הרמב""ם ז""ל ולענ""ד שפתים ישק משיב דברים נכוחים ומשה אמת ותורתו אמת ודבר גדול דיבר לקיים משפטי ה' אמת צדקו יחדיו דברי חז""ל שהרי מתוך כך נתיישב ג""כ מה נשתנה דיני עדים זוממין מכל עבירות שבתורה דקי""ל דאין נהרגין ואין לוקין בלא התראה ובעדים זוממין חידוש דתרי ותרי נינהו דלא ליבעי התראה ואע""ג דבפרק אלו נערות יהיב טעמא דלא שייך התראה בגווייהו כמו בשאר עבירות אפ""ה אטו משום הנך סברות ניקום ונקטול נפשות מספיקא אמנם למאי דפרישית אתי שפיר שהרי עיקר התראה אמרינן בעלמא אלא כדי להבחין בין שוגג למזיד שלפיכך חוקרין את העדים מכירין אתם אותו התריתם בו וע""כ שצריכין להתרות בכל מאי דאפשר למצוא צד זכות כדאמרינן לקמן סוף פירקין וא""כ נראה דבעדים זוממין לא שייך הך מלתא כלל לפי שיטת הרמב""ם והרמב""ן ז""ל דכיון שאלו המזימין אומרים שהעדים הראשונים לא היו כלל עם ההורג וההרוג א""כ מה שוגג וצד זכות שייך כאן דבודאי בזדון דיברו ואי משום מאי חזית כבר כתבתי שנתיישב מתוך לשון הרמב""ן ז""ל בחומש כן נראה לי בעזה""י ודוק היטב:"
Penei Yehoshua on Makkot 5a:2,"בגמרא ואמר רבא באו שנים ואמרו בחד בשבתא כו' דבעידנא דקמסהדי גברא לאו בר קטלא הוא. ופירש""י דאילו הוי אתי ומודה הוי מיפטר נמצא שהם היו מחייבים כו' עד סוף הדיבור. והקשו בתוס' דזה לא מצינו דא""כ כל חייבי מיתות ב""ד יוכלו להודות ולפטור עצמן לכך פירשו בענין אחר ועיין בדבריהם. ולענ""ד נראה ליישב שיטת רש""י על פי סוגיא ערוכה בפ' מרובה דפליגי אמוראי התם במודה בקנס ואח""כ באו עדים דאיכא למ""ד חייב ואיכא למ""ד פטור ואמרינן עלה בגמרא לימא כתנאי היו שנים מעידין שגנב וכו' מעידין שטבח ומכר כו' דפליגי סומכוס ורבנן ומסיק רב אחא בריה דרב איקא לא דכו""ע חייב אלא בעדות שאי אתה יכול להזימן קמיפלגי כגון דאתי סהדי ואמרי ליה גנבת ואמר להו גנבתי טבחתי ומכרתי מיהו לא בפניכם אלא בפני פלוני ופלוני ואייתי סהדי ואזמינהו דלא באפייהו גנב ואתו פלוני ופלוני ואסהידו ביה דגנב וטבח ומכר ובהא קמיפלגי דרבנן סברי דהוי עדות שאי אתה יכול להזימן ולא שמה עדות ופירש""י דאינו יכול להזימן דהא הודה תחילה ועל פיו באו להעיד כו' ע""ש וסומכוס סבר דבכה""ג לא מיקרי עדות שאי אתה יכול להזימה וכ""ש דהוי עדות נמצא דלפי הך אוקימתא מסתמא דהלכה כחכמים דלא הוי עדות נמצא לפי""ז שפיר מתפרש טעמא דרבא בהכי משום דס""ל כרבנן וא""כ שפיר קאמר רבא דמעידנא דקמסהדי גברא לאו בר קטלא הוא שהרי יכול להודות ולומר האמת שהרג מיהו לאו בפניהם אלא בפני פלוני ופלוני והיינו בפני אותן עידי הזמה גופייהו שבאו עכשיו וא""כ הוי לגמרי עדות שאי אתה יכול להזימו נמצא דלפי""ז היינו נמי טעמא דרבא במאי דקאמר וכן לענין קנס והיינו מהאי טעמא גופא משא""כ לפירוש התוספות לא מיתוקמא מלתא דרבא לענין קנס אלא למ""ד מודה בקנס ואח""כ באו עדים פטור ואף שאין מסוגיא זו קשיא כל כך על התוספות דאפשר דמשמע להו דהך אוקימתא דהתם לא הוי אלא דרך דיחוי בעלמא דלקושטא דמילתא כיון דקי""ל מודה בקנס ואח""כ באו עדים פטור ממילא מיתוקמא טעמייהו דחכמים דהתם כפשטיה ולעולם דאינהו נמי מצו סברי דבכה""ג לא מיקרי עדות שאי אתה יכול להזימה כיון דסיוע מסייע להו מ""מ אין בזה סתירה על פירש""י ומה שהקשו התוס' מסברא דא""כ כל חייבי מיתות ב""ד יכולין להודות ולפטור דבריהם אין מובנים דכיון שהוא יודע שהיה עדים בדבר מהיכא תיתי יודה ואדרבה ע""י הודאתו יצא הקול ומתוך כן יבואו עדים ויעידו ואף שאפשר דרש""י לא נתכוין לכך מ""מ זכיתי ליישב דבריו על פי סוגיא ערוכה הואיל ונפיק מפומיה דרש""י ודו""ק:"
Penei Yehoshua on Makkot 5a:3,
Penei Yehoshua on Makkot 5a:4,
Penei Yehoshua on Makkot 5a:5,
Penei Yehoshua on Makkot 5a:6,
Penei Yehoshua on Makkot 5a:7,
Penei Yehoshua on Makkot 5a:8,
Penei Yehoshua on Makkot 5a:9,
Penei Yehoshua on Makkot 5a:10,
Penei Yehoshua on Makkot 5a:11,
Penei Yehoshua on Makkot 5a:12,
Penei Yehoshua on Makkot 5b:1,"במשנה אין העדים זוממין נהרגין עד שיוגמר הדין שהרי צדוקין אומרים עד שיהרג שנאמר נפש תחת נפש. כך הנוסחא בכל הגמרות שלנו ובכל ספרי המשניות וכן בסיפא דמתניתין אלא דמהרש""א ז""ל הגיה שנאמר נפש בנפש וכ""כ בתוי""ט וודאי דהכי קושטא דמלתא דמקרא הכתוב בעדים זוממין כך הוא וכמ""ש רש""י כאן אלא דאפ""ה נראה דוחק לשבש כל הספרים ודבר שנאמר ונשנה פעמיים במשנה לכך נראה לי לקיים הנוסחאות דכיון שכל זה מדברי הצדוקים הן שרצו להביא ראיה לדבריהם מהאי קרא ולכאורה הוי הך ראיה לסתור דהא ודאי פשטא דלישנא דכאשר זמם אפילו הצדוקים מודים בו שאינו אלא לשון מחשבה וכוונה בלבד ואפ""ה ענש הכתוב כיון שהעידו שקר וזממו להרוג נפש בעדותן וא""כ לפי""ז שפיר שייך נמי לפרש לשון נפש בנפש בכה""ג גופא שאם זממו להרוג נפש ידונו בנפש וה""ה בכולהו ואדרבה מדלא כתיב נפש תחת נפש כדכתיב בחובל בפרשת משפטים ע""כ דהאי בנפש לאו תחת הוא אלא דאפ""ה משמע להו להצדוקין דהאי נפש בנפש משמעותו ע""כ היינו כמאן דכתיב נפש תחת נפש אי משום דבתר דכתיב כאשר זמם אשכחן דכתיב קרא אחרינא לא תחוס עינך נפש בנפש וכולה קרא יתירא הוא דהא בכאשר זמם לחוד סגיא דכל מיני עדיות במשמע אלא ע""כ דאיצטריך האי קרא דלא תחוס עינך עליו אפילו בעדות נפשות וטעמא הוא דקיהיב למה לא תחוס עינך לפי שגם הם הרגו נפש כדאשכחן בהאי פרשה גופא גבי רוצח דכתיב ושלחו אותו זקני עירו ונתנו אותו ביד גואל הדם ומת לא תחוס עינך עליו וה""ה לענין עין בעין וכן נמי אשכחן כיוצא בזה וקצותה את כפה לא תחוס עינך או משום שאם נפרש כאשר זמם כפשטא דלישנא יש במשמע דאפילו קודם שנגמר הדין נמי דמשעה שקבלו עדותן יהרוגו וזה לא מסתבר להו כלל ולא שייך נמי נפש תחת נפש אלא ע""כ דהאי נפש בנפש היינו תחת נפש ממש מכל זה משמע להו בהדיא דהאי נפש בנפש היינו תחת נפש ע""כ הוצרכו לפרש דבכה""ג נמי שייך לשון כאשר זמם כיון שלא עשו מעשה בפועל כן נראה לי ועיין עוד בסמוך:"
