Mei HaShiloach.1.1,(Book of Genesis)<br/>
"Mei HaShiloach, Translator’s Introduction.9","In the introduction of the second volume of the <i>Mei HaShiloach</i>, it is told that when the young Reb Mordechai Yosef first met his teacher, Reb Simcha Bunem, the teacher said to him, almost joking, “come, let us see who is taller.” He motioned that they should compare height by standing back to back. This was peculiar, because where Mordechai Yosef was quite small in physique, Reb Simcha Bunem was of a large, strapping form. The Pshisker then said to him, “Now I am taller than you. But you are still young, and in the days to come you shall grow.” It was the Rebbe of Pshiske who gave Mordechai Yosef the name “the Mei HaShiloach,” the “waters from the spring of Shiloach.” This is the underground spring that flows from under the Temple Mount in Jerusalem and through the ancient city of David, now called Silwan. This was the place where the kings of the House of David were anointed. The meaning is akin to “still waters run deep,” which is the sense Simcha Bunem received from the quiet intensity of his young student. The Pshisker said, “he is like the waters of the Shiloach which flow slowly and search out the deepest depths.”<sup>4</sup><i class=""footnote"">Introduction to Vol. 2 of the <i>Mei HaShiloach</i>. This phrase appears but once in all of Scripture; in Yeshaya (Isaiah) 8:6, “for as much as the the people refuse the waters of Shiloah that flow slowly, and rejoice in R’tsin and the son of Remaliyahu.”</i> This is reminiscent of the verse in Kohollet, “It is deep, exceedingly deep, and who can fathom it?”"
"Mei HaShiloach, Translator’s Introduction.10","When the Pshisker left this world, Reb Menachem Mendel became his successor, moving the center of operations to the town of Kotsk. Here in Kotsk, Mordechai Yosef, already his friend and study partner, became his disciple. There is much to say of this period, but it will not be said here. After some time the Kotsker closed himself in his room adjacent to the house of study, and there remained for the next twenty years until his death. When he would occasionally appear in his doorway, it was as the revelation of a Holy Seraph of God. In short, Mordechai Yosef objected to the Kotsker’s self-imposed confinement, and left for the town of Isbitza, taking ninety percent of the Kotsker <i>hasidim</i> along with him. How many Jews remained in Kotsk? A <i>minyan</i> (ten). He then sent a message back to Menachem Mendel, saying, “I promise to pay you back with children and grandchildren until the coming of the Messiah.”<sup>5</sup><i class=""footnote"">I heard this from the mouth of Reb Shlomo Carlebach, <i>z’l</i>.</i> Of this whole period, you will hear different versions depending on whether if comes from Kotsk family history or Isbitza family history. The version of Isbitza follows in the next section, the introduction from the <i>Dor Yesharim</i>. As a young student in Pshiske, it is told that he basically lived in the house of study, even sleeping there. He would return to visit his family for holidays."
"Mei HaShiloach, Translator’s Introduction.11","As mentioned below in the <i>Dor Yesharim</i>, the Mei HaShiloach never wrote down his insights into the Torah. Even his students refrained from writing, but would rather commit his words to memory and later discuss the meaning of the Rebbe’s teaching. This was also the case with the Baal Shem Tov. A story is told of the Baal Shem Tov seeing one of his students writing down his words of Torah. He looked at the writings and said, “not a word of what I have said have you written.” The introduction to the second volume of the <i>Mei HaShiloach</i> describes how the book was written. “Indeed a number of years after he was taken from us, a number of the students of the Mei HaShiloach took it upon themselves to collect that which they remembered from the teachings and commit them to writing. Then future generations will also benefit from the light of his holy teachings. They pleaded with the son of the Mei HaShiloach to help them in this endeavor, and he entrusted the task to his own son, Reb Gershon Chanoch Hainech [the first Radziner Rebbe].” That the words of the Isbitser Rebbe were written from memory during the twenty years following his death accounts for their terse, distilled character. This is not a work of literary merit; it is purely concerned with content. One must bear in mind that the writer of <i>Mei HaShiloach</i> felt as if he was writing what he remembered from the time he stood at Mount Sinai. Furthermore, the lessons were delivered in Yiddish, the Hebrew of the Bible, and the Aramaic of the Talmud and Zohar. Thus all that was Yiddish was then translated into Hebrew. Reb Gershon Chanoch published the first edition, an unedited of parts of the first volume, in the year 5620 (1860), four years after the Isbitzer left the world. It is told that the first printing of the <i>Mei HaShiloach</i> was done on a Gentile press and without any approbations from famous Rabbis of the generation, quite unusual for books of hasidic discourse to this day. The second volume of the <i>Mei HaShiloach</i> was put in writing and printed by Reb Gershon Chanoch’s brother, Reb Mordechai Yosef Elazar."
"Mei HaShiloach, Translator’s Introduction.12","Who studies this work? I once met with Reb Yaakov Lainer in Borough Park, Brooklyn. The son of the late Radziner Rebbe and a direct descendant of the <i>Mei HaShiloach</i>, he is the current publisher of Isbitza books in America. He told me that thirty years ago, his father, of blessed memory, would sell some twenty copies of the <i>Mei HaShiloach</i> each year. It was like a dinosaur. He told me that at that time it was only really studied by Jews who came from certain towns in Poland. Then in the late 1960s, Reb Shlomo Carlebach, may his memory be blessed, began his work of traveling seven continents to light Jewish hearts with the fire of hasidism. In his suitcase there was always a copy of the Mei HaShiloach. You could say that wherever he went, he took with him the light and profundity of the Isbitzer Rebbe, giving it to thirsty souls. I once heard him say, “you cannot understand the <i>Chumash</i> [five books of Moses] without the <i>Mei HaShiloach</i>.” In my conversation with Reb Lainer, he gave Shlomo Carlebach the credit for popularizing the <i>Mei HaShiloach</i> in our generation. In the six years I spent with Shlomo Carlebach, not a learning, not a Shabbos, went by without some light from the Isbitzer. Today it is found in every Hebrew bookstore, and is taught in every yeshiva of new young spirit seekers desiring inspiration from the hasidic masters. I used to spend much time in the shadow of Reb Yitschak Asher Twersky, of blessed memory, the Talner Rebbe of Boston. He is known as the pre-eminent scholar of Maimonides in this century. Sitting before him I always felt as if I was sitting before the Rambam. During one of his <i>Drashot</i> at the third meal of Shabbat, <i>Parshat Beshalach</i> in 1997, he quoted a teaching from the <i>Mei HaShiloach</i> on “Who is like You among the powers, Hashem.” He then said that he wanted to find time to teach a regular <i>shiur</i> (lesson) devoted to the Mei HaShiloach. But sadly, he was summoned to the world of Truth before he could realize this desire. I remember Rabbi Shlomo Riskin in Efrat, Israel, during his <i>drash</i> for Shabbat haGadol, the week before Passover, mentioning before 700 people a teaching from the Mei HaShiloach. Also in Efrat, I happened to walk into a class with Rabbi Chaim Brovender with a copy of the <i>Mei HaShiloach</i> under my arm. He noticed it, and said, “Be careful. If you learn enough of this you may burn up!” I mention these examples just to show how widespread the prevalence of the Mei HaShiloach has become for those receptive to the teachings of hasidism, whereas fifty years ago the name “Mei HaShiloach” would have gone unnoticed."
"Mei HaShiloach, Translator’s Introduction.13","I beg forgiveness for doing something as brazen as trying to summarize the main principle of the <i>Mei HaShiloach</i> in a few sentences. First and foremost, everything is in the hands of Heaven. Everything that we receive in our lives, we are receiving directly from the blessed God. It is then the work of man in the world to develop a mind that is conscious of this reality. On top of a general unwavering dedication to the Torah and its laws, man must specifically work, through the study of the Torah and <i>avodat Hashem</i>, the service of God, to know what God wants of him specifically in his life. He must also then know that God’s will could change at any time, and must constantly look to God to illuminate into him what He wants of man at any particular moment. This also necessitates that he not assume that what God wants from him is the same as that which he wants from another. Even if he sees another transgressing the Torah, he may not assume that the other is rebelling against God’s will, for he has no way of knowing the private relationship between the other and God. Thus, through personal refinement in according to his illumination of the will of God, he develops the consciousness of the presence and intentions of God. In this way, redemption is really just a change of consciousness. Then his conduct based on this new redemptive consciousness serves to glorify and sanctify the Name of God in the world. Now we must look in the text to find examples of these ideas."
"Mei HaShiloach, Translator’s Introduction.14","It is written in the Gemara (<i>Berachot</i>, 33b), “all is in the hands of Heaven, except the fear of Heaven.” Rashi comments, “everything comes to man from God, the length of his life, whether he is poor or rich, whether he is simple or wise. However, whether he is good or wicked does not come from Heaven, this is a choice delivered into the hands of man, where two ways are placed before him, and he shall choose the fear of God.” However, as the Mei HaShiloach writes in <i>Parshat Vayeira</i>, under “and Sarah denied it,” that this only applies to the limits of the understanding of man’s intellect. It is in fact necessary for man to believe that he chooses to serve God so he has the desire to perform, and then the service can be called the work of his hands. However, in reality, he is “taking from the treasure house of the King and giving back to the Kings,” in the saying of the Zohar (<i>Shmini</i>, 38a). So if all that man does is a result of the constant Providence of God, then even the sins of Israel are part of God’s greater plan. Needless to say that this is in the large view, and cannot be taken before the action as a license to act recklessly. The Gemara (<i>Avoda Zara</i>, 4b) claims that Israel sinned in making a golden calf only to encourage the proper repentance of later generations. Though they went ahead and made the idol, they made atonement and their repentance was accepted. As a result, the tribes were given the mitzvah of giving the half-shekel. If the result of their sin was the performance of their mitzvah, which is meritorious in God’s view, certainly God takes pleasure when every Jew returns to His law. And if even the sin is transformed into merit, how much more pleasing is it when Israel performs acts that from the outset are meritorious! Thus the Mei HaShiloach repeats several times the words of the Gemara (<i>Gittin</i>, 53a), “one cannot uphold the Torah unless he has failed in it.” After the fact, the failure only serves to deepen one’s appreciation of the essence of the commandment."
"Mei HaShiloach, Translator’s Introduction.15","There is a level beyond man’s choice, and this is clearly expressed concerning the verse, “in the plain over against Suf” (<i>Devarim</i>, 1:1). There it is written, “Why were the sins of Israel discreetly mentioned through the names of the places where the sins occurred rather than by the mention of the time when they occurred? This is in order that man does not think that the sins were done according to their power of choice, and that they had the choice to remove themselves from the sin. The matter of place hints at this, for it was not possible for them to guard themselves from the sin and move to a different place.”"
"Mei HaShiloach, Translator’s Introduction.16","So too, we find the entire Davidic line, the very Messiah, as a result of the incest of Lot and his daughters. Also with Yehuda and Tamar, when he admits and says, “she is more righteous than I [<i>mimeni</i>],” the Gemara (<i>Sotah</i>, 10b) says, “here God was saying, ‘the whole incident came forth from Me [<i>memeni</i>].’ ” In <i>Parshat Vayeishev</i>, under “and Er,” the Mei HaShiloach writes, “For the Holy One, blessed be He, conducts all the structures of the kingdom of the House of David, according to structures such as these, even though at the time of the action it seemed like a sin … The secret of the House of David is greatly concealed, even from the prophets.”"
"Mei HaShiloach, Translator’s Introduction.17","So truly, all that we are receiving in this world is coming from the blessed God. On the verse, “Mercy and Truth will not abandon you” (<i>Mishlei</i>, 3:3), the Mei HaShiloach comments, “The verse is not formulated, ‘do not abandon Mercy and Truth,’ for truly the effluence of the blessed God descends constantly without interruption. Only man, from his side, needs to refine his heart and stand ready to receive, and not turn his back on this effluence, God forbid. But in His goodness the blessed God constantly effuses His effluence, and the man who longs for His Mereies shall not forsake them.”"
"Mei HaShiloach, Translator’s Introduction.18","Now it is up to man to develop a mind that constantly looks to the will of God to guide his actions. (Though this very effort must be a direct effect of God’s influence in the world.) This can be seen in all of the actions of Yaakov Avinu, but particularly when he went to bless the sons of Yosef. Yaakov said, “E-lohim who guided me all my life until this day.” The Rebbe of Isbitza explains, “for every action I do, no matter how small, I need the blessed God to illuminate His will into me. I even need it with this action [blessing Menashe and Efriam], where I saw how it is His will to change it [to bless the younger before the older], nevertheless I need to see even the second time how it is His blessed will. Truly in this matter Yaakov was the greatest of the Patriarchs, for to have the blessed God constantly lead one’s actions is a great level. This was the prayer of King David (Tehillim, 23:1), ‘God is my shepherd, I will lack nothing,’ meaning that the Providence of the blessed God will not be lacking from me, for He will always guide me, and I will be ever aware that the blessed God is guiding me.”"
"Mei HaShiloach, Translator’s Introduction.19","Two characters are presented in the <i>Mei HaShiloach</i>. One is typified by Yosef, or Efriam, and this type always looks to the judgment of the Torah in every matter. So too does this type feel a sense of holy rage when confronted with transgression of the Torah, as with Pinchas, who descended from Efriam. The other type is Yehuda, who constantly looks to the blessed God to tell him how to act. This appears in <i>Parshat Vayeishev</i>:"
"Mei HaShiloach, Translator’s Introduction.20","This is as it is said (Yesahya, 11:13), “Efriam shall not be jealous of Yehuda, and Yehuda shall not distress Efriam.” These two tribes were always opposing each other, for the force of life which the blessed God gave to Efriam (from Yosef) was of the nature that it always looked to every action regarding its judgment and law, without moving from it. Therefore, when the writings warn Israel against sinning, then the aim of the Torah will be to say (Amos, 5:6), “lest the house of Yosef should prevail like fire,” meaning that they should concern themselves that there should be no opponents to their actions. The root of life for Yehuda, however, is to look to the blessed God regarding the course of every action. Even though he sees where the judgment leans, still he looks to the blessed God in order to see the depth of the truth of the matter."
"Mei HaShiloach, Translator’s Introduction.21","So it is with all matters, and this is the root of life for Yehuda, to look to God in everything and not to act simply in a way that is accepted or habitual. Even though yesterday he acted in such a way, yet anyhow, today he does not want to rely on his former response, only that the blessed God should illuminate His will into him anew. This matter sometimes necessitates even doing something against the law, for, “it is a time to do for God, the Torah has been suspended.” (Tehillim 119:126)"
"Mei HaShiloach, Translator’s Introduction.22","So upon understanding this, one must be flexible with the will of God, for the vessel only illuminates from that which is shined into it. For the Mei HaShiloach, this is the essence of the commandment concerning the scriptural commandment of temporary vows, as explained in <i>Parshat Mattot</i>:"
"Mei HaShiloach, Translator’s Introduction.23","It occurred [with all of the prophets other than Moshe] in their prophetic spirit that whichever particular word of prophecy they were speaking was enduring for all eternity. Yet truly, there existed changes according to the quality of each generation. On this, “Moshe Rabeynu’s level of prophecy was superior to them all, prophesizing with ‘this is the word.’ ” This means that he understood the prophecy according to its time and place, understanding that a prophecy is only relevant for a particular time, and later God may desire something else … Therefore it is said, “this is the word,” for one must understand that the particular action is only temporarily forbidden to him, and that the blessed God can give him the power to receive all the good of the world without being disconnected from the service of the Divine."
"Mei HaShiloach, Translator’s Introduction.24","Then, if God’s plans require different processes and limitations for each individual, this changes the way one will view another’s way of acting in the world. “The blessed God allotted to each one goodness and life, and one is not similar to his fellow” (<i>Parshat Bamidbar</i>). In <i>Parshat Va’etchanan</i>:"
"Mei HaShiloach, Translator’s Introduction.25","As for the meaning behind the commandments, each one feels the unique meaning of a commandment that another does not feel, nor does he have the understanding of his fellow. We find an example of this in the Gemara (<i>Pesachim</i>, 53b), “even though one says to light, and another says not to light, they both had the same intention.”<sup>6</sup><i class=""footnote"">This is discussing whether or not to leave a candle lit on the eve of Yom Kippur. One says that if there is light he is less likely to engage in intimate relations, and another says if it is dark and he does not see his wife, then he will be less likely to succumb. Both opinions are in order to distance one from sin.</i> For at first it seemed as if one disagreed with the other, yet truly there was no disagreement for they both intended the same thing. Thus one does not call to question the attributes of his fellow, for he understands that his fellow can only keep the mitzvah in his own way, and not in his way. Therefore it says (in verse 19), “to cast out all your enemies from before you,” which is referring to those involved in fierce disagreements in Israel. Yet the meaning is not that they should be destroyed, God forbid, but rather to cast out their kind of service from before you, so as not to disturb you from your own service."
"Mei HaShiloach, Translator’s Introduction.26","Furthermore, the Isbitser reevaluates the entire matter of the commandment to rebuke ones neighbor in his interpretation of the verse, “you shall surely rebuke,” in <i>Parshat Behar</i>:"
"Mei HaShiloach, Translator’s Introduction.27","Even though the blessed God commanded man to reprove his neighbor and to try to distance him from all evil as much as is possible, this is only possible in a place where he knows he can help him by bringing him to the good, or through prayer which will arouse compassion upon him to return him to the path of ethical behavior. However, if he cannot remove him from his errors, then he must judge him meritoriously, and not accuse him. Thus one cannot judge his neighbor as guilty, for perhaps his neighbor’s <i>yetser hara</i> (inclination to evil) is greater than his own. Or, perhaps what he sees as an error or sin is actually permitted to his neighbor, for there are many things that are forbidden to one but permitted to another."
"Mei HaShiloach, Translator’s Introduction.28","Once one has gone through this process of personal refinement, and refining the way he sees the world, he is capable of experiencing redemption. This is because the nature of exile is really the exile of man’s consciousness, when he cannot see the presence of God in his life. But if he can remove the veil and see how “all really is in the hands of Heaven,” then no matter what transpires, it is all part of the direct involvement of God in order to bring about redemption, where the knowledge of God is sensed with utmost clarity. The classic example of this is found in <i>Parshat Vayigash</i>, where a simple change of consciousness in a second can bring Yehuda from believing that he is facing a life of incarceration by a foreign king to standing before his lost brother who will save his entire family from famine and be reunited with his father:"
"Mei HaShiloach, Translator’s Introduction.29","For all these verses [at the beginning of the <i>Parsha</i>] are a claim against the blessed God, with Yehuda supposing all the while that he was standing before and arguing with a Gentile king. Then when the blessed God sent them the salvation, then they saw that even in retrospect they were never in danger, for truly they were arguing with their brother. Thus it will be in the future, when the blessed God will save us and redeem us, then God will show us that we were never in exile, and that a foreign nation never ruled over us, only God alone. This is the meaning of the verse (Tehillim, 37:10), “and a little more, and there is no evil one, and you considered his place, and there is nothing there,” meaning that very soon evil will be banished. “And you considered,” meaning the understanding of the heart, for if you want to understand its place, “there is nothing there,” meaning that in it there was no power of governance over you."
"Mei HaShiloach, Translator’s Introduction.30","In this way, redemption is just a change of consciousness. To do this is a difficult path, requiring constant reevaluation of how God’s will illuminates into each one of us. No matter what I think I understand, I have to go back and look again, for every letter in the Torah is infinite, and, as the Mei HaShiloach tells us, there is a depth far deeper in the words of Torah than the human consciousness can conceive."
"Mei HaShiloach, Translator’s Introduction.31",Betsalel Philip Edwards
"Mei HaShiloach, Translator’s Introduction.32","Old City, Jerusalem"
"Mei HaShiloach, Acknowledgments.1","First and foremost I would like to thank the Master of Heaven and Earth who made it possible for this exceptional figure in spiritual history to exist and for me to be able to bring it to the English-speaking public. May He continue to help all of us and take joy in all of our endeavors. Next I must thank my dear wife Ilana who made it possible for me to sit and complete the work now before you, and my dear son Ilai who is a constant source of <i>nachat ruach</i> and inspiration."
"Mei HaShiloach, Acknowledgments.2","In terms of the understanding of the teachings of Isbitza, I am greatly dedicated to Rabbi Shlomo Carlebach, may his memory bless us all, who first passed the fire of the <i>Mei HaShiloach</i> into my heart, and who exemplified its message in every moment of his life. I owe great gratitude to Professor Elie Wiesel, who first introduced me to the teachings of Isbitza and so many other hasidic Masters as a student in his seminar at Boston University. May he continue to inspire us and spread the light of Hasidut throughout the world. I will always be indebted to Dr. Elie Stillman, a hidden master of the <i>Mei HaShiloach</i>, for our discussions of the meaning of these teachings and for just being a good friend. I would like to thank Daniel Langerman of the Talner Community in Boston for presenting me on his visit to Israel with the copy of the <i>Mei HaShiloach</i> from which I translated. And a very special thanks and much gratitude to Arthur Kurzweil, Hope Breeman, and the entire staff of Jason Aronson for the superb production of this volume of the <i>Mei HaShiloach</i>, the first-ever translation of the work into English."
"Mei HaShiloach, A Note on Hebrew Names For Books of the Bible and Transliteration.1",The books of the Bible are cited in their original Hebrew names. Here is a table for those not familiar with these names.
"Mei HaShiloach, A Note on Hebrew Names For Books of the Bible and Transliteration.2","A note on the proper pronunciation of the transliterated Hebrew. “<i>Ch</i>” is always a soft guttural as in the German “Na<i>ch</i>t” or the Scottish “Lo<i>ch</i>.” It is never pronounced in a hard palatal as in “chance” or “choke.” The “im” at the end of a word is prounounced “eem,” as in “deem” or “seem.” Thus the name for the book of Kings, for example, is pronounced “Mela<i>ch</i>eem,” with the “<i>ch</i>” being soft."
"Mei HaShiloach, Introduction.1",from the “Dor Yesharim” (The Generation of the Upright)
"Mei HaShiloach, Introduction.2","The following is translated from the <i>Dor Yesharim</i>, or Generation of the Upright,<sup>1</sup><i class=""footnote"">See Tehillim, 112:2, “The generation of the upright will be blessed.”</i> the family history of Reb Mordechai Yosef <i>z’l</i> and his descendants, written by Chaim Simcha Lainer <i>z’l</i>, a direct descendant of the holy Isbitser. It was published in Lublin, Poland, in 1925."
"Mei HaShiloach, Introduction.3","Lend your ears, and hear that which you have not heard before, the wonders of our master, father, and teacher, the holy Rav, Mordechai Yosef, may his memory be a blessing, the author of the holy book, <i>Mei HaShiloach</i>, the waters of Siloah, may his merits protect us. He upheld the Torah out of poverty, bearing all suffering and all manner of hardship in order to study God’s law. Even in the days of his greatness he did not adorn his home with riches, with the plunder of fine rugs and curtains, but rather made do with little. His main purpose was to let the wellsprings of wisdom flow forth. He soon succeeded in raising many scholars, and after the passing of the holy Rav Simcha Bunem of Pshiske through the influence of the splendor of his torah and <i>Kedusha</i>, he became the main on the spirit of those who seek Hashem. He taught them to go on the path of the just and ways of righteousness. He was the great tree, the Rav of Rabbis, from which sprouted endless branches that instilled the roots of hasidut in those who seek Hashem and His Torah. Among his students were holy ones, geniuses, the truly virtuous, who illuminated the face of the earth with their torah, the light of which appeared upon them in his house of study, as is known. His holy community was like the fellowship of Rabbi Shimon bar Yochai, like that of the holy Baal Shem Tov and our holy master Reb Dov Ber, may their memories be for a blessing. If one tried to tell all of his good deeds, wonders, and the holy ways in which he went in the span of his short life, then “the curtain in the chamber of the Holy Temple would not suffice.” Yet we may say that he brought salvation, rescue, and redemption in both matters physical and spiritual, for the mute and the destitute. He increased Torah and strength, bringing many souls under the wings of the <i>Shechina</i>. Great were his actions, effects, and way of holy service that he paved for the sake of God’s glory. And great is the honor that the Omnipresent has granted him forever."
"Mei HaShiloach, Introduction.4","In his youth, he was a student in the town of Tomashov. The holy Rav, our master and teacher Reb Menachem Mendel, may his memory be for a blessing,<sup>2</sup><i class=""footnote"">Henceforth the customary mention of “may his memory be for a blessing,” after the name of a great Rav who is no longer in this world will be abbreviated with <i>z’l</i>, for <i>zichrono livrocha</i>.</i> of Kotsk was also a student in that town, and both were <i>hasidim</i> of the Prshisker Rebbe. Between them there was love and friendship and peace. It once happened that there was a dispute in the house of study between the <i>hasidim</i> of Pshiske and the <i>hasidim</i> of another court. The dispute came to blows, and the Rav, Reb Menachem Mendel <i>z’l</i> was then in the house of study. Someone went to notify Reb Mordechai Yosef <i>z’l</i>, who was still at his home. When he heard, he ran directly to the house of study. On his way, when someone on the side of the road saw a Pshisker hasid racing in the street, he knew immediately that he was going to help the Pshiskers. So then the man extended his leg in front of the shins of my grandfather<sup>3</sup><i class=""footnote"">The author was a direct descendant of Reb Mordechai Yosef <i>z’l</i> after five generations. When I write “my grandfather,” rendered from <i>z’keni</i>, bear in mind that “my great-great grandfather” is meant.</i> <i>z’l</i> to cause him to fall. He then tripped, and then got immediately on his feet, continuing on his way. The man who tripped him immediately began to feel pain in his leg, and soon after was confined to bed. He could never walk again, and was bedridden until the day of his death some twenty years later. So would one be careful of his wrath."
"Mei HaShiloach, Introduction.5","After the passing of the holy Rav, Reb Simcha Bunem, <i>z’l</i>, of Pshiske, who was his brilliant teacher and the one who laid hands on his head, all of his <i>hasidim</i> looked to Mordechai Yosef, <i>z’l</i>, in order to establish him as their leader. They looked to him to teach them the ways of Torah and hasidut, and the service of God, to place the holy crown on his head and call him “Rebbe,” for they knew his greatness. Yet it was not yet the time for him to take upon himself the position of the rabbinate. This is as he said himself at this time, telling them to choose a Rebbe from whoever was fit in their eyes, and I too will be together with you in this appointment, until the year 5600, for then I too will be a Rebbe, with the help of the blessed God, and a shepherd a community of Israel. When they heard this they chose Reb Menachem Mendel <i>z’l</i> for their Rebbe, and Mordechai Yosef joined with them in the community of Kotsk."
"Mei HaShiloach, Introduction.6","Among all of the <i>hasidim</i> in Kotsk he was esteemed as a holy man, where no one exceeded the height of his stature. They relegated him great honor for his pure and authentic torah and service."
"Mei HaShiloach, Introduction.7","One time in Kotsk, the holy genius Yitsik Meir <i>z’l</i>, the “Chiddushei Harim,” entered into his room to speak with him for a great while. He was lying on his bed and the “Harim” <i>z’l</i> was sitting at his feet. Eventually he fell asleep, and in the midst of his sleep he placed his feet on the knees of the “Harim” <i>z’l</i>. The Harim <i>z’l</i> did not move an inch until my grandfather <i>z’l</i> woke from his sleep on his own accord. In this way all of the great ones of the generation would honor him."
