Ref,Vocalized Punctuation,Wikisource
Tamid 33b:3,בָּאוּ וְעָמְדוּ עַל מַעֲלוֹת הָאוּלָם עָמְדוּ הָרִאשׁוֹנִים לִדְרוֹם אֲחֵיהֶם הַכֹּהֲנִים וַחֲמִשָּׁה כֵּלִים בְּיָדָם הַטְּנִי בְּיַד אֶחָד וְהַכּוּז בְּיַד אֶחָד וְהַמַּחְתָּה בְּיַד אֶחָד וְהַבָּזֵךְ בְּיַד אֶחָד וְכַף וְכִסּוּיוֹ בְּיַד אֶחָד,<big><strong>ב</strong></big> באו ועמדו על מעלות האולם עמדו הראשונים לדרום אחיהם הכהנים וחמשה כלים בידם הטני ביד אחד והכוז ביד אחד והמחתה ביד אחד והבזך ביד אחד וכף וכסויו ביד אחד
Tamid 33b:6,בִּזְמַן שֶׁכֹּהֵן גָּדוֹל רוֹצֶה לְהַקְטִיר הָיָה עוֹלֶה בַּכֶּבֶשׁ וְהַסְּגָן בִּימִינוֹ הִגִּיעַ לְמַחֲצִית הַכֶּבֶשׁ אָחַז הַסְּגָן בִּימִינוֹ וְהֶעֱלָהוּ,"<big><strong>ג</strong></big> בזמן שכ""ג רוצה להקטיר היה עולה בכבש והסגן בימינו הגיע למחצית הכבש אחז הסגן בימינו והעלהו"
Bava Metzia 70b:1,אֵין מְקַבְּלִין צֹאן בַּרְזֶל מִיִּשְׂרָאֵל מִפְּנֵי שֶׁהוּא רִבִּית אֲבָל מְקַבְּלִין צֹאן בַּרְזֶל מִן הַגּוֹיִם,"<big><strong>מתני׳</strong></big> אין מקבלין צאן ברזל מישראל מפני שהוא רבית אבל מקבלין צאן ברזל מן העכו""ם"
Bava Metzia 98b:16,וְכֵן בְּשָׁעָה שֶׁמַּחְזִירָהּ.,וכן בשעה שמחזירה <big><strong>גמ׳</strong></big> 
Bava Metzia 118a:3,נִפְחֲתָה רַב אָמַר בְּרוּבָּהּ וּשְׁמוּאֵל אָמַר בְּאַרְבַּע רַב אָמַר בְּרוּבָּהּ אֲבָל בְּאַרְבַּע אָדָם זוֹרֵעַ חֶצְיוֹ לְמַטָּה וְחֶצְיוֹ לְמַעְלָה וּשְׁמוּאֵל אָמַר בְּאַרְבַּע אֵין אָדָם זוֹרֵעַ חֶצְיוֹ לְמַטָּה וְחֶצְיוֹ לְמַעְלָה,<big><strong>גמ׳</strong></big> נפחתה רב אמר ברובה ושמואל אמר בארבע רב אמר ברובה אבל בארבע אדם זורע חציו למטה וחציו למעלה ושמואל אמר בארבע אין אדם זורע חציו למטה וחציו למעלה
Chullin 109a:9,"מַתְנִי' הַכְּחָל, — קוֹרְעוֹ, וּמוֹצִיא אֶת חֶלְבּוֹ. לֹא קְרָעוֹ — אֵינוֹ עוֹבֵר עָלָיו. הַלֵּב — קוֹרְעוֹ וּמוֹצִיא אֶת דָּמוֹ. לֹא קְרָעוֹ. — אֵינוֹ עוֹבֵר עָלָיו.",<big><strong>מתני׳</strong></big> הכחל קורעו ומוציא את חלבו לא קרעו אינו עובר עליו הלב קורעו ומוציא את דמו לא קרעו אינו עובר עליו: <big><strong>גמ׳</strong></big> 
Keritot 8b:7,מַאי שְׁנָא זָב וְזָבָה דְּמָנֵי לְהוֹן בִּתְרֵין מִשּׁוּם דַּחֲלוּקָהּ טוּמְאָתוֹ דְּזָב לָא מְטַמֵּא בְּאוֹנֶס וְזָבָה לָא מְטַמְּאָה בִּרְאִיּוֹת בְיָמִים,<big><strong>גמ׳</strong></big> מאי שנא זב וזבה דמני להון בתרין משום דחלוקה טומאתו דזב לא מטמא באונס וזבה לא מטמאה בראיות כבימים
Keritot 14a:20,"מַתְנִי' יֵשׁ בָּא בִּיאָה אַחַת וְחַיָּיב עָלֶיהָ שֵׁשׁ חַטָּאוֹת, כֵּיצַד? הַבָּא עַל בִּתּוֹ חַיָּיב עָלֶיהָ מִשּׁוּם בִּתּוֹ, וַאֲחוֹתוֹ, אֵשֶׁת אָחִיו. וְאֵשֶׁת אֲחִי אָבִיו, וְאֵשֶׁת אִישׁ, וְנִדָּה.",<big><strong>מתני׳</strong></big> יש בא ביאה אחת וחייב עליה ו' חטאות כיצד הבא על בתו חייב עליה משום בתו ואחותו אשת אחיו ואשת אחי אביו ואשת איש ונדה: <big><strong>גמ׳</strong></big> 
Avodah Zarah 22a:11,"מַתְנִי' אֵין מַעֲמִידִין בְּהֵמָה בְּפוּנְדְּקָאוֹת שֶׁל גּוֹיִם, מִפְּנֵי שֶׁחֲשׁוּדִין עַל הָרְבִיעָה. וְלֹא תִּתְיַיחֵד אִשָּׁה עִמָּהֶן, מִפְּנֵי שֶׁחֲשׁוּדִין עַל הָעֲרָיוֹת. וְלֹא יִתְיַיחֵד אָדָם עִמָּהֶן, מִפְּנֵי שֶׁחֲשׁוּדִין עַל שְׁפִיכוּת דָּמִים.",מתני׳ <big><strong>אין</strong></big> מעמידין בהמה בפונדקאות של עובדי כוכבים מפני שחשודין על הרביעה ולא תתייחד אשה עמהן מפני שחשודין על העריות ולא יתייחד אדם עמהן מפני שחשודין על שפיכות דמים: <big><strong>גמ׳</strong></big> 
Avodah Zarah 70b:12,"מַתְנִי' בּוֹלֶשֶׁת שֶׁנִּכְנְסָה לְעִיר, בִּשְׁעַת שָׁלוֹם, חָבִיּוֹת פְּתוּחוֹת — אֲסוּרוֹת, סְתוּמוֹת — מוּתָּרוֹת בִּשְׁעַת מִלְחָמָה — אֵלּוּ וְאֵלּוּ מוּתָּרוֹת, לְפִי שֶׁאֵין פְּנַאי לְנַסֵּךְ.",<big><strong>מתני׳</strong></big> בולשת שנכנסה לעיר בשעת שלום חביות פתוחות אסורות סתומות מותרות בשעת מלחמה אלו ואלו מותרות לפי שאין פנאי לנסך: <big><strong>גמ׳</strong></big> 
