Date,DoW,He Date,Ref
8/20/2016,Shab,16 Av 5776,OC 32:12-14
8/21/2016,Sun,17 Av 5776,OC 32:15-17
8/22/2016,Mon,18 Av 5776,OC 32:18-20
8/23/2016,Tue,19 Av 5776,OC 32:21-23
8/24/2016,Wed,20 Av 5776,OC 32:24-26
8/25/2016,Thu,21 Av 5776,OC 32:27-29
8/26/2016,Fri,22 Av 5776,OC 32:30-32
8/27/2016,Shab,23 Av 5776,OC 32:33-35
8/28/2016,Sun,24 Av 5776,OC 32:36-38
8/29/2016,Mon,25 Av 5776,OC 32:39-41
8/30/2016,Tue,26 Av 5776,OC 32:42-44
8/31/2016,Wed,27 Av 5776,OC 32:45-47
9/1/2016,Thu,28 Av 5776,OC 32:48-50
9/2/2016,Fri,29 Av 5776,OC 32:51 - 33:1
9/3/2016,Shab,30 Av 5776,OC 33:2-4
9/4/2016,Sun,1 Elul 5776,OC 33:5 - 34:2
9/5/2016,Mon,2 Elul 5776,OC 34:3 - 35:1
9/6/2016,Tue,3 Elul 5776,OC 36:1-3
9/7/2016,Wed,4 Elul 5776,OC 37:1-3
9/8/2016,Thu,5 Elul 5776,OC 38:1-3
9/9/2016,Fri,6 Elul 5776,OC 38:4-6
9/10/2016,Shab,7 Elul 5776,OC 38:7-9
9/11/2016,Sun,8 Elul 5776,OC 38:10-12
9/12/2016,Mon,9 Elul 5776,OC 38:13 - 39:2
9/13/2016,Tue,10 Elul 5776,OC 39:3-5
9/14/2016,Wed,11 Elul 5776,OC 39:6-8
9/15/2016,Thu,12 Elul 5776,OC 39:9 - 40:1
9/16/2016,Fri,13 Elul 5776,OC 40:2-4
9/17/2016,Shab,14 Elul 5776,OC 40:5-7
9/18/2016,Sun,15 Elul 5776,OC 40:8 - 42:1
9/19/2016,Mon,16 Elul 5776,OC 42:2 - 43:1
9/20/2016,Tue,17 Elul 5776,OC 43:2-4
9/21/2016,Wed,18 Elul 5776,OC 43:5-7
9/22/2016,Thu,19 Elul 5776,OC 43:8 - 44:1
9/23/2016,Fri,20 Elul 5776,OC 45:1 - 46:1
9/24/2016,Shab,21 Elul 5776,OC 46:2-4
9/25/2016,Sun,22 Elul 5776,OC 46:5-7
9/26/2016,Mon,23 Elul 5776,OC 46:8 - 47:1
9/27/2016,Tue,24 Elul 5776,OC 47:2-4
9/28/2016,Wed,25 Elul 5776,OC 47:5-7
9/29/2016,Thu,26 Elul 5776,OC 47:8-10
9/30/2016,Fri,27 Elul 5776,OC 47:11-13
10/1/2016,Shab,28 Elul 5776,OC 47:14 - 49:1
10/2/2016,Sun,29 Elul 5776,OC 50:1 - 51:2
10/3/2016,Mon,1 Tishrei 5777,OC 51:3-5
10/4/2016,Tue,2 Tishrei 5777,OC 51:6-8
10/5/2016,Wed,3 Tishrei 5777,OC 51:9 - 53:1
10/6/2016,Thu,4 Tishrei 5777,OC 53:2-4
10/7/2016,Fri,5 Tishrei 5777,OC 53:5-7
10/8/2016,Shab,6 Tishrei 5777,OC 53:8-10
10/9/2016,Sun,7 Tishrei 5777,OC 53:11-13
10/10/2016,Mon,8 Tishrei 5777,OC 53:14-16
10/11/2016,Tue,9 Tishrei 5777,OC 53:17-19
10/12/2016,Wed,10 Tishrei 5777,OC 53:20-22
10/13/2016,Thu,11 Tishrei 5777,OC 53:23-25
10/14/2016,Fri,12 Tishrei 5777,OC 53:26 - 54:2
10/15/2016,Shab,13 Tishrei 5777,OC 54:3 - 55:2
10/16/2016,Sun,14 Tishrei 5777,OC 55:3-5
10/17/2016,Mon,15 Tishrei 5777,OC 55:6-8
10/18/2016,Tue,16 Tishrei 5777,OC 55:9-11
10/19/2016,Wed,17 Tishrei 5777,OC 55:12-14
10/20/2016,Thu,18 Tishrei 5777,OC 55:15-17
10/21/2016,Fri,19 Tishrei 5777,OC 55:18-20
10/22/2016,Shab,20 Tishrei 5777,OC 55:21 - 56:1
10/23/2016,Sun,21 Tishrei 5777,OC 56:2-4
10/24/2016,Mon,22 Tishrei 5777,OC 56:5 - 57:2
10/25/2016,Tue,23 Tishrei 5777,OC 58:1-3
10/26/2016,Wed,24 Tishrei 5777,OC 58:4-6
10/27/2016,Thu,25 Tishrei 5777,OC 58:7 - 59:2
10/28/2016,Fri,26 Tishrei 5777,OC 59:3-5
10/29/2016,Shab,27 Tishrei 5777,OC 60:1-3
10/30/2016,Sun,28 Tishrei 5777,OC 60:4 - 61:1
10/31/2016,Mon,29 Tishrei 5777,OC 61:2-4
11/1/2016,Tue,30 Tishrei 5777,OC 61:5-7
11/2/2016,Wed,1 Cheshvan 5777,OC 61:8-10
11/3/2016,Thu,2 Cheshvan 5777,OC 61:11-13
11/4/2016,Fri,3 Cheshvan 5777,OC 61:14-16
11/5/2016,Shab,4 Cheshvan 5777,OC 61:17-19
11/6/2016,Sun,5 Cheshvan 5777,OC 61:20-22
11/7/2016,Mon,6 Cheshvan 5777,OC 61:23-25
11/8/2016,Tue,7 Cheshvan 5777,OC 61:26 - 62:2
11/9/2016,Wed,8 Cheshvan 5777,OC 62:3-5
11/10/2016,Thu,9 Cheshvan 5777,OC 63:1-3
11/11/2016,Fri,10 Cheshvan 5777,OC 63:4-6
11/12/2016,Shab,11 Cheshvan 5777,OC 63:7-9
11/13/2016,Sun,12 Cheshvan 5777,OC 64:1-3
11/14/2016,Mon,13 Cheshvan 5777,OC 64:4 - 65:2
11/15/2016,Tue,14 Cheshvan 5777,OC 65:3 - 66:2
11/16/2016,Wed,15 Cheshvan 5777,OC 66:3-5
11/17/2016,Thu,16 Cheshvan 5777,OC 66:6-8
11/18/2016,Fri,17 Cheshvan 5777,OC 66:9 - 67:1
11/19/2016,Shab,18 Cheshvan 5777,OC 68:1 - 69:2
11/20/2016,Sun,19 Cheshvan 5777,OC 70:1-3
11/21/2016,Mon,20 Cheshvan 5777,OC 70:4 - 71:1
11/22/2016,Tue,21 Cheshvan 5777,OC 71:2-4
11/23/2016,Wed,22 Cheshvan 5777,OC 71:5-7
11/24/2016,Thu,23 Cheshvan 5777,OC 72:1-3
11/25/2016,Fri,24 Cheshvan 5777,OC 72:4 - 73:1
11/26/2016,Shab,25 Cheshvan 5777,OC 73:2-4
11/27/2016,Sun,26 Cheshvan 5777,OC 74:1-3
11/28/2016,Mon,27 Cheshvan 5777,OC 74:4-6
11/29/2016,Tue,28 Cheshvan 5777,OC 75:1-3
11/30/2016,Wed,29 Cheshvan 5777,OC 75:4-6
12/1/2016,Thu,1 Kislev 5777,OC 76:1-3
12/2/2016,Fri,2 Kislev 5777,OC 76:4-6
12/3/2016,Shab,3 Kislev 5777,OC 76:7 - 77:1
12/4/2016,Sun,4 Kislev 5777,OC 77:2 - 79:1
12/5/2016,Mon,5 Kislev 5777,OC 79:2-4
12/6/2016,Tue,6 Kislev 5777,OC 79:5-7
12/7/2016,Wed,7 Kislev 5777,OC 79:8 - 80:1
12/8/2016,Thu,8 Kislev 5777,OC 81:1 - 82:1
12/9/2016,Fri,9 Kislev 5777,OC 82:2 - 83:2
12/10/2016,Shab,10 Kislev 5777,OC 83:3-5
12/11/2016,Sun,11 Kislev 5777,OC 84:1 - 85:2
12/12/2016,Mon,12 Kislev 5777,OC 86:1 - 87:2
12/13/2016,Tue,13 Kislev 5777,OC 87:3 - 89:1
12/14/2016,Wed,14 Kislev 5777,OC 89:2-4
12/15/2016,Thu,15 Kislev 5777,OC 89:5-7
12/16/2016,Fri,16 Kislev 5777,OC 89:8 - 90:2
12/17/2016,Shab,17 Kislev 5777,OC 90:3-5
12/18/2016,Sun,18 Kislev 5777,OC 90:6-8
12/19/2016,Mon,19 Kislev 5777,OC 90:9-11
12/20/2016,Tue,20 Kislev 5777,OC 90:12-14
12/21/2016,Wed,21 Kislev 5777,OC 90:15-17
12/22/2016,Thu,22 Kislev 5777,OC 90:18-20
12/23/2016,Fri,23 Kislev 5777,OC 90:21-23
12/24/2016,Shab,24 Kislev 5777,OC 90:24-26
12/25/2016,Sun,25 Kislev 5777,OC 90:27 - 91:2
12/26/2016,Mon,26 Kislev 5777,OC 91:3-5
12/27/2016,Tue,27 Kislev 5777,OC 91:6 - 92:2
12/28/2016,Wed,28 Kislev 5777,OC 92:3-5
12/29/2016,Thu,29 Kislev 5777,OC 92:6-8
12/30/2016,Fri,1 Teves 5777,OC 92:9 - 93:1
12/31/2016,Shab,2 Teves 5777,OC 93:2-4
1/1/2017,Sun,3 Teves 5777,OC 94:1-3
1/2/2017,Mon,4 Teves 5777,OC 94:4-6
1/3/2017,Tue,5 Teves 5777,OC 94:7-9
1/4/2017,Wed,6 Teves 5777,OC 95:1-3
1/5/2017,Thu,7 Teves 5777,OC 95:4 - 96:2
1/6/2017,Fri,8 Teves 5777,OC 97:1-3
1/7/2017,Shab,9 Teves 5777,OC 97:4 - 98:1
1/8/2017,Sun,10 Teves 5777,OC 98:2-4
1/9/2017,Mon,11 Teves 5777,OC 98:5 - 99:2
1/10/2017,Tue,12 Teves 5777,OC 99:3 - 101:1
1/11/2017,Wed,13 Teves 5777,OC 101:2-4
1/12/2017,Thu,14 Teves 5777,OC 102:1-3
1/13/2017,Fri,15 Teves 5777,OC 102:4 - 103:1
1/14/2017,Shab,16 Teves 5777,OC 103:2 - 104:1
1/15/2017,Sun,17 Teves 5777,OC 104:2-4
1/16/2017,Mon,18 Teves 5777,OC 104:5-7
1/17/2017,Tue,19 Teves 5777,OC 104:8 - 106:1
1/18/2017,Wed,20 Teves 5777,OC 106:2 - 107:2
1/19/2017,Thu,21 Teves 5777,OC 107:3 - 108:1
1/20/2017,Fri,22 Teves 5777,OC 108:2-4
1/21/2017,Shab,23 Teves 5777,OC 108:5-7
1/22/2017,Sun,24 Teves 5777,OC 108:8-10
1/23/2017,Mon,25 Teves 5777,OC 108:11 - 109:1
1/24/2017,Tue,26 Teves 5777,OC 109:2 - 110:1
1/25/2017,Wed,27 Teves 5777,OC 110:2-4
1/26/2017,Thu,28 Teves 5777,OC 110:5-7
1/27/2017,Fri,29 Teves 5777,OC 110:8 - 111:2
1/28/2017,Shab,1 Shevat 5777,OC 111:3 - 112:2
1/29/2017,Sun,2 Shevat 5777,OC 113:1-3
1/30/2017,Mon,3 Shevat 5777,OC 113:4-6
1/31/2017,Tue,4 Shevat 5777,OC 113:7-9
2/1/2017,Wed,5 Shevat 5777,OC 114:1-3
2/2/2017,Thu,6 Shevat 5777,OC 114:4-6
2/3/2017,Fri,7 Shevat 5777,OC 114:7-9
2/4/2017,Shab,8 Shevat 5777,OC 115:1 - 117:1
2/5/2017,Sun,9 Shevat 5777,OC 117:2-4
2/6/2017,Mon,10 Shevat 5777,OC 117:5 - 119:1
2/7/2017,Tue,11 Shevat 5777,OC 119:2-4
2/8/2017,Wed,12 Shevat 5777,OC 120:1 - 121:2
2/9/2017,Thu,13 Shevat 5777,OC 121:3 - 122:2
2/10/2017,Fri,14 Shevat 5777,OC 122:3 - 123:2
2/11/2017,Shab,15 Shevat 5777,OC 123:3-5
2/12/2017,Sun,16 Shevat 5777,OC 123:6 - 124:2
2/13/2017,Mon,17 Shevat 5777,OC 124:3-5
2/14/2017,Tue,18 Shevat 5777,OC 124:6-8
2/15/2017,Wed,19 Shevat 5777,OC 124:9-11
2/16/2017,Thu,20 Shevat 5777,OC 124:12 - 125:2
2/17/2017,Fri,21 Shevat 5777,OC 126:1-3
2/18/2017,Shab,22 Shevat 5777,OC 126:4 - 127:2
2/19/2017,Sun,23 Shevat 5777,OC 128:1-3
2/20/2017,Mon,24 Shevat 5777,OC 128:4-6
2/21/2017,Tue,25 Shevat 5777,OC 128:7-9
2/22/2017,Wed,26 Shevat 5777,OC 128:10-12
2/23/2017,Thu,27 Shevat 5777,OC 128:13-15
2/24/2017,Fri,28 Shevat 5777,OC 128:16-18
2/25/2017,Shab,29 Shevat 5777,OC 128:19-21
2/26/2017,Sun,30 Shevat 5777,OC 128:22-24
2/27/2017,Mon,1 Adar 5777,OC 128:25-27
2/28/2017,Tue,2 Adar 5777,OC 128:28-30
3/1/2017,Wed,3 Adar 5777,OC 128:31-33
3/2/2017,Thu,4 Adar 5777,OC 128:34-36
3/3/2017,Fri,5 Adar 5777,OC 128:37-39
3/4/2017,Shab,6 Adar 5777,OC 128:40-42
3/5/2017,Sun,7 Adar 5777,OC 128:43-45
3/6/2017,Mon,8 Adar 5777,OC 129:1 - 130:1
3/7/2017,Tue,9 Adar 5777,OC 131:1-3
3/8/2017,Wed,10 Adar 5777,OC 131:4-6
3/9/2017,Thu,11 Adar 5777,OC 131:7 - 132:1
3/10/2017,Fri,12 Adar 5777,OC 132:2 - 134:1
3/11/2017,Shab,13 Adar 5777,OC 134:2 - 135:2
3/12/2017,Sun,14 Adar 5777,OC 135:3-5
3/13/2017,Mon,15 Adar 5777,OC 135:6-8
3/14/2017,Tue,16 Adar 5777,OC 135:9-11
3/15/2017,Wed,17 Adar 5777,OC 135:12-14
3/16/2017,Thu,18 Adar 5777,OC 136:1 - 137:2
3/17/2017,Fri,19 Adar 5777,OC 137:3-5
3/18/2017,Shab,20 Adar 5777,OC 137:6 - 139:1
3/19/2017,Sun,21 Adar 5777,OC 139:2-4
3/20/2017,Mon,22 Adar 5777,OC 139:5-7
3/21/2017,Tue,23 Adar 5777,OC 139:8-10
3/22/2017,Wed,24 Adar 5777,OC 139:11 - 140:2
3/23/2017,Thu,25 Adar 5777,OC 140:3 - 141:2
3/24/2017,Fri,26 Adar 5777,OC 141:3-5
3/25/2017,Shab,27 Adar 5777,OC 141:6-8
3/26/2017,Sun,28 Adar 5777,OC 142:1 - 143:1
3/27/2017,Mon,29 Adar 5777,OC 143:2-4
3/28/2017,Tue,1 Nisan 5777,OC 143:5 - 144:2
3/29/2017,Wed,2 Nisan 5777,OC 144:3 - 145:1
3/30/2017,Thu,3 Nisan 5777,OC 145:2 - 146:1
3/31/2017,Fri,4 Nisan 5777,OC 146:2-4
4/1/2017,Shab,5 Nisan 5777,OC 147:1-3
4/2/2017,Sun,6 Nisan 5777,OC 147:4-6
4/3/2017,Mon,7 Nisan 5777,OC 147:7 - 148:1
4/4/2017,Tue,8 Nisan 5777,OC 149:1 - 150:2
4/5/2017,Wed,9 Nisan 5777,OC 150:3-5
4/6/2017,Thu,10 Nisan 5777,OC 151:1-3
4/7/2017,Fri,11 Nisan 5777,OC 151:4-6
4/8/2017,Shab,12 Nisan 5777,OC 151:7-9
4/9/2017,Sun,13 Nisan 5777,OC 151:10-12
4/10/2017,Mon,14 Nisan 5777,OC 152:1 - 153:2
4/11/2017,Tue,15 Nisan 5777,OC 153:3-5
4/12/2017,Wed,16 Nisan 5777,OC 153:6-8
4/13/2017,Thu,17 Nisan 5777,OC 153:9-11
4/14/2017,Fri,18 Nisan 5777,OC 153:12-14
4/15/2017,Shab,19 Nisan 5777,OC 153:15-17
4/16/2017,Sun,20 Nisan 5777,OC 153:18-20
4/17/2017,Mon,21 Nisan 5777,OC 153:21 - 154:1
4/18/2017,Tue,22 Nisan 5777,OC 154:2-4
4/19/2017,Wed,23 Nisan 5777,OC 154:5-7
4/20/2017,Thu,24 Nisan 5777,OC 154:8-10
4/21/2017,Fri,25 Nisan 5777,OC 154:11-13
4/22/2017,Shab,26 Nisan 5777,OC 154:14 - 155:1
4/23/2017,Sun,27 Nisan 5777,OC 155:2 - 157:1
4/24/2017,Mon,28 Nisan 5777,OC 158:1-3
4/25/2017,Tue,29 Nisan 5777,OC 158:4-6
4/26/2017,Wed,30 Nisan 5777,OC 158:7-9
4/27/2017,Thu,1 Iyar 5777,OC 158:10-12
4/28/2017,Fri,2 Iyar 5777,OC 158:13 - 159:2
4/29/2017,Shab,3 Iyar 5777,OC 159:3-5
4/30/2017,Sun,4 Iyar 5777,OC 159:6-8
5/1/2017,Mon,5 Iyar 5777,OC 159:9-11
5/2/2017,Tue,6 Iyar 5777,OC 159:12-14
5/3/2017,Wed,7 Iyar 5777,OC 159:15-17
5/4/2017,Thu,8 Iyar 5777,OC 159:18-20
5/5/2017,Fri,9 Iyar 5777,OC 160:1-3
5/6/2017,Shab,10 Iyar 5777,OC 160:4-6
5/7/2017,Sun,11 Iyar 5777,OC 160:7-9
5/8/2017,Mon,12 Iyar 5777,OC 160:10-12
5/9/2017,Tue,13 Iyar 5777,OC 160:13-15
5/10/2017,Wed,14 Iyar 5777,OC 161:1-3
5/11/2017,Thu,15 Iyar 5777,OC 161:4 - 162:2
5/12/2017,Fri,16 Iyar 5777,OC 162:3-5
5/13/2017,Shab,17 Iyar 5777,OC 162:6-8
5/14/2017,Sun,18 Iyar 5777,OC 162:9 - 163:1
5/15/2017,Mon,19 Iyar 5777,OC 163:2 - 164:2
5/16/2017,Tue,20 Iyar 5777,OC 165:1 - 166:1
5/17/2017,Wed,21 Iyar 5777,OC 167:1-3
5/18/2017,Thu,22 Iyar 5777,OC 167:4-6
5/19/2017,Fri,23 Iyar 5777,OC 167:7-9
5/20/2017,Shab,24 Iyar 5777,OC 167:10-12
5/21/2017,Sun,25 Iyar 5777,OC 167:13-15
5/22/2017,Mon,26 Iyar 5777,OC 167:16-18
5/23/2017,Tue,27 Iyar 5777,OC 167:19 - 168:1
5/24/2017,Wed,28 Iyar 5777,OC 168:2-4
5/25/2017,Thu,29 Iyar 5777,OC 168:5-7
5/26/2017,Fri,1 Sivan 5777,OC 168:8-10
5/27/2017,Shab,2 Sivan 5777,OC 168:11-13
5/28/2017,Sun,3 Sivan 5777,OC 168:14-16
5/29/2017,Mon,4 Sivan 5777,OC 168:17 - 169:2
5/30/2017,Tue,5 Sivan 5777,OC 169:3 - 170:2
5/31/2017,Wed,6 Sivan 5777,OC 170:3-5
6/1/2017,Thu,7 Sivan 5777,OC 170:6-8
6/2/2017,Fri,8 Sivan 5777,OC 170:9-11
6/3/2017,Shab,9 Sivan 5777,OC 170:12-14
6/4/2017,Sun,10 Sivan 5777,OC 170:15-17
6/5/2017,Mon,11 Sivan 5777,OC 170:18-20
6/6/2017,Tue,12 Sivan 5777,OC 170:21 - 171:1
6/7/2017,Wed,13 Sivan 5777,OC 171:2-4
6/8/2017,Thu,14 Sivan 5777,OC 171:5 - 172:2
6/9/2017,Fri,15 Sivan 5777,OC 173:1-3
6/10/2017,Shab,16 Sivan 5777,OC 174:1-3
6/11/2017,Sun,17 Sivan 5777,OC 174:4-6
6/12/2017,Mon,18 Sivan 5777,OC 174:7 - 175:1
6/13/2017,Tue,19 Sivan 5777,OC 175:2-4
6/14/2017,Wed,20 Sivan 5777,OC 175:5 - 176:1
6/15/2017,Thu,21 Sivan 5777,OC 177:1-3
6/16/2017,Fri,22 Sivan 5777,OC 177:4 - 178:1
6/17/2017,Shab,23 Sivan 5777,OC 178:2-4
6/18/2017,Sun,24 Sivan 5777,OC 178:5-7
6/19/2017,Mon,25 Sivan 5777,OC 179:1-3
6/20/2017,Tue,26 Sivan 5777,OC 179:4-6
6/21/2017,Wed,27 Sivan 5777,OC 180:1-3
6/22/2017,Thu,28 Sivan 5777,OC 180:4 - 181:1
6/23/2017,Fri,29 Sivan 5777,OC 181:2-4
6/24/2017,Shab,30 Sivan 5777,OC 181:5-7
6/25/2017,Sun,1 Tamuz 5777,OC 181:8-10
6/26/2017,Mon,2 Tamuz 5777,OC 182:1-3
6/27/2017,Tue,3 Tamuz 5777,OC 182:4-6
6/28/2017,Wed,4 Tamuz 5777,OC 182:7 - 183:2
6/29/2017,Thu,5 Tamuz 5777,OC 183:3-5
6/30/2017,Fri,6 Tamuz 5777,OC 183:6-8
7/1/2017,Shab,7 Tamuz 5777,OC 183:9-11
7/2/2017,Sun,8 Tamuz 5777,OC 183:12 - 184:2
7/3/2017,Mon,9 Tamuz 5777,OC 184:3-5
7/4/2017,Tue,10 Tamuz 5777,OC 184:6 - 185:2
7/5/2017,Wed,11 Tamuz 5777,OC 185:3-5
7/6/2017,Thu,12 Tamuz 5777,OC 186:1 - 187:1
7/7/2017,Fri,13 Tamuz 5777,OC 187:2-4
7/8/2017,Shab,14 Tamuz 5777,OC 188:1-3
7/9/2017,Sun,15 Tamuz 5777,OC 188:4-6
7/10/2017,Mon,16 Tamuz 5777,OC 188:7-9
7/11/2017,Tue,17 Tamuz 5777,OC 188:10 - 189:2
7/12/2017,Wed,18 Tamuz 5777,OC 190:1-3
7/13/2017,Thu,19 Tamuz 5777,OC 190:4 - 191:1
7/14/2017,Fri,20 Tamuz 5777,OC 191:2 - 192:1
7/15/2017,Shab,21 Tamuz 5777,OC 192:2 - 193:2
7/16/2017,Sun,22 Tamuz 5777,OC 193:3-5
7/17/2017,Mon,23 Tamuz 5777,OC 193:6 - 194:2
7/18/2017,Tue,24 Tamuz 5777,OC 194:3 - 195:2
7/19/2017,Wed,25 Tamuz 5777,OC 195:3 - 196:2
7/20/2017,Thu,26 Tamuz 5777,OC 196:3 - 197:1
7/21/2017,Fri,27 Tamuz 5777,OC 197:2-4
7/22/2017,Shab,28 Tamuz 5777,OC 198:1 - 199:2
7/23/2017,Sun,29 Tamuz 5777,OC 199:3-5
7/24/2017,Mon,1 Av 5777,OC 199:6-8
7/25/2017,Tue,2 Av 5777,OC 199:9-11
7/26/2017,Wed,3 Av 5777,OC 200:1 - 201:1
7/27/2017,Thu,4 Av 5777,OC 201:2-4
7/28/2017,Fri,5 Av 5777,OC 202:1-3
7/29/2017,Shab,6 Av 5777,OC 202:4-6
7/30/2017,Sun,7 Av 5777,OC 202:7-9
7/31/2017,Mon,8 Av 5777,OC 202:10-12
8/1/2017,Tue,9 Av 5777,OC 202:13-15
8/2/2017,Wed,10 Av 5777,OC 202:16-18
8/3/2017,Thu,11 Av 5777,OC 203:1-3
8/4/2017,Fri,12 Av 5777,OC 203:4-6
8/5/2017,Shab,13 Av 5777,OC 203:7 - 204:1
8/6/2017,Sun,14 Av 5777,OC 204:2-4
8/7/2017,Mon,15 Av 5777,OC 204:5-7
8/8/2017,Tue,16 Av 5777,OC 204:8-10
8/9/2017,Wed,17 Av 5777,OC 204:11-13
8/10/2017,Thu,18 Av 5777,OC 205:1-3
8/11/2017,Fri,19 Av 5777,OC 205:4 - 206:1
8/12/2017,Shab,20 Av 5777,OC 206:2-4
8/13/2017,Sun,21 Av 5777,OC 206:5 - 207:1
8/14/2017,Mon,22 Av 5777,OC 208:1-3
8/15/2017,Tue,23 Av 5777,OC 208:4-6
8/16/2017,Wed,24 Av 5777,OC 208:7-9
8/17/2017,Thu,25 Av 5777,OC 208:10-12
8/18/2017,Fri,26 Av 5777,OC 208:13-15
8/19/2017,Shab,27 Av 5777,OC 208:16-18
8/20/2017,Sun,28 Av 5777,OC 209:1-3
8/21/2017,Mon,29 Av 5777,OC 210:1 - 211:1
8/22/2017,Tue,30 Av 5777,OC 211:2-4
8/23/2017,Wed,1 Elul 5777,OC 211:5 - 212:1
8/24/2017,Thu,2 Elul 5777,OC 212:2 - 213:2
8/25/2017,Fri,3 Elul 5777,OC 213:3 - 215:1
8/26/2017,Shab,4 Elul 5777,OC 215:2-4
8/27/2017,Sun,5 Elul 5777,OC 216:1-3
8/28/2017,Mon,6 Elul 5777,OC 216:4-6
8/29/2017,Tue,7 Elul 5777,OC 216:7-9
8/30/2017,Wed,8 Elul 5777,OC 216:10-12
8/31/2017,Thu,9 Elul 5777,OC 216:13 - 217:1
9/1/2017,Fri,10 Elul 5777,OC 217:2-4
9/2/2017,Shab,11 Elul 5777,OC 217:5-7
9/3/2017,Sun,12 Elul 5777,OC 217:8 - 218:2
9/4/2017,Mon,13 Elul 5777,OC 218:3-5
9/5/2017,Tue,14 Elul 5777,OC 218:6-8
9/6/2017,Wed,15 Elul 5777,OC 218:9 - 219:2
