Week #,Secular Date,Day Of Week,Hebrew Date,Daf,Parsha
85,10/15/2006,Su,תשרי 23 5767,שבת כג,בראשית
86,10/22/2006,Su,תשרי 30 5767,שבת כד,נח
87,10/29/2006,Su,חשון 7 5767,שבת כה,לך לך
88,11/05/2006,Su,חשון 14 5767,שבת כו,וירא
89,11/12/2006,Su,חשון 21 5767,שבת כז,חיי שרה
90,11/19/2006,Su,חשון 28 5767,שבת כח,תולדת
91,11/26/2006,Su,כסלו 5 5767,שבת כט,ויצא
92,12/03/2006,Su,כסלו 12 5767,שבת ל,וישלח
93,12/10/2006,Su,כסלו 19 5767,שבת לא,וישב
94,12/17/2006,Su,כסלו 26 5767,שבת לב,מקץ
95,12/24/2006,Su,טבת 3 5767,שבת לג,ויגש
96,12/31/2006,Su,טבת 10 5767,שבת לד,ויחי
97,01/07/2007,Su,טבת 17 5767,שבת לה,שמות
98,01/14/2007,Su,טבת 24 5767,שבת לו,וארא
99,01/21/2007,Su,שבט 2 5767,שבת לז,בא
100,01/28/2007,Su,שבט 9 5767,שבת לח,בשלח
101,02/04/2007,Su,שבט 16 5767,שבת לט,יתרו
102,02/11/2007,Su,שבט 23 5767,שבת מ,משפטים
103,02/18/2007,Su,שבט 30 5767,שבת מא,תרומה
104,02/25/2007,Su,אדר 7 5767,שבת מב,תצוה
105,03/04/2007,Su,אדר 14 5767,שבת מג,כי תשא
106,03/11/2007,Su,אדר 21 5767,שבת מד,ויקהל-פקודי
107,03/18/2007,Su,אדר 28 5767,שבת מה,ויקרא
108,03/25/2007,Su,ניסן 6 5767,שבת מו,צו
109,04/01/2007,Su,ניסן 13 5767,שבת מז,"חוה""מ פסח"
110,04/08/2007,Su,ניסן 20 5767,שבת מח,שמיני
111,04/15/2007,Su,ניסן 27 5767,שבת מט,תזריע-מצורע
112,04/22/2007,Su,אייר 4 5767,שבת נ,אחרי מות-קדשים
113,04/29/2007,Su,אייר 11 5767,שבת נא,אמור
114,05/06/2007,Su,אייר 18 5767,שבת נב,בהר-בחקתי
115,05/13/2007,Su,אייר 25 5767,שבת נג,במדבר
116,05/20/2007,Su,סיון 3 5767,שבת נד,נשא
117,05/27/2007,Su,סיון 10 5767,שבת נה,בהעלתך
118,06/03/2007,Su,סיון 17 5767,שבת נו,שלח לך
119,06/10/2007,Su,סיון 24 5767,שבת נז,קרח
120,06/17/2007,Su,תמוז 1 5767,שבת נח,חקת
121,06/24/2007,Su,תמוז 8 5767,שבת נט,בלק
122,07/01/2007,Su,תמוז 15 5767,שבת ס,פינחס
123,07/08/2007,Su,תמוז 22 5767,שבת סא,מטות-מסעי
124,07/15/2007,Su,תמוז 29 5767,שבת סב,דברים
125,07/22/2007,Su,אב 7 5767,שבת סג,ואתחנן
126,07/29/2007,Su,אב 14 5767,שבת סד,עקב
127,08/05/2007,Su,אב 21 5767,שבת סה,ראה
128,08/12/2007,Su,אב 28 5767,שבת סו,שופטים
129,08/19/2007,Su,אלול 5 5767,שבת סז,כי תצא
130,08/26/2007,Su,אלול 12 5767,שבת סח,כי תבוא
131,09/02/2007,Su,אלול 19 5767,שבת סט,נצבים-וילך
132,09/09/2007,Su,אלול 26 5767,שבת ע,האזינו
133,09/16/2007,Su,תשרי 4 5768,שבת עא,יום כיפור
134,09/23/2007,Su,תשרי 11 5768,שבת עב,"חוה""מ סוכות"
135,09/30/2007,Su,תשרי 18 5768,שבת עג,בראשית
136,10/07/2007,Su,תשרי 25 5768,שבת עד,נח
137,10/14/2007,Su,חשון 2 5768,שבת עה,לך לך
138,10/21/2007,Su,חשון 9 5768,שבת עו,וירא
139,10/28/2007,Su,חשון 16 5768,שבת עז,חיי שרה
140,11/04/2007,Su,חשון 23 5768,שבת עח,תולדת
141,11/11/2007,Su,כסלו 1 5768,שבת עט,ויצא
142,11/18/2007,Su,כסלו 8 5768,שבת פ,וישלח
143,11/25/2007,Su,כסלו 15 5768,שבת פא,וישב
144,12/02/2007,Su,כסלו 22 5768,שבת פב,מקץ
145,12/09/2007,Su,כסלו 29 5768,שבת פג,ויגש
146,12/16/2007,Su,טבת 7 5768,שבת פד,ויחי
147,12/23/2007,Su,טבת 14 5768,שבת פה,שמות
148,12/30/2007,Su,טבת 21 5768,שבת פו,וארא
149,01/06/2008,Su,טבת 28 5768,שבת פז,בא
150,01/13/2008,Su,שבט 6 5768,שבת פח,בשלח
151,01/20/2008,Su,שבט 13 5768,שבת פט,יתרו
152,01/27/2008,Su,שבט 20 5768,שבת צ,משפטים
153,02/03/2008,Su,שבט 27 5768,שבת צא,תרומה
154,02/10/2008,Su,אדר א 4 5768,שבת צב,תצוה
155,02/17/2008,Su,אדר א 11 5768,שבת צג,כי תשא
156,02/24/2008,Su,אדר א 18 5768,שבת צד,ויקהל
157,03/02/2008,Su,אדר א 25 5768,שבת צה,פקודי
158,03/09/2008,Su,אדר ב 2 5768,שבת צו,ויקרא
159,03/16/2008,Su,אדר ב 9 5768,שבת צז,צו
160,03/23/2008,Su,אדר ב 16 5768,שבת צח,שמיני
161,03/30/2008,Su,אדר ב 23 5768,שבת צט,תזריע
162,04/06/2008,Su,ניסן 1 5768,שבת ק,מצורע
163,04/13/2008,Su,ניסן 8 5768,שבת קא,אחרי מות
164,04/20/2008,Su,ניסן 15 5768,שבת קב,פסח
165,04/27/2008,Su,ניסן 22 5768,שבת קג,קדשים
166,05/04/2008,Su,ניסן 29 5768,שבת קד,אמור
167,05/11/2008,Su,אייר 6 5768,שבת קה,בהר
168,05/18/2008,Su,אייר 13 5768,שבת קו,בחקתי
169,05/25/2008,Su,אייר 20 5768,שבת קז,במדבר
170,06/01/2008,Su,אייר 27 5768,שבת קח,נשא
171,06/08/2008,Su,סיון 5 5768,שבת קט,בהעלתך
172,06/15/2008,Su,סיון 12 5768,שבת קי,שלח לך
173,06/22/2008,Su,סיון 19 5768,שבת קיא,קרח
174,06/29/2008,Su,סיון 26 5768,שבת קיב,חקת
175,07/06/2008,Su,תמוז 3 5768,שבת קיג,בלק
176,07/13/2008,Su,תמוז 10 5768,שבת קיד,פינחס
177,07/20/2008,Su,תמוז 17 5768,שבת קטו,מטות
178,07/27/2008,Su,תמוז 24 5768,שבת קטז,מסעי
179,08/03/2008,Su,אב 2 5768,שבת קיז,דברים
180,08/10/2008,Su,אב 9 5768,שבת קיח,ואתחנן
181,08/17/2008,Su,אב 16 5768,שבת קיט,עקב
182,08/24/2008,Su,אב 23 5768,שבת קכ,ראה
183,08/31/2008,Su,אב 30 5768,שבת קכא,שופטים
184,09/07/2008,Su,אלול 7 5768,שבת קכב,כי תצא
185,09/14/2008,Su,אלול 14 5768,שבת קכג,כי תבוא
186,09/21/2008,Su,אלול 21 5768,שבת קכד,נצבים
187,09/28/2008,Su,אלול 28 5768,שבת קכה,וילך
188,10/05/2008,Su,תשרי 6 5769,שבת קכו,האזינו
189,10/12/2008,Su,תשרי 13 5769,שבת קכז,"חוה""מ סוכות"
190,10/19/2008,Su,תשרי 20 5769,שבת קכח,בראשית
191,10/26/2008,Su,תשרי 27 5769,שבת קכט,נח
192,11/02/2008,Su,חשון 4 5769,שבת קל,לך לך
193,11/09/2008,Su,חשון 11 5769,שבת קלא,וירא
194,11/16/2008,Su,חשון 18 5769,שבת קלב,חיי שרה
195,11/23/2008,Su,חשון 25 5769,שבת קלג,תולדת
196,11/30/2008,Su,כסלו 3 5769,שבת קלד,ויצא
197,12/07/2008,Su,כסלו 10 5769,שבת קלה,וישלח
198,12/14/2008,Su,כסלו 17 5769,שבת קלו,וישב
199,12/21/2008,Su,כסלו 24 5769,שבת קלז,מקץ
200,12/28/2008,Su,טבת 1 5769,שבת קלח,ויגש
201,01/04/2009,Su,טבת 8 5769,שבת קלט,ויחי
202,01/11/2009,Su,טבת 15 5769,שבת קמ,שמות
203,01/18/2009,Su,טבת 22 5769,שבת קמא,וארא
204,01/25/2009,Su,טבת 29 5769,שבת קמב,בא
205,02/01/2009,Su,שבט 7 5769,שבת קמג,בשלח
206,02/08/2009,Su,שבט 14 5769,שבת קמד,יתרו
207,02/15/2009,Su,שבט 21 5769,שבת קמה,משפטים
208,02/22/2009,Su,שבט 28 5769,שבת קמו,תרומה
209,03/01/2009,Su,אדר 5 5769,שבת קמז,תצוה
210,03/08/2009,Su,אדר 12 5769,שבת קמח,כי תשא
211,03/15/2009,Su,אדר 19 5769,שבת קמט,ויקהל-פקודי
212,03/22/2009,Su,אדר 26 5769,שבת קנ,ויקרא
213,03/29/2009,Su,ניסן 4 5769,שבת קנא,צו
214,04/05/2009,Su,ניסן 11 5769,שבת קנב,"חוה""מ פסח"
215,04/12/2009,Su,ניסן 18 5769,שבת קנג,שמיני
216,04/19/2009,Su,ניסן 25 5769,שבת קנד,תזריע-מצורע
217,04/26/2009,Su,אייר 2 5769,שבת קנה,אחרי מות-קדשים
218,05/03/2009,Su,אייר 9 5769,שבת קנו,אמור
219,05/10/2009,Su,אייר 16 5769,שבת קנז,בהר-בחקתי
220,05/17/2009,Su,אייר 23 5769,ערובין ב,במדבר
221,05/24/2009,Su,סיון 1 5769,ערובין ג,שבועות
222,05/31/2009,Su,סיון 8 5769,ערובין ד,נשא
223,06/07/2009,Su,סיון 15 5769,ערובין ה,בהעלתך
224,06/14/2009,Su,סיון 22 5769,ערובין ו,שלח לך
225,06/21/2009,Su,סיון 29 5769,ערובין ז,קרח
226,06/28/2009,Su,תמוז 6 5769,ערובין ח,חקת-בלק
227,07/05/2009,Su,תמוז 13 5769,ערובין ט,פינחס
228,07/12/2009,Su,תמוז 20 5769,ערובין י,מטות-מסעי
229,07/19/2009,Su,תמוז 27 5769,ערובין יא,דברים
230,07/26/2009,Su,אב 5 5769,ערובין יב,ואתחנן
231,08/02/2009,Su,אב 12 5769,ערובין יג,עקב
232,08/09/2009,Su,אב 19 5769,ערובין יד,ראה
233,08/16/2009,Su,אב 26 5769,ערובין טו,שופטים
234,08/23/2009,Su,אלול 3 5769,ערובין טז,כי תצא
235,08/30/2009,Su,אלול 10 5769,ערובין יז,כי תבוא
236,09/06/2009,Su,אלול 17 5769,ערובין יח,נצבים-וילך
237,09/13/2009,Su,אלול 24 5769,ערובין יט,ראש השנה
238,09/20/2009,Su,תשרי 2 5770,ערובין כ,האזינו
239,09/27/2009,Su,תשרי 9 5770,ערובין כא,סוכות
240,10/04/2009,Su,תשרי 16 5770,ערובין כב,שמיני עצרת
241,10/11/2009,Su,תשרי 23 5770,ערובין כג,בראשית
242,10/18/2009,Su,תשרי 30 5770,ערובין כד,נח
243,10/25/2009,Su,חשון 7 5770,ערובין כה,לך לך
244,11/01/2009,Su,חשון 14 5770,ערובין כו,וירא
245,11/08/2009,Su,חשון 21 5770,ערובין כז,חיי שרה
246,11/15/2009,Su,חשון 28 5770,ערובין כח,תולדת
247,11/22/2009,Su,כסלו 5 5770,ערובין כט,ויצא
248,11/29/2009,Su,כסלו 12 5770,ערובין ל,וישלח
249,12/06/2009,Su,כסלו 19 5770,ערובין לא,וישב
250,12/13/2009,Su,כסלו 26 5770,ערובין לב,מקץ
251,12/20/2009,Su,טבת 3 5770,ערובין לג,ויגש
252,12/27/2009,Su,טבת 10 5770,ערובין לד,ויחי
253,01/03/2010,Su,טבת 17 5770,ערובין לה,שמות
254,01/10/2010,Su,טבת 24 5770,ערובין לו,וארא
255,01/17/2010,Su,שבט 2 5770,ערובין לז,בא
256,01/24/2010,Su,שבט 9 5770,ערובין לח,בשלח
257,01/31/2010,Su,שבט 16 5770,ערובין לט,יתרו
258,02/07/2010,Su,שבט 23 5770,ערובין מ,משפטים
259,02/14/2010,Su,שבט 30 5770,ערובין מא,תרומה
260,02/21/2010,Su,אדר 7 5770,ערובין מב,תצוה
261,02/28/2010,Su,אדר 14 5770,ערובין מג,כי תשא
262,03/07/2010,Su,אדר 21 5770,ערובין מד,ויקהל-פקודי
263,03/14/2010,Su,אדר 28 5770,ערובין מה,ויקרא
264,03/21/2010,Su,ניסן 6 5770,ערובין מו,צו
265,03/28/2010,Su,ניסן 13 5770,ערובין מז,"חוה""מ פסח"
266,04/04/2010,Su,ניסן 20 5770,ערובין מח,שמיני
267,04/11/2010,Su,ניסן 27 5770,ערובין מט,תזריע-מצורע
268,04/18/2010,Su,אייר 4 5770,ערובין נ,אחרי מות-קדשים
269,04/25/2010,Su,אייר 11 5770,ערובין נא,אמור
270,05/02/2010,Su,אייר 18 5770,ערובין נב,בהר-בחקתי
271,05/09/2010,Su,אייר 25 5770,ערובין נג,במדבר
272,05/16/2010,Su,סיון 3 5770,ערובין נד,נשא
273,05/23/2010,Su,סיון 10 5770,ערובין נה,בהעלתך
274,05/30/2010,Su,סיון 17 5770,ערובין נו,שלח לך
275,06/06/2010,Su,סיון 24 5770,ערובין נז,קרח
276,06/13/2010,Su,תמוז 1 5770,ערובין נח,חקת
277,06/20/2010,Su,תמוז 8 5770,ערובין נט,בלק
278,06/27/2010,Su,תמוז 15 5770,ערובין ס,פינחס
279,07/04/2010,Su,תמוז 22 5770,ערובין סא,מטות-מסעי
280,07/11/2010,Su,תמוז 29 5770,ערובין סב,דברים
281,07/18/2010,Su,אב 7 5770,ערובין סג,ואתחנן
282,07/25/2010,Su,אב 14 5770,ערובין סד,עקב
283,08/01/2010,Su,אב 21 5770,ערובין סה,ראה
284,08/08/2010,Su,אב 28 5770,ערובין סו,שופטים
285,08/15/2010,Su,אלול 5 5770,ערובין סז,כי תצא
286,08/22/2010,Su,אלול 12 5770,ערובין סח,כי תבוא
287,08/29/2010,Su,אלול 19 5770,ערובין סט,נצבים-וילך
288,09/05/2010,Su,אלול 26 5770,ערובין ע,האזינו
289,09/12/2010,Su,תשרי 4 5771,ערובין עא,יום כיפור
290,09/19/2010,Su,תשרי 11 5771,ערובין עב,"חוה""מ סוכות"
291,09/26/2010,Su,תשרי 18 5771,ערובין עג,בראשית
292,10/03/2010,Su,תשרי 25 5771,ערובין עד,נח
293,10/10/2010,Su,חשון 2 5771,ערובין עה,לך לך
294,10/17/2010,Su,חשון 9 5771,ערובין עו,וירא
295,10/24/2010,Su,חשון 16 5771,ערובין עז,חיי שרה
296,10/31/2010,Su,חשון 23 5771,ערובין עח,תולדת
297,11/07/2010,Su,חשון 30 5771,ערובין עט,ויצא
298,11/14/2010,Su,כסלו 7 5771,ערובין פ,וישלח
299,11/21/2010,Su,כסלו 14 5771,ערובין פא,וישב
300,11/28/2010,Su,כסלו 21 5771,ערובין פב,מקץ
301,12/05/2010,Su,כסלו 28 5771,ערובין פג,ויגש
302,12/12/2010,Su,טבת 5 5771,ערובין פד,ויחי
303,12/19/2010,Su,טבת 12 5771,ערובין פה,שמות
304,12/26/2010,Su,טבת 19 5771,ערובין פו,וארא
305,01/02/2011,Su,טבת 26 5771,ערובין פז,בא
306,01/09/2011,Su,שבט 4 5771,ערובין פח,בשלח
307,01/16/2011,Su,שבט 11 5771,ערובין פט,יתרו
308,01/23/2011,Su,שבט 18 5771,ערובין צ,משפטים
309,01/30/2011,Su,שבט 25 5771,ערובין צא,תרומה
310,02/06/2011,Su,אדר א 2 5771,ערובין צב,תצוה
311,02/13/2011,Su,אדר א 9 5771,ערובין צג,כי תשא
312,02/20/2011,Su,אדר א 16 5771,ערובין צד,ויקהל
313,02/27/2011,Su,אדר א 23 5771,ערובין צה,פקודי
314,03/06/2011,Su,אדר א 30 5771,ערובין צו,ויקרא
315,03/13/2011,Su,אדר ב 7 5771,ערובין צז,צו
316,03/20/2011,Su,אדר ב 14 5771,ערובין צח,שמיני
317,03/27/2011,Su,אדר ב 21 5771,ערובין צט,תזריע
318,04/03/2011,Su,אדר ב 28 5771,ערובין ק,מצורע
319,04/10/2011,Su,ניסן 6 5771,ערובין קא,אחרי מות
320,04/17/2011,Su,ניסן 13 5771,ערובין קב,"חוה""מ פסח"
321,04/24/2011,Su,ניסן 20 5771,ערובין קג,קדשים
322,05/01/2011,Su,ניסן 27 5771,ערובין קד,אמור
323,05/08/2011,Su,אייר 4 5771,ערובין קה,בהר
324,05/15/2011,Su,אייר 11 5771,פסחים ב,בחקתי
325,05/22/2011,Su,אייר 18 5771,פסחים ג,במדבר
326,05/29/2011,Su,אייר 25 5771,פסחים ד,נשא
327,06/05/2011,Su,סיון 3 5771,פסחים ה,בהעלתך
328,06/12/2011,Su,סיון 10 5771,פסחים ו,שלח לך
329,06/19/2011,Su,סיון 17 5771,פסחים ז,קרח
330,06/26/2011,Su,סיון 24 5771,פסחים ח,חקת
331,07/03/2011,Su,תמוז 1 5771,פסחים ט,בלק
332,07/10/2011,Su,תמוז 8 5771,פסחים י,פינחס
333,07/17/2011,Su,תמוז 15 5771,פסחים יא,מטות
334,07/24/2011,Su,תמוז 22 5771,פסחים יב,מסעי
335,07/31/2011,Su,תמוז 29 5771,פסחים יג,דברים
336,08/07/2011,Su,אב 7 5771,פסחים יד,ואתחנן
337,08/14/2011,Su,אב 14 5771,פסחים טו,עקב
338,08/21/2011,Su,אב 21 5771,פסחים טז,ראה
339,08/28/2011,Su,אב 28 5771,פסחים יז,שופטים
340,09/04/2011,Su,אלול 5 5771,פסחים יח,כי תצא
341,09/11/2011,Su,אלול 12 5771,פסחים יט,כי תבוא
342,09/18/2011,Su,אלול 19 5771,פסחים כ,נצבים-וילך
343,09/25/2011,Su,אלול 26 5771,פסחים כא,האזינו
344,10/02/2011,Su,תשרי 4 5772,פסחים כב,יום כיפור
345,10/09/2011,Su,תשרי 11 5772,פסחים כג,"חוה""מ סוכות"
346,10/16/2011,Su,תשרי 18 5772,פסחים כד,בראשית
347,10/23/2011,Su,תשרי 25 5772,פסחים כה,נח
348,10/30/2011,Su,חשון 2 5772,פסחים כו,לך לך
349,11/06/2011,Su,חשון 9 5772,פסחים כז,וירא
350,11/13/2011,Su,חשון 16 5772,פסחים כח,חיי שרה
351,11/20/2011,Su,חשון 23 5772,פסחים כט,תולדת
352,11/27/2011,Su,כסלו 1 5772,פסחים ל,ויצא
353,12/04/2011,Su,כסלו 8 5772,פסחים לא,וישלח
354,12/11/2011,Su,כסלו 15 5772,פסחים לב,וישב
355,12/18/2011,Su,כסלו 22 5772,פסחים לג,מקץ
356,12/25/2011,Su,כסלו 29 5772,פסחים לד,ויגש
357,01/01/2012,Su,טבת 6 5772,פסחים לה,ויחי
358,01/08/2012,Su,טבת 13 5772,פסחים לו,שמות
359,01/15/2012,Su,טבת 20 5772,פסחים לז,וארא
360,01/22/2012,Su,טבת 27 5772,פסחים לח,בא
361,01/29/2012,Su,שבט 5 5772,פסחים לט,בשלח
362,02/05/2012,Su,שבט 12 5772,פסחים מ,יתרו
363,02/12/2012,Su,שבט 19 5772,פסחים מא,משפטים
364,02/19/2012,Su,שבט 26 5772,פסחים מב,תרומה
365,02/26/2012,Su,אדר 3 5772,פסחים מג,תצוה
366,03/04/2012,Su,אדר 10 5772,פסחים מד,כי תשא
367,03/11/2012,Su,אדר 17 5772,פסחים מה,ויקהל-פקודי
368,03/18/2012,Su,אדר 24 5772,פסחים מו,ויקרא
369,03/25/2012,Su,ניסן 2 5772,פסחים מז,צו
370,04/01/2012,Su,ניסן 9 5772,פסחים מח,פסח
371,04/08/2012,Su,ניסן 16 5772,פסחים מט,פסח
372,04/15/2012,Su,ניסן 23 5772,פסחים נ,שמיני
373,04/22/2012,Su,ניסן 30 5772,פסחים נא,תזריע-מצורע
374,04/29/2012,Su,אייר 7 5772,פסחים נב,אחרי מות-קדשים
375,05/06/2012,Su,אייר 14 5772,פסחים נג,אמור
376,05/13/2012,Su,אייר 21 5772,פסחים נד,בהר-בחקתי
377,05/20/2012,Su,אייר 28 5772,פסחים נה,במדבר
378,05/27/2012,Su,סיון 6 5772,פסחים נו,נשא
379,06/03/2012,Su,סיון 13 5772,פסחים נז,בהעלתך
380,06/10/2012,Su,סיון 20 5772,פסחים נח,שלח לך
381,06/17/2012,Su,סיון 27 5772,פסחים נט,קרח
382,06/24/2012,Su,תמוז 4 5772,פסחים ס,חקת
383,07/01/2012,Su,תמוז 11 5772,פסחים סא,בלק
384,07/08/2012,Su,תמוז 18 5772,פסחים סב,פינחס
385,07/15/2012,Su,תמוז 25 5772,פסחים סג,מטות-מסעי
386,07/22/2012,Su,אב 3 5772,פסחים סד,דברים
387,07/29/2012,Su,אב 10 5772,פסחים סה,ואתחנן
388,08/05/2012,Su,אב 17 5772,פסחים סו,עקב
389,08/12/2012,Su,אב 24 5772,פסחים סז,ראה
390,08/19/2012,Su,אלול 1 5772,פסחים סח,שופטים
391,08/26/2012,Su,אלול 8 5772,פסחים סט,כי תצא
392,09/02/2012,Su,אלול 15 5772,פסחים ע,כי תבוא
393,09/09/2012,Su,אלול 22 5772,פסחים עא,נצבים
394,09/16/2012,Su,אלול 29 5772,פסחים עב,וילך
395,09/23/2012,Su,תשרי 7 5773,פסחים עג,האזינו
396,09/30/2012,Su,תשרי 14 5773,פסחים עד,"חוה""מ סוכות"
397,10/07/2012,Su,תשרי 21 5773,פסחים עה,בראשית
398,10/14/2012,Su,תשרי 28 5773,פסחים עו,נח
399,10/21/2012,Su,חשון 5 5773,פסחים עז,לך לך
400,10/28/2012,Su,חשון 12 5773,פסחים עח,וירא
401,11/04/2012,Su,חשון 19 5773,פסחים עט,חיי שרה
402,11/11/2012,Su,חשון 26 5773,פסחים פ,תולדת
403,11/18/2012,Su,כסלו 4 5773,פסחים פא,ויצא
404,11/25/2012,Su,כסלו 11 5773,פסחים פב,וישלח
405,12/02/2012,Su,כסלו 18 5773,פסחים פג,וישב
406,12/09/2012,Su,כסלו 25 5773,פסחים פד,מקץ
407,12/16/2012,Su,טבת 3 5773,פסחים פה,ויגש
408,12/23/2012,Su,טבת 10 5773,פסחים פו,ויחי
409,12/30/2012,Su,טבת 17 5773,פסחים פז,שמות
410,01/06/2013,Su,טבת 24 5773,פסחים פח,וארא
411,01/13/2013,Su,שבט 2 5773,פסחים פט,בא
412,01/20/2013,Su,שבט 9 5773,פסחים צ,בשלח
413,01/27/2013,Su,שבט 16 5773,פסחים צא,יתרו
414,02/03/2013,Su,שבט 23 5773,פסחים צב,משפטים
