OZ location	Talmud Location	DH Text	OZ Full Text	full talmud line
Ohr Zarua, Volume I 550:1<d>	NULL	נקובי אותיות 	נקובי אותיות 	NULL
Ohr Zarua, Volume I 550:2<d>	Menachot 29a:18	ה אמר אשיאן בר נדבך משמי' דרב יהודה	<b>ה </b>אמר אשיאן בר נדבך משמי' דרב יהודה ניקב תוכו של ה' כשר יריכו פסול. פי' תוכו של ה"י דהיינו #אות שבתוך הה"י שניקב הקלף שם. יריכו של ה' שניטל הרגל של אחריו כזה . אמר ר' זירא לדידי מיפרשא לי' מניה דרב יהודה ניקב תוכו של ה"י כשר ואם ניקב יריכו ונשתייר כשיעור אות קטנה כשר ואם לאו פסול: 	אמר אשיאן בר נדבך משמיה דרב יהודה ניקב תוכו של ה"י כשר יריכו פסול א"ר זירא לדידי מפרשה לי מיניה דרב הונא ורבי יעקב אמר לדידי מפרשה לי מיניה דרב יהודה ניקב תוכו של ה"י כשר יריכו אם נשתייר בו כשיעור אות קטנה כשר ואם לאו פסול
Ohr Zarua, Volume I 550:3<d>	Menachot 29b:2	ו רמי בר תמרי דהוא דמי בר דיקולי	<b>ו </b>רמי בר תמרי דהוא דמי בר דיקולי אפסיקא ליה ו' דויהרג בניקבא. פי' דויהרג שבתפלין בפרשת והי' כי יביאך. בניקבא דאתרמי נקב בקלף כנגדה ולא הי' יכול למשוך הוא"ו כל צורכה. דהיינו נקב שאין הדיו עוברת עליו כדפריש' לעיל. אתא לקמיה דר' זירא אמר זיל אייתי ינוקא דלא חכים שאינו יודע לקרות מדעתו ולא טיפש דלא ידע אלא מה דחזי אי קרי ליה ויהרג כשר אי לא יהרג הוא ופסול מיכן יש ללמוד דויהרג חסר ו': 	ראמי בר תמרי דהוא חמוה דרמי בר דיקולי איפסיקא ליה כרעא דוי"ו דויהרג בניקבא אתא לקמיה דרבי זירא א"ל זיל אייתי ינוקא דלא חכים ולא טפש אי קרי ליה ויהרג כשר אי לא יהרג הוא ופסול
Ohr Zarua, Volume I 551:1<d>	NULL	תיקון ד 	תיקון ד 	NULL
Ohr Zarua, Volume I 551:2<d>	NULL	בפ' הבונה מ"ט פשוטה כרעי' דדלי"ת לגבי גימ"ל	<b>בפ' </b>הבונה מ"ט פשוטה כרעי' דדלי"ת לגבי גימ"ל פי' שמשוכה קצת לצד גימל ולא לצד ה"י כזה  ולא כזה : 	NULL
Ohr Zarua, Volume I 552:1<d>	Menachot 17b:10	תיקון קו"ף 	תיקון קו"ף 	לא דכולי עלמא כרת ליכא והכא ג' מחלוקת בדבר ת"ק סבר בהנך פליגי להניח דברי הכל כשר
Ohr Zarua, Volume I 552:2<d>	NULL	מ"ט תגא דקוף לגבי רי"ש כמין זיי"ן שעושין	<b>מ"ט </b>תגא דקוף לגבי רי"ש כמין זיי"ן שעושין בסופו של גג כזה  אמר הקב"ה אם חוזר בו אני קושר לו קשר מ"ט כרעי' דקוף תליא שאינה נדבקת עם גגו כזה  דאי הדר כו' הרי בפ' הקומץ רבה פי' לנו תיקון של יו"ד וה"י וחי"ת ולא פי' ד' וקו"ף ופ' הבונה פי' דל"ת וקו"ף ולא פי' יו"ד וה"י וחי"ת. והיה רוצה לומר מורי הרב רבי' שמחה דבפ' הקומץ לא בא לפר' אלא גגו של חי"ת דאח"ד וי"ה על שם הקדוש בן ד' אותיו'. אבל בפ' הבונה מפרש של כל התורה כולה ולא בעי' (דלית) [דלית] להו לכרעי' דה"א אלא ה"י דשם הקדוש דפרש' שמע וכפופה קוצה של יו"ד אלא ביו"ד שלו אבל יו"ד דכל התורה כולה א"צ כפיפה. אלא שהוקשה לו ששייר בפ' הבונה ב' דמפרש בבראשית רבה דר' אושעיא למה בב' מה ב' יש לו שני עוקצין אחד מלמעלה ואחד מלמטה ושואלין אותו מי בראך והוא מראה לדם בעוקצו שלמעלה ואומר להם זה שלמעלה בראני ומה שמו הוא מראה להם בעוקצו של אחריו ואומר ה' שמו שהוא מראה שאחד ברא בראשית כו' מדהאי שייר שייר נמי להני. ויש לפרש דקאי אחי"ת וה"י ויו"ד של כל התורה כולה. והא דמפרש פ' הכונה בכרעי' דקו"ף מאי דמפרש בהקומץ בכרעי' דה"י אומר מורי הר"ר שמחה דלא קשי' מידי כדאית' בירושלמי דתורות הראשונים לא ה"י שלהם ולא מם שלהם היו סתומים מכלל דשל אחרונים סתומים המחובר כרעי' דה"י אגגו והתם סבירא לן כתורתן של ראשונים. נראה תורתן של ראשונים קודם שבאו צופים: 	NULL
Ohr Zarua, Volume I 553:1<d>	Menachot 45b:24	צריך להזהר שלא לערב האותיות 	צריך להזהר שלא לערב האותיות 	ור"ע מי כתיב קדש יהיו לה' ולכהן לה' לכהן כתיב כדרב הונא דאמר רב הונא קנאו השם ונתנו לכהן:
Ohr Zarua, Volume I 553:2<d>	NULL	אוקמינא הא דתנן אפי' כתב אחר מעכבן דהיינו	<b>אוקמינא </b>הא דתנן אפי' כתב אחר מעכבן דהיינו כדרב יהודה אמר רב דאמר רב יהודה אמר רב כל אות ואות שאין גויל מוקף לה מארבע רוחותיה פסולה. ואמ' במסכ' סופרי' פ"ב מניחין בין שם לשם כדי שיהיו נכרים ובאותיות כדי שלא יהיו מעורבין. בפ"ג ספר שערב בו את האות אל יקרא בו. ואמ' בירוש' בפ"ב דברכות עירב את האותיות אית תניי תני כשר ואית תניי תני פסול. ר' אדא בר שמעון בשם ר' יוחנן מ"ד כשר מלמטה ומ"ד פסול מלמעלה כגון ארצנו ותפארתנו ארצך ותפארתך צריכה. ופי' מורי הר"ר שמחה מפני שצריך להאריך כרעי' דכף פשוטה למטה מכרעי' דתי"ו וצד"י ומפסיק וחותך כרעי' דכף וצד"י כזה  והדבר ידוע וניכר שהם שני תיבות. אבל ארצנו ותפארתנו אינו מפסיק וחותך האות לשנים כזה  ואין ידוע ויש לטעות באות שדומה קצת. צריכה. פי' צריך לשאול כמו תיק"ו ודייק מיכן דאין להרחיק הוא"ו מן הנו"ן כזה  אלא יש לכתוב בתוך הנון כזה נו: 	NULL
Ohr Zarua, Volume I 554:1<d>	Menachot 29b:6	שעטנ"ז ג"ץ 	שעטנ"ז ג"ץ 	אמר רבא שבעה אותיות צריכות שלשה זיונין ואלו הן שעטנ"ז ג"ץ אמר רב אשי חזינא להו לספרי דווקני דבי רב דחטרי להו לגגיה דחי"ת ותלו ליה לכרעיה דה"י
Ohr Zarua, Volume I 554:2<d>	NULL	בפרק הקומץ אמר רבא שבע אותיו' צריכו' (שלש')	<b>בפרק </b>הקומץ אמר רבא שבע אותיו' צריכו' (שלש') שלשה זיונין שעטנ"ז ג"ץ שיש לו זיי"ן תגי מכל צד ונראה כזיי"ן מכל רוח ולא אמרו אלא בראש האחרון של שי"ן ושל ע' וראש האחרון של ט' ושל נ' ושל ז' ושל ג' וראש האחרון של צדי לפי שאותן ראשין הן שוין למעלה אין נמשכין כל דהו באלכסון לפיכך אין נכתבין לעולם כדי שיהיו בשלשה זיינין. ולהכי נקיט להו בהא סידורא ולא כמש"כ באל"ף בי"ת ג' ברישא והדר ז' והדר ט' משום דסידורא דמזוזה נקט דהכי כתיבי במזוזה ש' ועי"ן דשמ"ע וט' דטוטפות ונ' דעינ"ך כו' עכ"ל. ופר"ת שאם לא זיין פסול דלא גרע מקוצו של יו"ד וראי' קצת דאמר בהבונה הא דבעי זיוני פטור הא דלא בעי זיוני חייב. וכתב בשימושא רבה דתפלין שעטנ"ז ג"ץ ש"ע דשמע ט' דלטטפת כו'. משמע שבשאר שעטנ"ז ג"ץ לא צריך וכתב (כת') [ר"ת] דשקר הוא וכן מצא בסידור אחר דכולהו שעטנ"ז ג"צ צריך שלשה זיונין הן פשוטות הן כפופות. וציוד הזייני"ן שהם התגים יש מפרשים ג' זיונים השנים לצד השמאל אחד מלמעלה ואחד מלמטה וא' לצד ימין כזה  אבל הרב רבינו שמשון זצ"ל כתב שבפירושי שבת כ"י רש"י זצ"ל צייר אחד מימין וא' משמאל ואחד מלמעלה כזה שעטנזגץ עוד פי' שם שיש עושין שלשתן למעלה כזה שעטנזגץ: 	NULL
Ohr Zarua, Volume I 555:1<d>	Menachot 30a:7	ספר 	ספר 	אמר לו ר"ש אפשר ס"ת חסר אות אחת וכתיב (דברים לא, כו) לקוח את ספר התורה הזה ושמתם אותו וגו'
Ohr Zarua, Volume I 555:2<d>	NULL	תנא במכילת' ומייתי לה רפ"ק דנזיר זה אלי	<b>תנא </b>במכילת' ומייתי לה רפ"ק דנזיר זה אלי ואנוהו התנאה לפניו במצות תפלין נאים מזוזה נאה ס"ת נאה בקלפים נאים ובדיו נאה בקולמוס נאה ובלבלר נאה. בפ' השולח בגיטין תני ר' חיננא ברי' דרבא מפשרניא ס"ת תפלין ומזוזות שכתבן מין ומסור עכו"ם ועבד אשה וקטן וכותי וישראל מומר פסולין שנא' וקשרתם וכתבתם כל שישנו בקשירה ישנו בכתיב' וכל שאינו בקשירה אינו בכתיבה. וכתב בפר"ה ואוקימנ' הא דתני ס"ת שכתבו [עכו"ם] יגנז כר"ח ברי' דרבא מפשרניא וכיון דאוקמ' רב נחמן כוותי' ואוקמינא סתמא כוותי' כוותי' עבדינן. והא דתניא התם ס"ת שכתבו עכו"ם קורין בו אוקמה רב אשי בגר שחזר לסורו מחמת יראה דאמרי' דלבו לשמים. ותניא במס' סופרים אינו רשאי לכתוב אא"כ יודע לקרות. ותו פסיל התם ס"ת שכתבו גר או ממזר. ומורי הרב רבינו שמחה כתב דל"ג ממזר משום דקתני התם זה הכלל כל המוציא את הרבים ידי חובתן כותבו וממזר מוציא את הרבים ידי חובתן. ואיני יודע מאין לו שהוא מוציא את אחרים ידי חובתן דהא מההיא דמס' סופרים איכא למילף שאינו מוציא אי מדאורייתא אי מדרבנן. ואני ראיתי כתוב דממזר ה"ט דפסול שכשיגיע לפסוק לא יבוא ממזר בקהל ה' נחפז ואינו כותב אזכרה לשמה. ואפי' אמר נתכוונתי אנן סהדי שלא נתכוין. והיינו טעמא [דגר] דגר דקתני במס' סופרים היינו גר תושב אוכל נבילות לתיאבון וכשיבוא לכתוב לא תאכלו כל נבילה לגר אשר בשעריך תתננה וגו' עד כי עם קדוש אתה לה' אלהיך ההוא נמי אינו כותב אזכרה זו לשמה. והא דתניא דקטן שכתב תפלין פסולין היינו אע"פ שהגיע לחינוך דליתיה בקשירה מדאורייתא אא"כ הוא בן י"ג שנה ויום אחד. וההיא דרפ"ק דערכין דתניא דכל חייבין בתפילין ואמרי' לאתויי קטן היודע לשמור תפלין כדתניא קטן היודע לשמור תפליו אביו לוקח לו תפלין ההיא פרש"י ס"פ לולב הגזול דהיינו לחנכו מדבריהם. ופי' נמי התם לשמור תפליו היינו שלא יכנס בהם לביהכ"ס דחינוך שמחנכים קטן למצות מדרבנן הוא כדאמ' בפ' מי שאמר הריני נזיר גמ' האיש מדיר את בנו בנזיר קסבר הקפת כל הראש מדרבנן וחינוך דרבנן ודחי הקפת כל הראש דרבנן. ובפ' יוה"כ גמ' תינוקת אין מענין א"ר הונא בן שמנה בן תשעה מחנכין אותו לשעות בן עשר בן אחת עשרה [משלימין] מדרבנן בן שתים עשרה מדאורייתא. ורב נחמן אמר בן תשעה בן עשר מחנכין אותו לשעות בן אחת עשרה בן שתים עשרה משלימין מדרבנן. בן שלש עשרה משלימין מדאורייתא בתינוק לכ"ע חינוך דרבנן. כתב מורי הר"י החסיד זצוק"ל שכל טוב לכל עושיהם וסמוך לו במצותיו חפץ מאוד. בתיקון נאה משום ואנוהו במצות מבחוץ למראית העין כש"כ מבפנים שהרי ביהמ"ק מבפנים שנאמר ויצפהו מפנימה זהב טהור. לכך אם יכתוב כתיבה דקה אינה יפה ונמחק מהרה הרי בשביל כבודו שיהיו קטנים. יותר טוב שימעט כבודו וירבה כבוד שמים לכתוב קצת כתיבה עבה ואינו רשאי לכתוב תפלין ומזוזות כשהוא מתנמנם שהרי לא יכתוב לשמה. ועוד כתב כשיכתוב תפלין אל יכתוב השמות עד שיבדוק שכבר הכל כהלכה שאם יכתוב השם ויטעה יבוא השם לידי גניזה. וכשיכתוב תפלין צריך שיכתוב לשם תפלין כדפרישת לעיל דאפי' העור צריך עיבוד לשמה בש"כ גוף התפלין דבעינן שתהא כתיבה לשמה. ותו דילפינן מזוזות כתיבה כתיבה מספר ותפלין הוקשו למזוזה פרק קמא דקידושין: 	NULL
Ohr Zarua, Volume I 556:1<d>	NULL	כתיבת השם 	כתיבת השם 	NULL
Ohr Zarua, Volume I 556:2<d>	NULL	בפ' הקומץ רבה הטועה בשם גורר את מה	<b>בפ' </b>הקומץ רבה הטועה בשם גורר את מה שכתב ותולה את מה שגרר וכותב את השם על מקום הגרר. דברי ר' יהודה. פי' הטועה בשם שחסרו ולא כתבו. כגון שהי' לו לכתוב וידבר ה' אל משה לאמר ושכח ולא הטיל בו את השם. גורר את מה שכתב כגון וידבר וכותב את השם בתוך השיטה במקום שגרר לוידבר ותולה את וידבר שגרר בין השיטין. ר' יוסי אומר אף תולין את השם. ר' יצחק אמר אף מוחק וכותב. פי' את אמרת גורר. הא משמע דאין יכול לכתוב את השם אלא במקום הגרר. אבל לא במקום שנמחק. אנא אמינא אף מוחק לוידבר במים או בשום דבר וכותב את השם במקום המחק. ר' שמעון שזורי אומר כל השם כולו תולין מקצתו אין תולין. ר' שמעון בן אלעזר אומר משום ר' מאיר אין כותבין את השם לא על מקום הגרר ולא על מקום המחק ואין תולין אותו. כיצד הוא עושה מסלק את היריעה וגונזה. איתמר אמר רב חננאל אמר רב הלכה תולין את השם. רבב"ח אמר רב יצחק בר שמואל בר מרתא הלכה מוחק וכותב. ועתה אי גרסי' במלתי' דר' יוסי אף תולין את השם משמע כש"כ גורר. א"כ בין לרב חננאל בין לרבב"ח אית להו לדר' יהודה דהא גורר עדיף מתולין ותולין עדיף ממוחק. אלא בהא פליגי דלרב חננאל דוקא תולין אבל לא מוחק ולרבב"ח מוחק וכש"כ תולין. וכל שכן גורר. מיהו רבינו תם פי' דל"ג אף תולין ותולה עדיף מכולהו לר' יוסי ומאן דפסק הלכתא תולין סובר דוקא תולין ולא מוחק וגורר וכותב. וכן פוסק ר"ת הלכה. מיהו בירושל' פ"ק דמגילה מוכח דר' יצחק קאי אדר' יהודה ולא אדר' יוסי. ומשמע דתולה גרע ממוחק. מיהו אגמרא דידן סמכינן. שהרבה דברים משנה מגמר' דידן. דהא בגמ' דידן אתמר רב חננאל אמר רב הלכה תולין. ובירוש' פ"ק דמגילה ר' זעירא רב חננאל בשם רב הלכה כמי שאומר מוחק את החול וכותב את השם ותולה את החול. ותו בגמ' דידן ר' יהודה אומר גורר ור' מאיר מצריך גניזה לכל #היריעות. ובמס' סופרים פ"ה הכותב את השם וטעה. אות אחת יתלנו למעלה ר' שמעון שזורי כו' טעה כל השם יתלנו בין השיטין דברי ר' יהודה רמ"א מוחק משלפניו וכותב את השם וחוזר וכותב כל מה שמחק. הרי החליף דברי ר' מאיר. על כן לא סמכינן אלא אגמרא דידן וכדפסק ר"ת כר' יוסי. דדוקא תולין אבל לא מוחק ולא גורר. ירושלמי פ"ק דמגילה ר' זעירא רב חננאל בשם רב הלכה כמי שאומר מוחק את החול וכותב את השם ותולה את החול. פי' אבל השם אין תולין. ר' זעירא רב חננאל בשם רב אם הי' כגון אני ה' אלקיכם מותר. פי' לתלות. למה מפני שהן שלש תיבות או מפני שיש בהן חול. מה נפיק מביניהון אל אלהים ה' (מן דמר) [אין תימר] שהן שלש תיבות הרי הן שלש תיבות. פי' ומותר לתלות. אין תימר מפני שיש בהן חול. הרי אין בהן חול פי' ואסור לתלות. ל"יי צריכה. ב"יי צריכה. פי' צריך לשאול אם חשובין בשני תיבות. ונפקא מינה שאם דילג והאמין בה'. שאם תחשוב בשתי תיבות. הרי מותר לתלות. שיש כאן שלש תיבות. ויש בהם חול. בפ"ב דגיטין ובפ' הנזקין ופ' הבונה תניא הרי שהי' צריך לכתוב את השם ונתכוין לכתוב יהודה וטעה ולא הטיל בו דל"ת מעביר עליו קולמוס ומקדשו דברי ר' יהודה וחכמים אומרים אין השם מן המובחר. פרש"י מעביר עליו קולמוס לבלר לכוונת שם על כל אותיותיו כאלו הוא כותבו. פי' דכתב ע"ג כתב הוי כתב. וחכ"א אין השם מן המובחר. אי משום דכתב ע"ג כתב לא הוי כתב. אי משום דבעי' זה אלי ואנוהו כדאי' בפ"ב דגיטין. הלכך מעכבו לזה השם וכותב שם אחר. ובמסכ' סופרים איכא שלש מחלוקת בדבר. דתניא התם דכותב שני שמות של קודש מקיים את הראשון ומעכב את האחרון. ר' יהודה אומר אם הי' האחרון בראש הדף מעכב את הראשון. שני שמות של חול מקיים את הראשון ומוחק את האחרון. ר' יהודה אומר אם הי' האחרון בראש הדף מוחק את הראשון ומקיים האחרון. הכותב יהודה ולא נתן בו דל"ת יתלנו למעלה. את השם וגתב יהודה. עושה ד' ה'. ומוחק אחרון. הי' צריך לכתוב יהודה ונתכוין וכתב את השם אע"פ שלא כתב בו דל"ת מעכבו וכותב יהודה אחר. הי' צריך לכתוב את השם ונתכוין לכתוב יהודה ולא נתן בו דל"ת מוחקו וכותב את השם. ר' יהודה אומר יחזיר עליו קולמוס ויקדשנו. אמרו לו אין זה מן המובחר. וכן היא הגירסא בירושל' בפ' הבונה. ומיהו אין הלכה כת"ק דר' יהודה. חדא שלא הוזכר בתלמוד שלנו. ותו דפריש' לעיל דקיי"ל דאין כותבין על המחק. אלא הלכה כחכמים דאמרו אין השם מן המובחר. ומעכבו וכותב אחר. ואפי' ר' יהודה לא קאמר דמעביר עליו קולמוס ומקדשו אלא דוקא בשם אחד. אבל בכל השמות לא. משום דמחזי הספר כמנומר. וסוגיא דפ"ב דגיטין ודהבונה סתרי אהדדי. וצריך לפרש: 	NULL
Ohr Zarua, Volume I 557:1<d>	NULL	תיקון הבתים 	תיקון הבתים 	NULL
Ohr Zarua, Volume I 557:2<d>	NULL	בפ' הקומץ רבה ת"ר לטטפת לטטפת לטוטפת הרי	<b>בפ' </b>הקומץ רבה ת"ר לטטפת לטטפת לטוטפת הרי כאן ארבע דברי ר' ישמעאל. פי' מיכן לד' בתים של תפלין. ר' עקיבה אומר אינו צריך ט"ט בכתפי שתים פת באפריקי שתים. ומסקנא דשמעתא שכותב ארבע פרשיות על ארבעה חתיכות ומניחן בארבעה בתים העשויות מעור אחד שלוקחין עור אחד של שליל ומניחין אותו בדפוס. שהוא כעין ד' אצבעות ומניחין אותו לייבש. ואח"כ שולפין הדפוס. (ודוחה) [ונעשה] העור לארבע בתים. אבל אינו משים אותם בארבע בתים העשוים מארבע עורות כל בית בפ"ע משום דכתיב לזכרון בין עיניך. זכרון אחד אמרתי ולא שנים ושלשה זכרונות. וגם אינו יכול להשים כל ד' פרשיות בבית אחד דבעינן ד' בתים כדפריש'. ואם כתבן על עור אחד והניחן בד' (שנים) [בתים] יצא. וצריך שיהא ריוח ביניהן דברי ר' וחכמים אומרי' אינו צריך. פי' רבינו אליקים וצריך שיהא חלק ריוח בין הפרשיות כשהוא כותבן בעור אחד כדי שיהא יכול לקפל כל אחת בפני עצמה. ומורי הרב רבינו שמחה לא מסתבר לי' האי פירוש' דהא לא פליגי רבנן. דפשיטא שצריך ריוח בין הפרשיות שתהא כל פרשה מקופלת בבית שלו. ותו ושוין אהיכא קאי. דהא ושוין אבתים קאי ולא אריוח שבין הפרשיות. אלא פי' וצריך שיהא ריוח קצת בין בית לבית. וחכמי' אומרי' א"צ וכחכמים קיי"ל דאין הלכה כרבי מחביריו. ושוין שנותנין חוט או משיחה בין כל אחת ואחת. פי' ושוין שכשמניחין בד' בתים שצריך ליתן חוט או משיחה בין כל בית ובית משום הפרש ותוכף החוט או המשיחה בעור שתחת הבתים. ואם אין חריצן ניכר היינו הפסק שבין הבתים שהוא כעין חריץ לבית עצמו קרוי חריץ. וי"מ הא דקתני ושוין שנותן חוט או משיחה היינו דוקא בכתובים בעור אחד. אבל בד' עורות לא. ויש שעושין אפי' בכתובים בד' עורות: 	NULL
Ohr Zarua, Volume I 558:1<d>	NULL	פרשיות של תפלין וסדריהן 	פרשיות של תפלין וסדריהן 	NULL
