נכון_לתאריך,2017-11-01 22:57:45
טבלה,סמל_ישוב,שם_ישוב,סמל_רחוב,שם_רחוב
טבלת רחובות ,472  ,אבו גוש             ,103  ,השיכון
טבלת רחובות ,472  ,אבו גוש             ,152  ,השקדים
טבלת רחובות ,472  ,אבו גוש             ,133  ,התאנים
טבלת רחובות ,472  ,אבו גוש             ,126  ,התות
טבלת רחובות ,472  ,אבו גוש             ,104  ,התמר
טבלת רחובות ,472  ,אבו גוש             ,160  ,חאג' עותמאן
טבלת רחובות ,472  ,אבו גוש             ,125  ,חג' מוסא
טבלת רחובות ,472  ,אבו גוש             ,113  ,יסמין
טבלת רחובות ,472  ,אבו גוש             ,107  ,מחמוד רשיד
טבלת רחובות ,472  ,אבו גוש             ,110  ,מרכז הכפר
טבלת רחובות ,472  ,אבו גוש             ,128  ,נוטרדאם
טבלת רחובות ,472  ,אבו גוש             ,122  ,נטאף
טבלת רחובות ,472  ,אבו גוש             ,121  ,עבדאל עזיז
טבלת רחובות ,472  ,אבו גוש             ,131  ,עבדאל רחמן
טבלת רחובות ,472  ,אבו גוש             ,155  ,עמאוס
טבלת רחובות ,472  ,אבו גוש             ,141  ,ענבר
טבלת רחובות ,472  ,אבו גוש             ,143  ,ציפורן
טבלת רחובות ,472  ,אבו גוש             ,120  ,שייח איסמעיל
טבלת רחובות ,473  ,אבו סנאן            ,9000 ,אבו סנאן
טבלת רחובות ,473  ,אבו סנאן            ,6733 ,אבו-אלחסן
טבלת רחובות ,473  ,אבו סנאן            ,6719 ,אזור תעשייה
טבלת רחובות ,473  ,אבו סנאן            ,6723 ,אל שוקפאן
טבלת רחובות ,473  ,אבו סנאן            ,6720 ,אלג'ורה
טבלת רחובות ,473  ,אבו סנאן            ,6731 ,אלהדאפה
טבלת רחובות ,473  ,אבו סנאן            ,6718 ,אלחלקאת
טבלת רחובות ,473  ,אבו סנאן            ,6711 ,אלחרוב ש חייל החדשה
טבלת רחובות ,473  ,אבו סנאן            ,6701 ,אלחרוב ש חייל הישנה
טבלת רחובות ,473  ,אבו סנאן            ,6715 ,אלמלה
טבלת רחובות ,473  ,אבו סנאן            ,6724 ,אלמפצלה
טבלת רחובות ,473  ,אבו סנאן            ,6732 ,אלע'וזה
טבלת רחובות ,473  ,אבו סנאן            ,6712 ,אלעקבה
טבלת רחובות ,473  ,אבו סנאן            ,6721 ,הואדי
טבלת רחובות ,473  ,אבו סנאן            ,6713 ,השכונה הדרומית
טבלת רחובות ,473  ,אבו סנאן            ,6725 ,כרם אלרג'ומה
טבלת רחובות ,473  ,אבו סנאן            ,6710 ,מרכז הכפר
טבלת רחובות ,473  ,אבו סנאן            ,6716 ,עמדאן סעד
טבלת רחובות ,473  ,אבו סנאן            ,6722 ,עשואן
טבלת רחובות ,473  ,אבו סנאן            ,6717 ,קריית החינוך
טבלת רחובות ,473  ,אבו סנאן            ,6714 ,ראס אלכרם
טבלת רחובות ,473  ,אבו סנאן            ,6702 ,שכ הכנסייה
טבלת רחובות ,473  ,אבו סנאן            ,6730 ,שכונת המסגד
טבלת רחובות ,473  ,אבו סנאן            ,6726 ,שכונת השוק
טבלת רחובות ,935  ,אבו סריחאן )שבט(    ,9000 ,אבו סריחאן )שבט(
טבלת רחובות ,958  ,אבו עבדון )שבט(     ,9000 ,אבו עבדון )שבט(
טבלת רחובות ,1042 ,אבו עמאר )שבט(      ,9000 ,אבו עמאר )שבט(
טבלת רחובות ,932  ,אבו עמרה )שבט(      ,9000 ,אבו עמרה )שבט(
טבלת רחובות ,968  ,אבו קורינאת )שבט(   ,9000 ,אבו קורינאת )שבט(
טבלת רחובות ,1342 ,אבו קרינאת )יישוב(  ,9000 ,אבו קרינאת )יישוב(
טבלת רחובות ,966  ,אבו רובייעה )שבט(   ,9000 ,אבו רובייעה )שבט(
טבלת רחובות ,966  ,אבו רובייעה )שבט(   ,102  ,אל קרעאן
טבלת רחובות ,961  ,אבו רוקייק )שבט(    ,103  ,אבו כף
טבלת רחובות ,961  ,אבו רוקייק )שבט(    ,106  ,אבו סבית
טבלת רחובות ,961  ,אבו רוקייק )שבט(    ,9000 ,אבו רוקייק )שבט(
טבלת רחובות ,961  ,אבו רוקייק )שבט(    ,107  ,טרשאן
טבלת רחובות ,1375 ,אבו תלול            ,9000 ,אבו תלול
טבלת רחובות ,652  ,אבטין               ,9000 ,אבטין
טבלת רחובות ,1275 ,אבטליון             ,9000 ,אבטליון
טבלת רחובות ,679  ,אביאל               ,9000 ,אביאל
טבלת רחובות ,1115 ,אביבים              ,9000 ,אביבים
טבלת רחובות ,819  ,אביגדור             ,9000 ,אביגדור
טבלת רחובות ,175  ,אביחיל              ,9000 ,אביחיל
טבלת רחובות ,175  ,אביחיל              ,110  ,בן צבי
טבלת רחובות ,175  ,אביחיל              ,120  ,דרך הים
טבלת רחובות ,175  ,אביחיל              ,121  ,דרך פרחים
טבלת רחובות ,175  ,אביחיל              ,101  ,הבנים
טבלת רחובות ,175  ,אביחיל              ,102  ,הגדוד העברי
טבלת רחובות ,175  ,אביחיל              ,114  ,הדקל
טבלת רחובות ,175  ,אביחיל              ,103  ,ההגנה
טבלת רחובות ,175  ,אביחיל              ,113  ,ההדרים
טבלת רחובות ,175  ,אביחיל              ,122  ,החורשה
טבלת רחובות ,175  ,אביחיל              ,117  ,הלח"י
טבלת רחובות ,175  ,אביחיל              ,104  ,העצמאות
טבלת רחובות ,175  ,אביחיל              ,105  ,הפלמ"ח
טבלת רחובות ,175  ,אביחיל              ,118  ,הפרדס
טבלת רחובות ,175  ,אביחיל              ,123  ,הצבעוני
טבלת רחובות ,175  ,אביחיל              ,119  ,הרותם
טבלת רחובות ,175  ,אביחיל              ,106  ,השומר
טבלת רחובות ,175  ,אביחיל              ,112  ,לוחמי גליפולי
טבלת רחובות ,175  ,אביחיל              ,107  ,נהגי הפרדות
טבלת רחובות ,175  ,אביחיל              ,111  ,עין העובד
טבלת רחובות ,175  ,אביחיל              ,108  ,צה"ל
טבלת רחובות ,175  ,אביחיל              ,115  ,שד בן גוריון
טבלת רחובות ,175  ,אביחיל              ,116  ,שוורצברד
טבלת רחובות ,175  ,אביחיל              ,109  ,תל חי
טבלת רחובות ,2052 ,אביטל               ,9000 ,אביטל
טבלת רחובות ,1070 ,אביעזר              ,9000 ,אביעזר
טבלת רחובות ,1220 ,אבירים              ,9000 ,אבירים
טבלת רחובות ,182  ,אבן יהודה           ,206  ,אביבית
טבלת רחובות ,182  ,אבן יהודה           ,9000 ,אבן יהודה
טבלת רחובות ,182  ,אבן יהודה           ,207  ,אגמון
טבלת רחובות ,182  ,אבן יהודה           ,104  ,אדם
טבלת רחובות ,182  ,אבן יהודה           ,109  ,אדמונית
טבלת רחובות ,182  ,אבן יהודה           ,117  ,אהבת ציון
טבלת רחובות ,182  ,אבן יהודה           ,6517 ,אזור תעשייה
טבלת רחובות ,182  ,אבן יהודה           ,310  ,אחוזת מישרים
טבלת רחובות ,182  ,אבן יהודה           ,131  ,אילת השחר
טבלת רחובות ,182  ,אבן יהודה           ,208  ,אירוס הארגמן
טבלת רחובות ,182  ,אבן יהודה           ,373  ,אלמוגן
טבלת רחובות ,182  ,אבן יהודה           ,209  ,אמנון ותמר
טבלת רחובות ,182  ,אבן יהודה           ,169  ,אנפה
טבלת רחובות ,182  ,אבן יהודה           ,130  ,אסותא
טבלת רחובות ,182  ,אבן יהודה           ,379  ,ארז
טבלת רחובות ,182  ,אבן יהודה           ,190  ,אשל
טבלת רחובות ,182  ,אבן יהודה           ,125  ,באר גנים
טבלת רחובות ,182  ,אבן יהודה           ,315  ,בושמת
טבלת רחובות ,182  ,אבן יהודה           ,158  ,בית השואבה
טבלת רחובות ,182  ,אבן יהודה           ,133  ,בני בנימין
טבלת רחובות ,182  ,אבן יהודה           ,210  ,ברקן
טבלת רחובות ,182  ,אבן יהודה           ,211  ,גבעונית
טבלת רחובות ,182  ,אבן יהודה           ,6516 ,גבעת רימון
טבלת רחובות ,182  ,אבן יהודה           ,312  ,דגן
טבלת רחובות ,182  ,אבן יהודה           ,213  ,דודאים
טבלת רחובות ,182  ,אבן יהודה           ,214  ,דולב
טבלת רחובות ,182  ,אבן יהודה           ,248  ,דן
טבלת רחובות ,182  ,אבן יהודה           ,246  ,דניאל
טבלת רחובות ,182  ,אבן יהודה           ,186  ,דפנה
טבלת רחובות ,182  ,אבן יהודה           ,380  ,דרור
טבלת רחובות ,182  ,אבן יהודה           ,170  ,דרך בין השדות
טבלת רחובות ,182  ,אבן יהודה           ,215  ,דרך רבין
טבלת רחובות ,182  ,אבן יהודה           ,205  ,האגוז
טבלת רחובות ,182  ,אבן יהודה           ,216  ,האגס
טבלת רחובות ,182  ,אבן יהודה           ,217  ,האודם
טבלת רחובות ,182  ,אבן יהודה           ,218  ,האוכמניות
טבלת רחובות ,182  ,אבן יהודה           ,151  ,האורן
טבלת רחובות ,182  ,אבן יהודה           ,305  ,האיזמרגד
טבלת רחובות ,182  ,אבן יהודה           ,107  ,האילנות
טבלת רחובות ,182  ,אבן יהודה           ,303  ,האירוסים
טבלת רחובות ,182  ,אבן יהודה           ,124  ,האלה
טבלת רחובות ,182  ,אבן יהודה           ,106  ,האלון
טבלת רחובות ,182  ,אבן יהודה           ,219  ,האתרוג
טבלת רחובות ,182  ,אבן יהודה           ,150  ,הבאר
טבלת רחובות ,182  ,אבן יהודה           ,108  ,הבנים
טבלת רחובות ,182  ,אבן יהודה           ,153  ,הברוש
טבלת רחובות ,182  ,אבן יהודה           ,152  ,הגבעה
טבלת רחובות ,182  ,אבן יהודה           ,184  ,הגולן
טבלת רחובות ,182  ,אבן יהודה           ,161  ,הגליל
טבלת רחובות ,182  ,אבן יהודה           ,178  ,הגפן
טבלת רחובות ,182  ,אבן יהודה           ,171  ,הגת
טבלת רחובות ,182  ,אבן יהודה           ,204  ,הדובדבן
טבלת רחובות ,182  ,אבן יהודה           ,220  ,הדליות
טבלת רחובות ,182  ,אבן יהודה           ,102  ,הדס
טבלת רחובות ,182  ,אבן יהודה           ,181  ,הדקל
טבלת רחובות ,182  ,אבן יהודה           ,137  ,ההדרים
טבלת רחובות ,182  ,אבן יהודה           ,127  ,ההסתדרות
טבלת רחובות ,182  ,אבן יהודה           ,176  ,ההרדופים
טבלת רחובות ,182  ,אבן יהודה           ,221  ,הורד
טבלת רחובות ,182  ,אבן יהודה           ,185  ,הורדים
טבלת רחובות ,182  ,אבן יהודה           ,113  ,הזית
טבלת רחובות ,182  ,אבן יהודה           ,191  ,החרוב
טבלת רחובות ,182  ,אבן יהודה           ,179  ,היבולים
טבלת רחובות ,182  ,אבן יהודה           ,377  ,היונה
טבלת רחובות ,182  ,אבן יהודה           ,260  ,היצירה
טבלת רחובות ,182  ,אבן יהודה           ,148  ,הלוחמים
טבלת רחובות ,182  ,אבן יהודה           ,118  ,המחתרת
טבלת רחובות ,182  ,אבן יהודה           ,132  ,המיסדים
טבלת רחובות ,182  ,אבן יהודה           ,147  ,המעפילים
טבלת רחובות ,182  ,אבן יהודה           ,136  ,המתמיד
טבלת רחובות ,182  ,אבן יהודה           ,143  ,הנגב
טבלת רחובות ,182  ,אבן יהודה           ,135  ,הנוטע
טבלת רחובות ,182  ,אבן יהודה           ,120  ,הנוטר
טבלת רחובות ,182  ,אבן יהודה           ,101  ,הנופר
טבלת רחובות ,182  ,אבן יהודה           ,192  ,הנורית
טבלת רחובות ,182  ,אבן יהודה           ,183  ,הנרקיסים
טבלת רחובות ,182  ,אבן יהודה           ,245  ,הסוף
טבלת רחובות ,182  ,אבן יהודה           ,222  ,הסחלב
טבלת רחובות ,182  ,אבן יהודה           ,110  ,הסייפן
טבלת רחובות ,182  ,אבן יהודה           ,223  ,העירית
טבלת רחובות ,182  ,אבן יהודה           ,114  ,העצמאות
טבלת רחובות ,182  ,אבן יהודה           ,302  ,הערבה
טבלת רחובות ,182  ,אבן יהודה           ,224  ,הפטל
טבלת רחובות ,182  ,אבן יהודה           ,141  ,הפלמ"ח
טבלת רחובות ,182  ,אבן יהודה           ,225  ,הפרגים
טבלת רחובות ,182  ,אבן יהודה           ,304  ,הצאלון
טבלת רחובות ,182  ,אבן יהודה           ,128  ,הקשת
טבלת רחובות ,182  ,אבן יהודה           ,251  ,הרותם
טבלת רחובות ,182  ,אבן יהודה           ,180  ,הרימונים
טבלת רחובות ,182  ,אבן יהודה           ,182  ,הרקפות
טבלת רחובות ,182  ,אבן יהודה           ,140  ,השומר
טבלת רחובות ,182  ,אבן יהודה           ,149  ,השומרון
טבלת רחובות ,182  ,אבן יהודה           ,243  ,השושן
טבלת רחובות ,182  ,אבן יהודה           ,138  ,השיח
טבלת רחובות ,182  ,אבן יהודה           ,311  ,השיטה
טבלת רחובות ,182  ,אבן יהודה           ,115  ,השלום
טבלת רחובות ,182  ,אבן יהודה           ,201  ,השלושה
טבלת רחובות ,182  ,אבן יהודה           ,301  ,השקמה
טבלת רחובות ,182  ,אבן יהודה           ,134  ,השרון
טבלת רחובות ,182  ,אבן יהודה           ,177  ,התאנה
טבלת רחובות ,182  ,אבן יהודה           ,111  ,התומר
טבלת רחובות ,182  ,אבן יהודה           ,226  ,התות
טבלת רחובות ,182  ,אבן יהודה           ,193  ,התעשיה
טבלת רחובות ,182  ,אבן יהודה           ,175  ,התפוז
טבלת רחובות ,182  ,אבן יהודה           ,258  ,התקומה
טבלת רחובות ,182  ,אבן יהודה           ,142  ,ותיקים
טבלת רחובות ,182  ,אבן יהודה           ,247  ,זויתן
טבלת רחובות ,182  ,אבן יהודה           ,254  ,חבצלת
טבלת רחובות ,182  ,אבן יהודה           ,103  ,חבצלת השרון
טבלת רחובות ,182  ,אבן יהודה           ,227  ,חלמונית
טבלת רחובות ,182  ,אבן יהודה           ,252  ,חמנית
טבלת רחובות ,182  ,אבן יהודה           ,154  ,חן
טבלת רחובות ,182  ,אבן יהודה           ,194  ,חצב
טבלת רחובות ,182  ,אבן יהודה           ,187  ,חרצית
טבלת רחובות ,182  ,אבן יהודה           ,375  ,יסמין
טבלת רחובות ,182  ,אבן יהודה           ,372  ,יערה
טבלת רחובות ,182  ,אבן יהודה           ,228  ,כליל החורש
טבלת רחובות ,182  ,אבן יהודה           ,196  ,כלנית
טבלת רחובות ,182  ,אבן יהודה           ,188  ,כרכום
טבלת רחובות ,182  ,אבן יהודה           ,229  ,לוטם
טבלת רחובות ,182  ,אבן יהודה           ,255  ,לוע הארי
טבלת רחובות ,182  ,אבן יהודה           ,307  ,לילך
טבלת רחובות ,182  ,אבן יהודה           ,371  ,מורן
טבלת רחובות ,182  ,אבן יהודה           ,202  ,מכבי
טבלת רחובות ,182  ,אבן יהודה           ,318  ,מנטה
טבלת רחובות ,182  ,אבן יהודה           ,157  ,מעיין
טבלת רחובות ,182  ,אבן יהודה           ,172  ,מעלה הארגמן
טבלת רחובות ,182  ,אבן יהודה           ,173  ,מעלה הלבונה
טבלת רחובות ,182  ,אבן יהודה           ,174  ,מעלה הרתמים
טבלת רחובות ,182  ,אבן יהודה           ,119  ,מרבד הקסמים
טבלת רחובות ,182  ,אבן יהודה           ,378  ,מרגנית
טבלת רחובות ,182  ,אבן יהודה           ,314  ,מרווה
טבלת רחובות ,182  ,אבן יהודה           ,6504 ,נווה הדר
טבלת רחובות ,182  ,אבן יהודה           ,259  ,נחל אל-על
טבלת רחובות ,182  ,אבן יהודה           ,261  ,נחל פולג
טבלת רחובות ,182  ,אבן יהודה           ,189  ,ניצן
טבלת רחובות ,182  ,אבן יהודה           ,250  ,נר הלילה
טבלת רחובות ,182  ,אבן יהודה           ,198  ,סביון
טבלת רחובות ,182  ,אבן יהודה           ,242  ,סהרון
טבלת רחובות ,182  ,אבן יהודה           ,129  ,סיני
טבלת רחובות ,182  ,אבן יהודה           ,203  ,סמ האלה
טבלת רחובות ,182  ,אבן יהודה           ,253  ,סמ החרמון
טבלת רחובות ,182  ,אבן יהודה           ,139  ,סמ הלוטוס
טבלת רחובות ,182  ,אבן יהודה           ,162  ,סמ הניצנים
טבלת רחובות ,182  ,אבן יהודה           ,122  ,סמ הקולנוע
טבלת רחובות ,182  ,אבן יהודה           ,155  ,סמ השושנה
טבלת רחובות ,182  ,אבן יהודה           ,126  ,סמ השישה
טבלת רחובות ,182  ,אבן יהודה           ,123  ,סמ יעקובי
טבלת רחובות ,182  ,אבן יהודה           ,381  ,סמ יערה
טבלת רחובות ,182  ,אבן יהודה           ,249  ,סמ עופרית
טבלת רחובות ,182  ,אבן יהודה           ,200  ,סמטת ברקן
טבלת רחובות ,182  ,אבן יהודה           ,212  ,סמטת גומא
טבלת רחובות ,182  ,אבן יהודה           ,262  ,סמטת דן
טבלת רחובות ,182  ,אבן יהודה           ,168  ,סנונית
טבלת רחובות ,182  ,אבן יהודה           ,197  ,סתוונית
טבלת רחובות ,182  ,אבן יהודה           ,167  ,עגור
טבלת רחובות ,182  ,אבן יהודה           ,370  ,עדעד
טבלת רחובות ,182  ,אבן יהודה           ,241  ,עופרית
טבלת רחובות ,182  ,אבן יהודה           ,144  ,עליה
טבלת רחובות ,182  ,אבן יהודה           ,145  ,עממי
טבלת רחובות ,182  ,אבן יהודה           ,164  ,עפרוני
טבלת רחובות ,182  ,אבן יהודה           ,160  ,עציון
טבלת רחובות ,182  ,אבן יהודה           ,230  ,פעמונית
טבלת רחובות ,182  ,אבן יהודה           ,231  ,צבעוני
טבלת רחובות ,182  ,אבן יהודה           ,376  ,צבר
טבלת רחובות ,182  ,אבן יהודה           ,257  ,צה"ל
טבלת רחובות ,182  ,אבן יהודה           ,232  ,צורית
טבלת רחובות ,182  ,אבן יהודה           ,233  ,ציפורן
טבלת רחובות ,182  ,אבן יהודה           ,146  ,קבוץ גלויות
טבלת רחובות ,182  ,אבן יהודה           ,244  ,קחון
טבלת רחובות ,182  ,אבן יהודה           ,234  ,קינמון
טבלת רחובות ,182  ,אבן יהודה           ,235  ,קקטוס
טבלת רחובות ,182  ,אבן יהודה           ,156  ,קרן היסוד
טבלת רחובות ,182  ,אבן יהודה           ,316  ,רוזמרין
טבלת רחובות ,182  ,אבן יהודה           ,121  ,ריחן
טבלת רחובות ,182  ,אבן יהודה           ,6510 ,רמת בן גוריון
טבלת רחובות ,182  ,אבן יהודה           ,6500 ,רמת היובל
טבלת רחובות ,182  ,אבן יהודה           ,6501 ,ש אסבסטונים
טבלת רחובות ,182  ,אבן יהודה           ,6502 ,ש הותיקים
טבלת רחובות ,182  ,אבן יהודה           ,6503 ,ש חן
טבלת רחובות ,182  ,אבן יהודה           ,6505 ,ש יבנאי
טבלת רחובות ,182  ,אבן יהודה           ,6506 ,ש מכבי
טבלת רחובות ,182  ,אבן יהודה           ,6507 ,ש עובדים
טבלת רחובות ,182  ,אבן יהודה           ,6514 ,ש עין יעקב
טבלת רחובות ,182  ,אבן יהודה           ,6508 ,ש עממי
טבלת רחובות ,182  ,אבן יהודה           ,6509 ,ש שכטר
טבלת רחובות ,182  ,אבן יהודה           ,116  ,שבזי
טבלת רחובות ,182  ,אבן יהודה           ,163  ,שביל הנוטע
טבלת רחובות ,182  ,אבן יהודה           ,236  ,שדמה
טבלת רחובות ,182  ,אבן יהודה           ,112  ,שומשום
טבלת רחובות ,182  ,אבן יהודה           ,166  ,שחף
טבלת רחובות ,182  ,אבן יהודה           ,199  ,שיזף
טבלת רחובות ,182  ,אבן יהודה           ,6511 ,שכ הדסים
טבלת רחובות ,182  ,אבן יהודה           ,6515 ,שכ פאר גנים
טבלת רחובות ,182  ,אבן יהודה           ,6513 ,שכ קרוונים
טבלת רחובות ,182  ,אבן יהודה           ,165  ,שלדג
טבלת רחובות ,182  ,אבן יהודה           ,237  ,שלהבת
טבלת רחובות ,182  ,אבן יהודה           ,239  ,שן הארי
טבלת רחובות ,182  ,אבן יהודה           ,238  ,שנהב
טבלת רחובות ,182  ,אבן יהודה           ,306  ,שקד
טבלת רחובות ,182  ,אבן יהודה           ,256  ,תדהר
טבלת רחובות ,182  ,אבן יהודה           ,317  ,תורמוס
טבלת רחובות ,182  ,אבן יהודה           ,313  ,תירוש
טבלת רחובות ,182  ,אבן יהודה           ,6512 ,תל צור
טבלת רחובות ,182  ,אבן יהודה           ,240  ,תפוח
טבלת רחובות ,1081 ,אבן מנחם            ,9000 ,אבן מנחם
טבלת רחובות ,783  ,אבן ספיר            ,9000 ,אבן ספיר
טבלת רחובות ,783  ,אבן ספיר            ,109  ,אגט
טבלת רחובות ,783  ,אבן ספיר            ,107  ,אודם
טבלת רחובות ,783  ,אבן ספיר            ,102  ,ברקת
טבלת רחובות ,783  ,אבן ספיר            ,111  ,גביש
טבלת רחובות ,783  ,אבן ספיר            ,112  ,גרניט
טבלת רחובות ,783  ,אבן ספיר            ,101  ,החרסית
טבלת רחובות ,783  ,אבן ספיר            ,106  ,חלמיש
טבלת רחובות ,783  ,אבן ספיר            ,110  ,טופז
טבלת רחובות ,783  ,אבן ספיר            ,103  ,יהלום
טבלת רחובות ,783  ,אבן ספיר            ,105  ,לשם
טבלת רחובות ,783  ,אבן ספיר            ,108  ,צור
טבלת רחובות ,783  ,אבן ספיר            ,104  ,שוהם
טבלת רחובות ,400  ,אבן שמואל           ,9000 ,אבן שמואל
טבלת רחובות ,4011 ,אבני איתן           ,9000 ,אבני איתן
טבלת רחובות ,3793 ,אבני חפץ            ,9000 ,אבני חפץ
טבלת רחובות ,3793 ,אבני חפץ            ,104  ,אודם
טבלת רחובות ,3793 ,אבני חפץ            ,113  ,איבי הנחל
טבלת רחובות ,3793 ,אבני חפץ            ,111  ,גינת אגוז
טבלת רחובות ,3793 ,אבני חפץ            ,107  ,גלעד
טבלת רחובות ,3793 ,אבני חפץ            ,101  ,החרמון
טבלת רחובות ,3793 ,אבני חפץ            ,110  ,המור
טבלת רחובות ,3793 ,אבני חפץ            ,105  ,חושן
טבלת רחובות ,3793 ,אבני חפץ            ,106  ,יהלום
טבלת רחובות ,3793 ,אבני חפץ            ,108  ,כרמל
טבלת רחובות ,3793 ,אבני חפץ            ,112  ,לבונה
טבלת רחובות ,3793 ,אבני חפץ            ,103  ,ספיר
טבלת רחובות ,3793 ,אבני חפץ            ,109  ,שחר
טבלת רחובות ,3793 ,אבני חפץ            ,6500 ,שכ מעלה יעקב
טבלת רחובות ,3793 ,אבני חפץ            ,102  ,שניר
טבלת רחובות ,3786 ,אבנת                ,9000 ,אבנת
טבלת רחובות ,1311 ,אבשלום              ,9000 ,אבשלום
טבלת רחובות ,1311 ,אבשלום              ,101  ,שכ קרוונים
טבלת רחובות ,3759 ,אדורה               ,9000 ,אדורה
טבלת רחובות ,3759 ,אדורה               ,101  ,האורן
טבלת רחובות ,3759 ,אדורה               ,104  ,האלה
טבלת רחובות ,3759 ,אדורה               ,102  ,האלון
טבלת רחובות ,3759 ,אדורה               ,103  ,הברוש
טבלת רחובות ,113  ,אדירים              ,9000 ,אדירים
טבלת רחובות ,1068 ,אדמית               ,9000 ,אדמית
טבלת רחובות ,1123 ,אדרת                ,9000 ,אדרת
טבלת רחובות ,446  ,אודים               ,9000 ,אודים
טבלת רחובות ,446  ,אודים               ,117  ,האורן
טבלת רחובות ,446  ,אודים               ,114  ,האזדרכת
טבלת רחובות ,446  ,אודים               ,118  ,האיריס
טבלת רחובות ,446  ,אודים               ,108  ,הברוש
טבלת רחובות ,446  ,אודים               ,116  ,הגבעה
טבלת רחובות ,446  ,אודים               ,104  ,הדגן
טבלת רחובות ,446  ,אודים               ,103  ,הדקל
טבלת רחובות ,446  ,אודים               ,107  ,ההדרים
טבלת רחובות ,446  ,אודים               ,119  ,החצב
טבלת רחובות ,446  ,אודים               ,105  ,החרוב
טבלת רחובות ,446  ,אודים               ,110  ,היקינטון
טבלת רחובות ,446  ,אודים               ,120  ,הכלנית
טבלת רחובות ,446  ,אודים               ,109  ,הנרקיס
טבלת רחובות ,446  ,אודים               ,121  ,העירית
טבלת רחובות ,446  ,אודים               ,106  ,הפקאן
טבלת רחובות ,446  ,אודים               ,101  ,הרימון
טבלת רחובות ,446  ,אודים               ,111  ,הרקפת
טבלת רחובות ,446  ,אודים               ,123  ,השומר
טבלת רחובות ,446  ,אודים               ,115  ,השיטה
טבלת רחובות ,446  ,אודים               ,122  ,התלתן
טבלת רחובות ,446  ,אודים               ,102  ,התמר
טבלת רחובות ,446  ,אודים               ,112  ,סמ המגדל
טבלת רחובות ,446  ,אודים               ,113  ,צאלון
טבלת רחובות ,4010 ,אודם                ,9000 ,אודם
טבלת רחובות ,1046 ,אוהד                ,9000 ,אוהד
טבלת רחובות ,2710 ,אום אל-פחם          ,276  ,אבו בכר
