Vocalized Punctuation,William Davidson Edition - Aramaic,Difference in word count
Bekhorot 40b:7,"אוֹ שֶׁאֵין בָּהּ שָׁלֹשׁ חוּלְיוֹת. — וְכוּ' אָמַר רַב: הוּנָא בַּגְּדִי שְׁתַּיִם הֲרֵי זֶה מוּם, שָׁלֹשׁ — אֵינוֹ מוּם. בַּטָּלֶה, שָׁלֹשׁ — הֲרֵי זֶה מוּם, אַרְבַּע — אֵינוֹ מוּם. מֵיתִיבִי: בַּגְּדִי, אַחַת — הֲרֵי זֶה מוּם, שְׁתַּיִם — אֵינוֹ מוּם. בַּטָּלֶה, שְׁתַּיִם — הֲרֵי זֶה מוּם, שָׁלֹשׁ — אֵינוֹ מוּם! תְּיוּבְתָּא דְרַב הוּנָא.",או שאין בה שלש חוליות וכו׳ אמר רב הונא בגדי שתים הרי זה מום שלש אינו מום בטלה שלש הרי זה מום ארבע אינו מום מיתיבי בגדי אחת הרי זה מום שתים אינו מום בטלה שתים הרי זה מום שלש אינו מום תיובתא דרב הונא,-8
Bekhorot 41a:8,"בִּשְׁלָמָא חֲזָזִית אַחֲזָזִית לָא קַשְׁיָא, כָּאן, — בַּחֲזָזִית הַמִּצְרִית, כָּאן — בַּחֲזָזִית דְּעָלְמָא. אֶלָּא גָּרָב אַגָּרָב קַשְׁיָא! גָּרָב אַגָּרָב נָמֵי לָא קַשְׁיָא, הָא בְּלַח, הָא — בְּיָבֵשׁ. לַח — אִיתַּסִּי, — יָבֵשׁ — לָא מִיתַּסֵּי.",בשלמא חזזית אחזזית לא קשיא כאן בחזזית המצרית כאן בחזזית דעלמא אלא גרב אגרב קשיא גרב אגרב נמי לא קשיא הא בלח הא ביבש לח איתסי יבש לא מיתסי,-6
Bekhorot 44b:10,"תַּנְיָא, רַבָּן שִׁמְעוֹן בֶּן גַּמְלִיאֵל אוֹמֵר: עַמּוּד הַחוֹזֵר, — מֵבִיא אָדָם לִידֵי הִדְרוֹקָן. סִילוֹן הַחוֹזֵר — מֵבִיא אָדָם לִידֵי יֵרָקוֹן. אָמַר רַבָּה בַּר רַב הוּנָא, אָמַר רַב קַטִּינָא אָמַר רֵישׁ לָקִישׁ: דָּם רָבֶה, — שְׁחִין רָבֶה. שִׁכְבַת זֶרַע רָבָה, — צָרַעַת רָבָה. צוֹאָה רָבָה, — הִדְרוֹקָן רָבֶה, מֵי רַגְלַיִם רָבִין — יֵרָקוֹן רָבֶה.",תניא רבן שמעון בן גמליאל אומר עמוד החוזר מביא אדם לידי הדרוקן סילון החוזר מביא אדם לידי ירקון אמר רבה בר רב הונא אמר רב קטינא אמר ריש לקיש דם רבה שחין רבה שכבת זרע רבה צרעת רבה צואה רבה הדרוקן רבה מי רגלים רבין ירקון רבה,-6
Bekhorot 44b:12,"הַמְאוּשְׁבָּן וּבַעַל גֶּבֶר. תָּנָא: מְשׁוּבָּן — בַּבֵּיצִים, וּבַעַל גֶּבֶר — בַּגִּיד. תָּנָא: מְשׁוּבָּן — זֶה הַקַּיָּין, הַגְרַבְתָּן — זֶה בַּעַל קִיק קַיָּין — בַּבֵּיצִים, גְּרַבְתָּא — בַּגִּיד.",המאושבן ובעל גבר תנא משובן בביצים ובעל גבר בגיד תנא משובן זה הקיין הגרבתן זה בעל קיק קיין בביצים גרבתא בגיד,-6
Bekhorot 49a:5,"<strong><big>מַתְנִי'</big></strong> מֵת הַבֵּן בְּתוֹךְ שְׁלֹשִׁים יוֹם, אַף עַל פִּי שֶׁנָּתַן לַכֹּהֵן — יַחְזִיר. לְאַחַר שְׁלֹשִׁים יוֹם, אַף עַל פִּי שֶׁלֹּא נָתַן — יִתֵּן. מֵת בְּיוֹם שְׁלֹשִׁים — כְּיוֹם שֶׁלְּפָנָיו. רַבִּי עֲקִיבָא אוֹמֵר: אִם נָתַן — לֹא יִטּוֹל, וְאִם לֹא נָתַן — לֹא יִתֵּן. ",מתני׳ מת הבן בתוך שלשים יום אף על פי שנתן לכהן יחזיר לאחר שלשים יום אף על פי שלא נתן יתן מת ביום שלשים כיום שלפניו רבי עקיבא אומר אם נתן לא יטול ואם לא נתן לא יתן,-6
Bekhorot 57b:9,"כׇּל הַנּוֹלָדִים מֵאֶחָד בְּתִשְׁרִי עַד עֶשְׂרִים וְתִשְׁעָה בֶּאֱלוּל — הֲרֵי אֵלּוּ מִצְטָרְפִין. חֲמִשָּׁה לִפְנֵי רֹאשׁ הַשָּׁנָה וַחֲמִשָּׁה לְאַחַר רֹאשׁ הַשָּׁנָה — אֵינָן מִצְטָרְפִין. חֲמִשָּׁה לִפְנֵי הַגּוֹרֶן וַחֲמִשָּׁה לְאַחַר הַגּוֹרֶן — הֲרֵי אֵלּוּ מִצְטָרְפִין. אִם כֵּן, לָמָּה נֶאֶמְרוּ שָׁלֹשׁ גֳּרָנוֹת לְמַעְשַׂר בְּהֵמָה? שֶׁעַד שֶׁלֹּא הִגִּיעַ הַגּוֹרֶן — מוּתָּר לִמְכּוֹר וְלִשְׁחוֹט, הִגִּיעַ הַגּוֹרֶן — לֹא יִשְׁחוֹט, וְאִם שָׁחַט — פָּטוּר.",כל הנולדים מאחד בתשרי עד עשרים ותשעה באלול הרי אלו מצטרפין חמשה לפני ראש השנה וחמשה לאחר ראש השנה אינן מצטרפין חמשה לפני הגורן וחמשה לאחר הגורן הרי אלו מצטרפין אם כן למה נאמרו שלש גרנות למעשר בהמה שעד שלא הגיע הגורן מותר למכור ולשחוט הגיע הגורן לא ישחוט ואם שחט פטור,-6
Arakhin 5b:7,"<strong><big>מַתְנִי'</big></strong> — נָכְרִי רַבִּי מֵאִיר: אוֹמֵר, — נֶעֱרָךְ אֲבָל לֹא. — מַעֲרִיךְ רַבִּי יְהוּדָה: אוֹמֵר, מַעֲרִיךְ אֲבָל לֹא. — נֶעֱרָךְ וְזֶה, וָזֶה מוֹדִים שֶׁנּוֹדְרִין, וְנִידָּרִין: — ",מתני׳ נכרי רבי מאיר אומר נערך אבל לא מעריך רבי יהודה אומר מעריך אבל לא נערך וזה וזה מודים שנודרין ונידרין,-6
Arakhin 25b:3,"""לְאִישׁ אַחֵר"" — לְאַחֵר, וְלֹא לַבֵּן. — אַתָּה אוֹמֵר: לְאַחֵר — וְלֹא לַבֵּן, אוֹ אֵינוֹ, אֶלָּא: לְאַחֵר — וְלֹא"" לָאָח! כְּשֶׁהוּא אוֹמֵר אִישׁ — הֲרֵי אָח ""אָמוּר"", הָא מָה אֲנִי מְקַיֵּים אַחֵר — וְלֹא לַבֵּן.",לאיש אחר לאחר ולא לבן אתה אומר לאחר ולא לבן או אינו אלא לאחר ולא לאח כשהוא אומר איש הרי אח אמור הא מה אני מקיים אחר ולא לבן,-6
Sanhedrin 13b:6,"אִי ""'עֵדָה'"", יָכוֹל קְטַנֵּי עֵדָה, — תַּלְמוּד ""לוֹמַר"": 'הָעֵדָה' — מְיוּחָדִין שֶׁבָּעֵדָה. ""וְכַמָּה"" הֵן? ""'וְסָמְכוּ'"" — שְׁנַיִם, 'זִקְנֵי' — שְׁנַיִם, וְאֵין בֵּית דִּין שָׁקוּל — מוֹסִיפִין עֲלֵיהֶם עוֹד אֶחָד, הֲרֵי כָּאן חֲמִשָּׁה. דִּבְרֵי ""רַבִּי"" יְהוּדָה. רַבִּי שִׁמְעוֹן אוֹמֵר: 'זִקְנֵי' — שְׁנַיִם, וְאֵין בֵּית דִּין שָׁקוּל, מוֹסִיפִין עֲלֵיהֶן עוֹד אֶחָד, הֲרֵי כָּאן שְׁלֹשָׁה.",אי ׳עדה׳ יכול קטני עדה תלמוד לומר ׳העדה׳ מיוחדין שבעדה וכמה הן ׳וסמכו׳ שנים ׳זקני׳ שנים ואין בית דין שקול מוסיפין עליהם עוד אחד הרי כאן חמשה דברי רבי יהודה רבי שמעון אומר ׳זקני׳ שנים ואין בית דין שקול מוסיפין עליהן עוד אחד הרי כאן שלשה,-6
Sanhedrin 18b:12,"חַד אָמַר: אִם בַּכִּיר וְלַקִּישׁ כַּחֲדָא יֵינֵץ — דֵּין הוּא אֲדָר, וְאִם לָאו — לֵית דֵּין אֲדָר. וְחַד אָמַר: אִם תּוֹר בִּצְפַר בִּתְלַג יְמוּת, וּבְטִיהֲרָא בְּטוּל תְּאֵינָה יִדְמוֹךְ יַשְׁלַח מַשְׁכֵּיהּ — דֵּין הוּא אֲדָר, וְאִם לָאו — לֵית דֵּין אֲדָר. וְחַד אָמַר: אִם קִידּוּם תַּקִּיף לַחֲדָא יְהֵא, יִפַּח בְּלוֹעָךְ נָפֵיק לְקִיבְלֵיהּ — דֵּין הוּא אֲדָר, וְאִם לָאו — לֵית דֵּין אֲדָר, וְעַבְּרוּהָ רַבָּנַן לְהַהִיא שַׁתָּא.",חד אמר אם בכיר ולקיש כחדא יינץ דין הוא אדר ואם לאו לית דין אדר וחד אמר אם תור בצפר בתלג ימות ובטיהרא בטול תאינה ידמוך ישלח משכיה דין הוא אדר ואם לאו לית דין אדר וחד אמר אם קידום תקיף לחדא יהא יפח בלועך נפיק לקיבליה דין הוא אדר ואם לאו לית דין אדר ועברוה רבנן לההיא שתא,-6
Sanhedrin 32b:6,"כִּדְתַנְיָא: ""צֶדֶק צֶדֶק תִּרְדֹּף"" — אֶחָד לְדִין וְאֶחָד לִפְשָׁרָה. כֵּיצַד? — שְׁתֵּי סְפִינוֹת עוֹבְרוֹת בַּנָּהָר וּפָגְעוּ זֶה בָּזֶה, אִם עוֹבְרוֹת שְׁתֵּיהֶן — שְׁתֵּיהֶן טוֹבְעוֹת, בְּזֶה אַחַר זֶה — שְׁתֵּיהֶן עוֹבְרוֹת. וְכֵן שְׁנֵי גְּמַלִּים שֶׁהָיוּ עוֹלִים בְּמַעֲלוֹת בֵּית חוֹרוֹן, וּפָגְעוּ זֶה בָּזֶה, אִם עָלוּ שְׁנֵיהֶן — שְׁנֵיהֶן נוֹפְלִין, בְּזֶה אַחַר זֶה — שְׁנֵיהֶן עוֹלִין.",כדתניא צדק צדק תרדף אחד לדין ואחד לפשרה כיצד שתי ספינות עוברות בנהר ופגעו זה בזה אם עוברות שתיהן שתיהן טובעות בזה אחר זה שתיהן עוברות וכן שני גמלים שהיו עולים במעלות בית חורון ופגעו זה בזה אם עלו שניהן שניהן נופלין בזה אחר זה שניהן עולין,-6
Sanhedrin 38b:2,"אָמַר רַבִּי יוֹחָנָן בַּר חֲנִינָא: שְׁתֵּים עֶשְׂרֵה שָׁעוֹת הָוֵי הַיּוֹם, שָׁעָה רִאשׁוֹנָה — הוּצְבַּר עֲפָרוֹ. שְׁנִיָּה — נַעֲשָׂה גּוֹלֶם. שְׁלִישִׁית — נִמְתְּחוּ אֵבָרָיו. רְבִיעִית — נִזְרְקָה בּוֹ נְשָׁמָה. חֲמִישִׁית — עָמַד עַל רַגְלָיו. שִׁשִּׁית — קָרָא שֵׁמוֹת. שְׁבִיעִית — נִזְדַּוְּוגָה לוֹ חַוָּה. שְׁמִינִית — עָלוּ לַמִּטָּה שְׁנַיִם וְיָרְדוּ אַרְבָּעָה. תְּשִׁיעִית — נִצְטַוּוֹה שֶׁלֹּא לֶאֱכוֹל מִן הָאִילָן. עֲשִׂירִית — סָרַח. אַחַת עֶשְׂרֵה — נִידּוֹן. שְׁתֵּים עֶשְׂרֵה — נִטְרַד וְהָלַךְ לוֹ, שֶׁנֶּאֱמַר: אָדָם בִּיקָר בַּל יָלִין",אמר רבי יוחנן בר חנינא שתים עשרה שעות הוי היום שעה ראשונה הוצבר עפרו שניה נעשה גולם שלישית נמתחו אבריו רביעית נזרקה בו נשמה חמישית עמד על רגליו ששית קרא שמות שביעית נזדווגה לו חוה שמינית עלו למטה שנים וירדו ארבעה תשיעית נצטווה שלא לאכול מן האילן עשירית סרח אחת עשרה נידון שתים עשרה נטרד והלך לו שנאמר אדם ביקר בל ילין,-12
Sanhedrin 71b:22,"פִּיזּוּר לָרְשָׁעִים — הֲנָאָה לָהֶן, וַהֲנָאָה לָעוֹלָם. וְלַצַּדִּיקִים — רַע לָהֶן וְרַע לָעוֹלָם. כִּנּוּס לָרְשָׁעִים — רַע לָהֶן וְרַע לָעוֹלָם, וְלַצַּדִּיקִים — הֲנָאָה לָהֶן וַהֲנָאָה לָעוֹלָם. שֶׁקֶט לָרְשָׁעִים — רַע לָהֶן וְרַע לָעוֹלָם. לַצַּדִּיקִים — הֲנָאָה לָהֶן וַהֲנָאָה לָעוֹלָם.",פיזור לרשעים הנאה להן והנאה לעולם ולצדיקים רע להן ורע לעולם כנוס לרשעים רע להן ורע לעולם ולצדיקים הנאה להן והנאה לעולם שקט לרשעים רע להן ורע לעולם לצדיקים הנאה להן והנאה לעולם,-6
Sanhedrin 72a:2,"אָמְרָה תּוֹרָה: יָמוּת זַכַּאי וְאַל יָמוּת חַיָּיב. שֶׁמִּיתָתָן שֶׁל רְשָׁעִים — הֲנָאָה לָהֶם וַהֲנָאָה לָעוֹלָם, וְלַצַּדִּיקִים רַע לָהֶם וְרַע לָעוֹלָם שֵׁינָה וְיַיִן לָרְשָׁעִים הֲנָאָה לָהֶם וַהֲנָאָה לָעוֹלָם לַצַּדִּיקִים — רַע לָהֶם וְרַע לָעוֹלָם. שֶׁקֶט לָרְשָׁעִים — רַע לָהֶם וְרַע לָעוֹלָם. וְלַצַּדִּיקִים — הֲנָאָה לָהֶם וַהֲנָאָה לָעוֹלָם. פִּיזּוּר לָרְשָׁעִים — הֲנָאָה לָהֶם, וַהֲנָאָה לָעוֹלָם. וְלַצַּדִּיקִים — רַע לָהֶם וְרַע לָעוֹלָם.",אמרה תורה ימות זכאי ואל ימות חייב שמיתתן של רשעים הנאה להם והנאה לעולם ולצדיקים רע להם ורע לעולם שינה ויין לרשעים הנאה להם והנאה לעולם לצדיקים רע להם ורע לעולם שקט לרשעים רע להם ורע לעולם ולצדיקים הנאה להם והנאה לעולם פיזור לרשעים הנאה להם והנאה לעולם ולצדיקים רע להם ורע לעולם,-6
Sanhedrin 82b:2,"אָמַר רַבִּי יוֹחָנָן: שִׁשָּׁה נִסִּים נַעֲשׂוּ לוֹ לְפִנְחָס: אֶחָד — שֶׁהָיָה לוֹ לְזִמְרִי לִפְרוֹשׁ, וְלֹא פֵּירַשׁ. וְאֶחָד — שֶׁהָיָה לוֹ לְדַבֵּר, וְלֹא דִּבֵּר. וְאֶחָד — שֶׁכִּוֵּון בְּזַכְרוּתוֹ שֶׁל אִישׁ וּבְנַקְבוּתָהּ שֶׁל אִשָּׁה. וְאֶחָד — שֶׁלֹּא נִשְׁמְטוּ מִן הָרוֹמַח. וְאֶחָד — שֶׁבָּא מַלְאָךְ וְהִגְבִּיהַּ אֶת הַמַּשְׁקוֹף, וְאֶחָד — שֶׁבָּא מַלְאָךְ וְהִשְׁחִית בָּעָם.",אמר רבי יוחנן ששה נסים נעשו לו לפנחס אחד שהיה לו לזמרי לפרוש ולא פירש ואחד שהיה לו לדבר ולא דבר ואחד שכוון בזכרותו של איש ובנקבותה של אשה ואחד שלא נשמטו מן הרומח ואחד שבא מלאך והגביה את המשקוף ואחד שבא מלאך והשחית בעם,-6
Sanhedrin 88a:11,"""בִּשְׁעָרֶיךָ"" — זֶה לֶקֶט שִׁכְחָה פֵּיאָה. לֶקֶט — דִּתְנַן: שְׁנֵי שִׁבֳּלִין — לֶקֶט, שְׁלֹשָׁה — אֵינָן לֶקֶט. שִׁכְחָה — שְׁנֵי עוֹמָרִין שִׁכְחָה, שְׁלֹשָׁה — אֵינָן שִׁכְחָה.",בשעריך זה לקט שכחה פיאה לקט דתנן שני שבלין לקט שלשה אינן לקט שכחה שני עומרין שכחה שלשה אינן שכחה,-6
Sanhedrin 88b:4,"הוּצְרַךְ הַדָּבָר לִשְׁאוֹל, — שׁוֹאֲלִין מִבֵּית דִּין שֶׁבְּעִירָן. אִם שָׁמְעוּ — אָמְרוּ לָהֶן, וְאִם לָאו — בָּאִין לָזֶה שֶׁסָּמוּךְ לְעִירָן. אִם שָׁמְעוּ — אָמְרוּ לָהֶם, וְאִם לָאו — בָּאִין לָזֶה שֶׁעַל פֶּתַח הַר הַבַּיִת. אִם שָׁמְעוּ — אָמְרוּ לָהֶם, וְאִם לָאו בָּאִין לָזֶה שֶׁעַל פֶּתַח הָעֲזָרָה.",הוצרך הדבר לשאול שואלין מבית דין שבעירן אם שמעו אמרו להן ואם לאו באין לזה שסמוך לעירן אם שמעו אמרו להם ואם לאו באין לזה שעל פתח הר הבית אם שמעו אמרו להם ואם לאו באין לזה שעל פתח העזרה,-6
