"shekalim, Erster Abschnitt.1","<b>M</b><small>OŠE EMPFING DIE</small> T<small>ORA AUF</small>[<small>DEM</small> B<small>ERGE</small>] S<small>INAJ, ÜBERLIEFERTE SIE</small> J<small>EHOŠUA͑</small>, J<small>EHOŠUA͑ DEN</small> Ä<small>LTESTEN, DIE</small> Ä<small>LTESTEN DEN</small> P<small>ROPHETEN UND DIE</small> P<small>ROPHETEN ÜBERLIEFERTEN SIE DEN</small> M<small>ÄNNERN DER</small> G<small>ROSSSYNODE</small>. D<small>IESE SPRACHEN DREI</small> D<small>INGE AUS:</small> S<small>EID BEDÄCHTIG BEIM</small> R<small>ECHTSPRECHEN, BILDET VIELE</small> S<small>CHÜLER AUS, UND ERRICHTET EINEN</small> Z<small>AUN UM DIE</small> T<small>ORA</small><sup>1</sup><i class=""footnote"">fn2668,Durch Verschärfung der Bestimmungen derselben.</i>."
"shekalim, Erster Abschnitt.12","XII. H<small>LLLEL UND</small> Š<small>AMMAJ EMPFINGEN SIE VON JENEN</small>. H<small>LLLEL SAGTE</small>: S<small>EI VON DEN</small> J<small>ÜNGERN</small> A<small>HRONS</small>, F<small>RIEDEN LIEBEND UND NACH</small> F<small>RIEDEN STREBEND; DIE</small> M<small>ENSCHEN LIEBEND UND SIE DER</small> T<small>ORA ZUFÜHREND</small>."
"shekalim, Erster Abschnitt.13","XIII. E<small>R SAGTE FERNER:</small> W<small>ER SEINEN</small> N<small>AMEN GROSS MACHEN WILL, VERNICHTET IHN; WER NICHT ZUNIMMT, NIMMT AB; WER NICHT LERNT, IST DES</small> T<small>ODES SCHULDIG; UND WER SICH DER</small> K<small>RONE</small><sup>7</sup><i class=""footnote"">fn2674,Der Tora; so nach den gewöhnlichen Erklärungen; viell, ist mit <span dir=""rtl"">תגא</span> die röm. Toga gemeint, das Oberkleid der Gelehrten (<span dir=""rtl"">חלוקא טלית של תלמידי חכמים דרבנן</span>; cf. Bb. Fol. 57b).</i><small>BEDIENT, SCHWINDET HIN</small>."
"shekalim, Erster Abschnitt.14","XIV. E<small>R SAGTE FERNER:</small> T<small>RETE ICH SELBER NICHT FÜR MICH EIN, WER TRITT FÜR MICH EIN</small>? W<small>ENN ICH NUR FÜR MICH BIN, WAS BIN ICH</small>? W<small>ENN NICHT JETZT, WANN DENN</small>?"
"shekalim, Erster Abschnitt.15",XV. Š<small>AMMAJ SAGTE:</small> M<small>ACHE DEIN</small> T<small>ORASTUDIUM ZUR STÄNDIGEN</small> B<small>ESCHÄFTIGUNG</small>. V<small>ERSPRICH WENIG UND TUE VIEL</small>. E<small>MPFANGE JEDEN</small> M<small>ENSCHEN MIT FREUNDLICHEM</small> G<small>ESICHTE</small>.
"shekalim, Erster Abschnitt.16","XVI. R. G<small>AMLIÉL SAGTE :</small> S<small>CHAFFE DIR EINEN</small> L<small>EHRER</small>. E<small>NTZIEHE DICH DEM</small> Z<small>WEIFEL</small>. E<small>NTRICHTE DEN</small> Z<small>EHNTEN NICHT NACH</small> S<small>CHÄTZUNG</small><sup>8</sup><i class=""footnote"">fn2675,Dieser Satz ist hier nicht recht verständlich; außerdem paßt das W. <span dir=""rtl"">תרבה</span> nicht herein.</i>."
"shekalim, Erster Abschnitt.17","XVII. S<small>EIN</small> S<small>OHN</small> Š<small>IMO͑N SAGTE:</small> M<small>EIN GANZES</small> L<small>EBEN VERBRACHTE ICH UNTER</small> W<small>EISEN, UND FAND FÜR DEN</small> K<small>ÖRPER<sup>9</sup><i class=""footnote"">fn2676,Dh. für den Menschen; viell, aber als Ggs. zu Seele.</i> NICHTS BESSERES ALS DAS</small> S<small>CHWEIGEN</small>. N<small>ICHT DIE</small> E<small>RÖRTERUNG IST DIE</small> H<small>AUPTSACHE, SONDERN DIE</small> H<small>ANDLUNG, UND WER VIEL</small> W<small>ORTE MACHT, BRINGT</small> S<small>ÜNDE ZUWEGE</small>."
"shekalim, Erster Abschnitt.18","XVIII. R. Š<small>IMO͑N B</small>. G<small>AMLIÉL SAGTE :</small> A<small>UF DREIERLEI HAT DIE</small> W<small>ELT</small> B<small>ESTAND, AUF</small> R<small>ECHT</small>, W<small>AHRHEIT UND</small> F<small>RIEDEN, DENN ES HEISST</small>:<sup>10</sup><i class=""footnote"">fn2677,Zach. 8,16.</i><i>nach Wahrheit, Recht und Frieden richtet in euren Toren</i>."
"shekalim, Zweiter Abschnitt.1","<b>R</b><small>ABBI SAGTE</small>: W<small>ELCHES IST DER RECHTE</small> W<small>EG, DEN SICH DER</small> M<small>ENSCH WÄHLE?</small> D<small>ER ZUR</small> E<small>HRE GEREICHT DEM, DER HIN EINSCHLÄGT, UND IHM</small> A<small>CHTUNG BRINGT BEI DEN</small> M<small>ENSCHEN</small>. A<small>CHTE AUF EIN GERINGES</small> G<small>EBOT WIE AUF EIN WICHTIGES, DENN DU KENNST DIE</small> B<small>ELOHNUNG FÜR DIE</small> G<small>EBOTE NICHT</small>. B<small>ERÜCKSICHTIGE BEIM DURCH DAS</small> G<small>EBOT ENTSTEHENDEN</small> V<small>ERLUST DEN DADURCH ENTSTEHENDEN</small> G<small>EWINN, UND BEIM DURCH DAS</small> V<small>ERBOT ENTSTEHENDEN</small> G<small>EWINN DEN DADURCH ENTSTEHENDEN</small> V<small>ERLUST</small>. B<small>ETRACHTE DREI</small> D<small>INGE, UND DU WIRST ZU KEINER</small> S<small>ÜNDE KOMMEN: WISSE, WAS ÜBER DIR IST, EIN</small> A<small>UGE SIEHT UND EIN</small> O<small>HR HÖRT, UND ALL DEINE</small> T<small>ATEN WERDEN IN EIN</small> B<small>UCH EINGESCHRIEBEN</small>."
"shekalim, Zweiter Abschnitt.2","II. R. G<small>AMLIÉL</small>, S<small>OHN</small> R. J<small>EHUDA DES</small> F<small>ÜRSTEN, SAGTE :</small> S<small>CHÖN IST DAS</small> T<small>ORASTUDIUM MIT WELTLICHEM</small> T<small>UN VERBUNDEN, DENN DIE AUF BEIDES VERWANDTE</small> M<small>ÜHE LÄSST DIE</small> S<small>ÜNDE IN</small> V<small>ERGESSENHEIT GERATEN; ABER DAS</small> T<small>ORA[STUDIUM] OHNE</small> L<small>EBENSERWERB WIRD ENDLICH ZUNICHTE UND ZIEHT</small> S<small>ÜNDE NACH SICH</small>. A<small>LLE, DIE SICH IM</small> D<small>IENSTE DER</small> G<small>EMEINDE ABMÜHEN, SOLLEN DIES UM DES</small> H<small>IMMELS WILLEN TUN, DENN DAS</small> V<small>ERDIENST IHRER</small> V<small>ÄTER STEHT IHNEN BEI UND IHRE</small> F<small>RÖMMIGKEIT BESTEHT FÜR EWIG</small>. E<small>UCH ABER WERDE ICH REICHEN</small> L<small>OHN ANRECHNEN, ALS</small> H<small>ÄTTET IHR ES VOLLBRACHT</small><sup>1</sup><i class=""footnote"">fn2678,Selbst wenn die gute Handlung nicht beendigt wird.</i>."
"shekalim, Zweiter Abschnitt.3","III. S<small>EID VORSICHTIG GEGEN DIE</small> O<small>BRIGKEIT, DENN SIE ZIEHT DEN</small> M<small>ENSCHEN NUR AUS</small> E<small>IGENNUTZ AN SICH HERAN; SIE ERSCHEINEN ALS</small> F<small>REUNDE, JEDOCH NUR DANN, WENN DIES ZU IHREM NUTZEN GESCHIEHT, ZUR ZEIT DER</small> N<small>OT ABER STEHEN SIE DEM</small> M<small>ENSCHEN NICHT BEI</small>."
"shekalim, Zweiter Abschnitt.4","IV. E<small>R SAGTE FERNER</small>: V<small>OLLFÜHRE SEINEN</small> W<small>ILLEN</small><sup>2</sup><i class=""footnote"">fn2679,Den Willen Goltes.</i> <small>WIE DEINEN EIGENEN, AUF DASS ER DEINEN</small> W<small>ILLEN VOLLFÜHRE WIE SEINEN EIGENEN; LASSE DEINEN</small> W<small>ILLEN FALLEN WEGEN SEINES</small> W<small>ILLENS, AUF DASS ER DEN</small> W<small>ILLEN ANDERER</small><sup>3</sup><i class=""footnote"">fn2680,Wahrscheinl. euphemistisch für: seinen Willen.</i> <small>FALLEN LASSE WEGEN DEINES</small> W<small>ILLENS</small>."
"shekalim, Zweiter Abschnitt.5","V. H<small>ILLEL SAGTE</small>: S<small>ONDERE DICH NICHT VON DER</small> G<small>EMEINDE AB</small>. B<small>IS ZU DEINEM</small> T<small>ODESTAGE GLAUBE NICHT AN DICH SELBST</small>. R<small>ICHTE DEINEN</small> N<small>ÄCHSTEN NICHT, BIS DU IN SEINE</small> L<small>AGE GEKOMMEN BIST</small>. S<small>PRICH NICHTS</small> U<small>NVERSTÄNDLICHES [IN DER</small> A<small>NNAHME,] MAN WERDE ES SPÄTER VERSTEHEN</small>. S<small>AGE NICHT, DU WERDEST BEI</small> M<small>USSE LERNEN, VIELLEICHT HAST DU NIE</small> M<small>USSE</small>."
"shekalim, Zweiter Abschnitt.6","VI. E<small>R SAGTE FERNER:</small> D<small>ER</small> U<small>NWISSENDE KANN NICHT SÜNDENSCHEU SEIN; DER</small> U<small>NKUNDIGE KANN NICHT FROMM SEIN; DER</small> S<small>CHÜCHTERNE LERNT NICHT; DER</small> U<small>NGEDULDIGE LEHRT NICHT ; UND WER VIEL</small> H<small>ANDEL TREIBT, WIRD NICHT WEISE</small>. W<small>O ES AN</small> M<small>ÄNNERN FEHLT, SEI BESTREBT, EIN</small> M<small>ANN ZU SEIN</small>."
"shekalim, Zweiter Abschnitt.7","VII. A<small>UCH SAH ER EINST EINEN</small> S<small>CHÄDEL AUF DEM</small> W<small>ASSER TREIBEN; DA SPRACH ER ZU IHM:</small> D<small>IEWEIL DU ERSÄUFT HAST, HAT MAN DICH ERSÄUFT, UND ERSAUFEN WERDEN SPÄTER, DIE DICH ERSÄUFT HABEN</small>."
"shekalim, Zweiter Abschnitt.8","VIII. E<small>R SAGTE FERNER:</small> M<small>EHR</small> F<small>LEISCH, MEHR</small> G<small>EWÜRM; MEHR</small> G<small>ÜTER, MEHR</small> S<small>ORGE; MEHR</small> F<small>RAUEN, MEHR</small> Z<small>AUBEREI; MEHR</small> M<small>ÄGDE, MEHR</small> U<small>NZUCHT; MEHR</small> S<small>KLAVEN, MEHR</small> R<small>AUB; MEHR</small> T<small>ORA, MEHR</small> L<small>EBEN; MEHR</small> S<small>CHULE<sup>4</sup><i class=""footnote"">fn2681,<span dir=""rtl"">ישיבה</span>, später <span dir=""rtl"">מתיבתא</span>, Sitz, sc. der Gelehrten u. Jünger, Hochschule; cf. Jom. Fol. 28b.</i>, MEHR</small> W<small>EISHEIT; MEHR</small> B<small>ERATUNG, MEHR</small> E<small>INSICHT; MEHR</small> W<small>OHLTÄTIGKEIT<sup>5</sup><i class=""footnote"">fn2682,Viell. in der biblischen Bedeutung: Gerechtigkeit.</i>, MEHR</small> F<small>RIEDEN</small>. W<small>ER EINEN GUTEN</small> N<small>AMEN ERWORBEN, HAT IHN FÜR SICH ERWORBEN; WER</small> W<small>ORTE DER</small> T<small>ORA ERWORBEN, HAT SICH DAS</small> L<small>EBEN DER ZUKÜNFTIGEN</small> W<small>ELT ERWORBEN</small>."
"shekalim, Zweiter Abschnitt.9","IX. R. J<small>OḤANAN B</small>. Z<small>AKKAJ EMPFING SIE VON</small> H<small>LLLEL</small> UND Š<small>AMMAJ; ER SAGTE:</small> H<small>AST DU VIEL</small> T<small>ORA GELERNT, SO RECHNE ES DIR NICHT ALS BESONDERES</small> V<small>ERDIENST AN, DENN DAZU BIST DU JA ERSCHAFFEN WORDEN</small>."
"shekalim, Zweiter Abschnitt.10","X. R. J<small>OHANAN B</small>. Z<small>AKKAJ HATTE FÜNF</small> S<small>CHÜLER, UND ZWAR:</small> R. E<small>LIEZER B</small>. H<small>YRKANOS</small>, R. J<small>EHOSUÀ B</small>. H<small>ANANJA</small>, R. J<small>OSE DEN</small> P<small>RIESTER</small>, R. Š<small>IMO͑N B</small>. N<small>ETHANÉL UND</small> R. E<small>LEA͑ZAR B</small>. A͑<small>RAKH</small>."
"shekalim, Zweiter Abschnitt.11","XI. E<small>R ZAHLTE IHRE</small> V<small>ORZÜGE AUF</small>. R. E<small>LIE͑ZER B</small>. H<small>YRKANOS IST WIE EINE AUSGEKALKTE</small> G<small>RUBE, DIE KEINEN</small> T<small>ROPFEN VERLOREN GEHEN LÄSST</small>; R. J<small>EHOŠUA͑ B</small>. Ḥ<small>ANANJA</small>, H<small>EIL DER, DIE IHN GEBOREN;</small> R. J<small>OSE DER</small> P<small>RIESTER IST EIN</small> F<small>ROMMER;</small> R. Š<small>IMO͑N B</small>. N<small>ETHANÉL IST SÜNDENSCHEU;</small> R. E<small>LEA͑ZAR B</small>. A͑<small>RAKH IST WIE EINE SICH VERSTÄRKENDE</small> Q<small>UELLE</small>."
"shekalim, Zweiter Abschnitt.12","XII. E<small>R SAGTE FERNER:</small> W<small>ÄREN ALLE</small> W<small>EISEN</small> J<small>ISRAÉLS IN EINER</small> W<small>AGSCHALE UND</small> R. E<small>LIE͑ZER B</small>. H<small>YRKANOS IN DER ANDEREN, SO WÜRDE ER SIE ALLE AUFWIEGEN</small>. A<small>BBA</small> Š<small>AÜL SAGTE IN SEINEM</small> N<small>AMEN</small>: W<small>ÄREN</small> ALLE WEISEN J<small>LSRAÉLS IN EINER</small> W<small>AGSCHALE, AUCH</small> R. E<small>LIE͑ZER B</small>. H<small>YRKANOS MIT IHNEN, UND</small> R. E<small>LEA͑ZAR</small> [<small>B</small>. A͑<small>RAKH</small>] <small>IN DER ANDEREN, SO WÜRDE ER SIE ALLE AUFWIEGEN</small>."
"shekalim, Zweiter Abschnitt.13","XIII. E<small>R SPRACH ZU IHNEN:</small> G<small>EHT UND SEHT, WELCHES DER RICHTIGE</small> W<small>EG IST, AN DEN EIN</small> M<small>ENSCH SICH HALTE</small>. R. E<small>LIE͑ZER SAGTE:</small> E<small>LN WOHLWOLLENDES</small> A<small>UGE</small>. R. J<small>EHOŠUA͑ SAGTE:</small> E<small>IN GUTER</small> G<small>EFÄHRTE</small>. R. J<small>OSE SAGTE :</small> E<small>IN GUTER</small> N<small>ACHBAR</small>. R. Š<small>IMO͑N SAGTE:</small> D<small>IE</small> F<small>OLGEN VORAUSSEHEN</small>. R. E<small>LEA͑ZAR SAGTE:</small> E<small>IN GUTES</small> H<small>ERZ</small>. D<small>A SPRACH ER ZU IHNEN:</small> D<small>IE</small> W<small>ORTE DES</small> R. E<small>LEA͑ZAR B</small>. A͑<small>RAKH LEUCHTEN MIR AM BESTEN EIN, DENN IN SEINEN</small> W<small>ORTEN SIND EURE ENTHALTEN</small>."
"shekalim, Zweiter Abschnitt.14","XIV. F<small>ERNER SPRACH ER ZU IHNEN:</small> G<small>EHT UND SEHT, WELCHES IST DER SCHLECHTESTE</small> W<small>EG, DEM DER</small> M<small>ENSCH FERN BLEIBE</small>. R. E<small>LIE͑ZER SAGTE:</small> E<small>IN BÖSES</small> A<small>UGE</small>. R. J<small>EHOSUÄ SAGTE :</small> E<small>IN SCHLECHTER</small> G<small>EFÄHRTE</small>. R. J<small>OSE SAGTE :</small> E<small>IN SCHLECHTER</small> N<small>ACHBAR</small>. R. Š<small>IMO͑N SAGTE :</small> B<small>ORGEN UND NICHT BEZAHLEN, OB MAN VON</small> M<small>ENSCHEN BORGT ODER VON</small> G<small>OTT BORGT, DENN ES HEISST</small>: <sup>6</sup><i class=""footnote"">fn2683,Ps. 37,21.</i><i>es borgt der Gottlose und bezahlt nicht, der Fromme aber ist mildtätig und gibt.</i> R. E<small>LEA͑ZAR SAGTE:</small> E<small>IN BÖSES</small> H<small>ERZ</small>. D<small>A SPRACH ER ZU IHNEN :</small> D<small>IE</small> W<small>ORTE DES</small> R. E<small>LEA͑ZAR B</small>. A͑<small>RAKH LEUCHTEN MIR AM BESTEN EIN, DENN IN SEINEN</small> W<small>ORTEN SIND EURE ENTHALTEN</small>."
"shekalim, Zweiter Abschnitt.15","XV. S<small>IE SAGTEN JE DREI</small> D<small>INGE:</small> R. E<small>LIE͑ZER SAGTE:</small> D<small>IE</small> E<small>URE DEINES</small> N<small>ÄCHSTEN SEI DIR EBENSO LIEB WIE DEINE EIGENE</small>. E<small>RZÜRNE NICHT LEICHT</small>. T<small>UE</small> B<small>USSE EINEN</small> T<small>AG VOR DEINEM</small> T<small>ODE</small>. W<small>ÄRME<sup>7</sup><i class=""footnote"">fn2684,Dieser Satz ist einer anderen Version entnommen.</i> DICH AM</small> F<small>EUER DER</small> W<small>EISEN, SEI ABER VORSICHTIG, DASS DU DICH NICHT AN IHRER</small> K<small>OHLE VERBRENNEST; IHR</small> B<small>ISS IST DER</small> B<small>ISS EINES</small> F<small>UCHSES, IHR</small> S<small>TICH IST DER</small> S<small>TICH EINES</small> S<small>KORPIONS, IHR</small> Z<small>ISCHEN IST DAS</small> Z<small>ISCHEN EINER</small> S<small>CHLANGE, UND ALL IHRE</small> W<small>ORTE SIND WIE</small> F<small>EUERKOHLEN</small>."
"shekalim, Zweiter Abschnitt.16","XVI. R. J<small>EHOŠUA͑ SAGTE:</small> D<small>AS BÖSE</small> A<small>UGE, DER BÖSE</small> T<small>RIEB UND</small> M<small>ENSCHENHASS BRINGEN DEN</small> M<small>ENSCHEN AUS DER</small> W<small>ELT</small>."
"shekalim, Zweiter Abschnitt.17","XVII. R. J<small>OSE SAGTE:</small> D<small>AS</small> G<small>ELD DEINES</small> N<small>ÄCHSTEN SEI DIR EBENSO LIEB WIE DEIN EIGENES</small>. R<small>ÜSTE DICH, DIE</small> T<small>ORA ZU LERNEN, DENN SIE IST DIR KEINE</small> E<small>RBSCHAFT</small>. A<small>LL DEINE</small> H<small>ANDLUNGEN SOLLEN UM DES</small> H<small>IMMELS WILLEN GESCHEHEN</small>."
"shekalim, Zweiter Abschnitt.18","XVIII. R. Š<small>IMO͑N SAGTE :</small> S<small>EI AUFMERKSAM MIT DEM</small> L<small>ESEN DES</small> Š<small>EMAA͑ UND DEM</small> G<small>EBET</small>. W<small>ENN DU BETEST, SO MACHE DEIN</small> G<small>EBET NICHT ZU ETWAS</small> F<small>ESTGESETZTEM, VIELMEHR [SEI ES]</small> I<small>NBRUNST UND</small> F<small>LEHEN VOR</small> G<small>OTT, DENN ES HEISST</small>:<sup>8</sup><i class=""footnote"">fn2685,Joel 2,13.</i><i>er ist ein gnädiger und barmherziger Gott, langmütig und huldreich, und läßt sich das Böse gereuen</i>. E<small>RSCHEINE DIR SELBER NICHT ALS</small> B<small>ÖSEWICHT</small>."
"shekalim, Zweiter Abschnitt.19","XIX. R. E<small>LEA͑ZAR SAGTE:</small> S<small>EI EIFRIG BEFLISSEN, DIE</small> T<small>ORA</small><sup>9</sup><i class=""footnote"">fn2686,Das W. <span dir=""rtl"">תורה</span>, das in manchen Texten fehlt, ist zu streichen.</i> <small>ZU LERNEN, WAS DU DEM</small> G<small>OTTESLEUGNER ERWIDERN SOLLST</small>. W<small>ISSE FÜR WEN DU DICH ABMÜHST</small>. D<small>EIN</small> A<small>RBEITSHERR IST ZUVERLÄSSIG, DIR DEN</small> L<small>OHN FÜR DEINE</small> A<small>RBEIT ZU BEZAHLEN</small>."
"shekalim, Zweiter Abschnitt.20","XX<sup>10</sup><i class=""footnote"">fn2687,Diese u. die folgende Mišna scheinen eine spätere Einschiebung zu sein.</i>. R. T<small>RYPHON SAGTE:</small> K<small>URZ DER</small> T<small>AG, VIEL DER</small> A<small>RBEIT, TRÄGE DIE</small> A<small>RBEITER, HOCH DER</small> L<small>OHN, UND DER</small> A<small>RBEITGEBER DRÄNGT</small>."
