Index Title,Beitzah
Beitzah 2a:7,"R. Naḥman erwiderte: Tatsächlich gilt dies von einer zum Eierlegen bestimmten Henne, und wer vom [Verbote des] Abgesonderten hält, hält auch vom [Verbote des] Neuentstandenen, und wer vom [Verbote des] Abgesonderten nichts hält, hält auch nichts vom [Verbote des] Neuentstandenen. Die Schule Šammajs ist der Ansicht R. Šimo͑nsDer vom Verbote des Abgesonderten nichts hält; cf. Sab. Fol. 44b., und die Schule Hillels ist der Ansicht R. Jehudas. – 
"
Beitzah 2a:8,"Kann R. Naḥman dies denn gesagt haben, wir haben ja gelernt: Die Schule Šammajs sagt, man dürfe [am Šabbath] Knochen und Nußschalen vom Tische fortnehmen; die Schule Hillels sagt, man nehme die ganze PlatteDie ein am Sabbath verwendbares Gerät ist. fort und schüttle sie ab. 
"
Beitzah 2a:9,"Hierzu sagte R. Naḥman: Wir wissen nur, daß die Schule Šammajs der Ansicht R. Jehudas und die Schule Hillels der Ansieht R. Šimons ist!? – 
"
Beitzah 2a:10,"R. Naḥman kann dir erwidern: beim Šabbath, wobei der Tanna anonymWonach zu entscheiden ist; cf. Bd. I S. 567 Anm. 105. nach R. Šimo͑n lehrt, denn wir haben gelernt, man dürfe Kürbisse für das Vieh oder ein Aas für die Hunde zerschneiden, 
"
Beitzah 2a:11,"lasse man die Schule HillelsDie Halakha wird (mit wenigen Ausnahmen) nach der Schule H.s entschieden. die Ansicht R. Šimo͑ns vertreten;
"
Beitzah 2b:1,"beim Festtage aber, wobei der Tanna anonym nach R. Jehuda lehrt, denn wir haben gelernt, man dürfe kein Holz von einem Balken abspalten, auch nicht von einem am Festtage zerbrochenenWodurch er zum Verheizen bestimmt wird. Balken, lasse man die Schule Hillels die Ansicht R. Jehudas vertreten. – 
"
Beitzah 2b:2,"Merke, der unsere Mišna anonym lehrte, ist ja Rabbi, weshalb lehrt er sie beim Šabbath anonym nach R. Šimo͑n und beim Festtage anonym nach R. Jehuda!? – 
"
Beitzah 2b:3,"Ich will dir sagen, der Šabbath ist streng, und man wird nicht verleitet, ihn geringzuschätzen, daher lehrt er anonym nach R. Šimo͑n, der erleichternd ist, der Festtag aber ist leichter, und da man ihn geringzuschätzen verleitet werden könnte, lehrt er nach R. Jehuda, der erschwerend ist. – 
"
Beitzah 2b:4,"Weshalb streiten sie, wenn du es auf eine zum Eierlegen bestimmte Henne bezogen hast, wegen des Abgesonderten, über das Ei, sie sollten über die Henne selbstDie, weil zum Legen bestimmt. Abgesondertes ist.streiten!? – 
"
Beitzah 2b:5,"Um dir die weitgehendere Ansicht der Schule Šammajs hervorzuheben, daß sogar das Neuentstandene erlaubt ist. – 
"
Beitzah 2b:6,"Sollten sie über die Henne selbst streiten, um dir die weitgehendere Ansicht der Schule Hillels hervorzuheben, daß sogar das Abgesonderte verboten ist!? Wolltest du sagen, die erlaubende Ansicht sei zu bevorzugen, so sollten sie über beides streiten:
"
Beitzah 2b:7,"die zum Eierlegen bestimmte Henne und das Ei derselben dürfen, wie die Schule Šammajs sagt, gegessen werden, und wie die Schule Hillels sagt, nicht gegessen werden!? 
"
Beitzah 2b:8,"Vielmehr, erklärte Rabba, tatsächlich gilt dies von einer zum Schlachten bestimmten Henne, jedoch an einem Festtage unmittelbar nach dem Šabbath, wegen der VorbereitungIst es nach der Schule H.s verboten.. 
"
Beitzah 2b:9,"Nach Rabba ist das heute gelegte Ei gestern fertig geworden, und Rabba vertritt hierbeiDaß auch das von der Natur Zubereitete event. verboten ist.seino Ansicht. 
"
Beitzah 2b:10,"Rabba sagte nämlich:Ex. 16,5. <i>Und am sechsten Tage sollen sie vorbereiten, was sie heimbringen</i>; der Wochentag bereitet für den Šabbath vor, der Wochentag bereitet für den Festtag vor, nicht aber bereitet der Festtag für den Šabbath vor, noch bereitet der Šabbath für den Festtag vor. 
"
Beitzah 2b:11,"Abajje sprach zu ihm: Demnach sollte es an einem sonstigen Festtage erlaubt sein!? – Mit Rücksicht auf einen Festtag nach dem Šabbath. – Sollte es doch an einem gewöhnlichen Šabbath erlaubt sein!? – Mit Rücksicht auf einen Šabbath nach dem Festtage. –
"
Beitzah 2b:12,"Berücksichtigen wir dies denn, es wird ja gelehrt: Wenn man eine Henne am Festtage schlachtet und in dieser fertige Eier findet, so darf man sie essen. Wenn nun dem so wäre, so sollte man bei diesen die am selben Tage gelegten berücksichtigen!? 
"
Beitzah 2b:13,"Dieser erwiderte: Fertige Eier in der Henne sind etwas Seltenes, und bei Seltenem haben die Rabbanan nichts berücksichtigt. 
"
Beitzah 2b:14,"R. Joseph erklärte: Hierbei sindNach der Schule H.s.abgefaliene FrüchteFrüchte, die am Šabbath abfallen, sind aus dem weiter folgenden Grunde zu essen verboten.berücksichtigt worden. 
"
Beitzah 2b:15,"Abajje sprach zu ihm: Abgefallene Früchte sind aus dem Grunde [verboten], weil berücksichtigt wird, 
"
Beitzah 3a:1,"man könnte hinaufsteigen und pflücken; dies ist also nur eine Berücksichtigung, und wir sollten eine Berücksichtigung für eine Berücksichtigung treffen!? – Bei beidem ist es dieselbe Berücksichtigung. 
"
Beitzah 3a:2,"R. Jiçḥaq erklärte: Hierbei istNach der Schule H.s.ausfließender SaftDer, wenn dies am Šabbath erfolgt, verboten ist; cf. Sab. Fol. 143b.berücksichtigt worden. 
"
Beitzah 3a:3,"Abajje sprach zu ihm: Der ausfließende Saft ist ja nur aus dem Grunde [verboten], weil berücksichtigt wird, man könnte ihn direkt auspressen; dies ist also nur eine Berücksichtigung, und wir sollen eine Berücksichtigung für eine Berücksichtigung treffen!? – Bei beidem ist es dieselbe Berücksichtigung. 
"
Beitzah 3a:4,"Diese alle erklären nicht wie R. Naḥman, wegen unseres Einwandes, wie Rabba erklären sie ebenfalls nicht, da sie von der Vorbereitung nichts halten; 
"
Beitzah 3a:5,"weshalb aber erklärt R.Joseph nicht wie R. Jiçḥaq? – Er kann dir erwidern: das Ei ist eine Speise, Früchte sind eine Speise, der Saft aber ist keine Speise. – 
"
Beitzah 3a:6,"Weshalb erklärt R. Jiçḥaq nicht wie R. Joseph!? – Er kann dir erwidern: das Ei ist eingeschlossen, der Saft ist eingeschlossenIn der Henne, bezw. in den Früchten., Früchte aber liegen frei.
"
Beitzah 3a:7,"Auch R. Joḥanan ist der Ansicht, hierbei sei ausfließender Saft berücksichtigt worden. R. Joḥanan wies nämlich auf einen Widerspruch hin, in dem sich R. Jehuda befindet, und erklärte ihn auch. 
"
Beitzah 3a:8,"Wir haben gelernt: Man darf keine Früchte ausdrücken, um Saft zu gewinnen; ist er von selber ausgeflossen, so ist er verboten. R. Jehuda sagte: Sind sie zum Essen bestimmt, so ist, was ausfließt, erlaubt, und sind sie zur [Gewinnung von] Saft bestimmt, so ist, was ausfließt, verboten. 
"
Beitzah 3a:9,"Demnach gilt esWas von den Früchten gewonnen wird.als abgetrennte Speise, 
"
Beitzah 3a:10,"und dem widersprechend wird gelehrt: Ferner sagte R. Jehuda: Man darf am ersten Festtage über einen Korb Früchte bedingungsweise bestimmenEs ist verboten, die priesterlicben Abgaben von Früchten am Festtage abzusondern; da von beiden Festtagen nur einer heilig ist, so treffe man ev. am 1. Tage folgende Bestimmung: ist heute Alltag, so sei die Absonderung gültig, ist heute Feiertag, so sei sie ungültig, u. ebenso am 2. Tage.
"
Beitzah 3a:11,"und sie am zweiten essen; ebenso darf man ein am ersten [Tage] gelegtes Ei am zweiten essen. 
"
Beitzah 3a:12,"Nur am zweiten und nicht am ersten!? Und R. Joḥanan erklärte, man wende die LehreDer aus zum Essen bestimmten Früchten ausfließende Saft sei nach RJ. verboten, nach den Rabbanan erlaubt.um. 
"
Beitzah 3a:13,"Wenn er sie als einander widersprechend bezeichnet, so ist ja zu entnehmen, daß es [bei beidem] der gleiche Grund istWeshalb es verboten ist.. 
"
Beitzah 3b:1,"Rabina erklärte: Tatsächlich brauchst du sie nicht umzuwenden, denn R. Jehuda sagte es nach der Ansicht der Rabbanan: 
"
Beitzah 3b:2,"nach mir ist es sogar am ersten [Festtage] erlaubt, weil es eine abgetrennte Speise ist, aber auch ihr solltet mir beipflichten, daß es am zweiten [Tage] erlaubt ist, da es ja zwei verschiedene HeiligkeitenEiner der beiden Tage ist nicht heilig.sind. Die Rabbanan aber erwiderten ihm: Nein, es ist die gleicheIn dieser Lehre handelt es sich um die 2 Tage des Neujahrsfestes, für das 2 Tage festgesetzt sind; vgl. Rh. Fol. 30b.Heiligkeit. 
"
Beitzah 3b:3,"Rabina, Sohn des R. U͑la, erklärte: Hier handelt es sich um eine zum Eierlegen bestimmte Henne, und R. Jehuda vertritt hierbei seine Ansicht, daß es Abgesondertes ist. 
"
Beitzah 3b:4,"Man wandte ein: Man darf ein Ei, einerlei ob am Šabbath oder am Festtage gelegt, nicht fortbewegen, um damit ein Gefäß zuzudecken oder den Fuß eine Bettstelle zu stützen; 
"
Beitzah 3b:5,"wohl aber darf man darauf ein Gefäß stülpen, damit es nicht zerbrochen werde. In einem Zweifel ist es verboten; vermischte es sich unter tausend, so sind alle verboten. 
"
Beitzah 3b:6,"Allerdings ist es nach Rabba, welcher erklärt, wegen der Vorbereitung, ein Zweifel [eines Verbotes] der Tora, und bei einem Zweifel [eines Verbotes] der Tora ist erschwerend zu entscheiden,
"
Beitzah 3b:7,"nach R. Joseph und R. Jiçḥaq aber, die erklären, aus Berücksichtigung, ist es ja Zweifel eines rabbanitischen [Verbotes], und bei einem Zweifel eines rabbanitischen [Verbotes] ist ja erleichternd zu entscheiden!? 
"
Beitzah 3b:8,"(Dieser erwiderte:) Der Schlußsatz spricht von einem Zweifel der TotverletzungWenn über die Henne ein Zweifel obwaltet, ob sie nicht totverletzt u. zum Essen verboten ist.. – 
"
Beitzah 3b:9,"Wie ist demnach der Schlußsatz zu erklären: vermischte es sich unter tausend, so sind alle verboten. Allerdings ist es, wenn du sagst, ein Zweifel, ob am Festtage oder am Wochentage [gelegt], eine Sache, für die es ein ErlaubtwerdenNach dem Feste ist es auf jeden Fall erlaubt.gibt, und wofür es ein Erlaubtwerden gibt, verliert sich auch im Tausendfachen nicht,
"
Beitzah 3b:10,"wenn du aber sagst, ein Zweifel der Totverletzung, ist es ja eine Sache, für die es kein Erlaubtwerden gibt, und sollte doch in der Mehrheit aufgehen!? 
"
Beitzah 3b:11,"Wolltest du sagen, ein Ei sei etwas Bedeutendes und gehe nicht auf, so stimmt dies allerdings nach demjenigen, welcher sagt, die Lehre laute ‘wennEine Sache, die mancher ihrer Bedeutung wegen nicht nach dem Augenmaße, sondern nur gezählt verkauft; darauf ist die weiter folgende Lehre zu beziehen.man es gewöhnlich zählt’, 
"
Beitzah 3b:12,"wie ist es aber nach demjenigen zu erklären, welcher sagt, die Lehre laute ‘wasWas nur gezählt verkauft wird, wozu Eier nicht gehören.man gewöhnlich zählt’!? 
"
Beitzah 3b:13,"Wir haben nämlich gelernt: Hat jemand Bündel Bockshornklee von Mischfrucht (des Weinbergs), so sind sie zu verbrennen; sind sie mit anderen und die anderen mit anderen vermischt worden, so sind sie alle zu verbrennen – so R. Meír; die Weisen sagen, sie gehen unter zweihundertundeinem auf. 
"
Beitzah 3b:14,"R. Meír sagte also: Was man [beim Verkaufe] gewöhnlich zählt, macht zum Genusse verboten. Die Weisen aber sagen, nur sechs Dinge machen zum Genusse verboten; R. A͑qiba sagt, sieben, Folgende sind es: Zerreibbare NüsseCf. Bd. I S. 426 Anm. 3., bedanische Granatäpfel, verspundete Fässer [mit Wein], Mangoldstrünke, Kohltriebe und der griechische Kürbis; R. A͑qiba fügt noch das hausbackene Brot hinzu. 
"
Beitzah 3b:15,"Was zum Ungeweihten gehört, macht als Ungeweihtes [verboten], was zur Mischfrucht (des Weinberges), als Mischfrucht (des Weinberges). Hierüber wurde gelehrt: R. Joḥanan sagt, die Lehre laute, ‘was man gewöhnlich zählt’, und R. Šimo͑n b.Laqiš sagt, die Lehre laute ‘wenn man es gewöhnlich zählt’. 
"
Beitzah 3b:16,"Richtig ist dies nun nach R.Šimo͑n b.Laqiš, wie ist es aber nach R. Joḥanan zu erklären!? 
"
Beitzah 3b:17,"R. Papa erwiderte: Dieser Tanna ist der Autor [der Lehre] von der Litra getrockneter Feigen, welcher sagt, alles was gezählt wird, gehe sogar bei einem rabbanitischen [Verbote] nicht auf, und um so weniger bei einem der Tora. 
"
Beitzah 3b:18,"Es wird nämlich gelehrt: Wenn eine Litra getrockneter Feigen [von Hebe] am Rande einer Preßform gelegen hat, und man nicht weiß, in welcher Form man sie gepreßt hat, oder am Rande eines Fasses, und man nicht weiß, in welchem Faße man sie gepreßt hat, oder am Rande eines Bienenkorbes, und man nicht weiß, in welchem Bienenkorbe man sie gepreßtDie Fässer mit profanen Früchten unterliegen dem Zweifel. hat, so werden, wie R. Meír sagt, nach R. Elie͑zer 
"
Beitzah 4a:1,"die oberen [Feigen]Die am Rande gelegen haben; über die unteren besteht kein Zweifel. als einzelne betrachtet, und die oberen gehen unter den unterenDie Anzahl der Fässer ist gleichgültig.auf, 
"
Beitzah 4a:2,"und nach R. Jehošua͑ gehen sie nur unter hundert anderen am Rande befindlichenWenn 100 Fässer vorhanden sind.auf, und wenn keine [hundert vorhanden] sind, so sind die am Rande befindlichen verboten, und die am Boden befindlichen erlaubt. 
"
Beitzah 4a:3,"R. Jehuda sagt, nach R. Elie͑zer gehen sie unter hundert am Rande befindlichen auf, und wenn keine [hundert vorhanden] sind, so sind die am Rande befindlichen verboten und die am Boden befindlichen erlaubt, nach R. Jehošua͑ aber gehen sie nicht einmal unter dreihundert anderen am Rande befindlichen auf. 
"
Beitzah 4a:4,"Wenn man sie aber in der Form gepreßt und weiß nicht, in welcher Form man sie gepreßt hat, so stimmen alle überein, daß sie aufgehenUnter den übrigen Feigen dieser Form.. – ‘So stimmen alle überein’, darin besteht ja ihr Streit!? 
"
Beitzah 4a:5,"R. Papa erwiderte: Er meint es wie folgt: wenn man sie in einer Form gepreßt hat und nicht weiß, an welcher Stelle der FormSie liegen nicht besonders u. können nicht gezählt werden. man sie gepreßt hat, ob nördlich oder südlich, so stimmen alle überein, daß sie aufgehen. 
"
Beitzah 4a:6,"R. Aši sagte: Tatsächlich handelt es sich um den Zweifel, ob am Festtage oder am Wochentage [gelegt], es ist aber eine Sache, für die es ein Erlaubtwerden gibt, und eine Sache, für die es ein Erlaubtwerden gibt, geht auch bei einem rabbanitischen [Verbote] nicht aufDa es nach dem Feste überhaupt erlaubt ist, so verfahre man bei einem Zweifel erschwerend, obgleich es sich um ein rabbanitisches Verbot handelt..
"
Beitzah 4a:7,"Es wird gelehrt: Manche sagen im Namen R. Elie͑zers, Ei und Henne dürfen beide gegessen werden. – In welchem Falle: wollte man sagen, wenn die Henne zum Schlachten bestimmt ist, so ist es ja selbstverständlich, daß es und die Mutter erlaubt sind, und wollte man sagen, wenn die Henne zum Eierlegen bestimmt ist, so sind ja beide verboten!? R. Zera erwiderte: Es darf durch die Mutter gegessenWird die Henne gegessen, so darf auch das Ei gegessen werden.werden. – 
"
Beitzah 4a:8,"In welchem Falle? Abajje erwiderte: Wenn man sie zum Beispiel ohne Bestimmung gekauft hat; wird sie geschlachtet, so ergibt es sich, daß sie zum Schlachten bestimmt war, wird sie nicht geschlachtet, so ergibt es sich, daß sie zum Eierlegen bestimmt war. 
"
Beitzah 4a:9,"R. Mari sagte: Er lehrt nur eine ÜbertreibungDaß man beide essen dürfe.. Es wird nämlich gelehrt: Manche sagen im Namen R. Elie͑zers, Ei und Henne, Küchlein und Schale dürfen gegessen werden. 
"
Beitzah 4a:10,"Was heißt Schale: wollte man sagen, die wirkliche Schale, so ist ja die Schale nicht eßbar, und wollte man sagen, das Küchlein in der Schale, so streiten ja die Rabbanan gegen R. Elie͑zer b. Ja͑qobNach dem junge Küchlein, die noch nicht sehen können, zum Essen verboten sind; cf. infra Fol. 6b. nur über den Fall, wenn es noch nicht zur Welt gekommen ist, nicht aber über den Fall, wenn es bereits zur Welt gekommen ist!? 
"
Beitzah 4a:11,"Vielmehr ist [der Ausdruck] ‘Küchlein und Schale’ nur eine Übertreibung, ebenso ist auch hier der Ausdruck ‘Ei und Henne’ nur eine Übertreibung.
"
Beitzah 4a:12,"Es wurde gelehrt: Wenn ein Šabbath und ein Festtag [aufeinander folgen, so ist das Ei], das an einem [dieser Tage] gelegt wurde, am anderen, wie Rabh sagt, verboten; R. Joḥanan sagt, das an einem Tage gelegt wurde, ist am anderen erlaubt. Demnach wäre Rabh der Ansicht, die Heiligkeit [beider Tage] sei die gleicheSie gelten als ein Tag.
"
Beitzah 4a:13,"und [dem widersprechend] sagte Rabh, die Halakha sei wie die vier ÄltestenCf. Er. Fol. 38b., nach R. Elie͑zer, welcher sagt, es seien zwei verschiedene Heiligkeiten!? – 
"
Beitzah 4a:14,"Vielmehr, sie streiten über die Vorbereitung des RabbaDie Vorbereitung, die durch die Natur erfolgt ist; das am Feste im Körper der Henne fertig gewordene Ei ist am unmittelbar folgenden Šabbath verboten; cf. supra Fol. 2b.. Rabh hält von der Vorbereitung des Rabba und R. Joḥanan hält nichts von der Vorbereitung des Rabba. 
"
Beitzah 4a:15,"[Hierüber streiten auch] Tannaím: Das am Šabbath gelegte [Ei] darf am Feste und das am Feste gelegte [Ei] darf am Šabbath gegessen werden; R. Jehuda sagt im Namen R. Elie͑zers, hierüber bestehe noch ein Streit: nach der Schule Šammajs darf es gegessen werden, und nach der Schule Hillels darf es nicht gegessen werden.
"
Beitzah 4a:16,"Der Gastwirt des R. Ada b.Ahaba hatte zum Šabbath am Feste [vorher] gelegte Eier, und kam zu ihm fragen, ob man sie heute backen dürfe, um sie morgen zu essen? 
"
Beitzah 4a:17,"Dieser erwiderte: Du glaubstWenn gefragt wird, ob man sie heute für morgen braten darf.wohl, [bei einem Streite zwischen] Rabh und R. Joḥanan sei die Halakha wie R. Joḥanan zu entscheiden, aber auch R. Joḥanan erlaubt nur, es am folgenden Tage zu trinken, nicht aber, es am selben Tage [zu berühren]. 
"
Beitzah 4a:18,"Es wird nämlich gelehrt: Man darf ein Ei, einerlei ob am Šabbath oder am Festtage gelegt, nicht fortbewegen, um damit ein Gefäß zuzudecken, oder damit den Fuß einer Bettstelle zu stützen.
"
Beitzah 4a:19,"Der Gastwirt R. Papas, manche sagen, jemand anders, der vor R. Papa kam, hatte zum Feste am Šabbath vorher gelegte Eier und fragte ihn, ob man sie morgen essen dürfe? Dieser erwiderte: Gehe jetzt und komm morgen. Rabh bestellte nämlich keinen Dolmetsch an einem Festtage für den folgenden wegen TrunkenheitEr hielt am Feste keinen Vortrag, weil er sich berauschen könnte, u. der Trunkene keine Rechtsfrage entscheiden darf.. 
"
Beitzah 4a:20,"Als jener am folgenden Tage kam, sprach er zu ihm: 
"
Beitzah 4b:1,"Hätte ich sofort entschieden, so würde ich mich geirrt und gesagt haben, [bei einem Streite zwischen] Rabh und R. Joḥanan sei die Halakha wie R. Joḥanan zu entscheiden, während Raba gesagt hat, bei diesenBeim Ei am Š. u. F., bei den beiden Festtagen in der Diaspora u. den beiden Neujahrstagen; cf. infra Fol. 5b.drei Dingen sei die Halakha wie Rabh, sowohl erleichternd als auch erschwerend.
"
Beitzah 4b:2,"R. Joḥanan sagte: Wenn am Šabbath Holz vom BaumeIm Texte Palme, die oft als Gattungsname für Bäume allgemein gebraucht wird.abfällt, so darf man es am [darauffolgenden] Festtage nicht verheizen. Du darfst mir aber nicht [meine Lehre über] das EiVon dem RJ. oben lehrt, daß es am folgenden Tage erlaubt sei.entgegenhalten. – Weshalb? – Das Ei ist auch am selben Tage zum Trinken verwendbar, und wenn es erst am folgenden Tage erlaubt ist, so weiß man, daß es am selben Tage verboten ist, das Holz aber ist für denselben TagDen Š., da man nicht heizen darf.nicht verwendbar, und wenn man es am folgenden Tage erlauben würde, könnte man glauben, es sei sonst auch am selben Tage erlaubt, und nur [in diesem Falle nicht], wegen des Šabbaths, weil es dann zum Heizen nicht verwendbar ist. 
"
Beitzah 4b:3,"R. Mathna sagte: Wenn am Festtage Holz vom Baume in den Ofen fällt, so darf man vorrätiges Holz zufügen und jenes mitheizen. – Man verwendet ja aber VerbotenesBeim Schüren des Feuers.? – Da das meiste aus Erlaubtem besteht, so schürt man Erlaubtes. – 
"
Beitzah 4b:4,"Man hebt ja direkt ein Verbot auf, und wir haben ja gelernt, man dürfe ein Verbot nicht direkt aufhebenMan darf die Mehrheit, worin das Verbotene sich verliert, nicht direkt herbeiführen; cf. Ter. V,9.!? – Dies nur bei einem [Verbote] der Tora, ein rabbanitisches aber darf man aufheben. –
"
Beitzah 4b:5,"Wie ist es aber nach R. Aši zu erklären, welcher sagt, wofür es ein Erlaubtwerden gibt, werde nicht aufgehoben, auch wenn [das Verbot] rabbanitisch ist!? – Dies nur, wo das Verbotene bestehenWie beispielsweise bei der Vermischung einer verbotenen mit einer erlaubten Speise.bleibt, hier aber wird ja das Verbotene verbrannt.
"
Beitzah 4b:6,"Es wurde gelehrt: Von den beiden Festtagen in der DiasporaCf. Suk. Fol. 46 Anm. 74b.sagt Rabh, [das Ei], das an einem gelegt wurde, sei am anderen erlaubt; R. Aši sagt, das an einem gelegt wurde, sei am anderen verboten. – 
"
Beitzah 4b:7,"Demnach wäre R. Aši der Ansicht, die Heiligkeit beider sei die gleiche, während doch R. Aši zwischen beiden Festtagen den Unterscheidungssegen las!? – 
"
Beitzah 4b:8,"R. Aši war es zweifelhaft, daher verfuhr er in der einen Hinsicht erschwerend und in der anderen Hinsicht erschwerend. 
"
Beitzah 4b:9,"R. Zera sagte: Die Ansicht Ašis ist einleuchtender; jetzt sind wir ja in der Festsetzung des Neumondes kundig, dennoch feiern wir zwei Tage. 
"
Beitzah 4b:10,"Abajje sagte: Die Ansicht Rabhs ist einleuchtender; wir haben gelernt, daß man esOb der eben verstrichene Tag der 30. des vergangenen oder der 1. des kommenden Monats ist, um dies außerhalb Jerušalems zu verkünden; cf. Rh. Fol. 22b.früber durch Feuersignale anzeigte, wegen des Unfugs der Samaritaner aber angeordnet habe, daß Boten ausziehen. 
"
Beitzah 4b:11,"Demnach müßte man, wenn der Unfug der Samaritaner aufhört, nur einen Tag feiern, wo die Boten hinkommen, nur einen Tag feiern. –
"
Beitzah 4b:12,"Weshalb aber feiern wir jetzt zwei Tage, wo wir in der Festsetzung des Neumondes kundig sind? – Weil sie von dort sagen ließen: Seid behutsam mit den bei euch eingeführten Bräuchen eurer Vorfahren, denn bei einer ReligionsverfolgungDem Verbote, das Gesetz zu studieren, wodurch die Kalenderkunde in Vergessenheit geraten könnte. könnte ja ein Verderb entstehen.
"
Beitzah 4b:13,"Es wurde gelehrt: Von den beiden Tagen des Neujahrsfestes sagten Rabh und Šemuél beide, [das Ei], das an einem gelegt wurde, sei [auch] am anderen verboten. Denn wir haben gelernt: Anfangs nahm man die Zeugenaussage [über das Erscheinen] des Neumondes den ganzen TagDen 30. Elul, der schon im Voraus zum Neujahrs tage bestimmt wurde, da man mit der Bestätigung durch die Zeugen rechnete. entgegen; als aber einst die Zeugen sich verspäteten 
"
Beitzah 5a:1,"und die Leviten mit dem Gesange zu einem VerstoßeSie sangen das Alltagslied, u. durch die nachher erfolgte Zeugenaussage stellte es sich heraus, daß es tatsächlich der Neujahrstag war.kamen, ordnete man an, die Zeugen nur bis zur Vesperzeit zu empfangen, 
"
Beitzah 5a:2,"und wenn Zeugen später kommen, so ist dieser Tag heilig und der folgende ebenfalls.
"
Beitzah 5a:3,"Rabba sagte: Seit der Anordnung des R. Joḥanan b.Zakkaj ist das Ei [am zweiten Tage] erlaubt, denn wir haben gelernt: Nach der Zerstörung des Tempels ordnete R. Joḥanan b. Zakkaj an, die Zeugenaussage über [das Erscheinen] des Neumondes den ganzen Tag zu empfangenBeide Tage sind nicht heilig, vielmehr werden 2 Tage nur des Zweifels wegen gefeiert.. 
"
Beitzah 5a:4,"Abajje sprach zu ihm: Rabh und Šemuél sagen ja beide, das Ei sei [am zweiten] verboten!? Dieser erwiderte: Ich nenne dir R. Joḥanan b.Zakkaj und du hältst mir Rabh und Šemuél entgegen !? – 
"
Beitzah 5a:5,"Gegen Rabh und Šemuél ist ja ein Einwand aus der Mišna zu erheben !? – Das ist kein Einwand; dies für uns, jenes für sieDie Palästinenser feiern einen Tag, die Babylonier 2 Tage.. 
"
Beitzah 5a:6,"R. Joseph sagte: Auch nach der Anordnung des R. Joḥanan b.Zakkaj ist das Ei [am zweiten] verboten. – Aus welchem Grunde? – Dies ist durch Abstimmung erfolgt, und was durch Abstimmung [verboten] wurde, kann nur durch eine andere Abstimmung erlaubt werden.
"
Beitzah 5a:7,"R.Joseph sprach: Woher entnehme ich dies? Es heißt: Dt. 5,27.<i>Geh, sage ihnen: Kehret in eure Zelte zurück</i>. Ferner heißt es:Ex. 19,13.<i>Wenn das Widderhorn geblasen wird, sollen sie den Berg hinansteigen</i>. 
"
