Index Title,Makkot
Makkot 2a:7,"Bar Pada erklärte: es ist [ein Schluß] vom Schwereren auf das Leichtere zu folgern: wenn der EntweihendeEin Priester, der eine Geschiedene od. Ḥaluça heiratet, wodurch er seine Nachkommenschaft entweiht.nicht entweiht wird, um wieviel weniger wird der entweiht, der einen anderen nur entweihen wollte, dies aber nicht vollbracht hat. Rabina wandte ein: Demnach hast du ja das Gesetz von den überführten Falschzeugen aufgehoben: 
"
Makkot 2b:1,"wenn derjenige, der die Steinigung veranlaßtDie überführten Falschzeugen verfallen nur dann der Strafe, wenn der Angeklagte noch nicht hingerichtet worden ist, nicht aber, wenn er bereits hingerichtet worden ist; cf. infra Fol. 5b.hat, nicht gesteinigt wird, um wieviel weniger ist der zu steinigen, der die Steinigung nur veranlassen wollte, dies aber nicht vollbrachtDie überführten Falschzeugen verfallen nur dann der Strafe, wenn der Angeklagte noch nicht hingerichtet worden ist, nicht aber, wenn er bereits hingerichtet worden ist; cf. infra Fol. 5b.hat!? – Am richtigsten ist vielmehr unsere erste Erklärung.
"
Makkot 2b:2,"W<small>IR BEKUNDEN, DASS JENER</small> M<small>ANN SICH DER</small> V<small>ERBANNUNG SCHULDIG GEMACHT HAT</small> &amp;<small>C</small>. Woher dies? Reš Laqiš erwiderte: Die Schrift sagt:Dt. 19,5.<i>er flüchte sich in eine dieser Städte</i>, er, nicht aber die überführten Falschzeugen. 
"
Makkot 2b:3,"R. Joḥanan erklärte: Dies ist [durch einen Schluß] vom Schwereren auf das Leichtere zu folgern: wenn [der Totschläger] nicht verbannt wird, obgleich er eine vorsätzliche Handlung begangenWer jemand vorsätzlich getötet hat, jedoch aus formellen Gründen nicht verurteilt werden kann, wird nicht in eine Zufluchtstadt verbannt.hat, um wie viel weniger sind diese zu verbannen, die keine vorsätzliche Handlung begangen haben. – 
"
Makkot 2b:4,"Eben deshalb: er, der eine vorsätzliche Handlung begangen hat, wird nicht verbannt, damit er keine Sühnie erlange, sie aber, die keine vorsätzliche Handlung begangen haben, sind zu verbannen, damit sie Sühne erlangen!? – Am richtigsten ist vielmehr die Erklärung des Reš Laqiš.
"
Makkot 2b:5,"U͑la sagte: Wo finden wir in der Tora eine Andeutung für [das Gesetz über die] Falschzeugen? – Es heißt ja ausdrücklich: <i>so sollt ihr über ihn das verhängen, was er gedacht hat &amp;c</i>.!? – Vielmehr, wo finden wir in der Tora eine Andeutung dafür, daß die überführten Falschzeugen zu geißeln sind? Es heißt :Dt. 25,1,2.<i>sie sollen den Unschuldigen freisprechen und den Schuldigen schuldig sprechen: und wenn der Schuldige zu geißeln ist</i>. Sollte man den Schuldigen etwa deshalb schuldigsprechen und ihn geißeln, weil sie den Unschuldigen freisprechen? 
"
Makkot 2b:6,"Vielmehr: wenn Zeugen einen Unschuldigen beschuldigen und darauf andere Zeugen kommen und ihn entlasten und jene Zeugen beschuldigen, so sind die Schuldigen zu geißeln. – 
"
Makkot 2b:7,"DiesDaß sie zu geißeln sind. Auf jedes Verbot ist, wenn nicht ausdrücklich eine andere Strafe angegeben ist, die Geißelung gesetzt.liegt ja schon im Verbote :Ex. 20,16.<i>du sollst nicht falsches Zeugnis ablegen</i>!? – Dies ist ein Verbot, durch das keine Tätigkeit ausgeübt wird, und wegen eines Verbotes, durch das keine Tätigkeit ausgeübt wird, ist nicht zu geißeln.
"
Makkot 2b:8,"Die Rabbanan lehrten: Viererlei Dinge wurden von den überführten Falschzeugen gelehrt: sie werden nicht als Söhne einer Geschiedenen oder Ḥaluça erklärt, sie werden nicht in die Zufluchtsstädte verbannt, sie zahlen kein LösegeldWenn ein Ochs zum 3. Male einen Menschen tötet, so muß der Eigentümer ein Lösegeld zahlen; cf. Ex. 21,28ff.und sie werden nicht als hebräische SklavenWer einen Diebstahl begangen hat und keinen Ersatz leisten kann, wird als Sklave verkauft; cf. Ex. 22,2.verkauft. Im Namen R. A͑qibas sagten sie: sie zahlen auch keine [Geldbuße] bei einem GeständnisseWer ohne von Zeugen belastet worden zu sein eine Handlung eingesteht, worauf eine Geldbuße gesetzt ist, ist von dieser frei.. 
"
Makkot 2b:9,"Sie werden nicht als Söhne einer Geschiedenen oder einer Ḥaluça erklärt, wie wir bereits erklärt haben. Sie werden nicht in die Zufluchtsstädte verbannt, wie wir bereits gesagt haben. Sie zahlen kein Lösegeld, nach der Ansicht, das Lösegeld sei eine SühneEigentl. sollte der Eigentümer mit dem Tode bestraft werden; cf. Ex. 29., und diese brauchen ja nicht der Sühne. – 
"
Makkot 2b:10,"Wer lehrte, das Lösegeld sei eine Sühne? R. Ḥisda erwiderte: Es ist R. Jišma͑él, Sohn des R. Joḥanan b. Beroqa. Es wird nämlich gelehrt :Ex. 21,30.<i>So soll er das Lösegeld seines Lebens geben</i>, den Wert des Beschädigten; R. Jišma͑él, Sohn des R. Joḥanan b. Beroqa, sagt, den Wert des Schädigers. Ihr Streit besteht wahrscheinlich in folgendem: einer ist der Ansicht, das Lösegeld sei eine Geld[entschädigung], und einer ist der Ansicht, das Lösegeld sei eine Sühne. 
"
Makkot 2b:11,"R. Papa entgegnete: Nein, alle sind der Ansicht, das Lösegeld sei eine Sühne, und ihr Streit besteht in folgendem: einer ist der Ansicht, man schätze den Wert des Beschädigten, und einer ist der Ansicht, man schätze den Wert des Schädigers. – 
"
Makkot 2b:12,"Was ist der Grund der RabbananWenn das Lösegeld eine Sühne ist, so müßte er ja seinen eigenen Wert zahlen.? – UntenCf. Ex. 21,22.heißt es ‘auferlegen’ und obenBei dem Falle, wenn jemand eine schwangere Frau stößt und sie abortiert; er muß dann eine Entschädigung zahlen; cf. ib. 21,30.heißt es ‘auferlegen’, wie dort [den Wert] des Beschädigten, ebenso auch hier [den Wert] des Beschädigten. – 
"
Makkot 2b:13,"Und R. Jišma͑él!? – Es heißt: <i>so soll er das Lösegeld seines Lebens geben</i>. – Und die Rabbanan!? – Allerdings heißt es, daß er das Lösegeld seines Lebens gebe, jedoch richtet man sich bei der Schätzung nach dem Werte des Beschädigten.
"
Makkot 2b:14,"«Sie werden nicht als hebräische Sklaven verkauft.» R. Hamnuna wollte sagen, dies gelte nur von dem Falle, wenn [der Beschuldigte Vermögen] besitztUnd Ersatz leisten kann., denn da dieser nicht verkauft worden sein würde, so werden sie ebenfalls nicht verkauft, wenn er aber keines besitzt, so werden sie wohl verkauft, obgleich sie [Vermögen] besitzen.
"
Makkot 2b:15,"(Da sprach Raba zu ihm:) Sie können ja zu ihm sagen: wenn du welches hättest, würde man dich ja nicht verkaufen, ebenso können auch wir nicht verkauft werden. Vielmehr: R. Hamnuna wollte sagen, dies gelte nur von dem Falle, wenn entweder er oder sie [Vermögen] besitzen, wenn aber weder er noch sie [Vermögen] besitzen, so werden sie wohl verkauft. Da sprach Raba zu ihm: Der Allbarmherzige sagt ja:Ex. 22,2.<i>so soll er für seinen Diebstahl verkauft werden</i>; für seinen Diebstahl, nicht aber für die Überführung als Falschzeuge.
"
Makkot 2b:16,"«Im Namen R. A͑qibas sagten sie &amp;c.» Was ist der Grund R. A͑qibas? – Er ist der Ansicht, diesDie Zahlung der Falschzeugen, wenn es sich um eine solche handelt.sei eine Geldbuße, und im Falle eines Geständnisses wird keine Geldbuße gezahlt. Rabba sagte: Dies ist auch zu beweisen: sie zahlen, obgleich sie keine Tätigkeit ausgeübt haben. R. Naḥman sagte: Dies ist zu beweisen: sie zahlen, obgleich das Geld sich im Besitze des Eigentümers befindetSie haben dem Beschuldigten keinen Schaden zugefügt.. – 
"
Makkot 3a:1,"Das heißt also: obgleich sie keine Tätigkeit ausgeübt haben, somit ist dies ja identisch mit der Erklärung Rabbas!? – Lies: ebenso sagte auch R. Naḥman.
"
Makkot 3a:2,"R. Jehuda sagte im Namen Rabhs: Der überführte Falschzeuge muß für seinen Teil zahlen. – Was heißt: er muß für seinen Teil zahlen, wollte man sagen, der eine [Zeuge] zahle die eine Hälfte und der andere zahle die andere Hälfte, so haben wir ja bereits gelernt, man teile die Geldstrafe, nicht aber die GeißelungWerden die Falschzeugen zu einer Geldstrafe verurteilt, so zahlen alle zusammen den betreff. Betrag; werden sie zur Geißelung verurteilt, so erhält jeder besonders die vorschriftsmäßige Anzahl von Streichen.; 
"
Makkot 3a:3,"wollte man sagen, daß, wenn nur einer von ihnen als Falschzeuge überführt worden ist, er seine Hälfte bezahle, so wird ja gelehrt, ein Falschzeuge müsse nur dann eine Geldstrafe zahlen, wenn beide als Falschzeugen überführt worden sind!? 
"
Makkot 3a:4,"Raba erwiderte: Wenn er sagt, er habe ein falsches Zeugnis abgelegt. – Ist dies denn zulässig, sobald er einmal ausgesagt hat, kann er ja nicht mehr zurücktreten und anders aussagen!? – 
"
Makkot 3a:5,"Vielmehr, wenn er sagt: Wir haben bei jenem Gerichte Zeugnis abgelegt und sind als Falschzeugen überführt worden. – Also nicht nach R. A͑qiba, denn R. A͑qiba sagt ja, [der Falschzeuge] zahle auf Grund seines eigenen Geständnisses keine GeldbußeDie Halakha ist stets nach RA͑. zu entscheiden.!? – 
"
Makkot 3a:6,"Vielmehr, wenn er sagt: Wir haben bei jenem Gerichte Zeugnis abgelegt und sind als Falschzeugen überführt und zu einer Geldstrafe verurteilt worden. 
"
Makkot 3a:7,"Man könnte glauben, da er die Verurteilung seines Genossen nicht herbeiführen kann, könne auch er selbst nicht verurteilt werden, so lehrt er uns.
"
Makkot 3a:8,"<b>S</b><small>AGTEN SIE</small>:] W<small>IR BEKUNDEN, DASS JENER SIGH VON SEINER</small> F<small>RAU SCHEIDEN LIESS UND IHR IHRE</small> M<small>ORGENGABE NICHT AUSGEZAHLT HAT</small>, – <small>HEUTE ODER MORGEN MUSS ER IHR SIE JA AUSZAHLEN</small>Wenn er sich von ihr scheiden läßt, somit haben sie ihm keinen Schaden zugefügt., – 
"
Makkot 3a:9,"<small>SO SCHÄTZE MAN, WIEVIEL JEMAND GEBEN WÜRDE FÜR IHRE</small> M<small>ORGENGABE</small>, [<small>DIE ER NUR DANN ERHÄLT</small>,] <small>WENN SIE VERWITWET ODER GESCHIEDEN WIRD, WÄHREND, WENN SIE STIRBT, IHR</small> E<small>HEMANN SIE BEERBT</small>. <sup> i,2</sup>
"
Makkot 3a:10,"GEMARA. Wie schätzt man hierbei? R. Ḥisda sagte, [die Exspektation] des EhemannesWieviel jemand für seine Exspektation auf die Morgengabe seiner Frau, die er event. erben kann, geben würde.; 
"
Makkot 3a:11,"R. Nathan b. Osa͑ja sagte, [den Anspruch] der Frau; 
"
Makkot 3a:12,"R. Papa sagte, [den Anspruch] der Frau auf ihre MorgengabeWenn die Frau Vermögen besitzt, dessen Früchte dem Ehemanne zufallen, so brauchen sie, obgleich diese ihm entgangen sein würden, dafür keine Geldbuße zu zahlen..
"
Makkot 3a:13,"<b>S</b><small>AGTEN SIE</small>:] W<small>IR BEKUNDEN, DASS DIESER JENEM TAUSEND</small> Z<small>UZ SCHULDET, MIT DER</small> V<small>EREINBARUNG, SIE INNERHALB DREISSIG</small> T<small>AGEN ZU BEZAHLEN, WÄHREND</small> [<small>DER</small> B<small>EKLAGTE</small>] <small>SAGT: INNERHALB ZEHN</small> J<small>AHREN, 
"
Makkot 3a:14,"SO SCHÄTZE MAN DIE</small> Z<small>INSDIFFERENZ ZWISCHEN EINEM</small> D<small>ARLEHEN VON TAUSEND</small> Z<small>UZ AUF DREISSIG</small> T<small>AGE UND EINEM SOLCHEN AUF ZEHN</small> J<small>AHRE</small>Wörtl. wieviel einer geben würde für den Besitz von 1000 Z., die er innerhalb 20 Tagen zurückzuerstatten hätte, od. innerhalb 10 Jahren..
"
Makkot 3a:15,"GEMARA. R. Jehuda sagte im Namen Šemuéls: Wenn jemand seinem Nächsten [Geld] auf zehn Jahre borgt, so verfällt es im SiebentjahreIn dem jede Geldforderung verfällt; cf. Dt. 15,lff., 
"
Makkot 3b:1,"denn obgleich dannIm Siebentjahre.der Schriftvers:Dt. 15,2.<i>er soll nicht mahnen</i>, nicht anwendbarDa die Schuld noch nicht fällig ist.ist, so würde er ihn später mahnen. 
"
Makkot 3b:2,"R. Kahana wandte ein: So schätze man die Zinsdifferenz zwischen einem Darlehen von tausend Zuz auf dreißig Tage und einem solchen auf zehn Jahre. Wenn man nun sagen wollte, [die Schuld] verfalle im Siebentjahre, so sollten sie ihm alles bezahlen!? 
"
Makkot 3b:3,"Raba erwiderte: Hier handelt es sich um ein Darlehen auf ein Pfand, oder in dem Falle, wenn, er den Schuldschein bei Gericht deponiert hat. Wir haben nämlich gelernt: Wenn jemand [Geld] auf ein Pfand verliehen, oder den Schuldschein bei Gericht deponiert hat, so verfällt es nicht im Siebentjahre. 
"
Makkot 3b:4,"Manche lesen: R. Jehuda sagte im Namen Šemuéls: Wenn jemand seinem Nächsten [Geld] auf zehn Jahre borgt, so verfällt es nicht im Siebentjahre, denn obgleich er ihn später mahnen wird, so ist dannIm Siebentjahre.der Schriftvers: <i>er soll nicht mahnen</i>, nicht anwendbar. 
"
Makkot 3b:5,"R. Kahana sagte: Auch wir haben demgemäß gelernt: So schätze man die Zinsdifferenz zwischen einem Darlehen von tausend Zuz auf dreißig Tage und einem solchen auf zehn Jahre. Wenn man nun sagen wollte, [die Schuld] verfalle im Siebentjahre, so sollten sie ihm alles bezahlen. 
"
Makkot 3b:6,"Raba entgegnete: Hier handelt es sich um ein Darlehen auf ein Pfand, oder in dem Falle, wenn er den Schuldschein bei Gericht deponiert hat. Wir haben nämlich gelernt: Wenn jemand [Geld] auf ein Pfand verliehen, oder den Schuldschein bei Gericht deponiert hat, so verfällt es nicht im Siebentjahre.
"
Makkot 3b:7,"Ferner sagte R. Jehuda im Namen Šemuéls: Wenn jemand mit seinem Nächsten vereinbart: mit der Bedingung, daß [die Schuld] im Siebentjahre nicht verfalle, so verfällt sie dennoch im Siebentjahre. Šemuél wäre also der Ansicht, dies sei eine Vereinbarung gegen eine Bestimmung der Tora, und jede Vereinbarung gegen eine Bestimmung der Tora ist ungültig. 
"
Makkot 3b:8,"Es wird ja aber gelehrt: Wenn jemandDer seinem Nächsten eine Sache verkauft. Wer beim Kauf od. Verkauf von Mobilien um ein Sechstel des Wertes übervorteilt worden ist, kann gegen seinen Kontrahenten Übervorteilungsansprüche erheben; cf. Bm. Fol. 49b. Wenn um mehr als ein Sechstel, so kann der Übervorteilte vom ganzen Geschäft zurücktreten.zu seinem Nächsten sagt: mit der Bedingung, daß du an mich keine Übervorteilungsansprüche haben sollst, so hat er an ihn, wie Raba sagt, Übervorteilungsansprüche, und wie Šemuél sagt, keine Übervorteilungsansprüche!? – 
"
Makkot 3b:9,"Hierzu wurde ja gelehrt, R. A͑nan sagte, ihm sei dies von Šemuél erklärt worden: [sagte er:] mit der Bedingung, daß du gegen mich keine Übervorteilungsansprüche hast, so hat er gegen ihn keine Übervorteilungsansprüche; wenn aber: mit der Bedingung, daß hierbei keine Übervorteilungsansprüche zu erheben sind, so gibt es ja hierbei eine Übervorteilung. 
"
Makkot 3b:10,"Ebenso auch hierbei: mit der Bedingung, daß du mir [die Schuld] im Siebentjahre nicht verfallen machst, so verfällt sie nicht im Siebentjahre; wenn aber: mit der Bedingung, daß sie im Siebentjahr nicht verfalle, so verfällt sie im Siebentjahre wohlDie Bedingung kann sich nur auf die Person erstrecken, nicht aber auf das Gesetz..
"
Makkot 3b:11,"Es wird gelehrt: Wenn jemand seinem Nächsten [Geld] ohne Vereinbarung geborgt hat, so darf er ihn vor dreißig Tagen nicht mahnen. Rabba b. Bar Ḥana wollte vor Rabh sagen, dies gelte nur von einem Darlehen auf einen Schuldschein, da niemand sich die Mühe macht, einen Schuldschein auf weniger als dreißig Tage zu schreiben, nicht aber von einem mündlichen Darlehen. Da sprach Rabh zu ihm: So sagte mein Oheim: einerlei ob ein Darlehen auf einen Schuldschein oder ein mündliches Darlehen. 
"
Makkot 3b:12,"Ebenso wird auch gelehrt: Wenn jemand seinem Nächsten [Geld] ohne Vereinbarung geborgt hat, so darf er ihn vor dreißig Tagen nicht malmen, einerlei ob ein Darlehen auf einen Schuldschein oder ein mündliches Darlehen.
"
Makkot 3b:13,"Šemuél sprach zu R. Mathna: Du setzest dich nichtCf. Bd. II S. 163 Anm. 48.nieder, bevor du mir folgende Lehre erklärt hast. Woher ist die Lehre der Rabbanan zu entnehmen, daß nämlich, wenn jemand seinem Nächsten [Geld] ohne Vereinbarung borgt, er ihn nicht vor dreißig Tagen mahnen dürfe, einerlei ob ein Darlehen auf einen Schuldschein oder ein mündliches Darlehen? 
"
Makkot 3b:14,"Dieser erwiderte: Es heißt :Dt. 15,9.<i>das Siebentjahr, das Jahr des Erlasses, ist herangenaht;</i> schon aus der Bezeichnung Siebentjahr weiß ich ja, daß es das Jahr des Erlasses ist, wozu heißt es noch das Jahr des Erlasses? Dies besagt, daß es eine diesem gleichende Erlassung gebe, und zwar: wenn jemand seinem Genossen [Geld] ohne Vereinbarung geborgt hat, so darf er ihn vor dreißig Tagen nicht mahnen. Der Meister sagte nämlich: dreißig Tage im Jahre gelten als Jahr.
"
Makkot 3b:15,"R. Jehuda sagte im Namen Rabhs: Wenn jemand am Šabbath [an einem Hemde] die Halsöffnung lostrennt, so ist er ein Sündopfer schuldig. R. Kahana wandte gegen ihn ein: Welchen Unterschied gibt es denn zwischen diesem Falle und dem EntspundenDas am Š. erlaubt ist.eines Fasses!? Dieser erwiderte: In dem einem Falle ist es angeschlossen, in dem anderen Falle ist es nicht angeschlossenIm 1. Falle wird eine nicht vorhandengeweseno Öffnung gemacht, im 2. Falle war sie vorhanden, nur war sie geschlossen..
"
Makkot 3b:16,"Ferner sagte R. Jehuda im Namen Rabhs: Wenn in drei Log Wasser ein Qurṭub Wein gekommen ist, und es wie Wein aussieht, so macht es, wenn es in ein Quellbad geschüttet worden ist, dieses nicht untauglich. R. Kahana wandte gegen ihn ein: Wodurch unterscheidet sich dieses denn von farbigem Wasser, denn es wird gelehrt: R. Jose sagt, drei Log farbiges Wasser macht das Quellbad untauglich!? Raba erwiderte ihm: Dieses heißt farbiges Wasser, jenes heißt verdünnter WeinWein macht nach Bestimmung des Gesetzes das Quellbad nicht untauglich; rabbanitisch aber machen es auch 3 Log geschöpftes Wasser untauglich.. – 
"
Makkot 3b:17,"R. Ḥija lehrte ja aber, daß solches das Quellbad sinkenDh. es mache es untauglich.mache!? Raba erwiderte: Das ist kein Einwand; eines nach R. Joḥanan b. Nuri und eines nach den Rabbanan. Es wird nämlich gelehrt: Wenn in drei Log Wasser 
"
Makkot 4a:1,"weniger eines Qurṭub ein Qurṭub Wein gekommen ist und es wie Wein aussieht, so macht es, wenn es in ein Quellbad geschüttet worden ist, dieses nicht untauglich; wenn in drei Log Wasser weniger eines Qurṭub ein Qurṭub Milch gekommen ist und es wie Wasser aussieht, so macht es, wenn es in ein Quellbad geschüttet worden ist, dieses ebenfalls nicht untauglich. 
"
Makkot 4a:2,"R. Joḥanan b. Nuri sagt, man richte sich stets nach dem AussehenIm 1. Falle macht es das Quellbad nicht untauglich, selbst wenn es schon vorher 3 volle Log waren.. – 
"
Makkot 4a:3,"Aber dies war ja R. Papa fraglich, denn R. Papa fragte: Liest Rabh im Anfangssatze ‘weniger eines Qurṭub’, während drei volle Log [das Quellbad] nach dem ersten Autor untauglich machen, und hierzu sagt R. Joḥanan, daß man sich stets nach dem Aussehen richte, somit wäre Rabh der Ansicht des R. Joḥanan b. Nuri, 
"
Makkot 4a:4,"oder liest Rabh im Anfangssatze nicht ‘weniger eines Qurṭub’, demnach streitet R. Joḥanan nur gegen den Schlußsatz und 
"
Makkot 4a:5,"Rabh ist der Ansicht beider!? – 
"
Makkot 4a:6,"R. Papa war es fraglich, Raba war es entschieden.
"
Makkot 4a:7,"R. Joseph sagte: Ich habe diese Lehre nicht gehört. Abajje sprach zu ihm: Du selbst sagtestRJ. hatte infolge einer Krankheit seine ganze Gesetzeskunde vergessen; cf. Ned. Fol. 41a.sie uns, und zwar sagtest du, Rabh lese im Anfangssatze nicht ‘weniger eines Qurṭub’, wonach R. Joḥanan nur gegen den Schlußsatz streitet und Rabh der Ansicht beider ist.
"
Makkot 4a:8,"Ferner sagte R. Jehuda im Namen Rabhs: Wenn ein Faß voll Wasser ins große Meer gefallen ist, so wird, wenn jemand da untergetaucht ist, ihm das Untertauchen nicht angerechnet, weil zu berücksichtigen ist, es könnten sich drei Log [geschöpftes Wasser] an einer Stelle befunden haben. Dies gilt jedoch nur vom großen Meere, das unbeweglich ist, nicht aber von irgend einem Strome. 
"
Makkot 4a:9,"Ebenso wird auch gelehrt: Wenn ein Faß voll Wasser in das große Meer gefallen ist, so wird, wenn jemand da untergetaucht ist, ihm das Untertauchen nicht angerechnet, weil es nicht gut möglich ist, daß sich nicht drei LogDas W. <span dir=""rtl"">שאוביו</span> gehört besser in den vorangehenden Passus.an einer Stelle befunden haben. Ebenso ist, wenn da ein Laib aus Hebe hineingefallen ist, dieser unreinWenn da vorher ein Unreiner untergetaucht ist.. – 
"
Makkot 4a:10,"Was soll das ‘ebenso’!? – Man könnte glauben, man lasse sowohl die Person als auch den Laib bei seinem bisherigen Zustande, so lehrt er uns.
"
Makkot 4a:11,"<sup>ii</sup><b>W</b><small>ENN SIE GESAGT HABEN</small> :] W<small>IR BEKUNDEN, DASS JENER SEINEM</small> N<small>ÄCHSTEN ZWEIHUNDERT</small> Z<small>UZ SCHULDE, UND ALS</small> F<small>ALSCHZEUGEN ÜBERFÜHRT WURDEN, SO WERDEN SIE GEGEISSELT UND MÜSSEN BEZAHLEN, DENN NICHT DIE</small> V<small>ORSCHRIFT, DIE SIE ZUR</small> G<small>EISSELUNG BRINGT, BRINGT SIE ZUR</small> Z<small>AHLUNG</small> – <small>SO</small> R. M<small>EÍR; DIE</small> W<small>EISEN SAGEN, WER ZAHLEN MUSS, IST NICHT ZU GEISSELN</small>. 
"
Makkot 4a:12,"[W<small>ENN SIE GESAGT HABEN</small> :] W<small>IR BEKUNDEN, DASS JENER DER VIERZIG</small> S<small>TREICHE SCHULDIG IST, UND ALS</small> F<small>ALSCHZEUGEN ÜBERFÜHRT WURDEN, SO ERHALTEN SIE ACHTZIG</small> S<small>TREICHE, WEGEN</small> :Ex. 20,16.<i>du sollst nicht wider deinen Nächsten als falscher Zeuge aussagen</i>, <small>UND WEGEN</small> :Dt. 19,19.<i><small>SO</small> sollt ihr an ihm das tun, was er gedacht hat</i> – so R. M<small>EÍR; DIE</small> W<small>EISEN SAGEN, SIE ERHALTEN NUR VIERZIG</small> S<small>TREICHE</small>. <sup>iii,1</sup>
"
Makkot 4b:1,"GEMARA. Einleuchtend ist die Ansicht der Rabbanan, denn es heißt: Dt. 25,2.<i>entsprechend seinem Frevel</i>, du kannst ihn nur wegen eines Frevels verurteilen, nicht aber kannst du ihn wegen zweier Frevel verurteilen, was ist aber der Grund R. Meírs? 
"
Makkot 4b:2,"U͑la erwiderte: Er folgert dies von der falschen BeschuldigungDer Defloration gegen seine Frau; cf. Dt. 22,13ff.; wie man wegen der falschen Beschuldigung gegeißelt wird und [eine Geldbuße] zahlen muß, ebenso auch in allen anderen Fällen: Geißelung und Zahlung. – Wohl wegen der falschen Beschuldigung, weil da [die Zahlung] eine Buße istl? – Er ist der Ansicht R. A͑qibas, welcher sagt, auch [die Zahlung] der Falschzeugen sei eine Buße. 
"
Makkot 4b:3,"Manche beziehen die Erklärung U͑las auf das folgende:Ex. 12,10.<i>Ihr sollt davon nichts bis zum Morgen zurücklassen, und was bis zum Morgen zurückbleibt &amp;c.;</i> die Schrift läßt dem Verbote ein Gebot folgen, um zu sagen, daß dieserhalb nicht zu geißeln ist – so R. Jehuda. 
"
