Index Title,Berachot
Berakhot 2a:7,"Ferner, warum lehrt er zuerst: am Abend, er sollte doch zuerst vom Morgen lehren? –
"
Berakhot 2a:8,"Der Tanna bezieht sich auf den Schriftvers. Es heißt: Dt. 6,7.<i>bei deinem Schlafengehen und bei deinem Aufstehen</i>; darauf bezugnehmend lehrt er: wann [beginnt] die Zeit des Šema͑lesens beim Schlafengehen? – von der Stunde an, da die Priester eintreten, von ihrer Hebe zu essen. 
"
Berakhot 2a:9,"Wenn du willst, sage ich: er lernte diesZuerst den Abend zu nennen.von der Weltschöpfung, denn so heißt esi:Gen. 1,5.<i>es ward Abend und es ward Morgen, ein Tag</i>. – 
"
Berakhot 2a:10,"Demnach sollte er doch am SchlusseIn der folgenden Mišna auf Fol. 11a., wo er lehrt: am Morgen spreche man zwei Segenssprüche vorher and einen nachherVor und nach dem Šema͑.; am Abend spreche man zwei vorher und zwei nachher, [ebenfalls] vom Abend zuerst lehren? – 
"
Berakhot 2a:11,"Der Tanna beginnt mit dem Abend und lehrt nachher über den Morgen, und da er vom Morgen spricht, erklärt er die Angelegenheiten des Morgens, und nachher erst erklärt er die Angelegenheiten des Abends.
"
Berakhot 2a:12,"Der Meister sagte: Von der Stunde an, da die Priester eintreten, von ihrer Hebe zu essen. Merke, die Priester essen ja die Hebe von der Stunde an, da Sterne hervortreten, so sollte er doch lehren: von der Stunde an, da Sterne hervortreten!? – 
"
Berakhot 2a:13,"Nebenbei lehrt er ein Zweites, daß nämlich die Priester von der Hebe essen von der Stunde an, da Sterne hervortreten, und damit lehrt er uns, daß die SühneErklärendes folgt.nicht hindernd sei. So wird auch gelehrt:Lev. 22,7.<i>und wenn die Sonne untergegangen, so ist er rein</i>, nur sein Sonnenuntergang hindert ihn, von der Hebe zu essen, nicht aber hindert ihn seine SühneWenn er sein verpflichtetes Sühnopfer nicht dargebracht., von der Hebe zu essen. – 
"
Berakhot 2a:14,"Woher aber, daß [die Worte]: <i>wenn die Sonne untergegangen</i>, auf den [völligen] Untergang der SonneMit dem Hervortreten der Sterne.und [die Worte]: <i>so ist er rein</i>, auf das Reinsein das TagesVon jeglichem Tageslicht. hinweist, 
"
Berakhot 2b:1,"vielleicht ist hier das Schwinden des SonnenlichtesDh. der Sonnenuntergang.und (was heißt: <i>er ist rein</i>?) das Rein werden der Person zu verstehen? 
"
Berakhot 2b:2,"Rabba b.Bar od. ben, Sohn.. Šila erwiderte: Demnach hätte die Schrift sagen sollen: <i>er soll rein werden</i>; unter: <i>er ist rein</i> [verstehe man] das Reinsein des Tages. So spricht auch das Volk: die Sonne ist untergegangen, der Tag ist gesäubert. 
"
Berakhot 2b:3,"Im WestenPalästina, weil westlich von Babylonien.hatten sie von der Erklärung des Rabba b. R. Šila nicht gehört und stellten folgende Frage: <i>Wenn die Sonne untergegangen</i>; ist hier der [völlige] Untergang der Sonne und (was heißt: <i>er ist rein</i>?) das Reinsein des Tages, oder aber das Schwinden des Sonnenlichtes und (was heißt: <i>er ist rein</i>?) das Rein werden der Person zu verstehen? 
"
Berakhot 2b:4,"Sie entschieden dies nachher aus einer BarajthaElym. Apokryphes; Bezeichnung der Lehren, die in den Mišnakanon nicht aufgenommen worden sind.. Eine Barajtha lehrt: Ein Zeichen dafürWann die Priester ihre Hebe essen.ist das Hervortreten der Sterne. Schließe daraus, daß hier der [völlige] Untergang der Sonne und (was heißt: <i>er ist rein</i>?) das Reinsein des Tages zu verstehen ist.
"
Berakhot 2b:5,"Der Meister sagte: Von der Stunde an, da die Priester eintreten, von ihrer Hebe zu essen. Ich will auf einen Widerspruch hinweisen: Von wann an liest man das Šema͑ am Abend? – von der Stunde an, da der Arme eintritt, sein Brot mit Salz zu essen, bis zur Stunde, da er aufsteht, sich von seiner Mahlzeit zu entfernen.
"
Berakhot 2b:6,"Der Schlußsatz widerspricht entschieden unserer Mišna; ist aber anzunehmen, daß auch der Anfangssatz unserer Mišna widerspricht? – 
"
Berakhot 2b:7,"Nein, der Arme und der Priester haben eine Zeit. I
"
Berakhot 2b:8,"ch will auf einen Widerspruch hinweisen: Von wann an beginnt man das Šema͑ am Abend zu lesen? – von der Stunde an, da die Leute an den VorabendenDa alles vorrätig ist, wird früh gespeist.der Šabbathe eintreten, ihr Brot zu essen – so R. Meír. Die Weisen sagen, von der Stunde an, da die Priester berechtigt sind, von ihrer Hebe zu essen. Ein Zeichen dafür ist das Hervortreten der Sterne. Und obgleich es hierfür keinen Beweis gibt, so gibt es doch eine Andeutung, denn es heißt:Neh. 4,15.<i>wir arbeiteten bei dem Werke, und ihre Hälfte hielten die Lanzen vom Anfang der Morgenröte bis zum Hervortreten der Sterne</i>. Ferner heißt es:Ib. 4,16.<i>es war uns die Nacht zur Wache und der Tag zur Arbei</i>. – 
"
Berakhot 2b:9,"Wozu das ‘ferner’? – 
"
Berakhot 2b:10,"Man könnte sagen, die Nacht beginne tatsächlich mit dem Sonnenuntergang, nur hätten sieNeḥemja und seine Leute.früh und spät gearbeitet, so heißt es: <i>es war uns die Nacht zur Wache und der Tag zur Arbeit</i>In der zur Nacht gehörigen Zeit wurde also nicht gearbeitet.. 
"
Berakhot 2b:11,"Er glaubte, der Arme und die [gewöhnlichen] Menschen habenZum Abendessen; letztere am Vorabend der Šabbathe.eine Zeit, und wenn man sagen wollte, auch der Arme und der Priester haben eine ZeitErsterer zum Abendessen, letzterer zur Berechtigung, von der Hebe zu essen., so wären ja die Weisen [derselben Ansicht wie] R. Meír!? 
"
Berakhot 2b:12,"Vielmehr schließe man hieraus, daß die Zeitangabe des Armen eine andere ist, als die der Priester. – Nein, der Arme und der Priester haben eine Zeit, nicht aber haben der Arme und die [gewöhnlichen] Menschen eine Zeit. –
"
Berakhot 2b:13,"Haben etwa der Arme und der Priester eine Zeit, ich will auf einen Widerspruch hinweisen: Von wann an beginnt man das Šema͑ am Abend zu lesen? – von der Stunde an, da der Tag an den Vorabenden der Šabbathe heilig wird – so R. Elie͑zer. R. Jehošua͑ sagt, von der Stunde an, da die Priester rein sind, von ihrer Hebe zu essen. R. Meír sagt, von der Stunde an, da die Priester untertauchen, um von ihrer Hebe zu essen. R. Jehuda sprach zu ihmZu R. Meír.: Die Priester tauchen ja noch am Tage unterSo früh soll das Šema͑ doch nicht gelesen werden.!? R. Ḥanina sagt, von der Stunde an, da der Arme eintritt, sein Brot und Salz zu essen. R. Aḥaj, nach anderen R. Aḥa, sagt, von der Stunde an, da die meisten Menschen zur Mahlzeit eintreten. 
"
Berakhot 2b:14,"Wenn du sagen wolltest, der Arme und der Priester haben eine Zeit, so wäre ja R. Ḥanina [derselben Ansicht wie] R. Jehošua͑!?
"
Berakhot 2b:15,"Vielmehr ist hieraus zu schließen, daß die Zeitangabe des Armen eine andere ist, als die der Priester. Schließe hieraus. – 
"
Berakhot 2b:16,"Welche von ihnenVon den beiden Zeitpunkten.st später? – Es ist anzunehmen, daß die des Armen später ist; wollte man sagen, die des Armen sei früher, so wäre ja R. Ḥanina [derselben Ansicht wie] R. Elie͑zer!? Vielmehr ist hieraus zu schließen, daß die des Armen später ist. Schließe hieraus.
"
Berakhot 2b:17,"Der Meister sagte: R. Jehuda sprach zu ihm: Die Priester tauchen ja noch am Tage unter!? 
"
Berakhot 2b:18,"Zutreffend entgegnete ja R. Jehuda dem R. Meír!? – 
"
Berakhot 2b:19,"R. Meír erwiderte ihm folgendes: Du glaubst wohl, ich meine deineDeine Definition der Abenddämmerung. Dämmerung, ich meine die Dämmerung R. Joses, denn R. Jose sagt, die Dämmerung währe einen Augenblick: diese kommt und jenerDie Nacht bezw. der Tag.geht, es ist nicht möglich, es auseinander zu halten. –
"
Berakhot 3a:1,"R. Meír befindet sich ja in einem WiderspruchSeine Ansicht über die Zeit des Šema͑lesens in der ersten Barajtha widerspricht seiner Ansicht in der zweiten Barajtha.!? – Zwei Tannaím streiten über die Ansicht R. Meírs.
"
Berakhot 3a:2,"R. Elie͑zer befindet sich ja in einem WiderspruchSeine Ansicht über die Zeit des Šema͑lesens in unserer Mišna widerspricht der in der Barajtha.!? – 
"
Berakhot 3a:3,"Zwei Tannaím streiten über die Ansicht R. Elie͑zers. Wenn du willst, sage ich, der AnfangssatzUnserer Mišna.ist nicht von R. Elie͑zerDie Worte des R. Elie͑zer beziehen sich nur auf den zweiten Satz, bis wann das Šema͑ gelesen wird..
"
Berakhot 3a:4,"B<small>IS ZUM</small> S<small>CHLUSS DER ERSTEN</small> N<small>ACHTWACHE</small>. 
"
Berakhot 3a:5,"Welcher Ansicht ist R. Elie͑zer, ist er der Ansicht, die Nacht sei [in] drei Nachtwachen [geteilt], so sollte er ja sagen: bis vier Stunden, und ist er der Ansicht, die Nacht sei [in] vier Nachtwachen [geteilt], so sollte er sagen: bis drei Stunden!? – 
"
Berakhot 3a:6,"Tatsächlich ist er der Ansicht, die Nacht sei [in] drei Nachtwachen [geteilt], aber er lehrt uns folgendes: es gibt Nachtwachen im Himmel, und Nachtwachen auf Erden. Es wird nämlich gelehrt: R. Elie͑zer sagte: Die Nacht ist [in] drei Nachtwachen [geteilt]; an jeder Nachtwache sitzt der Heilige, gepriesen sei er, und brüllt wie ein Löwe, wie es heißt:Jer. 25,30.<i>der Herr brüllt von der Höhe, und aus der Wohnung seines Heiligtums gibt er seine Stimme, brüllen brüllt er wegen seines Wohnortes</i>Die dreimalige Wiederholung des Wortes ‘brüllen’ weist auf drei Nachtwachen hin.. 
"
Berakhot 3a:7,"Ein Merkzeichen: an der ersten Nachtwache schreit der Esel, an der zweiten heulen die Hunde, an der dritten saugt [bereits] der Säugling von der Brust seiner Mutter und plaudert die Frau mit ihrem Manne. – 
"
Berakhot 3a:8,"Was meint R. Elie͑zer: meint er den Beginn der Nachtwachen, wozu ein Zeichen für die erste Nachtwache, es ist ja Abend, und meint er den Schluß der Nachtwachen, wozu ein Zeichen für das Ende der letzten Nachtwache, es ist ja Tag!? –
"
Berakhot 3a:9,"Vielmehr, er meint den Schluß der ersten, den Beginn der letzten und die Mitte der mittelsten Nachtwache. Wenn du aber willst, sage ich: er meint den Schluß aller Nachtwachen, und wenn du einwendest, die letzte [zu bezeichnen] sei nicht nötig, dies sei ohne Belang, – 
"
Berakhot 3a:10,"wegen des Lesens des Šema͑ für den, der in einem dunklen Zimmer schläft und die Zeit des Šema͑lesens nicht kennt; sobald die Frau mit ihrem Manne plaudert, und der Säugling von der Brust seiner Mutter saugt, stehe er auf und lese.
"
Berakhot 3a:11,"R. Jiçḥaq b. Šemuél sagte im Namen Rabhs: Die Nacht ist [in] drei Nachtwachen [geteilt]; an jeder Nachtwache sitzt der Heilige, gepriesen sei er, und brüllt wie ein Löwe, indem er spricht: Wehe, daß ich mein Haus zerstört, meinen Tempel verbrannt und meine Kinder unter die Völker verbannt habe. 
"
Berakhot 3a:12,"Es wird gelehrt: R. Jose erzählte: Als ich einst auf Reisen war, trat ich in eine von den Ruinen Jerušalems ein, um zu beten. Da kam ElijahuElias, der Prophet., gesegneten Andenkens, und erwartete mich am Eingange; er verweilte, bis ich mein Gebet beendet hatte. Nachdem ich mein Gebet beendet halte, sprach er zu mir: Friede mit dir, mein Herr! Ich erwiderte ihm: Friede mit dir, mein Herr und Meister! Er sprach zu mir: Mein Sohn, wozu bist du in diese Ruine getreten? Ich erwiderte ihm: Um zu beten. Da sprach er zu mir: Du hättest ja auf der Straße beten können. Ich erwiderte ihm: Ich befürchtete, von den Vorübergehenden gestört zu werden. Darauf sprach er zu mir: Du hättest ja das kurze GebetHierüber weit. Fol. 29a.verrichten können.
"
Berakhot 3a:13,"In dieser Stunde lernte ich von ihm dreierlei: ich lernte, daß man keine Ruine betrete, ich lernte, daß man auf der Straße beten darf, und ich lernte, daß wer auf der Reise betet, das kurze Gebet verrichte.
"
Berakhot 3a:14,"Er sprach ferner zu mir: Mein Sohn, was sprach die Stimme, die du in dieser Ruine gehört? Ich erwiderte: Ich hörte eine wie eine Taube girrende Hallstimme sprechen: Wehe, daß ich mein Haus zerstört, meinen Tempel verbrannt und meine Kinder unter die Völker verbannt habe. Da sprach er zu mir: Bei deinem Leben, beim Leben deines Hauptes: nicht allein an dieser Stunde spricht sie so, sondern dreimal täglich (spricht sie so). Und nicht das nur, auch zur Stunde, da die Jisraéliten in die Bet- und Lehrhäuser eintreten und rufen: Amen, gepriesen sei sein großer Name, schüttelt der Heilige, gepriesen sei er, sein Haupt und spricht: Heil dem König, den man in seinem Hause preist; wehe dem Vater, der seine Kinder vertrieben, und wehe den Kindern, die vom Tische ihres Vaters vertrieben wurden.
"
Berakhot 3a:15,"Die Rabbanan lehrten: Aus drei Gründen betrete man keine Ruine: wegen VerdachtesDaß man mit einem Weibe verbotenen Umgang pflege., wegen Einsturzes und wegen der GespensterDie sich nach dem Volksglauben im Orient in den Ruinen aufhalten.. «Wegen Verdachtes», es genügt ja [die Begründung:] wegen Einsturzes!? –
"
Berakhot 3b:1,"Bei einer neuenDh. bei der man vor Einsturz nicht zu fürchten hat.. – E
"
Berakhot 3b:2,"s genügt ja [die Begründung:] wegen der Gespenster!? – 
"
Berakhot 3b:3,"Wenn es zwei sindZwei Personen gegenüber sind die Gespenster machtlos.. – Bei zweien gibt es ja auch keinen Grund zum VerdachtEine Frau darf mit zwei Personen allein sein.!? – Bei zwei Zuchtlosen. –
"
Berakhot 3b:4,"«Wegen Einsturzes», es genügt ja [die Begründung:] wegen Verdachtes und wegen der Gespenster!?– 
"
Berakhot 3b:5,"Bei zwei ZüchtigenDie weder vor Verdacht noch vor Gespenstern zu fürchten haben.. – 
"
Berakhot 3b:6,"«Wegen der Gespenster», es genügt ja [die Begründung:] wegen Verdachtes und wegen Einsturzes!? –
"
Berakhot 3b:7,"Bei einer neuen Ruine und zwei ZüchtigenDie weder vor Verdacht noch vor Einsturz zu fürchten haben.. –
"
Berakhot 3b:8,"Bei Zweien gibt es ja auch keine Gespenster!? – 
"
Berakhot 3b:9,"An ihrem Aufenthaltsorte befürchte man sieAuch zwei Personen.. Wenn du aber willst, sage ich: tatsächlich bei einer Person und einer neuen Ruine, wenn sie aber auf dem Felde steht; hier gibt es keinen Verdacht, da eine Frau sich im Felde nicht aufhält, wohl aber befürchte man Gespenster.
"
Berakhot 3b:10,"Die Rabbanan lehrten: Vier Nachtwachen hat die Nacht – so RabbiR. Jehuda, ‘der Fürst’ od. ‘der Heilige’, Redactor der Mišna, wird par excellence ‘Rabbi’ genannt.; 
"
Berakhot 3b:11,"R. Nathan sagt, drei. Was ist der Grund R. Nathans? – Es heißt:Jud. 7,19.<i>da kam Gideo͑n und die hundert Mann, die mit ihm, an das Ende des Lagers zu Beginn der mitfeisten Nachtwache</i>. Es wird gelehrt: Keine mittelste, wenn nicht eine vorher und eine nachher. – 
"
Berakhot 3b:12,"Und RabbiWie erklärt er das W. ‘mittelste’?!? – ‘Mittelste’ heißt eine von den mittelsten (unter den mittelsten). – 
"
Berakhot 3b:13,"Und R. Nathan!? – Es heißt nicht die mittelste von den mittelsten, sondern: die mittelste. – 
"
Berakhot 3b:14,"Was ist der Grund Rabbis? – R. Zeriqa erwiderte im Namen R. Amis im Namen des R. Jehošua͑ b. Levi: Ein Schriftvers lautet:Ps. 119,62.<i>Mitternachts stehe ich auf, dir für deine gerechten Urteile zu danken</i>, ein anderer aber lautet:Ps. 119,148.<i>meine Augen kommen den Nachtwachen zuvor</i>; dies kann nur dann sein, wenn die Nacht vier Nachtwachen hatNach letzlerem Verse stand David auf, als noch Nachtwachen, also zwei folgen sollten; diese Zeit nennt er in ersterem Verse ‘Mitternacht’, wonach die ganze Nacht vier Nachtwachen hat.. – 
"
Berakhot 3b:15,"Und R. NathanWie erklärt er die Pluralform ‘Nachtwachen’?!? – Er ist der Ansicht R. Jehošua͑s, denn wir haben gelernt: R. Jehošua͑ sagt, bis drei StundenNach Sonnenauf gang liest man das Šema͑ am Morgen., denn Könige pflegen in der dritten Stunde aufzustehen. Sechs [Stunden] der Nacht und zwei des Tages sind zwei NachtwachenDie Nachtwache hat nach R. Nathan vier Stunden.. 
"
Berakhot 3b:16,"R. Aši erklärte: Eine Nachtwache und eine halbe nennt man ebenfalls ‘Nachtwachen’Daher die Pluralform..
"
Berakhot 3b:17,"Ferner sagte R. Zeriqa im Namen R. Amis im Namen des R. Jehošua͑ b. Levi: Man rede in Gegenwart des Toten nichts als Worte [bezüglich] des Toten. 
"
Berakhot 3b:18,"R. Abba b. Kahana sagte: Dies bezieht sich nur auf Worte der ToraWeil der Tote am Gespräche nicht teilnehmen könnte, was ihm zur Schande gereichen würde., gegen weltliche Dinge aber ist nichts einzuwenden. 
"
Berakhot 3b:19,"Manche sagen: R. Abba b. Kahana sagte: Dies bezieht sich auch auf Worte der Tora, und um so mehr auf weltliche Dinge.
"
Berakhot 3b:20,"Pflegte David denn um Mitternacht aufzustehen, er pflegte ja schon abends aufzustehen, denn es heißt:Ps. 119,147.<i>ich wachte in der Dämmerang auf und schrie</i>. – Woher, daß hier unter ‘Dämmerung’ der Abend zu verstehen ist? – Es heißt:Pr. 7,9.<i>in der Dämmerung, am Abend des Tages, in der Tiefe der Nacht und der Dunkelheit</i>.
"
Berakhot 3b:21,"R. Oša͑ja erklärte im Namen R. Aḥas: David sprach: Niemals ist mir die Mitternachtszeit im Schlafe vergangen. 
"
Berakhot 3b:22,"R. Zera erwiderte: Bis Mitternacht schlummerte er wie ein PferdEin Pferd schlummert nur; sein Schlaf währt 60 Atemzüge (Suk.26b)., von da an stärkte er sich wie ein LöweCf. Aboth V. 20.. R. Aši erwiderte: Bis Mitternacht befaßte er sich mit Worten der Tora, von da an mit Liedern und Lobgesängen. – 
"
Berakhot 3b:23,"Ist denn unter ‘Dämmerung’ der Abend zu verstehen, mit ‘Dämmerung’ ist ja der Morgen gemeint, denn es heißt:iSam. 30,17.<i>David schlug sie von der Dämmerung bis zum Abend des folgenden Tages</i>; doch wohl von Morgen bis Abend!? –
"
Berakhot 3b:24,"Nein, von Abend bis Abend. – 
"
Berakhot 3b:25,"Demnach sollte es doch heißen: von Dämmerung bis Dämmerung, oder: von Abend bis Abend!? – 
"
Berakhot 3b:26,"Vielmehr, sagte Raba, es gibt zweierlei Dämmerungen, eine Dämmerung der Nacht, worauf der Tag folgt, und eine Dämmerung des Tages, worauf die Nacht folgt. –
"
Berakhot 3b:27,"Kannte David denn die [genaue] Mitternachtszeit, selbst unser Lehrer Moše kannte sie ja nicht!? Es heißt:Ex. 11,4.<i>gegen Mitternacht ziehe ich durch Miçrajim</i>. 
"
Berakhot 3b:28,"Warum ‘gegen Mitternacht’: wollte man sagen, der Heilige, gepriesen sei er, habe zu ihmZu Moše.‘gegen Mitternacht’ gesagt, so gibt es ja nichts Unsicheres vor dem Himmel; vielmehr sagte erGott.zu ihm ‘um Mitternacht’, worauf dieser ‘gegen Mitternacht’ sagte. Hieraus, daß ihm diesDie genaue Mitternachtszeit.unsicher war, und David sollte dies gekannt haben!? – 
"
Berakhot 3b:29,"David hatte ein Kennzeichen. R. Aḥa b. Bizna sagte nämlich im Namen R. Šimo͑n des Frommen: Über dem Bette Davids hing eine Harfe, und als die Mitternachtszeit heranreichte, wehte der Nordwind und blies daran, und sie spielte von selbst. Sofort stand er auf und befaßte sich mit der Tora, bis die Morgenröte aufstieg. Sobald die Morgenröte aufgestiegen war, traten die Weisen Jisraéls bei ihm ein und sprachen zu ihm: Unser Herr und König, dein Volk Jisraél bedarf des Unterhalts. Er erwiderte ihnen: Geht und ernährt euch einer vom anderen. Sie sprachen zu ihm: Die Handfülle sättigt nicht den Löwen, und die Grube wird von ihrem eigenen Schutt nicht voll. Er erwiderte ihnen: Geht, und streckt eure Hände aus in der TruppeVeranstaltet Feldzüge und plündert.. 
"
Berakhot 3b:30,"Alsdann beriet man sich mit Ahithophel, überlegte mit dem Synedrium und befragte das Orakelschild. 
"
Berakhot 3b:31,"R. Joseph sagte: Hierauf deutet folgender Schriftvers:iChr. 27,34.<i>Nach Aḥithophel waren Benajahu, Sohn Jehojada͑s</i>Lies Jehojada͑, Sohn Benajahus.<i>und Ebjathar; Joab war Feldherr des Königs</i>. 
"
Berakhot 3b:32,"Aḥithophel war der Ratgeber, denn es heißt:iiSam. 16,23.<i>Und der Ratschlag Ahithophels, den er in jener Zeit erteilte, war, als hätte man das Wort Gottes befragt</i>, 
"
Berakhot 4a:1,"Benajahu, Sohn Jehojada͑s, war das [Oberhaupt des] Synedriums, und Ebjathar war [Träger des] Orakelschildes,
"
Berakhot 4a:2,"denn es heißt:iiSam. 20,23.<i>Benajahu, Sohn Jehojada͑s, war über das Krethi und Plethi</i>Benennung des Synedriums.. Weshalb werden sieDie Mitglieder des Synedriums.Krethi und Plethi genannt? – Krethi, weil sie ihre Worte schneiden<span dir=""rtl"">כרת</span> <i>schneiden, Plethi, weil sie durch ihre Worte ausgezeichnet<span dir=""rtl"">פלא</span> <i>auszeichnen, sondernsind. NachherNachdem erst Aḥithophel, das Synedrium und das Orakelschild befragt worden, zogen sie zum Kriege aus.erst wird Joab, der Feldherr des Königs, genannt. 
"
Berakhot 4a:3,"R. Jiçḥaq b. Ada, nach anderen, R. Jiçḥaq b. R. Idi sagte: HieraufAuf die Harfe Davids.deutet folgender Schriftvers:Ps. 57,9.<i>Wache auf, meine Ehre, erwache, Psalter und Harfe, ich will das Morgenrot wecken</i>. 
"
Berakhot 4a:4,"R. Zera sagte: Tatsächlich kannte diesDie genaue Mitternachtszeit.Moše und kannte dies David. – 
"
Berakhot 4a:5,"Wenn David dies kannte, was sollte ihm die Harfe!? – Um ihn aus dem Schlafe zu wecken. – 
"
Berakhot 4a:6,"Wenn Moše dies kannte, weshalb sagte er ‘gegen Mitternacht’!? – Moše dachte, die Astrologen des Pareo͑ könnten sich irrenIn der genauen Mitternachtszeit.und dann sagen, Moše sei ein Lügner. Der Meister sagte nämlich: Lehre deine Zunge ‘ich weiß nicht’ zu sagen, denn du könntest als Lügner erscheinen und gefaßt werden. 
"
Berakhot 4a:7,"R. Aši erwiderte: DiesDie Verkündung Mošes (Ex. 11,4).war um Mitternacht des dreizehnten zum vierzehnten, und Moše sprach zu den Jisraéliten: der Heilige, gepriesen sei er, sagte: morgen um Mitternacht, wie ebenDie Partikel <span dir=""rtl"">כ</span> heißt <i>gegen, wie, werde ich durch Miçrajim ziehen.
"
Berakhot 4a:8,"Ps. 86,2.<i>Des David: Bewahre meine Seele, denn ich bin fromm</i>. Levi und R. Jiçḥaq [streiten hierüber]. Einer sagt, David sprach vor dem Heiligen, gepriesen sei er: Herr der Welt, bin ich etwa nicht fromm? Alle Könige des Ostens und des Westens schlafen bis drei StundenIn den Tag; cf. oben S. 6., ich aber: Ps. 119,62.<i>um Mitternacht stehe ich auf, um dich zu preisen</i>. 
"
Berakhot 4a:9,"Der andere sagt: David sprach vor dem Heiligen, gepriesen sei er: Herr der Welt, bin ich etwa nicht fromm! Alle Könige des Ostens und des Westens sitzen scharenweise in ihrer Herrlichkeit, ich aber: meine Hände sind stets vom Blute [der] Eihäute und Nachgeburten beschmutzt, um eine Frau ihrem Manne reinzusprechenDavid beschäftigte sich nicht nur mit politischen, sondern auch mit religiösen Gegenständen.. Und noch mehr, alles, was ich tun will, überlege ich vorher mit meinem Lehrer MephibošethEine ganz besondere Bescheidenheit; cf. iiSam. Kap. 9.und spreche zu ihm: Meister Mephibošeth, habe ich richtig gerichtet? habe ich richtig schuldig gesprochen? habe ich richtig freigesprochen? habe ich richtig reingesprochen? habe ich richtig unreingesprochen? Ich schäme mich dessen nicht.
"
Berakhot 4a:10,"R. Jehošua͑ b. R. Idi sagte: Hierauf deutet folgender Schriftvers:Ps. 119,46.<i>vor Königen spreche ich über deine Zeugnisse und schäme mich dessen nicht</i>. 
"
Berakhot 4a:11,"Es wird gelehrt: Nicht Mephibošeth, sondern IšbošethDie Tosaph. (Jab. Fol. 79a) lesen Išbaa͑l, was auch richtiger ist.war sein Name; und nur deshalb wird er Mephibošeth genannt, weil er bei der HalakhaDie Entscheidung eines Gesetzes; etym. Gang, Entwicklung. das Gesicht Davids zu beschämen pflegte<span dir=""rtl"">מפי</span> <i>aus meinem Munds. Deshalb war es David beschieden, daß von ihm KilábCf. iiSam. 3,3.hervorging. 
"
