Index Title,Sanhedrin
Sanhedrin 2a:13,"<sup>vi</sup> D<small>AS GROSSE</small> S<small>YNEDRIUM BESTAND AUS EINUNDSIEBZIG UND DAS KLEINE AUS DREIUNDZWANZIG</small> [M<small>ITGLIEDERN</small>]. W<small>OHER, DASS DAS GROSSE AUS EINUNDSIEBZIG BESTEHEN MUSS</small>? E<small>S HEISST</small>:<sup>31</sup><i class=""footnote"">Num. 11,16.</i><i>versammle mir siebzig Männer von den ältesten Jisraéls</i>, <small>UND</small> M<small>OŠE AN IHRER</small> S<small>PITZE</small>; R. J<small>EHUDA SAGT: AUS SIEBZIG</small>. 
"
Sanhedrin 2a:14,"W<small>OHER, DASS DAS KLEINE AUS DREIUNDZWANZIG</small>? E<small>S HEISST</small>:<sup>32</sup><i class=""footnote"">Ib. 35,24,25.</i><i>die Gemeinde richte</i>, <small>UND</small>: <i>die Gemeinde rette</i>, <small>EINE RICHTENDE</small> G<small>EMEINDE UND EINE RETTENDE</small> G<small>EMEINDE, DAS SIND ALSO ZWANZIG</small>. 
"
Sanhedrin 2a:15,"W<small>OHER, DASS DIE GEMEINDE AUS ZEHN</small> [M<small>ÄNNERN</small>] <small>BESTEHT</small>? E<small>S HEISST</small>:<sup>33</sup><i class=""footnote"">Ib. 14,27.</i><i>wie lange noch murrt diese böse Gemeinde</i>, <small>AUSGENOMMEN</small><sup>34</sup><i class=""footnote"">Von den 12 Kundschaftern (cf. Num. Kap. 13), die übrigen 10 werden also ‘Gemeinde’ genannt.</i><small>SIND</small> J<small>EHOŠUA͑ UND</small> K<small>ALEB</small>. 
"
Sanhedrin 2a:16,"W<small>OHER, DASS NOCH DREI HINZUKOMMEN</small>? A<small>US DEN</small> W<small>ORTEN</small>:<sup>35</sup><i class=""footnote"">Ex. 23,2.</i><i>man richte sich zum Bösen nicht nach der Mehrheit</i>, <small>IST JA ZU ENTNEHMEN, DASS MAN SICH NACH DIESER ZUM</small> G<small>UTEN WOHL RICHTE, WENN ES NUN</small> [<small>ÜBERFLÜSSIG</small>] <small>HEISST</small>:<sup>35</sup><i class=""footnote"">Ex. 23,2.</i><i>man richtc sich nach der Mehrheit</i>, <small>SO BESAGT DIES, DASS DER</small> A<small>USSCHLAG ZUM</small> B<small>ÖSEN NICHT DEM</small> A<small>USSCHLAGE ZUM</small> G<small>UTEN GLEICHE: ZUM</small> G<small>UTEN ERFOLGT DER</small> A<small>USSGHLAG DURCH EINEN, ZUM</small> B<small>ÖSEN ERFOLGT DER</small> A<small>USSCHLAG DURCH ZWEI, 
"
Sanhedrin 2b:1,"UND DA NUN EIN</small> G<small>ERICHTSHOF NICHT AUS EINER GERADEN</small> Z<small>AHL BESTEHEN</small><sup>36</sup><i class=""footnote"">Weil die Stimmen sich gleichmäßig verteilen könnten.</i><small>SOLL, SO NEHME MAN NOCH EINEN HINZU; DAS SIND ALSO DREIUNDZWANZIG</small>. 
"
Sanhedrin 2b:2,"W<small>IEVIEL</small> [E<small>INWOHNER</small>] <small>MUSS EINE</small> S<small>TADT HABEN, UM FÜR EIN</small> S<small>YNEDRIUM GEEIGNET ZU SEIN</small>? H<small>UNDERTUNDZWANZIG</small>; R. N<small>EḤEMJA SAGT: ZWEIHUNDERTUNDDREISSIG, ENTSPRECHEND DEN</small> V<small>ORGESETZTEN ÜBER ZEHN</small><sup>37</sup><i class=""footnote"">Auf je 10 Personen ein Richter: cf. Ex.18,25.</i>.
"
Sanhedrin 2b:3,"GEMARA. Sind denn [Entschädigungen für] Raub und Körperverletzungen keine Geldangelegenheiten? R. Abahu erwiderte: Er erklärt, was solche sind: was sind Geldangelegenheiten? [Entschädigungen für] Raub und Körperverletzungen, nicht aber Geständnisse<sup>38</sup><i class=""footnote"">Wenn Zeugen bekunden, A habe in ihrer Gegenwart gestanden, B Geld zu schulden, od. A habe in ihrer Gegenwart von B Geld geborgt.</i>und Darlehen<sup>38</sup><i class=""footnote"">Wenn Zeugen bekunden, A habe in ihrer Gegenwart gestanden, B Geld zu schulden, od. A habe in ihrer Gegenwart von B Geld geborgt.</i>. 
"
Sanhedrin 2b:4,"Und beides ist nötig. Würde er nur ‘Geldangelegenheiten’ gelehrt haben, so könnte man glauben, auch Geständnisse und Darlehen, daher lehrt er ‘Raub und Körperverletzungen’. Und würde er nur ‘Raub und Körperverletzungen’, nicht aber ‘Geldangelegenheiten’ gelehrt haben, so könnte man glauben, auch Geständnisse und Darlehen, nur lehre er es deshalb von Raub und Körperverletzungen, weil das Drei[männergericht] hauptsächlich bei Raub und Körperverletzung genannt wird. 
"
Sanhedrin 2b:5,"Bei Raub, denn es heißt:<sup>39</sup><i class=""footnote"">Ex. 22,7.</i><i>so trete der Hausherr vor Gott</i><sup>40</sup><i class=""footnote"">Mit ‘Gott’ (<span dir=""rtl"">אלהים</span>) werden nur wirkliche, ordinierte Richter bezeichnet.</i>; bei Körperverletzungen, denn es ist ja einerlei, ob man am Geld oder am Körper verletzt wird. Daher erklärt er, daß unter ‘Geldangelegenheiten’ Raub und Körperverletzungen zu verstehen sei, nicht aber Geständnisse und Darlehen. – 
"
Sanhedrin 2b:6,"In welcher Hinsicht: wollte man sagen, insofern, als bei diesen keine drei [Richter] erforderlich sind, so sagte ja R. Abahu, wenn zwei in Geldangelegenheiten richten, sei ihr Urteil nach aller Ansicht nicht gültig. 
"
Sanhedrin 2b:7,"Und wollte man sagen, insofern, als sie nicht autorisiert zu sein brauchen, 
"
Sanhedrin 2b:8,"so [ist ja einzuwenden]: welcher Ansicht ist er, ist er der Ansicht, in diesem Abschnitte befinde sich eine Verwirrung<sup>41</sup><i class=""footnote"">Der in Rede stehende Abschnitt (Ex. Kap. 22) besteht aus mehreren Absätzen; nach einer Ansicht gehört der im Absatze von der Aufbewahrung sich befindliche Vers 8, nach welchem der Streit vor ordinierte Richter (<span dir=""rtl"">אלהים</span>) zu verweisen ist, in den Absatz vom Darleher (hinter Vers 24); cf. Bq. Fol. 107a.</i>der Schriftverse, so sollten auch autorisierte [Richter] erforderlich sein, und ist er der Ansicht, in diesem Abschnitte befinde sich keine Verwirrung der Schriftverse, so sollten auch keine drei [Richter] erforderlich sein!? – 
"
Sanhedrin 2b:9,"Tatsächlich ist er der Ansicht, in diesem Abschnitte befinde sich eine Verwirrung der Schriftverse, somit wären eigentlich autorisierte [Richter] erforderlich, nur sind wegen einer Lehre R. Ḥaninas keine autorisierten erforderlich. R. Ḥanina sagte nämlich: Nach der Tora sind sowohl bei Geldsachen als auch bei Strafsachen Untersuchung und Ausforschung [der Zeugen] erforderlich, 
"
Sanhedrin 3a:1,"denn es heißt:<sup>42</sup><i class=""footnote"">Lev. 24,22.</i><i>einerlei Recht soll unter euch gelten</i>, nur deshalb bestimmten sie, daß bei Geldsachen Untersuchung und Ausforschung nicht erforderlich seien, damit nicht vor den Leihenden die Tür abgeschlossen<sup>43</sup><i class=""footnote"">Das Einklagen einer Schuld würde dann mit großen Schwierigkeiten verbunden sein; auch das Suchen nach ordinierten Richtern erschwert das Einklagen.</i>werde. – 
"
Sanhedrin 3a:2,"Demnach sollten [die Richter], wenn sie sich geirrt haben, nicht regreßpflichtig sein!? – Dann würdest du erst recht vor den Leihenden die Tür abschließen. – 
"
Sanhedrin 3a:3,"Demnach können es ja zwei besondere [Lehren]<sup>44</sup><i class=""footnote"">Wozu wird oben (Fol. 2b) erklärt, der zweite Satz sei eine Erklärung des ersteren.</i>sein: Geldangelegenheiten werden vor drei gemeinen [Richtern verhandelt], Raub und Körperverletzungen vor drei autorisierten!? 
"
Sanhedrin 3a:4,"Und wozu wird ferner [das Wort] drei wiederholt!? 
"
Sanhedrin 3a:5,"Vielmehr, erklärte Raba, sind es zwei verschiedene [Lehren], und zwar wegen der Lehre R. Ḥaninas<sup>45</sup><i class=""footnote"">Genügen 3 gemeine Richter.</i>. R. Aḥa, Sohn des R. Iqa, sagte: Nach der Tora genügt auch ein [Richter], denn es heißt:<sup>46</sup><i class=""footnote"">Lev. 19,15.</i><i>mit Gerechtigkeit sollst du deinen Nächsten richten</i>, nur sind wegen der Eckensitzer<sup>47</sup><i class=""footnote"">Des Gesetzes unkundige Leute; cf. Bd. VII S. 276 Anm. 370.</i>[drei erforderlich]. – 
"
Sanhedrin 3a:6,"Können denn drei keine Eckensitzer sein!? – Es ist nicht gut möglich, daß sich unter ihnen nicht einer befinden sollte, der etwas gelernt hat. – Demnach sollten sie, wenn sie geirrt haben, nicht regreßpflichtig sein!? – So würden die Eckensitzer um so zahlreicher vertreten sein. – 
"
Sanhedrin 3a:7,"Welchen Unterschied gibt es zwischen der Erklärung Rabas und der des R. Aḥa, Sohnes des R. Iqa? – Ein Unterschied besteht zwischen ihnen bezüglich der Lehre Šemuéls, denn er sagte: Wenn zwei Recht gesprochen haben, so ist das Urteil gültig, nur heißt es ein anmaßendes Gericht. Raba hält nicht von der Lehre Šemuéls, R. Aḥa, Sohn des R. Iqa, hält wohl von der Lehre Šemuéls<sup>48</sup><i class=""footnote"">Nach der Tora genügt auch ein Richter, somit ist das Urteil zweier Richter gültig.</i>.
"
Sanhedrin 3a:8,"S<small>CHADEN- UND HALBER</small> S<small>CHADENERSATZ &amp;C</small>. ‘Schaden’ und ‘Körperverletzung’ sind ja identisch<sup>49</sup><i class=""footnote"">Hier handelt es sich um die Entschädigung wegen derselben.</i>!? – Da er vom halben Schadenersatz lehren will, so lehrt er auch vom ganzen Schadenersatz. – 
"
Sanhedrin 3a:9,"Aber auch der ‘halbe Schaden’ ist ja mit ‘Körperverletzung’ identisch!? Er lehrt dies 
"
Sanhedrin 3a:10,"vom Geldersatz und er lehrt dies von der Geldbuße. – Einleuchtend ist dies nach demjenigen, welcher sagt, der halbe Schadenersatz sei eine Geldbußen<sup>50</sup><i class=""footnote"">Cf. Bq. Fol. 15a.</i>, wie ist es aber nach demjenigen zu erklären, welcher sagt, der halbe Schadenersatz sei ein Geldersatz!? – 
"
Sanhedrin 3a:11,"Vielmehr, da er von der Zahlung des Doppelten und des Vier- oder Fünffachen lehren will, 
"
Sanhedrin 3b:1,"der kein Ersatz des Grundwertes ist, so lehrt er auch vom halben Schadenersatz, der kein Ersatz des Grundwertes ist, und da er vom Halben Schadenersatz lehrt, so lehrt er auch vom ganzen Schadenersatz.
"
Sanhedrin 3b:2,"Woher ist das Drei[männergericht] zu entnehmen? – Die Rabbanan lehrten:<sup>51</sup><i class=""footnote"">Ex. 22,7.</i><i>So trete der Hausherr vor Gott</i>, einer;<sup>52</sup><i class=""footnote"">Ib. V. 8.</i><i>vor Gott komme beider Angelegenheit</i>, das sind <i>zwei</i>;<sup>52</sup><i class=""footnote"">Ib. V. 8.</i><i>den Gott verurteilen wird</i>, das sind also drei – so R. Jošija. 
"
Sanhedrin 3b:3,"R. Jonathan sagte: Das erstemal ist es an sich nötig, somit ist es nicht zur Schriftforschung zu verwenden; vielmehr: <i>vor Gott komme beider Angelegenheit</i>, einer; <i>den Gott verurteilen wird</i>, das sind zwei; und da ein Gerichtshof nicht aus einer geraden Zahl bestehen soll, so nehme man noch einen hinzu, das sind also drei. – 
"
Sanhedrin 3b:4,"Es wäre anzunehmen, daß ihr Streit darin bestehe, ob die erste Nennung<sup>53</sup><i class=""footnote"">Des zur Forschung verwendeten Schriftwortes.</i>zur Schriftforschung zu verwenden sei; einer ist der Ansicht, man verwende sie zur Schriftforschung, und einer ist der Ansicht, man verwende sie nicht zur Schriftforschung. – Nein, alle sind der Ansicht, man verwende die erste Nennung nicht zur Schriftforschung, denn R. Jošija kann [seine Ansicht wie folgt] begründen: der Schriftvers könnte ja lauten: so trete der Hausherr vor den Richter, wenn es aber heißt: vor Gott, so deutet dies auf die Anzahl [der Richter]. – 
"
Sanhedrin 3b:5,"Und R. Jonathan!? Er gebraucht einen volkstümlichen Ausdruck, denn so sprechen die Leute: wer einen Prozeß hat, gehe zum Richter<sup>54</sup><i class=""footnote"">Nicht zu einem Laien, ebenso wird auch hier der Ausdruck <span dir=""rtl"">אלהים</span> gehraucht.</i>. – 
"
Sanhedrin 3b:6,"Hält denn R. Jošija nichts von dem, daß der Gerichtshof entscheidend<sup>55</sup><i class=""footnote"">Dh. er muß aus einer ungleichen Zahl bestehen, damit auf jeden Fall eine Majorität erzielt werden könne.</i>sein musse!? Es wird ja gelehrt: R. Elie͑zer, Sohn R. Jose des Galiläers, sagte: Wozu heißt es:<sup>56</sup><i class=""footnote"">Ex. 23,2.</i><i>zu entscheiden, nach der Mehrheit zu entscheiden</i>? Damit sagt die Tora, daß du dir einen entscheidenden Gerichtshof machest. – 
"
Sanhedrin 3b:7,"Er ist der Ansicht R. Jehudas, welcher sagt, es waren siebzig. Es wird nämlich gelehrt: Das große Synedrium hatte einundsiebzig [Mitglieder]; R. Jehuda sagt, siebzig. – 
"
Sanhedrin 3b:8,"Allerdings ist R. Jehuda dieser Ansicht bezüglich des großen Synedriums, da hierfür Schriftverse vorhanden<sup>57</sup><i class=""footnote"">Cf. infra Fol. 17a.</i>sind, ist er dieser Ansicht etwa auch hinsichtlich anderer Gerichte!? 
"
Sanhedrin 3b:9,"Wolltest du sagen, es gebe hierbei keinen Unterschied, so haben wir ja gelernt: Das Stützen der Ältesten und das Genickbrechen des Kalbes durch drei – so R. Šimo͑n; R. Jehuda sagt, durch fünf. 
"
Sanhedrin 3b:10,"Hierzu sagten wir: Folgendes ist der Grund R. Jehudas:<sup>58</sup><i class=""footnote"">Lev. 4,15.</i><i>es sollen stützen</i>, zwei; <i>die Ältesten</i>, zwei; und da das Gericht nicht aus einer gleichen Zahl bestehen soll, so nehme man noch einen hinzu, das sind also fünf!? – 
"
Sanhedrin 3b:11,"R. Jošija geht noch weiter als R. Jehuda; nach R. Jehuda ist dies nur beim großen Synedrium nicht erforderlich, wohl aber bei anderen Gerichten, während nach R. Jošija dies auch bei anderen Gerichten nicht erforderlich ist. – Wofür verwendet er demnach [das Wort] <i>hinzuneigen</i>!? – Er bezieht es auf Todesstrafsachen, 
"
Sanhedrin 3b:12,"nicht aber auf Zivilsachen. – Wir haben gelernt: Wenn zwei sagen, er sei unschuldig und einer sagt, er sei schuldig, so ist er unschuldig; wenn zwei sagen, er sei schuldig und einer sagt, er sei unschuldig, so ist er schuldig. Also nicht nach R. Jošija<sup>59</sup><i class=""footnote"">Nach RJ. müßten ja nach der Tora 3 Richter in ihrem Urteile übereinstimmen.</i>!? – 
"
Sanhedrin 3b:13,"Du kannst auch sagen, nach R. Jošija, denn er folgert dies [durch einen Schluß] vom Schwereren auf das Leichtere vom Todesstraf rechte: wenn der Allbarmherzige beim strengeren Todesstraf rechte sagt, man entscheide nach der Mehrheit, um wieviel mehr gilt dies von den leichteren Zivilsachen.
"
Sanhedrin 3b:14,"Die Rabbanan lehrten: Geldangelegenheiten werden vor drei [Richtern verhandelt]; Rabbi sagt: vor fünf, damit das Urteil durch drei entschieden werde. – Kann etwa bei drei das Urteil nicht durch zwei entschieden werden!? – Er meint es wie folgt: weil die Urteilsfällung durch drei erfolgen muß. Er ist also der Ansicht, die drei, von denen gesprochen wird, müssen das Urteil fällen. 
"
Sanhedrin 3b:15,"R. Abahu schimpfte hierüber: demnach müßte das große Synedrium hunderteinundvierzig [Mitglieder] haben, damit das Urteil durch einundsiebzig gefällt werde, und ebenso müßte das kleine Synedrium fünfundvierzig [Mitglieder] haben, damit das Urteil durch dreiundzwanzig gefällt werde!? 
"
Sanhedrin 3b:16,"Du mußt vielmehr erklären: wenn der Allbarmhinherzige sagt:<sup>60</sup><i class=""footnote"">Num. 11,16.</i><i>versammle mir siebzig Männer</i>, so heißt dies siebzig beim Versammeln, und [die Worte]:<sup>61</sup><i class=""footnote"">Ib. 35,24,25.</i><i>es richte die Gemeinde</i>, und: <i>es rette die Gemeinde</i>, beziehen sich auf <i>die</i> Zeit des Richtens, ebenso auch hierbei:<sup>62</sup><i class=""footnote"">Ex. 22,7.</i><i>so trete der Hausherr vor Gott</i>, beim Vortreten müssen es drei sein. – 
"
Sanhedrin 3b:17,"Vielmehr, folgendes ist der Grund Rabbis:<sup>63</sup><i class=""footnote"">Ib. V. 8.</i><i>nach der Verurteilung Gottes</i>; hier unten wird [das Wort] <i>Gott</i> gebraucht und ebenso wird [das Wort] <i>Gott</i> oben gebraucht, wie es unten zwei sind<sup>64</sup><i class=""footnote""><span dir=""rtl"">ירשיעון</span> in der Mehrzahl.</i>, ebenso sind es oben zwei, und da der Gerichtshof nicht aus einer geraden Zahl bestehen soll, so nehme man noch einen hinzu, das sind also fünf. – 
"
Sanhedrin 4a:1,"Und die Rabbanan!? – Die Schreibweise ist <i>jaršie͑n</i><sup>65</sup><i class=""footnote"">Defektiv, ohne <span dir=""rtl"">ז</span>, also singularisch: er sie verurteilen wird.</i>.
"
Sanhedrin 4a:2,"R. Jiçḥaq b. Jose sagte im Namen R. Joḥanans: Rabbi, R. Jehuda b. Roe͑ç, diu Schule Šammajs, R. Šimo͑n und R. A͑qiba sind alle der Ansicht, die Lesart<sup>66</sup><i class=""footnote"">Des bezügl. W.es in der Tora; so zBs. heißt es hier <span dir=""rtl"">ירשיען</span>, in der Einzahl, während die traditionelle Lesart <span dir=""rtl"">ירשיעון</span>, in der Mehrzahl, ist.</i>sei maßgebend. 
"
Sanhedrin 4a:3,"Rabbi, wie wir bereits gesagt haben. 
"
Sanhedrin 4a:4,"R. Jehuda b. Roe͑ç, denn es wird gelehrt: Die Schüler fragten R. Jehuda b. Roe͑ç, ob man <i>šibi͑m</i><sup>67</sup><i class=""footnote"">Lev. 12,5 heißt es, wenn eine Wöchnerin von einem Mädchen entbunden wird, sei sie <span dir=""rtl"">שבעים</span> (<i>šebua͑jim</i>, Dual von <span dir=""rtl"">שבוע</span>), zwei Wochen unrein, da dieses Wort defektiv geschrieben ist, so kann es auch <i>šibim</i>, siebzig [sc. Tage] gelesen werden.</i>lesen könne, wonach eine von einem Mädchen entbundene Wöchnerin siebzig Tage unrein wäre. 
"
