Index Title,Gittin
Gittin 2b:1,"Weil sieDie Leute außerhalb des Jisraéllandes, die in der Gesetzeskunde nicht bewandert sind.nicht wissen, daß esDas Schreiben des Scheidebriefes.auf ihren Namen erfolgen müsse. 
"
Gittin 2b:2,"Raba erwiderte: Weil dannWenn der Scheidebrief aus dem Auslande kommt.Zeugen zur BestätigungDie bei einer etwaigen Anfechtung seitens des Ehemannes erforderlich sind.selten sindDer Überbringer hat daher zu bekunden, daß der Scheidebrief in seiner Gegenwart auf den Namen der Geschiedenen erfolgt ist.. – 
"
Gittin 2b:3,"Welchen Unterschied gibt es zwischen ihnen? – Einen Unterschied gibt es zwischen ihnen in dem Falle, wenn zwei [den Scheidebrief] gebrachtEr kann wohl auf einen anderen Namen geschrieben sein, jedoch ist eine Anfechtung seitens des Ehemannes nichl zu berücksichtigen, da die Überbringer zugleich als Zeugen für die Bestätigung gelten.haben; oder auch, wenn aus einer Provinz nach einer anderen im JisraéllandeNach Rabba ist dann nichts zu berücksichtigen, wohl aber nach Raba.; 
"
Gittin 2b:4,"oder auch, wenn in derselben Provinz im ÜberseelandeIn diesem Falle ist nur die Begründung Rabbas stichhaltig.. – 
"
Gittin 2b:5,"Sollten doch nach Rabba, welcher sagt, weil sie nicht wissen, daß es auf ihren Namen erfolgen müsse, zwei erforderlich sein, wie bei allen anderen Zeugenaussagen in der Tora!? – Bei rituellen Angelegenheiten ist ein einzelner Zeuge glaubhaft. – 
"
Gittin 2b:6,"Aber ein einzelner Zeuge ist ja bei den rituellen Angelegenheiten nur dann glaubhaft, wenn das Verbot nicht festgestellt ist, wenn es beispielsweise zweifelhaft ist, ob es ein Stück Talg oder ein Stück FettDas die betreffende Person gegessen hat; es ist somit zweifelhaft, ob ein Verbot überhaupt vorliegt.war,
"
Gittin 2b:7,"hierbei aber steht ja das Verbot einer EhefrauVerheiratet u. somit jedem anderen verboten war sie sicher, nur ist die Aufhebung dieses Verbotes zweifelhaft.fest, somit ist dies eine inzestuöseIch gebrauche diesen Ausdruck als Übersetzung des W.s <span dir=""rtl"">ערוה</span>, worunter jeder verbotene Beischlaf verstanden wird.Angelegenheit, und bei einer inzestuösen Angelegenheit sind ja wenigstens zwei [Zeugen] erforderlich!? – 
"
Gittin 2b:8,"Die meisten wissenDaß es auf den richtigen Namen erfolgen müsse, daher ist auch einer glaubhaft.es. Und selbst nach R. Meír, der die Minderheit berücksichtigt, [ist zu erklären,] dies ist nur eine rabbanitische Bestimmung, da die Gerichtsschreiber kundig sind, 
"
Gittin 3a:1,"und hierbei haben es die Rabbanan wegen der VerlassenheitDamit der Frau die Heirat erlaubt sei.erleichtert. – 
"
Gittin 3a:2,"Ist dies denn eine Erleichterung, dies ist ja eine Erschwerung: wenn zwei erforderlich wären, könnte der Ehemann ihn nicht anfechten und ungültig machen, da aber nur einer erforderlich ist, so kann der Ehemann ihn anfechten und ungültig machen!? – 
"
Gittin 3a:3,"Da der Meister gesagt hat, daß R. Joḥanan und R. Ḥanina [darüber streiten], vor wieviel Personen er ihnDer Überbringer den Scheidebrief.ihr überreiche, wie einer sagt, vor zwei, und wie einer sagt, vor drei, so merkt erBeim Empfange des Scheidebriefes, da er weiß, daß man ihn bei der Übergabe ausfragen wird.sich dies, und [der Ehemann] macht sich nicht suspektEr fürchtet sich vor einer unberechtigten Anfechtung, da der Zeuge weiß, daß die Scheidung mit seiner Einwilligung erfolgt ist.. – 
"
Gittin 3a:4,"Sollten doch nach Raba, welcher sagt, weil dann Zeugen zur Bestätigung selten sind, zwei erforderlich sein, wie diesDie Bestätigung der Unterschriften durch 2 Zeugen, da eine Fälschung möglich ist.auch sonst bei Bestätigung von Urkunden der Fall ist!? –
"
Gittin 3a:5,"Bei rituellen Angelegenheiten ist ein einzelner Zeuge glaubhaft. – Aber ein einzelner Zeuge ist ja bei rituellen Angelegenheiten nur dann glaubhaft, wenn das Verbot nicht festgestellt ist, wenn es beispielsweise zweifelhaft ist, ob es ein Stück Talg oder ein Stück Fett war, hierbei aber steht ja das Verbot einer Ehefrau fest, somit ist dies eine inzestuöse Angelegenheit, und bei einer inzestuösen Angelegenheit sind ja wenigstens zwei [Zeugen] erforderlich!? – 
"
Gittin 3a:6,"Eigentlich sollte dies auch sonst bei Bestätigung von Urkunden nicht erforderlich sein, wegen einer Lehre des Reš Laqiš, denn Reš Laqiš sagte, daß, wenn Zeugen auf der Urkunde unterzeichnet sind, dies ebenso sei, als würde ihr Zeugnis vor Gericht geprüft worden sein, nur haben die Rabbanan dies bestimmt, hierbei aber haben es die Rabbanan wegen der Verlassenheit erleichtert. – 
"
Gittin 3a:7,"Ist dies denn eine Erleichterung, dies ist ja eine Erschwerung: wenn zwei erforderlich wären, könnte der Ehemann ihn nicht anfechten und ungültig machen, da aber nur einer erforderlich ist, so kann der Ehemann ihn anfechten und ungültig machen!? – Da der Meister gesagt hat, daß R. Joḥanan und R. Ḥanina [darüber streiten], vor wieviel Personen er ihn ihr übergebe, wie einer sagt, vor zwei, und wie einer sagt, vor drei, so merkt er sich dies, und [der Ehemann] macht sich nicht suspekt. – 
"
Gittin 3a:8,"Weshalb erklärt Raba nicht wie Rabba? – Er kann dir erwidern: heißt es denn: er ist vor mir auf ihren Namen geschrieben und vor mir auf ihren Namen unterzeichnetDie Begründung Rabbas wird bei dieser Bekundung gar nicht berührt.worden!? – 
"
Gittin 3a:9,"Und Rabba!? – Eigentlich sollte es so heißen, nur könnte er, wenn man ihm viele Worte auferlegen würde, diese kürzenNicht alles wiedergeben; durch irgend eine Änderung könnte die Scheidung ungültig werden; cf. infra Fol. 5b.. – Auch jetzt karm er sie ja kürzen!? – 
"
Gittin 3a:10,"Eines von dreienIm Texte hat die Bekundung in dieser Fassung 3 Worte. könnte er fortlassen, eines von zweien läßt er nicht fortDie Frage, ob der Scheidebrief auf den Namen der betreffenden Frau geschrieben worden ist, wird dann an den Überbringer besonders gerichtet.. – 
"
Gittin 3a:11,"Weshalb erklärt Rabba nicht wie Raba? – Er kann dir erwidern: wenn dem soDaß dies zur Bestätigung der Unterschrift erfolge. wäre, so sollte er doch lehren: er ist vor mir unterzeichnet worden, und nichts weiter, wenn es aber auch heißt: vor mir geschrieben, so ist hieraus zu entnehmen, daß es auf ihren Namen erfolgen müsseDh. die Bekundung hat deshalb zu erfolgen, damit dies festgestellt werde.. – 
"
Gittin 3a:12,"Und Raba!? – Eigentlich sollte es so heißen, nur könnte man damit die Bestätigung anderer Urkunden verwechseln, daß es durch einen Zeugen erfolgen könneDer Überbringer hat daher auch seine Anwesenheit beim Schreiben zu bekunden, damit jeder Zuschauende wisse, daß dies nur von Scheidebriefen gelte.. – 
"
Gittin 3a:13,"Und Rabba!? – Es ist ja nicht gleich; sonst [sagen sieDie Zeugen, die die Unterschriften einer Urkunde bestätigen.]: wir kennen sieDie Unterschrift., hierbei aber [sagt er]: vor mir; 
"
Gittin 3a:14,"sonst ist eine Frau nicht glaubhaft, hierbei aber ist eine FrauDie ebenfalls zur Überbringung eines Scheidebriefes zulässig ist.glaubhaft; sonst ist der BeteiligteDer die Urkunde präsentiert.nicht glaubhaft, hierbei ist der Beteiligte glaubhaftAuch die Geschiedene selbst kann ihren Scheidebrief überbringen, wenn beispielsweise der Ehemann zu ihr gesagt hat, daß die Scheidung dann erfolgen möge, wenn sie den Scheidebrief dem Gerichte vorlegt.. – 
"
Gittin 3a:15,"Und Raba!? – Er kann dir erwidern: sind sie etwa hierbei nicht glaubhaft, wenn sie sagen: wir kennen sieDie Unterschrift.!? Da sie nun glaubhaft sind, wenn sie sagen, sie kennen sie, so könnte man damit Bestätigung anderer Urkunden verwechseln, daß es durch einen Zeugen erfolgen könne.
"
Gittin 3a:16,"Wer ist nach Rabba, der erklärt, weil sie nicht wissen, daß es auf ihren Namen erfolgen müsse, der Autor, der des Schreibens auf ihren Namen 
"
Gittin 3b:1,"und der Unterschrift auf ihren Namen benötigt?  Wenn R. Meír, so benötigt er ja nur der UnterschriftAuf den Namen der Geschiedenen.und nicht des Schreibens, denn wir haben gelernt, daß man [den Scheidebrief] nicht auf etwas, das am Boden haftet, schreiben dürfe, und wenn man ihn auf etwas, das am Boden haftet, geschrieben, abgetrennt und ihn unterzeichnet hat, er gültigDemnach braucht nur die Unterschrift auf zulässige Weise zu erfolgen.sei, 
"
Gittin 3b:2,"und wenn R. Elea͑zarNach dem ein Scheidebrief ohne Zeugenunterschrift nach der Tora gültig ist., so benötigt er ja nur des Schreibens und nicht der Unterschrift!? Wolltest du sagen, tatsächlich sei es R. Elea͑zar, und nach ihm sei die Unterschrift auf ihren Namen nur nach der Tora nicht erforderlich, wohl aber rabbanitisch, so ist ja nach R. Elea͑zar bei den drei rabbanitisch ungültigen ScheidebriefenZu welchen auch einer ohne Zeugenunterschrift gehört.eine Unterschrift auf den richtigen Namen nicht erforderlichNicht einmal rabbanitisch.!? 
"
Gittin 3b:3,"Wir haben nämlich gelernt: Drei Scheidebriefe sind ungültig, hat sie aber geheiratet, so ist das Kind unbemakelt: wenn er von seinerDes Ehemannes.Hand geschrieben ist und keine Zeugenunterschriften hat, wenn er Zeugenunterschriften hat, aber kein Datum angegeben ist, wenn ein Datum angegeben, aber nur ein Zeuge unterschrieben ist; diese drei Scheidebriefe sind ungültig, falls sie aber geheiratet hat, ist das Kind unbemakelt. 
"
Gittin 3b:4,"R. Elea͑zar sagte: Auch wenn er keine Zeugenunterschriften hat, er ihn aber vor Zeugen gegeben hat, ist er gültig, und sie kann [damit ihre Morgengabe] von verkauften Gütern einfordern, denn die Unterschrift der Zeugen auf einer UrkundeSo richt nach Handschriften.ist nur eine vorsorgendeWeil die Tatzeugen sterben könnten. Wenn nach dem ersten Autor, da die bereits erfolgte Heirat gültig ist, ein solcher Scheidebrief nur rabbanilisch ungültig ist, so ist er wohl nach RE. auch rabbanitisch gültig.Institution. 
"
Gittin 3b:5,"Wolltest du sagen, tatsächlich sei es R. Meír, und nach ihm sei das Schreiben auf ihren Namen nur nach der Tora nicht erforderlich, wohl aber rabbanitisch, so sagte ja R. Naḥman, R. Meír sei der Ansicht, daß, selbst wenn er [einen Scheidebrief] auf dem Misthaufen gefunden, 
"
Gittin 4a:1,"ihn unterzeichnet und ihr gegeben hat, er gültig sei!? Wolltest du erwidern, nur nach der ToraWährend rabbanitisch ein solcher Scheidebrief ungültig ist., so sollte es heißen; R. Meír sei der Ansicht, nach der ToraSei ein solcher Scheidebrief gültig, damit man nicht glaube, daß er es auch rabbanitisch sei.!? – 
"
Gittin 4a:2,"Vielmehr, tatsächlich ist es R. Elea͑zar, und nur in dem Falle, wenn keine Zeugen unterzeichnet sind, ist nach ihm eine Unterschrift auf ihren NamenSo richt nach Handschriften.nicht erforderlich, wenn aber Zeugen unterzeichnet sind, so ist dies erforderlich, denn R. Abba sagte, R. Elea͑zar pflichte bei, daß, wenn diese falschWenn die Unterschrift durch unzulässige Zeugen od, nicht auf den Namen der Geschiedenen erfolgt ist; der Scheidebrief ist nur ganz ohne Unterschrift tauglich, nicht aber, wenn er eine falsche hat.ist, er ungültig sei. 
"
Gittin 4a:3,"R. Aši erwiderte: Es ist R. Jehuda, denn wir haben gelernt: nach R. Jehuda ist erDer auf eine am Boden haftende Sache geschriebene Scheidebrief.ungültig, es sei denn, daß er beim Schreiben und beim Unterschreiben abgetrennt war. – 
"
Gittin 4a:4,"Weshalb ist [die Mišna] nicht von vornherein R. Jehuda addiziert worden!? – 
"
Gittin 4a:5,"Wir bestreben uns, sie R. Meír zu addizieren, weil eine anonyme Mišna auf R. Meír zurückzuführen ist, ebenso R. Elea͑zar, weil beim [Gesetze von der] Scheidung die Halakha nach ihm zu entscheiden ist.
"
Gittin 4a:6,"Wir haben gelernt: R. Gamliél sagt, auch wer einen aus Reqem oder Ḥeger bringt; R. Elie͑zer sagt, auch wer einen aus Kephar Ludim nach Lud bringt. Hierzu sagte Abajje, hier werde von den Städten gesprochen, die sich in der Nähe des Jisraéllandes befinden, und die in das jisraéllandische GebietUnd zu diesen nicht gehören; von letzteren spricht RE.hineinragen.
"
Gittin 4a:7,"Ferner sagte Rabba b. Bar Ḥana, er habe diesen OrtZwischen Kephar Ludim u. Lud.gesehen, und er gleiche [der Entfernung] von Bei KubeDie Einwohner von Pumbeditha scheinen sich mit der Kannenfabrikation befaßt zu haben (cf. Az. Fol. 33b), somit dürfte Be Kube ein Ort sein, wo solche Kannen (<span dir=""rtl"">כובי</span>) fabriziert wurden.bis Pumbeditha.
"
Gittin 4a:8,"Demnach ist der erste Autor der Ansicht, bei diesen sei esDaß der Überbringer seine Gegenwart bekunde. nicht nötig, somit besteht ihr Streit wahrscheinlich in folgendem: einer ist der Ansicht, weil sie nicht wissen, daß es auf ihren Namen erfolgen müsse, und dieseDie Gemeinden in der Nähe des Jisraéllandes.wissen es, und einer ist der Ansicht, weil Zeugen zur Bestätigung selten sind, und auch da sind sie seltenDa der Verkehr aus einem Lande nach einem anderen schwierig ist. Die Autoren der Mišna führen somit denselben Streit wie Rabba u. Raba.. –
"
Gittin 4a:9,"Nein, Rabba erklärt es nach seiner Ansicht, und Raba erklärt es nach seiner Ansicht. Rabba erklärt es nach seiner Ansicht; alle sind der Ansicht, weil sie nicht wissen, daß es auf ihren Namen erfolgen müsse, und ihr Streit besteht in folgendem: der erste Autor ist der Ansicht, die nahen [Orte] wissen es, 
"
Gittin 4a:10,"R. Gamliél ist der Ansicht, nur die hineinragendenIn das jisraélländische Gebiet.wissen es, die nahen aber nicht, und R. Elie͑zer ist der Ansicht, dies gelte auch von den hineinragenden, um beim Überseelande keinen Unterschied zu machen.
"
Gittin 4a:11,"Raba erklärt es nach seiner Ansicht; alle sind der Ansicht, weil Zeugen zur Bestätigung selten sind, nur ist der erste Autor der Ansicht, in den nahen [Orten] sind solche häufig, 
"
Gittin 4a:12,"R. Gamliél ist der Ansicht, nur in den hineinragenden sind solche häufig, nicht aber in den nahen, und R. Elie͑zer ist der Ansicht, dies gelte auch von den hineinragenden, um beim Überseelande keinen Unterschied zu machen. – 
"
Gittin 4a:13,"Wir haben gelernt: Die Weisen sagen, nur wer einen aus dem Überseelande bringt oder einen da hinbringt, müsse sagen: er ist vor mir geschrieben und vor mir unterzeichnet worden. Demnach ist der erste Autor der Ansicht, der Hinbringende brauche es nicht, somit besteht wahrscheinlich ihr Streit in folgendem: einer ist der Ansicht, weil sie nicht wissen, daß es auf ihren Namen erfolgen müsse, 
"
Gittin 4b:1,"und dieseDie Einwohner irn Jisraéllande, wo der Scheidebrief geschrieben worden ist.wissen es, und einer ist der Ansicht, weil Zeugen zur Bestätigung selten sind, und auch in diesem Falle sind sie selten. – 
"
Gittin 4b:2,"Rabba erklärt es nach seiner Ansicht, und Raba erklärt es nach seiner Ansicht. Rabba erklärt es nach seiner Ansicht; alle sind der Ansicht, weil sie nicht wissen, daß es auf ihren Namen erfolgen müsse, und sie streiten, ob beim Hinbringen das Herbringen zu berücksichtigen sei: 
"
Gittin 4b:3,"der erste Autor ist der Ansicht, man berücksichtige nicht beim Hinbringen das HerbringenDer Hinbringende braucht die Bekundung nicht zu machen, da im Jisraéllande der Scheidebrief sicher auf den richtigen Namen geschrieben worden ist., 
"
Gittin 4b:4,"und die letzten Rabbanan sind der Ansicht, man berücksichtige beim Hinbringen das Herbringen. 
"
Gittin 4b:5,"Raba erklärt es nach seiner Ansicht; alle sind der Ansicht, weil Zeugen zur Bestätigung selten sind, nur erklären die letzten Rabbanan die Worte des ersten AutorsDer ebenfalls dieser Ansicht ist, jed. nur den einen Fall nennt.. – 
"
Gittin 4b:6,"Wir haben gelernt: Wer einen aus einer Provinz nach einer anderen im Überseelande bringt, muß sagen: er ist vor mir geschrieben und vor mir unterzeichnet worden. Wenn aber in derselben Provinz im Überseelande, so ist dies nichtObgleich sie nicht wissen, daß das Schreiben auf den Namen der Geschiedenen erfolgen müsse.nötig. Einleuchtend ist es nach Raba, gegen Rabba aber ist dies ja ein Einwand!? – 
"
Gittin 4b:7,"Folgere nicht: in derselben Provinz im Überseelande ist dies nicht nötig, sondern: aus einer Provinz nach einer anderen im Jisraéllande ist dies nicht nötig. – 
"
Gittin 4b:8,"Dies lehrt er ja ausdrücklich: wenn jemand einen Scheidebrief im Jisraéllande bringt, so braucht er nicht zu sagen: er ist vor mir geschrieben und vor mir unterzeichnet worden!? – Wenn nur diese Lehre vorhanden wäre, so könnte man glauben, dies gelte nur von dem Falle, wenn es bereits erfolgt ist, nicht aber von vornherein, so lehrt er uns.
"
Gittin 4b:9,"Manche lehren diesen Einwand wie folgt: Aus einer Provinz nach einer anderen im Jisraéllande ist es nicht nötig. 
"
Gittin 4b:10,"Einleuchtend ist dies nach Rabha, gegen Raba aber ist dies ja ein Einwand!? – Folgere nicht: aus einer Provinz nach einer anderen im Jisraéllande ist dies nicht nötig, sondern: in derselben Provinz im Überseelande ist dies nicht nötig. – 
"
Gittin 4b:11,"Sollte er doch, wenn dies demnach aus einer Provinz nach einer anderen im Jisraéllande nötig ist, lehren: wenn jemand [einen Scheidebrief] aus einer Provinz nach einer anderen bringt, und nichts weiter!? –
"
Gittin 4b:12,"Tatsächlich ist es aus einer Provinz nach einer anderen im Jisraéllande nicht nötig, denn da verkehren Wallfahrer, und [Zeugen] sind häufig. – 
"
Gittin 4b:13,"Allerdings zur Zeit wo der Tempel besteht, wie ist es aber zur Zeit, wo der Tempel nicht besteht!? – Da permanente G«richtshöfeAn die das Volk oft sich zu wenden hat.vorhanden sind, so sind solche häufig. – 
"
Gittin 4b:14,"Wir haben gelernt: R. Šimo͑n b. Gamliél sagt, auch wenn aus einer Hegemonie nach einer anderen. Hierzu sagte R. Jiçḥaq: Im Jisraéllande gab es eine Stadt namens A͑sasjon, die zwei Hegemonien hatte, die es miteinander genauDie wohl zwei von einander getrennte Verwaltungen hatte.nahmen, daher wurde dies von zwei Hegemonien bestimmt. 
"
Gittin 4b:15,"Einleuchtend ist dies nach Raba, gegen Rabba aber ist dies ja ein Einwand!? – Rabba ist auch der Ansicht RabasDaß, wenn Zeugen selten sind, auch im Jisraéllande die Bekundung der Anwesenheit erforderlich sei; dagegen aber ist Raba nicht der Ansicht Rabbas, vielmehr ist es nach ihm auch außerhalb des Landes bekannt, daß der Scheidebrief auf den Namen der Geschiedenen zu schreiben sei.. – 
"
Gittin 4b:16,"Welchen Unterschied gibt es demnach zwischen ihnen!? – Ein Unterschied besteht zwischen ihnen in dem Falle, wenn zwei [einen Scheidebrief] gebrachtAus dem Auslande; nach Raba ist die Bekundung nicht nötig, nach Rabba wohl. haben, 
"
Gittin 4b:17,"ferner auch hinsichtlich derselben Provinz im ÜberseelandeAuch in diesem Falle ist nur nach Rabba die Bekundung nötig.. – 
"
Gittin 4b:18,"Wir haben gelernt: Wenn jemand einen Scheidebrief aus dem Überseelande gebracht hat und nicht sagen kann: er ist vor mir geschrieben und vor mir unterzeichnet worden, so ist er, wenn Zeugen unterzeichnet sind, durch die Unterschrift zu bestätigen. Und auf unsere Frage, was unter ‘nicht sagen kann’ zu verstehen sei, 
"
Gittin 5a:1,"wenn etwa der Fall, wenn er taubstumm ist, so kann ja ein Taubstummer keinen Scheidebrief überbringen, denn wir haben gelernt, jeder sei zulässig, einen Scheidebrief zu überbringen, ausgenommen ein Tauber, ein Blöder und ein Minderjähriger, 
"
Gittin 5a:2,"erwiderte R. Joseph, hier werde von dem Falle gesprochen, wenn er ihn ihr gegeben hat, als er noch hörend war, und bevor er noch sagen konnte: er ist vor mir geschrieben und vor mir unterzeichnet worden, taubstumm geworden ist. Einleuchtend ist dies nach Raba, gegen Rabba ist dies ja aber ein EinwandDie Bestätigung der Unterschriften ist ja belanglos.!? –
"
Gittin 5a:3,"Hier wird von der Zeit gesprochen, nachdem sie esDaß es auf den Namen der Geschiedenen erfolgen müsse.gelernt haben. – Demnach sollte esDaß die Bekundung der Anwesenheit unterlassen werden kann.auch von dem Falle gelten, wenn er es kann!? – Es ist zu berücksichtigen, es könnte wieder zu einem Verstoße kommenDiese Vorschrift könnte in Vergessenheit geraten.. –
"
Gittin 5a:4,"Demnach sollte dies auch in dem Falle berücksichtigt werden, wenn er es nicht kann!? – Daß ein Hörender taubstumm wird, ist selten, und bei Seltenem haben die Rabbanan dies nicht berücksichtigt. – 
"
Gittin 5a:5,"Auch bei einer Frau ist esDaß eine Frau ihren eigenen Scheidebrief überbringt.ja selten, dennoch wird gelehrt, daß eine Frau ihren Scheidebrief selber bringen dürfe, nur müsse sie sagen: er ist vor mir geschrieben und vor mir unterzeichnet worden!? – Um bei der Überbringung keinen Unterschied zu machen. –
"
Gittin 5a:6,"Demnach sollte dies auch vom Ehemanne gelten, während doch gelehrt wird, daß, wenn er selbst seinen Scheidebrief gebracht hat, er nictit zu sagen brauche: er ist vor mir geschrieben und vor mir unterzeichnet worden!? – 
"
Gittin 5a:7,"Die Rabbanan bestimmten ja deshalb, daß er sagen müsse: er ist vor mir geschrieben und vor mir unterzeichnet worden, weil der Ehemann ihn anfechten und ungültig machen könnte, und wenn er selber ihn in der Hand hält, wieso sollte er ihn anfechten!? – 
"
Gittin 5a:8,"Komm und höre: Šemuél fragte R. Hona: Müssen, wenn zwei einen Scheidebrief aus dem Überseelande bringen, diese sagen: er ist vor uns geschrieben und vor uns unterzeichnet worden, oder brauchen sie es nicht? Dieser erwiderte: Sie brauchen es nicht; sind sie denn nicht glaubhaft, wenn sie sagen: er ließ sich in unserer Gegenwart von ihr scheiden!?
"
Gittin 5a:9,"Einleuchtend ist dies nach Raba, gegen Rabba aber ist dies ja ein EinwandNach ihm müssen ja auch zwei dies bekunden.!? – Hier wird von der Zeit gesprochen, nachdem sie es gelernt haben. – 
"
Gittin 5a:10,"Demnach sollte dies auch von einem gelten!? – Es ist zu berücksichtigen, es könnte wieder zu einem Verstoße kommen. – 
"
Gittin 5a:11,"Demnach sollte dies auch bei zweien berücksichtigt werden!? – Daß zwei einen Scheidebrief überbringen, ist selten, und bei Seltenem haben die Rabbanan dies nicht berücksichtigt. – 
"
Gittin 5a:12,"Auch bei einer Frau ist es ja selten, dennoch haben wir gelernt, daß die Frau ihren Scheidebrief selber bringen dürfe, nur müsse sie sagen: er ist vor mir geschrieben und vor mir miterzeichnet worden!? – Um bei der Überbringung keinen Unterschied zu machen. –
"
Gittin 5a:13,"Demnach sollte dies auch vom Ehemanne gelten, während doch gelehrt wird, daß, wenn er selber seinen Scheidebrief gebracht hat, er nicht zu sagen brauche: er ist vor mir geschrieben und vor mir unterzeichnet worden!? – Die Rabbanan bestimmten ja deshalb, daß er sagen müsse: er ist vor mir geschrieben und vor mir unterzeichnet worden, weil der Ehemann ihn anfechten und ungültig machen könnte, und wenn er selber ihn in der Hand hält, wieso sollte er ihn anfechten!? –
"
Gittin 5a:14,"Komm und höre: Wenn jemand einen Scheidebrief aus dem Überseelande gebracht, ihn ihr gegeben, aber nicht gesagt hat: er ist vor mir geschrieben und vor mir unterzeichnet worden, so ist er, wenn er durch die Unterschriften bestätigt wird, gültig, wenn aber nicht, ungültig. Die Benötigung zu sagen: er ist vor mir geschrieben und vor mir unterzeichnet worden, ist nicht für sie erschwerend, sondern erleichterndDamit keine Zeugen zur Bestätigung erforderlich seien; wenn aber solche vorhanden sind, so braucht er es nicht zu sagen.. 
"
Gittin 5a:15,"Einleuchtend ist dies nach Raba, gegen Rabba aber ist dies ja ein EinwandDie Bestätigung der Unterschriften ist ja belanglos.!? – Hier wird von der Zeit gesprochen, nachdem sie es gelernt haben. – 
"
Gittin 5a:16,"Du sagtest ja aber, es sei zu berücksichtigen, es könnte wieder zu einem Verstoße kommen!? – Wenn sie bereits geheiratetWegen dieser Berücksichtigung braucht die Ehe nicht annulliert zu werden.hat. – Wieso begründet er demnach: die Benötigung zu sagen: er ist vor mir geschrieben und vor mir unterzeichnet worden, ist nicht für sie erschwerend, dies erfolgt ja aus dem Grunde, weil sie bereits geheiratetSonst aber nützt die Bestätigung nicht.hat!? – 
"
Gittin 5a:17,"Er meint es wie folgt: man könnte glauben, es erfolge für sie erschwerend und er entferne sie, so ist die Benötigung zu sagen: er ist vor mir geschrieben und vor mir unterzeichnet worden, nicht für sie erschwerend, sondern erleichternd. 
"
