Index Title,Moed Katan
Moed Katan 2a:7,"Woher ist es erwiesen, daß šalaḥDas dürre, künstlich bewässerte Feld heißt <span dir=""rtl"">בית השלחין</span>, was hier von <span dir=""rtl"">שלהי</span> <i>müde, matt sein ‘dürr’ heißt? – Es heißt: Dt. 25,18.<i>als du erschöpft und müde warst</i>, was wir übersetzen: als du <i>mešalhe</i> und müde warst. – 
"
Moed Katan 2a:8,"Woher ist es erwiesen, daß (bet-ha) baa͑lDas dürre, künstlich bewässerte Feld heißt <span dir=""rtl"">בית השלחין</span>, was hier von <span dir=""rtl"">שלהי</span> <i>müde, matt sein ‘niederlassen’Od. Bewohnen, Beiwohnen; der Regen läßt sich auf die Erde nieder, wohnt ihr bei. heißt? – Es heißt :Jes. 62,5.<i>wie ein Jüngling einer Jungfrau beiwohnt [jiba͑l]</i>, was wir übersetzen wie ein Jüngling sich mit einer Jungfrau niederläßt, so werden sich deine Kinder in dir niederlassen. – 
"
Moed Katan 2a:9,"Wer lehrt, es sei nur des Schadens wegen [erlaubt], nicht aber des Gewinnes wegen, und auch wenn des Schadens wegen, sei die mühevolle Arbeit verboten? 
"
Moed Katan 2a:10,"R. Hona erwiderte: Es ist R. Elie͑zer b. Ja͑qob, denn wir haben gelernt: R. Elie͑zer b. Ja͑qob sagt, man dürfe [am Festtage] das Wasser von einem Baume zum anderen leiten, nur nicht das ganze Feld bewässernDiese Lehre spricht von einem natürlich bewässerten Felde.. – 
"
Moed Katan 2a:11,"Vielleicht sagt R. Elie͑zer dies, nur des Gewinnes wegen nicht, sagte er dies etwa auch von der mühevollen Arbeit des Schadens!? 
"
Moed Katan 2a:12,"Vielmehr, erwiderte R. Papa, es ist R. Jehuda, denn es wird gelehrt: Man darf aus einer erstmalig tätigen Quelle sogar ein feuchtes Feld bewässern – so R. Meír: R. Jehuda sagt, man dürfe nur das Rieselfeld bewässern, das verdorben worden ist. R. Elea͑zar b. A͑zarja sagt, nicht so und nicht so. Noch mehr sagte R. Jehuda: Man darf am Halbfeste keinen Wassergraben leiten und seinen Garten oder sein zerstörtes [Feld] bewässern. 
"
Moed Katan 2a:13,"Was heißt ‘zerstört’: wollte man sagen, wirklich zerstört, wozu bewässert man es!? Vielmehr ist mit Abajje zu erklären, wenn seine bisherige Quelle zerstört worden ist, und es jetzt eine andereIn diesem Falle würde ein Schaden entstehen.hat. 
"
Moed Katan 2a:14,"R. Elea͑zar b. A͑zarja sagt, nicht so und nicht so, einerlei, ob dessen [bisherige] Quelle zerstört worden ist oder nicht, aus einer erstmalig tätigen Quelle ist es verboten. – 
"
Moed Katan 2a:15,"Wieso, vielleicht sagt R. Jehuda, bei einem Rieselfelde wohl und bei einem feuchten nicht, nur von einer erstmalig tätigen Quelle, 
"
Moed Katan 2b:1,"weil [dessen Bett] zusammenfallen kann, bei einer nicht erstmalig tätigen Quelle aber, bei der das Zusammenfallen nicht zu berücksichtigen ist, ist es auch bei einem feuchten Felde [erlaubt]!? – 
"
Moed Katan 2b:2,"Wem willst du demnach diese Lehre addizieren!? Vielmehr ist es nach R. Jehuda, einerlei ob aus einer erstmalig tätigen Quelle oder einer nicht erstmalig tätigen, nur bei einem Rieselfelde [erlaubt] und bei einem feuchten nicht, und nur deshalb lehrt er es von einer erstmalig tätigen Quelle, um dir die weitgehendste Ansicht R. Meírs hervorzuheben, daß es sogar aus einer erstmalig tätigen Quelle auch bei einem feuchten Felde erlaubt sei.
"
Moed Katan 2b:3,"Es wurde gelehrt: Wegen welcher [HauptarbeitCf. Sab. Fol. 73a.] ist derjenige zu warnenDie verbotene Handlung ist nur dann strafbar, wenn der Täter gewarnt wurde., der am Šabbath jätet oder Pflanzen bewässert? – Rabba sagt, wegen Pflügens, und R. Joseph sagt, wegen Säens. 
"
Moed Katan 2b:4,"Rabba sprach: Meine Ansicht ist einleuchtender; die Tätigkeit des Pflügens besteht darin, daß man die Erde lockert, und auch dieser lockert die Erde. R. Joseph sprach: Meine Ansicht ist einleuchtender; die Tätigkeit des Säens besteht darin, daß man Früchte wachsen macht, und auch dieser macht Früchte wachsen. 
"
Moed Katan 2b:5,"Abajje sprach zu Rabba: Gegen dich ist ein Einwand zu erheben und gegen R. Joseph ist ein Einwand zu erheben. Gegen dich ist ein Einwand zu erheben: nur wegen Pflügens und nicht auch wegen Säens!? Gegen R. Joseph ist ein Einwand zu erheben: nur wegen Säens und nicht auch wegen Pflügens!? 
"
Moed Katan 2b:6,"Wolltest du sagen, wenn es zwei [Tätigkeiten] sind, sei man nur wegen einer schuldig, so sagte ja R. Kahana, daß, wenn jemand [einen Baum] beschneidet und des Holzes bedarf, er zweimal schuldig sei, einmal wegen Pflanzens und einmal wegen Mähens!? – 
"
Moed Katan 2b:7,"Das ist ein Einwand. 
"
Moed Katan 2b:8,"R. Joseph wandte gegen Rabba ein: Wer Mischpflanzen jätet oder [mit Erde] bedeckt, erhält Geißelhiebe; R. A͑qiba sagt, auch wer sie stehen läßt. 
"
Moed Katan 2b:9,"Einleuchtend ist dies nun nach meiner Ansicht, es gehöre zum Säen, denn das Säen von Mischsaat ist verboten; aber ist denn, nach deiner Ansicht, es gehöre zum Pflügen, bei der Mischsaat das Pflügen verboten!? 
"
Moed Katan 2b:10,"Dieser erwiderte: Wegen des Stehenlassens. – 
"
Moed Katan 2b:11,"Wenn er aber im Schlußsatze lehrt: R. A͑qiba sagt, auch wer sie stehen läßt, so erfolgt es ja nach dem ersten Tanna nicht wegen Stehenlassens!? – 
"
Moed Katan 2b:12,"Die ganze Lehre ist von R. A͑qiba und dies ist eine Begründung: wer Mischpflanzen jätet oder mit Erde bedeckt, erhält Geißelhiebe wegen des Stehenlassens, denn R. A͑qiba sagt, auch wer sie stehenErhalte Geißelhiebe wegen Mischfrucht.läßt. – 
"
Moed Katan 2b:13,"Was ist der Grund R. A͑qibas? – Es wird gelehrt:Lev. 19,19.<i>Du sollst dein Feld nicht mit Gemischtem besäen</i>; ich weiß dies nur vom Säen, woher vom Stehenlassen? 
"
Moed Katan 2b:14,"Es heißt: <i>Gemischtes auf deinem Felde sollst du nicht [haben]</i>Das Wort <span dir=""rtl"">כלאיס</span> (allerdings zum vorangehenden Satze gehörend) steht neben dem W.e <span dir=""rtl"">שדך</span>, demnach begsteht das Verbot nicht nur im Säen, sondern auch im Stehenlassen..– 
"
Moed Katan 2b:15,"Wir haben gelernt: Man darf das Rieselfeld am Halbfeste und im Siebentjahre bewässern. 
"
Moed Katan 2b:16,"Allerdings am Halbfeste, weil nur die Mühe zu berücksichtigen wäre, und des Schadens wegen haben es die Rabbanan erlaubt, wieso aber im Siebentjahre, ist denn sowohl nach demjenigen, der wegen Säens sagt, als auch nach demjenigen, der wegen Pflügens sagt, das Säen oder das Pflügen im Siebentjahre erlaubt!? 
"
Moed Katan 2b:17,"Abajje erwiderte: Im Siebentjahre in der Jetztzeit, und zwar nach Rabbi, denn es wird gelehrt: Rabbi sagte:Dt. 15,2.<i>Folgende Bewandtnis hat es mit dem Erlasse: erlassen &amp;c.</i>; die Schrift spricht von zwei Erlassungen, von der Erlassung des Bodens und von der Erlassung der Geldforderungen. 
"
Moed Katan 2b:18,"Zu einer Zeit, wo die Erlassung des Bodens gilt, gilt auch die Erlassung von Geldforderungen, und zur Zeit, wo die Erlassung des Bodens nicht gilt, gilt auch nicht die Erlassung von Geldforderungen. 
"
Moed Katan 2b:19,"Raba erwiderte: Du kannst auch sagen, nach den Rabbanan, denn der Allbarmherzige hat nur die Hauptarbeiten verboten, 
"
Moed Katan 3a:1,"die AbzweigungenDie zu den Hauptarbeiten gehören; cf. Sab. Fol. 73aff.aber hat der Allbarmherzige nicht verboten. Es heißt nämlich:Lev. 25,4,5.<i>aber das siebente Jahr soll für das Land eine Zeit unbedingter Ruhe sein; du darfst dein Feld nicht besäen &amp;c</i>.;
"
Moed Katan 3a:2,"merke, das Beschneiden ist ja im Säen und das Winzern im Mähen einbegriffen, weshalb nennt sie der Allbarmherzige besonders? 
"
Moed Katan 3a:3,"Um zu sagen, daß man nur wegen dieser Abzweigungen schuldig sei, wegen anderer aber ist man nicht schuldig. – 
"
Moed Katan 3a:4,"Etwa nicht, es wird ja gelehrt: <i>Du darfst dein Feld nicht besäen, und deinen Weinberg darfst du nicht beschneiden</i>; ich weiß dies vom Säen und vom Beschneiden, woher dies vom Jäten, Graben und Entblättern? Es heißt: <i>dein Feld</i>Das <span dir=""rtl"">לא</span> wird auf das Nomen u. nicht auf das Verb bezogen (cf. Anm. 15 mut. mut.).<i>nicht, deinen Weinberg</i>Das <span dir=""rtl"">לא</span> wird auf das Nomen u. nicht auf das Verb bezogen (cf. Anm. 15 mut. mut.).<i>nicht,</i> keinerlei Arbeit auf dem Felde, keinerlei Arbeit im Weinberg. 
"
Moed Katan 3a:5,"Woher, daß das Ausschneiden, Beschneiden und Abkratzen der Bäume verboten ist? Es heißt: <i>dein Feld nicht, deinen Weinberg nicht</i>, keinerlei Arbeit auf dem Felde und keinerlei Arbeit im Weinberg. 
"
Moed Katan 3a:6,"Woher, daß das Düngen, EntblätternNach Raschi: die Steine von den Wurzeln entfernen., BeerdenNach anderen: den Staub entfernen.und Ausräuchern der Bäume verboten ist? Es heißt: <i>dein Feld nicht, deinen Weinberg nicht</i>, keinerlei Arbeit auf dem Felde und keinerlei Arbeit im Weinberg. 
"
Moed Katan 3a:7,"Man könnte glauben, man dürfe auch nicht Olivenbäume umgraben, Weinstöcke behacken, Gräben mit Wasser füllen und Kreisfurchen um die Weinstöcke ziehen, so heißt es: <i>du darfst dein Feld nicht besäen und deinen Weinberg sollst du nicht beschneiden</i>;
"
Moed Katan 3a:8,"das Säen war ja einbegriffen, weshalb wurde es besonders hervorgehoben? Um anderes damit zu vergleichen und dir zu sagen: wie das Säen sich dadurch auszeichnet, daß es eine Arbeit für Feld und Weinberg ist, ebenso alles andere, was eine Arbeit für Feld und Weinberg istNicht aber eine spezifische Feld- oder Weinbergarbeit.. – 
"
Moed Katan 3a:9,"Nur rabbanitisch, und der Schriftvers ist nichts weiter als eine Anlehnung. – 
"
Moed Katan 3a:10,"Ist denn das Umgraben im Siebentjahre erlaubt, es heißt ja:Ex. 11.<i>im siebenten Jahre sollst du es unbestellt und brach lassen</i>; unbestellt, nicht umgraben, und brach, nicht entsteinigen!? 
"
Moed Katan 3a:11,"R. U͑qaba b. Ḥama erwiderte: Es gibt zweierlei Umgrabungen; die eine, um die Bäume zu kräftigen, und die andere, um Ritzen zu füllen. Die Bäume zu kräftigen ist verboten, die Ritzen zu füllen ist erlaubt.
"
Moed Katan 3a:12,"Es wurde gelehrt: Über das Pflügen im Siebentjahre [streiten] R. Joḥanan und R. Elea͑zar; einer sagt, er erhalte Geißelhiebe, und einer sagt, er erhalte keine Geißelhiebe. Es ist anzunehmen, daß sie über [eine Lehre] des R. Abin im Namen R. Ilea͑s streiten, denn R. Abin sagte im Namen R. Ilea͑s: Überall, wo das Gebot generalisiertWie beispielsweise in unserem Falle, wo das Gebot der allgemeinen Ruhe im Siebentjahre generell gehalten ist, die verbotenen Arbeiten aber speziell aufgezählt werden.und das Verbot spezialisiert, ist [die Regel] vom GenerellenCf. Bd. 2 S. 612 Anm. 47.und Speziellen nicht anzuwenden. 
"
Moed Katan 3a:13,"Nach dem er Geißelhiebe erhält, hält nichts von der Lehre R. Abins im Namen R. Ilea͑s, 
"
Moed Katan 3a:14,"und nach dem er keine Geißelhiebe erhält, hält wohl von der Lehre R. Abins. – 
"
Moed Katan 3a:15,"Nein, keiner hält von der Lehre R. Abins im Namen R. Ilea͑s; nach dem er Geißelhiebe erhält, stimmt dies ja, 
"
Moed Katan 3a:16,"und derjenige, nach dem er keine Geißelhiebe erhält, kann dir erwidern: merke, das Beschneiden ist ja im Säen und das Winzern im Mähen einbegriffen, weshalb nennt sie der Allbarmherzige besonders? Um zu sagen, daß man nur wegen dieser Abzweigungen schuldig sei, nicht aber ist man wegen anderer schuldig. – 
"
Moed Katan 3a:17,"Etwa nicht, es wird ja gelehrt: <i>Dein Feld sollst du nicht besäen und deinen Weinberg sollst du nicht beschneiden</i>; ich weiß dies vom Säen und vom Beschneiden, woher dies vom Jäten, Graben und Entblättern? Es heißt: <i>dein Feld nicht</i>Das <span dir=""rtl"">לא</span> wird auf das Nomen u. nicht auf das Verb bezogen (cf. Anm. 15 mut. mut.)., <i>deinen Weinberg nicht</i>, keinerlei Arbeit auf dem Felde und keinerlei Arbeit im Weinberg. 
"
Moed Katan 3a:18,"Woher, daß das Ausschneiden, Beschneiden und Abkratzen der Bäume verboten ist? Es heißt: dein <i>Feld nicht, deinen Weinberg nicht</i>, keinerlei Arbeit auf dem Felde und keinerlei Arbeit im Weinberg. 
"
Moed Katan 3a:19,"[Woher, daß das Düngen, Entblättern und Ausräuchern der Bäume verboten ist? Es heißt: <i>dein Feld nicht, deinen Weinberg nicht</i>, keinerlei Arbeit auf dem Felde und keinerlei Arbeit im Weinberg.] 
"
Moed Katan 3a:20,"Man könnte glauben, man dürfe auch nicht Olivenbäume umgraben, Weinstöcke behacken, Gräben mit Wasser füllen und Kreisfurchen um die Weinstöcke ziehen, so heißt es: <i>du darfst dein Feld nicht besäen</i>; 
"
Moed Katan 3a:21,"das Säen war ja einbegriffen, weshalb wurde es besonders hervorgehoben? Um anderes damit zu vergleichen und dir zu sagen: wie das Säen sich dadurch auszeichnet, daß es eine Arbeit für Feld und Weinberg ist, ebenso alles andere, was eine Arbeit für Feld und Weinberg ist!? – 
"
Moed Katan 3a:22,"Nur rabbanitisch, und der Schriftvers ist nichts weiter als eine Anlehnung.
"
Moed Katan 3b:1,"Als R. Dimi kam, sagte er: [SieIn Palästina, woher RD. kam.lehrten:] Man könnte glauben, man erhalte Geißelhiebe auch wegen des Zusatzes, so gibt es eine Lehre, daß man frei ist. Ich weiß aber nicht, was für eine Lehre und was für ein Zusatz das ist. 
"
Moed Katan 3b:2,"R. Elea͑zar erklärte: Das PflügenIm Siebentjahre, wovon die Schrift nicht spricht; dies ist unter ‘Zusatz’ zu verstehen.. Dies ist also wie folgt zu verstehen: Man könnte glauben, man erhalte Geißelhiebe wegen des Pflügens, [dessen Verbot] durch [die Regel] vom Generellen, Speziellen und Generellen gefolgertOb. Col. a.wird, so gibt es eine Lehre, 
"
Moed Katan 3b:3,"daß man frei ist, sonst wäre ja die besondere AufzählungDer im Siebentjahre verbotenen Feldarbeiten.überflüssig. 
"
Moed Katan 3b:4,"R. Joḥanan erklärte: Die Tage vor Neujahr, die die Weisen [zum Siebentjahre] hinzugefügtDiese sind unter ‘Zusatz’ zu verstehen.haben. Dies ist also wie folgt zu erklären: Man könnte glauben, man erhalte Geißelhiebe wegen des Zusatzes vor dem Siebentjahre, wie zu folgern ist aus [den Worten :]Ex. 34,21; nach einer weiter folgenden Lehre wird dies auf das 6. Jahr des Septenniums bezogen.<i>in der Zeit des Pflügens und des Erntens sollst du ruhen</i>, so gibt es eine Lehre, daß man frei ist, wie wir dies weiter erklären.
"
Moed Katan 3b:5,"Welches Bewenden hat es mit den Tagen vor Neujahr? – Wir haben gelernt: Bis wie lange darf man das Baumfeld im Vorsiebentjahre pflügen? Die Schule Šammajs sagt, so lange es für die heurige Frucht nützlich ist; die Schule Hillels sagt, bis zum Wochenfeste. Die Worte dieser und die Worte jener sind einander nahe. 
"
Moed Katan 3b:6,"Bis wie lange darf man das Getreidefeld im Vorsiebentjahre pflügen? Bis die Feuchtigkeit [des Bodens] aufhört, so lange Leute noch pflügen, um Gurken und KürbisseDie einen feuchten Boden brauchen.zu pflanzen. 
"
Moed Katan 3b:7,"R. Šimo͑n sprach: Demnach hat die Tora die Frist jedem in die Hand gegeben!? Vielmehr das Getreidefeld bis zum Pesaḥfeste, das Baumfeld bis zum Wochenfeste. (Die Schule Hillels sagt, bis zum Pesaḥfeste.) 
"
Moed Katan 3b:8,"Hierzu sagte R. Šimo͑n b. Pazi im Namen des R. Jehošua͑ b. Levi im Namen Bar Qapparas: R. Gamliél und sein Gerichtskollegium stimmten über diese zwei Zeitbestimmungen ab und hoben sie auf. 
"
Moed Katan 3b:9,"R. Zera sprach zu R. Abahu, und wie manche sagen, Reš Laqiš zu R. Joḥanan: Wieso konnten R. Gamliél und sein Gerichtskollegium eine Anordnung der Schule Šammajs und der Schule Hillels aufheben, wir haben ja gelernt, ein Gerichtshof könne nicht die Worte eines anderen Gerichtshofes aufheben, es sei denn, daß er größer ist als jener an Weisheit und Zahl!? 
"
Moed Katan 3b:10,"Eine Weile war er bestürzt, dann erwiderte er: Vielleicht hatten sie bestimmt, daß jeder, der dies will, komme und es aufhebe. – 
"
Moed Katan 3b:11,"Ist dies denn [eine Anordnung] von ihnen, dies ist ja eine Moše am Sinaj überlieferte Halakha!? R. Asi sagte nämlich im Namen R. Joḥanans im Namen des R. Neḥunja aus dem Tale Beth Ḥivarthan: Die [Lehren von den] zehn SetzlingenCf. Sb. 1,6., der BachweideCf. Zum Feststrauße; cf. Suk. Fol. 33b.und dem WassergießenAm Hüttenfeste; cf. Suk. Fol. 48a., sind Moše am Sinaj überlieferte Halakhoth. 
"
Moed Katan 3b:12,"R. Jiçḥaq erwiderte: Die Halakha erstreckt sich nur auf dreißig Tage vor Neujahr, und sie dehnten es bis zum Pesaḥfeste, beziehungsweise zum Wochenfeste aus, und bezüglich ihrer [Frist] bestimmten sie, daß jeder, der dies will, kommen und es aufheben könne. – 
"
Moed Katan 3b:13,"Sind es denn überlieferte Halakhoth, sie sind ja [Bestimmungen] der Schrift!? Wir haben nämlich gelernt :Ex. 34,21.<i>Beim Pflügen und beim Ernten sollst du ruhen</i>. R. A͑qiba sagt: Da dies vom Pflügen und Ernten im Siebentjahre nicht nötig ist, da es bereits heißt: <i>du darfst dein Feld nicht besäen und deinen Weinberg nicht beschneiden</i>, so beziehe man es auf das Pflügen im Vorsiebentjahre 
"
Moed Katan 4a:1,"für das Siebentjahr und auf die Ernte des Siebentjahres im Nachsiebentjahre. 
"
Moed Katan 4a:2,"R. Jišma͑él sagte: Wie das Pflügen Freigestelltes ist, so auch das Ernten, wenn es Freigestelltes ist, ausgenommen das Ernten der Erstlingsgarbe, das GebotDieser Schriftvers bezieht sich nicht auf das Siebentjahr, sondern auf den Šabbath.ist. Vielmehr, erklärte 
"
Moed Katan 4a:3,"R. Naḥman b. Jiçḥaq, die überlieferte Halakha [lehrt], daß es bei jungen [Setzlingen] erlaubt ist, und die Schriftverse [deuten], daß es bei alten verboten ist. – 
"
Moed Katan 4a:4,"Wenn die überlieferte Halakha es bei jungen erlaubt, so ist es ja selbstverständlich, daß es bei alten verboten istl? – 
"
Moed Katan 4a:5,"Vielmehr, die überlieferte Halakha ist nach R. Jišma͑élDer aus dem Schriftverse nicht bezüglich dieser, sondern bezüglich der Erstlingsgarbe folgert., und die Schriftverse sind nach R. A͑qiba nötig. 
"
Moed Katan 4a:6,"R. Joḥanan erwiderte: R. Gamliél und sein Gerichtskollegium stützen sich bei ihrer Aufhebung auf die Tora. – 
"
Moed Katan 4a:7,"Wieso? – Dies ist durch [das Wort] <i>Ruhe</i> zu folgern, das auch beim gewöhnlichen Šabbath gebraucht wird: wie bei diesem die Arbeit nur an diesem selbst verboten ist, vor- und nachher aber erlaubt, ebenso ist sie auch [beim Siebentjahre] nur an diesem selbst verboten, vorund nachher aber erlaubt. 
"
Moed Katan 4a:8,"R. Aši wandte ein: Wieso kann, nach dem dies eine überlieferte Halakha ist, die Wortanalogie eine überlieferte Halakha aufheben, und wieso kann, nach dem dies ein Verbot der Schrift ist, die Wortanalogie ein Verbot der Schrift aufheben!? 
"
Moed Katan 4a:9,"Vielmehr, erklärte R. Aši, R. Gamliél und sein Gerichtskollegium sind der Ansicht R. Jišma͑éls, welcher sagt, dies sei eine überlieferte Halakha, und die überlieferte Halakha hat gleich dem Wassergießen Geltung nur zur Zeit, wenn der Tempel besteht, nicht aber, wenn der Tempel nicht besteht.
"
Moed Katan 4a:10,"A<small>BER NICHT MIT</small> R<small>EGEN- ODER</small> Z<small>UGBRUNNENWASSER.</small> Allerdings ist [die Bewässerung] mit Zugbrunnenwasser mühevoll, welche Mühe gibt es aber bei Regenwasser!? 
"
Moed Katan 4a:11,"R. Ilea͑ erwiderte im Namen R. Joḥanans: Beim Regenwasser ist das Zugbrunnenwasser berücksichtigt worden. R. Aši erwiderte: Aus dem Regenwasser selbst kann ZugbrunnenwasserWenn durch das Abschöpfen das Niveau des Wassers sinkt, ist das Schöpfen ebenso mühevoll, wie beim Zugbrunnen.werden. 
"
Moed Katan 4a:12,"Sie streiten über [eine Lehre] R. Zeras, denn R. Zera sagte im Namen des Rabba b. Jirmeja im Namen Šemuéls: Aus Teichen, die Zufluß aus WassersammlungenDiese gleichen dem Regenwasser, indem sie ebenfalls versiegen können, und man könnte veranlaßt werden, Wasser von anderwärts zu holen.haben, darf man am Halbfeste bewässern. 
"
Moed Katan 4a:13,"Einer hält von der Lehre R. Zeras, und einer hält nicht von der Lehre R. Zeras.
"
Moed Katan 4a:14,"Der Text. R. Zera sagte im Namen des Rabba b. Jirmeja, im Namen Šemuéls: Aus Teichen, die Zufluß aus Wassersammlungen haben, darf man am Halbfeste bewässern. 
"
Moed Katan 4a:15,"R. Jirmeja wandte gegen R. Zera ein: Nicht aber mit Regen- oder Zugbrunnenwasser!? Dieser erwiderte: Jirmeja, mein Sohn, die Wassersammlungen in Babylonien gleichen Gewässern, die nicht versiegen.
"
Moed Katan 4a:16,"Die Rabbanan lehrten: Aus Lachen und Pfützen, die am Vorabend des Festes mit Wasser gefüllt worden sind, darf man am Halbfeste nicht bewässern; wenn aber zwischen diesen ein Wasserarm sich hinzieht, so ist es erlaubt. 
"
Moed Katan 4a:17,"R. Papa sagte: Dies nur, wenn der größere Teil dieses Feldes aus diesem Wasserarm bewässert wirdDh. mit einem Male bewässert werden kann.. R. Aši sagte: Auch wenn der größere Teil dieses Feldes [aus diesem] nicht bewässert wird, denn da es nach und nach doch bewässert wird, sagt man sich: wird es nicht in einem Tage bewässert, so wird es in zwei oder drei Tagen.
"
Moed Katan 4a:18,"Die Rabbanan lehrten: Wenn aus einem Rieselfelde Wasser in eine Lache abfließt, so darf man aus dieser ein anderes Rieselfeld bewässern. – Das Wasser versiegt ja!? 
"
Moed Katan 4a:19,"R. Jirmeja erwiderte: Einstweilen tropft es noch. Abajje sagte: Dies nur, solange die erste Quelle nicht versiegt ist.
"
Moed Katan 4a:20,"Es wird gelehrt: R. Šimo͑n b. Menasja sagte: Wenn von zwei Beeten das eine höher und das andere tiefer liegt, so darf man nicht vom unteren schöpfen und das obere bewässern. Noch mehr verschärfte es R. Elea͑zar b. Šimo͑n: Selbst wenn von einem Beete die eine Hälfte tiefer und die andere höher ist, darf man nicht aus der tieferen Stelle schöpfen und die höhere Stelle bewässern.
"
Moed Katan 4a:21,"Die Rabbanan lehrten: Man darf für Kräuter schöpfenNach dem Wortlaute, Wasser zur Bewässerung desselben.,um sie zu essen, nicht aber, damit sie besser wachsen. 
"
Moed Katan 4a:22,"Rabina und Rabba Tospaáh gingen am Halbfeste auf einem Wege und sahen einen Mann Eimer Wasser schöpfen. Da sprach Rabba Tospaáh zu Rabina: Möge der Meister ihn in den Bann tun. Dieser erwiderte: Es wird gelehrt, man dürfe Wasser für Kräuter schöpfen, um sie zu essen. Jener entgegnete: Du glaubst wohl, ‘schöpfen’ heiße ‘Wasser schöpfen’, 
"
Moed Katan 4b:1,"‘schöpfen’ heißt ‘herausziehen’Von Gewächsen (jäten) od. Beeren (ausbeeren); einer leitet das W. <span dir=""rtl"">מדליו</span> von <span dir=""rtl"">דלה</span> <i>heraufziehen, schöpfenwie gelehrt wird: Wenn jemand Weinreben ausbeert, so beere er auch die der ArmenCf. Lev. 19,9; 23,22.aus, wie er seine ausbeert – so R. Jehuda; R. Meír sagt, wohl dürfe er dies bei seinen, nicht aber bei denen der Armen. 
"
Moed Katan 4b:2,"Dieser erwiderte: Es wird ja aber gelehrt, man dürfe Wasser für Kräuter schöpfen, um sie zu essen!? Jener entgegnete: Ist dies gelehrt worden, so ist es gelehrt worden.
"
Moed Katan 4b:3,"M<small>AN DARF KEINE</small> K<small>REISFURCHEN UM DIE</small> W<small>EINSTÖCKE MACHEN</small>. Was sind U͑gjoth? R. Jehuda erwiderte: Kreisfurchen. Ebenso wird auch gelehrt: U͑gjoth sind die Furchen um die Wurzeln der Olivenbäume und Weinstöcke. –
"
Moed Katan 4b:4,"Dem ist ja aber nicht so, R. Jehuda erlaubte ja den Leuten von BarçitaIn den kursierenden Ausgaben Bar Çitaj (Name einer bekannten Familie, cf. Jab. 21b), viell. aber Ortsname.Furchen auf ihren Weinbergen zu machen!? – Das ist kein Einwand, dies bei neuen, jenes bei alten.
"
