Index Title,Sukkah
Sukkah 2a:12,"Raba entnimmt dies hieraus:Lev. 23,42.<i>Sieben Tage sollt ihr in Hütten wohnen</i> ; die Tora sagt damit, daß man die ganzen sieben Tage seine permanente Wohnung verlasse und in einer provisorischen Wohnung wohne. Bis zwanzig Ellen errichtet man eine provisorische Wohnung, höher als zwanzig Ellen errichtet man keine provisorische Wohnung mehr, sondern nur eine permanente. 
"
Sukkah 2a:13,"Abajje sprach zu ihm: Demnach ist, wenn jemand Wände aus Eisen errichtet und über diese Hüttenbedachung legt, diese ebenfalls keine Festhütte!? 
"
Sukkah 2a:14,"Dieser erwiderte: Ich meine es wie folgt: bis zu zwanzig Ellen errichtet man auch eine provisorische Wohnung, somit genügt man seiner Pflicht, wenn man eine permanente errichtet hat, höher als zwanzig Ellen, errichtet man [keine provisorische, sondern nur] eine permanente Wohnung, somit genügt man seiner Pflicht nicht, auch wenn man eine provisorische errichtet hat. 
"
Sukkah 2b:1,"Sie alle erklären nicht wie Rabba, denn daIm von R. angezogenen Schriftverse. bezieht sich das ‘Wissen’ auf die kommenden Geschlechter. 
"
Sukkah 2b:2,"Wie R. Zera erklären sie ebenfalls nicht, weil jener Schriftvers sich auf die messianischen Tage bezieht. – 
"
Sukkah 2b:3,"Und R. Zera!? – Demnach sollte die Schrift sagen: <i>und ein Baldachin wird da sein als Schatten tagsüber,</i> wenn es aber heißt: <i>und eine Hütte wird da sein als Schatten tagsüber,</i> so ist hieraus beides zu entnehmen. 
"
Sukkah 2b:4,"Wie Raba erklären sie ebenfalls nicht, wegen des Einwandes Abajjes.
"
Sukkah 2b:5,"Wessen Ansicht vertritt die Lehre R. Jošijas, der im Namen Rabhs lehrt, daß nämlich der Streit nur über den Fall besteht, wenn die Wände nicht bis zur Hüttenbedachung reichen, wenn aber die Wände bis zur Hüttenbedachung reichen, sie unbrauchbar sei, auch wenn sie höher als zwanzig Ellen ist? 
"
Sukkah 2b:6,"Die des Ruba, der erklärt, weil das Auge da nicht hinreicht, wenn aber die Wände bis zur Hüttenbedachung reichen, erreicht sie das Auge. – 
"
Sukkah 2b:7,"Wessen Ansicht vertritt die Lehre R. Honas, der im Namen Rabhs lehrte, daß nämlich der Streit nur über den Fall besteht, wenn [die Festhütte] nur vier zu vier Ellen hat, wenn sie aber mehr als vier zu vier Ellen hat, sei sie brauchbar, auch wenn sie höher als zwanzig Ellen ist? 
"
Sukkah 2b:8,"Die des R. Zera, der erklärt, wegen des Schattens, wenn sie aber breiter ist, wird sie von der Hütten-bedachung beschattet. – 
"
Sukkah 2b:9,"Wessen Ansicht vertritt die Lehre des R. Ḥanan b.Rabba, der im Namen Rabhs lehrte, daß nämlich der Streit nur über den Fall besteht, wenn [die Festhütte] nicht mehr als den Kopf, den größeren Teil des Körpers und den Tisch faßt, wenn sie aber mehr als den Kopf, den größeren Teil des Körpers und den Tisch faßt, sie brauchbar sei, auch wenn sie höher als zwanzig Ellen ist? Keines von ihnen. – 
"
Sukkah 2b:10,"Allerdings besteht der Streit R. Jošijas gegen R. Hona und R. Ḥanan b.Rabba in folgendem: diese normieren die Ausdehnung, jener aber normiert die Ausdehnung nicht; 
"
Sukkah 2b:11,"aber R. Hona und R. Ḥanan b. Rabba streiten wohl über die Brauchbarkeit der Festhütte: einer ist der Ansicht, die Festhütte sei mit vier Ellen brauchbar, und einer ist der Ansicht, die Festhütte sei brauchbar schon wenn sie den Kopf, den größeren Teil des Körpers und den Tisch faßt. – 
"
Sukkah 2b:12,"Nein, beide sind der Ansicht, die Festhütte sei brauchbar, wenn sie den Kopf, den größeren Teil des Körpers und den Tisch faßt, und ihr Streit besteht in folgendem: einer ist der Ansicht, sieR. Jehuda u. die Rabbanan in unserer Mišna. streiten über [eine Festhütte], die den Kopf, den größeren Teil des Körpers und den Tisch faßt, wenn aber mehr als den Kopf, den größeren Teil des Körpers und den Tisch, stimmen alle überein, daß sie brauchbar ist, 
"
Sukkah 2b:13,"und einer ist der Ansicht, sie streiten über eine, die den Kopf, den größeren Teil des Körpers und den Tisch faßt, bis zu vier Ellen, ist sie aber größer als vier Ellen, so ist sie nach aller Ansicht brauchbar. 
"
Sukkah 2b:14,"Man wandte ein: Eine Festhütte, die mehr als zwanzig Ellen hoch ist, ist unbrauchbar ; nach R. Jehuda ist sie bis vierzig und fünfzig Ellen brauchbar. 
"
Sukkah 2b:15,"R. Jehuda sprach: Die Festhütte der Königin Helena in Lud war ja höher als zwanzig Ellen, und die Ältesten gingen da ein und aus, ohne ihr etwas zu sagen. Jene erwiderten: Soll dies ein Beweis sein!? Sie war eine Frau und von der Festhütte frei. Dieser entgegnete: Sie hatte ja sieben Söhne, und ferner pflegte sie ja alles nach der Anweisung der Weisen zu tun!? – 
"
Sukkah 2b:16,"Wozu brauchte er darauf hinzuweisen, daß sie alles nach der Anweisung der Weisen zu tun pflegte!? – 
"
Sukkah 2b:17,"Er sprach zu ihnen wie folgt: wenn ihr erwidern wolltet, ihre Söhne waren minderjährig, und Minderjährige sind von der Festhütte frei, so war es ja, da sie sieben waren, nicht möglich, daß unter ihnen nicht einer war, der seiner Mutter nicht benötigte!? 
"
Sukkah 2b:18,"Und wenn ihr erwidern wolltet, ein Minderjähriger, der seiner Mutter nicht benötigt, sei nur rabbanitisch verpflichtet und sie habe das Rabbanitische nicht beachtet, so komm und höre: ferner pflegte sie ja alles nach Anweisung der Weisen zu tun!? 
"
Sukkah 2b:19,"Einleuchtend ist dies nach demjenigen, welcher sagt, sie streiten über eine Festhütte, deren Wände nicht bis zur Hüttenbedachung reichen, denn eine Königin pflegt sich in einer Hütte aufzuhalten, deren Wände nicht bis zur Hüttenbedachung reichen, 
"
Sukkah 3a:1,"wegen des Luftzuges, aber pflegt denn nach demjenigen, weleher sagt, sie streiten über eine kleine Festhütte, eine Königin sich in einer kleinen Festhütte aufzuhalten!? Rabba b.Ada erwiderte: Hier handelt es sich um eine FesthütteDie Festhütte selbst war groß., die in Kämmerchen geteilt war. – 
"
Sukkah 3a:2,"Pflegt denn eine Königin sich in einer Festhütte aufzuhalten, die in Kämmerchen geteilt ist? R. Aši erwiderte: Hier handelt es sich um eine darin befindliche Kammer. 
"
Sukkah 3a:3,"Die Rabbanan sind der Ansicht, ihre Söhne saßen in der tauglichen Festhütte, und sie in einer Kammer, aus Keuschheit, und deshalb sagten ihr [die Ältesten] nichts, R. Jehuda ist der Ansicht, auch ihre Söhne saßen bei ihr, und dennoch sagten sie ihr nichts.
"
Sukkah 3a:4,"R. Šemuél b.Jiçḥaq sagte: Die Halakha ist, sie muß den Kopf, den größeren Teil des Körpers und den Tisch fassen. R. Abba sprach zu ihm : Also nach der Schule ŠammajsNach der Schule Hilleis braucht sie den Tisch nicht zu fassen; cf. infra Fol. 23a.? 
"
Sukkah 3a:5,"Manche lesen: R. Abba sprach: Wer lehrte dich dies? Jener erwiderte: So nach der Schule Šammajs, und weiche davon nicht ab. 
"
Sukkah 3a:6,"R. Naḥman b. Jiçḥaq wandte ein : Woher, daß die Schule Šammajs und die Schule Hillels über eine kleine Festhütte streiten, vielleicht streiten sie über eine große, wenn man nämlich an der Tür der Festhütte sitzt und der Tisch sich in der Stube befindet: die Schule Šammajs berücksichtigt, man könnte sich nach dem Tische hinüberneigen, und die Schule Hillels berücksichtigt dies nicht!? 
"
Sukkah 3a:7,"Dies ist auch zu beweisen, denn er lehrt: Wenn jemand sich mit dem Kopfe und dem größeren Teile des Körpers in der Festhütte befindet, den Tisch aber in der StubeWenn die Hütte an der Wohnung angebracht ist.hat, so ist sie nach der Schule Šammajs unbrauchbar und nach der Schule Hillels brauchbar. Wenn dem so wäre, so sollte es doch heißen: wenn die Festhütte faßt, beziehungsweise nicht faßt!? – 
"
Sukkah 3a:8,"Streiten sie denn nicht über eine kleine Festhütte, es wird ja gelehrt: Faßt sie den Kopf, den größeren Teil des Körpers und den Tisch, so ist sie brauchbar; Rabbi sagt, nur wenn sie vier zu vier Ellen hat. 
"
Sukkah 3a:9,"Dagegen lehrt ein Anderes: Rabbi sagt, eine Festhütte, die keine vier zu vier Ellen hat, sei unbrauchbar ; die Weisen sagen, auch wenn sie nur den Kopf und den größeren Teil des Körpers faßt, sei sie brauchbar. Vom Tische aber lehrt er nicht; demnach widersprechen ja [die Lehren] einander!? Vielmehr ist hieraus zu entnehmen, daß die eine nach der Schule Šammajs und die andere nach der Schule Hillels lehrt. 
"
Sukkah 3a:10,"Mar Zuṭra sagte: Dies geht auch aus der Mišna hervor, denn er lehrt: so ist sie nach der Schule Šammajs unbrauchbar und nach der Schule Hillels brauchbar: wenn dem soDaß es sich um eine kleine Festhütte han-delt, die tatsächlich nicht mehr faßt.wäre, so sollte es ja heißen: so hat man nach der Schule Šammajs seiner Pflicht nicht genügt und nach der Schule Hillels seiner Pflicht genügt. – 
"
Sukkah 3a:11,"Wieso heißt es nun demnach: wenn jemand sich befindet? – 
"
Sukkah 3a:12,"Tatsächlich streiten sie über beides, sie streiten über eine kleine Festhütte, und sie streiten über eine große Festhütte, nur ist [die Lehre] lückenhaft und muß wie folgt lauten: Wenn jemand sich mit dem Kopfe und dem größeren Teile des Körpers in der Festhütte befindet, den Tisch aber in der Wohnung hat, so hat er, wie die Schule Šammajs sagt, seiner Pflicht nicht genügt, und wie die Schule Hillels sagt, seiner Pflicht genügt; die nicht mehr als den Kopf und den größeren Teil des Körpers faßt, ist nach der Schule Šammajs unbrauchbar und nach der Schule Hillels brauchbar. – 
"
Sukkah 3a:13,"Wer lehrte folgende Lehre der Rabbanan : Ein Haus, das keine vier zu vier Ellen hat, ist von der Mezuza und vom GeländerAn einem flachen Dache; cf. Dt. 22,8.frei, es ist nicht durch AussatzLev. 14,34ff.verunreinigungsfähig, es verfällt nichtDem Käufer; cf. Lev. 25,29.als Haus einer ummauerten Stadt, 
"
Sukkah 3a:14,"man kehrt wegen eines solchen nicht vom KriegsschauplatzeCf. Dt. 20.5.heim, es beteiligt sich nicht am E͑rubWenn mehrere Häuser einen gemeinsamen Hof haben, so ist es am Šabbath verboten, Gegenstände aus den Wohnungen nach dem Hofe od. umgekehrt zu tragen, da der Hof als anderes Gebiet gilt; die Nachbarn können sich jedoch fiktiv vereinigen, indem sie am Freitag zu einer Speise gemeinschaftlich beitragen, die in einem der zum Hofe gehörenden Häuser niedergelegt wird. Diese Speise heißt E͑rub (Vermischung, Verschmelzung, Vereinigung) vollst, <span dir=""rtl"">ערוב חצרות</span>, Hof-E͑rub.und an der VerbindungMehrere Höfe an einer Durchgangsgasse müssen sich eben-falls durch einen E͑. fiktiv verbinden., man legt da den E͑rub nicht nieder,
"
Sukkah 3b:1,"es kann nicht zur Vereinigung zwischen zwei OrtschaftenHinsichtlich des Šabbathgebietes ; cf. Er. Fol. 57a.dienen, und es ist zwischen Brüdern und Gesellschaftern nicht zu teilen. 
"
Sukkah 3b:2,"Es ist also Rabbi und nicht die Rabbanan? – Du kannst auch sagen, daß es die Rabbanan sind, denn die Rabbanan sagen dies nur von der Festhütte, die ja nur provisorisch zur Wohnung dient, bei einem Hause aber, das zur permanenten Wohnung dient, pflichten sie bei, daß es, wenn es vier Ellen zu vier Ellen hat, von Menschen bewohnt wird, wenn aber nicht, von Menschen nicht bewohnt wird.
"
Sukkah 3b:3,"Der Meister sagte: Ist von der Mezuza und vom Geländer frei, es ist durch Aussatz nicht verunreinigungsfähig, es verfällt nicht als Haus einer ummauerten Stadt, man kehrt wegen eines solchen nicht vom Kriegsschauplatze heim. Aus welchem Grunde? – In all diesen Fällen heißt es Haus. – 
"
Sukkah 3b:4,"«Es beteiligt sich nicht am E͑rub und an der Verbindung, man legt da den E͑rub nicht nieder.» Aus welchem Grunde? – Weil es zur Wohnung nicht geeignet ist. – Nur den E͑rub zur Vereinigung des Hofes lege man da nicht nieder, wohl aber zur Verbindung für die Durchgangsgasse; 
"
Sukkah 3b:5,"aus welchem Grunde? – Weil es nicht weniger ist als ein Hof in der Durchgangsgasse. Wir haben nämlich gelernt: Der E͑rub zur Vereinigung des Hofes wird im Hofe und zur Verbindung der Durchgangsgasse wird in der Durchgangsgasse [niedergelegt]. 
"
Sukkah 3b:6,"Dagegen wandten wir ein: Wieso der Hof-E͑rub im Hofe, wir haben ja gelernt, daß, wenn man den E͑rub in einem Torhäuschen, einer Veranda oder einer Galerie niederlegt, er kein E͑rub sei, und wer da wohnt, [den Hof] nicht verbotenDen übrigen Anwohnern des Hofes für den Verkehr am Šabbath; cf. Er. Fol. 85bff.mache!? 
"
Sukkah 3b:7,"Vielmehr lese man : der E͑rub zur Vereinigung des Hofes in einem Hause des Hofes, und zur Verbindung für die Durchgangsgasse in einem Hofe der Durchgangsgasse. Und dieses ist nicht weniger als ein Hof in der Durchgangsgasse. – 
"
Sukkah 3b:8,"«Es kann nicht zur Vereinigung zwischen zwei Ortschaften dienen.» Es ist nicht einmal mit einer Wächterhütte zu vergleichen. Aus welchem Grunde? – Die Wächterhütte ist für ihren Zweck brauchbar, dieses aber ist für seinen Zweck nicht brauchbar. – 
"
Sukkah 3b:9,"«Es ist zwischen Brüdern und Gesellschaftern nicht zu teilen.» Nur wenn es keine vier Ellen hat, wenn es aber vier Ellen hat, ist es zu teilen, 
"
Sukkah 3b:10,"während wir doch gelernt haben, man teile einen Hof nur dann, wenn vier Ellen für den einen und vier Ellen für den anderen zurückbleiben!? – 
"
Sukkah 3b:11,"Sage vielmehr: bei diesem gilt nicht das Gesetz der Teilung des Hofes. R. Hona sagte nämlich: Der Hof ist nach den TürenWenn beispielsweise bei der Teilung der eine 2 kleine Häuser u. der andere ein großes erhält, so erhält der erste auch ⅔ vom gemeinsamen Hofe. zu teilen, und R. Ḥisda sagte, jede Tür erhalte vier Ellen [vom Hofe], und der Rest sei gleichmäßig zu teilen. 
"
Sukkah 3b:12,"Nur ein Haus, das bestehen bleibt, erhält einen Teil am Hofe, ein solches aber, das zum Niederreißen bestimmt ist, erhält keinen Teil am Hofe.
"
Sukkah 3b:13,"Wenn sie höher als zwanzig Ellen ist und man sie durch Kissen und PolsterDie man auf den Fußboden legt.verringert, so ist dies keine Verringerung, 
"
Sukkah 4a:1,"auch wenn man sieFür die Dauer des Hüttenfestes. aufgibt, da sein Beschluß gegenüber dem aller anderen MenschenEs sind Wertgegenstände, die kein Mensch aufgibt.bedeutungslos ist. 
"
Sukkah 4a:2,"Wenn Stroh und man es aufgibt, so ist dies eine Verringerung, und um so mehr, wenn Erde und man sie aufgibt. 
"
Sukkah 4a:3,"Wenn Stroh, das man später nichtFür die Dauer des Hüttenfestes.fortnimmt, oder Erde ohne Beschlußfassung, so besteht hierüber ein Streit zwischen R. Jose und den Rabbanan, denn wir haben gelernt: Wenn man ein Haus mit Stroh oder Geröll gefüllt und es aufgegeben hat, so gilt es als nicht vorhanden. 
"
Sukkah 4a:4,"Nur wenn man es aufgibt, nicht aber, wenn man es nicht aufgibt. Hierzu wird gelehrt: R. Jose sagt: Stroh, das man später nicht fortnimmt, gleicht Erde ohne Beschlußfassung und es giltWenn ein Leichnam sich darin befindet; cf. Ah. XV, 6,7.als nicht vorhanden, Erde, die man später fortnimmt, gleicht Stroh ohne Beschlußfassung, und es gilt nicht als nicht vorhanden.
"
Sukkah 4a:5,"Wenn sie höher als zwanzig Ellen ist und Gesträuch [von der Hüttenbedachung] innerhalb der zwanzig Ellen herabhängt, so ist sie, wenn es mehr Schatten als Sonne gewährt, brauchbar, wenn aber nicht, unbrauchbar. 
"
Sukkah 4a:6,"Von einer, die zehn HandbreitenMindesthöhe für die Festhütte.hoch ist, aber Gesträuch [von der Hüttenbedachung] innerhalb der zehn Handbreiten herabhängt. wollte Abajje sagen, sie sei, wenn es mehr Sonne als Schatten gewährt, brauchbarWörtl. gerettet, sc. die Tauglichkeit derselben; die Zacken, die als Hüttenbedachung untauglich sind, gelten als nicht vorhanden., 
"
Sukkah 4a:7,"da sprach Raba zu ihm: Eine solche ist ja eine stinkige Wohnung, und kein Mensch wohnt in einer stinkigen Wohnung.
"
Sukkah 4a:8,"Wenn sie höher als zwanzig Ellen ist und man darin ein Podium längs der MittelwandDer dem Eingange gegenüberliegenden Wand.errichtet, das die für die Festhütte erforderliche Größe hat, so ist sie brauchbar; 
"
Sukkah 4a:9,"wenn aber längs einer Seiten wand, so ist sie, falls vom Rande des Podiums bis zur [gegenüberliegenden] Wand vier Ellen vorhandenDie Wand gilt, da sie höher als 20 Ellen ist, als nicht vorhanden, u. die zweiwändige Festhütte ist unbrauchbar.sind, unbrauchbar, wenn aber weniger, brauchbar. – 
"
Sukkah 4a:10,"Er lehrt uns damit, daß wir die Wand als schiefDie Hüttenbedachung ist breiter als das den brauchbaren Teil der Festhütte bildende Podium, somit muß die unten abstehende Wand als schräg gedacht werden.betrachten, und dies haben wir ja bereits gelernt: Wenn [das Dach eines] Hauses durchbrochen ist und man oben Hüttenbedachung legt, so ist es, wenn von der Wand bis zur Hüttenbedachung vier Ellen vorhanden sind, [als Festhütte] unbrauchbar. Wenn weniger, ist es demnach brauchbar!? – 
"
Sukkah 4a:11,"Man könnte glauben, nur da, wo die Wand an sich brauchbarNicht höher als 20 Ellen.ist, nicht aber hierbei, wo die Wand unbrauchbar ist, so lehrt er uns.
"
Sukkah 4a:12,"Wenn sie höher als zwanzig Ellen ist und man ein Podium in der Mitte errichtet, so ist sie, wenn an jeder Seite vom Rande des Podiums bis zur Wand vier Ellen vorhanden sind, brauchbar, wenn aber weniger als vier Ellen, unbrauchbar. – 
"
Sukkah 4a:13,"Er lehrt uns damit, daß wir die Wand als schief betrachten, und dies ist ja dasselbe!? – 
"
Sukkah 4a:14,"Man könnte glauben, wir sagen zwar, die schiefe Wand sei an einer Seite zulässig, nicht aber an jeder Seite, so lehrt er uns.
"
Sukkah 4a:15,"Wenn sie niedriger als zehn Handbreiten ist und man darin eine auf zehn Handbreiten ergänzende Vertiefung macht, so ist sie, wenn vom Rande der Vertiefung bis zur Wand drei Handbreiten vorhanden sind, unbrauchbar, 
"
Sukkah 4b:1,"wenn aber weniger als drei Handbreiten, brauchbar. – 
"
Sukkah 4b:2,"Womit ist es daBei der Verringerung der Höhe.anders, daß du da weniger als vier Ellen, hierbei aber weniger als drei Handbreiten sagst!? – 
"
Sukkah 4b:3,"Da, wo eine Wand vorhanden ist, ist [ein Abstand] weniger als vier Ellen zulässig, hierbei aber, wo die Wand erst werden soll, gilt sie als solche bei [einem Abstand] unter drei Handbreiten, sonst aber nicht.
"
Sukkah 4b:4,"Über den Fall, wenn sie höher als zwanzig Ellen ist und man darin eine zehn Handbreiten hohe Säule errichtet, die den für die Festhütte erforderlichen Umfang hat, wollte Abajje sagen, man dehne die WändeDa die Säule den für die Festhütte erforderlichen Flächenraum hat, so denke man sich die Seitenflächen derselben als Wände, die fiktiv bis zur Hüttenbedachung reichen.nach oben, 
"
Sukkah 4b:5,"da sprach Raba zu ihm: Es sind erkennbare Wände erforderlich, die nicht vorhanden sind.
"
Sukkah 4b:6,"Die Rabbanan lehrten: Wenn man vier StangenAuf einem flachen Dache.aufstellt und darüber Hüttenbedachung legt, so ist es [als Festhütte] nach R. Ja͑qob brauchbar und nach den Weisen unbrauchbar. 
"
Sukkah 4b:7,"R. Hona sagte: Der Streit besteht nur, wenn am Rande des Daches, denn R. Ja͑qob ist der Ansicht, wir sagen, man dehne die WändeDes Hauses. Die 4 Stangen an den 4 Enden des Daches markieren die Festhütte, u. die Wände des Hauses werden fiktiv nach oben gedehnt, sodaß sie zugleich als solche für die Festhütte dienen.nach oben, und die Rabbanan sind der Ansicht, wir sagen nicht, man dehne die Wände nach oben; wenn aber in der Mitte des Daches, stimmen alle überein, daß es unbrauchbar sei. R. Naḥman sagte : Der Streit besteht, wenn in der MitteNach der einen Ansicht gelten die Stangen, wenn sie nach jeder Seite eine Handbreite breit sind, als Wände.des Daches. 
"
Sukkah 4b:8,"Sie fragten: Besteht der Streit nur über den Fall, wenn in der Mitte des Daches, wenn aber am Rande des Daches, stimmen alle überein, daß es brauchbar ist, oder besteht der Streit über diesen und jenen Fall? – Die Frage bleibt unentschieden. 
"
Sukkah 4b:9,"Man wandte ein: Wenn man vier Stangen in die Erde steckt und darüber Hüttenbedachung legt, so ist es nach R. Ja͑qob [als Festhütte] brauchbar und nach den Weisen unbrauchbar. 
"
Sukkah 4b:10,"In der Erde ist es ja ebenso, wie in der MitteDa in diesem Falle keine Wände vorhanden sind, die fiktiv nach oben zu dehnen sind.des Daches, dennoch ist es nach R. Ja͑qob brauchbar!? Dies ist eine Widerlegung R. Honas. Eine Widerlegung. 
"
Sukkah 4b:11,"Ferner streiten sie ja, wenn in der Mitte, wenn aber am Rande des Daches, stimmen alle überein, daß es brauchbar ist, somit ist dies eine Widerlegung R. Honas in beidem!? – 
"
Sukkah 4b:12,"R. Hona kann dir erwidern: sie streiten über den Fall, wenn in der Mitte des Daches, und dies gilt auch von dem Falle, wenn am Rande des Daches, und nur deshalb streiten sie über den Fall, wenn in der Mitte des Daches, um dir die weitergehende Ansicht R. Ja͑qobs hervorzuheben, daß es nämlich brauchbar ist, auch wenn man sie in der Mitte des Daches aufstellt.
"
Sukkah 4b:13,"Die Rabbanan lehrten: Wenn man vier Stangen in die Erde steckt und darüber Hüttenbedachung legt, so werden sie, wie R. Ja͑qob sagt, falls sie gehöhlt und gekantetWenn die runden Stangen so dick sind, daß, wenn man sie viereckig hobelt und aushöhlt, ein Winkel von der angegebenen Breite zurückbleibt.eine Handbreite nach der einen Seite und eine Handbreite nach der anderen Seite haben, als DoppelpfeilerDh. im Winkel aneinander gesetzt, sodaß jede Seite eine handbreite Wand hat. betrachtet, wenn aber nicht, nicht als Doppelpfeiler betrachtet. R.Ja͑qob sagt nämlich, für die Festhütte genügen Doppelpfeiler von je einer Handbreite; die Weisen aber sagen, zwei [Wände] müssen vorschriftsmäßig sein und für die dritte genügt eine Handbreite.
"
Sukkah 4b:14,"E<small>INE, DIE KEINE ZEHN</small> H<small>ANDBREITEN HOCH IST</small>. Woher dies? – 
"
Sukkah 4b:15,"Es wurde gelehrt : Rabh, R. Ḥanina, R. Joḥanan und R. Ḥabiba – 
"
Sukkah 4b:16,"manche setzen in der ganzen Sektion von den Feiertagen, überall, wo diese Gelehrtengesellschaft vorkommt, R. Jonathan statt R. Joḥanan – lehrten: 
"
Sukkah 4b:17,"Die Bundeslade hatte neun [Handbreiten] und der Sühnedeckel eine Handbreite, zusammen zehn, und es heißt :Ex. 25,22.<i>dort werde ich mich dir offenbaren und mit dir reden vom Sühnedeckel aus</i>. 
"
Sukkah 5a:1,"Ferner wird auch gelehrt: R.Jose sagte: Nie ist die Göttlichkeit unten herabgekommen, und nie sind Moše und Elijahu in die Höhe gestiegen, denn es heißt:Ps. 115,16.<i>der Himmel ist Himmel des Herrn, und die Erde hat er den Menschenkindern gegeben</i>Demnach ist die Höhe von 10 Handbreiten die Grenze von 2 verschiedenen Gebieten.. – 
"
Sukkah 5a:2,"Ist denn die Göttlichkeit nicht unten herabgekommen, es heißt ja:Ex. 19,20.<i>der Herr stieg auf den Berg Sinaj herab</i>!? – Oberhalb zehn Handbreiten. – Es heißt ja aber:Zach. 14,4.<i>an diesem Tage werden seine Füße auf dem Olivenberge stehen</i>!? – Oberhalb zehn Handbreiten. – 
"
Sukkah 5a:3,"Sind denn Moše und Elijahu nicht in die Höhe gestiegen, es heißt ja:Ex. 19,3.<i>Moše stieg zu Gott hinauf</i> !? <i>–</i> Unterhalb zehn [Handbreiten]. – Es heißt ja <i>aber</i>:iiReg·. 2,11.<i>Elijahu stieg im Sturm in den Himmel</i>. – Unterhalb zehn [Handbreiten]. – Es heißt ja aber: Ij. 26.9.<i>er erfaßt den Anblick des Thrones, er zieht seine Wolke über ihn</i>, und R. Tanḥum sagte, dies lehre, daß der Allmächtige über ihn den Glanz seiner Göttlichkeit ausgebreitet und ihn überwölkt hatteDas W. <span dir=""rtl"">פרשז</span> wird in <span dir=""rtl"">פירש שדי זיו</span> aufgelöst.!? – Uterhalb zehn [Handbreiten]. – 
"
Sukkah 5a:4,"Es heißt ja:Ij. 26,9.<i>er erfaßt den Anblick des Thrones</i>!? – Er senkte ihm den Thron bis auf zehn [Handbreiten] herab, und er erfaßte ihn. – 
"
Sukkah 5a:5,"Allerdings war die Bundeslade neun Handbreiten [hoch], denn es heißt:Ex. 25,10.<i>sie sollen eine Lade aus Akazienholz anfertigen, zwei und eine halbe Elle lang, anderthalb Ellen breit und anderthalb Ellen</i>Die Elle hat 6 Handbreiten.<i>hoch,</i> woher aber, daß der Sühnedeckel eine Handbreite hatte? – R. Ḥanina lehrte: Die Tora hat Länge, Breite und Höhe aller von Moše gefertigten Geräte angegeben, vom Sühnedeckel aber hat sie nur Länge und Breite, nicht aber die Höhe angegeben. 
"
