Index Title,Kiddushin
Kiddushin 2b:2,"Sollte er auch dort lehren: der Mann erwirbt!? – Anfangs gebrauchte er die Ausdrucksweise der Tora, später aber gebraucht er die Ausdrucksweise der RabbananNach der Tora ist die Heirat ein zivilrechtlicher Akt, die Frau wird, wie irgend eine andere Sache, von ihrem Manne angeeignet, u. erst die Rabbanan erhoben sie zu einer religiösen Zeremonie u. änderten die Bezeichnung Nehmen [Aneignung] in die Bezeichnung Heiligung [Antrauung].. – Was bezeichnet die rabbanitische Ausdrucksweise? – Daß er sie für die ganze Welt verboten mache, wie das Geheiligte. –
"
Kiddushin 2b:3,"Sollte er hier lehren: der Mann eignet sich anIn aktiver Form, wie imfolgenden Abschnitte.!? – Da er im Schlußsatze von ihr lehren will, daß sie sich selbst erwerbe, so lehrt er auch im Anfangsatze von ihr. –
"
Kiddushin 2b:4,"Sollte er lehren: der Mann eignet sich an, und: eignet zuDer Frau ihre Selbständigkeit; in beiden Fällen der Mann als Subjekt.!? – Hierzu gehört der Tod des Ehemannes, wobei die Zueignung nicht durch ihn, sondern durch den Himmel erfolgt.
"
Kiddushin 2b:5,"Wenn du aber willst, sage ich: wenn er ‘erwirbt’ lehren würde, so könnte man glauben, auch gegen ihren Willen, daher lehrt er: wird angeeignet, nur mit ihrem Willen, nicht aber gegen ihren WillenDie Frau wird als handelnde Person genannt.. –
"
Kiddushin 2b:6,"Weshalb lehrt er šaloš, sollte er doch šelošaDie weibliche bezw. männliche Form des W.s drei.lehren!? – Weil er [das Wort] ‘derekh’ [Weg, Art] gebrauchen will, und ‘derekh’ weiblich ist, wie es heißt :Ex. 18,20.<i>du sollst ihnen die derekh [den Weg] kund tun, auf der sie wandeln sollen.</i> –
"
Kiddushin 2b:7,"Wir haben gelernt: nach sieben RichtungenAuch hierfür gebraucht der Text das W. <span dir=""rtl"">דרך</span>, Weg, Art, u. zwar männlich.untersuche man den FlußbehaftetenOb sein Ausfluß rit. verunreinigend ist; cf. Naz. Fol. 65b u. hierzu Anm. 126.; sollte er wegen des Gebrauchs des Wortes ‘derekh’ šeba͑Weibliche Form des W.s sieben. lehren !? – Wir finden, daß ‘derekh’ auch männlich gebraucht wird, denn es heißt :Dt. 28,7.<i>auf einem Wege [derekh] werden sie gegen dich ziehen, aber auf sieben Wegen vor dir fliehen.</i> – Demnach widersprechen ja die Schriftverse einander und auch die Lehren widersprechen einanderAn der einen Stelle wird das W. <span dir=""rtl"">דרך</span> männlich u. an der anderen dagegen weiblich gebraucht.!? –
"
Kiddushin 2b:8,"Die Schriftverse widersprechen einander nicht. Da wird von der Tora gesprochen, und da die Tora weiblich ist, wie es heißt:Ps. 19,8.<i>die Lehre [Tora] des Herrn ist vollkommen, sie erquickt die Seele.</i> so gebraucht er es weiblich; dort aber wird vom Kriege gesprochen, und da nur der Mann Krieg zu führen pflegt, nicht aber die Frau, so gebraucht er es männlich.
"
Kiddushin 2b:9,"Die Lehren widersprechen einander ebenfalls nicht. Hier wird von der Frau gesprochen, daher gebraucht er es weiblich, dort wird vom Manne gesprochen, denn nur ein Mann ist zu untersuchen, nicht aber eine Frau, da sie auch unverschuldetDurch irgend eine natürliche Ursache; in einem solchen Falle ist der Fluß eines Mannes nicht unrein.unrein ist, daher gebraucht er es männlich. –
"
Kiddushin 2b:10,"Er lehrt also šaloš wegen [des Wortes] ‘Arten’; aber sollte er doch [das Wort] ‘Dinge’Das W. <span dir=""rtl"">דבר</span> ist männlichen Geschlechtes.gebrauchen und šeloša lehren!? – Er will darunter auch den Beischlaf zählen, und der Beischlaf wird Art genannt, wie es heißt:Pv. 30,19,20.<i>die Art des Mannes bei einer Jungfrau, so die Art eines hurenden Weibes.</i> –
"
Kiddushin 2b:11,"Erklärlich ist dies vom Beischlafe, wie ist es aber vom Gelde und von der Urkunde zu erklären!? – Wegen des BeischlafsGebraucht er auch bei den übrigen ein weibliches Wort.. –
"
Kiddushin 2b:12,"Er lehrt dies beiden zweien wegen des einen!? – Auch durch diese erfolgt esDie ganze Antrauung erfolgt nur zum Zwecke des Beischlafs.nur wegen des Beischlafs.
"
Kiddushin 2b:13,"Wenn du aber willst, sage ich: hier ist die Ansicht R. Šimo͑ns vertreten, denn es wird gelehrt: R. Šimo͑n sagte: Die Tora sagt deshalb:Dt. 22,13.<i>wenn ein Mann eine Frau nimmt,</i> nicht aber: wenn eine Frau von einem Manne genommen wird, weil es die Art des Mannes ist, nach einer Frau zu suchen, nicht aber ist es die ArtEr gebraucht bei der Antrauung das W. Art.der Frau, nach einem Manne zu suchen. Dies ist mit dem zu vergleichen, der etwas verloren hat; wer sucht wen? Der Verlierende sucht das VerloreneDie Frau wurde aus einer Rippe des Mannes erschaffen, die ihm nun fehlt; cf. Gen. 2,21ff.. –
"
Kiddushin 2b:14,"Wir haben gelernt: nach sieben RichtungenAuch hierfür gebraucht der Text das W. <span dir=""rtl"">דרך</span>, Weg, Art, u. zwar männlich.untersuche man den Flußbehafteten; sollte er doch ‘Dinge’ lehrenDa er nach der obigen Erklärung Grund hat, den männlichen Artikel zu gebrauchen.!? – Da lehrt er uns, daß es die Art des übermäßigen Essens ist, Samenfluß zu verursachen, daß es die Art des übermäßigen Trinkens ist, Samenfluß zu verursachenAus diesem Grunde gebraucht er das W. Art.. –
"
Kiddushin 2b:15,"Wir haben gelernt: der Etrog gleichtBezüglich der Verzehntung.in drei HinsichtenAuch hierfür gebraucht der Text das W. <span dir=""rtl"">דרך</span>, Weg, Art, u. zwar männlich.dem Baume; sollte er doch ‘Dinge’ lehren!? –Weil er im Schlußsatze lehren will: und dem Kraute in einer Hinsicht. – Sollte er auch im Schlußsatze ‘Ding’ lehren!? –
"
Kiddushin 3a:1,"Da lehrt er uns, daß der Etrog in seiner Art dem Kraute gleiche; wie es die Art des Krautes ist, an jedem Wasser zu wachsen, und die Verzehntung erfolgt beim Einsammeln, ebenso ist es die Art des Etrogs an jedem Wasser zu wachsen, und die Verzehntung erfolge beim Einsammeln. –
"
Kiddushin 3a:2,"Wir haben gelernt: der KojMischling von Bock u. Hirsch; cf. Hul. Fol. 80a.gleicht in mancher HinsichtAuch hier wird im Texte das W. <span dir=""rtl"">דרך</span> gebraucht.dem Wild, in mancher Hinsicht dem Vieh, in mancher Hinsicht dem Wild und dem Vieh, und in mancher Hinsicht weder dem Wild noch dem Vieh; sollte er doch ‘Dinge’ lehren!? Ferner haben wir gelernt: dies ist eine von den HinsichtenAuch hier wird im Texte das W. <span dir=""rtl"">דרך</span> gebraucht., worin Scheidebriefe und Freilassungsbriefe einander gleichen; sollte er doch ‘Dinge’ lehren!? –
"
Kiddushin 3a:3,"Vielmehr, überall, wo eine Unterscheidung gemachtIn einer Hinsicht so u. in einer anderen Hinsicht anders, od. eine Beschränkung, wie beispielsweise in unserer Mišna, wo die Nennung der Anzahl andere Arten ausschließt.wird, lehrt er ‘derekh’, und überall, wo keine Unterscheidung gemacht wird, lehrt er ‘Dinge’. Dies ist auch zu beweisen, denn im Schlußsatze lehrt er: R. E͑lie͑zer sagt, der Etrog gleiche dem Baume in jeder BeziehungHier wird das W. <span dir=""rtl"">דבר</span><i>,. Schließe hieraus.
"
Kiddushin 3a:4,"Was schließt die Zahl im Anfangsatze aus und was schließt die Zahl im Schlußsatze aus? –
"
Kiddushin 3a:5,"Die Zahl im Anfangsatze schließt das Brautgem achWörtl. Baldachin; das Hochzeitsbett od. die Hochzeitskemnate; wenn der Vater eine Minderjährige dem Bräutigam in das Hochzeitsgemach führt, so ist sie dadurch nicht angetraut.aus. – Was schließt sie nach R. Hona aus, welcherCf. infra Fol. 5a.sagt, [durch einen Schluß] vom Leichteren auf das Schwerere sei zu entnehmen, daß durch das Brautgemach eine Aneignung erfolge!? –
"
Kiddushin 3a:6,"Dies schließt den TauschWie dies auch bei unbeweglichen Sachen in figürlicher Form (durch ein Kleidungsstück, den sog. Mantelgriff; cf. Rut. 4,7) erfolgen kann.aus. Man könnte glauhen, da aus [dem Worte] <i>nehmen,</i> das auch beim Felde E͑phrons gebraucht wird, gefolgertOb. Fol. 2a.wird, [so folgere man ferner:] wie ein Feld durch Tausch angeeignet werden kann, könne auch eine Frau durch Tausch angeeignet werden, so lehrt er uns. –
"
Kiddushin 3a:7,"Vielleicht ist dem auch so!? – Der Tausch kann auch [durch eine Sache] unter einer Peruṭa erfolgen,
"
Kiddushin 3b:1,"die Aneignung der Frau aber kann [durch] eine Sache] unter einer Peruṭa nicht erfolgen. –
"
Kiddushin 3b:2,"Was schließt die Zahl im Schlußsatze aus? – Dies schließt die Ḥaliça aus. Man könnte glauben, es sei von der Eheschwägerin [ein Schluß] vom Leichteren auf das Schwerere zu folgern: wenn die Eheschwägerin, die durch einen Scheidebrief nicht frei ausgeht, durch die Ḥaliça frei ausgeht, um wieviel mehr geht dieseDie angeheiratete Frau., die durch einen Scheidebrief frei ausgeht, durch die Ḥaliça frei aus, so lehrt er uns. –
"
Kiddushin 3b:3,"Vielleicht ist dem auch so!? – Die Schrift sagt:Dt. 24,1.<i>Brief der Trennung,</i> nur der Brief trennt sie, nicht aber etwas anderes.
"
Kiddushin 3b:4,"D<small>URCH</small> G<small>ELD.</small> Woher diesDie bereits oben angezogene Folgerung ist nur ein Zitat in der Diskussion.? Ferner wird gelehrt, dem Vater stehe das Recht auf die Antrauung seiner Tochter durch Geld, Urkunde und Beischlaf Der Antrauungsbetrag gehört ihm, er nimmt die Urkunde in Empfang u. er kann sie gegen ihren Willen zum Beischlafe ausliefern.zu; woher, daß sie durch Geld angeeignet werde und das Geld ihrem Vater gehöre?
"
Kiddushin 3b:5,"R. Jehuda erwiderte im Namen Rabhs: Die Schrift sagt:Ex 21,11.<i>so gehe sie umsonst aus, ohne Geld;</i> nur dieser HerrDiese Schriftstelle spricht von einer jüdischen Magd, die Pubertätszeichen bekommt.erhält kein Geld, wohl aber erhält es ein anderer Herr, nämlich der VaterWenn sie von ihm ausgeht, durch ihre Verheiratung.. –
"
Kiddushin 3b:6,"Vielleicht gehört es ihrDie Schrift sagt, daß kein Geld zu zahlen sei, woraus nur zu deduzieren ist, daß es bei einer Verheiratung wohl zu zahlen sei, jed. nicht an den Vater.!? – Wieso denn, der Vater nimmt ihre Antrauung in Empfang, wie es heißt:Dt. 22,16.<i>meine Tochter habe ich diesem Manne gegeben,</i> und sie sollte das Geld erhalten!? –
"
Kiddushin 3b:7,"Vielleicht gilt dies nur von einer Minderjährigen, die keine HandDarunter versteht der T. die Rechtsfähigkeit zur Entgegennahme.zur Empfangsnahme ihrer Antrauung hat, ein [erwachsenes] MädchenDas bereits Pubertätszeichen hat.aber, daß eine Hand zur Empfangsnahme ihrer Antrauung hat, kann sich selber antrauen lassen und erhält auch das Geld!? – Die Schrift sagt:Num. 30,17.<i>in ihren Mädchenjähren im Hause ihres Vaters,</i> jeder Ertrag ihrer Mädchenjähre gehört ihrem Vater. –
"
Kiddushin 3b:8,"R. Hona sagte im Namen Rabhs : Woher, daß die Händearbeit der Tochter dem Vater gehöre? Es heißt:Ex. 21,17.<i>wenn jemand seine Tochter zur Magd verkauft,</i> wie die Händearbeit der Magd dem Herrn gehört, ebenso gehört die Händearbeit der Tochter ihrem Vater. Dies ist ja zu folgern aus [dem Verse:] <i>in ihren Mädchenjähren im Hause ihres Vaters</i> !?
"
Kiddushin 3b:9,"Vielmehr ist zu erwidern, dieser Schriftvers spreche von der Aufhebung von Gelübden, ebenso ist auch hierbei zu erwidern, dieser Schriftvers spreche von der Aufhebung von Gelübden. Wolltest du sagen, man folgere es hiervonWie ihre Gelübde ihrem Vater unterstehen, ebenso gehört ihm auch der Ertrag ihrer Antrauung., so sind Zivilsachen von kanonischen Dingen nicht zu folgern.
"
Kiddushin 3b:10,"Wolltest du sagen, man folgere es von der BußzahlungFür Notzucht u. Verführung, die an den Vater zu leisten ist; cf. Ex. 22,16 u. Dt. 22,29., so sind Geldzahlungen von Bußzahlungen nicht zu folgern.
"
Kiddushin 3b:11,"Wolltest du sagen, man folgere es von [der Zahlung für] Beschämung und BemakelungDie der Notzüchter od. Verführer ebenfalls an den Vater zu leisten hat (cf. Ket. Fol. 40b); diese Zahlung ist keine Buße, sondern eine richtige Ersatzleistung für die Entwertung der Tochter., so verhält es sich bei [der Zahlung für] Beschämung und Bemakelung anders, da der Vater [den Schaden] erleidet. –
"
Kiddushin 3b:12,"Vielmehr, es ist einleuchtend, daß das ähnliche Ausgehen ausgeschlossen wirdDurch die oben angezogenen Schriftworte Ex. 21,11; beim Ausgehen der Magd erhält der Herr, aus dessen Gewalt eie kommt, kein Geld, u. dementsprechend erhält der Vater, aus dessen Gewalt die Tochter kommt, das Antrauungsgeld.. –
"
Kiddushin 4a:1,"Das eine Ausgehen gleicht ja nicht dem anderen Ausgehen:
"
Kiddushin 4a:2,"aus der Gewalt des Herrn geht sie vollständig aus, während hierbei noch die Übergabe zum BrautgemacheZur Vollziehung des Beischlafs; erst dann kommt sie vollständig aus der Gewalt des Vaters.fehlt!? – Immerhin kommt sie hinsichtlich der Auflösung von Gelübden aus seiner Gewalt, denn wir haben gelernt, Gelübde der Verlobten können nur von ihrem Vater und ihrem Manne [zusammen] aufgelöst werden. –
"
Kiddushin 4a:3,"Deutet denn [der Schriftvers:] <i>so gehe sie umsonst aus,</i> hierauf, er deutet ja auf folgende Lehre!? Es wird nämlich gelehrt: <i>So gehe sie umsonst aus,</i> im Alter der MannbarkeitDiese beginnt mit 12½ Jahren.; <i>ohne Geld,</i> im Mädchenalter.
"
Kiddushin 4a:4,"Rabina erwiderte: Die Schrift könnte ja sagen: <i>én [ohne] Geld,</i> wenn es aber <i>éjn</i>Nach dem T. stammen die W.e <span dir=""rtl"">אין</span> u. <span dir=""rtl"">מאן</span> von der Wurzel <span dir=""rtl"">אן</span>, u. das erste sollte wie das andere defektiv geschrieben werden.heißt, so besagt dies auch, daß nur dieser Herr kein Geld erhalte, wohl aber erhalte es ein anderer Herr, nämlich der Vater. –
"
Kiddushin 4a:5,"Woher, daß man so auslege? – Es wird gelehrt:Lev. 22,13.<i>Und Kinder hat sie nicht;</i>
"
Kiddushin 4a:6,"ich weiß dies nur von Kindern, woher diesDaß die verwitwete Tochter eines Priesters auch dann keine Hebe essen darf, wenn sie nur Kindeskinder hat.von Kindeskindern? Es heißt: <i>Kinder hat sie nicht,</i> nichtsDie Schreibweise <span dir=""rtl"">עיין</span> dürfte wohl eine schärfere Betonung des W. <span dir=""rtl"">אין</span> sein; eine Handschrift hat <span dir=""rtl"">עיין עליה</span>, achte, untersuche genau, ob sie nicht Nachkommen irgend welcher Art hat.hat sie. Ich weiß dies nur von makellosenHinsichtl. der Legitimität.Kindern, woher dies von bemakelten Kindern!? Es heißt: <i>und Kinder hat sie nicht,</i> nichts hat sie. –
"
Kiddushin 4a:7,"Hiervon hast du ja hinsichtlich der Kindeskinder gefolgert!? – Hinsichtlich der Kindeskinder ist kein Schriftvers nötig, da Kindeskinder als Kinder gelten; nötig ist ein Schriftvers nur hinsichtlich bemakelter Kinder. –
"
Kiddushin 4a:8,"Woher entnimmt dieser Autor selber eine solche Folgerung? – Ich will dir sagen; es heißt:Num. 22,14.<i>Bilea͑m will nicht [meén],</i> Dt. 25,7.<i>mein Schwager will nicht [meén],</i> ohne Jod, hier aber wird esDas W. <span dir=""rtl"">אין</span> vgl. Anm. 65.mit Jod geschrieben, wohl zur Auslegung.
"
Kiddushin 4a:9,"Die Schrift muß es sowohl von ihrer AntrauungDh. vom Antrauungsgeide.lehren, daß sie ihrem Vater gehöre, als auch von ihrer Händearbeit, daß sie ihrem Vater gehöre. Würde der Allbarmherzige es nur von ihrer Antrauung geschrieben haben, daß sie ihrem Vater gehöre, so könnte man glauben, weil sie dabei keine Mühe hatte, ihre Händearbeit aber, bei der sie Mühe hatte, gehöre ihr.
"
Kiddushin 4a:10,"Und würde er es nur von ihrer Händearbeit gelehrt haben, so könnte man glauben, weil sie dafür ernährt wird, ihre Antrauung aber, die ihr von anderwärtsEs ist dies ein außerordentlicher Gewinn, der nicht als Äquivalent für ihren Unterhalt gilt.zufällt, gehöre ihr. Daher ist beides nötig.
"
Kiddushin 4a:11,"Der Text. <i>So gehe sie umsonst aus,</i> im Alter der Mannbarkeit; <i>ohne Geld,</i> im Mädchenalter. Sollte der Allbarmherzige es nur vom Mädchenalter geschrieben haben und nicht vom AlterWenn sie im erstgenannten Alter aus seiner Gewalt kommt, so ist dies ja beim letztgenannten Alter erst recht der Fall.der Mannbarkeit!?
"
Kiddushin 4a:12,"Rabba erwiderte: Er lehrt das eine wegen des anderenWörtl. das eine lehrt fur das andere. Würde die Schrift nur eines gelehrt haben, so würde man gesagt haben, dies beziehe sich auf das mannbare Alter.,
"
Kiddushin 4a:13,"wie dies auch bei Beisaß und Mietling der Fall ist. Es wird gelehrt:Lev. 22,10.<i>Beisaß,</i> das ist der lebenslänglich Gekaufte,Lev. 22,10.<i>Mietling</i>, das ist der auf Jahre Gekaufte.
"
Kiddushin 4a:14,"Sollte esDaß er von der Hebe nicht essen dürfe.doch nur vom Beisaß und nicht vom Mietling gesagt werden, und ich würde gefolgert haben: wenn der lebenslänglich GekaufleDer doch entschieden zum Gesinde des Priesters gehört.davon nicht essen darf, um wieviel weniger der auf Jahre Gekaufte!?
"
Kiddushin 4a:15,"Wenn dem so wäre, würde man gesagt haben, unter <i>Beisaß</i> sei der auf Jahre Gekaufte zu verstehen, während der lebenslänglich Gekaufte davon essen dürfe; daher heißt es <i>Mietling,</i> das lehrt, daß auch der Beisaß, obgleich lebenslänglich gekauft, davon nicht essen dürfe.
"
Kiddushin 4a:16,"Abajje sprach zu ihm: Es ist ja nicht gleich; da handelt es sich um zwei verschiedene Personen, und obgleich der Allbarmherzige schreiben könnte, der angebohrte BeisaßDer zur lebenslänglichen Sklaverei verurteilt worden ist; cf. Ex. 21,6.dürfe nicht essen, so nannte er dennoch den anderen, hinsichtlich dessen dies [durch einen Schluß] vom Leichteren auf das Schwerere zu folgern wäre, denn die Schrift bemüht sich, auch das zu schreiben,
"
Kiddushin 4a:17,"was [durch einen Schluß] vom Leichteren auf das Schwerere zu folgern wäre, hierbei aber handelt es sich um dieselbe Person, und wenn sie schon im Mädchenalter frei ausgeht, wieso befindet sie sich bei ihm noch im Alter der MannbarkeitSomit sollte die Schrift es nur vom Mädchenalter geschrieben haben.!?
"
Kiddushin 4a:18,"Vielmehr, erklärte Abajje, dies ist wegen der mannbaren ZwitterhaftenVgl. S. 86 Anm. 9.nötig;
"
Kiddushin 4a:19,"man könnte glauben, durch das MädchenalterDurch Erlangung der Pubertätszeichen, die bei dieser ausbleiben.gehe sie frei aus, nicht aber durch das Alter der Mannbarkeit, so lehrt er uns.
"
Kiddushin 4a:20,"Mar, Sohn des R. Aši, wandte ein: Es ist ja [ein Schluß] vom Leichteren auf das Schwerere zu folgern: wenn die Pubertätszeichen, die sie nicht aus der Gewalt des Vaters bringen, sie aus der Gewalt ihres Herrn bringen, um wieviel mehr bringt sie das Mannbarkeitsalter, daß sie aus der Gewalt des Vaters bringt, aus der Gewalt des Herrn!?
"
Kiddushin 4a:21,"Vielmehr, erklärte Mar, Sohn des R. Aši, dies ist wegen des Verkaufes einer Zwitterhaften nötig; man könnte glauben, bei der, die Pubertätszeichen bekommt, gebe esDa ihr dadurch die Möglichkeil gegeben ist, aus der Gewalt des Herrn zu kommen.einen Verkauf, bei dieser aber, die keine Pubertätszeichen bekommt, gebe es keinen Verkauf,
"
Kiddushin 4b:1,"so heißt es: <i>sie gehe umsonst aus.</i> –
"
Kiddushin 4b:2,"Gegen Mar, den Sohn R. Ašis, welcher sagt, dies sei durch [einen Schluß] vom Leichteren auf das Schwerere zu folgern, [ist ja zu erwidern:] wir sagen ja, die Schrift bemühe sich, auch das zu schreiben, was [durch einen Schluß] vom Leichteren auf das Schwerere zu folgernSomit ist ja seine Frage hinfällig u. die Antwort überflüssig.wäre !? – Dies nur, wenn keine andere Erklärung vorhanden ist, wenn aber eine andere Erklärung vorhanden ist, erklären wir.
"
Kiddushin 4b:3,"Der Autor der folgenden Lehre entnimmt diesDie Antrauung durch Geld.aus folgendem:Dt. 24,1.<i>Wenn jemand eine Frau nimmt und ihr beiwohnt, und sie dann keine Gunst in seinen Augen findet, weil er an ihr gefunden &amp;c.</i> Unter <i>nehmen</i> ist [das Nehmen] durch Geld zu verstehen, denn so heißt es:Gen. 23,13.<i>ich gebe das Geld für das Feld, nimm es von mir.</i>
"
Kiddushin 4b:4,"Wollte man es durch einen Schluß folgern: wenn die hebräische Magd, die durch Beischlaf nicht erworben wird, durch Geld erworben wird, um wieviel mehr wird diese, die durch Beischlaf erworben wird, durch Geld erworben,
"
Kiddushin 4b:5,"so ist von der Eheschwägerin zu erwidern: sie wird durch Beischlaf erworben, nicht aber durch Geld. [Entgegnet man:] wohl die Eheschwägerin, die durch Urkunde nicht angeeignetSie wird die Frau des Eheschwagers nur durch den Beischlaf und ist von ihm entbunden nur durch die Ḥaliça; Trauung u. Scheidung gibt es bei dieser nicht.wird, während diese durch Urkunde angeeignet wird,
"
Kiddushin 4b:6,"so heißt es: <i>wenn jemand nimmt.</i> – Wozu ist der Schriftvers nötig, dies ist ja gefolgertDurch einen Schluß; der Einwand von der Eheschwägerin ist widerlegt worden.worden !? R. Aši erwiderte: Man könnte entgegnen, der Schluß sei zu widerlegen:
"
Kiddushin 4b:7,"du folgerst dies von der hebräischen Magd, aber dies gilt nur von der hebräischen Magd, die auch durch Geld frei ausgeht, während diese nicht durch Geld frei ausgeht; daher heißt es: <i>wenn jemand nimmt.</i>
"
Kiddushin 4b:8,"Und sowohl der Schriftvers :Aus dem dies oben (Fol. 3b) gefolgert wird.<i>sie gehe umsonst aus,</i> als auch der Schriftvers: <i>wenn jemand nimmt,</i> ist nötig. Würde der Allbarmherzige nur geschrieben haben: <i>wenn jemand nimmt,</i> so könnte man glauben, das Antrauungsgeld, das der Ehemann ihr gibt, gehöre ihr, daher schrieb der Allbarmherzige: sie <i>gehe umsonst aus.</i>
"
Kiddushin 4b:9,"Und würde der Allbarmherzige nur geschrieben haben: <i>sie gehe umsonst aus,</i> so könnte man glauben, wenn sie [das Geld] ihm gegeben und sich ihm angetraut hat, sei die Antrauung gültig. Daher sind beide nötig.
"
Kiddushin 4b:10,"<i>Und ihr beiwohnt,</i> dies lehrt, daß sie durch den Beischlaf angeeignet wird. Wollte man es durch einen Schluß folgern: wenn die Eheschwägerin, die durch Geld nicht angeeignet wird, durch Beischlaf angeeignet wird, um wieviel mehr wird diese, die durch Geld angeeignet wird, durch Beischlaf angeeignet,
"
Kiddushin 4b:11,"so ist von der hebräischen Magd zu erwidern: diese wird durch Geld angeeignet, aber nicht durch Beischlaf. [Entgegnet man:] wohl die hebräische Magd, bei der die Aneignung nicht zur Ehelichung erfolgt, während bei dieser die Aneignung zur Ehelichung erfolgt, so heißt es: <i>und ihr beiwohnt.</i> –
"
Kiddushin 4b:12,"Wozu ist der Schriftvers nötig, dies ist ja gefolgertCf. Anm. 89 mut. mut.worden !? R. Aši erwiderte: Man könnte entgegnen, der Schluß sei zu widerlegen: du folgerst dies von der Eheschwägerin,
"
Kiddushin 4b:13,"aber dies gilt nur von der Eheschwägerin, die mit ihm bereits verbundenDie Antrauung mit dem ersten Manne wird auf den Schwager übertragen.ist, während diese mit ihm nicht verbunden ist; daher heißt es: <i>und er ihr beiwohnt.</i>
"
Kiddushin 5a:1,"Woher, daß dies auch durch Urkunde erfolgen kann? Wollte man es durch einen Schluß folgern : wenn das Geld, das nicht hinausbringtDurch das keine Scheidung erfolgt., hereinbringt, um wieviel mehr bringt die Urkunde, die hinausbringt, auch herein, so ist zu erwidern:
"
Kiddushin 5a:2,"wohl gilt dies vom Gelde, durch das man Geheiligtes und den zweiten ZehntenCf. Dt. 14,22ff.auslösen kann, während man durch Urkunde Geheiligtes und den zweiten Zehnten nicht auslösen kann, denn es heißt :Lev. 27,19, jed. in anderem Wortlaute.<i>er gebe das Geld und soll es erstehen,</i>
"
Kiddushin 5a:3,"daher sagt die Schrift :Dt. 24,2.<i>sie gehe fort und sei,</i> das Sein gleicht dem GehenDh. die Heirat der Scheidung; Vgl. S. 454 Anm. 54., wie das Gehen durch Urkunde erfolgt, ebenso erfolgt das Sein durch Urkunde. – Sollte auch das Gehen dem Sein gleichen, wie das Sein durch Geld erfolgt, ebenso auch das Gehen durch Geld?
"
Kiddushin 5a:4,"Abajje erwiderte: Man würde sagen, das Geld bringe herein und das Geld bringe hinaus; sollte der Verteidiger Ankläger werden!? – Demnach kann man ja auch von der Urkunde sagen, die Urkunde bringe hinaus und die Urkunde bringe herein; sollte der Ankläger Verteidiger werden!? –
"
