"Moreh Nevukhim, Part 1, Additions Et Rectifications.1",_____
"Moreh Nevukhim, Part 1, Additions Et Rectifications.12","Page 96, lignes 11-13: « Ce sont là aussi des sujets très obscurs, dont l'intelligence ne fait pas partie des bases de la foi. » C'est-à-dire: les principes fondamentaux de la religion sont en dehors de ces questions et ne nous imposent pas le devoir de comprendre les détails des allégories."
"Moreh Nevukhim, Part 1, Additions Et Rectifications.13","Page 107, note. Sur les mots <img src=""images/Art_P450.jpg"" alt=""art""/>, employés dans le passage d'Ibn-Roschd, voy. pag. 195, note 2."
"Moreh Nevukhim, Part 1, Additions Et Rectifications.14","Page 220, ligne 20. Au mot <i>inondations</i>, il faut substituer <i>croulements du sol</i>. Voy. pag. 369, note 1."
"Moreh Nevukhim, Part 1, Additions Et Rectifications.15","Page 328, note 4. Selon Moïse de Narbonne et Schem-Tob, les mots <i>l'âme séparée n'est qu'une seule chose</i> renfermeraient une allusion à la doctrine de <i>l'unité des âmes</i>. Voy. pag. 434, note 4."
"Moreh Nevukhim, Part 1, Additions Et Rectifications.16","Page 391, note 1. Sur l'hypothèse relative à l'<i>accident de la destruction</i>, cf. Ahron ben-Élie, <i>Arbre de la vie</i>, à la fin du chapitre XI (pag. 32)."
"Moreh Nevukhim, Part 1, Additions Et Rectifications.17","Page 459, note 4. L'un des manuscrits d'Oxford (Catal. d'Uri, n° 359), écrit l'an 1586 de l'ère des Contrats ou de Séleucides (1275), porte en marge l'addition suivante, désignée comme <i>variante</i> (<span dir=""rtl"">נ""א</span>) tirée d'un autre manuscrit: <span dir=""rtl""><img src=""images/Art_P451.jpg"" alt=""art""/> עליהם ולםת אזעם אנני וחדי מן דון גירי תגׄרדת ללרד עליהם בל קבלי איצׄא מתׄל רבנו האיי ואהרן בן םרגׄאדו ואבן גׄנאח ואבן אלעאקולי ובן חפני הבהן ור׳ דוםא וואלדה רבנו םעדיה גאון זכרם כלם לברבה פאבתדי אנא איצׄא בעזרת שדי וארד עליהם פי אלגׄז אלתׄאני אלדׄי אול פצל מנה אלמקדמאת וג׳</span> « Et je les réfuterai. Je ne prétends pas cependant être le seul qui se soit appliqué à les réfuter; au contraire, d'autres l'ont fait avant moi, tels que notre maître Hâya, Ahron ben-Serdjâdo, Ibn-Djanâ'h, Ibn-al-'Akouli, Ben-'Hofni ha-Cohen, Rabbi Dôsa et son père Rabbi Saadia Gaôn [bénie soit leur mémoire à tous!]. Et moi aussi, avec l'aide du Tout-Puissant, je me mettrai à les réfuter dans la <i>seconde partie</i>, dont le I<sup>er</sup> chapitre commence par ces mots: <i>les propositions etc</i>. » — Les auteurs mentionnés dans cette note sont tous bien connus, à l'exception d'Ibn-al-'Akouli et d'Ahron ben-Serdjâdo. Quant à ce dernier, il est très vraisemblable, comme l'a montré M. Zunz, que c'était un contemporain de Saadia et le même que le riche négociant <span dir=""rtl"">אהרן הכהן בן םרגמרה</span> mentionnait dans le <i>Sépher ha-Kabbalâ</i> (édit. d'Amsterdam, fol. 40 <i>b</i>). <span dir=""rtl"">םרגמרה</span> est sans doute une corruption de <span dir=""rtl"">םרגׄאדו</span>. Voy. Geiger, <i>Wissenschaftliche Zeitschrift für jüdische Theologie</i>, t. IV, pag. 389 et 390."
"Moreh Nevukhim, Part 1, Première Partie.1",<small>DU</small>
"Moreh Nevukhim, Part 1, Première Partie.2",GUIDE DES ÉGARÉS.
"Moreh Nevukhim, Part 1, Première Partie.3","INTRODUCTION <sup>(1)</sup><i class=""footnote"">(1) Le morceau qui suit ne porte pas d'inscription particulière dans les manuscrits; l'auteur, dans une lettre à son disciple, le désigne par le mot <img src=""images/Art_P14.jpg"" alt=""art""/>, <i>introduction, prolégomènes</i>. Voy. ma Notice sur Joseph ben lehouda (<i>Journal asiatique</i>, juillet 1842, p. 23 et 26).</i>"
"Moreh Nevukhim, Part 1, Première Partie.4","Ma pensée va vous guider dans le chemin du vrai, et en aplanir la voie."
"Moreh Nevukhim, Part 1, Première Partie.5","Venez, marchez le long de son sentier, ô vous tous qui errez dans le champ de la religion!"
"Moreh Nevukhim, Part 1, Première Partie.6",L'impur et l'ignorant n'y passeront point; on l'appellera le chemin sacré.
"Moreh Nevukhim, Part 1, Première Partie.7",<b>AU NOM DE L'ÉTERNEL</b>
"Moreh Nevukhim, Part 1, Première Partie.8","DIEU DE L'UNIVERS <sup>(2)</sup><i class=""footnote"">(2) Nous avons traduit ici les mots <span dir=""rtl"">אל עולם</span> dans le sens que Maïmonide lui-même leur prête dans plusieurs endroits, et notamment dans le chap. 29 de la troisième partie du <i>Guide</i>, quoique dans le passage biblique (Genèse, XXI, 33) ces mots signifient <i>le Dieu éternel</i>.</i>"
"Moreh Nevukhim, Part 1, Première Partie.9","Lorsque <sup>(3)</sup><i class=""footnote"">(3) Le verbe <span dir=""rtl"">כנת</span> <img src=""images/Art_P15.jpg"" alt=""art""/> qui commence la phrase se rapporte aux mots <span dir=""rtl"">עטׄם שאנך</span>, qu'il sert à mettre au plus-que-parfait.</i>, mon cher disciple Rabbi Joseph <sup>(4)</sup><i class=""footnote"">(4) Voy. ma Notice précitée sur Joseph ben Iehouda. Nous reviendrons sur ce disciple de Maïmonide dans l'introduction générale de cet ouvrage.—Les lettres <span dir=""rtl"">ש""צ</span>, qui suivent le nom de Joseph, sont l'abréviation de <span dir=""rtl"">שְׁמָרָהוּ צוּרוֹ</span>, le prétérit hébreu étant employé, à la manière arabe, dans le sens de l'optatif.</i>, fils de R. lehouda [qu'il repose dans le paradis!], tu te présentas chez moi, étant venu d'un pays lointain <sup>(5)</sup><i class=""footnote"">(5) Littéralement: <i>des extrémités des pays</i>. Joseph était venu de Sabta ou Seuta, située dans le nord-ouest de l'Afrique, que les Arabes appelaient <i>Al-Maghreb al-Akça</i> ou l'extrême Occident. Voy. la susdite Notice, pages 6 et 14.</i> pour suivre mes leçons, tu étais déjà très haut placé dans mon estime à cause de ta grande passion pour l'étude, et parce que j'avais reconnu dans tes poésies un amour très prononcé pour les choses spéculatives, et cela depuis que tes opuscules et tes <i>Makâmât</i> <sup>(1)</sup><i class=""footnote"">(1) Les <i>Makâmât</i> chez les Arabes sont des nouvelles ou récits écrits en prose rimée mêlée de vers; on connaît les célèbres <i>Makâmât</i> ou <i>Séances</i> de'Harizi. Ce genre de compositions fut imité en hébreu, par les juifs, dès la première moitié du XII<sup>e</sup> siècle, et on leur donnait le nom de <span dir=""rtl"">מחברות</span>; c'est en effet ce mot que R. Iehouda al-'Harizi emploie ici dans sa traduction, et qui rend beaucoup mieux le sens du mot arabe que le mot <span dir=""rtl"">חרוזיך</span>, employé par Ibn-Tibbon. Al-'Harizi, dans son recueil de Makâmât connu sous le titre de <i>Ta'hkemôni</i> (<span dir=""rtl"">תחכמוני</span>), cite luimême de notre Joseph une <i>Makâma</i> qui était devenue célèbre. Voy. ma Notice précitée, p. 48 et suiv.</i> me furent parvenus d'Alexandrie, et avant que je pusse (par moi-même) éprouver ta conception. Je me disais (d'abord): Peut-être son désir est-il plus fort que sa compréhension; mais quand tu eus fait, sous ma direction, tes études de l'astronomie et des sciences mathématiques que tu avais abordées auparavant et qui doivent nécessairement lui servir de préparation, je ressentis à ton égard une joie bien plus grande à cause de l'excellence de ton esprit et de la promptitude de ta conception; et, voyant que tu avais un grand amour pour les mathématiques, je te laissais libre de t'y exercer, sachant quel devait être ton avenir <sup>(2)</sup><i class=""footnote"">(2) Plusieurs manuscrits portent <span dir=""rtl"">במאלך</span>, d'autres <span dir=""rtl"">במא לך</span>, et d'autres encore <span dir=""rtl"">כמאלך</span>; c'est cette dernière leçon que paraît exprimer la traduction d'Al-'Harizi, qui porte <span dir=""rtl"">שכלך השלם</span>. Il faut lire sans doute <img src=""images/Art_P16.jpg"" alt=""art""/> (de <img src=""images/Art_P17.jpg"" alt=""art""/>), ce qu'Ibn-Tibbon a bien rendu par <span dir=""rtl"">אחריתך</span>. Je ne sais où Hyde a pris la leçon de <span dir=""rtl"">עקלך</span>, qu'il prétend changer en <span dir=""rtl"">עקבך</span>. (Voy. le <i>Syntagma dissertationum</i> de Hyde, publié par Sharpe, t. I, p. 436.) Cette leçon ne se trouve dans aucun des manuscrits d'Oxford, ni dans les deux mss. de Leyde.</i>. Et quand tu eus fait sous moi tes études de logique, mon espérance s'attachait à toi et je te jugeais digne de te révéler les mystères des livres prophétiques, afin que tu en comprisses ce que doivent comprendre les hommes parfaits. Je commençai donc à te faire entrevoir les choses et à te donner certaines indications; mais je te voyais me demander davantage, et tu insistais pour que je t'expliquasse des sujets appartenant à la métaphysique et que je te fisse connaître à cet égard à quoi visaient les <i>Motécallemîn</i> <sup>(1)</sup><i class=""footnote"">(1) Ce nom désigne les philosophes religieux ou les scolastiques des Arabes. Sur son origine voyez ma Notice sur Rabbi Saadia Gaon, p. 16 et suiv. (Bible de M. Cahen, t. IX, p. 88 et suiv.). L'auteur donne luimême de nombreux détails sur les <i>Motécallemîn</i> dans plusieurs endroits de cet ouvrage, et notamment I<sup>re</sup> partie, ch. 71, 73 et suiv. J'ai donné un aperçu succinct de leurs doctrines dans le <i>Dictionnaire des sciences philosophiques</i>, art. <i>Arabes</i>.</i>, et si leurs méthodes étaient basées sur la démonstration, ou, dans le cas contraire, à quel art elles appartenaient. Je voyais que tu avais déjà un peu étudié cette matière sous d'autres (maîtres); mais tu étais agité et saisi de troubles <sup>(2)</sup><i class=""footnote"">(2) Tous les manuscrits, même ceux qui ont des points diacritiques, portent <span dir=""rtl"">בדתך</span>; je pense qu'il faut prononcer <img src=""images/Art_P18.jpg"" alt=""art""/>, du verbe <img src=""images/Art_P19.jpg"" alt=""art""/>, <i>prœvertit, vicit</i>, de sorte que les mots <span dir=""rtl"">אלדהשה̈</span> <img src=""images/Art_P20.jpg"" alt=""art""/> signifient: <i>le trouble</i> ou <i>la confusion s'était emparée de toi</i>. Ibn-Tibbon a bien rendu le mot <img src=""images/Art_P21.jpg"" alt=""art""/> par <span dir=""rtl"">דפקתך</span>.</i>, et ta noble âme te stimulait <i>afin de trouver les objets de ton désir</i> <sup>(3)</sup><i class=""footnote"">(3) Ces derniers mots, que l'auteur a écrits en hébreu, sont tirés de l'Ecclésiaste, ch. XII, <small>V</small>. 10.</i>. Je ne cessais de te détourner de cette voie et je te recommandais de prendre les choses par ordre; car mon but était (de faire) que la vérité s'établît pour toi méthodiquement et que la certitude ne t'arrivât pas comme par hasard. Tant que tu étais avec moi, je ne me refusais pas, quand il était question d'un verset ou d'un des textes des docteurs appelant l'attention sur quelque sujet curieux, à t'en donner l'explication; mais lorsque Dieu décréta la séparation et que tu t'en allas d'un autre côté, ces conférences firent renaître dans moi une (ancienne) résolution qui s'était déjà affaiblie, et ton absence m'engagea à composer ce traité que j'ai fait pour toi et pour tes semblables, quelque peu nombreux qu'ils soient. J'en ai fait des chapitres détachés, et tout ce qui en aura été mis par écrit te parviendra successivement là où tu seras. Porte-toi bien."
"Moreh Nevukhim, Part 1, Première Partie.10","Fais-moi connaître le chemin que je suivrai, car c'est vers toi que j'ai élevé mon âme (Ps. CXLIII, <small>V</small>. 8)."
"Moreh Nevukhim, Part 1, Première Partie.11","C'est vous, hommes, que j'appelle, et ma voix (s'adresse) aux fils d'Adam (Prov. VIII, 4)."
"Moreh Nevukhim, Part 1, Première Partie.12","Prête l'oreille, et écoute les paroles des sages, et applique ton cœur à ma science (Prov. XXII, 17)."
"Moreh Nevukhim, Part 1, Première Partie.13","Ce traité a d'abord pour but d'expliquer le sens de certains noms <sup>(1)</sup><i class=""footnote"">(1) Par <i>noms</i> l'auteur entend ici non seulement les substantifs et les adjectifs, mais aussi les verbes à l'infinitif ou les <i>noms d'action</i>.</i> qui se présentent dans les livres prophétiques. Parmi ces noms il y en a qui sont homonymes, mais que les ignorants prennent dans l'un des sens dans lequel l'homonyme est employé; d'autres sont métaphoriques, et on les prend dans le sens primitif dont la métaphore est empruntée; d'autres enfin sont amphibologiques, de sorte que tantôt on croit qu'ils sont employés comme noms appellatifs <sup>(2)</sup><i class=""footnote"">(2) Le substantif <i>commun</i> ou <i>appellatif</i> est appelé par les Arabes <img src=""images/Art_P22.jpg"" alt=""art""/>, ou bien <img src=""images/Art_P23.jpg"" alt=""art""/>, c'est-à-dire <i>nom conventionnel</i> ou <i>dit par convention</i>. Les rabbins ont traduit ces termes par <span dir=""rtl"">השם המוםכם</span> et <span dir=""rtl"">השם הנאמר בהםכמה</span>; on peut en voir la définition dans l'<i>Abrégé de logique</i> (<span dir=""rtl"">באור מלות ההגיון</span>) de Maïmonide, ch. 13. Le terme arabe <img src=""images/Art_P24.jpg"" alt=""art""/> correspond aux mots grecs <i>κατὰ συνθήκην</i>, et est emprunté à la traduction arabe de l'<i>Organon</i> d'Aristote; voy. le traité <i>de l'Interprétation</i>, au commencement du ch. II, où les mots: <i>Ὄνομα μὲν οὖν ὲστι φωνὴ σημαντικὴ κατὰ συνθὴκην</i> sont ainsi rendus en arabe: <img src=""images/Art_P26.jpg"" alt=""art""/> (Ms. ar. de la Bibl. nat., n° 882 A).</i> et tantôt on se figure qu'ils sont homonymes  <sup>(3)</sup><i class=""footnote"">(3) Le mot <i>homme</i>, p. ex., peut s'appliquer à l'homme vivant, ainsi qu'à l'homme mort, ou à une statue, ou à un portrait. Si l'on n'a égard qu'à la forme extérieure, le mot <i>homme</i>, pris dans ces divers sens, pourra être considéré comme un véritable appellatif, ou nom commun, désignant tout ce qui présente extérieurement la forme humaine; mais si on a égard à ce qui constitue la véritable essence de l'homme, le mot <i>homme</i>, pris dans les divers sens indiqués, sera un homonyme, puisqu'il désigne à la fois des choses de nature diverse. A ce point de vue, le mot <i>homme</i> est appelé <img src=""images/Art_P27.jpg"" alt=""art""/>, <i>nom ambigu</i> ou <i>amphibologique</i>. Voy. Maïmonide, <i>loco citato</i>, et le présent ouvrage, I<sup>re</sup> partie, ch. 56 (fol. 68 <i>b</i> de notre texte arabe).</i>. Le but de ce traité n'est point de faire comprendre tous ces noms au commun des hommes ou à ceux qui commencent à étudier, ni d'instruire celui qui n'étudie que la science de la Loi, je veux dire son interprétation traditionnelle <sup>(1)</sup><i class=""footnote"">(1) Par <span dir=""rtl"">פקה</span> <img src=""images/Art_P28.jpg"" alt=""art""/> les Arabes entendent ce que nous appelons le droit canonique et en général toute la législation qui se rattache au Koran et aux traditions, en y comprenant aussi toutes les cérémonies et prescriptions religieuses. Les juifs arabes, tant karaïtes que rabbanites, se servent également de ce mot pour désigner le corps des doctrines et des pratiques basées sur la tradition, et les rabbins arabes appliquent ce mot à la Loi orale ou au Talmud. Aussi les traducteurs rendent-ils généralement le mot arabe <span dir=""rtl"">פקה</span> par <span dir=""rtl"">תלמוד</span>, et c'est ce mot qu'a employé ici Ibn-Tibbon.</i>; car le but de ce traité tout entier et de tout ce qui est de la même espèce <sup>(2)</sup><i class=""footnote"">(2) L'auteur veut parler des autres ouvrages qu'il avait composés luimême sur cette matière, tels que certaines parties de son commentaire sur la <i>Mischnâ</i> et les premiers traités de son <i>Mischné Torâ</i> ou Abrégé du Talmud.</i> est la science de la Loi dans sa réalité, ou plutôt il a pour but de donner l'éveil à l'homme religieux chez lequel la vérité de nôtre Loi est établie dans l'âme et devenue un objet de croyance, qui est parfait dans sa religion et dans ses mœurs, qui a étudié les sciences des philosophes et en connaît les divers sujets, et que la raison humaine a attiré et guidé pour le faire entrer sur son domaine, mais qui est embarrassé par le sens extérieur (littéral) de la Loi et par ce qu'il a toujours compris ou qu'on lui a fait comprendre du sens de ces noms homonymes, ou métaphoriques, ou amphibologiques, de sorte qu'il reste dans l'agitation et dans le trouble. Se laissera-t-il guider par sa raison et rejettera-t-il ce qu'il a appris en fait de ces noms? Il croira alors avoir rejeté les fondements de la Loi. Ou bien s'en tiendra-t-il à ce qu'il en a compris <sup>(1)</sup><i class=""footnote"">(1) C'est-à-dire ce qu'il a compris d'une manière superficielle, en s'en tenant uniquement au sens littéral, qui le conduira à corporifier la divinité et à admettre d'autres absurdités.</i> sans se laisser entraîner par sa raison? Il aura donc tourné le dos à la raison et il s'en sera éloigné, croyant néanmoins avoir subi un dommage et une perte dans sa religion, et persistant dans ces opinions imaginaires par lesquelles il se sentira inquiété et oppressé, de sorte qu'il ne cessera d'éprouver des souffrances dans le cœur et un trouble violent."
"Moreh Nevukhim, Part 1, Première Partie.14","Ce traité a encore un deuxième but: c'est celui d'expliquer des allégories très obscures qu'on rencontre dans les livres des prophètes sans qu'il soit bien clair que ce sont des allégories, et qu'au contraire l'ignorant et l'étourdi prennent dans leur sens extérieur sans y voir un sens ésotérique. Cependant, si un homme véritablement instruit les examine, il en résulte également pour lui un trouble violent lorsqu'il les prend dans leur sens extérieur; mais quand nous lui aurons expliqué (le sens de) l'allégorie ou que nous l'aurons averti que c'est une allégorie, il sera mis sur la voie et sauvé de ce trouble. C'est donc pour cela que j'ai appelé ce traité <i>Dalâlat al-'Hâyirîn</i> (le guide de ceux qui sont indécis ou égarés)."
"Moreh Nevukhim, Part 1, Première Partie.15","Je ne dis pas que ce traité écartera, pour celui qui l'aura compris, toute espèce de doute, mais je dis qu'il écartera la plupart des obscurités, et les plus graves. L'homme attentif ne me demandera pas ni n'espérera, lorsque nous aurons parlé d'un certain sujet, que nous l'achevions, ou, lorsque nous aurons commencé l'explication du sens d'une certaine allégorie, que nous épuisions tout ce qui a été dit au sujet de cette allégorie: ceci, un homme intelligent ne pourrait le faire de vive voix, dans une conversation <sup>(2)</sup><i class=""footnote"">(2) Littéralement: <i>pour celui avec lequel il converserait</i>.</i>, et comment pourrait-il le consigner dans un livre sans s'exposer à être un point de mire pour tout ignorant prétendant à la science, et qui lancerait vers lui les flèches de son ignorance."
"Moreh Nevukhim, Part 1, Première Partie.16","Nous avons déjà donné dans nos ouvrages talmudiques <sup>(1)</sup><i class=""footnote"">(1) Voy. ci-dessus, page 7, notes 1 et 2.</i> plusieurs explications sommaires de cette espèce et éveillé l'attention sur beaucoup de sujets, et nous y avons fait remarquer que le <i>Ma'asé beréschîth</i> (récit de la création) est la science physique et le <i>Ma'asé mercabâ</i> (récit du char céleste) la science métaphysique  <sup>(2)</sup><i class=""footnote"">(2) Le Talmud parle de profonds mystères contenus dans le 1<sup>er</sup> chapitre de la Genèse, commençant par le mot <i>beréschîth</i>, dans le 1<sup>er</sup> chapitre d'Ézéchiel et dans quelques passages d'Isaïe et de Zacharie. Les visions de ces prophètes, et notamment celles d'Ézéchiel, sont désignées par le nom de <i>Ma'asé mercabâ</i>, ou <i>récit du char</i> (<i>céleste</i>). Les mystères du <i>Beréschîth</i> et de la <i>Mercabâ</i> jouent un grand rôle dans les écrits des kabbalistes, qui sont peu d'accord sur ce qu'il faut comprendre par ces mystères, le Talmud ne s'étant pas prononcé à cet égard. Maïmonide, qui n'était pas partisan de la Kabbale, parle cependant, comme talmudiste, du <i>Ma'asé beréschîth</i> et du <i>Ma'asé mercabâ</i>, et, imbu des doctrines philosophiques des écoles arabes, il explique l'un et l'autre de manière à y retrouver les principales parties de la philosophie péripatéticienne, en voyant dans l'un la <i>physique</i> et dans l'autre la <i>métaphysique</i> d'Aristote. C'est dans ce sens qu'il en parle déjà dans ses ouvrages talmudiques. Voy. <i>Commentaire sur la Mischnâ</i>, II<sup>e</sup> partie, traité 'Haghîgâ, ch. II, § 1; <i>Abrégé du Talmud</i>, liv. I, 1<sup>er</sup> traité (ou <i>Yesodé ha-Torâ</i>), ch. 1 à 4.</i>, et nous avons expliqué cette sentence <sup>(3)</sup><i class=""footnote"">(3) Voy. Mischnâ et Talmud de Babylone, traité 'Haghîgâ, ch. 2, fol. 12 et 13. En y énumérant divers sujets bibliques qu'il ne faut pas interpréter en public, le Talmud interdit d'interpréter la <i>mercabâ</i>, même à un seul élève en particulier, à moins que ce ne soit un sujet d'une intelligence supérieure.</i>: «Ni (on n'interprétera) la <i>mercabâ</i>, même à un (élève) seul, à moins que ce ne soit un homme sage comprenant par sa propre intelligence, (et dans ce cas) on lui en transmettra seulement les premiers éléments. » Tu ne me demanderas donc ici autre chose que les premiers éléments. Ces éléments mêmes ne se trouvent pas, dans le présent traité, rangés par ordre et d'une manière suivie, mais, au contraire, disséminés et mêlés à d'autres sujets qu'on voulait expliquer; car mon but est (de faire en sorte) que les vérités y soient entrevues, et qu'ensuite elles se dérobent, afin de ne pas être en opposition avec le but divin, auquel d'ailleurs il serait impossible de s'opposer, et qui a fait que les vérités qui ont particulièrement pour objet de faire comprendre Dieu fussent dérobées au commun des hommes, comme a dit (le psalmiste): <i>Le mystère de l'Éternel est pour ceux qui le craignent</i> (Ps. XXV, 14)."
