Yeriot Shlomo on Torah, Vayikra 1	@11בד"ה מן התורים כו' @22כבר כתבו התו' כו' אינו שם בתו' אלא בגמ' גופ' ע"ש כנ"ל:	Mizrachi, Leviticus 1:14:3
Yeriot Shlomo on Torah, Kedoshim 1	@11בד"ה קדושים תהיו כו' ומן העבירה כו' @22נ"ב פי' הפרישה היא מדות חסידות והפרישה שייך בעריות שמביא' לידי קדושה והוא קדוש בפריש' באופן שאין עבירה בידו אבל אם יש שום עבירה בידו לא תועיל הפרישה להיות נקרא קדוש ודוק מהרש"ל:	Mizrachi, Leviticus 19:2:3
Yeriot Shlomo on Torah, Kedoshim 2	@11בד"ה ואת שבתותי כו' על מורא האב כו' @22נ"ב בכאן מקשין העולם מה שפירש"י אח"כ איזהו מורא כו' ואיזהו כיבוד כו' איך הוא מקושר ונ"ל דדייק מלישנ' דבריית' דכולכם חייבין בכבודי דפתח במורא וסיים בכביד ונראה דבודאי מאני יי' דייקינן ששייך על הכיבוד שהוא שם של רחמים משא"כ במורא דכתיב ויראת מאלהיך אני יי" א"נ את יי' אלהיך תירא אבל לא מצינו מורא בלתי שם אלהות אלא שבא הכתוב ללמדנו לא זו שאם יאמר לך אביך לחלל שבת שאל תשמע לו משום שרשע היא אלא אפי' אם יאמר לך תן לי לאכול ולשתית ולא תוכל להשתדל לו אותן הדברים בלתי חילול השבת כגון לחתוך מן המחובר או להביא דרך ר"ה אפ"ה אל תחלל את השבת כי כולכ' חייבין בכבודי לכך אין לך לחוש אם תעבור על כבודו ודוק מהרש"ל:	Mizrachi, Leviticus 19:3:4
Yeriot Shlomo on Torah, Kedoshim 3	@11בד"ה אשר ישכב כו' ואין זרעו נכרת כו' @22והנה לא היה לו לתנות דבר זה בדברי עצמו שהרי כבר קדמוהו הסמ"ג ז"ל שסתר פרש"י ז"ל מכח קושיא זו כמ"ש בהדיא בחלק ל"ת סי' ק"ט וכתב עוד שם דפרש"י ז"ל נסתר ג"כ מהא דאמרינן שם רב יוסף כי מטא לשתין שנין עבד יומא עבא לרבנן אמר פלטי לי מכרת אמרו ליה אי מכרת דשני פלט מר מכרת דיומי מי פלט מר דאמרינן מת בשלשה ימים זו מיתת כרת יש ללמו' משם כיון שלא אמרו מכר' דבני מי פלט מר שהוא בכרת ואין זרעו בכרת ודלא כפרש"י ע"כ:	Mizrachi, Leviticus 20:20:1
Yeriot Shlomo on Torah, Emor 1	@11בד"ה וילמדו ישראל כו' @22וצ"ע ועיין במה שכתב המחבר עצמו בפ' ראה דף רצ"ד ע"ד כי שם יישב קושיא כנ"ל:	Mizrachi, Leviticus 21:5:3
Yeriot Shlomo on Torah, Emor 2	@11בד"ה מקרא קדש כו' דמה נשתנה כו' @22ולא הוצרך לומר זה דבלא"ה א"א לומר שהמקרא קדש הזה שפי' בו הוא הכתוב בחג הסוכות דא"כ למה נחלק חג הסוכות משאר י"ט לענין מאכל ומשתה ואפשר דלכך פירש"י מקרא קדש אחר שפי' קרא דכל מלאכה וגו' משום דבזולת זה אפשר לפרש מקרא קדש האמור ביוהכ"פ לענין איסור עשיית מלאכה אפי' אוכל נפש משא"כ בשאר י"ט דמותרין במלאכ' אוכל נפש לכן מפרש זה אחר קרא דכל מלאכה וגו' כנ"ל:	Mizrachi, Leviticus 23:27:1
Yeriot Shlomo on Torah, Emor 3	@11אזרח זה אזרח האזרח להוציא את הנשים @22שלא תלמד מט"ו כו' בישראל לרבות את הגרים כך פרש"י במדויק' וכן הביאו הרמב"ן ז"ל והא דקאמ' אזרח שלא היה צריך דזיל קרי ביה רב הוא י"ל דאגב סיפא נקט ליה לומר דכיון דהאזרח זה אזרח א"כ עכ"ל בישראל בא לרבות הגרים דלגופיה לא איצטריך כיון דאזרח זה אזרח עכ"ל מהר"ן שפיר' בספר אמרי שפר ואני תמה עליו דהא אות באו' כמו שהביא רש"י בכאן הוא ברייתא בפ' הישן ושם לא הזכיר מידי מגרים וא"כ ע"כ ליכא לפרש הכי כמו שהוא מפר' דברי רש"י דהכא דז"ל הברייתא לשם ת"ר אזרח זה אזרח האזרח להוציא את הנשים כו' אלא עכ"ל דה"פ אזרח זה אזרח אי הוי כתיב אזרח הוי משמ' כל תולדות ישראל אנשים ונשים כתב האזרח מיומן שבאזרחי' להוציא את הנשים וכן פירש"י בפ' הישן וא"כ בודאי דעת רש"י דהכא ג"כ הכי דלא כדברי הרב ז"ל ודע שדברי רש"י ז"ל הם ממש לשון הספרי וקשה היאך שביק תלמודא דידן וכתב דברי הספרי דבתלמודא דידן בפ' הישן מסיק תלמוד' דלהוציא את הנשי' מהלכתא הוא דנפקא והי"א יתירא דהאזרח קאתי לרבות את הגרים ובריית' דקתני להוציא את הנשים מהאזר' אסמכת' בעלמא הוא והיותר תימה דבגמ' פ"ק דקידושין דף ל"ד פריך תלמוד' ל"ל האזרח להוציא את הנשים תפ"ל דמ"ע שהזמ"ג היא ונשים פטורו' קשה והא בסוכה אית' המסקנה דהלכתא היא וקרא אסמכתא בעלמ' וצ"ל דבקידושין פריך ל"ל ההלכתא ודוק כנ"ל:	NULL
Yeriot Shlomo on Torah, Behar 1	@11בדיבור הראשון עד פ' שמטה @22נ"ב ואני אומר בודאי על כל המצות קאי דאל'כ תרי קראי ל"ל שהרי כתיב בסוף התוכחה אלה החקים והתורה וכו' ופסוק זה היה לו לכתוב לבסוף ומדכתיב אלה המצות וכו' לריבוי כל המצות שבעולם וא"כ בהר סיני ל"ל בשמיטה יותר מבשאר המצות אלא לאשמועינן אף הפרטו' ולמה השמיע לנו חידוש זה יותר בשמיטה משום שלא מצינו שנשנית בערבות מואב ואף שכתוב שם ברמיזה השמט תשמט לרבות שמיטות קרקע ולא כתב להדיא שם לא כלל ופרט לרבות על הראשונות כדרך פרשה שנשנית ודוק מהרש"ל:	Mizrachi, Leviticus 25:32:2
Yeriot Shlomo on Torah, Behar 2	@11בד"ה אל תונו שהוא בממון כו' @22ונ"ל לפרש דל'ת אסור להטעות אותו בדברים מחמת המקח איך שקנה ביוקר או להונות המוכר שמכר בזול לשון מהרש"ל בביאוריו לסמ"ג לאוין סימן ק"ע:	NULL
Yeriot Shlomo on Torah, Bechukotai 1	@11בד"ה בעתו כו' דרשי הכי @22נ"ב ולי נראה דאל"כ פשיט' דהא גשמים שלא בזמנם סימן קללה הם ואמאי קחשיב ליה בברכות מהרש"ל:	NULL
Yeriot Shlomo on Torah, Bechukotai 2	@11בד"ה והרבתי אתכ' כו' מתרבי' הם כו' @22ואינו מספיק דהא בב"מ מצינו לשון פרו ורבו ולא דרשינן יתור' אלא נראה לי דק"ל לרש"י יתור' דאתכם דהל"ל והפרתי והרבתי אתכם כמו בכל מקום דכתיב פרו ורבו גבי הדדי אלא ע"כ לומר דתרי ברכות הן והרבתי קאתי לקומה זקופה וק"ל כנ"ל:	NULL
Yeriot Shlomo on Torah, Bechukotai 3	@11בד"ה וישן כו' נ"ל שט"ס הוא כו' @22ולי נראה דאין כאן ט"ס וה"פ ואתם מקפידין ר"ל שיהיה קשה בעיניכם לעשות דבר זה להוציא הישן מפני החדש ומ"מ אתם מוכרחין לעשות ודוק כנ"ל:	NULL
Yeriot Shlomo on Torah, Bechukotai 4	@11מה שפירש"י ואם לא תשמעו לי להיות עמלים בתורה ולדעת מדרש חכמים כו' @22הוכרח לפרש כן דאל"כ הל'ל ואם לא תלכו בחקותי ודוק מהרש"ל:	NULL
Yeriot Shlomo on Torah, Bechukotai 5	@11ורדפו מכם חמשה מאה וגו' @22הקשה רשב"ם הא קיי"ל דמדה טובה יתיר' על מדת פורענות ולקמן בפ' האזינו כתי' איכה ירדוף אחד אלף ותירץ דהכא גבי מדה עובה כתיב ונפלו אויביכם דהיינו הריגה משא"כ התם דלא כתיב רק רדיפה פענח רזא ונראה דלפרש"י לק"מ דפי' מכם קאי על החלשים וא"כ איכא למימר דגיבור אחד מישראל ירדוף רבבה מאומות משא"כ התם דכתיב איכה ירדוף אחד דהיינו המיוחד שהוא גיבור ודוק כנ"ל:	Mizrachi, Leviticus 26:8:1
Yeriot Shlomo on Torah, Bechukotai 6	@11מה שפירש"י ויש נקם שאינו בברית @22פי' שיש נקמה שאינה אם הפר את הברית ואותה נקמה אינה כ"כ גדולה אבל נקמה זו הוי כמי שעושה נקמה במי שהפר בריתו והי נקמ' גדול' ומ"ש רש"י וזהו סימוי עיניו של צדקיה ר"ל ששם היה נקמה בברית מפני שצדקיה הפר בריתו של נבוכדנאצר וזהו שאומר בתוכחה נקמת נקם ברית שרוצה להביא עליהם נקמה גדולה כנקמת צדקיה כך פי' הג"א נר"ו ואין לשון רש"י משמע כדבריו ועוד דבת"כ ובילקוט איתא בהאי לישנא ואיזהו נקמה שאינה בברית זהו סימוי עיניו של צדקיה ולפי דבריו הוי סימוי עיניו של צדקיה נקם ברית לכן נראה דה"ק ויש נקם שאינה בברית ר"ל יש נקמה במי שלא הי' כורת ברית עמו וזהו כדרך שאר נקמות שרגיל אדם לנקום ממי שלא היה כורת ברית עמו וזהו סימוי עיניו של צדקיה שבשעת נקמה לא היה בברית עם נבוכדנאצר דצדקיה הפר בריתו אבל הקב"ה אמר בתוכחה שיביא עליהם נקמה שהיא נקם בברית שאותן אומות שיהיו כורתין ברית עם ישראל ואפ"ה ינקמו מהם כמו שהיה בזמן החורבן כדכתיב מצרים נתנו יד אשור לשבוע לחם וא"כ נקמה כזו שיניו של אדם קיהות שמעתי מהרב ר' אברהם היילפרין ז"ל:	NULL
Yeriot Shlomo on Torah, Bechukotai 7	@11בד"ה וכ"ש כו' דעילוי קא מעלוי כו' @22נ"ב ולי נראה דלק"מ דטוב ברע היינו פי' תם בבע"מ אבל לעולם הבע"מ של הקדש מעולה בדמים הרבה מן התם אבל הרע שהוא בע"מ שהוא מעולה בדמים ה"א שיחליפו בתם של הקדש הגרוע לכך כתב רע בטוב ומ"ה פירש"י טוב ברע תם בבע"מ או רע בטוב ר"ל או הבע"מ בתם כדפי' וא"ל היכא שהוא תם וגם מעולה בדמים מנלן שלא יחליפנו בבע"מ הגרוע י"ל דמאחר שהראה לנו הכתוב שלא יחליף אפי' הוא מעולה כגון שהוא תם וראוי להקרבה וכן אם הוא מעולה בדמים א"כ ה"ה היכי דתרוייהו מעול' גבי הדדי דלא קפיד קרא עלייהו ודוק מהרש"ל:	Mizrachi, Leviticus 26:20:5
