,,,,,,,
Torei Zahav,Mohilev 1816,manually,fol. 65a,"ע""פ ששמעתי אומרים בשם הישיש המקובל איש אלקי קדוש יאמר לו מה' דובער מ""מ דמזריטש דתיבת חצוצרות הוא לשון חצי צורת דהיינו האדם מתאוה לאיזה דבר הוא חצי צורה וכשישיג הדבר ההוא שמתאוה הוא צורה שלימה עם אותה דבר המתאוה לה.",,,
Torei Zahav,Mohilev 1816,manually,fol. 77a,"שמעתי בשם הוותיק וחסיד המפורסם מוה' דוב בער זללה""ה מ""מ דק""ק מזריטש שתיבות חצוצרות נוטריקון חצי צורות ע""כ שמעתי ונראה לי לפרש דבריו ע""ד...",,,
Ginzei Yosef,"Jerusalem, 1960",manually,"vol. 2, rosh ha-shanah, pp. 224-225","אמר הרב הגדול החסיד המנוח מוה""ר דוב בער פירוש בחצוצרות שיהיה כל אחד בעיניו כאילו הוא חצי גוף הוא חצי צורה.
וזה בחצוצרות, חצי צורה ואין לו שלימות בלתי חיבור עם חבירו ולהסיר השנאת חנם אז נושעתם מאויביכם.",,,
Hayyim va-Hesed,"Jerusalem, 1954",manually,"va-yetse, p. 24",וז״ש ותקעתם בחצוצרות כי גם העובדא שמחמת ההכרח בא מחמת השכל שהשכל מחייבו וזה חצי צורות השכל והעובדות שאינם מחוברים להקב״ה וז״ש (במדבר י) ותקעתם ל׳ התחברות בחצוצרות פי׳ שתגביה העובדות שהוא מצד הכרח לבד ויעבוד להשיג תענוג להקב״ה ונק׳ חצי צורות כי השכל והעובדא א״א להם להיות זה בלא זה והוא צירוף של חדש אדר שעולה מפסוק עירה ולשורקה בני אתונו עצמיות הש״י נק׳ איתן לשון כח עירה לשון התעוררות הוא עוה״ז שאינו אלא איתערותא דלתתא ולשורקה הוא התענוג שנקרא שי״ן שורקת שורוק יש בו ג׳ נקודות כי דכר ונוקבא זה יש לו חשקות להשפיע וזה יש לו כח לקבל ומתחברים ע״י התענוג וזהו נקודה א׳ הוא דכר והב׳ נוק׳ והג׳ האמצעי הוא התענוג המחבר ומחמת זה בני אתונו פי׳ ע״י התעוררות תחתון בא ממנו ההולדה שנמשך אלינו עצמיותו. וזהו חייב אדם להקביל פני רבו ברגל שיקבל פני העצמיות של הקב״ה תוך הרגילות.,,,
Hayyim va-Hesed,"Jerusalem, 1954",manually,"be-ha‘alotekha, p. 58",עשה לו שתי חצוצרות כסף (במדבר י) פי׳ כי אנו נקראים חצי צורה כי אין לנו שלימות אלא עם השי״ת והשי״ת כביכול נקרא חצי צורה כי השלימות שלו ג״כ ע״י ישראל וזהו עשה לו שתי חצוצרות פי׳ שתראה להבין שאתה בלא הקב״ה אינך כלום ואז יכול להיות כסף שתכסוף להקב״ה וחצוצרות לשון חצי צורות כנ״ל.,,,
Avodat Yisra'el,"Yosefat, 1842",manually,"be-ha‘alotekha, fol. 56b","הנה קבלנו מאדומו""ר הגאון מוהד""ב זלה""ה צירוף חצוצרות חצי צורות, דהיינו שהיו מרמזים על כנסת ישראל עם דודה שהם כחצי צורה כל אחד לבדו כביכול כבודו לפי רצונו הנורא יתברך כל אהבתו והתדבקותו בתאומתו כנסת ישראל, והיא גם כן משתוקקת ומתדבקת בנפש רוח ונשמה לבוראה יתברך עד שהכל נכלל באחדות. וכיוצא הרבה מצוות שציונו הבורא ברוך הוא לרמז בהן היחוד והדיבור כמער איש ולויות, כמו הלולב ואתרוג הנזכר בזוהר ותיקונים וכן שאר ענינים, ואף על גב דאיהו בנצח ואיהי בהוד הם תרי פלגי גופא. ועל ידי היחוד נעשים דבר אחד שלם, וכדוגמתם היו משה ואהרן כנודע. ונקרא גם כן השפתים כמו נצח והוד. כי מלת שפתים הוא על משקל שנים כמבואר בספרי דקדוק, כי שפה אחת לא תוכל לדבר בלא חבירתה, וכן הרגלים אי אפשר ללכת באחד, מה שאין כן שאר איברים כנודע. והשפתים הם הנקראים שערים, מלשון שיעורין דליבא כמו שכתב הזוה""ק נודע בשערים בעלה עיין שם. והיינו כי מחשבת המלך אי אפשר להשיג ולעשות רצונו רק אחר כך שנתגלה על ידי השפוון והדיבור אז ממליכין אותו. ולכן נקראו שערים שעל ידם משער העובד אותו איך שיעבדהו.
ולכן סומך המדרש עשה לך שתי חצוצרות כסף, זה שאמר הכתוב שאו שערים ראשיכם. כי השפוון מרמזים גם כן על היחוד שעל ידי שניהם נגמר מלוכת המלך כמו על ידי חצוצרות שנרמזים כנגד נצח והוד כנ""ל. וזה הכבוד שיתן למלך המשיח שאז יהיה התיקון כראוי. וזה הודוהדר תשוה עליו, כי הדר רומז לנצח דאיהו בנצח ומהדרים אליו שהכל בכוחו והוא בסוד מלך הדר והתיקון כראוי, הבן.",,,
Orah le-Hayyim,Barditshev 1817,manually,"ki tissa, fol. 48b.","אמר הרב הגאון המפורסם בוצינא קדישא מוהר""ר דוב בער זללה""ה פירוש עשה לך שני חצוצרות כסף, כלומר שני חצי צורות, כי אדם בעצמו הוא חצי צורה, ואי אפשר לו לעבוד השי""ת אלא עם השי""ת, והוא לבדו כמו חצי צורה, וכשעובד להשי""ת בכוחו מקבל השי""ת תענוג ממנו ודפח""ח.",,,
Orah le-Hayyim,Barditshev 1817,manually,"be-huqqotai, fol 26a.","הנה הרב הקדוש בוצינא קדישא מו' דוב בער זלה""ה אמר פירוש הפסוכק עשה לך שתי חצוצרות כסף, כלומר שתחשוב תמיד שאתה חצי צורה בלעדו יתברך והוא המשלים אותך, וכן אתה משלים הצורה עליונה שהוא כמו חצי צורה בלעדך עכ""ד, וכן אמר בתיקונים צורה עליונה לא אשתלים עד דמברי אדם.",,,
Orah le-Hayyim,Barditshev 1817,manually,"be-ha‘alotekha, fol 5a.","והנה הרב הקדוש בוצינא קדישא מו' דוב בער זללה""ה אמר על פסוק עשה לך שתי חצוצרות, נוטריקון חצי צורות, כלומר שיחשוב אדם שאי אפשר לו לעשות שום דבר גשמי ותחבולה בלתי רצונו, והוא אינו רק חצי צורה וכשהוא הולך בדרך הישר ומקיים התורה והמצות, הוא משלים הצורה העליונה, ובלעדו יתברך הוא רק חצי צורה, ויחשוב כמה גדול מחשבותיו ודיבוריו ומעשיו שהוא משלים הצורה העליונה עכ""ד ודפח""ח.",,,
Orah le-Hayyim,Barditshev 1817,manually,"mattot, fol. 33a-b.","כתבנו בשם הרב הקדוש בוצינא קדישא מהור""ר דוב בער זללה""ה פירוש חצוצרות שני חצי צורות, שיחשוב תמיד שהוא חצי צורה, ולית ליה מגרמיה כלום, וגם צורה עליונה לא לשתלם עד בריאת עדם, כמ""ש בתיקונים, ודפח""ח.",,,
Orah le-Hayyim,Barditshev 1817,manually,"‘eqev, fol. 11a.","כתבתי בשם הרב הקדוש בוצינא קדישא מו' דוב בער זללה""ה פירש עשה לך שתי חצוצרות, היינו שני חצי צורות, היינו שהאדם בעצמו הוא חצי צורה שמקבל עליו מדת מלכותו ויראתו של השי""ת ולית ליה מגרמיה כלום, וגם צריך להאמין באמונה שלימה כמו שכתב בתיקונים שהצורה עליונה לא נגמר אלא בבריאת אדם, והיא ג""כ חצי צורה, וכשהאדם כמקבל עליו מדת מלכותו ויראתו אז נגמר הצורה עליונה וזהו שני חצי צורות ודפח""ח.",,,
Toledot Yitshak ben Levi,Barditshev 1811,manually,"pinhas, fol. 61b","חצוצרות רומז על תורה שבכתב שניתן התורה שבכתב בשני לוחות. וכן שמעתי מפי אאמ""ו הגאון הקדוש נבגע""ע חצוצרות היינו חצי צורות כי יו""ד הדברות אשר בשני הלוחות הם כלל כל התורה נמצא כל לוח חצי כו' קול שופר רומז על תורה שבע""פ שהיא בקול וזהו שופר דמות אות וא""ו רומז על תורה שבע""פ ששה סדרי משנה...",,,
Zot Zikhron,Lvov 1851,manually, p. 155.,"וזה י""ל דהנה שמעתי מרבי רבי אלימלך ז""ל ע""פ עשה לך שתי חצוצרות כסף ואיני יודע אם הוא ממנו או בשם הרב ומגיד רבינו מראוונא זלה""ל ונ""ל התחלה בשם הרב וסוף משמו עשה לך שתי חצוצרות להיות מחזיק א""ע לחצי צורה וצורה השלימה הוא עם השי""ת. וזה כסף ע""י אהבה ויראה לה' יתברך כי כסף לשון כיסופא ובושה הוא יראה וכן לשון נכסוף נכספת לבית אביך לשון אהבה לה'...",,,
Ohev Yisra‘el,Jerusalem 1996,manually,"be-ha‘alotekha, p. 192.","עשה לך שתי חצוצרות כסף וגו'  [י, ב]. שמעתי בשם הרב הקדוש כו' מוהר""ר דוב בער זללה""ה שאמר אלו הדיבורים עשה לך שתי חצוצרו""ת נוטריקון שתי חצי צורות. אך פירושן של הדברים לא שמעתי. וי""ל ביאור הדברים כי דבר גדול דיבר וסוד עמוק. כי הנה ידוע מזוהר הקדוש (בראשית כא ב) ומספרים הקדושים כי משה נקרא בבחינת בעלה דמטרוניתא בעלה דשכינתא קדישא כי הוא המשפיע למלכותא קדישא כנסת ישראל כלה קרואה בנעימה בסוד כלת משה נמצא כי בבחינה זו נקרא משה רבינו ע""ה בבחינת דכ""ר כי הוא המשפיע. ועוד נודע מספרים הקדושים כי משה רבינו ע""ה הוא בחינת דעת העליון והוא בבחינת מקבל בחינת נוקבא. כי מקבל השפעה והארה ממוחין עילאין קדישין ג' ראשונות סוד כתר חכמה בינה. נמצא שהיו לו למשה רבינו ע""ה שני בחינות, בחינת משפיע ובחינת מקבל, דכר ונוקבא. ועם כל זה אין אנו יכולין להשיג הדברים על בוריין איזה בחינה נקרא בבחינת מקבל ואיזה בבחינת משפיע. כי יש לומר שהמשפיע בעצמו נקרא מקבל לגודל התענוג שמקבל מזה שמשפיע. על דרך שאמרו חכמינו ז""ל (פסחים קיב א) יותר ממה שהעגל רוצה לינק הפרה רוצה להניק. ועם כל זה ב' בחינות המה וכל אחד נקרא בבחינת חצי צורה כי צורה שלימה הוא דכר ונוקבא. כמו שכתוב (בראשית ה, ב) זכר ונקבה בראם ויקרא שמם אדם. ונמצא כי משה רבינו ע""ה היה בבחינת שני חצי צורות. והנה תיבת חצוצרת חסר כמו שכתוב בתורה הוא נוטריקון חצי צרת כי שתי פעמים מספר מש""ה עולה מנין צר""ת:
ועל פי זה נבוא לבאר הפסוקים. עשה לך שתי חצוצרת, היינו שמשה רבינו ע""ה יעשה מעצמו בחינת שתי חצי צר""ת שתי בחינות משה בחינת דכר ובחינת נוקבא וכמבואר. כסף, היינו שאלו הבחינות יהיו נכספים ונחשקים זה לזה מלשון (תהלים פד, ג) נכספה וגם כלתה נפשי...",,,
Igra de-Kalla,Lvov 1868,manually,"vol. 2, be-ha‘alotekha, fol. 7a.","עשה לך שתי חצוצרות כסף וכו' . הרב הקדוש מהרד""ב זצוק""ל פירש, חצוצרות מלשון חצא""י צורו""ת, עייש""ד כי מאוד עמקו מחשבותיו. ועפ""י דבריו הקדושים נ""ל לפרש דהנה הנפש היורדת לגוף האדם היא מהשכינה אם הבנים, וכבר ידעת כי הרוחניות לא יעתק ממקום למקום רק יתרבה, ואפילו שיורד ממקומו אעפי""כ ישאר במקום הראשון, והנה הנשמה גם כן הגם שיורדת לגוף האדם עכ""ז תשאר בצורתה במלכות שמים אם הבנים, על כן תקרא הנשמה שתי חצאי צורות, חציה למעלה וחציה למטה. והנה כבר ידעת שהנשמה כלולה מרמ""ח איברים רוחניים דמיון הגוף, והנה נתן הש""י לעמו רמ""ח מצות עשין להאיר על ידם רמ""ח איברי הנשמה, היינו שיאירו בה רמ""ח איברין דמלכא, היינו רמ""ח עליונים שבחלק הנשמה אשר היא ספונה למעלה בשכינה, ואז מתדבקין רמ""ח ברמ""ח בסוד הבן יקיר לי וכו' רח""ם ארחמנ""ו וכו' [ירמיה לא יט], וזה סוד אברה""ם אברה""ם [בראשית כב יא] ב' פעמים רמ""ח (כתוב אצלינו במקו""א), ובהיפך יובן הדבר בהיפך, בשומו מסך המבדיל ח""ו כשלא ישתוקק לדבק בחלק הנשמה העליונה על ידי המצות, אזי כמים הפנים לפנים, והבן. וזה סוד מלכות שמים שלימה [ברכות יד ב] כי ב' פעמים רמ""ח בגימטריא מלכו""ת, והבן. וזה עשה לך שתי חצוצרות (היינו השתי חצאי צורות) כסף שיהיו משתוקקים זה לזה זה לקבל וזה להשפיע ויהיה מלכות שמים שלימה, והכל על ידי קיום המצות, וגם שאר הפסוק יש לפרש על דרךזה, ולא הארכנו כעת.",,,
Benei Yiissakhar,Bnei Berak 2005,copied from bar ilan,"Ma'amarei Hodesh Adar, ma'amar 2, shekel ha-kodesh, derush 2","דברי המדרש [במ""ר פט""ו י""ד] עשה לך שתי חצוצרות כסף [במדבר י א] זהו שאמר הכתוב ירא את י""י בני ומלך [משלי כד כא], המליכהו עליך, והוא פלאי, ופירשנו בזה עפ""י דברי הרב הקדוש מהרד""ב זצוק""ל כתב, עשה לך שתי חצוצרו""ת, שתי חצאי צורות, כס""ף שיהיו נכספים זה לזה, ולפי דברינו הנ""ל יתפרשו דברי הרב, היינו חלק הנפש אשר הוא בעולם הזה מלובש בגוף תכסוף למקורה לחלק השמיימי, ואז חלק השמיימי יכסוף להאיר לחלק אשר בעולם הזה כנ""ל, והנה רמ""ח בגימטריא חצי (מספר) מלכו""ת, והנה גם חלק הנפש השמיימי במקורה הוא גם כן רמ""ח, זה הוא מלכו""ת שמים שלימה שהזכירו חז""ל [ברכות טו א] והוא סוד אברה""ם אברה""ם [בראשית כב יא] הנזכר אחר העקידה, אחר שכבר נתדבק אברהם כל כך בקונו שמסר להש""י דבר החביב עליו יותר מנפשו היינו בן יחיד הבן יקיר לו, הוא המסירת הנפש המופלג והדיבוק לגמרי בקונו ונתהוו לאחדים ממש חלקי הנפשות, רמ""ח רמ""ח אברה""ם אברה""ם, ונתהווה מספר מלכו""ת שמים שלימה, (ותוכל להשכיל להיטב אחר כך ויקרא מלאך י""י אל אברה""ם שנית מן השמים, ר""ל אל הנפש השנית שהוא מן השמים, ואין להאריך והמשכיל יבין), והוא לדעתי סוד הפסוק הבן יקיר לי אפרים וכו' רח""ם ארחמנ""ו נאום י""י [ירמיה לא יט], ובזה יתבארו דברי המדרש הנ""ל, עשה לך שתי חצוצרות כסף, היינו כסיפות השתי חצאי צורות זהו שאמר הכתוב ירא את ד' בני ומלך, מאי ומלך המליכהו עליך דכיון דבשתי חצאי צורות יתחברו רמ""ח רמ""ח יתהווה מלכו""ת שמים שלימה, ואתה תבין כי קצרתי וביארתי במקום אחר",,,
