Genesis 1 1,"At the beginning of God’s creating<br>of the heavens and the earth,"
Genesis 1 29,"And God said:<br>Here, I give you<br>all plants seeding forth seeds that are upon the face of all the earth,<br>and all trees in which there is tree fruit seeding forth seeds;<br>for you shall they be, for eating,"
Genesis 1 30,"and also for all the living things of the earth, for all the birds of the heavens, for all crawling about on the earth in which there is living being—<br>all green plants for eating.<br>It was so."
Genesis 1 31,"Now God saw all that he had made,<br>and here, it was exceedingly good!<br>There was setting, there was dawning: the sixth day."
Genesis 2 1,"Thus were finished the heavens and the earth, with all of their array."
Genesis 2 2,"God had finished, on the seventh day, his work that he had made,<br>and then he ceased, on the seventh day, from all his work that he had made."
Genesis 2 3,"God gave the seventh day his blessing, and he hallowed it,<br>for on it he ceased from all his work, that by creating, God had made."
Genesis 2 4,"These are the begettings of the heavens and the earth: their being created.<br> At the time of <small>YHWH</small> God’s making of earth and heaven,"
Genesis 2 5,"no bush of the field was yet on earth,<br>no plant of the field had yet sprung up,<br>for <small>YHWH</small> God had not made it rain upon the earth,<br>and there was no human/<i>adam</i> to work the ground/<i>adama</i>—"
Genesis 2 6,but a surge would well up from the earth and water all the face of the ground.
Genesis 2 7,"And <small>YHWH</small> God formed the human, of dust from the ground;<br>he blew into his nostrils the breath of life<br>and the human became a living being."
Genesis 2 8,"<small>YHWH</small> God planted a garden in Eden/Land-of-Pleasure, in the east,<br>and there he placed the human whom he had formed."
Genesis 2 9,"And <small>YHWH</small> God caused to spring up from the ground<br>every type of tree, desirable to look at and good to eat,<br>and the Tree of Life in the midst of the garden<br>and the Tree of the Knowing of Good and Evil."
Genesis 2 10,"Now a river goes out from Eden, to water the garden,<br>and from there it divides and becomes four stream-heads."
Genesis 2 11,"The name of the first one is Pishon/Spreader—that is the one that goes around all the land of Havila, where gold is;"
Genesis 2 12,"the gold of that land is good, there too are bdellium and the precious-stone carnelian."
Genesis 2 13,The name of the second river is Gihon/Gusher—that is the one that goes around all the land of Cush.
Genesis 2 14,The name of the third river is Hiddekel/Tigris—that is the one that goes to the east of Assyria.<br>And the fourth river—that is Perat/Euphrates.
Genesis 2 15,"<small>YHWH</small> God took the human and set him in the garden of Eden,<br>to work it and to watch it."
Genesis 2 16,"And <small>YHWH</small> God commanded concerning the human, saying:<br>From every [other] tree of the garden you may eat, yes, eat,"
Genesis 2 17,"but from the Tree of the Knowing of Good and Evil—<br>you are not to eat from it,<br>for on the day that you eat from it, you must die, yes, die!"
Genesis 2 18,<small>YHWH</small> God said:<br>It is not good for the human to be alone;<br>I will make him a helper corresponding to him.
Genesis 2 19,"So <small>YHWH</small> God formed from the ground all the wildlife of the field and all the birds of the heavens<br>and brought [each] to the human, to see what he would call it;<br>and whatever the human called it as a living being, that became its name."
Genesis 2 20,"The human called out names for all the herd-animals and for the birds of the heavens and for all the wildlife of the field,<br>but for the human, there could not be found a helper corresponding to him."
Genesis 2 21,"So <small>YHWH</small> God caused a deep slumber to fall upon the human, so that he slept;<br>then he took one of his ribs and closed up the flesh in its place."
Genesis 2 22,And <small>YHWH</small> God built the rib that he had taken from the human into a woman<br>and brought her to the human.
Genesis 2 23,"The human said:<br>This-time, she-is-it!<br>Bone from my bones<br>and flesh from my flesh!<br>She shall be called: Woman/<i>Isha,</i><br>for from Man/<i>Ish</i> she was taken!"
Genesis 2 24,"Therefore a man leaves his father and his mother and clings to his wife,<br>and they become one flesh."
Genesis 2 25,"Now the two of them, the human and his wife, were nude, yet they were not ashamed."
Genesis 3 1,Now the snake was more shrewd than all the living-things of the field that <small>YHWH</small> God had made.<br>It said to the woman:<br>Even though God said: You are not to eat from any of the trees in the garden . . . !
Genesis 3 2,"The woman said to the snake:<br>From the fruit of the [other] trees in the garden we may eat,"
Genesis 3 3,"but from the fruit of the tree that is in the midst of the garden,<br>God has said:<br>You are not to eat from it and you are not to touch it,<br>lest you die!"
Genesis 3 4,"The snake said to the woman:<br>Die, you will not die!"
Genesis 3 5,"Rather, God knows<br>that on the day that you eat from it, your eyes will be opened<br>and you will become like gods, knowing good and evil."
Genesis 3 6,"The woman saw<br>that the tree was good for eating<br>and that it was a delight to the eyes,<br>and the tree was desirable to contemplate.<br>She took from its fruit and ate<br>and gave also to her husband beside her,<br>and he ate."
Genesis 3 7,And the eyes of the two of them were opened<br>and they knew [then]<br>that they were nude.<br>They sewed fig leaves together and made themselves loincloths.
Genesis 3 8,"They heard the sound of <small>YHWH</small> God [who was] walking about in the garden at the breezy-time of the day.<br>And the human and his wife hid themselves from the face of <small>YHWH</small> God, amid the trees of the garden."
Genesis 3 9,<small>YHWH</small> God called to the human and said to him:<br>Where are you?
Genesis 3 10,"He said:<br>I heard the sound of you in the garden and I was afraid, because I am nude,<br>and so I hid myself."
Genesis 3 11,"He said:<br>Who told you that you are nude?<br>From the tree about which I commanded you not to eat,<br>have you eaten?"
Genesis 3 12,"The human said:<br>The woman whom you gave to be beside me, she gave me from the tree,<br>and so I ate."
Genesis 3 13,"<small>YHWH</small> God said to the woman:<br>What, now, have you done?<br>The woman said:<br>The snake enticed me,<br>and so I ate."
Genesis 3 14,"<small>YHWH</small> God said to the snake:<br>Because you have done this,<br>cursed be you from all the animals and from all the wildlife of the field;<br>on your belly shall you walk and dust shall you eat, all the days of your life."
Genesis 3 15,"Enmity will I put between you and the woman, between your seed and her seed:<br>they will bruise you on the head, and you will bruise them in the heel!"
Genesis 3 16,"To the woman he said:<br>I will multiply, multiply your pain [from] your pregnancy;<br>with pains shall you bear children.<br>Toward your husband will be your lust, yet he will rule over you."
Genesis 3 17,"To Adam he said:<br>Because you hearkened to the voice of your wife<br>and ate from the tree about which I commanded you, saying:<br>You are not to eat from it!<br>Cursed be the ground on your account;<br>with painstaking-labor shall you eat from it, all the days of your life."
Genesis 3 18,"Thorn and sting-shrub let it spring up for you,<br>when you [wish to] eat the plants of the field!"
Genesis 3 19,"By the sweat of your nostrils shall you eat bread,<br>until you return to the ground,<br>for from it you were taken.<br>For you are dust, and to dust shall you return."
Genesis 3 20,"The human called his wife’s name: Havva/Life-giver,<br>for she became the mother of all the living."
Genesis 3 21,"<small>YHWH</small> God made Adam and his wife coats of skins, and he clothed them."
Genesis 3 22,"<small>YHWH</small> God said:<br>Here, the human has become like one of us, in knowing good and evil.<br>So now, lest he send forth his hand<br>and take also from the Tree of Life<br>and eat<br>and live throughout the ages . . . !"
Genesis 3 23,"So <small>YHWH</small> God sent him away from the garden of Eden, to work the ground from which he had been taken."
Genesis 3 24,"He drove the human out<br>and caused to dwell, east of the garden of Eden,<br>the winged-sphinxes and the flashing, ever-turning sword<br>to watch over the way to the Tree of Life."
Genesis 4 1,"The human knew Havva his wife;<br>she became pregnant and bore Kayin.<br>She said:<br><i>Kaniti</i>/I-have-gotten<br>a man, along with <small>YHWH</small>!"
Genesis 4 2,"And she continued bearing—his brother, Hevel.<br>Now Hevel became a shepherd of flocks, and Kayin became a worker of the ground."
Genesis 4 3,"It was, after the passing of days,<br>that Kayin brought, from the fruit of the ground, a gift to <small>YHWH</small>,"
Genesis 4 4,"while as for Hevel, he too brought—from the firstborn of his flock, from their fat-parts.<br><small>YHWH</small> had regard for Hevel and his gift,"
Genesis 4 5,but for Kayin and his gift he had no regard.<br>Kayin became exceedingly upset and his face fell.
Genesis 4 6,<small>YHWH</small> said to Kayin:<br>Why are you upset? Why has your face fallen?
Genesis 4 7,"Is it not [thus]:<br>if you intend good, bear-it-aloft,<br>but if you do not intend good,<br>at the entrance is sin, a crouching-demon,<br>toward you his lust—<br>but you can rule over him."
Genesis 4 8,"Kayin said to Hevel his brother . . .<br>But then it was, when they were out in the field<br>that Kayin rose up against Hevel his brother<br>and he killed him."
Genesis 4 9,<small>YHWH</small> said to Kayin:<br>Where is Hevel your brother?<br>He said:<br>I do not know. Am I the watcher of my brother?
Genesis 4 10,Now he said:<br>What have you done!<br>A sound—your brother’s blood cries out to me from the ground!
Genesis 4 11,"And now,<br>cursed be you from the ground,<br>which opened up its mouth to receive your brother’s blood from your hand."
Genesis 4 12,When you wish to work the ground<br>it will not henceforth give its strength to you;<br>wavering and wandering must you be on earth!
Genesis 4 13,Kayin said to <small>YHWH</small>:<br>My iniquity is too great to be borne!
Genesis 4 14,"Here, you drive me away today from the face of the ground,<br>and from your face I must conceal myself,<br>I must be wavering and wandering on earth—<br>now it will be:<br>whoever comes upon me will kill me!"
Genesis 4 15,"<small>YHWH</small> said to him:<br>No, therefore,<br>whoever kills Kayin, sevenfold will it be avenged!<br>So <small>YHWH</small> set a sign for Kayin,<br>so that whoever came upon him would not strike him down."
Genesis 4 16,"Kayin went out from the face of <small>YHWH</small><br>and settled in the land of Nod/Wandering, east of Eden."
Genesis 4 17,"Kayin knew his wife;<br>she became pregnant and bore Hanokh.<br>Now he became the builder of a city<br>and called the city’s name according to his son’s name, Hanokh."
Genesis 4 18,"To Hanokh was born Irad;<br>Irad begot Mehuyael,<br>Mehuyael begot Metushael,<br>Metushael begot Lemekh."
Genesis 4 19,"Lemekh took himself two wives:<br>the name of the [first] one was Ada, the name of the second was Tzilla."
Genesis 4 20,Ada bore Yaval&mdash;<br>he was the father of those who sit amid tent and herd.
Genesis 4 21,His brother’s name was Yuval&mdash;<br>he was the father of all those who play the lyre and the pipe.
Genesis 4 22,"And Tzilla bore as well—Tuval-Kayin,<br>burnisher of every blade of bronze and iron.<br>Tuval-Kayin’s sister was Naama."
Genesis 4 23,"Lemekh said to his wives:<br>Ada and Tzilla, hearken to my voice,<br>wives of Lemekh, give ear to my saying:<br>Aye—a man I kill for wounding me,<br>a lad for [only] bruising me!"
Genesis 4 24,"Aye—if sevenfold vengeance be for Kayin,<br>then for Lemekh, seventy-sevenfold!"
Genesis 4 25,"Adam knew his wife again, and she bore a son.<br>She called his name: Shet/Granted-One,<br>meaning: God has granted me another seed in place of Hevel,<br>for Kayin killed him."
Genesis 4 26,To Shet as well a son was born;<br>he called his name: Enosh/Mortal.<br> At that time they first called out the name of <small>YHWH</small>.
Genesis 5 1,"This is the record of the begettings of Adam/Humankind.<br>At the time of God’s creating humankind,<br>in the likeness of God did he [then] make it,"
Genesis 5 2,male and female he created them<br>and gave blessing to them<br>and called their name: Humankind<br>on the day of their being created.
Genesis 5 3,"Adam lived thirty and a hundred years,<br>and then he begot one in his likeness, according to his image,<br>and called his name Shet."
Genesis 5 4,"And Adam’s days after he begot Shet were eight hundred years, and he begot sons and daughters."
Genesis 5 5,Now all the days that Adam lived were nine hundred years and thirty years;<br>then he died.
Genesis 5 6,"Shet lived five years and a hundred years, and then he begot Enosh."
Genesis 5 7,"And Shet lived after he begot Enosh seven years and eight hundred years, and he begot sons and daughters."
Genesis 5 8,Now all the days of Shet were twelve years and nine hundred years; then he died.
Genesis 5 9,"Enosh lived ninety years, and then he begot Kenan."
Genesis 5 10,"And Enosh lived after he begot Kenan fifteen years and eight hundred years, and he begot sons and daughters."
Genesis 5 11,Now all the days of Enosh were five years and nine hundred years;<br>then he died.
Genesis 5 12,"Kenan lived seventy years, and then he begot Mehalalel."
Genesis 5 13,"And Kenan lived after he begot Mehalalel forty years and eight hundred years, and he begot sons and daughters."
Genesis 5 14,Now all the days of Kenan were ten years and nine hundred years;<br>then he died.
Genesis 5 15,"Mehalalel lived five years and sixty years, and then he begot Yered."
Genesis 5 16,"And Mehalalel lived after he begot Yered thirty years and eight hundred years, and he begot sons and daughters."
Genesis 5 17,Now all the days of Mehalalel were ninety-five years and eight hundred years;<br>then he died.
Genesis 5 18,"Yered lived sixty-two years and a hundred years, and then he begot Hanokh."
Genesis 5 19,"And Yered lived after he begot Hanokh eight hundred years, and he begot sons and daughters."
Genesis 5 20,Now all the days of Yered were sixty-two years and nine hundred years;<br>then he died.
Genesis 5 21,"Hanokh lived sixty-five years, and then he begot Metushelah."
Genesis 5 22,"And Hanokh walked in accord with God after he begot Metushelah three hundred years, and he begot sons and daughters."
Genesis 5 23,Now all the days of Hanokh were sixty-five years and three hundred years.
Genesis 5 24,"Hanokh walked in accord with God,<br>and then he was no more,<br>for God had taken him."
Genesis 5 25,"Metushelah lived eighty-seven years and a hundred years, and then he begot Lemekh."
Genesis 5 26,"And Metushelah lived after he begot Lemekh eighty-two years and seven hundred years, and he begot sons and daughters."
Genesis 5 27,And all the days of Metushelah were sixty-nine years and nine hundred years;<br>then he died.
Genesis 5 28,"Lemekh lived eighty-two years and a hundred years, and then he begot a son."
Genesis 5 29,"He called his name: Noah,<br>saying:<br><i>Zeh yenahamenu</i>/May this-one comfort-our-sorrow<br>from our toil, from the pains of our hands<br>coming from the ground, which <small>YHWH</small> has cursed."
Genesis 5 30,"And Lemekh lived after he begot Noah ninety-five years and five hundred years, and he begot sons and daughters."
Genesis 5 31,Now all the days of Lemekh were seventy-seven years and seven hundred years;<br>then he died.
Genesis 5 32,"Noah was five hundred years old,<br>and then Noah begot Shem, Ham, and Yefet."
Genesis 6 1,"Now it was when humans first became many on the face of the ground<br>and women were born to them,"
Genesis 6 2,"that the divine ones saw how fair the human women were,<br>so they took themselves wives, whomever they chose."
Genesis 6 3,"<small>YHWH</small> said:<br>My rushing-spirit shall not remain in humankind for ages, for they too are flesh;<br>let their days be then a hundred and twenty years!"
Genesis 6 4,"The giants were on earth in those days,<br>and afterward as well,<br>when the divine beings came in to the human women<br>and they bore them [children]—<br>they were the mighty-ones who were of ages [past], the men of name."
Genesis 6 5,<small>YHWH</small> saw<br>that great was humankind’s evildoing on earth<br>and every form of their heart’s planning was only evil all the day.
Genesis 6 6,"Then <small>YHWH</small> was sorry<br>that he had made humankind on earth,<br>and it pained his heart."
Genesis 6 7,"<small>YHWH</small> said:<br>I will blot out humankind, whom I created, from the face of the earth,<br>from man to beast, to crawling thing and to the birds of the heavens,<br>for I am sorry that I made them."
Genesis 6 8,But Noah found favor in the eyes of <small>YHWH</small>.
Genesis 6 9,"These are the begettings of Noah.<br>Noah was a righteous, wholehearted man in his generation;<br>in accord with God did Noah walk."
Genesis 6 10,"And Noah begot three sons: Shem, Ham, and Yefet."
Genesis 6 11,"Now the earth had gone to ruin before God, the earth was filled with wrongdoing."
Genesis 6 12,"God saw the earth, and here, it had gone to ruin,<br>for all flesh had ruined its way upon the earth."
Genesis 6 13,"God said to Noah:<br>An end of all flesh has come before me,<br>for the earth is filled with wrongdoing through them;<br>here, I am about to bring ruin upon them, along with the earth."
Genesis 6 14,"Make yourself an ark of <i>gofer</i> wood;<br>of reeds make the ark,<br>and cover it within and without with a covering-of-pitch."
Genesis 6 15,"And this is how you are to make it:<br>three hundred cubits the length of the ark, fifty cubits its breadth, and thirty cubits its height."
Genesis 6 16,"A skylight you are to make for the ark, and finish it to a cubit upward.<br>The entrance of the ark you are to set in its side;<br>with a lower, a second, and a third deck you are to make it."
Genesis 6 17,"As for me,<br>here, I am about to bring on the Deluge, water upon the earth,<br>to bring ruin upon all flesh that has rush of life in it, from under the heavens;<br>all that is on earth will expire."
Genesis 6 18,"But I will establish my covenant with you:<br>you are to come into the ark, you and your sons and your wife and your sons’ wives with you,"
Genesis 6 19,"and from all living things, from all flesh, you are to bring two from all into the ark, to remain alive with you.<br>They are to be a male and a female [each],"
Genesis 6 20,"from birds after their kind, from herd-animals after their kind, from all crawling things of the ground after their kind,<br>two from all are to come to you, to remain alive."
Genesis 6 21,"As for you,<br>take for yourself from all edible-things that are eaten and gather it to you;<br>it shall be for you and for them, for eating."
Genesis 6 22,"Noah did it,<br>exactly as God commanded him, so he did."
Genesis 7 1,"<small>YHWH</small> said to Noah:<br>Come, you and all your household, into the ark!<br>For you I have seen as righteous before me in this generation."
Genesis 7 2,"From all [ritually] pure animals you are to take seven and seven [each], a male and his mate,<br>and from all the animals that are not pure, two [each], a male and his mate,"
Genesis 7 3,"and also from the birds of the heavens, seven and seven [each], male and female,<br>to keep seed alive upon the face of all the earth."
Genesis 7 4,"For in another seven days<br>I will make it rain upon the earth for forty days and forty nights<br>and will blot out all existing-things that I have made, from the face of the earth."
Genesis 7 5,"Noah did it, exactly as <small>YHWH</small> had commanded him."
Genesis 7 6,"Now Noah was six hundred years old when the Deluge occurred, water upon the earth;"
Genesis 7 7,"and Noah came, his sons and his wife and his sons’ wives with him, into the ark before the waters of the Deluge."
Genesis 7 8,From the pure animals and from the animals that are not pure and from the birds and all that crawls about on the ground—
Genesis 7 9,"two and two [each] came to Noah, into the ark, male and female,<br>as God had commanded Noah."
Genesis 7 10,After the seven days it was<br>that the waters of the Deluge were upon the earth.
Genesis 7 11,"In the six hundredth year of Noah’s life, in the second month, on the seventeenth day of the month,<br>on that day:<br>then burst all the wellsprings of the great Ocean<br>and the sluices of the heavens opened up."
Genesis 7 12,The torrent was upon the earth for forty days and forty nights.
Genesis 7 13,"On that very day came Noah, and Shem, Ham, and Yefet, Noah’s sons, and Noah’s wife and his three sons’ wives with them, into the ark,"
Genesis 7 14,"they and all wildlife after their kind, all herd-animals after their kind, all crawling things that crawl on the earth after their kind, all birds after their kind: all chirping-things, all winged-things;"
Genesis 7 15,"they came to Noah, into the ark, two and two [each] from all flesh in which there is the rush of life."
Genesis 7 16,"And those that came, male and female from all flesh they came,<br>as God had commanded him.<br><small>YHWH</small> closed [the door] upon him."
Genesis 7 17,"Now the Deluge was forty days upon the earth.<br>The waters increased and lifted the ark, so that it was raised above the earth;"
Genesis 7 18,"the waters swelled and increased exceedingly upon the earth, so that the ark floated upon the face of the waters."
Genesis 7 19,"When the waters had swelled exceedingly, yes, exceedingly over the earth, all high mountains that were under all the heavens were covered."
Genesis 7 20,Fifteen cubits upward swelled the waters; thus the mountains were covered.
Genesis 7 21,"Then expired all flesh that crawls about upon the earth—birds, herd-animals, wildlife, and all swarming things that swarm on the earth,<br>and all humans;"
Genesis 7 22,"all that had the breath of the rush of life in their nostrils,<br>all that were on dry-land, died."
Genesis 7 23,"He blotted out all existing-things that were on the face of the ground,<br>from man to beast, to crawling thing and to birds of the heavens;<br>they were blotted out from the earth.<br>Noah alone remained, and those who were with him in the ark."
Genesis 7 24,The waters swelled upon the earth for a hundred and fifty days.
Genesis 8 1,"But God paid mind to Noah and all living-things, all the animals that were with him in the ark,<br>and God brought a rushing-wind across the earth, so that the waters abated."
Genesis 8 2,"The wellsprings of Ocean and the sluices of the heavens were dammed up,<br>and the torrent from the heavens was held back."
Genesis 8 3,"The waters returned from upon the earth, advancing and returning,<br>and the waters diminished at the end of a hundred and fifty days."
Genesis 8 4,"The ark came to rest in the seventh month, on the seventeenth day of the month, upon the mountains of Ararat."
Genesis 8 5,"Now the waters advanced and diminished until the tenth month.<br>In the tenth, on the first day of the month, the tops of the mountains could be seen."
Genesis 8 6,"It was at the end of forty days: Noah opened the window of the ark that he had made,"
Genesis 8 7,"and sent out a raven;<br>it went off, going off and returning, until the waters were dried up from upon the earth."
Genesis 8 8,"Then he sent out a dove from him, to see whether the waters had subsided from the face of the ground."
Genesis 8 9,"But the dove found no resting-place for the sole of her foot,<br>so she returned to him into the ark,<br>for there was water upon the face of all the earth.<br>He sent forth his hand and took her, and brought her to him into the ark."
Genesis 8 10,Then he waited yet another seven days<br>and sent out the dove yet again from the ark.
Genesis 8 11,"The dove came back to him at eventime,<br>and here, a freshly plucked olive leaf in her beak!<br>So Noah knew<br>that the waters had subsided from upon the earth."
Genesis 8 12,"Then he waited yet another seven days<br>and sent out the dove,<br>but she returned to him again no more."
Genesis 8 13,"And so it was in the six hundred and first year, in the beginning-month, on the first day of the month,<br>that the waters left dry-land upon the earth.<br>Noah removed the covering of the ark and saw:<br>here, the face of the ground had dried up."
Genesis 8 14,"Now in the second month, on the twenty-seventh day of the month, the earth was dry."
Genesis 8 15,"God spoke to Noah, saying:"
Genesis 8 16,"Go out of the ark, you and your wife, your sons and your sons’ wives with you."
Genesis 8 17,"All living-things that are with you, all flesh—birds, animals, and all crawling things that crawl about on the earth,<br>bring out with you,<br>that they may swarm on earth, that they may bear fruit and become many on the earth."
Genesis 8 18,"So Noah went out, his sons, his wife, and his sons’ wives with him,"
Genesis 8 19,"all living-things—all crawling things, and all birds, all that crawl about on the earth,:br> according to their clans they went out of the ark."
Genesis 8 20,Noah built a sacrificial-altar to <small>YHWH</small>.<br>He took from all pure animals and from all pure birds<br>and offered up offerings on the altar.
Genesis 8 21,"<small>YHWH</small> smelled the soothing savor<br>and <small>YHWH</small> said in his heart:<br>I will never curse the ground again on humankind’s account, since what the human heart forms is evil from its youth;<br>I will never again strike down all living-things, as I have done;"
Genesis 8 22,"[never] again, all the days of the earth, shall<br>sowing and harvest,<br>cold and heat,<br>summer and winter,<br>day and night<br>ever cease!"
Genesis 9 1,God blessed Noah and his sons and said to them:<br>Bear fruit and be many and fill the earth!
Genesis 9 2,"Fear-of-you, dread-of-you shall be upon all the wildlife of the earth and upon all the birds of the heavens,<br>all that crawls on the ground and all the fish of the sea—<br>into your hand they are given."
Genesis 9 3,"All things crawling about that live, for you shall they be, for eating;<br>as with the green plants, I now give you all."
Genesis 9 4,"However: flesh with its life, its blood, you are not to eat!"
Genesis 9 5,"However, too: for your blood, of your own lives, I will demand- satisfaction—<br>from all wild-animals I will demand it,<br>and from humankind, from each one [regarding] his brother,<br>demand-satisfaction for human life."
Genesis 9 6,"Whoever [now] sheds human blood,<br>for that human shall his blood be shed,<br>for in God’s image he made humankind."
Genesis 9 7,"As for you—bear fruit and be many, swarm on earth and become many on it!"
Genesis 9 8,"And God said to Noah and to his sons with him, saying:"
Genesis 9 9,"As for me—here, I am about to establish my covenant with you and with your seed after you,"
Genesis 9 10,"and with all living beings that are with you: birds, herd-animals, and all the wildlife of the earth with you,<br>all those going out of the ark, of all the living-things of the earth."
Genesis 9 11,"I will establish my covenant with you:<br>All flesh shall never be cut off again by waters of the Deluge; never again shall there be Deluge, to bring the earth to ruin!"
Genesis 9 12,"And God said:<br>This is the sign of the covenant which I set<br>between me and you and all living beings that are with you, for ageless generations:"
Genesis 9 13,"my bow I set in the clouds,<br>that it may serve as a sign of the covenant between me and the earth."
Genesis 9 14,"It shall be:<br>when I becloud the earth with clouds<br>and in the clouds the bow is seen,"
Genesis 9 15,"never again shall the waters become a Deluge, to bring all flesh to ruin!"
Genesis 9 16,"When the bow is in the clouds,<br>I will look at it,<br>to call to mind the age-old covenant<br>between God and all living beings—<br>all flesh that is upon the earth."
Genesis 9 17,God said to Noah:<br>This is the sign of the covenant that I have established between me and all flesh that is upon the earth.
Genesis 9 18,"Noah’s sons who went out of the ark were Shem, Ham, and Yefet;<br>Now Ham is the father of Canaan."
Genesis 9 19,"These three were Noah’s sons, and from these were scattered abroad all the earth-folk."
Genesis 9 20,Noah was the first man of the soil; he planted a vineyard.
Genesis 9 21,He drank from the wine and became drunk and exposed himself in the middle of his tent.
Genesis 9 22,"And Ham, the father of Canaan, saw his father’s nakedness and told his two brothers outside."
Genesis 9 23,"Then Shem and Yefet took a cloak, they put it on the shoulders of the two of them,<br>and they walked backward, and covered their father’s nakedness.<br>—Their faces were turned backward, so their father’s nakedness they did not see."
Genesis 9 24,"Noah awoke from his wine, and it became known [to him] what his littlest son had done to him."
Genesis 9 25,He said:<br>Cursed be Canaan;<br>servant of servants may he be to his brothers!
Genesis 9 26,"And he said:<br>Blessed be <small>YHWH</small>, God of Shem,<br>but may Canaan be servant to them!"
Genesis 9 27,"May God extend/<i>yaft</i><br>Yefet;<br>let him dwell in the tents of Shem,<br>but may Canaan be servant to them!"
Genesis 9 28,Noah lived after the Deluge three hundred years and fifty years.
Genesis 9 29,Now all the days of Noah were nine hundred years and fifty years;<br>then he died.
Genesis 10 1,"Now these are the begettings of the sons of Noah,<br>Shem, Ham, and Yefet.<br>Sons were born to them after the Deluge."
Genesis 10 2,"The Sons of Yefet are Gomer and Magog, Madai, Yavan and Tuval, Meshekh and Tiras."
Genesis 10 3,"The Sons of Gomer are Ashkenaz, Rifat, and Togarma."
Genesis 10 4,"The Sons of Yavan are Elisha and Tarshish, Cittites and Dodanites."
Genesis 10 5,"From these the seacoast nations were divided by their lands,<br>each one according to its own tongue:<br>according to their clans, by their nations."
Genesis 10 6,"Now the Sons of Ham: Cush and Mitzrayim, Put and Canaan."
Genesis 10 7,"And the Sons of Cush: Seva and Havila, Savta, Ra’ma, and Savtekha;<br>and the Sons of Ra’ma: Sheva and Dedan."
Genesis 10 8,Now Cush begot Nimrod; he was the first mighty-one on earth.
Genesis 10 9,"He was a mighty hunter before <small>YHWH</small>;<br>therefore the saying is:<br>Like Nimrod, a mighty hunter before <small>YHWH</small>."
Genesis 10 10,"His kingdom, at the beginning, was Bavel, and Erekh, Accad and Calne, in the land of Shin’ar."
Genesis 10 11,"From this land Ashur went forth and built Nineveh—along with the city squares and Calah,"
Genesis 10 12,and Resen between Nineveh and Calah—that is the great city.
Genesis 10 13,"Mitzrayim begot the Ludites, the Anamites, the Lehavites, the Naftuhites,"
