Index Title,"Maskil LeDavid, Genesis",Found Rashi Ref,Text
"Maskil LeDavid, Genesis 1:6:2",בתוך המים באמצע וכו׳ דק״ל דמדכתיב בתר הכי ויהי מבדיל וכו׳ ממילא שמעי׳ שהוא בתוך המים ואמאי אצטריך בתוך המים אלא ללמד שהוא מכוון באמצע וכו׳ והרא״ם ז״ל כתב לא מפני שמלת תוך מורה על זה כי ובני ישראל הלכו ביבשה בתוך הים איננו באמצע הים גם אונקלוס תרגמו בגו מיא ולא במציעות כמו הכא וכו׳ עיין שם ולע״ד אחר המחילה מדברי רש״י דמייתי זה על בתוך המים נר׳ בהדיא דמלשון בתוך קא דריש וכן משמע נמי מלישנא דאגדה דב״ר דקאמר יהי רקיע בתוך המים ביניים ובנתיים. וקרא דביבשה בתוך הים נמי שפי׳ מדריש הכי שהרי מסיים ביה קרא והמים להם חומה מימינם ומשמאלם וזהו בתוך הים שנחלק הים באמצע חציו נסתלק לימינם והחציו לשמאלם כמין שתי חומות וישראל עברו באמצע והאויר שביניהם לבין המים הנצבים כמו חומה הוה שוה לשתי הצדדין והרי הוא דומה ממש לזה אלא דהכא הרקיע נצב בין המים העליונים לתחתונים והתם ישראל היו נצבים בין שתי החומות שמן הצדדין ואפ׳ שלזה שינה אנקלוס בתרגומו דהכא תרגם במציעות והתם בגו:,,
"Maskil LeDavid, Genesis 1:7:1",ויעש וכו׳ תיקנו וכו׳ נר׳ דקשיא ליה דהואיל ונברא במאמר לא שייך ל׳ עשיה דמשמע עשייה בפועל ובידים ולכך מתרץ לפי הפשט שהוא ל׳ תקון. ושוב מצאתי בב״ר זה א׳ מן המקראות שהרעיש בן זומא את העולם ויעש אתמהא והלא במאמר הן הוי בדבר ה׳ שמים נעשו ע״כ הרי סייעתא למה שכתבתי דשייך להק׳ על לשון ויעש ורש״י ז״ל יישבו כפי הפשט:,,
"Maskil LeDavid, Genesis 1:7:2",מעל לרקיע על וכו׳ הלא מראש כבר הודענו בהקדמתנו דקושטא קאי דבכל מקום שרש״י מזכיר ההרגש בפי׳ צריך לדעת שיש עוד הרגש אחר מבחוץ שהרי אין דרכו של רבינו להזכיר כלל עיקר ההרגש שעליו סמך ובנה פירושו וכדכתיב גם כן לעיל בפ׳ יום אחד וכאן נ״ל שיש לדקדק דאמאי הדר וכתב לרקיע הול״ל ממעל לו א״נ הכל מיותר דהול״ל ויבדל בין מים למים כמ״ש בקרא דלעיל דמובן ממילא ולפי מה שפירש א״ש דמש״ה איכפל וכתביה ללמד דכפי השיעור שיש בין רקיע למים התחתוני׳ ה״נ איכא בין רקיע למים עליונים. ומה שסמך רש״י לזה ומפני מה לא נאמר כי טוב היינו דבשלמא בלא זה הוה קשיא ולא מידי דלא שייך למימ׳ כי טוב בשני הואיל ולא הוה ביה שום חידוש כי מה שנקרש הרקיע אינו שום דבר מחודש והבדל בין מים למים הוא דבר דאתי ממילא ע״י הרקיע אבל השתא שהקדים דהמים העליונים עמדו בו למעלה למעלה ונתלו באוי׳ נמצא שיש כאן דבר חידוש ונס גדול ומעתה ק׳ מ״מ לא נאמר כי טוב ומתרץ לפי שלא נגמרה מלאכת המים עד הג׳ והא דלא כתב בג׳ ג״פ כי טוב א׳ על גילוי היבשה י״ל דגילוי הארץ הוא תחלת המעשה בלבד כי סופו הוא הוצאת הדשא מהארץ ובחד כי טוב סגי וז״ש רש״י והתחיל וגמר מלאכ׳ אחרת ולא קאמר בקצרה ועשה מלאכה אחרת לרמוז מאי דאמרן דאף על גב דלכאורה איכא ב׳ מלאכות אחרות לכי תידוק ליתא דאינו אלא התחלה וגמר ועוד אפ׳ להבין כוונת רש״י במ״ש והתחיל וגמר וכו׳ דאע״ג דלכאורה לא גמר אותה המלאכה דהא אע״ג דכתיב ותוצא הארץ דשא וכו׳ לא יצאו לגמרי אלא על פתח קרקע עמדו עד יום ו׳ כדפירש רש״י לקמן אפ״ה מיקרי גמר בג׳ כיון שעמדו על פתח הרקיע:,,
"Maskil LeDavid, Genesis 1:8:1",ויקרא וכו׳ שא מים וכו׳ דק״ל דמשמעות מלת שמים מורה ריבוי ואמאי קרא לרקיע שמים בל׳ רבי׳ ואי משום דאיכא ז׳ רקיעים ה״נ איכא ז׳ ארצות ואפ״ה כתיב ארץ ולא כתיב ארצות ולכך משני דשם שמים נגז׳ ממלת מים והא דפי׳ בג׳ דרכים היינו דלפי׳ הראשון והוא האמור בב״ר ק׳ שהרי המים העליונים עומדים באויר כדלעיל נמצא שאין הרקיע נושאן ולכך מייתי אידך דבגמ׳ דחגיגה ולפי׳ שני נמי ק׳ דא״כ שחסר אות מ״ם הול״ל מ״ם דשמים דגושה להורות החסרון דבשלמא לפי׳ קמא דהאלף נחה לא מיקרי חסרון וישנה בכח הקמ״ץ דשי״ן כי כן משפט התנועות הגדולות כידוע אבל לפי׳ הב׳ ק׳ לכך מייתי השלישי ועליה נמי ק׳ דאע״ג דהאל״ף ישנה בכח מ״מ צריך להפוך ולפ׳ ש״א כמו א״ש ואע״ג די״ל דאתי שפיר לפי שהאש הוראת דין וכל דין בסוד תשר״ק כנודע מ״מ אין זה קרוב לפשט לכך אצטריכו כלהו:,,
"Maskil LeDavid, Genesis 1:10:1",קרא ימים והלא וכו׳ ה״נ נוכל להרגיש מ״ש מארץ דקראה בלשון יחיד אע״ג דאיכא רבים ושוב מקשי רש״י קושיא עצמית שהרי ים א׳ הוא דהא כתיב יקוו וכו׳ אל מקום א׳ ומשני אינו דומה וכו׳:,,
"Maskil LeDavid, Genesis 1:11:1",עץ פרי שיהא טעם וכו׳ איברא דאיכא למידק על מה סמכ׳ הארץ ששינתה מציווי הקב״ה דלא שייך יצה״ר בארץ ונר׳ שהארץ דייקא דברי השי״ת שאמר עץ פרי עושה פרי דאי הוה קאמ׳ ועושה פרי בוי״ו הוה משמע שפי׳ שהעץ עצמו יהיה פרי וגם יוצא פרי אבל השתא דכתיב עושה פרי בלא וי״ו משמע דתרי מילי נינהו וה״ק קצתם יהיו עץ פרי וקצתם עושה פרי כך הבינה הארץ דבריו של מקום וכך עשתה שהרי יש קצת אילנות שטעם העץ והפרי שוה כגון האתרוג כמ״ש רז״ל פרי עץ הדר שטעם עצו ופריו שוין וכן הפלפלין וכמו שדרשו גבי ערלה כל עץ מאכל להביא עץ שטע׳ עצו ופריו שוה ולמדך שהפלפלין חייבין בערלה. ועם מ״ש ניחא נמי דלא תיקשי דאמאי נטר קב״ה לקלל האדמה עד שחטא אדם ולא קיללה מיד דכיון שלא במרד ולא במעל עשתה זאת אלא שכך הבינה בדבריו של מקום לאו בת עונשין היא אמנם כשחט׳ אדם נפקדת גם היא משו׳ דבשביל שינויה היה מקום לאדם לטעו׳ ואי לא שינתה לא הוה טעי כדבעי למימר והילכך הואיל ובאת תקלה לאדם ע״י שינויה נפקדה ונתקללה והתקלה היא דידוע שחוה הוסיפה על דבריו של מקום ולא תגעו בו ועי״ז גרמה שחטאו שא״ל הנחש כשם שאין מיתה בנגיעה וכולי כמ״ש רז״ל ואמנם איכא למידק מהיכא נפקא לה תוספת זה דודאי לא בכדי בדתה מלבה כן ונר׳ לפי שדקדקה חוה במה שהקב״ה א״ל ומעץ הדט״ו לא תאכל ממנו דהול״ל ומפרי עץ הדט״ו לא תאכל דאטו עץ גופיה בר אכילה הוא אלא ודאי כוונתו ית׳ לרבות הנגיעה בעץ גופיה ואפקי׳ קרא לנגיעה בל׳ אכילה ולא ק׳ דה״נ מצינו דאפקיה לאכיל׳ בל׳ נגיעה בכל קדש לא תגע דאזהרה לאוכל היא כך סברה חוה וטעו׳ זה בא לה לפי שהעץ עצמו לאו בר אכילה הוא לפי שהארץ שינתה מצווי הקב״ה דמסתמא גם זה העץ לא היה טעם עצו ופריו שוה למ״ד גפן או תאנה היה רק למ״ד אתרוג הוה ואע״ג דכתיב טוב העץ למאכל לאו דוקא עץ גופיה אלא כלו׳ עץ שבו מאכל. ואילו הארץ קיימה צווי השי״ת היה שעץ ג״כ ראוי לאכילה וממילא הוה דרשה חוה ומעץ לרבות אכילת העץ גופיה ולא היתה מוספת הנגיעה נמצא שהארץ על ידי שינויה היתה גרמא בנזיקין של אדם לכך נפקדה עמו:,,
"Maskil LeDavid, Genesis 1:14:1",יהי מארת חסר וי״ו וכו׳ אין דרכו של רבינו לדרוש חסרים ומלאים שבתורה שאין כוונתו אלא לבאר פשטי המקרא ואינו מביא דברי אגדה אלא כשמוכרח ליישב איזו קושיא וה״נ כן דהקו׳ מבוארת דכיון דמאורות ל׳ רבים הול״ל יהיו מאורות ואמאי כתוב יהי אלא ע״כ לדרוש יהי יום זה מוכן למארה ליפול אסכרה ב״מ:,,
"Maskil LeDavid, Genesis 1:14:2",להבדיל וכו׳ משנגנז וכו׳ דק״ל דמשמע דעד השתא לא היה הבדל בין היום ובין הלילה והיכי כתיב ויהי ערב ויהי בקר יום א׳ ב׳ ג׳ ולכך מתרץ דהך קרא קאי על אחר ז׳ ימי בראשית אחר שנגנז האור הראשון. ומ״ש רש״י לעיל והבדילו לצדיקים וכו׳ לאו למימרא דמיד ביום ראשון גנזו דהא הכא כתב דשמש כל ז׳ ימים אלא כתב ויבדל ע״ש מה שעשה אחר הז׳ ימים. והמאורות שנתלו ביום ד׳ צ״ל דהוו בימים ההם כשרגא בטיהרא:,Rashi on Genesis 1.14.3,"להבדיל בין היום ובין הלילה. מִשֶּׁנִּגְנַז הָאוֹר הָרִאשׁוֹן, אֲבָל בְּשִׁבְעַת יְמֵי בְרֵאשִׁית שִׁמְּשׁוּ הָאוֹר וְהַחֹשֶׁךְ הָרִאשׁוֹנִים יַחַד בֵּין בַּיּוֹם וּבֵין בַּלַּיְלָה:"
"Maskil LeDavid, Genesis 1:14:3",ולמועדים וכו׳ למולד הלבנה. אף על גב דקרא אתרווייהו קאי הא בחמה נמי תלוים כדאי׳ בפ״ק דר״ה שמור את חדש האביב שמו׳ אביב של תקופה שיהיה וכו׳ ולכך מעברין השנה ע״ש:,,
"Maskil LeDavid, Genesis 1:20:1",שרץ וכו׳ שאינו גבוה וכו׳ זהו ההכרח שהביאו לפרש נפש חיה דלאו בחיה ממש משתעי אלא שיש בה חיות וה״ט שהיפך רש״י סדר הפ׳ שזה כתב לקיים פירושו:,,
"Maskil LeDavid, Genesis 1:21:1",התנינים וכו׳ לדברי אגדה וכו׳ הוצרך לדברי אגדה דאילו כפשוטו ק׳ דהתנינים הוה סגי דאילו שאר דגי׳ הא כתבינהו קרא שרץ נפש חיה וכו׳ והתנינים דהכא ע״כ לבריות שבים וא״כ הגדולים למה לי אבל לפי המדרש ניחא:,,
"Maskil LeDavid, Genesis 1:21:2",נפש חיה וכו׳ שיש וכו׳ הא כבר פירשו רבינו לעיל גבי צווי השי״ת ומ״מ הוצרך למהדר ולמכתביה הכא בעשיה דלא תימא בשלמא לפי פשוטו דהתנינים כולל כל הבריות הגדולות שבים ע״כ הא דכתיב בתר הכי ואת כל נפש החיה מיירי בשאר הדגים שאין להם רגלים ומוכרח לפ׳ נפש שיש בה חיות אבל לפי המד׳ דהתנינים מיירי בלויתן דוקא מעתה נפרש נפש חיה כמשמעו ונימא דמיירי בבריות שבים מש״ה איכפל רש״י לאפוקי מדעתך דליתא דהא כתיב אשר שרצו המים ועוד דא״כ שאר הדגים לא כתיבא עשייתן אבל אם נפרש נפש שיש בה חיות ניחא דהשתא כולל הכל הבריות וגם הדגים דכלהו נפש שיש בה חיות נינהו:,,
"Maskil LeDavid, Genesis 1:22:1",ויברך וכו׳ ואף החיות וכו׳ ומ״מ אף שלא נתברכו החיות בפני עצמם הגיעה להם ברכה בכלל ברכת הדגים והעופות שהרי שוין הן בכמה דברים והואיל ולא היתה ברכה מפורשת להם אלא מכללא איתמ׳ לא חלה רק על הראויין לחול לאפוקי נחש משא״כ אילו נתברכו בפירוש ממילא היה צריך שתחול גם על הנחש לפי מדותיו של הקב״ה שאינו דן אלא באשר הוא שם ובאותה שעה אכתי לא קלקל. והאדם הוצרך לברכה להיותו בר עונשין וכוליה האי ואולי יתקיים ועוד שהכל מתקנאים בו ומה גם דכתיב ותעשה אדם כדגי הים מה דגים וכו׳ כמ״ש רז״ל הילכך הוצרך לברכה פרטית:,,
"Maskil LeDavid, Genesis 1:24:1",תוצא הארץ הוא שפירשתי וכו׳ כלומר דמש״ה כתיב איזה פעמים בלשון זה המורה שלא היתה אלא יציאה וגילוי אותו הדבר ולא עיק׳ הוייתו ובריאתו שזה היה הכל ביום ראשון. ומ״מ לפי האמת לא היה ביום ראשון רק בריאה בכח לא בפועל שהרי לעיל כתב רש״י גבי יום א׳ שהיה קב״ה יחיד בעולמו. שאפי׳ המלאכים לא נבראו עד יום ב׳ א״ו כדאמרן והשתא לא תיקשי לך שמצינו לשון בריאה ממש בשאר ימים כמו ויברא אלהים את התנינים וכו׳ וכן באדם:,,
"Maskil LeDavid, Genesis 1:26:1",נעשה אדם ענותנותו וכו׳ ולפי וכו׳ פי׳ דרבינו ז״ל הוצרך לתרי טעמי חד על עיקר טעם ההמלכה וחד על כתיבתה בתורה דאילו מטעם שלא יקנאו סגי להמלכה בעצמה אבל אין זה מכריח הכתיבה ולכך צריך ג״כ לטעם לימוד הענוה וליכא למימר נמי דמטעם ענוה לחוד סגי דכיון דצריך ליכתב הוצרכה ההמלכה להיות באמת בהכרח דמ״מ אמאי קפיד לעשות לימוד זה בבריאת האדם טפי מכל שאר הנבראים א״ו איכא נמי טעם הקנאה. אחר זמן רב האיר אל עבר פנינו אור חדש ס׳ בני יהודה להרב הגדול מוהרר״י עייאש נר״ו וראיתי שם בלשונות רש״י שכתב כדברינו וחדאי נפשאי שזכיתי בעניי להיות פותח כוון לדעת עליון. אריא דבי עילאי:,,
"Maskil LeDavid, Genesis 1:26:2",בצלמנו בדפוס שלנו. אינו נר׳ לפע״ד מ״ש המפרשים ז״ל שהכרחו של רבינו לפי שאין למעלה שום צלם ותמונה כדכתיב כי לא ראיתם כל תמונה שהרי בתר הכי על בצלם אלהים ברא אותו פי׳ רבינו צלם דיוקן יוצרו הוא וע״ד שמתבאר שם יוכל להתפרש גם בכאן אלא נראה שכוונתו לדייק שינוי הלשון דכתיב בצלמנו כדמותנו ואי הוה כתיב כצלמנו בכף כמו כדמותנו בודאי היה מפרש ה״נ כצלם דיוקן שלנו אבל מדשני קרא וכתב בצלמנו בבי״ת מכח זה ניחא ליה לפ׳ בדפוס שלנו ותהיה בית דבצלמנו בי״ת הכלי כמו בזעת אפיך וכן רבים ועפי״ז נמי ניחא מאי דכתיב לקמיה בצלמו בצלם אלהים וכו׳ דאל״כ הרי הלשון כפול:,,
"Maskil LeDavid, Genesis 1:26:3",וירדו וכו׳ יש בל׳ הזה וכו׳ כלו׳ מדלא כתיב וימשלו כדכתיב אח״כ ואתה תמשל בו ש״מ בא לידרש מקרא ומסורת ירדו בחיר״ק היו״ד מל׳ רידוי ששרשו רדה וירדו ביו״ד ציר״י מלשון ירידה ששרשו ירד ולפי המקרא בי״ת דבדגת הים א״ש כפשטה אמנם לפי המסורת צריך לפ׳ שהוא בי״ת במקום מ״ם ויהיה פירושו וירדו מדגת הים וכו׳ שכן מצינו בשמושי הבי״ת שפעמים משמשת במקום מ״ם כמו והנותר בבשר ובלחם וגו׳:,,
"Maskil LeDavid, Genesis 1:27:1",זכר ונקבה וכו׳ ולהלן וכו׳ ההרגש שמבחוץ דברישא כתיב בצלם אלהים ברא אותו והדר כתיב זכר ונקבה ברא אתם נמצא סתירה בפסוק עצמו מניה וביה ועם מה שפירש״י מיושב שהיו דו פרצופין דבוקין וכחד חשיבי והילכך א״ש מאי דכתיב ברישא בצלם אלהים ברא אותו:,,
