sefaria_key,bonayich,bonayich_name,comments
Rabbi Yishmael b. Elisha,1979,ישמעאל (בן אלישע [ב]),
Rabbi Yishmael b. Yose,1986,ישמעאל ברבי יוסי,
Rabbi Yishmael b. Yohanan b. Berokah,1985,ישמעאל בנו של רבי יוחנן בן ברוקה,
Rabbi Kohen,2001,כהן,
Rav Kahana (II),2004,כהנא [ב],
Rav Kahana (V),2007,כהנא [ה],
Rav Kahana (III),2005,כהנא [ג],
Rav Kahana (I),2003,כהנא [א],
Rav Kahana (IV),2006,כהנא [ד],
Rabbi Levi,2031,לוי,
Levi b. Sisi,2032,לוי (בר סיסי),
Rabbi Meir,2068,מאיר,
Rabbi Mana (II),2096,מנא [א],
Rabbi Mana (I),2097,מנא [ב],
Mar b. Rav Ashi,2156,מר בר רב אשי,
Mar Zutra,2161,מר זוטרא [א] (חסידא),unsure whether Sefaria's tagged Jewish Encyclopedia link gets the right one. Correspondence based on generation
Mar Ukva,2423,עוקבא [א],
Rav Mesharshiya,2206,משרשיא [א],
Rav Matenah,2224,מתנה [א],
Nahum of Gamzo,2244,נחום איש גם זו,
Rabbi Nehunya b. haKanah,2260,נחוניא בן הקנה,
Rabbi Nehemyah,2266,נחמיה [א],
Rav Nahman b. Hisda,2296,נחמן בר רב חסדא,
Rav Nahman b. Ya'akov,2285,נחמן (בר יעקב),
Rav Nahman b. Yitzhak,2298,נחמן בר יצחק,
Nittai haArbeli,2318,ניתאי הארבלי,
Rabbi Natan haBavli,2330,נתן [א],
Summakhos,2361,סומכוס,
Ulla,2409,עולא (נחותא/ בר ישמעאל),
Azaryah,2435,עזרא/ עזריה,
Rabbi Il'ai (II),368,אילעאי [ב],
Rabbi Il'ai (I),367,אילעאי [א] (הזקן),
Akavyah b. Mahalal'el,2462,עקביא בן מהללאל,
Rabbi Akiva,2465,עקיבא [א] (בן יוסף),
Rabbi Pinehas b. Yair,2508,פנחס בן יאיר,
Rabbi Pinehas b. Hama,2498,פנחס,
Rav Pappa,2518,פפא,
Rav Pappai,2533,פפי [ב],
Rabbi Tzadok (II),2547,צדוק [ב],"Sefaria has as T5, which is close enough to A1 aleph, I suppose"
Rabbi Tzadok (I),2546,צדוק [א],
Rav Ketina,2556,קטינא,
Karna,2572,קרנא,
Rav,2578,רב,
Rava,2582,רבא [א],
Rabbah b. Avuha,2586,רבה בר אבוה,
Rabbah b. b. Hanah,2594,רבה בר בר חנה,
Rabbah b. Hanah,2600,רבה בר חנה,
Rabbah b. Nahmani,2581,רבה (בר נחמני),
Rabbah b. Rav Huna,2596,רבה בר רב הונא,
Rabbah Tosafa'ah,2639,רבא תוספאה,
Ravin,139,רבין (אבין [א]),
Ravina (I),2646,רבינא [א],
Ravina (II) b. Huna,2647,רבינא [ב],
Rahava of Pumbedita,2668,רחבא [א] (דפומבדיתא),
Rami b. Hama,2681,רמי בר חמא,
Rafram (I),2690,רפרם [א],
Rafram (II),2691,רפרם [ב],
Rav Shela,2722,שילא [א],
Rav Shesha b. Rav Idi,2744,שישא בריה דרב אידי,
Shammai,2758,שמאי,
Shmuel,2763,שמואל [ב],
Rabbi Shmuel b. Yitzhak,2795,שמואל בר רב יצחק,
Rabbi Shmuel b. Nahmani,2800,שמואל בר נחמני,
Rabbi Shmuel b. Yose b. Boon,2791,שמואל בריה דרבי יוסי בי רבי בון,
Shmuel haKatan,2814,שמואל הקטן,
Rabbi Shimon b. Elazar,2846,שמעון בן אלעזר,
Rabbi Simlai,2824,שמלאי (הדרומי),
Rabbi Shimon b. Abba,2839,שמעון בר אבא,
Rabban Shimon b. Gamliel (II),2852,שמעון בן גמליאל [ב],
Rabban Shimon b. Gamliel (I),2851,שמעון בן גמליאל [א],
Shimon b. Zoma,2856,(שמעון) בן זומא,
Shimon b. Halafta,2861,שמעון בן חלפתא,
Rabbi Shimon b. Yehudah,2864,שמעון בן יהודה (איש כפר עכו),
Rabbi Shimon b. Lakish,2879,שמעון בן לקיש/ ריש לקיש,
Rabbi Shimon b. Menasya,2881,שמעון בן מנסיא,
Rabbi Shimon b. Nannas,2885,(שמעון) בן ננס,
Shimon b. Azzai,2888,(שמעון) בן עזאי,
Rabbi Shimon b. Pazzi,2891,שמעון בן פזי,
Rabbi Shimon b. Rabbi,2896,שמעון בר רבי,
Shimon b. Shetach,2898,שמעון בן שטח,
Rabbi Shimon b. Yohai,2830,שמעון (בן יוחאי),
Shimon haTzaddik,2908,שמעון הצדיק,
Shemayah,2924,שמעיה [א],
Rav Sheshet,2938,ששת,
Rabbi Tanhuma b. Abba,2993,תנחומא,
Rabbi Eliezer b. Ya'akov (II),451,אליעזר בן יעקב [ב],
Tzadok,null,null,
Boethus,null,null,there is a beit baytut
Rabbi Dostai b. R' Yannai,859,דוסתאי ברבי ינאי,
Rabbi Eliezar Hisma,489,אלעזר חסמא,
Rabbi Levitas of Yavneh,2050,לויטס איש יבנה,
Rabbi Nehorai,2231,נהוראי [א],
Rabbi Mattia b. Heresh,2221,מתיא בן חרש,
Rabbi Yose b. Yehudah of Kefar haBavli,1696,יוסי בר יהודה איש כפר הבבלי,
Yehudah b. Tema,1494,יהודה בן תימא,
Ben Bag Bag,1576,(יוחנן) בן בג בג,
Rabbi Yose b. Kisma,1726,יוסי בן קיסמא,
Nahum haMedi,2250,נחום המדי,
Hananyah b. Hizkiyah b. Garon,1245,חנניה בן חזקיה (בן גרון/גוריון),
Rabbi Pappeyas,2534,פפייס,
Shimon haPaqoli,2907,שמעון הפקולי,
Rabbi Yohanan b. Torta,1600,יוחנן בן תורתא,
Pappos b. Yehudah,2531,פפוס בן יהודה,
Rabbi Yose b. Dormasqit,1679,יוסי בן דורמסקית,
Rabbi Eliezar b. Parta,473,אלעזר בן פרטא [א],
Rabbi Elazar b. Yehudah of Bartota,443,אלעזר בן יהודה (איש ברתותא),
Shimon haTimni,2912,שמעון התימני,
Rabbi Shimon haShiqmoni,2911,שמעון השקמוני,
Rabbi Hidqa,1060,חדקא,
Rabbi Yoshiah,1385,יאשיה [א],
Abba Hanan,1301,חנין,
Rabbi Yose b. Yasyan,1693,(יוסי) בן יאסין,
Rabbi Hananyah b. Akabia,1272,חנינא בן עקיבא,
Issi b. Yehudah,548,איסי בן עקיבא,conflation based on identification on Yoma 52. This isn't law of conservation of *Tannaitic* personalities?
Rabbi Reuven b. Itztrobeli,2577,ראובן בן איצטרובילי,
Abba Yose b. Dostai,1677,יוסי בן דוסאי,misspelling?
Rabbi Achai b. Yoshiah,256,אחא [א],
Rabbi Ya'akov b. Qorshai,1831,יעקב [א] (בן קרשי),
Rabbi Yitzhak,1884,יצחק [א],
Rabbi Dosa,850,דוסא,"likely human error in Sefaria here, copying the T6 from the next entry, Dostai ben Yehuda. The correspondence is to an A3 rather than a T6."
Rabbi Dostai b. Yehuda,858,דוסתאי בן יהודה,
Rabbi Yose b. Kippar,1710,יוסי בן כיפר,
Rabbi Menahem b. R' Yose,2111,מנחם (ברבי יוסי),
Rabbi Yose b. haMeshullam,1683,יוסי בן המשולם,
Rabbi Shimon b. R' Yose b. Laqonya,2870,שמעון ברבי יוסי בן לקוניא,
Rabbi Banna'ah,687,בנאה,
Shimon b. Netanel,2887,שמעון בן נתנאל,
Rabbi Halafta of Kefar Hanania,1153,חלפתא איש כפר חנניה,
#rabbi-hanina,1211,חנינא [א],
Rav Aha brei d' R' Iqa,270,אחא בריה דרב איקא,
Rav Yitzhak b. Yosef,1915,יצחק בר יוסף,
Rabbi Yehudah b. Ro'etz,1484,יהודה בן רועץ,
Rami b. Abba,2676,רמי בר אבא [א],
Yohanan b. Dahavai,1580,יוחנן בן דהבאי,
Onkelos,2472,עקילס הגר,
