Slug,En,He
rav-yehudah-b-ishtata,Rav Yehudah b. Ishtata,רב יהודה בר אישתתא
rav-yosef-b-chama,Rav Yosef b. Chama,רב יוסף בר חמא
rav-yosef-b-r-yehoshua,Rav Yosef b. R. Yehoshua,רב יוסף בריה דר יהושע
rav-yosef-b-rava,Rav Yosef b. Rava,רב יוסף בריה דרבא
rav-yechezkel,Rav Yechezkel,רב יחזקאל
rav-yeiva-the-elder,Rav Yeiva the Elder,רב ייבא סבא
rav-yitzhak-b-bisna,Rav Yitzhak b. Bisna,רב יצחק בר ביסנא
rav-yitzhak-b-rabbi,Rav Yitzhak b. Rabbi,רב יצחק ברבי
rav-yitzhak-b-rav-yehudah,Rav Yitzhak b. Rav Yehudah,רב יצחק בריה דרב יהודה
rav-kahana,Rav Kahana,רב כהנא
rav-malkiyu,Rav Malkiyu,רב מלכיו
rav-menashe,Rav Menashe,רב מנשה
rav-mordekhai,Rav Mordekhai,רב מרדכי
rav-mari-b-rachel,Rav Mari b. Rachel,רב מרי בר רחל
rav-mari-b-rachel1,Rav Mari [b. Rachel],רב מרי
rav-nahman-b-yaakov,Rav Nahman b. Ya'akov,רב נחמן בר יעקב
rav-natan-b-asiya,Rav Natan b. Asiya,רב נתן בר אסיא
rav-sechorah,Rav Sechorah,רב סחורה
rav-sama,Rav Sama,רב סמא
rav-seoram,Rav Se'oram,רב סעורם
rav-safra,Rav Safra,רב ספרא
rav-avira-the-elder,Rav Avira the Elder,רב עוירא סבא
rav-avira,Rav Avira,רב עוירא
rav-ulla-b-abba,Rav Ulla b. Abba,רב עולא בר אבא
rav-ullla-b-rav-iiai,Rav Ullla b. Rav II'ai,רב עולא בריה דרב עילאי
rav-ukva-b-chama,Rav Ukva b. Chama,רב עוקבא בר חמא
rav-ilish,Rav Ilish,רב עיליש
rav-amram-the-pious,Rav Amram the Pious,רב עמרם חסידא
rav-amram,Rav Amram,רב עמרם
rav-anan-b-tachlifa,Rav Anan b. Tachlifa,רב ענן בר תחליפא
rav-anan,Rav Anan,רב ענן
rav-pinchas-b-rav-hisda,Rav Pinchas b. Rav Hisda,רב פנחס בן רב חסדא
rav-pappa-b-shmuel,Rav Pappa b. Shmuel,רב פפא בר שמואל
rav-pappi,Rav Pappi,רב פפי
rav-rechumi,Rav Rechumi,רב רחומי
rav-shimi-bar-ashi,Rav Shimi bar Ashi,רב שימי בר אשי
rav-shmuel-b-abba,Rav Shmuel b. Abba,רב שמואל בר אבא
rav-shmuel-b-bisna,Rav Shmuel b. Bisna,רב שמואל בר ביסנא
rav-shmuel-b-zutra,Rav Shmuel b. Zutra,רב שמואל בר זוטרא
rav-shmuel-b-yehudah,Rav Shmuel b. Yehudah,רב שמואל בר יהודה
rabbi-shmuel-b-shilat,Rabbi Shmuel b. Shilat,רב שמואל בר שילת
rava-b-sharshom,Rava b. Sharshom,רבא בר שרשום
rabbah-b-rav-natan,Rabbah b. Rav Natan,רבה בר רב חנן
rabbi-abba-b-zutra,Rabbi Abba b. Zutra,רבי אבא בר זוטרא
rabbi-abba-b-pappa,Rabbi Abba b. Pappa,רבי אבא בר פפא
rabbi-abba-from-acre,Rabbi Abba from Acre,רבי אבא דמן עכו
rabbi-avina,Rabbi Avina,רבי אבינא
rabbi-aviyatar,Rabbi Aviyatar,רבי אביתר
rabbi-acha-b-ulla,Rabbi Acha b. Ulla,רבי אחא בר עולא
rabbi-acha-sar-habirah,Rabbi Acha Sar Habirah,רבי אחא שר הבירה
rabbi-achi-b-yoshayah,Rabbi Achi b. Yoshayah,רבי אחי בר יאשיה
rabbi-alexandri,Rabbi Alexandri,רבי אלכסנדרי
rabbi-ilai,Rabbi Il'ai,רבי אלעאי
rabbi-ami-and-rabbi-asi,Rabbi Ami and Rabbi Asi,רבי אמי ורבי אסי
rabbi-bon,Rabbi Bon,רבי בון
rabbi-dostai-b-yannai,Rabbi Dostai b. Yannai,רבי דוסתאי בר ינאי
rabbi-hiyya-b-zarnokei,Rabbi Hiyya b. Zarnokei,רבי חייא בר זרנוקי
rabbi-hiyya-parvaah,Rabbi Hiyya Parvaah,רבי חייא פרוואה
rabbi-chana-b-bizna,Rabbi Chana b. Bizna,רבי חנא בר ביזנא
rabbi-chana-b-chanilai,Rabbi Chana b. Chanilai,רבי חנא בר חנילאי
rabbi-chana-petoraah,Rabbi Chana Petoraah,רבי חנא פתוראה
rabbi-hanina-b-yosef,Rabbi Hanina b. Yosef,רבי חנינא בר יוסף
rabbi-tavla,Rabbi Tavla,רבי טבלא
rabbi-yehudah-hinduah,Rabbi Yehudah Hinduah,רבי יהודה הנדואה
rabbi-yudan,Rabbi Yudan,רבי יודן
rabbi-yonatan-b-akhmai,Rabbi Yonatan b. Akhmai,רבי יונתן בן עכמאי
rabbi-yose-b-asyan,Rabbi Yose b. Asyan,רבי יוסי בר אסיין
rabbi-yannai-b-yishmael,Rabbi Yannai b. Yishmael,רבי ינאי בר ישמעאל
rabbi-kruspedai,Rabbi Kruspedai,רבי כרוספדאי
rabbi-miasha-b-b-r-yehoshua,Rabbi Miasha b. b. R. Yehoshua,רבי מיאשא בר בריה דר יהושע
rabbi-menachem-b-simai,Rabbi Menachem b. Simai,רבי מנחם בר סימאי
rabbi-ezra,Rabbi Ezra,רבי עזרא
rabbi-pinchas,Rabbi Pinchas,רבי פנחס
rabbi-perida,Rabbi Perida,רבי פרידא
rabbi-romanus,Rabbi Romanus,רבי רומנוס
rabbi-sheila,Rabbi Sheila,רבי שילא
rabbi-shmuel-b-sustrai,Rabbi Shmuel b. Sustrai,רבי שמואל בן סוסרטיי
rabbi-shmuel-b-yose,Rabbi Shmuel b. Yose,רבי שמואל בר רבי יוסי
rabbi-shimon-b-eliyakim,Rabbi Shimon b. Eliyakim,רבי שמעון בן אליקים
rabbi-shimon-b-yehotsadak,Rabbi Shimon b. Yehotsadak,רבי שמעון בן יהוצדק
rabbi-tanchum-b-chiya,Rabbi Tanchum b. Chiya,רבי תנחום בר חייא
rabbi-tanchum-b-chanilai,Rabbi Tanchum b. Chanilai,רבי תנחום בן חנילאי
rabbi-tanchum-b-isblostika,Rabbi Tanchum b. Isblostika,רבי תנחום בר איסבלוסטיקא
rabbi-tanchum,Rabbi Tanchum,רבי תנחום
ravin-the-pious,Ravin the Pious,רבין חסידא
ravin-the-elder,Ravin the Elder,רבין סבא
ravina,Ravina,רבינא
rami-b-yechezkel,Rami b. Yechezkel,רמי בר יחזקאל
rami-b-tamrei,Rami b. Tamrei,רמי בר תמרי
rafram-b-pappa,Rafram b. Pappa,רפרם בר פפא
rafram,Rafram,רפרם
sheila-bar-avina,Sheila bar Avina,שילא בר אבינא
king-shapur,King Shapur,שבור מלכא
onkelos,Onkelos,אונקלוס
that-man,"""That Man""",אותו האיש
ema-shalom,Ema Shalom,אימא שלום
ben-stada,Ben Stada,בן סטדא
ben-sira,Ben Sira,בן סירא
ben-temalyon,Ben Temalyon,בן תמליון
benjamin-the-just,Benjamin the Just,בנימין הצדיק
gevia-ben-pesisa,Gevi'a ben Pesisa,גביעא בן פסיסא
rabbi-eliezer-b-horkenos,Rabbi Eliezer b. Horkenos,רבי אליעזר בן הורקנוס
tavi,Tavi,טבי
titus,Titus,טיטוס
judah-the-son-of-converts,Judah the Son of Converts,יהודה בן גרים
joseph-the-priest,Joseph the Priest,יוסף הכהן
yokim-the-man-of-tsrorot,"Yokim, the Man of Tsrorot",יקום איש צרורות
yishmael-ben-pavi,Yishmael ben Pavi,ישמעאל בן פיאבי
issachar-the-man-of-kfar-barkai,"Issachar, the Man of Kfar Barkai",יששכר איש כפר ברקאי
kalva-savua,Kalva Savua,כלבא שבוע
luleyanus-and-pappas,Luleyanus and Pappas,לולינוס ופפוס
munbaz,Munbaz,מונבז
miriam-the-daughter-of-boethus,"Miriam, the Daughter of Boethus",מרים בת בייתוס
miriam-the-daughter-of-bilgah,"Miriam, the Daughter of Bilgah",מרים בת בלגה
miriam-the-daughter-of-nakdimon,"Miriam, the Daughter of Nakdimon",מרים בת נקדימון
miriam-of-tarmod,Miriam of Tarmod,מרים התרמודית
marta-the-daughter-of-boethus,"Marta, the Daughter of Boethus",מרתא בת בייתוס
nikanor,Nikanor,ניקנור
nakdimon,Nakdimon,נקדימון
ketiya-b-shalom,Ketiya b. Shalom,קטיעה בר שלום
cleopatra,Cleopatra,קליאופטרא
kimchit,Kimchit,קמחית
abba-binyamin,Abba Binyamin,אבא בנימין
abba-hilkiyah,Abba Hilkiyah,אבא חלקיה
abba-yudan,Abba Yudan,אבא יודן
abba-shaul-b-botnit,Abba Shaul b. Botnit,אבא שאול בן בטנית
abba-tachanah,Abba Tachanah,אבא תחנה
admon,Admon,אדמון
the-sons-of-betera,The Sons of Betera,בני בתירא
hillel-b-rabban-gamliel,Hillel b. Rabban Gamliel,הלל בן רבן גמליאל
chutspit-the-translator,Chutspit the Translator,חוצפית המתורגמן
chanan-ben-avshalom,Chanan ben Avshalom,חנן בן אבישלום
chanan-the-egyptian,Chanan the Egyptian,חנן המצרי
chanan-hanechba,Chanan Hanechba,חנן הנחבא
yehudah-b-dortai,Yehudah b. Dortai,יהודה בן דורתאי
yehoshua-b-gamla,Yehoshua b. Gamla,יהושע בן גמלא
yochanan-the-high-priest,Yochanan the High Priest,יוחנן כהן גדול
yonatan-b-amram,Yonatan b. Amram,יונתן בן עמרם
yose-b-simai,Yose b. Simai,יוסי בן סימאי
nahum-the-man-of-the-most-holy,"Nahum, the Man of the Most Holy",נחום איש קודש קדשים
nechamiah-of-beit-deli,Nechamiah of Beit Deli,נחמיה איש בית דלי
peleimu,Peleimu,פלימו
rabbi-yehudah-b-kenosa,Rabbi Yehudah b. Kenosa,ר יהודה בן קנוסא
rabbi-yehoshua-b-r-akiva,Rabbi Yehoshua b. R. Akiva,ר יהושע בן ר עקיבא
rabbi-yochanan-b-matia,Rabbi Yochanan b. Matia,ר יוחנן בן מתיא
rabbi-yochanan-hachorani,Rabbi Yochanan Hachorani,ר יוחנן החורני
rabbi-yose-b-chanina,Rabbi Yose b. Chanina,ר יוסי בר חנינא
rabbi-yose-of-pikiin,Rabbi Yose of Piki'in,ר יוסי דפקיעין
rabbi-yishmael-b-piavi,Rabbi Yishmael b. Piavi,ר ישמעאל בן פיאבי
rabbi-eliezer-b-yaakov,Rabbi Eliezer b. Ya'akov,רבי אליעזר בן יעקב
rabbi-elazar-b-dordaya,Rabbi Elazar b. Dordaya,רבי אלעזר בן דורדיא
rabbi-elazar-b-dima,Rabbi Elazar b. Dima,רבי אלעזר בן דמה
rabbi-elazar-b-charsum,Rabbi Elazar b. Charsum,רבי אלעזר בן חרסום
rabbi-elazar-b-tzadok,Rabbi Elazar b. Tzadok,רבי אלעזר בן צדוק
rabbi-elazar-b-yose,Rabbi Elazar b. Yose,רבי אלעזר בר יוסי
rabbi-zakkai,Rabbi Zakkai,רבי זכאי
rabbi-zechariah-b-avkolas,Rabbi Zechariah b. Avkolas,רבי זכריה בן אבקולס
rabbi-zechariah-b-hakatzav,Rabbi Zechariah b. Hakatzav,רבי זכריה בן הקצב
rabbi-chami-b-chaninah,Rabbi Chami b. Chaninah,רבי חמי בר חנינה
rabbi-hanina-the-son-of-rabbi-yehoshuas-brother,"Rabbi Hanina, the Son of Rabbi Yehoshua's Brother",רבי חנינא בן אחי ר יהושע
rabbi-hanina-b-elazar,Rabbi Hanina b. Elazar,רבי חנינא בן אלעזר
rabbi-hanina-b-antigonos,Rabbi Hanina b. Antigonos,רבי חנינא בן אנטיגנוס
rabbi-hananyah,Rabbi Hananyah,רבי חנניה
rabbi-yehudah-b-betera,Rabbi Yehudah b. Betera,רבי יהודה בן בתירא
rabbi-yehudah-b-nechemiah,Rabbi Yehudah b. Nechemiah,רבי יהודה בר נחמיה
rabbi-yehoshua-b-petter-rosh,Rabbi Yehoshua b. Petter Rosh,רבי יהושע בן פתר ראש
rabbi-yohanan-b-gudgada,Rabbi Yohanan b. Gudgada,רבי יוחנן בן גודגדא
rabbi-yeshevav,Rabbi Yeshevav,רבי ישבב
rabbi-nehunya-the-well-digger,Rabbi Nehunya the Well-digger,רבי נחוניא חופר שיחין
rabbi-nehunya,Rabbi Nehunya,רבי נחוניא
rabbi-pedat,Rabbi Pedat,רבי פדת
rabbi-pinchas-b-arova,Rabbi Pinchas b. Arova,רבי פנחס בר ערובא
rabbi-shimon-b-netanel,Rabbi Shimon b. Netanel,רבי שמעון בן נתנאל
shimon-haamasoni,Shimon haAmasoni,שמעון העמסוני
shamaya-and-avtalyon,Shamaya and Avtalyon,שמעיה ואבטליון
shlomtsion,Shlomtsion,שלומציון
rabbi-meir-elisha-b-avuyah-the-other-and-bruriah,"Rabbi Meir, Elisha b. Avuyah (""The Other""), and Bruriah","רַ' מֵאִיר, אֱלִישַׁע בֶּן אֲבוּיָה (אַחֵר), בְּרוּרְיָה"
kamtza,Kamtza,קמצא
