Index Title,Guide for the Perplexed,le français d'origine,
"Guide for the Perplexed, Introduction, Prefatory Remarks 3",״הט אזנך ושמע דברי חכמים ולבך תשית לדעתי״:,"Prête l'oreille, et écoute les paroles des sages, et applique ton cœur à ma science (Prov. XXII, 17).",
"Guide for the Perplexed, Introduction, Prefatory Remarks 4",המאמר הזה ענינו הראשון – לבאר עניני שמות באו בספרי הנבואה. מהשמות ההם – שמות משתתפים ויקחום הפתאים כפי קצת הענינים אשר יאמר עליהם השם ההוא המשתתף. ומהם – משאלים ויקחום גם כן כפי הענין הראשון אשר השאלו ממנו. ומהם – מספקים פעם יחשב בהם שהם יאמרו בהסכמה ופעם יחשב בהם שהם משתתפים. ואין הכונה במאמר הזה – להבינם כלם להמון ולא למתחילים בעיון ולא ללמד מי שלא יעין רק בחכמת התורה – רצוני לומר תלמודה – כי ענין המאמר הזה כלו וכל מה שהוא ממינו הוא – חכמת התורה על האמת.,"Ce traité a d'abord pour but d'expliquer le sens de certains noms fn11 qui se présentent dans les livres prophétiques. Parmi ces noms il y en a qui sont homonymes, mais que les ignorants prennent dans l'un des sens dans lequel l'homonyme est employé; d'autres sont métaphoriques, et on les prend dans le sens primitif dont la métaphore est empruntée; d'autres enfin sont amphibologiques, de sorte que tantôt on croit qu'ils sont employés comme noms appellatifs fn12 et tantôt on se figure qu'ils sont homonymes  fn13. Le but de ce traité n'est point de faire comprendre tous ces noms au commun des hommes ou à ceux qui commencent à étudier, ni d'instruire celui qui n'étudie que la science de la Loi, je veux dire son interprétation traditionnelle fn14; ",
"Guide for the Perplexed, Introduction, Prefatory Remarks 5",אבל כונת המאמר הזה – להעיר איש בעל דת שהרגלה בנפשו ועלתה בהאמנתו אמיתת תורתנו והוא שלם בדתו ובמידותיו ועין בחכמות הפילוסופים וידע עניניהם ומשכו השכל האנושי להשכינו במשכנו והציקוהו פשטי התורה ומה שלא סר היותו מבין מדעתו או הבינתהו זולתו מעניני השמות ההם המשתתפים או המשאלים או המספקים; ונשאר במבוכה ובהלה אם שימשך אחרי שכלו וישליך מה שידעהו מהשמות ההם ויחשוב שהוא השליך פנות התורה; או שישאר עם מה שהבינו מהם ולא ימשך אחר שכלו אך ישליכהו אחרי גוו ויטה מעליו ויראה עם זה שהוא הביא עליו הפסד ונזק בתורתו; וישאר עם המחשבות ההם הדמיוניות והוא מפניהם בפחד וכובד ולא יסור מהיות בכאב לב ובמבוכה גדולה:,"car le but de ce traité tout entier et de tout ce qui est de la même espèce fn15 est la science de la Loi dans sa réalité, ou plutôt il a pour but de donner l'éveil à l'homme religieux chez lequel la vérité de nôtre Loi est établie dans l'âme et devenue un objet de croyance, qui est parfait dans sa religion et dans ses mœurs, qui a étudié les sciences des philosophes et en connaît les divers sujets, et que la raison humaine a attiré et guidé pour le faire entrer sur son domaine, mais qui est embarrassé par le sens extérieur (littéral) de la Loi et par ce qu'il a toujours compris ou qu'on lui a fait comprendre du sens de ces noms homonymes, ou métaphoriques, ou amphibologiques, de sorte qu'il reste dans l'agitation et dans le trouble. Se laissera-t-il guider par sa raison et rejettera-t-il ce qu'il a appris en fait de ces noms? Il croira alors avoir rejeté les fondements de la Loi. Ou bien s'en tiendra-t-il à ce qu'il en a compris fn16 sans se laisser entraîner par sa raison? Il aura donc tourné le dos à la raison et il s'en sera éloigné, croyant néanmoins avoir subi un dommage et une perte dans sa religion, et persistant dans ces opinions imaginaires par lesquelles il se sentira inquiété et oppressé, de sorte qu'il ne cessera d'éprouver des souffrances dans le cœur et un trouble violent.",
"Guide for the Perplexed, Introduction, Prefatory Remarks 6",ובכלל המאמר הזה – כונה שניה והיא – באור משלים סתומים מאד שבאו בספרי הנביאים ולא פרש שהם משל אבל יראה לסכל ולנבהל שהם כפשוטיהם ואין תוך בהם וכשיתבונן בהם היודע באמת ויקחם על פשוטיהם תתחדש לו גם כן מבוכה גדולה; וכשנבאר המשל ההוא או נעורר על היותו משל ימלט וינצל מן המבוכה ההיא. ולזה נקרא המאמר הזה מורה הנבוכים:,"Ce traité a encore un deuxième but: c'est celui d'expliquer des allégories très obscures qu'on rencontre dans les livres des prophètes sans qu'il soit bien clair que ce sont des allégories, et qu'au contraire l'ignorant et l'étourdi prennent dans leur sens extérieur sans y voir un sens ésotérique. Cependant, si un homme véritablement instruit les examine, il en résulte également pour lui un trouble violent lorsqu'il les prend dans leur sens extérieur; mais quand nous lui aurons expliqué (le sens de) l'allégorie ou que nous l'aurons averti que c'est une allégorie, il sera mis sur la voie et sauvé de ce trouble. C'est donc pour cela que j'ai appelé ce traité <i>Dalâlat al-'Hâyirîn</i> (le guide de ceux qui sont indécis ou égarés).",
"Guide for the Perplexed, Introduction, Prefatory Remarks 7",ואיני אומר כי המאמר הזה דוחה לכל ספק למי שיבינהו; אבל אמר שהוא דוחה לרב הספקות והגדולות שבהם. ולא יבקש ממני המשכיל ולא ייחל שאני – כשאזכר ענין מן הענינים – שאשלימהו או כשאתחיל לבאר ענין משל מן המשלים – שאשלים כל מה שנאמר במשל ההוא; זה אי אפשר למשכיל לעשותו בלשונו למי שמדבר עמו פנים בפנים כל שכן שיחברהו בספר שלא ישוב מטרה לכל סכל – יחשוב שהוא חכם – יורה חצי סכלותו נגדו:,"Je ne dis pas que ce traité écartera, pour celui qui l'aura compris, toute espèce de doute, mais je dis qu'il écartera la plupart des obscurités, et les plus graves. L'homme attentif ne me demandera pas ni n'espérera, lorsque nous aurons parlé d'un certain sujet, que nous l'achevions, ou, lorsque nous aurons commencé l'explication du sens d'une certaine allégorie, que nous épuisions tout ce qui a été dit au sujet de cette allégorie: ceci, un homme intelligent ne pourrait le faire de vive voix, dans une conversation fn17, et comment pourrait-il le consigner dans un livre sans s'exposer à être un point de mire pour tout ignorant prétendant à la science, et qui lancerait vers lui les flèches de son ignorance.",
"Guide for the Perplexed, Introduction, Prefatory Remarks 8",וכבר בארנו בחבורינו התלמודיים כללים מזה הענין והעירונו על ענינים רבים; וזכרנו בהם ש׳מעשה בראשית׳ הוא חכמת הטבע ו׳מעשה מרכבה׳ הוא חכמת האלוהות; ובארנו אמרם ״ולא במרכבה ביחיד אלא אם כן היה חכם ומבין מדעתו״ ״מוסרים לו ראשי פרקים״. אם כן לא תבקש ממני הנה זולת ׳ראשי פרקים׳. ואפילו הראשים ההם אינם במאמר הזה מסודרים ולא זה אחר זה אבל מפזרים ומערבים בענינים אחרים ממה שנבקש לבארו. כי כונתי – שיהיו האמתיות משקפות ממנו ואחר יעלמו עד שלא תחלק על הכונה האלוקית – אשר אין ראוי לחלק עליה – אשר שמה האמתיות המיחדות בהשגתו נעלמות מהמון העם – אמר ״סוד יי ליראיו״:,"Nous avons déjà donné dans nos ouvrages talmudiques fn18 plusieurs explications sommaires de cette espèce et éveillé l'attention sur beaucoup de sujets, et nous y avons fait remarquer que le <i>Ma'asé beréschîth</i> (récit de la création) est la science physique et le <i>Ma'asé mercabâ</i> (récit du char céleste) la science métaphysique  fn19, et nous avons expliqué cette sentence fn20: «Ni (on n'interprétera) la <i>mercabâ</i>, même à un (élève) seul, à moins que ce ne soit un homme sage comprenant par sa propre intelligence, (et dans ce cas) on lui en transmettra seulement les premiers éléments. » Tu ne me demanderas donc ici autre chose que les premiers éléments. Ces éléments mêmes ne se trouvent pas, dans le présent traité, rangés par ordre et d'une manière suivie, mais, au contraire, disséminés et mêlés à d'autres sujets qu'on voulait expliquer; car mon but est (de faire en sorte) que les vérités y soient entrevues, et qu'ensuite elles se dérobent, afin de ne pas être en opposition avec le but divin, auquel d'ailleurs il serait impossible de s'opposer, et qui a fait que les vérités qui ont particulièrement pour objet de faire comprendre Dieu fussent dérobées au commun des hommes, comme a dit (le psalmiste): <i>Le mystère de l'Éternel est pour ceux qui le craignent</i> (Ps. XXV, 14).",
"Guide for the Perplexed, Introduction, Prefatory Remarks 9",ודע – כי הענינים הטבעיים גם כן אין ראוי לגלותם בלמד קצת התחלותיהם כפי מה שהם בבאור. וכבר ידעת אמרם ז״ל ״ולא במעשה בראשית בשנים״; ואלו באר שום אדם הענינים ההם כלם בספר יהיו כאלו ׳דרש׳ לאלפים מבני אדם. ולזה הביאו הענינים ההם גם כן בספרי הנבואה במשלים ודברו בהם ה׳חכמים ז״ל׳ בחידות ומשלים להמשך אחר דרך ספרי הקדש בעבור שהם ענינים ביניהם ובין החכמה האלוקית קרבה גדולה והם גם כן סודות מסודות החכמה האלוקית:,"Pour ce qui concerne les choses de la physique, il faut savoir qu'il y a là des principes qui ne peuvent pas non plus être enseignés clairement fn21 tels qu'ils sont en réalité. Tu connais ce que disent les docteurs fn22: « Ni (on n'interprétera) le <i>Ma'asé beréschîth</i> devant deux personnes »; or, si quelqu'un expliquait toutes ces choses dans un livre, il les <i>interpréterait</i> à des milliers de personnes. C'est pourquoi ces sujets aussi se présentent dans les livres prophétiques par des allégories, et les docteurs aussi en ont parlé par des énigmes et des allégories, en suivant la trace des livres (sacrés), parce que ce sont des choses qui ont un rapport intime avec la science métaphysique, et qui font également partie des mystères de la métaphysique. ",
"Guide for the Perplexed, Introduction, Prefatory Remarks 10",ולא תחשב שה׳סודות׳ העצומות ההם ידועות עד תכליתם ואחריתם לאחד ממנו. לא כן אבל פעם יוצץ לנו האמת עד שנחשבנו יום; ואחר כן יעלימוהו הטבעים והמנהגים עד שנשוב בליל חשך קרוב למה שהיינו תחלה ונהיה כמי שיברק עליו הברק פעם אחר פעם – והוא בליל חזק החשך:,"Il ne faut pas croire qu'il y en ait un seul parmi nous qui connaisse ces graves mystères dans toute leur étendue fn23. Il n'en est pas ainsi; mais, au contraire, la vérité tantôt nous apparaît de manière à nous sembler (claire comme) le jour, tantôt elle est cachée par les choses matérielles et usuelles fn24, de sorte que nous retombons dans une nuit profonde à peu près comme nous étions auparavant, et nous sommes alors comme l'homme qui, se trouvant dans une nuit profondément obscure, y voit parfois briller un éclair. ",
"Guide for the Perplexed, Introduction, Prefatory Remarks 11",והנה יש ממנו מי שיברק לו הברק פעם אחר פעם במעט הפרש ביניהם עד כאלו הוא באור תדיר לא יסור וישוב הלילה אצלו כיום; וזאת היא מדרגת גדל הנביאים אשר נאמר לו ״ואתה פה עמד עמדי״ ונאמר בו ״כי קרן עור פניו וכו׳״. ויש מי שיהיה לו בין ברק לברק הפרש רב – והיא מדרגת רב הנביאים. ומהם מי שיברק לו פעם אחת בלילו כלו – והיא מדרגת מי שנאמר בהם ״ויתנבאו ולא יספו״. ומהם מי שיהיה בין בריקה לבריקה הפרשים רבים או מעטים:,"Il y en a parmi nous à qui l'éclair brille coup sur coup fn25, de sorte que, pour ainsi dire, ils sont constamment et sans discontinuer entourés de lumière, et que la nuit devient pour eux comme le jour, et c'est là le degré du plus grand des prophètes, auquel il fut dit: <i>Et toi, reste ici auprès de moi</i> (Deutéron., V, 28), et dont il a été dit: <i>Car la peau de son visage rayonnait</i>, <i>etc</i>. (Exod., XXXIV, 29) fn26. Il y en a d'autres à qui (l'éclair) brille une seule fois dans toute leur nuit, et c'est là le degré de ceux dont il a été dit: <i>Et ils prophétisèrent et ne continuèrent pas</i> (Nombres, XI, 25). Pour d'autres enfin il y a entre chaque éclair des intervalles plus ou moins longs. ",
"Guide for the Perplexed, Introduction, Prefatory Remarks 12",ויש מי שלא יגיע למדרגה שיאור חשכו בברק אבל בגשם טהור זך או כיוצא בו מן האבנים וזולתם אשר יאירו במחשכי הלילה. ואפילו האור ההוא הקטן אשר יזרח עלינו גם כן אינו תדיר אבל יציץ ויעלם כאלו הוא ׳להט החרב המתהפכת׳.,"Mais il y en a aussi qui n'arrivent point à un degré (assez élevé) pour que leurs ténèbres soient illuminées par un éclair; (elles ne le sont,) au contraire, que comme par un corps poli ou autre chose semblable, comme des pierreries, etc. qui brillent dans les ténèbres de la nuit. Et même ce peu de lumière qui brille pour nous fn27 n'est pas continuel; mais il apparaît et se cache comme s'il était <i>l'éclat du glaive qui tourne</i> (Genèse, III, 24). ",
"Guide for the Perplexed, Introduction, Prefatory Remarks 13",וכפי אלו הענינים יתחלפו מדרגות השלמים. אמנם אשר לא ראו אור כלל אפילו יום אחד אבל הם בלילה יגששו – והם אשר נאמר בהם ״לא ידעו ולא יבינו בחשכה יתהלכו״ – ונעלם מהם האמת כלו עם חזק הראותו כמו שאמר בהם ״ועתה לא ראו אור בהיר הוא בשחקים״ והם המון העם – אין מבוא לזכרם הנה בזה המאמר:,"C'est donc selon ces circonstances que varient les degrés des hommes parfaits. Quant à ceux qui ne voient jamais la lumière, mais qui errent dans la nuit, ceux dont il a été dit: <i>Ils ne connaissent rien et ne comprennent rien, ils marchent dans les ténèbres</i> (Ps. LXXXII, 5); ceux à qui la vérité est entièrement cachée, quelque distinctement qu'elle apparaisse, ainsi qu'on a dit d'eux: <i>Et maintenant ils ne voient pas la lumière qui brille dans les cieux</i> (Job, XXXVII, 21), et c'est le commun des hommes; (quant à ceux-là, dis-je,) il n'y a point lieu de les mentionner ici dans ce traité.",
"Guide for the Perplexed, Introduction, Prefatory Remarks 14",ודע – כי כשירצה אחד מן השלמים כפי מדרגת שלמותו לזכר דבר ממה שהבין מאלו ה׳סודות׳ אם בפיו או בקולמוסו לא יוכל לבאר אפלו מעט השעור אשר השיגהו באור שלם כסדר כמו שיעשה בשאר החכמות שלמודם מפרסם. אבל ישיגהו בלמדו זולתו מה שמצאהו בלמודו לעצמו – רצוני לומר מהיות הענין מתראה מציץ ואחר יתעלם; כאלו טבע הענין הזה – הרב ממנו והמעט כן הוא:,"Il faut savoir que, lorsqu'un des hommes parfaits désire, selon le degré de sa perfection, se prononcer, soit verbalement, ou par écrit, sur quelque chose qu'il a compris en fait de ces mystères, il ne lui est pas possible d'exposer même ce qu'il en a saisi avec une clarté parfaite et par ordre, comme il le ferait pour les autres sciences dont l'enseignement est répandu. Au contraire, il lui arrivera pour l'enseignement des autres ce qui lui est arrivé dans ses propres études; je veux dire que la chose apparaîtra et se fera entrevoir, et qu'ensuite elle se dérobera; car on dirait que telle est la nature de cette chose, qu'il s'agisse de beaucoup ou de peu. ",
"Guide for the Perplexed, Introduction, Prefatory Remarks 15",ובעבור זה כשכון כל חכם גדול אלוקי רבוני בעל אמת ללמד דבר מזה הענין לא דבר בו כי אם במשלים וחידות. והרבו המשלים ושמום מתחלפים במין ואף בסוג. ושמו ברבם הענין המכון להבינו – בראש המשל או באמצעיתו או בסופו כשלא ימצא משל שוה לענין המכון מראשו ועד סופו. והושם הענין אשר יכון ללמדו למי ילמדהו – ואם הוא ענין אחד בעצמו – מפזר במשלים מרחקים. ויותר עמק מזה – היות המשל האחד בעצמו משל לענינים רבים ישוה ראש המשל ענין אחד וישוה אחריתו ענין אחד. ופעם יהיה כלו משל לשני ענינים קרובים במין החכמה ההיא. עד שמי שירצה ללמד בלי המשל וחידות יבא בדבריו מן העמק וההעברה מה שיעמד במקום ההמשל והדבור בחידות. כאלו החכמים והיודעים נמשכים אחר הענין הזה ברצון האלוקי כמו שימשכום עניניהם הטבעיים:,"C'est pourquoi tous les savants métaphysiciens et théologiens fn28, amis de la vérité, quand ils voulaient enseigner quelque chose de ce genre, n'en parlaient que par des allégories et des énigmes, et, multipliant les allégories, ils en employaient de différentes espèces et même de différents genres; ils en formaient la plupart de manière à faire comprendre le sujet qu'on avait en vue, ou au commencement de l'allégorie, ou au milieu, ou à la fin, à moins qu'on ne pùt trouver une image qui s'appliquât à la chose en question depuis le commencement jusqu'à la fin. (Quelquefois) aussi le sujet qu'on avait pour but d'enseigner à l'étudiant, quoique ce fût un sujet essentiellement <i>un</i>, on le divisait, en le mettant dans plusieurs allégories éloignées les unes des autres; mais ce qui est encore plus obscur, c'est lorsqu'une seule et même allégorie s'emploie pour divers sujets, de manière que le commencement de l'allégorie s'applique à un certain sujet et la fin à un autre. Parfois aussi toute l'allégorie s'emploie pour deux sujets analogues fn29 dans ce genre de science. Enfin quand quelqu'un voulait enseigner sans l'emploi d'allégories et d'énigmes, il y avait dans ses paroles une obscurité et une brièveté qui tenaient lieu de l'emploi des allégories et des énigmes. On dirait que les savants et les docteurs sont guidés sous ce rapport par la volonté divine, de même que leurs dispositions physiques les guident (sous d'autres rapports).",
"Guide for the Perplexed, Introduction, Prefatory Remarks 16",הלא תראה – כי האלוה ית׳ כשרצה להשלימנו ולתקן עניני המונינו בתורותיו המעשיות – אשר לא יתכן זה אלא אחר דעות שכליות תחלתם – השגתו ית׳ כפי יכלתנו – אשר לא יתכן זה אלא בחכמת האלוהות – ולא תגיע החכמה האלוקית ההיא אלא אחר חכמת הטבע כי חכמת הטבע מצרנית לחכמת האלוהות וקודמת לה בזמן הלמוד כמו שהתבאר למי שעין בזה – ולזה שם פתיחת ספרו ית׳ ב׳מעשה בראשית׳ אשר הוא חכמת הטבע כמו שבארנו; ולעצם הענין ויקרתו והיות יכלתנו קצרה מהשיג עצם הענינים כפי מה שהם הגיד לנו הענינים העמקים ההם אשר הביא הכרח החכמה האלוקית להגידם לנו במשלים וחידות ובדברים סתומים מאד. כמו שאמרו ׳ז״ל׳ ״להגיד כח מעשה בראשית לבשר ודם אי אפשר לפיכך סתם לך הכתוב ״בראשית ברא אלקים וגו׳״ – וכבר העירוך על היות אלו הענינים הנזכרים ׳סתומות׳. וכבר ידעת מאמר שלמה ״רחוק מה שהיה ועמק עמק מי ימצאנו?״ ושם הדברים בכל זה בשמות המשתתפים בעבור שיבינם ההמון על ענין כשעור הבנתם וחלשת ציורם ויקחם השלם שכבר ידע על ענין אחר:,"Ne vois-tu pas d'ailleurs que Dieu le Très-Haut voulant nous perfectionner et améliorer l'état de nos sociétés par ses lois pratiques — [ce qui ne peut se faire qu'après (l'établissement de) certains dogmes rationnels dont la première condition est de comprendre la divinité selon notre faculté, chose qui ne peut avoir lieu qu'au moyen de la science métaphysique, laquelle à son tour ne peut venir qu'à la suite de la science physique; car celle-ci est limitrophe fn30 de la métaphysique et la précède dans l'enseignement, ce qui est clair pour celui qui a fait ces études] — (ne voistu pas, dis-je,) qu'il a placé à l'ouverture de son livre le récit de la création, qui est la science physique comme nous l'avons expliqué? Mais à cause de la gravité et de l'importance de cette chose, et parce que notre faculté est insuffisante pour comprendre le plus grave des sujets dans toute sa réalité fn31, on a choisi, pour nous parler des sujets profonds dont la sagesse divine jugeait nécessaire de nous entretenir, les allégories, les énigmes et des paroles extrêmement obscures, comme l'ont dit (les docteurs): « Exposer la puissance de l'œuvre de la création à des mortels est chose impossible; c'est pourquoi l'Écriture t'a dit d'une manière obscure: <i>Au commencement Dieu créa, etc</i>. » Ils t'ont donc averti que les choses mentionnées sont <i>obscures</i>. Tu connais aussi ces paroles de Salomon: <i>Ce qui existe est loin</i> (<i>de notre conception</i>); <i>ce très profond, qui peut le trouver</i> (Ecclésiaste, VII, 25)? Pour parler de tous ces sujets on s'est servi de mots homonymes, afin que les hommes vulgaires pussent les prendre dans un certain sens selon la mesure de leur intelligence et la faiblesse de leur conception, et que l'homme parfait qui a reçu de l'instruction pût les prendre dans un autre sens.",
