"Guide for the Perplexed, Part 2 Introduction 1",בשם יי אל עולם!,AU NOM DE L’ÉTERNEL DIEU DE L’UNIVERS,
"Guide for the Perplexed, Part 2 Introduction 16","<b>העשירית</b> כי כל מה שיאמר שהוא בגשם – יתחלק אל שני חלקים, אם שתהיה עמידתו בגשם כמקרים, או שתהיה עמידת הגשם בו כצורה הטבעית – ושניהם כח בגשם.","D<small>IXIÈME PROPOSITION</small>. — Tout ce dont on dit qu’il est dans un corps est de l’une de ces deux classes fn2373: c’est ou bien quelque chose qui subsiste par le corps, comme les accidents, ou bien quelque chose par quoi le corps subsiste, comme la forme physique fn2374; dans les deux cas, c’est une force (qui est) dans un corps fn2375.",
"Guide for the Perplexed, Part 2 Introduction 17","<b>האחת עשרה</b> כי קצת הדברים אשר עמידתם בגוף, יחלקו בהחלק הגוף ויהיו נחלקים במקרה – כמראים ושאר הכוחות המתפשטות בכל הגוף; וכן קצת המעמידים לגוף לא יחלקו בשום פנים, כנפש וכשכל.","O<small>NZIÈME</small> fn2376 <small>PROPOSITION.</small> — Certaines choses qui subsistent par le corps se divisent par la division du corps, et sont, par conséquent, accidentellement divisibles, comme, par exemple, les couleurs et en général les forces répandues dans tout le corps. De même, certaines choses qui constituent l’être du corps ne se divisent en aucune manière, comme l’âme et l’intelligence fn2377.",
"Guide for the Perplexed, Part 2 Introduction 18","<b>השתים עשרה</b> כי כל כח שימצא מתפשט בגוף הוא בעל תכלית, להיות הגשם בעל תכלית.","D<small>OUZIÈME PROPOSITION</small>. — Toute force qui se trouve répandue dans un corps est finie, parce que le corps (lui-même) est fini fn2378.",
"Guide for the Perplexed, Part 2 Introduction 19","<b>השלש עשרה</b> שאי אפשר שיהיה דבר ממיני השינוי מדובק, כי אם תנועת ההעתקה בלבד והסיבובוית ממנה.","T<small>REIZIÈME PROPOSITION</small>. — Rien dans les différentes espèces de <i>changement</i> fn2379 ne peut être continu, si ce n’est le mouvement de translation fn2380, et dans celui-ci le (seul mouvement) circulaire fn2381.",
"Guide for the Perplexed, Part 2 Introduction 20","<b>הארבע עשרה</b> כי תנועת ההעתקה היא הקודמת שבתנועות והראשונה שבהם בטבע – כי ההויה וההפסד יקדם להם השתנות, וההשתנות תקדם לו קריבת המשנה אל המשתנה, ואין צמיחה ואין חסרון מבלתי שיקדם להם ההויה וההפסד.","Q<small>UATORZIÈME PROPOSITION</small>. — Le mouvement de translation est antérieur à tous les mouvements et en est le premier fn2382 selon la nature; car (même) la naissance et la corruption sont précédées d’une transformation; et la transformation (à son tour) est précédée d’un rapprochement entre ce qui transforme et ce qui doit être transformé; enfin, il n’y a ni croissance, ni décroissement, sans qu’il y ait d’abord naissance et corruption fn2383.",
"Guide for the Perplexed, Part 2 Introduction 21","<b>החמש עשרה</b> כי הזמן – מקרה נמשך אחר התנועה ודבק עמה ולא ימצא אחד משניהם מבלתי האחר, לא תמצא תנועה כי אם בזמן, ולא יושכל זמן אלא עם התנועה וכל מה שלא תמצא לו תנועה אינו נופל תחת הזמן.","Q<small>UINZIÈME PROPOSITION</small>. — Le temps est un accident qui accompagne le mouvement et qui lui est inhérent fn2384, et aucun des deux n’existe sans l’autre; un mouvement n’existe que dans un temps, et on ne saurait penser le temps qu’avec le mouvement. Par conséquent, tout ce pour quoi il n’existe pas de mouvement fn2385 ne tombe pas sous le temps.",
"Guide for the Perplexed, Part 2 Introduction 22","<b>השש עשרה</b> כי כל מה שאינו גוף לא יושכל בו מנין אלא אם כן, יהיה כח בגוף, וימנו אישי הכוחות ההם בהמנות החמרים שלהם או נושאיהם; ובעבור זה הענינים הנבדלים אשר אינם גוף ולא כח בגוף לא יושכל בהם מנין כלל אלא בהיותם עילות ועלולים.","S<small>EIZIÈME PROPOSITION</small>. — Tout ce qui est incorporel n’admet point l’idée de <i>nombre</i> fn2386; à moins que ce ne soit une force dans un corps, de sorte qu’on puisse nombrer les forces individuelles en nombrant leurs matières ou leurs sujets fn2387. C’est pourquoi les choses <i>séparées</i>, qui ne sont ni un corps, ni une force dans un corps, n’admettent aucunement l’idée de nombre, si ce n’est (dans ce sens) qu’elles sont des causes et des effets (les unes des autres) fn2388.",
"Guide for the Perplexed, Part 2 Introduction 23","<b>השבע עשרה</b> כי כל מתנועע יש לו מניע בהכרח – אם חוץ ממנו כאבן שתניעה היד, או יהיה מניעו בו כגוף בעל החיים שהוא מחובר ממניע וממתנועע, ולזה כשימות ויעדר ממנו המניע – והוא הנפש – ישאר המתנועע – והוא הגוף – לשעתו כמה שהיה אלא שלא יתנועע התנועה ההיא; ולהיות המניע הנמצא במתנועע נסתר בלתי נראה לחוש, חשבו בבעל החיים שהוא מתנועע מבלתי מניע; וכל מתנועע שיהיה מניעו בו הוא הנקרא המתנועע מעצמו – ענינו: שהכח המניע למה שיתנועע ממנו בעצם נמצא בכללו.","D<small>IX-SEPTIÈME PROPOSITION</small>. — Tout ce qui se meut a nécessairement un moteur fn2389. Ou bien il a un moteur en dehors de lui, comme la pierre que meut la main; ou bien il a son moteur dans lui-même, comme le corps de l’animal fn2390. Ce dernier est composé d’un moteur et d’un chose mue; c’est pourquoi, lorsque l’animal meurt, et qu’il est privé du moteur, qui est l’âme, la chose mue, qui est le corps fn2391, tout en restant telle qu’elle était, cesse aussitôt d’avoir ce mouvement fn2392. Mais, comme le moteur qui existe dans la chose mue est occulte et ne se manifeste pas pour les sens, on s’est imaginé que l’animal se meut sans moteur. Toute chose mue, qui a son moteur en elle même, est dite se mouvoir <i>d’elle-même</i> fn2393; ce qui veut dire que la force qui meut <i>essentiellement</i> ce qui en est mû se trouve dans son ensemble fn2394.",
"Guide for the Perplexed, Part 2 Introduction 24","<b>השמונה עשרה</b> כי כל מה שיצא מן הכח אל הפועל – מוציאו זולתו והוא חוץ ממנו בהכרח – שאילו היה המוציא בו ולא יהיה שם מונע לא היה נמצא בכח בעת מן העתים, אבל יהיה בפועל תמיד; ואם היה מוציאו בו והיה לו מונע והוסר, אין ספק שמסיר המונע הוא אשר הוציא הכח הוא אל הפועל. והבן זה!","D<small>IX HUITIÈME PROPOSITION</small>. — Toutes les fois que quelque chose passe de la puissance à l’acte, ce qui l’y fait passer est autre chose que lui, et nécessairement est en dehors de lui fn2395: car, si ce qui fait passer (à l’acte) était dans lui, et qu’il n’y eût là aucun empêchement, il ne resterait pas un instant en puissance, mais serait toujours en acte fn2396. Que si, cependant, ce qui fait passer une chose (à l’acte) était dans elle, mais qu’il y eût existé un empêchement qui eût été enlevé, il n’y a pas de doute que ce qui a fait cesser l’empêchement ne soit ce qui a fait passer cette puissance à l’acte fn2397. Tâche de bien comprendre cela fn2398.",
"Guide for the Perplexed, Part 2 Introduction 25","<b>התשע עשרה</b> כי כל מה שלמציאותו סבה הוא אפשר המציאות בבחינת עצמו שאם ימצאו סבותיו – ימצא, ואם לא ימצאו או יעדרו או ישתנה ערכם המחיב למציאותו – לא ימצא.","D<small>IX-NEUVIÈME PROPOSITION</small>. — Toute chose dont l’existence a une cause est, par rapport à sa propre essence, d’une existence <i>possible</i> fn2399: car, si ses causes sont présentes, elle existera fn2400; mais, si elles n’ont jamais été présentes, ou si elles ont disparu, ou enfin, si le rapport fn2401 qui rendait nécessaire l’existence de la chose est changé, elle n’existera pas.",
"Guide for the Perplexed, Part 2 Introduction 26",<b>העשרים</b> שכל מחויב המציאות בבחינת עצמו אין סיבה למציאותו כלל ולא בשום ענין.,"V<small>INGTIÈME PROPOSITION</small>. — Tout ce qui est d’une existence nécessaire, par rapport à sa propre essence, ne tient son existence, en aucune façon, d’une cause quelconque fn2402.",
"Guide for the Perplexed, Part 2 Introduction 27","<b>האחת ועשרים</b> כי כל מורכב משני ענינים – אמנם ההרכבה ההיא היא סיבת מציאותו כפי מה שהוא בהכרח; אם כן, אינו מחויב המציאות בעצמו, כי מציאותו – במציאות שני חלקיו ובהרכבתם.","V<small>INGT ET UNIÈME PROPOSITION</small>. — Tout ce qui est un composé de deux idées différentes a nécessairement, dans cette composition même, la cause (immédiate) de son existence telle qu’elle est, et, par conséquent, n’est pas d’une existence nécessaire en lui-même: car il existe par l’existence de ses deux parties et de leur composition fn2403.",
"Guide for the Perplexed, Part 2 Introduction 28","<b>השתים ועשרים</b> כי כל גשם הוא מורכב משני ענינים בהכרח, וישיגוהו מקרים בהכרח; אמנם שני הענינים המעמידים אותו החומר שלו וצורתו; ואמנם, המקרים המשיגים אותו: הכמות, והתכונה, וההנחה.","V<small>INGT-DEUXIÈME PROPOSITION</small>. — Tout corps est nécessairement composé de deux idées différentes et est nécessairement affecté d’accidents. Les deux idées qui en constituent l’être sont sa matière et sa forme fn2404; les accidents qui l’affectent sont la quantité, la figure et la situation fn2405.",
"Guide for the Perplexed, Part 2 Introduction 29",<b>השלוש ועשרים</b> כי כל מה שהוא בכח ויש בעצמו אפשרות אחת – יתכן בעת אחת שלא ימצא בפועל.,"V<small>INGT-TROISIÈME PROPOSITION</small>. — Tout ce qui est en puissance, de manière à avoir dans son essence même une certaine <i>possibilité</i>, peut, à un certain moment, ne pas exister en acte fn2406.",
"Guide for the Perplexed, Part 2 Introduction 30","<b>הארבע ועשרים</b> כי כל מה שהוא בכח דבר אחד הוא בעל חומר בהכרח, כי האפשרות הוא בחומר לעולם.",V<small>INGT-QUATRIÈME PROPOSITION</small>. — Tout ce qui est une chose quelconque fn2407 <i>en puissance</i> a nécessairement une matière: car la <i>possibilité</i> est toujours dans la matière fn2408.,
"Guide for the Perplexed, Part 2 Introduction 31","<b>וחמש ועשרים</b> שהתחלות העצם המורכב האישי – החומר והצורה, ואי אפשר מבלתי פועל, רצוני לומר: מניע הניע הנושא עד שהכינו לקבל הצורה והוא המניע הקרוב המכין חומר איש אחד.","V<small>INGT-CINQUIÈME PROPOSITION</small>. — Les principes de la substance composée et individuelle sont la matière et la forme fn2409, et il faut nécessairement un agent, c’est-à-dire un moteur, qui ait mû le substratum afin de le disposer à recevoir la forme fn2410; et c’est ici le moteur prochain, qui dispose une matière individuelle quelconque fn2411. ",
"Guide for the Perplexed, Part 2 Introduction 32",ויתחיב מכאן העיון בתנועה ובמניע ובמתנועע; וכבר התבאר בכל זה מה שראוי לבארו. ותורף דברי אריסטו החומר לא יניע עצמו. וזאת היא ההקדמה הגדולה המביאה לחקור על מציאות המניע הראשון.,"C’est là nécessairement le point de départ pour la recherche sur le mouvement, le moteur et ce qui est mû. Toutes les explications nécessaires ont été données sur ce sujet fn2412 et Aristote dit expressément: « La matière ne se meut pas elle-même fn2413. » C’est ici la proposition importante qui conduit à la recherche sur l’existence du premier moteur.",
"Guide for the Perplexed, Part 2 Introduction 33","ואלו החמש ועשרים הקדמות אשר הקדמתים לך – מהם מה שהוא מבואר במעט התבוננות והקדמות מופתיות ומושכלות ראשונות או קרוב מהם במה שבארנוהו מסידורם; ומהם מה שיצטרך למופתים והקדמות רבות, אלא שכבר התבארו כולם במופת אין ספק בו, קצתם בספר השמע ופרושיו, וקצתם בספר מה שאחר הטבע ופרושו. וכבר הודעתיך שאין כונת המאמר הזה להעתיק ספרי הפילוסופים בו ולבאר הרחוקות שבהקדמות אבל לזכור ההקדמות הקרובות הצריך אליהם לפי עניננו.","De ces vingt-cinq propositions que j’ai mises en tête, les unes sont claires au plus léger examen, et (ce sont) des propositions démonstratives et des notions premières fn2414, ou à peu près, (intelligibles) par le simple exposé que nous en avons fait fn2415; les autres ont besoin de démonstrations et de prémisses nombreuses, mais ont été déjà toutes démontrées d’une manière qui ne laisse pas de doute, (et cela) en partie dans le livre de l’<i>Acroasis</i> fn2416 et dans ses commentaires, et en partie dans le livre de la <i>Mêtaphysique</i> et dans son commentaire fn2417. Je t’ai déjà fait savoir que j’ai pour but, dans ce traité, non pas d’y transcrire les livres des philosophes, ni d’y exposer les propositions les plus éloignées fn2418, mais d’y rapporter les propositions qui sont à notre portée et nécessaires pour notre sujet.",
"Guide for the Perplexed, Part 2 Introduction 34",ואחבר אל מה שקדם מן ההקדמות הקדמה אחת תחיב הקדמות ויחשוב אריסטו שהיא אמיתית ויותר ראויה מכל מה שיאמן וניתנה לו על דרך ההנחה עד שיתבאר מה שכוננו לבארו. וההקדמה ההיא היא.,"Aux propositions qui précèdent j’en ajouterai une qui implique l’éternité (du monde), et qu’Aristote prétend être vraie et tout ce qu’il y a de plus admissible; nous la lui concédons à titre d’hypothèse fn2419, jusqu’à ce que nous ayons pu exposer nos idées à cet égard fn2420.",
"Guide for the Perplexed, Part 2 Introduction 35",<b>השש ועשרים</b> והיא אמרו שהזמן והתנועה נצחיים תמידיים נמצאים בפועל;,"Cette proposition, qui est <small>LA VINGT-SIXIÈME,</small> dit que le temps et le mouvement sont éternels, perpétuels, et toujours existant en acte fn2421. ",
"Guide for the Perplexed, Part 2 Introduction 36","ולזה יתחיב אצלו בהכרח לפי זאת ההקדמה שיש גשם מתנועע תנועה נצחית נמצאת בפועל, והוא הגשם החמישי; ולזה יאמר שהשמים לא הוים ולא נפסדים – כי התנועה אצלו לא הוה ולא נפסדת; שהוא יאמר שכל תנועה תקדם לה תנועה בהכרח, אם ממינה או מזולת מינה, ושמה שיחשב בבעל החיים שלא תקדם לתנועתו המקומית תנועה אחרת כלל – אינו אמיתי. כי הסיבה בתנועתו אחר המנוחה תגיע אל ענינים מביאים לתנועה ההיא המקומית, והם – אם שינוי מזג יחיב תאוה לבקש הנאות או לברוח ממה שהוא כנגדו, או דמיון, או עצה תתחדש לו, ויניעהו אחד מאלו השלושה וכל אחד מהם יחיבהו תנועות אחרות. וכן יאמר כי כל מה שיתחדש יהיה אפשרות חידושו קודם על חידושו בזמן ויחיב מזה דברים לאמת הקדמתו. ולפי זאת ההקדמה יהיה המתנועע בעל התכלית מתנועע על אורך בעל תכלית פעמים אין תכלית להם בחזור על האורך ההוא חלילה – וזה אי אפשר כי אם בתנועה הסיבובית כמו שיתבאר במופת בהקדמה השלש עשרה מאלו ההקדמות ועל פיה יתחיב מציאות מה שאין תכלית לו על צד בוא זה אחר סור זה לא שימצא זה יחד.","De cette proposition donc, il s’ensuit nécessairement, selon lui, qu’il y a un corps ayant un mouvement éternel, toujours en acte, et c’est là le <i>cinquième corps</i> fn2422. C’est pourquoi il dit que le ciel ne naît ni ne périt: car le mouvement, selon lui, ne naît ni ne périt. En effet, dit-il, tout mouvement est nécessairement précédé d’un autre mouvement, soit de la même espèce, soit d’une autre espèce fn2423; et, quand on s’imagine que le mouvement local de l’animal n’est précédé absolument d’aucun autre mouvement, cela n’est pas vrai; car la cause qui fait qu’il (l’animal) se meut après avoir été en repos, remonte à certaines choses qui amènent ce mouvement local: c’est ou bien un changement de tempérament produisant (dans l’animal) le désir de chercher ce qui lui convient, ou de fuir ce qui lui est contraire, ou bien une imagination, ou enfin une opinion qui lui survient, de sorte que l’une de ces trois choses le mette en mouvement, chacune d’elles étant à son tour amenée par d’autres mouvements fn2424. Il dit de même que, dans tout ce qui survient, la possibilité de survenir précède dans le temps ce qui survient, et il en tire différentes conclusions pour confirmer sa proposition fn2425. — Selon cette proposition, le mobile qui est fini fn2426 devra se mouvoir sur une étendue finie un nombre de fois infini, en retournant toujours sur la même étendue, ce qui n’est possible que dans le mouvement circulaire, comme cela est démontré par la treizième de ces propositions. Il s’ensuit que l’infini peut exister par manière de <i>succession</i> et pourvu qu’il n’y ait pas simultanéité fn2427.",
"Guide for the Perplexed, Part 2 Introduction 37","וזאת ההקדמה היא אשר יחשוב אריסטו להעמידה תמיד. ויראה לי שהוא לא יגזור שראיותיו עליה – מופת אבל הם הראויות והנכונות אצלו. ויאמרו הנמשכים אחריו ומפרשי ספריו שהיא מחויבת לא אפשרית ושכבר התבארה כולה במופת. ויחשוב כל מדבר מן המדברים לקיים שהיא נמנעת, ויאמרו שלא יצויר איך יתחדשו מתחדשים אין תכלית להם בבוא זה אחר סור זה; וכח דבריהם – שהיא אצלם מושכל ראשון. ואשר יראה לי אני שזאת ההקדמה אפשרית לא מחויבת כמו שיאמרו המפרשים לדברי אריסטו ולא נמנעת כמו שיאמרו המדברים. ואין הכוונה עתה לבאר ראיות אריסטו ולא הראותנו הספק עליו ולא לבאר דעתי בחידוש העולם; אבל הכונה במקום הזה – לזכור ההקדמות אשר נצטרך אליהם במבוקשינו השלשה. ואחר הקדים אלו ההקדמות ונתינתם – אתחיל לבאר מה שיתחיב מזה.","Cette proposition, Aristote s’efforce toujours de la confirmer. Quant à moi, il me semble qu’il ne prétend nullement attribuer aux preuves dont il l’appuie une force démonstrative fn2428; mais elle est, selon lui, ce qu’il y a de plus admissible. Cependant, ses sectateurs et les commentateurs de ses écrits prétendent qu’elle est nécessaire et non pas seulement possible, et qu’elle a été démontrée fn2429. Chacun des <i>Motécallemîn</i> (au contraire) s’efforce d’établir qu’elle est impossible: car, disent-ils, on ne saurait se figurer qu’il puisse survenir, même <i>successivement</i>, des faits infinis (en nombre); et ils considèrent cela, en somme, comme une notion première fn2430. Ce qu’il me semble à moi, c’est que ladite proposition est <i>possible</i>, (et qu’elle n’est) ni <i>nécessaire</i>, comme le disent les commentateurs des paroles d’Aristote, ni <i>impossible</i>, comme le prétendent les <i>Motécallemîn</i>. Je n’ai pas pour but, en ce moment, d’exposer les preuves d’Aristote, ni de produire mes doutes contre lui, ni d’exposer mon opinion sur la <i>nouveauté du monde;</i> mais mon but, dans cet endroit, a été d’énumérer les propositions dont nous avons besoin pour nos trois questions fn2431. Après avoir mis en tête ces propositions et les avoir concédées, je commence à exposer ce qui en résulte.",
"Guide for the Perplexed, Part 2 1:1","יתחיב לפי ההקדמה החמש ועשרים שיש מניע הוא אשר הניע חומר זה ההוה הנפסד עד שקיבל הצורה. וכשיבוקש המניע ההוא הקרוב מה הניעו? יתחיב בהכרח שימצא לו מניע אחר, אם ממינו או מזולת מינו. כי התנועה תמצא בארבעה מאמרות, והנה תאמר עליהם התנועה בכלל כמו שזכרנו בהקדמה הרביעית. וזה לא ילך אל לא תכלית כמו שזכרנו בהקדמה השלישית. ומצאנו כל תנועה תכלה אל תנועת הגשם החמישי ואצלה תעמוד; ומן התנועה ההיא יסתעף ואליה ישתלשל כל מניע ומכין בעולם התחתון כולו. והגלגל מתנועע תנועת העתקה והיא הקודמת שבתנועות כמו שזכרנו בהקדמה הארבע עשרה. וכן עוד כל תנועת העתקה אמנם תגיע בסוף לתנועת הגלגל. כאילו אמרת שזאת האבן אשר התנועעה – הניעה המקל והמקל – הניעתו היד, והיד – הניעוה המיתרים, והמיתרים – הניעום העורקים, והעורקים – הניעום העצבים, והעצבים – הניעם החום הטבעי, והחום הטבעי – הניעתו הצורה אשר בו והוא המניע הראשון, בלא ספק, והמניע ההוא – חיבתו להניע עצה, על דרך משל, והוא שיביא האבן ההיא בהכות המקל לה אל חור כדי לסתמו עד שלא תכנס לו ממנו זו הרוח הנושבת, ומניע הרוח ההיא ומוליד נשיבתה היא תנועת הגלגל. וכן תמצא כל סבת הויה והפסד מגעת בסוף לתנועת הגלגל.","Il s’ensuit de la vingt-cinquième proposition qu’il y a un moteur qui a mis en mouvement la matière de ce qui naît et périt fn1301, pour qu’elle reçût la forme; et, si l’on cherche ce qui a mis en mouvement ce moteur prochain, il faudra nécessairement qu’on lui trouve (à son tour) un autre moteur, soit de son espèce, soit d’une autre espèce: car le mouvement se trouve dans les quatre catégories auxquelles on applique en général le (terme de) <i>mouvement</i>, ainsi que nous l’avons dit dans la quatrième proposition. Mais cela ne peut pas se continuer à l’infini, comme nous l’avons dit dans la troisième proposition. Or, nous trouvons que tout mouvement (ici-bas) aboutit au mouvement du cinquième corps, où il s’arrête fn1302. C’est de ce dernier mouvement que dérive, et à lui remonte par enchaînement, tout ce qui dans le monde inférieur tout entier imprime le mouvement et dispose (à la réception de la forme) fn1303. La sphère céleste a le mouvement de translation, qui est antérieur à tous les mouvements, comme il a été dit dans la quatorzième proposition. De même, tout mouvement local (ici-bas) aboutit au mouvement de la sphère céleste. On peut dire, par exemple, que cette pierre qui se meut, c’est le bâton qui l’a mise en mouvement; le bâton a été mu par la main, la main par les tendons, les tendons ont été mus fn1304 par les muscles, les muscles par les nerfs, les nerfs par la chaleur naturelle, et celle-ci enfin a été mue par la forme qui est dans elle fn1305, et qui, indubitablement, est le moteur premier. Ce moteur, ce qui l’a porté à mouvoir, aura été, par exemple, une <i>opinion</i> fn1306, à savoir, de faire arriver cette pierre, en la poussant avec le bâton, dans une lucarne, pour la boucher, afin que ce vent qui souffle ne pût pas pénétrer par là jusqu’à lui. Or, ce qui meut ce vent et ce qui produit fn1307 son souffle, c’est le mouvement de la sphère céleste; et ainsi tu trouveras que toute cause de naissance et de corruption remonte au mouvement de la sphère céleste fn1308.",
