"Meir, I Orah Hayyim.1.1",<i>Q</i>. Is it proper to wear <i>zizith</i> (fringes) made of flax?
"Meir, I Orah Hayyim.6.1","R. Tam decided that a minor may not be counted among the ten men required to make up a <i>minyan</i>, and we can not go against his decision. Therefore, when you find yourself in a position where the other congregants are about to count a minor among the required ten, the best thing for you to do is to leave the synagogue, and thus avoid being the cause of a transgression."
"Meir, I Orah Hayyim.6.2","This Responsum bears the superscription: ""to my teacher, R. Eleazar."""
"Meir, I Orah Hayyim.6.3",S<small>OURCES</small>: L. 268; P. 298.
"Meir, I Orah Hayyim.7.1",<i>Q</i>. Ten Jews are present in the synagogue; one of them is praying privately and can not join in the responding of <i>Amen</i>. May the remaining nine persons conduct congregation services and recite <i>Kaddish</i> and <i>Barku?</i>
"Meir, I Orah Hayyim.7.2","<i>A</i>. Yes, although it is better to wait and give the tenth person an opportunity to join in the response of <i>Amen</i>."
"Meir, I Orah Hayyim.7.3","S<small>OURCES</small>: Pr. 529; L. 202. Cf. Maharil, <i>Responsa</i> 150."
"Meir, I Orah Hayyim.8.1","<i>Q</i>. May a person, who, while sitting in his house, hears the congregation recite <i>Kedushah, Barku</i>, and <i>Kaddish</i>, join in the proper responses as if present in the synagogue?"
"Meir, I Orah Hayyim.8.2","<i>A</i>. Yes, he may."
"Meir, I Orah Hayyim.8.3",S<small>OURCES</small>: Pr. 530; Wertheimer 10.
"Meir, I Orah Hayyim.9.1","<i>Q</i>. Must a person, reciting the prayer <i>Yaale Veyabo</i> on the day the new moon falls on a Sabbath, mention the term Sabbath in that prayer?"
"Meir, I Orah Hayyim.9.2",<i>A</i>. No.
"Meir, I Orah Hayyim.9.3",S<small>OURCES</small>: Pr. 635.
"Meir, I Orah Hayyim.10.1",<i>Q</i>. Is a person who has suffered severe divine punishment permitted to serve as cantor?
"Meir, I Orah Hayyim.10.2",<i>A</i>. Yes. The Lord prefers the prayers of a person broken in spirit.
"Meir, I Orah Hayyim.10.3",S<small>OURCES</small>: Cr. 249.
"Meir, I Orah Hayyim.11.1","<i>Q</i>. Should the <i>Hazan</i> (Reader) call out ""Kohanim"" (Priests), the usual invocation to the priests to bless the congregation, when only one priest is present to perform the ceremony of blessing the congregation?"
"Meir, I Orah Hayyim.11.2","<i>A</i>. If there is only one priest to officiate, the <i>Hazan</i> refrains from saying ""Kohanim""."
"Meir, I Orah Hayyim.11.3",S<small>OURCES</small>: Cr. 21; L. 363; Pr. 323; Wertheimer 17.
"Meir, I Orah Hayyim.12.1","<i>Q</i>. In a town where there are only two or three Israelites and many <i>Kohanim</i>, or where there are only <i>Kohanim</i> and no Israelites, who should be called up to read the Torah?"
"Meir, I Orah Hayyim.12.2","<i>A</i>. Where there are only two or three Israelites, they should be called up several times, after one <i>Kohen</i> has read the first two portions, until the seven portions are read. If there are no Israelites, women and children are called up in their place. But, if there are only <i>Kohanim</i> and no women or children, the Torah may not be read, as no <i>Kohen</i> may be called up to the third, fourth, fifth, sixth or seventh portions of the readings, lest the onlookers get the impression that he is not of pure lineage."
"Meir, I Orah Hayyim.12.3",This Responsum is addressed to Rabbi Asher b. Moses.
"Meir, I Orah Hayyim.12.4","S<small>OURCES</small>: Cr. 8; Pr. 108; Mord. Git. 402–3; Hag. Maim., <i>Tefilah</i> 12, 200. Cf. Weil, <i>Responsa</i> 3."
"Meir, I Orah Hayyim.13.1",<i>Q</i>. Is a <i>Kohen</i> permitted to forego his prerogative and allow one not of priestly lineage to lead in saying grace after a meal?
"Meir, I Orah Hayyim.13.2","<i>A</i>. Yes, he is permitted to do so."
"Meir, I Orah Hayyim.13.3","This Responsum is addressed to ""My teacher, R. Asher,"" i. e. R. Asher b. Moses."
"Meir, I Orah Hayyim.13.4",S<small>OURCES</small>: Cr. 7; 8; Pr. 107; Mord. Git. 401.
"Meir, I Orah Hayyim.14.1",<i>Q</i>. Is a <i>Kohen</i> permitted to board a boat wherein a dead body is lying?
"Meir, I Orah Hayyim.14.2","<i>A</i>. If the boat is small so that it shakes whenever a person walks thereon, a <i>Kohen</i> may not board it since he is bound to shake the body. If the boat is large, he may board it, but he is not permitted to come within four cubits of the body."
"Meir, I Orah Hayyim.14.3","S<small>OURCES</small>: Cr. 141; Mord. M.K. 865; Hag. Maim., <i>Abel</i> 3,1."
"Meir, I Orah Hayyim.15.1",<i>Q</i>. How many persons should be called (in the Synagogue) to the reading of the weekly portion on <i>Rosh-hodesh</i> (day of the new-moon) or <i>Hanukkah</i> when they fall on Sabbath?
"Meir, I Orah Hayyim.15.2","<i>A</i>. Many of our ritual customs are based on the <i>Siddur</i> of Rav Amram, the <i>Halakot Gedolot</i>, and the tractate <i>Soferim</i>. From these sources we have derived our custom that the first seven persons read the portion of the week, and the <i>maftir</i> (one who concludes the reading of the Torah) reads the portion pertaining to the special occasion."
"Meir, I Orah Hayyim.15.3",S<small>OURCES</small>: Pr. 110.
"Meir, I Orah Hayyim.16.1",<i>Q</i>. What <i>Haftarah</i> (portion of the Prophets) is read on the Sabbath between <i>Rosh-Hashanah</i> and <i>Yom-Kippur?</i>
"Meir, I Orah Hayyim.16.2",<i>A</i>. In our synagogue we read <i>Shuvah Israel</i> (Hosea 14:2ff.).
"Meir, I Orah Hayyim.16.3",S<small>OURCES</small>: Cr. 41; Pr. 426.
"Meir, I Orah Hayyim.17.1","<i>Q</i>. Is the Reader (of the Torah) permitted to recite the <i>piyyutim</i> called <i>dibra</i> (<span dir=""rtl"">דבּרא</span>) while reading the ten commandments to the congregation?<xref rid=""fn1"">*</xref>"
"Meir, I Orah Hayyim.17.2","<i>A</i>. No, on reading the scroll of the Law the reader is not permitted to add any extraneous material lest it be confused with the Text in the minds of the listeners."
"Meir, I Orah Hayyim.17.3",S<small>OURCES</small>: Pr. 59.
"Meir, I Orah Hayyim.18.1","<i>Q</i>. A donated a plot of ground to the community for the purpose of erecting a synagogue thereon. However, when the members of the community made ready to build the synagogue they were restrained by the ""students of Jesus"" (probably theological students). The community, therefore, decided to build a Talmudical school instead; whereupon A objected that he did not donate the ground for such purpose."
"Meir, I Orah Hayyim.18.2","<i>A</i>. Since A did not originally stipulate the condition that in case a synagogue is not built on said ground, it shall revert to him, he may no longer withdraw his gift, and the ground belongs to the community who can use it for any purpose it sees fit. The mere designation of an object for a sacred purpose does not sanctify the object, and it may still be used for a secular purpose. Therefore, were A not a resident of that town, the community would be free to use said ground for building the school. But if A is a resident of that town, since a community can not use for one purpose, community property originally designated for another purpose, unless such change be unanimously approved by the members of the community, or approved by a resident, outstanding scholar of the caliber of R. Ashi, the community can not build a school on the ground, since the protest of A does not permit a unanimous approval of the plan. Therefore, the community can do nothing with the ground till either the Christian priests permit them to build a synagogue, or A withdraws his objection."
"Meir, I Orah Hayyim.18.3","This Responsum is addressed to ""My teacher Rabbi Asher."""
"Meir, I Orah Hayyim.18.4","S<small>OURCES</small>: Am II, 240; Mord. Meg. 821. Cf. <i>Agudah</i> B.B. 21."
"Meir, I Orah Hayyim.19.1","<i>Q</i>. The oil-lamp of our synagogue emits a dense smoke which causes damage to the congregants and occasionally compels them to leave the synagogue altogether. Some persons have donated money for the purpose of buying oil for the synagogue. Must we continue to bear the smoke of the oil-lamp, or may we divert the donated money to another purpose?"
"Meir, I Orah Hayyim.19.2",<i>A</i>. The money may be used for buying waxen candles. The purpose for which the money was given may be changed by the members of the synagogue (though it can not be so changed by the donor) for the following reasons: a) Preparing an object for sacred use does not sanctify the object until it is actually used for such purpose; b) candles and oil used in a synagogue are not intrinsically sacred; nor are they even considered <i>tashmishe kedushah</i> (objects used for a sacred function) since they are not indispensable to the function of the synagogue.
"Meir, I Orah Hayyim.19.3",S<small>OURCES</small>: L. 269; P. 299–300.
"Meir, I Orah Hayyim.20.1","<i>Q</i>. Are we permitted to make use of the garret of the synagogue building? I see no reason why its use should be prohibited, since even the garrets of the <i>Azarah</i> (Temple court) were not invested with holiness."
"Meir, I Orah Hayyim.20.2","<i>A</i>. I know of no actual prohibition against making use of the synagogue building, but we should be very careful not to perform there any profane, degrading, or indecent acts, since the prohibition against such acts is implied in the talmudic statement (Shab. 11a): ""a city, the houses of which tower above the synagogue, will eventually be destroyed."""
"Meir, I Orah Hayyim.20.3","S<small>OURCES</small>: Sinai VI (1943) 13, no. 475; Mord. Shab. 228; ibid. 451."
"Meir, I Orah Hayyim.21.1","<i>Q</i>. A customarily bought the honors connected with the second scroll of the Law of the synagogue. This time, however, the community sold these honors to B for half a pound. Now A seeks to exercise his priority rights in the acquisition of such honors."
"Meir, I Orah Hayyim.21.2","<i>A</i>. If, when the community sold the honors to B, A was in a position to pay half a pound for them but failed to do so, he forfeited his rights to them when he consented to their being sold to B. Therefore, if witnesses testify that A had originally consented to such sale together with the rest of the community, A has no claim to these honors. Or, in the absence of such testimony, if witnesses testify to B's undisturbed possession — since B claims that A had consented to the sale — the honors belong to B. However, if, when the honors were sold to B, A could not afford to buy them, but now that he has the means he wants to recoup his rights and privileges, A is entitled to his rights of priority."
"Meir, I Orah Hayyim.21.3","S<small>OURCES</small>: Cr. 209; Mord. B.B. 533; Tesh. Maim. to <i>Shoftim</i>, 7; <i>Mordecai Hagadol</i> p. 109c."
"Meir, I Orah Hayyim.22.1",<i>Q</i>. A and B inherited from their father the sole right to make alterations or additions to the synagogue building. A desires to sell his privilege to a wealthy man.
"Meir, I Orah Hayyim.22.2","<i>A</i>. The privilege given to A's father, was personal to him and his children, and, therefore, cannot be sold without the consent of the community. Every right, privilege, and authority over the Jewish public, such as the priesthood, kingship, service of the Levites, or even the post of <i>parnas</i>, is given to be enjoyed by a person and his children, but must not be sold to another."
"Meir, I Orah Hayyim.22.3","S<small>OURCES</small>: Pr. 139; Mord. B.K. 108. Cf. Moses Minz, <i>Responsa</i> 6."
"Meir, I Orah Hayyim.23.1","<i>Q</i>. The father of R. Zadok, R. Zadok himself, and his sons, have successively had for eighty years the honor of providing the synagogue with wine for <i>kiddush</i> and <i>habdalah</i>. Another member of the community now offers to give one <i>mark</i> per year, if he is permitted to provide the wine."
"Meir, I Orah Hayyim.23.2","<i>A</i>. Since the sons of R. Zadok have had the honor of providing the wine for more than three years, and since there are witnesses that their father had that honor before them, we put forth the claim on their behalf that their father or grandfather bought from the community the exclusive right to this honor for himself and for his descendants. Even if the honor was not sold to the grandfather, but the community agreed to grant it to him or his son, it cannot be taken away from R. Zadok's children, for the law requires that children should inherit their father's position and authority in the community, if they are worthy of doing so."
"Meir, I Orah Hayyim.23.3",This Responsum is addressed to Rabbi Samuel.
"Meir, I Orah Hayyim.23.4","S<small>OURCES</small>: Sinai VI (1943) 13, no. 420."
"Meir, I Orah Hayyim.24.1","<i>Q</i>. A claims: (1) that he pledged a Scroll of the Law with the synagogue, as security for money he owed to a holy cause; (2) that without his knowledge or permission the trustees sold the Scroll to B; (3) that when he learned about the sale, he protested to B who said to him: ""If the Scroll is still in the city, it is yours;"" and (4) that the Scroll was in the city at the time. A, therefore, demands that B return the Scroll to him. B, however, claims: (1) that he bought the Scroll for five pounds from the leaders of the community in the presence of the Rabbi; (2) that the beadle delivered possession of the Scroll to him; (3) that while buying the Scroll, he specified that he was donating it to his community and thus received it for half a pound less than the price asked for; and (4) that he had already donated it to his community and it was thus out of his hands."
"Meir, I Orah Hayyim.24.2","<i>A</i>. Since B bought the Scroll from reliable people, the sale is valid. B, however, would do a praiseworthy deed were he to return the Scroll to A and take his money back, since this method of acquiring a <i>Mitzvah</i>, by depriving one of the opportunity to redeem his property, is not commendable."
"Meir, I Orah Hayyim.24.3",S<small>OURCES</small>: Pr. 925.
"Meir, I Orah Hayyim.25.1","<i>Q</i>. I placed a carpet on the stone floor in front of the ark of our synagogue, for, whenever the cantor would fall on his face in prayer, it would appear as if he were bowing (in adoration) to the stones. Was my act justified?"
"Meir, I Orah Hayyim.25.2","<i>A</i>. You have done a meritorious act. For bowing on a stone floor even without extending the arms and legs, is forbidden by Rabbinic enactment. Although many venerable men are very careful and turn sideways instead of prostrating themselves (cf. Ber. 34b), yet many ignorant cantors actually fall on their faces in prayer. If it will be within my power, I shall abolish this practice. I shall proceed cautiously, however, in order not to create undue disturbance."
"Meir, I Orah Hayyim.25.3","S<small>OURCES</small>: Am I, 94; cf. Mord. Meg. 807."
"Meir, I Orah Hayyim.26.1","<i>Q</i>. The tablets of the covenant used to lie flat in the holy ark of the Temple. Why are not the Scrolls of the Law, in our day, placed in the ark in a horizontal position?"
"Meir, I Orah Hayyim.26.2",<i>A</i>. It is preferable to make the ark wide and place therein the Scrolls in a horizontal position.
"Meir, I Orah Hayyim.26.3","S<small>OURCES</small>: Cr. 66; Pr. 352; Hag. Maim., <i>Sefer Torah</i> 10, 8."
"Meir, I Orah Hayyim.27.1","If a critically ill person eats on the Day of Atonement, he should mention the holiday when he says grace after his meal. Since he is permitted to eat, the Day of Atonement is to him like any other holiday."
"Meir, I Orah Hayyim.27.2","S<small>OURCES</small>: Pr. 71; <i>Tashbetz</i> 568; Hag. Maim., <i>Hilkot Berakot</i>, 2, 2."
"Meir, I Orah Hayyim.28.1","<i>Q</i>. Three persons vowed to refuse to accept any favor or benefit from one another during a particular day. May they be counted together for common grace on that day if they ate in the same room, the objection being that neither one can eat the other's food without breaking his vow?"
"Meir, I Orah Hayyim.28.2","<i>A</i>. No, they may not."
"Meir, I Orah Hayyim.28.3",S<small>OURCES</small>: Pr. 330.
"Meir, I Orah Hayyim.29.1",<i>Q</i>. Does a minor complete the quorum necessary for the purpose of mentioning the name of God in the invocation to grace after the meal?
"Meir, I Orah Hayyim.29.2","<i>A</i>. There are many conflicting opinions on this subject. R. Tam held that such a minor could complete the necessary quorum, but he himself did not permit such a practice. I have seen many great authorities doing so. But when I was in Provence I said grace several times at the table of my great teacher in the presence of nine men and one minor in his thirteenth year, and he did not allow me to mention the name of God in the invocation. Subsequently I inquired of my teacher R. Judah whether my great teacher was correct in forbidding me to mention God's name; and he replied that he was, thus confirming his opinion."
"Meir, I Orah Hayyim.29.3",S<small>OURCES</small>: L. 488.
"Meir, I Orah Hayyim.30.1","<i>Q</i>. When are we supposed to recite the blessing ""over the washing of hands?"""
"Meir, I Orah Hayyim.30.2","<i>A</i>. The blessing ""over the washing of hands"" is recited when one washes his hands upon rising from bed. It is also proper to recite this blessing when one comes out of a privy, and washes one's hands in order to recite the <i>Minha</i> services."
"Meir, I Orah Hayyim.30.3","S<small>OURCES</small>: Pr. 40–41; L. 346; Rashba I, 1124. Cf. Wertheimer 4."
"Meir, I Orah Hayyim.31.1","<i>Q</i>. Must one who comes out of a privy and wants to eat [bread] wash one's hands twice, first in order to recite the blessing ""who has created Man"", and second, for one's meal?"
"Meir, I Orah Hayyim.31.2","<i>A</i>. There exists a difference of opinion among the Geonim, but I believe that he should wash his hands once, and recite two blessings: the first ""on the washing of hands"" and the second ""who has created Man"", and then eat."
"Meir, I Orah Hayyim.31.3","S<small>OURCES</small>: Pr. 42; L. 347; Hag. Maim., <i>Berakot</i> 6, 50."
"Meir, I Orah Hayyim.32.1",<i>Q</i>. When does one recite the blessing over the study of the Torah?
"Meir, I Orah Hayyim.32.2","<i>A</i>. I recite this blessing only once during the day; if I study before the morning services I recite this blessing before I commence to study, otherwise, I recite it (during the Services) in the synagogue."
"Meir, I Orah Hayyim.32.3","S<small>OURCES</small>: Pr. 43; Rashba I, 851; Wertheimer 3."
"Meir, I Orah Hayyim.33.1",<i>Q</i>. Must we recite the blessing <i>al hagefen</i> after drinking the wine of <i>kiddush</i> and <i>habdalah</i> [before beginning the meal]?
"Meir, I Orah Hayyim.33.2","<i>A</i>. Since reciting the blessing over the wine of <i>kiddush</i> and <i>habdalah</i> obviates the necessity of reciting another blessing over the wine drunk during and after the meal, the drinking of the wine of <i>kiddush</i> and <i>habdalah</i> forms part of the meal, and the reciting of the <i>al hagefen</i> after such wine and before the meal is unnecessary."
"Meir, I Orah Hayyim.33.3",S<small>OURCES</small>: L. 398; Cf. <i>Tashbetz</i> 294.
"Meir, I Orah Hayyim.34.1","If a person has eaten fruit and has recited the blessing ""who creates the fruit of trees"", and another species of fruit is brought before him, which also requires the same blessing, he must repeat the blessing before eating the second fruit since the latter fruit was not before him, and he did not intend to eat it when he pronounced the blessing over the former fruit."
"Meir, I Orah Hayyim.34.2","S<small>OURCES</small>: Pr. 67; cf. <i>Tashbetz</i>, 310."
"Meir, I Orah Hayyim.35.1","Upon reciting <i>al hamihya, al hagefen</i>, or <i>al haetz</i>, on Hanukkah or Purim, one need not make mention of the festival."
"Meir, I Orah Hayyim.35.2",S<small>OURCES</small>: Pr. 70.
"Meir, I Orah Hayyim.36.1",<i>Q</i>. Is there a custom of abstaining from work on Saturday night and the day of the new moon?
"Meir, I Orah Hayyim.36.2",<i>A</i>. There is such a custom for women for the day of the new moon.
"Meir, I Orah Hayyim.36.3",S<small>OURCES</small>: Pr. 13; L. 420.
"Meir, I Orah Hayyim.37.1",<i>Q</i>. Are women permitted to wear shawls in the streets on the Sabbath?
"Meir, I Orah Hayyim.37.2","<i>A</i>. They are permitted to wear shawls the ends of which are tied together, making it impossible for the wind to blow them off."
"Meir, I Orah Hayyim.37.3",S<small>OURCES</small>: L. 186; <i>Tashbetz</i> 48.
"Meir, I Orah Hayyim.38.1","<i>Q</i>. Are the Jews who travel on the roads permitted to wear their belts in which their money is sewed, on the Sabbath?"
"Meir, I Orah Hayyim.38.2","<i>A</i>. No, such act is prohibited."
"Meir, I Orah Hayyim.38.3",S<small>OURCES</small>: Cr. 112; Pr. 94; <i>Tashbetz</i> 569.
"Meir, I Orah Hayyim.39.1","<i>Q</i>. May a person attach a metal buckle to his girdle as an ornament, and then file the buckle into the shape of a key with which he can unlock the door of his house, and then wear this buckle on the Sabbath?"
"Meir, I Orah Hayyim.39.2","<i>A</i>. People do not usually wear metal keys on their girdles as ornaments. Therefore, this key is not considered an ornament and he is not permitted to wear it on the Sabbath."
"Meir, I Orah Hayyim.39.3","S<small>OURCES</small>: Pr. 532; Mord. Shabb. 350; Hag. Maim. to <i>Shabbat</i>, 19, 4. Cf. Maharil, <i>Responsa</i> 84."
"Meir, I Orah Hayyim.40.1","<i>Q</i>. Is a person permitted to wear, on the Sabbath, a ring which encloses a loose stone or a piece of lead in a hollow cavity, thus emitting a tinkling sound when moved?"
"Meir, I Orah Hayyim.40.2","<i>A</i>. A person is not permitted to produce musical sounds on the Sabbath, and some authorities believe (Ulla, in Erub. 104 a) that one is not permitted to produce on the Sabbath any sound that will serve a specific purpose. Since the ring in question produces neither a musical sound nor serves a useful purpose, a person is permitted to wear it on the Sabbath."
"Meir, I Orah Hayyim.40.3","S<small>OURCES</small>: L. 139; Hag. Maim., <i>Shabbat</i> 23, 2; <i>Tashbetz</i> 61."
"Meir, I Orah Hayyim.41.1","<i>Q</i>. Is a person permitted to carry objects on the Sabbath from a planted garden to the house and from the house to the garden, when the garden is adjoining the house?"
"Meir, I Orah Hayyim.41.2","<i>A</i>. If the major portion of the area of the garden is planted, it is considered a separate enclosure and a person is not permitted to carry objects on the Sabbath from the house to the garden or vice versa. But, if only a small part of the area of the garden is planted, the garden is considered part of the courtyard."
"Meir, I Orah Hayyim.41.3",S<small>OURCES</small>: L. 144; cf. Mord. Erub. 485.
"Meir, I Orah Hayyim.42.1","On the Sabbath, a Jew is not permitted to pour sewage into a stone-trough, which is situated partly in his yard and partly in the public domain (used to carry off sewage into the street), unless the trough is covered for four cubits length in the public domain."
"Meir, I Orah Hayyim.42.2","S<small>OURCES</small>: Cr. 69; Pr. 31; L. 341; Rashba I, 850; Mord. Shabb. 375."
"Meir, I Orah Hayyim.43.1","<i>Q</i>. On the Sabbath, may a Jew use latrines which are built in the city wall and open into a ditch surrounding the wall, so that the feces falling into the ditch are moved (by his force) from one Sabbath domain into another?"
"Meir, I Orah Hayyim.43.2","<i>A</i>. He should fasten a board beneath the seat (within not more than three <i>tefahim</i> below the latrine walls) so that the feces first fall on the board and then into the ditch. Should the board break on the Sabbath, he would still be permitted to use the latrine on that day."
"Meir, I Orah Hayyim.43.3","S<small>OURCES</small>: Cr. 178, 179; Pr. 96; L. 349; Mord. Shabb. 376; Hag. Mord. Shabb. 461; <i>Tashbetz</i> 38; Hag. Maim., <i>Shabbat</i> 15, 4; <i>Kol Bo</i> 31 (p. 34a). Cf. <i>Terumat Hadeshen</i> 66."
"Meir, I Orah Hayyim.44.1","<i>Q</i>. Is it permissible to manipulate the rectum with a spigot, on the Sabbath, in order to stimulate defecation?"
"Meir, I Orah Hayyim.44.2","<i>A</i>. This is permissible when the spigot is held in a different manner than it is usually held, e. g., when it is held with two fingers."
"Meir, I Orah Hayyim.44.3",S<small>OURCES</small>: L. 147; <i>Tashbetz</i> 62; <i>Tur Orach Hayim</i> 312.
"Meir, I Orah Hayyim.45.1",<i>Q</i>. Is a Jew permitted to attach a belt to his trousers (without pinning or sewing) on the Sabbath?
"Meir, I Orah Hayyim.45.2","<i>A</i>. Yes, even if the belt is new."
"Meir, I Orah Hayyim.45.3",S<small>OURCES</small>: Pr. 65.
"Meir, I Orah Hayyim.46.1",<i>Q</i>. Is a Jew permitted to milk a cow on the Sabbath?
"Meir, I Orah Hayyim.46.2","<i>A</i>. No, but because of the danger to the cow in not being milked, one is permitted to tell a Gentile to milk it and keep the milk for himself."
"Meir, I Orah Hayyim.46.3","S<small>OURCES</small>: Cr. 182; Pr. 49, 638; Hag. Mord. Shabb. 466; cf. <i>Shaare Teshubah</i> (Geonic Responsa), 221; Asheri Shabb. 18, 3; ibid. B.M. 2, 29."
"Meir, I Orah Hayyim.47.1","<i>Q</i>. Is it proper to permit a Gentile servant to warm the winter house on the Sabbath, when he does it of his own accord?"
"Meir, I Orah Hayyim.47.2","<i>A</i>. Although in France such practice was not objected to, and Rabbi Jacob of Orleans even permitted one to tell a Gentile explicitly to fix the fire, it is not to be permitted in our country where many are accustomed to consider it a desecration of the Sabbath.<xref rid=""fn2"">*</xref>"
"Meir, I Orah Hayyim.47.3","S<small>OURCES</small>: Cr. 5; Pr. 92; Rashba I, 857; Hag. Maim., <i>Shabbat</i> 6, 6; <i>Kol Bo</i> 31 (p. 30c); Maharil, <i>Responsa</i> 166."
"Meir, I Orah Hayyim.48.1",<i>Q</i>. A teacher rendered a decision permitting Jews to instruct a Gentile on the Sabbath to go outside of the city limits in order to be ready to assist relatives of a deceased in their burial operations.
"Meir, I Orah Hayyim.48.2","<i>A</i>. The decision of the teacher is incorrect, for ordinarily whatever a Jew is not allowed to do on the Sabbath, he is not permitted to tell a Gentile to do."
"Meir, I Orah Hayyim.48.3","This Responsum is addressed to R. Nathan, an uncle of R. Meir. But according to Cr. 20, it was sent to R. Hezekiah of Merseburg."
"Meir, I Orah Hayyim.48.4","S<small>OURCES</small>: Cr. 20; Pr. 637; Wertheimer 15; Mord. Shabb. 314; Hag. Maim., <i>Shabbat</i> 6, 9."
"Meir, I Orah Hayyim.49.1","<i>Q</i>. Before leaving his place in order to participate in congregational services, A gave money to a Gentile and told him to hire workers immediately and build A's house. Is such an act permissible?"
"Meir, I Orah Hayyim.49.2",<i>A</i>. A Jew is not permitted to tell a Gentile before the Sabbath to work for him on the Sabbath.
"Meir, I Orah Hayyim.49.3","S<small>OURCES</small>: Cr. 44; Rashba I, 875."
"Meir, I Orah Hayyim.50.1","1) <i>Q</i>. Is a Jew, who lives alone among Gentiles, permitted to ask his Gentile friend to hire laborers to do his work on the Sabbath?"
"Meir, I Orah Hayyim.50.2","<i>A</i>. He is not permitted to do so lest the members of his family or occasional Jewish guests, think that he hired the laborers himself."
"Meir, I Orah Hayyim.50.3","S<small>OURCES</small>: Cr. 42; Pr. 427; cf. Rashba I, 875."
"Meir, I Orah Hayyim.50.4","2) You were justified in forbidding the practice of the Jews who used to enter a Gentile's store on the Sabbath, choose hats for themselves, put them on their heads, and walk out with them, even though they bargained for them on the following day; for the hats might have been finished on that very Sabbath."
"Meir, I Orah Hayyim.50.5",S<small>OURCES</small>: Wertheimer 13.
"Meir, I Orah Hayyim.51.1","<i>Q</i>. Slaughtering of an animal on the Sabbath is punishable by stoning, while eating forbidden meat involves only the trespassing of a negative commandment. Why, then, are we permitted to slaughter an animal on the Sabbath for the benefit of the critically ill, when feeding them forbidden meat would involve a lesser deviation from the Law?"
"Meir, I Orah Hayyim.51.2","<i>A</i>. Work done on the Sabbath for the benefit of the critically ill is considered as if done on a week-day, thus involving no infringement of the law."
"Meir, I Orah Hayyim.51.3","S<small>OURCES</small>: Cr. 200; Am I, 41; Asher, <i>Responsa</i> 26, 5; Asheri <i>Yuma</i> 8, 14."
"Meir, I Orah Hayyim.52.1",<i>Q</i>. Is a woman who has had an ulcer on her body for the past four years permitted to treat it with calcined ashes on the Sabbath?
"Meir, I Orah Hayyim.52.2","<i>A</i>. It is permissible to dust calcined ashes on an ulcer during the week, but not on the Sabbath unless thereby to save an endangered life."
"Meir, I Orah Hayyim.52.3",S<small>OURCES</small>: Mord. Shabb. 381.
"Meir, I Orah Hayyim.53.1","<i>Q</i>. Is it permissible to cure a person's headache or eye-sore by a charm, on the Sabbath?"
"Meir, I Orah Hayyim.53.2",<i>A</i>. It is permissible.
"Meir, I Orah Hayyim.53.3",S<small>OURCES</small>: Mord. Shabb. 385.
"Meir, I Orah Hayyim.54.1","<i>Q</i>. Since according to the Talmud (Shabb. 25b) a person is required to light the Sabbath candles, one should eat the evening meal in the light of these candles. Why, then, do we often leave the candles in the house and eat the evening meal in the courtyard?"
"Meir, I Orah Hayyim.54.2","<i>A</i>. The Sabbath candles are intended to enhance the pleasures of the Sabbath, and not to detract from it. Since we derive greater pleasure from eating in the open air and away from the flies [that infest the house], we are permitted to do so."
"Meir, I Orah Hayyim.54.3","S<small>OURCES</small>: Hag. Maim. Shabb. 5, 20; cf. <i>Tashbetz</i> 3."
"Meir, I Orah Hayyim.55.1","<i>Q</i>. When, on occasion, the stocks of wine in our locality are completely exhausted, are we justified in assuming that our beer is ""the wine of the country"" and thus may be used as wine for all religious purposes?"
