Index Title,"Shulchan Arukh, Yoreh De'ah"
"Shulchan Arukh, Yoreh De'ah 184:8","<i data-commentator=""Beur HaGra"" data-order=""17""></i><i data-commentator=""Be'er HaGolah"" data-order=""13""></i>היתה נחבית במחבא מפני פחד והגיע שעת וסתה <i data-commentator=""Turei Zahav"" data-order=""11""></i>אינה חוששת לו: <small>הגה <i data-commentator=""Beur HaGra"" data-order=""18""></i>וי""א דוקא אם עבר הוסת ולא בדקה ולא הרגישה טהורה בלא בדיקה <i data-commentator=""Siftei Kohen"" data-order=""21""></i>אבל <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""9""></i>לכתחלה צריכה <i data-commentator=""Pithei Teshuva"" data-order=""15""></i>בדיקה (כך משמע בב""י):</small>"
"Shulchan Arukh, Yoreh De'ah 184:9","<i data-commentator=""Siftei Kohen"" data-order=""22""></i><i data-commentator=""Beur HaGra"" data-order=""19""></i><i data-commentator=""Be'er HaGolah"" data-order=""14""></i>שאר נשים צריכות <i data-commentator=""Pithei Teshuva"" data-order=""16""></i>בדיקה <i data-commentator=""Pithei Teshuva"" data-order=""17""></i>כשיגיע הוסת עבר הוסת ולא בדקה <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""10""></i>ולא <i data-commentator=""Pithei Teshuva"" data-order=""18""></i>הרגישה טהורה בלא בדיקה <i data-commentator=""Beur HaGra"" data-order=""20""></i><i data-commentator=""Be'er HaGolah"" data-order=""15""></i>וי""א שאסורה <i data-commentator=""Turei Zahav"" data-order=""12""></i><i data-commentator=""Siftei Kohen"" data-order=""23""></i>עד <i data-commentator=""Ba'er Hetev"" data-order=""10""></i><i data-commentator=""Pithei Teshuva"" data-order=""19""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""11""></i>שתבדוק <i data-commentator=""Turei Zahav"" data-order=""13""></i><i data-commentator=""Torat HaShlamim"" data-order=""17""></i><i data-commentator=""Pithei Teshuva"" data-order=""20""></i>אם יש לה וסת <i data-commentator=""Pithei Teshuva"" data-order=""21""></i><i data-commentator=""Ba'er Hetev"" data-order=""11""></i>קבוע <i data-commentator=""Beur HaGra"" data-order=""21""></i>או שהוא יום ל' אע""פ שאינו קבוע <small>(והכי נהוג <i data-commentator=""Siftei Kohen"" data-order=""24""></i>וכן הוא לקמן סימן קפ""ט):</small>"
"Shulchan Arukh, Yoreh De'ah 184:10","<i data-commentator=""Be'er HaGolah"" data-order=""16""></i>הרוצה לצאת לדרך <i data-commentator=""Torat HaShlamim"" data-order=""18""></i>צריך לפקוד אשתו אפילו <i data-commentator=""Pithei Teshuva"" data-order=""22""></i>סמוך לוסתה: <small>הגה <i data-commentator=""Turei Zahav"" data-order=""14""></i><i data-commentator=""Beur HaGra"" data-order=""22""></i>ואפילו בתשמיש <i data-commentator=""Ba'er Hetev"" data-order=""12""></i>שרי (טור בשם י""א וב""י בשם רש""י וראב""ד ורשב""א ור' ירוחם) <i data-commentator=""Siftei Kohen"" data-order=""25""></i>ומ""מ <i data-commentator=""Siftei Kohen"" data-order=""26""></i>המחמיר <i data-commentator=""Pithei Teshuva"" data-order=""23""></i>שלא <i data-commentator=""Ba'er Hetev"" data-order=""13""></i><i data-commentator=""Pithei Teshuva"" data-order=""24""></i>לפקדה רק <i data-commentator=""Turei Zahav"" data-order=""15""></i>בדברי רצוי <i data-commentator=""Torat HaShlamim"" data-order=""19""></i>תע""ב (ב""י בשם סמ""ג) <i data-commentator=""Torat HaShlamim"" data-order=""20""></i>וכבר נתבאר <i data-commentator=""Siftei Kohen"" data-order=""27""></i>דכל מיני קורבה ואהבה <i data-commentator=""Ba'er Hetev"" data-order=""14""></i>שרי מלבד תשמיש <i data-commentator=""Beur HaGra"" data-order=""23""></i>ואם הולך לדבר מצוה א""צ לפקוד אשתו (המ""מ פ""ד דא""ב ובהגהות ש""ד) <i data-commentator=""Beur HaGra"" data-order=""24""></i>וי""א אם אדם רוצה לילך לדרך ואשתו נדה <i data-commentator=""Pithei Teshuva"" data-order=""25""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""12""></i>ותטבול <i data-commentator=""Siftei Kohen"" data-order=""28""></i>תוך עונה אחת <i data-commentator=""Siftei Kohen"" data-order=""29""></i><i data-commentator=""Torat HaShlamim"" data-order=""21""></i><i data-commentator=""Pithei Teshuva"" data-order=""26""></i>צריך <i data-commentator=""Ba'er Hetev"" data-order=""15""></i>להמתין (נ""י פרק הבא על יבמתו):</small>"
"Shulchan Arukh, Yoreh De'ah 184:11","<i data-commentator=""Beur HaGra"" data-order=""25""></i><i data-commentator=""Be'er HaGolah"" data-order=""17""></i>אשה שיש לה וסת לימים לבד <i data-commentator=""Siftei Kohen"" data-order=""30""></i>והגיע <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""13""></i>שעת וסת' <i data-commentator=""Torat HaShlamim"" data-order=""22""></i>אסור לבא עליה עד <i data-commentator=""Pithei Teshuva"" data-order=""27""></i>שישאלנ' ואם אין לה וסת יום ל' לראייתה הוי כהגיע שעת וסתה <i data-commentator=""Be'er HaGolah"" data-order=""18""></i>ואם שהתה אחר הוסת שיעור שתספור ותטבול <i data-commentator=""Turei Zahav"" data-order=""16""></i><i data-commentator=""Torat HaShlamim"" data-order=""23""></i>יבא עלי' <i data-commentator=""Siftei Kohen"" data-order=""31""></i>ואין צריך <i data-commentator=""Ba'er Hetev"" data-order=""16""></i>לשאול:"
"Shulchan Arukh, Yoreh De'ah 184:12","<i data-commentator=""Beur HaGra"" data-order=""26""></i><i data-commentator=""Be'er HaGolah"" data-order=""19""></i>היה לה וסת לימים <small>(טור בשם רשב""א) </small>ולוסת <i data-commentator=""Siftei Kohen"" data-order=""32""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""14""></i>מוסתות הגוף <small>(ב""י בשם הגהות מיי' פ""ד בשם רמב""ן) </small>כגון <i data-commentator=""Torat HaShlamim"" data-order=""24""></i>קפיצה <i data-commentator=""Pithei Teshuva"" data-order=""28""></i>וכיוצא בה כיון שהוסת תלוי במעשה <i data-commentator=""Siftei Kohen"" data-order=""33""></i>אימור לא <i data-commentator=""Ba'er Hetev"" data-order=""17""></i>קפצה ולא ראתה <i data-commentator=""Siftei Kohen"" data-order=""34""></i><i data-commentator=""Beur HaGra"" data-order=""27""></i>אבל חוששת לעונה <i data-commentator=""Ba'er Hetev"" data-order=""18""></i>בינונית שהיא ל' יום <small>(ב""י בשם רשב""א וטור לקמן סי' קפ""ט):</small>"
"Shulchan Arukh, Yoreh De'ah 185:1","<b>דין אשה שאמרה טמאה אני ואחר כך אמרה טהורה אני. ובו ד' סעיפים:</b><br> <i data-commentator=""Beur HaGra"" data-order=""1""></i><i data-commentator=""Be'er HaGolah"" data-order=""1""></i>האשה שהיא בחזקת טמאה אסור לו לבא עליה <i data-commentator=""Torat HaShlamim"" data-order=""1""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""1""></i>עד שתאמר לו <i data-commentator=""Pithei Teshuva"" data-order=""1""></i>טבלתי: <small>הגה <i data-commentator=""Turei Zahav"" data-order=""1""></i><i data-commentator=""Siftei Kohen"" data-order=""1""></i><i data-commentator=""Beur HaGra"" data-order=""2""></i><i data-commentator=""Torat HaShlamim"" data-order=""2""></i>ומאחר <i data-commentator=""Ba'er Hetev"" data-order=""1""></i><i data-commentator=""Pithei Teshuva"" data-order=""2""></i>שעברו ימים שאפשר לה למנות ולטבול (ב""י) נאמנת <i data-commentator=""Beur HaGra"" data-order=""3""></i>אפילו רואה בגדיה מלוכלכים בדם נאמנת לומר בשוק טבחים עברתי או נתעסקתי בצפור וכדומה לזה (ב""י בשם הרא""ש ורבינו ירוחם):</small>"
"Shulchan Arukh, Yoreh De'ah 185:2","<i data-commentator=""Be'er HaGolah"" data-order=""2""></i>ואם הוחזקה נדה בשכנותיה שראוה לובשת בגדים המיוחדים לימי נדותה, <i data-commentator=""Turei Zahav"" data-order=""2""></i>חשובה כודאי <i data-commentator=""Pithei Teshuva"" data-order=""3""></i><i data-commentator=""Ba'er Hetev"" data-order=""2""></i>טמאה:"
"Shulchan Arukh, Yoreh De'ah 185:3","<i data-commentator=""Torat HaShlamim"" data-order=""3""></i><i data-commentator=""Be'er HaGolah"" data-order=""3""></i>אמרה לבעלה טמאה אני ואחר כך אמרה <i data-commentator=""Siftei Kohen"" data-order=""2""></i>טהורה אני <i data-commentator=""Pithei Teshuva"" data-order=""4""></i><i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""2""></i>אינה נאמנת <i data-commentator=""Beur HaGra"" data-order=""4""></i><small>(אם הוא לאחר כדי דבור) (ב""י בשם רבינו ירוחם) </small> <i data-commentator=""Beur HaGra"" data-order=""5""></i>ואם נתנה <i data-commentator=""Pithei Teshuva"" data-order=""5""></i>אמתלא לדבריה <i data-commentator=""Beur HaGra"" data-order=""6""></i>כגון שאומרת שלא אמרה לו כן תחלה אלא מפני שלא היה בה כח לסבול תשמיש או טענה <i data-commentator=""Pithei Teshuva"" data-order=""6""></i>אחרת <i data-commentator=""Siftei Kohen"" data-order=""3""></i>כיוצא בזה נאמנת: <small>הגה <i data-commentator=""Beur HaGra"" data-order=""7""></i>ומכל מקום מי שרוצה להחמיר על עצמו שלא להאמין לה מדת חסידות הוא (ב""י) <i data-commentator=""Pithei Teshuva"" data-order=""7""></i>אבל מדינא נאמנת אפי' בשתיקה אח""כ <i data-commentator=""Siftei Kohen"" data-order=""4""></i><i data-commentator=""Torat HaShlamim"" data-order=""4""></i>רק שהיא באה ושוכבת אצל <i data-commentator=""Ba'er Hetev"" data-order=""3""></i>בעלה והוא יודע ומכיר שמה שאמרה תחלה טמאה אני עשתה מחמת קטטה שהיה לו עמה (מהרי""ו סי' כ""ב) וכדומה לזה: </small>אבל <i data-commentator=""Be'er HaGolah"" data-order=""4""></i><i data-commentator=""Beur HaGra"" data-order=""8""></i>אם ראוה <i data-commentator=""Beur HaGra"" data-order=""9""></i>לובשת בגדים המיוחדים לימי נדותה ואח""כ אמרה טהורה אני <i data-commentator=""Torat HaShlamim"" data-order=""5""></i>אע""פ שנתנה אמתלא לדבריה <i data-commentator=""Siftei Kohen"" data-order=""5""></i><i data-commentator=""Torat HaShlamim"" data-order=""6""></i>אינה נאמנת <i data-commentator=""Beur HaGra"" data-order=""10""></i><small>(אמרה פלוני חכם טהר לי כתם <i data-commentator=""Torat HaShlamim"" data-order=""7""></i>והחכם אומר שהיא <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""3""></i>משקרת <i data-commentator=""Turei Zahav"" data-order=""3""></i><i data-commentator=""Siftei Kohen"" data-order=""6""></i><i data-commentator=""Torat HaShlamim"" data-order=""8""></i>החכם <i data-commentator=""Ba'er Hetev"" data-order=""4""></i><i data-commentator=""Pithei Teshuva"" data-order=""8""></i>נאמן וטמאה היא) (ר""ן בשם הרמב""ן ורבינו ירוחם):</small>"
"Shulchan Arukh, Yoreh De'ah 185:4","<i data-commentator=""Be'er HaGolah"" data-order=""5""></i>היה משמש עם הטהורה <i data-commentator=""Pithei Teshuva"" data-order=""9""></i>ואמרה לו נטמאתי ופירש מיד חייב כרת שיציאתו הנאה לו כביאתו <i data-commentator=""Pithei Teshuva"" data-order=""10""></i>כיצד יעשה <i data-commentator=""Be'er HaGolah"" data-order=""6""></i>נועץ צפרני רגליו בארץ <i data-commentator=""Pithei Teshuva"" data-order=""11""></i>ושוהה בלא דישה עד שימות האבר ופורש באבר מת: <small>הגה וימלא פחד ורתת על העבירה שבאה לידו (ב""י בשם סמ""ג) ולא יסמוך עליה רק יסמוך על רגליו וידיו שלא יהנה ממנה <i data-commentator=""Beur HaGra"" data-order=""11""></i>ואם פירש ממנה בקשוי ובשוגג שלא ידע שאסור לפרוש ממנה <i data-commentator=""Torat HaShlamim"" data-order=""9""></i><i data-commentator=""Pithei Teshuva"" data-order=""12""></i>יתענה מ' יום ואינן צריכין להיות רצופים רק כל שבוע שני ימים כגון שני וחמישי <i data-commentator=""Torat HaShlamim"" data-order=""10""></i><i data-commentator=""Pithei Teshuva"" data-order=""13""></i>ובליל התענית <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""4""></i>אסור ביין ובשר ואם לא יוכל להתענות <i data-commentator=""Torat HaShlamim"" data-order=""11""></i>יפדה כל יום בממון שיתן לצדקה כפי ערך ממון שיש לו כי עשיר יתן יותר קצת מעני ויש להחמיר בתשובתו וכל המרבה לשוב זכות הוא לו (פסקי מהרא""י סי' ס') <i data-commentator=""Pithei Teshuva"" data-order=""14""></i>והאשה אינה צריכה כפרה <i data-commentator=""Beur HaGra"" data-order=""12""></i>ואם שמשה שלא בשעת וסתה ומצאה אחר התשמיש דם אפי' נמצא על עד שלו מקרי <i data-commentator=""Ba'er Hetev"" data-order=""5""></i><i data-commentator=""Pithei Teshuva"" data-order=""15""></i>אונס <i data-commentator=""Beur HaGra"" data-order=""13""></i>אפי' לא בדקה תחילה ואינם צריכים כפרה לא הוא ולא היא (מרדכי והרא""ש כלל כ""ט בשם מהר""ם):</small>"
"Shulchan Arukh, Yoreh De'ah 186:1","<b>דיני בדיקת אשה בין לפני תשמיש בין לאחר תשמיש. ובו ה' סעיפים:</b><br> <i data-commentator=""Beur HaGra"" data-order=""1""></i>אשה שיש לה <i data-commentator=""Pithei Teshuva"" data-order=""1""></i><i data-commentator=""Be'er HaGolah"" data-order=""1""></i>וסת קבוע אינה צריכה בדיקה כלל לא לפני תשמיש ולא לאחר תשמיש <i data-commentator=""Be'er HaGolah"" data-order=""2""></i>ואדרבה <i data-commentator=""Torat HaShlamim"" data-order=""1""></i>אין לה לבדוק בפני בעלה בשעת תשמיש כדי <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""1""></i>שלא יהא לבו נוקפו <i data-commentator=""Beur HaGra"" data-order=""2""></i><i data-commentator=""Be'er HaGolah"" data-order=""3""></i>והרמב""ם ז""ל מצריך לבדוק <i data-commentator=""Chiddushei Hilkhot Niddah"" data-order=""2""></i>אחר תשמיש היא בעד אחד והוא בעד אחד ולראות בהם שמא ראתה דם בשעת תשמיש ולדעתו <i data-commentator=""Be'er HaGolah"" data-order=""4""></i>הצנועות בודקות עצמן אף קודם תשמיש <small>(וסברא הראשונה היא עיקר וכן <i data-commentator=""Ba'er Hetev"" data-order=""1""></i>נהגו) (רוקח והגהות מיימוני ורוב המורים):</small>"
