the Birkat Hamazon]?If there,Mishnah Berakhot 7:3
test the witnesses?The pair,Mishnah Rosh Hashanah 2:6
of Rosh Hashanah]:He says,Mishnah Rosh Hashanah 4:5
for fast days?They take,Mishnah Taanit 2:1
people was nine:On the,Mishnah Taanit 4:5
ninth of Av.On the,Mishnah Taanit 4:6
How so?If the,Mishnah Megillah 1:2
she gives birth:If the,Mishnah Yevamot 4:1
she gives birth:If the,Mishnah Yevamot 4:2
to the father.The other,Mishnah Yevamot 4:7
of a court.Rabbi Shimon,Mishnah Yevamot 4:13
from yibbum effected]?If he,Mishnah Yevamot 5:2
is this so?If the,Mishnah Yevamot 5:4
to eat [terumah].If they,Mishnah Yevamot 7:5
commandment of halitzah:He and,Mishnah Yevamot 12:6
declaration of refusal?Any whose,Mishnah Yevamot 13:2
from her yavam:If the,Mishnah Yevamot 13:13
testifying regarding] death?The written,Mishnah Yevamot 15:4
forbidden to remarry.If [her,Mishnah Yevamot 15:6
fine is due:If one,Mishnah Ketubot 3:1
is no fine:If a,Mishnah Ketubot 3:2
of his pot”?Even if,Mishnah Ketubot 3:5
may do so.After betrothal,Mishnah Ketubot 5:1
enjoys the usufruct.Rabbi Meir,Mishnah Ketubot 8:7
upon your property”?That if,Mishnah Ketubot 9:1
said seven [rulings]:If a,Mishnah Ketubot 13:3
is this so?If one,Mishnah Nedarim 9:7
vows of self-denial:If she,Mishnah Nedarim 11:2
her” (Numbers 30:9).How is,Mishnah Nedarim 11:9
was it done?He would,Mishnah Nazir 6:7
the nazirite shave?For [defilement,Mishnah Nazir 7:2
to eat terumah:She who,Mishnah Sotah 1:3
true for good.Miriam waited,Mishnah Sotah 1:9
write the scroll.From what,Mishnah Sotah 2:3
in any language:the section,Mishnah Sotah 7:1
holy tongue (Hebrew):The reading,Mishnah Sotah 7:2
and curses [pronounced]?When Israel,Mishnah Sotah 7:5
priestly blessing [pronounced]?In the,Mishnah Sotah 7:6
high priest [performed]?The hazzan,Mishnah Sotah 7:7
by the king?At the,Mishnah Sotah 7:8
not return home:He who,Mishnah Sotah 8:3
disheartened’” (Deuteronomy 20:8).Rabbi Akiva,Mishnah Sotah 8:5
child is fit:If the,Mishnah Gittin 9:4
add a fifth:One who,Mishnah Bava Metzia 4:8
those who sell:If one,Mishnah Bava Batra 5:6
bequeath nor inherit.These inherit,Mishnah Bava Batra 8:1
of twenty three.From where,Mishnah Sanhedrin 1:6
by three [judges].This [litigant],Mishnah Sanhedrin 3:1
following are stoned:He who,Mishnah Sanhedrin 7:4
world to come:The three,Mishnah Sanhedrin 10:2
witnesses” (Deuteronomy 17:6).If the,Mishnah Makkot 1:7
to be flogged:One who,Mishnah Makkot 3:1
a vain oath?If he,Mishnah Shevuot 3:8
concerning four matters:Through all,Mishnah Eduyot 2:1
Matya explained them.One who,Mishnah Eduyot 2:5
disagreed with him.Garlic or,Mishnah Eduyot 2:6
disagreed with him.About a,Mishnah Eduyot 2:8
last twelve months:The judgment,Mishnah Eduyot 2:10
susceptible to impurity.The covering,Mishnah Eduyot 3:9
of Beth Shammai.One may,Mishnah Eduyot 3:10
a lenient character:One may,Mishnah Eduyot 3:11
Sages forbid them:His cow,Mishnah Eduyot 3:12
of Beth Hillel.An egg,Mishnah Eduyot 4:1
by Beth Hillel.The blood,Mishnah Eduyot 5:1
by Beth Hillel.The book,Mishnah Eduyot 5:3
by Beth Hillel.The blood,Mishnah Eduyot 5:4
concerning five things:That women,Mishnah Eduyot 6:1
[by an israelite]:milk which,Mishnah Avodah Zarah 2:7
Hillel and Shammai.He used,Pirkei Avot 2:8
Rabbi Akiva said:Merriment and,Pirkei Avot 3:13
used to say:Beloved is,Pirkei Avot 3:14
Ben Zoma said:Who is,Pirkei Avot 4:1
categories of transgression:When some,Pirkei Avot 5:8
in human beings:One that,Pirkei Avot 5:10
kinds of temperments:Easy to,Pirkei Avot 5:11
study-house (bet midrash):He who,Pirkei Avot 5:14
Bag Bag said:Turn it,Pirkei Avot 5:22
the whole world.He is,Pirkei Avot 6:1
"these are they:The Torah,",Pirkei Avot 6:10
to the menstruant.Which is,Mishnah Horayot 2:4
of Rabbi Shimon.What do,Mishnah Horayot 2:7
"account of piggul:The fistful,",Mishnah Zevachim 4:3
of six things:For the,Mishnah Zevachim 4:6
of the sacrifices?Most holy,Mishnah Zevachim 5:1
a bird sacrificed?He pinches,Mishnah Zevachim 6:4
are taken down:The flesh,Mishnah Zevachim 9:5
[reap the omer]?The agents,Mishnah Menachot 10:3
render cattle terefah:If the,Mishnah Chullin 3:1
render cattle terefah:If the,Mishnah Chullin 3:2
render birds terefah:If the,Mishnah Chullin 3:3
render birds terefah:If the,Mishnah Chullin 3:4
cover it up?One may,Mishnah Chullin 6:7
were then redeemed:Are subject,Mishnah Bekhorot 2:2
they were redeemed:Are exempt,Mishnah Bekhorot 2:3
came after it:Rabbi Tarfon,Mishnah Bekhorot 2:9
[to an expert]:Rabbi Judah,Mishnah Bekhorot 4:3
may be slaughtered:If its,Mishnah Bekhorot 6:1
and sometimes strict.How so?,Mishnah Arakhin 3:5
same as them:The offspring,Mishnah Temurah 3:1
to the first-born?He says,Mishnah Temurah 5:1
“a prostitute’s fee”?If one,Mishnah Temurah 6:2
of a dog”?If one,Mishnah Temurah 6:3
for the altar.Dedications for,Mishnah Temurah 7:1
to the altar.Unspecified dedications,Mishnah Temurah 7:2
to be burned:Chametz on,Mishnah Temurah 7:5
punishable with] karet:When one,Mishnah Keritot 1:1
for inadvertent transgressions:One who,Mishnah Keritot 2:2
for multiple transgressions:One who,Mishnah Keritot 2:3
[does this refer]?To one,Mishnah Keritot 2:5
and one asham:If an,Mishnah Keritot 3:4
for an asham:If he,Mishnah Keritot 6:6
blood was sprinkled:Rabbi Eliezer,Mishnah Meilah 1:3
relates to menahot.The law,Mishnah Meilah 2:8
with one another:To make,Mishnah Meilah 4:5
in the Temple.On the,Mishnah Tamid 7:4
and thirty-five cubits.The ascent,Mishnah Middot 5:2
"is this so?Two women,",Mishnah Kinnim 2:2
earthen vessel clean:If the,Mishnah Kelim 3:1
A metal spindle-knob:Rabbi Akiva,Mishnah Kelim 11:6
susceptible to impurity.The covering,Mishnah Kelim 12:6
contracted midras impurity:If a,Mishnah Kelim 18:6
from a bed:If it,Mishnah Kelim 19:2
types of wagons:The one,Mishnah Kelim 24:2
types of baking-troughs:If a,Mishnah Kelim 24:3
of leather covers:That of,Mishnah Kelim 24:5
types of bases:One which,Mishnah Kelim 24:6
of writing tablets:That of,Mishnah Kelim 24:7
types of beds:One that,Mishnah Kelim 24:8
types of baskets:The one,Mishnah Kelim 24:9
types of mats:One used,Mishnah Kelim 24:10
of shepherds' wallets:Those that,Mishnah Kelim 24:11
types of hides:That which,Mishnah Kelim 24:12
types of sheets:One used,Mishnah Kelim 24:13
types of napkins:One used,Mishnah Kelim 24:14
types of hip-boots:Those used,Mishnah Kelim 24:15
How so?If one's,Mishnah Kelim 25:8
they are deficient:An olive-sized,Mishnah Oholot 2:5
pot] was whole:Bet Hillel,Mishnah Oholot 5:3
"protect against it:Seeds, plants",Mishnah Oholot 8:5
mouth [pointing] outside:If an,Mishnah Oholot 9:1
off the ground:If there,Mishnah Oholot 9:4
off the ground:If there,Mishnah Oholot 9:8
a square handbreadth:If there,Mishnah Oholot 10:5
over the threshold:Rabbi Meir,Mishnah Oholot 11:7
"of non-Jewish dwelling-places:Arabs’ tents,",Mishnah Oholot 18:10
to a leniency?If the,Mishnah Negaim 1:5
to a stringency?If it,Mishnah Negaim 1:6
spots are clean:Those that,Mishnah Negaim 7:1
a clean bird:There must,Mishnah Tahorot 1:1
them are equivalent.The first,Mishnah Tahorot 2:7
susceptible to uncleanness?When they,Mishnah Tahorot 9:1
for two pressings:Bet Shammai,Mishnah Tahorot 9:7
they become clean?Bet Shammai,Mishnah Mikvaot 1:5
enter inside them:Knots [in,Mishnah Mikvaot 10:3
enter inside them:The knot,Mishnah Mikvaot 10:4
[of a bogeret]?Rabbi Yose,Mishnah Niddah 5:8
following disqualify terumah:One who,Mishnah Zavim 5:12
money of his.Originally they,Mishnah Tevul Yom 4:5
