Index Title,Genesis
Genesis 2:4,Such is the story of heaven and earth when they were created. When God יהוה made earth and heaven—
Genesis 2:5,"when no shrub of the field<sup>°</sup><sup>*</sup><i class=""footnote""><b>shrub of the field </b>I.e., suitable for pasturage.</i> was yet on earth and no grasses of the field<sup>°</sup><sup>*</sup><i class=""footnote""><b>grasses of the field </b>I.e., cereal grasses, suitable as crops.</i> had yet sprouted, because God יהוה had not sent rain upon the earth and there were no human beings to till the soil,"
Genesis 2:6,but a flow would well up from the ground and water the whole surface of the earth—
Genesis 2:7,"God יהוה formed the Human<sup>°</sup><sup>*</sup><i class=""footnote""><b>the Human </b>I.e., the progenitor of the species and the point of origin for human society. Heb. ha-’adam; trad. “man.” In the eyes of ancient Israel, the typical initiator of a lineage was male, and so the first human being would also have been imagined as male. See further the Dictionary under ’adam.</i> from the soil’s humus,<sup>°</sup><sup>*</sup><i class=""footnote""><b>soil’s humus </b>Heb. ‘afar min ha-’adamah, rendered to emulate the wordplay with Heb. ha-’adam “the Human”; more precisely, “loose dirt from the soil.” NJPS “dust of the earth.”</i> blowing into his nostrils the breath of life: the Human became a living being."
Genesis 2:8,"God יהוה planted a garden in Eden, in the east, and placed there the Human who had been fashioned."
Genesis 2:9,"And from the ground God יהוה caused to grow every tree that was pleasing to the sight and good for food, with the tree of life in the middle of the garden, and the tree of knowledge of good and bad."
Genesis 2:10,"A river issues from Eden to water the garden, and it then divides and becomes four branches."
Genesis 2:11,"The name of the first is Pishon, the one that winds through the whole land of Havilah, where the gold is."
Genesis 2:12,"(The gold of that land is good; bdellium is there, and lapis lazuli.<sup>*</sup><sup>*</sup><i class=""footnote""><b>lapis lazuli </b>Others “onyx”; meaning of Heb. shoham uncertain.</i> )"
Genesis 2:13,"The name of the second river is Gihon, the one that winds through the whole land of Cush."
Genesis 2:14,"The name of the third river is Tigris, the one that flows east of Asshur. And the fourth river is the Euphrates."
Genesis 2:15,"God יהוה settled the Human in the garden of Eden, to till it and tend it."
Genesis 2:16,"And God יהוה commanded the Human, saying, “Of every tree of the garden you are free to eat;"
Genesis 2:17,"but as for the tree of knowledge of good and bad, you must not eat of it; for as soon as you eat of it, you shall die.”"
Genesis 2:18,"God יהוה said, “It is not good for the Human to be alone; I will make a fitting counterpart for him.”"
Genesis 2:19,"And God יהוה formed out of the earth all the wild beasts and all the birds of the sky, and brought them to the Human to see what he would call them; and whatever the Human called each living creature, that would be its name."
Genesis 2:20,And the Human gave names to all the cattle and to the birds of the sky and to all the wild beasts; but no fitting counterpart for a human being was found.
Genesis 2:21,"So God יהוה cast a deep sleep upon the Human; and, while he slept, [God] took one of his sides<sup>°</sup><sup>*</sup><i class=""footnote""><b>sides </b>Heb. ṣela‘ot, trad. “ribs.” Cf. 1 Kings 6.34; Exod. 25.12; 26.20, 26–27, 35; 30.4.</i> and closed up the flesh at that site."
Genesis 2:22,"And God יהוה fashioned the side that had been taken from the Human into a woman, bringing her to the Human."
Genesis 2:23,"Then the Human said,<br>“This one at last<br>Is bone of my bones<br>And flesh of my flesh.<br>This one shall be called Woman,<sup>°</sup><sup>*</sup><i class=""footnote""><b>Woman </b>Heb. ’ishshah; so trad. More precisely in context, “a (female) member of the human species.” See next note and the Dictionary under ’ish.</i> <br>For from a Human<sup>°</sup><sup>*</sup><i class=""footnote""><b>a Human </b>More precisely, “the (formerly lone) member of the human species.” NJPS “man”; trad. “Man.” See the Dictionary under ’ish.</i> was she taken.”"
Genesis 2:24,"Hence a man<sup>°</sup><sup>*</sup><i class=""footnote""><b>man </b>So trad.; Heb. ’ish. Contrast the previous verse.</i> leaves his father and mother and clings to his wife,<sup>°</sup><sup>*</sup><i class=""footnote""><b>wife </b>So trad.; Heb. ’ishshah (with possessive suffix). Cf. the previous note and contrast the previous verse.</i> so that they become one flesh."
Genesis 2:25,"The two of them were naked,<sup>*</sup><sup>*</sup><i class=""footnote""><b>naked </b>Heb. ‘arummim, play on ‘arum “shrewd” in 3.1.</i> the Human<sup>°</sup><sup>*</sup><i class=""footnote""><b>the Human </b>Heb. ha-’adam; trad. “the man.” See note at v. 7.</i> and his wife, yet they felt no shame."
Genesis 3:1,"Now the serpent was the shrewdest of all the wild beasts that God יהוה had made. It said to the woman, “Did God really say: You shall not eat of any tree of the garden?”"
Genesis 3:2,"The woman replied to the serpent, “We may eat of the fruit of the other trees of the garden."
Genesis 3:3,"It is only about fruit of the tree in the middle of the garden that God said: ‘You shall not eat of it or touch it, lest you die.’”"
Genesis 3:4,"And the serpent said to the woman, “You are not going to die,"
Genesis 3:5,"but God knows that as soon as you eat of it your eyes will be opened and you will be like divine beings who know<sup>*</sup><sup>*</sup><i class=""footnote""><b>divine beings who know </b>Others “God, who knows.”</i> good and bad.”"
Genesis 3:6,"When the woman saw that the tree was good for eating and a delight to the eyes, and that the tree was desirable as a source of wisdom, she took of its fruit and ate. She also gave some to her husband, and he ate."
Genesis 3:7,Then the eyes of both of them were opened and they perceived that they were naked; and they sewed together fig leaves and made themselves loincloths.
Genesis 3:8,They heard the sound of God יהוה moving about in the garden at the breezy time of day; and the Human and his wife hid from God יהוה among the trees of the garden.
Genesis 3:9,"God יהוה called out to the Human and said to him, “Where are you?”"
Genesis 3:10,"He replied, “I heard the sound of You in the garden, and I was afraid because I was naked, so I hid.”"
Genesis 3:11,“Who told you that you were naked? Did you eat of the tree from which I had forbidden you to eat?”
Genesis 3:12,"The Human said, “The woman You put at my side—she gave me of the tree, and I ate.”"
Genesis 3:13,"And God יהוה said to the woman, “What is this you have done!” The woman replied, “The serpent duped me, and I ate.”"
Genesis 3:14,"Then God יהוה said to the serpent,<br>“Because you did this,<br>More cursed shall you be<br>Than all cattle<br>And all the wild beasts:<br>On your belly shall you crawl<br>And dirt shall you eat<br>All the days of your life.<br>"
Genesis 3:15,"I will put enmity<br>Between you and the woman,<br>And between your offspring and hers;<br>They shall strike at your head,<br>And you shall strike at their heel.”"
Genesis 3:16,"And to the woman [God] said,<br>“I will greatly expand<br>Your hard labor—and your pregnancies;<br>In hardship shall you bear children.<br>Yet your urge shall be for your husband,<br>And he shall rule over you.”<sup>°</sup><sup>*</sup><i class=""footnote""><b>rule over you </b>(So NJPS.) I.e., for matters of sexual relations he will have the last word.</i> "
Genesis 3:17,"To Adam [God] said, “Because you did as your wife said and ate of the tree about which I commanded you, ‘You shall not eat of it,’<br>Cursed be the ground because of you;<br>By hard labor shall you eat of it<br>All the days of your life:<br>"
Genesis 3:18,Thorns and thistles shall it sprout for you.<br>But your food shall be the grasses of the field;<br>
Genesis 3:19,"By the sweat of your brow<br>Shall you get bread to eat,<br>Until you return to the ground—<br>For from it you were taken.<br>For dust<sup>°</sup><sup>*</sup><i class=""footnote""><b>dust </b>Heb. ‘afar. Cf. the second note at 2.7.</i> you are,<br>And to dust you shall return.”"
Genesis 3:20,"The Human named his wife Eve,<sup>*</sup><sup>*</sup><i class=""footnote""><b>Eve </b>Heb. ḥawwaḥ.</i> because she was the mother of all the living.<sup>*</sup><sup>*</sup><i class=""footnote""><b>living </b>Heb. ḥai.</i> "
Genesis 3:21,"And God יהוה made garments of skins for Adam and his wife, and clothed them."
Genesis 3:22,"And God יהוה said, “Now that humankind has become like any of us, knowing good and bad, what if one should stretch out a hand and take also from the tree of life and eat, and live forever!”"
Genesis 3:23,"So God יהוה banished humankind<sup>°</sup><sup>*</sup><i class=""footnote""><b>humankind </b>Moved up from v. 24 for clarity.</i> from the garden of Eden, to till the humus<sup>°</sup><sup>*</sup><i class=""footnote""><b>humus </b>Lit. “soil.” See the second note at 2.7.</i> from which it was taken:"
Genesis 3:24,"it was driven out; and east of the garden of Eden were stationed the cherubim and the fiery ever-turning sword, to guard the way to the tree of life."
Genesis 4:1,"Now the Human knew<sup>*</sup><sup>*</sup><i class=""footnote""><b>knew </b>Heb. yada‘, often in a sexual sense.</i> his wife Eve, and she conceived and bore Cain, saying, “I have gained<sup>*</sup><sup>*</sup><i class=""footnote""><b>gained </b>Echoing the Heb. wordplay: qanithi, connected with “Cain”; lit. “created, acquired.”</i> a person<sup>°</sup><sup>*</sup><i class=""footnote""><b>a person </b>Or “someone new.” Lit. “a participant whose involvement defines the depicted situation.” Unlike “man” in contemporary English, Heb. ’ish can include infants in its denotative scope, as here and in Isa. 66.13. NJPS “male child”; trad. “man.” Cf. note at Num. 30.4 and see the Dictionary under ’ish.</i> with the help of<sup>°</sup><sup>*</sup><i class=""footnote""><b>with the help of </b>Or “as did”; precise force of Heb. ’et uncertain.</i> יהוה.”"
Genesis 4:2,"She then bore his brother Abel. Abel became a keeper of sheep, and Cain became a tiller of the soil."
Genesis 4:3,"In the course of time, Cain brought an offering to יהוה from the fruit of the soil;"
Genesis 4:4,"and Abel, for his part, brought the choicest of the firstlings of his flock. יהוה paid heed to Abel and his offering,"
Genesis 4:5,but to Cain and his offering [God] paid no heed. Cain was much distressed and his face fell.
Genesis 4:6,"And יהוה said to Cain,<br>“Why are you distressed,<br>And why is your face fallen?<br>"
Genesis 4:7,"<sup>*</sup><sup>*</sup><i class=""footnote"">Meaning of verse uncertain.</i> Surely, if you do right,<br>There is uplift.<br>But if you do not do right<br>Sin couches at the door;<br>Its urge is toward you,<br>Yet you can be its master.”"
Genesis 4:8,"Cain said to his brother Abel …<sup>*</sup><sup>*</sup><i class=""footnote""><b>… </b>Ancient versions, including the Targum, read “Come, let us go out into the field.”</i> and when they were in the field, Cain set upon his brother Abel and killed him."
Genesis 4:9," יהוה said to Cain, “Where is your brother Abel?” And he said, “I do not know. Am I my brother’s keeper?”"
Genesis 4:10,"“What have you done? Hark, your brother’s blood cries out to Me from the ground!"
Genesis 4:11,"Therefore, you shall be more cursed than the ground,<sup>*</sup><sup>*</sup><i class=""footnote""><b>more cursed than the ground </b>See 3.17.</i> which opened its mouth to receive your brother’s blood from your hand."
Genesis 4:12,"If you till the soil, it shall no longer yield its strength to you. You shall become a ceaseless wanderer on earth.”"
Genesis 4:13,"Cain said to יהוה, “My punishment is too great to bear!"
Genesis 4:14,"Since You have banished me this day from the soil, and I must avoid Your presence and become a restless wanderer on earth—anyone who meets me may kill me!”"
Genesis 4:15,"יהוה said to him, “I promise, if anyone kills Cain, sevenfold vengeance shall be exacted.” And יהוה put a mark on Cain, lest anyone who met him should kill him."
Genesis 4:16,"Cain left the presence of יהוה and settled in the land of Nod, east of Eden."
Genesis 4:17,"Cain knew his wife, and she conceived and bore Enoch. And he then founded a city, and named the city after his son Enoch."
Genesis 4:18,"To Enoch was born Irad, and Irad begot Mehujael, and Mehujael<sup>*</sup><sup>*</sup><i class=""footnote""><b>Mehujael </b>Heb. Meḥiya’el.</i> begot Methusael, and Methusael begot Lamech."
Genesis 4:19,"Lamech took to himself two wives: the name of the one was Adah, and the name of the other was Zillah."
Genesis 4:20,Adah bore Jabal; he was the ancestor of those who dwell in tents and amidst herds.
Genesis 4:21,And the name of his brother was Jubal; he was the ancestor of all who play the lyre and the pipe.
Genesis 4:22,"As for Zillah, she bore Tubal-cain, who forged all implements of copper and iron. And the sister of Tubal-cain was Naamah."
Genesis 4:23,"And Lamech said to his wives,<br>“Adah and Zillah, hear my voice;<br>O wives of Lamech, give ear to my speech.<br>I have slain a person for wounding me,<br>And a lad for bruising me.<br>"
Genesis 4:24,"If Cain is avenged sevenfold,<br>Then Lamech seventy-sevenfold.”"
Genesis 4:25,"Adam knew his wife again, and she bore a son and named him Seth, meaning, “God has provided me with<sup>*</sup><sup>*</sup><i class=""footnote""><b>provided me with </b>Or “established for me”; Heb. shath, connected with “Seth.”</i> another offspring in place of Abel,” for Cain had killed him."
Genesis 4:26,"And to Seth, in turn, a son was born, and he named him Enosh. It was then that יהוה began to be invoked by name."
Genesis 5:1,"This is the record of Adam’s line.—When God created humankind, it was made in the likeness of God;"
Genesis 5:2,"male and female were they created. And when they were created, [God] blessed them and called them Humankind.<sup>°</sup><sup>*</sup><i class=""footnote""><b>Humankind </b>Heb. ’adam; NJPS “Man,” trad. “Adam.”</i> —"
Genesis 5:3,"When Adam had lived 130 years, he begot a son in his likeness after his image, and he named him Seth."
Genesis 5:4,"After the birth of Seth, Adam lived 800 years and begot sons and daughters."
Genesis 5:5,All the days that Adam lived came to 930 years; then he died.
Genesis 5:6,"When Seth had lived 105 years, he begot Enosh."
Genesis 5:7,"After the birth of Enosh, Seth lived 807 years and begot sons and daughters."
Genesis 5:8,All the days of Seth came to 912 years; then he died.
Genesis 5:9,"When Enosh had lived 90 years, he begot Kenan."
Genesis 5:10,"After the birth of Kenan, Enosh lived 815 years and begot sons and daughters."
Genesis 5:11,All the days of Enosh came to 905 years; then he died.
Genesis 5:12,"When Kenan had lived 70 years, he begot Mahalalel."
Genesis 5:13,"After the birth of Mahalalel, Kenan lived 840 years and begot sons and daughters."
Genesis 5:14,All the days of Kenan came to 910 years; then he died.
Genesis 5:15,"When Mahalalel had lived 65 years, he begot Jared."
Genesis 5:16,"After the birth of Jared, Mahalalel lived 830 years and begot sons and daughters."
Genesis 5:17,All the days of Mahalalel came to 895 years; then he died.
Genesis 5:18,"When Jared had lived 162 years, he begot Enoch."
Genesis 5:19,"After the birth of Enoch, Jared lived 800 years and begot sons and daughters."
Genesis 5:20,All the days of Jared came to 962 years; then he died.
Genesis 5:21,"When Enoch had lived 65 years, he begot Methuselah."
Genesis 5:22,"After the birth of Methuselah, Enoch walked with God 300 years; and he begot sons and daughters."
Genesis 5:23,All the days of Enoch came to 365 years.
Genesis 5:24,"Enoch walked with God; then he was no more, for God took him."
Genesis 5:25,"When Methuselah had lived 187 years, he begot Lamech."
Genesis 5:26,"After the birth of Lamech, Methuselah lived 782 years and begot sons and daughters."
Genesis 5:27,All the days of Methuselah came to 969 years; then he died.
Genesis 5:28,"When Lamech had lived 182 years, he begot a son."
Genesis 5:29,"And he named him Noah, saying, “This one will provide us relief<sup>*</sup><sup>*</sup><i class=""footnote""><b>relief </b>Connecting Noah with Heb. niḥam “to comfort”; cf. 9.20ff.</i> from our work and from the toil of our hands, out of the very soil which יהוה placed under a curse.”"
Genesis 5:30,"After the birth of Noah, Lamech lived 595 years and begot sons and daughters."
Genesis 5:31,All the days of Lamech came to 777 years; then he died.
Genesis 5:32,"When Noah had lived 500 years, Noah begot Shem, Ham, and Japheth."
Genesis 6:1,"When humankind began to increase on earth and daughters were born to them,"
Genesis 6:2,"the [males among the] divine beings<sup>*</sup><sup>*</sup><i class=""footnote""><b>divine beings </b>Others “sons of God.”</i> saw how pleasing the human women were and took wives from among those who delighted them.—"
Genesis 6:3,"יהוה said, “My breath shall not abide<sup>*</sup><sup>*</sup><i class=""footnote""><b>abide </b>Meaning of Heb. uncertain.</i> in humankind forever, since it too is flesh; let the days allowed them be one hundred and twenty years.”—"
Genesis 6:4,"It was then, and later too, that the Nephilim appeared on earth—when divine beings cohabited with the human women, who bore them offspring. Such were the heroes of old, the men of renown."
Genesis 6:5,יהוה saw how great was human wickedness on earth—how every plan devised by the human mind was nothing but evil all the time.
Genesis 6:6,"And יהוה regretted having made humankind on earth. With a sorrowful heart,"
Genesis 6:7," יהוה said, “I will blot out from the earth humankind whom I created—humans together with beasts, creeping things, and birds of the sky; for I regret that I made them.”"
Genesis 6:8,But Noah found favor with יהוה.
Genesis 6:9,This is the line of Noah.—Noah was a righteous man; he was blameless in his age; Noah walked with God.—
Genesis 6:10,"Noah begot three sons: Shem, Ham, and Japheth."
Genesis 6:11,The earth became corrupt before God; the earth was filled with lawlessness.
Genesis 6:12,"When God saw how corrupt the earth was, for all flesh had corrupted its ways on earth,"
Genesis 6:13,"God said to Noah, “I have decided to put an end to all flesh, for the earth is filled with lawlessness because of them: I am about to destroy them with the earth."
Genesis 6:14,"Make yourself an ark of gopher wood; make it an ark with compartments, and cover it inside and out with pitch."
Genesis 6:15,"This is how you shall make it: the length of the ark shall be three hundred cubits, its width fifty cubits, and its height thirty cubits."
Genesis 6:16,"Make an opening for daylight in the ark, and terminate it within a cubit of the top.<sup>*</sup><sup>*</sup><i class=""footnote""><b>terminate it within a cubit of the top </b>Meaning of Heb. uncertain.</i> Put the entrance to the ark in its side; make it with bottom, second, and third decks."
Genesis 6:17,"“For My part, I am about to bring the Flood—waters upon the earth—to destroy all flesh under the sky in which there is breath of life; everything on earth shall perish."
Genesis 6:18,"But I will establish My covenant with you, and you shall enter the ark, with your sons, your wife, and your sons’ wives."
Genesis 6:19,"And of all that lives, of all flesh, you shall take two of each into the ark to keep alive with you; they shall be male and female."
Genesis 6:20,"From birds of every kind, cattle of every kind, every kind of creeping thing on earth, two of each shall come to you to stay alive."
Genesis 6:21,"For your part, take of everything that is eaten and store it away, to serve as food for you and for them.”"
Genesis 6:22,"Noah did so; just as God commanded him, so he did."
Genesis 7:1,"Then יהוה said to Noah, “Go into the ark, with all your household, for you alone have I found righteous before Me in this generation."
Genesis 7:2,"Of every pure animal you shall take seven pairs, males and their mates, and of every animal that is not pure, two, a male and its mate;"
Genesis 7:3,"of the birds of the sky also, seven pairs, male and female, to keep seed alive upon all the earth."
Genesis 7:4,"For in seven days’ time I will make it rain upon the earth, forty days and forty nights, and I will blot out from the earth all existence that I created.”"
Genesis 7:5,And Noah did just as יהוה commanded him.
Genesis 7:6,"Noah was six hundred years old when the Flood came, waters upon the earth."
Genesis 7:7,"Noah, with his sons, his wife, and his sons’ wives, went into the ark because of the waters of the Flood."
Genesis 7:8,"Of the pure animals, of the animals that are not pure, of the birds, and of everything that creeps on the ground,"
Genesis 7:9,"two of each, male and female, came to Noah into the ark, as God had commanded Noah."
Genesis 7:10,And on the seventh day the waters of the Flood came upon the earth.
Genesis 7:11,"In the six hundredth year of Noah’s life, in the second month, on the seventeenth day of the month, on that day<br>All the fountains of the great deep burst apart,<br>And the floodgates of the sky broke open."
Genesis 7:12,(The rain fell on the earth forty days and forty nights.)
Genesis 7:13,"That same day Noah and Noah’s sons, Shem, Ham, and Japheth, went into the ark, with Noah’s wife and the three wives of his sons—"
Genesis 7:14,"they and all beasts of every kind, all cattle of every kind, all creatures of every kind that creep on the earth, and all birds of every kind, every bird, every winged thing."
Genesis 7:15,"They came to Noah into the ark, two each of all flesh in which there was breath of life."
Genesis 7:16,"Thus they that entered comprised male and female of all flesh, as God had commanded him. And יהוה shut him in."
Genesis 7:17,"The Flood continued forty days on the earth, and the waters increased and raised the ark so that it rose above the earth."
Genesis 7:18,"The waters swelled and increased greatly upon the earth, and the ark drifted upon the waters."
Genesis 7:19,"When the waters had swelled much more upon the earth, all the highest mountains everywhere under the sky were covered."
Genesis 7:20,"Fifteen cubits higher did the waters swell, as the mountains were covered."
Genesis 7:21,"And all flesh that stirred on earth perished—birds, cattle, beasts, and all the things that swarmed upon the earth, and all humankind."
Genesis 7:22,"All in whose nostrils was the merest breath of life, all that was on dry land, died."
Genesis 7:23,"All existence on earth was blotted out—humans, cattle, creeping things, and birds of the sky; they were blotted out from the earth. Only Noah was left, and those with him in the ark."
Genesis 7:24,"And when the waters had swelled on the earth one hundred and fifty days,"
Genesis 8:1,"God remembered Noah and all the beasts and all the cattle that were with him in the ark, and God caused a wind to blow across the earth, and the waters subsided."
Genesis 8:2,"The fountains of the deep and the floodgates of the sky were stopped up, and the rain from the sky was held back;"
Genesis 8:3,"the waters then receded steadily from the earth. At the end of one hundred and fifty days the waters diminished,"
Genesis 8:4,"so that in the seventh month, on the seventeenth day of the month, the ark came to rest on the mountains of Ararat."
Genesis 8:5,"The waters went on diminishing until the tenth month; in the tenth month, on the first of the month, the tops of the mountains became visible."
Genesis 8:6,"At the end of forty days, Noah opened the window of the ark that he had made"
Genesis 8:7,and sent out the raven; it went to and fro until the waters had dried up from the earth.
Genesis 8:8,Then he sent out the dove to see whether the waters had decreased from the surface of the ground.
Genesis 8:9,"But the dove could not find a resting place for its foot, and returned to him to the ark, for there was water over all the earth. So putting out his hand, he took it into the ark with him."
Genesis 8:10,"He waited another seven days, and again sent out the dove from the ark."
Genesis 8:11,"The dove came back to him toward evening, and there in its bill was a plucked-off olive leaf! Then Noah knew that the waters had decreased on the earth."
Genesis 8:12,He waited still another seven days and sent the dove forth; and it did not return to him any more.
Genesis 8:13,"In the six hundred and first year, in the first month, on the first of the month, the waters began to dry from the earth; and when Noah removed the covering of the ark, he saw that the surface of the ground was drying."
Genesis 8:14,"And in the second month, on the twenty-seventh day of the month, the earth was dry."
Genesis 8:15,"God spoke to Noah, saying,"
Genesis 8:16,"“Come out of the ark, together with your wife, your sons, and your sons’ wives."
Genesis 8:17,"Bring out with you every living thing of all flesh that is with you: birds, animals, and everything that creeps on earth; and let them swarm on the earth and be fertile and increase on earth.”"
Genesis 8:18,"So Noah came out, together with his sons, his wife, and his sons’ wives."
Genesis 8:19,"Every animal, every creeping thing, and every bird, everything that stirs on earth came out of the ark by families."
Genesis 8:20,"Then Noah built an altar to יהוה and, taking of every pure animal and of every pure bird, he offered burnt offerings on the altar."
Genesis 8:21,"יהוה smelled the pleasing odor, and יהוה resolved: “Never again will I doom the earth because of humankind, since the devisings of the human mind are evil from youth; nor will I ever again destroy every living being, as I have done.<br>"
Genesis 8:22,"So long as the earth endures,<br>Seedtime and harvest,<br>Cold and heat,<br>Summer and winter,<br>Day and night<br>Shall not cease.”"
Genesis 9:1,"God blessed Noah and his sons, and said to them, “Be fertile and increase, and fill the earth."
Genesis 9:2,The fear and the dread of you shall be upon all the beasts of the earth and upon all the birds of the sky—everything with which the earth is astir—and upon all the fish of the sea; they are given into your hand.
Genesis 9:3,"Every creature that lives shall be yours to eat; as with the green grasses, I give you all these."
Genesis 9:4,"You must not, however, eat flesh with its life-blood in it."
Genesis 9:5,"But for your own life-blood I will require a reckoning: I will require it of every beast; of humankind, too, will I require a reckoning for human life, of everyone for each other!<br>"
Genesis 9:6,"Whoever sheds human blood,<br>By human [hands] shall that one’s blood be shed;<br>For in the image of God<br>Was humankind made."
Genesis 9:7,"Be fertile, then, and increase; abound on the earth and increase on it.”"
Genesis 9:8,"And God said to Noah and to his sons with him,"
Genesis 9:9,"“I now establish My covenant with you and your offspring to come,"
Genesis 9:10,"and with every living thing that is with you—birds, cattle, and every wild beast as well—all that have come out of the ark, every living thing on earth."
Genesis 9:11,"I will maintain My covenant with you: never again shall all flesh be cut off by the waters of a flood, and never again shall there be a flood to destroy the earth.”"
Genesis 9:12,"God further said, “This is the sign that I set for the covenant between Me and you, and every living creature with you, for all ages to come."
Genesis 9:13,"I have set My bow in the clouds, and it shall serve as a sign of the covenant between Me and the earth."
Genesis 9:14,"When I bring clouds over the earth, and the bow appears in the clouds,"
Genesis 9:15,"I will remember My covenant between Me and you and every living creature among all flesh, so that the waters shall never again become a flood to destroy all flesh."
Genesis 9:16,"When the bow is in the clouds, I will see it and remember the everlasting covenant between God and all living creatures, all flesh that is on earth."
Genesis 9:17,"That,” God said to Noah, “shall be the sign of the covenant that I have established between Me and all flesh that is on earth.”"
Genesis 9:18,"The sons of Noah who came out of the ark were Shem, Ham, and Japheth—Ham being the father of Canaan."
Genesis 9:19,"These three were the sons of Noah, and from these the whole world branched out."
Genesis 9:20,"Noah, the tiller of the soil,<sup>°</sup><sup>*</sup><i class=""footnote""><b>the tiller of the soil </b>Or “a man of the soil.”</i> was the first to plant a vineyard."
Genesis 9:21,"He drank of the wine and became drunk, and he uncovered himself within his tent."
Genesis 9:22,"Ham, the father of Canaan, saw his father’s nakedness and told his two brothers outside."
Genesis 9:23,"But Shem and Japheth took a cloth, placed it against both their backs and, walking backward, they covered their father’s nakedness; their faces were turned the other way, so that they did not see their father’s nakedness."
Genesis 9:24,"When Noah woke up from his wine and learned what his youngest son had done to him,"
Genesis 9:25,"he said,<br>“Cursed be Canaan;<br>The lowest of slaves<br>Shall he be to his brothers.”"
Genesis 9:26,"And he said,<br>“Blessed be יהוה,<br>The God of Shem;<br>Let Canaan be a slave to them.<br>"
