versionTitle,count,Short Title
"Mishnah Torah, Yod ha-hazakah, trans. by Simon Glazer, 1927",13,Translat
Eighteen Treatises from the Mishna,13,
The Rashi Ketuvim by Rabbi Shraga Silverstein,13,
Rabbi Mark Greenspan,12,
"The Twelve Prophets, English translation by A. Cohen, Soncino Press, 1948",12,
Wikisource Talmud,12,
"Jad Haghasakkah, trans. by L. Mandelstamm. St. Petersburg, 1851. Corrected and edited by Igor Itkin - German [de]",11,
"Sefaria Edition. Translated by R. Francis Nataf, 2019",10,
Daf Shevui,10,Dr. Joshua Kulp
"The Metsudah Tanach series, Lakewood, N.J",10,
"The Metsudah Five Megillot, Lakewood, N.J., 2001",10,
"Peninei Halakhah, English ed. Yeshivat Har Bracha",8,
"Ami Silver, 2020",7,
"Yad-Hachazakah, edited by Elias Soloweyczik; London, 1863",6,
"Rashi Chumash, Metsudah Publications, 2009",5,
"Contemporary halakhic problems, by J. David Bleich, 1977-2005",5,
"Metsudah Chumash, Metsudah Publications, 2009",5,
Wikisource,5,
VBM Torah,5,
"Or Hachayim, trans. Eliyahu Munk",5,
"The Targum of Jonathan ben Uzziel, trans. J. W. Etheridge, London, 1862",5,
"Metsudah Chumash, Metsudah Publications, 2009 [with Onkelos translation]",5,
"Ibn Ezra's commentary on the Pentateuch, tran. and annot. by H. Norman Strickman and Arthur M. Silver. Menorah Pub., 1988-2004",5,
The Rashi chumash by Rabbi Shraga Silverstein,5,
"Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann, 1929-1934",5,
"The Five Megilloth, English translation by A. Cohen, Soncino Press, 1946",5,
"Torah Yesharah, translated and edited by Chas. Kahane. New York, 1963",5,
"Introductions to Ha'amek Davar. Trans. by Elchanan Greenman, 2019",5,
Daat Zekenim translated by Rb. Eliyahu Munk,5,
"Commentary on the Torah by Ramban (Nachmanides). Translated and annotated by Charles B. Chavel. New York, Shilo Pub. House, 1971-1976",5,
"Duties of the Heart, trans. Rabbi Yosef Sebag",4,
German [de],4,
"Tosafot, Translated by Jan Buckler.",4,
"Gray Matter, by Chaim Jachter. Teaneck, N.J, 2000-2012",4,
"The Metsudah Selichos: translated and annotated by Rabbi Avrohom Davis, Metsudah Publications, 1986",3,
Natan Waingortin,3,
"Chronicles, English translation by I.W. Slotki, Soncino Press, 1952",3,
Wikisource Mikraot Gedolot,3,
Sefaria Community Translation [fi],3,
Sefaria Community Translation [pt],3,
"Il Pentateuco. Traduzione italiana di Samuel David Luzzatto, 1872 [it]",3,
Sefaria Edition,3,
"Daniel, Ezra and Nehemiah, English translation by Judah J. Slotki, Soncino Press, 1951",3,
"Rabbi David Schwartz, 2019",2,
Vilna Ed,2,
Daf Shevui - 2,2,
Alfredo cerhy español,2,
Sifra by Rabbi Shraga Silverstein,2,
"Translation based on the Metsudah linear siddur, by Avrohom Davis, 1981",2,
The Laws of Salting Meat -- Rabbi Ari Enkin,2,
"The Standard Prayer Book, tr. by Simeon Singer, [1915]",2,
"Tractate Berakot by A. Cohen, Cambridge University Press, 1921",2,
"Der Pentateuch, übersetzt und erläutert von Samson Raphael Hirsch. Frankfurt am Main, 1867-1878 [de]",2,
"Hupah veKiddushin, trans. by Norman T. Roman. HUC, 1975",2,
"Code of Hebrew Law by Chaim N. Denburg, Montreal, 1955",2,
"Majzor para Rosh Hashaná y Iom Kipur, Marcos Edery, Marshall T. Meyer, Seminario Rabínico Latinoamericano. 2020 [es]",2,
"En Jacob, translated by SH Glick, 1916",2,
Wikisource Shulchan Aruch,2,
unknown,2,
Sifrei by Rabbi Shraga Silverstein,2,
YU Torah miTzion Beit Midras,2,
Eighteen Treatises from the Mishnah,2,
Book of Legends version,2,
"Contemporary halakhic problems; by J. David Bleich, 1977-2005",2,
"Modernized Tanakh - Based on JPS 1917, Edited by Adam Cohn",2,
"Townsend 1989 translation of Midrash Tanhuma, S. Buber Recension, edited and supplemented by R. Francis Nataf",2,
"Sefaria Edition 2021, Translated by Rabbi Francis Nataf.",2,
"The Soul of Life, translated by Leonard Moskowitz, Teaneck, NJ 2012 [Rev. 1.5]",2,
"Sefer Yezirah, trans. by Isidor Kalisch. New York, 1877",2,
Mishnah Berura Amud Yomi,1,
"Jerusalem. Maggid Books, 2013",1,
"Shulchan Aruch by Yosef Karo, translated from Hebrew by Wikisource",1,
Rabbi Mike Feuer,1,
Avadim - Chapter 9,1,
"Ritual de oraciones para todo el ano. Traducción, adaptación y notas de Marcos Edery, 1965 [es]",1,
"Torah Commentary by Rabbi Bachya ben Asher, trans. Eliyahu Munk, 1998.",1,
Hakakhah.com,1,
Yeshiva Har Etzion ,1,
Pashanut Salt of the Earth,1,
Rabbi Yoni Dahlen's translation,1,
"Detroit: Wayne State University Press, 1969",1,
"J.W. Etheridge. The Targums of Onkelos and Jonathan Ben Uzziel on the Pentateuch. London: Longmans, Green, 1862",1,
"The Concise Book of Mitzvoth: The Commandments Which Can Be Observed Today, trans. Charles Wengrov ",1,
James Montgomery (1907),1,
Jewish Approach to Abortion ,1,
"Die fünf Bücher Moses, trans. Dr. J. Wohlgemuth, Rödelheim 1899 [de]",1,
Laws of Salting Meat -- Rabbi Ari Enkin,1,
"Duties of the Heart, translated by Edwin Collins, 1909",1,
"Mendes, London, 1862",1,
"Sefer Hayashar, trans. Seymour J. Cohen. 1973.",1,
Siddur Sim Shalom,1,
"138 Openings of Wisdom, translated by Rabbi Avraham Greenbaum. The Azamra Institute, 2005",1,
Seder Tisha B'Av - English instructions,1,
Schulchan Aruch Deutsch by Igor Itkin ,1,
Asher Meza (without commentary),1,
Suomi Käännös [fi],1,
En Jacob,1,
"The Book of Tobit, English translation by A. Neubauer, 1878",1,
"Tosafot, Translated by Jan Buckler",1,
"Shulján Aruj, Oraj Jaim, trad. Jordán Raber [es]",1,
Portuguese Version [pt],1,
From Joshua Kulp source sheet,1,
"Tosafot Yom Tov on Avot, trans. Dov Dukhovny, 2018",1,
"R. David Kimhi on the first book of Psalms, Translated by R.G. Finch, London, 1919",1,
"Biblical Aramaic into Hebrew, Rabbi Dan Be'eri, 2004",1,
"Oxford: The East and West library, 1945",1,
Chabad.org,1,
"Eighteen Treatises from the Mishna, by D. A. Sola and M. J. Raphall, [1843], at sacred-texts.com",1,
"Shekel Hakodesh, trans. Hermann Gollancz, London 1919",1,
"The Psalms, English translation by A. Cohen, Soncino Press, 1945",1,
Akeydat Yitzchak by Eliyahu Munk,1,
Vayikra Rabbah 23:3,1,
"Likutey Moharan Volumes 1-11, trans. by Moshe Mykoff. Breslov Research Inst., 1986-2012",1,
water,1,
Torah.org translation,1,
Professor Twesky,1,
"Guide for the Perplexed, English Translation, Friedlander (1903)",1,
Zohar : Volume 1 : Daf 33b,1,
"The Book of Jubilees, trans. R. H. Charles. London [1917]",1,
JPS translation of Bereshit 2:1-3,1,
Torat Emet 363,1,
Jewish English Torah,1,
adapted to modernize,1,
"Tur Choshen Mishpat: Vilna, 1923",1,
Feldheim edition ,1,
Mishnah Berurah,1,
Rashi on Genesis: Suomi by Ezra Lindholm [fi],1,
Mishnah Berurah 625:1 English,1,
Translated by Rb. Eliyahu Munk,1,
"Mishná Shabbat, Raber [es]",1,
Avadim - Chapter 8,1,
"Gifts for the Poor, Trans. by Joseph B. Meszler, Williamsburg, Virginia, 2003",1,
Kohelet Rabbah,1,
" Perek Shirah, translation and adaptation by Aharon N. Varady and Rabbi Natan Slifkin",1,
"Sifsei Chachomim Chumash, Metsudah Publications, 2009",1,
Sheluchin veShuttafin - Chapter Ten,1,
"(Russian) Иудейские древности — перевод Г. Г. Генкеля, 1900 г.",1,
Перевод с иврита Давида Сафронова под редакцией Андрея Графова [ru],1,
TRANSLATION,1,
Midrash Rabbah - Portuguese [pt] ,1,
"Selected Religious Poems of Solomon Ibn Gabirol, trans. Israel Zangwill. JPS, Philadelphia, 1923",1,
Wikisource Mishneh Torah,1,
"Selected Paragraphs from Arfilei Tohar, comm. Pinchas Polonsky",1,
"Bernard Drachman translation, 1899",1,
Rodkinson,1,
"Shulján Aruj, Oraj Jaim, trad. David Arias Weil [es].",1,
"Sefer HaChinukh, translated by R. Francis Nataf, Sefaria 2018",1,
Naarah Betulah - Chapter Two (mishnah one),1,
"A Choice of Pearls, English translation by B.H. Ascher, London 1859",1,
"Sefer ha-Yashar,  trans. Edward B.M. Browne, New York, 1876",1,
"Jewish Quaterly Review, 1892, Solomon Schechter",1,
talmud.de German Translation of the Mischna [de],1,
"Rabbi Moses ben Nahman (Nahmanides, 13th C. Spain), Commentary on Exodus 17:18",1,
Rabbi Yonah Bookstein,1,
Sefer Yetzirah The Book of Creation,1,
Mourner’s Kaddish in Aramaic Transliteration,1,
Theodor and Albeck,1,
"Der Kommentar des Maimonides zu den Sprüchen der Väter, Rabbiner Dr. Meyer Rawicz, 1910 [de]",1,
"The Metsudah Machzor. Metsudah Publications, New York -- en (paragraph ed.)",1,
"New York: Sanhedrin Press, c1976",1,
"The path of Torah, introduction to Ha'amek she'elah. Trans. by Elchanan Greenman. Urim, 2009",1,
JTS,1,
"Pirke de Rabbi Eliezer, trans. Rabbi Gerald Friedlander, London, 1916",1,
Avadim - Chapter 5,1,
Sefaria 2021 Edition by R. Francis Nataf,1,
"Gates of Holiness, translated by Rabbi Amiram Markel, 2013",1,
"The Metsudah Machzor. Metsudah Publications, New York",1,
"Sefaria Edition 2019, Translated by Rabbi Francis Nataf.",1,
"Raschis Pentateuchkommentar, trans. Rabb. Dr. Selig Bamberger, Hamburg, 1922. Edited by Igor Itkin [de]",1,
Alfredo cerhy español [es],1,
Footnotes to Kohelet by Bruce Heitler,1,
"De La Resurrección de los Muertos, transcrita y traducida al castellano actual por Walter Hilliger. Shehakol Inc., 2021 [es]",1,
"Coheleth, trans. by C.D.Ginsburg, London 1861",1,
Avadim - Chapter Seven,1,
Ibn Ezra on the Pentateuch; trans. by Jay F. Shachter,1,
Zachary Kleiman's translation of Seder Olam,1,
BST,1,
"Der Kommentar des Maimonides zu den Sprüchen der Väter, zum ersten Male ins Deutsche übertragen von Rabbiner Dr. Meyer Rawicz, 1910 im Selbstverlag des Verfassers.  ",1,
"Samson H. Levey, Hebrew Union College, 1934",1,
"Meguilat Bnei Jashmonai. El rollo de los Jashmoneos, Versión Español. Translator: Rabbi Uriel Romano, 2018 [es]",1,
"Proverbs, English translation by A. Cohen, Soncino Press, 1945",1,
 Essential Texts of Zionism,1,
English,1,
Rodkinson Talmud,1,
"The Responsa of Solomon Luria, by Simon Hurwitz, N.Y., 1938",1,
"Genesis Translated by Rabbi Dr. H. Freedman, BA, PhD",1,
"The Antiquities of the Jews, translated by William Whiston, 1825",1,
Fischer - correction,1,
Moed Katan 21b,1,
my version,1,
Redeeming Relevance -- Deuteronomy,1,
Nataf translation,1,
Torah.org - Project Genesis,1,
Path of the Just. Trans. Rabbi Yosef Sebag,1,
"The Improvement of the Moral Qualities, Stephen S. Wise, 1902",1,
"Megillat Antiochus, translation J. Wilhelm, 2019 [fr]",1,
Ramban (Nachmanides): Commentary on the Torah: Genesis by Rabbi Dr. Charles Chavel ,1,
"The Metsudah Machzor. Metsudah Publications, New York -- en",1,
"Moses, A Human Life. By Avivah Gottlieb Zornberg, Yale University Press, 2016",1,
"Rabbi Mike Feuer, 2019",1,
Tosefta Sukkah 4:17,1,
"Jeremiah, English translation by H. Freedman, Soncino Press, 1949",1,
"Ohr Yisrael, trans. Rabbi Irving Greenberg with Rabbi Justin Pines, 2020",1,
Eishet Chayil with English,1,
"The Psalms Targum: An English Translation (Edward M. Cook)Psalm 3 1.     A psalm of David, when he fled from the presence of Absalom his son.  2.     O Lord, how many are my oppressors, many who arise against me.  3.     Many say to my soul, “There is no redemption for him in God forever.”  4.     But you, O Lord, are a shield over me, my glory and the one who raises my head.  5.     I pray [with] my voice in the presence of the Lord; he will accept[9] my prayer from the mount of his sanctuary forever.  6.     I lay down, and I slept; I awoke, because the Lord sustains me.  7.     I will not be afraid of the strife[10] of people who have gathered against me all around.  8.     Arise, O Lord, redeem me, O my God; for you have struck all my enemies on their cheek, you have broken the teeth of the wicked.  9.     Redemption is from the presence of the Lord; your blessings are to your people forever.",1,
Jewish Bostong & Veg Translations,1,
Come and Hear,1,
"London ""Chaldee Paraphrase,"" 1871",1,
"Kitzur Shulchan Aruch, translated by Eli Rubin. ",1,
"Conversion ""According to Halakhah"" - What Is It: Judaism 23 (Fall 1974): 467-78",1,
Ibn Ezra on Exudus -- Commetator's Bible ,1,
Rabbi Mordechai Silverstein,1,
"Scholem, Gershom",1,
French Shulchan Arukh [fr],1,
"Kitab al Khazari, translated by Hartwig Hirschfeld, 1905",1,
Yona Newman Translation,1,
Schulchan Aruch by Igor Itkin ,1,
Sefaria Community Translation - Russian [ru],1,
British library,1,
"Orchot Tzaddikim, trans. Seymour J. Cohen, Ktav Pub House, 1982",1,
Artscroll Series,1,
"London, Luzac, 1903",1,
"Midrash Tanhuma, S. Buber Recension; trans. by John T. Townsend, 1989.",1,
"Yad Hachasakah, based on L. Mandelstamm,1851 German translation. Translated by DeepL",1,
Shney Luchot Habrit by Rabbi Eliyahu Munk,1,
Artscroll siddur,1,
"The Metsudah siddur: a new linear siddur with English translation by Avrohom Davis, 1981",1,
Rashi Jeremiah 1:12,1,
Chavel's Translation ,1,
"The Holy Scriptures, published by JPS -- Chapter 137",1,
The Yitzchak ben Gedalya haLevi Memorial Haggada [transliteration],1,
eicha rabba 1:2,1,
"Isaiah, English translation by I.W. Slotki, Soncino Press, 1949",1,
Iggeret HaGra -- Wikisource,1,
Corrected Rashi (English) ,1,
Deutsche Torah Übersetzung - William Grayson - 2017 (zur freien Verwendung) [de],1,
Tum'at Tsara'at - Chapter 6,1,
"Ester. Traduzione italiana di Samuel David Luzzatto, 1872 [it]",1,
user27343,1,
Wikisource Mishna,1,
Redeeming Relevance -- Genesis,1,
The Complete Tanach,1,
"Divrei Shalom v'Emet, tanslated by M. Bohnen, 2020",1,
Shmirath Halashon by Rabbi Shraga Silverstein,1,
"Sefaria 2020 Edition, Translated by R. Francis Nataf",1,
Halakhah.com PDF,1,
"Yalkut, Sifsei Chachomim Chumash, Metsudah Publications, 2009 Source:",1,
"Das Buch Jecheskel, übersetzt und erläutert von Dr. Joseph Breuer, Frankfurt a.M, 1921 [de]",1,
"Le Talmud de Jérusalem, Moïse Schwab, 1871. converted via DeepL",1,
"Yesod hayirah, trans. Hermann Gollancz, London 1919",1,
"Avot DeRabbi Natan, trans. by David Kasher, 2019",1,
Eliyahu Touger,1,
Sefaria Community Translation - Portuguese [pt],1,
Toronto Torah,1,
"Chofetz Chaim, Silverstein translation",1,
"Green, 1897",1,
Kol HaTor,1,
"Derashot HaRan, by Rabbi Shraga Silverstein",1,
"Pri Etz Hadar, Aharon N. Varady (transcription) and Miles Krassen",1,
"Against Apion, translated by William Whiston",1,
Nechama Liebowitz,1,
Dena Weiss translation,1,
"Chicago, 1879",1,
"Responsa on contemporary Jewish women's issues. Yehuda Henkin, Ktav 2003",1,
Prayer of the State of Israel Transliterated ,1,
Numbers 29:1 Ibn Ezra,1,
"The Babylonian Talmud in Selection, by Leo Auerbach",1,
Nelly Altenburger,1,
"Peirush Hafla'ah on Pesach Haggadah, translated and interpreted by Rabbi Mark B. Greenspan, Oceanside, NY, 2010",1,
Sanctifying G-d's Name,1,
"The War of the Jews, translated by William Whiston",1,
Wikipedia,1,
Pentateuchal Targumim,1,
McCaul Translation,1,
"Trazladado en la lingua Espanyola, Estamperia de A. H. Boyadjian, Konstantinopla 1873. Transkrito por Yehuda Sidi, 2021 [lad]",1,
Ibn Ezra on Proverbs -- Daat,1,
"Works Translated from the Greek by C. D. Yonge, Vol. 3. 1855",1,
"The Third Beis HaMikdash, trans. by Rabbi Eliyahu Touger, Moznaim Pub Corp. 2016",1,
Rosario-IT,1,
Rabbi Ethan Tucker's translation,1,
"Laws of Kings and Wars. trans. Reuven Brauner, 2012",1,
Yadidya Greenberg's Shulchan Aruch Translation,1,
Chabad translation,1,
Androgynous Adam in Leviticus Rabbah,1,
"Rambam Introduction to the Mishnah, translation by Rabbi Francis Nataf, 2017",1,
https://www.nli.org.il/he/books/NNL_ALEPH003531931/NLI,1,
"Rav Kook's Introduction to Shabbat Ha'aretz, trans. by Julian Sinclair Hazon, NY 2014",1,
"The Letter of Aristeas, The Clarendon Press, 1913",1,
Sheluchin veShuttafin,1,
Solomon Wiener,1,
"The Metsudah Siddur, Metsudah Publications, 1981 - EN",1,
Rereading The Rabbis: A Woman's Voice. By Judith Hauptman,1,
Zachary Kleiman Mishneh Torah,1,
"The Sabbath epistle of Ibn Ezra, KTAV Publishing House, 2009",1,
German Translation of Rabbi Selig Pinchas Bamberger [de],1,
Rebbe Nachman's Wisdom,1,
"Kol Dodi Dofek, Joseph B. Soloveitchik, translated by David Z. Gordon, 2006",1,
Yadid's Translation,1,
v1,1,
"Targum Jerusalem, trans. J. W. Etheridge, London, 1862",1,
The Psalms Targum: An English Translation (Edward M. Cook),1,
Just a translation of the Palestinian Talmud Quoted,1,
Classic translation,1,
Français,1,
Sefaria Community Translation [es],1,
"The Depths of Yonah, Rabbi Chaim & Binyamin Jachter. Teaneck, NJ, 2018",1,
Alfredo cerhy españolñ,1,
Tzava'at Harivash,1,
"Likutey Halakhot, Breslov Research Institute. Translated and elucidated by Moshe Mykoff with Dov Grant Jerusalem-New York, 2019",1,
"Zevach Pesach, translated by Rabbi Mark B. Greenspan, Oceanside, N.Y. 2019",1,
Moed Katan 14b,1,
"Rabbi Meir of Rothenburg, his life and his works, by Irving A. Agus. Philadelphia, 1947",1,
"Targum Onkelos, Leviticus 19:18",1,
Sefaria Community Translation Spanish [es],1,
Likutei Moharan,1,
Sheluchin veShuttafin - Chapter Nine,1,
Kedushat Levi translated by Rb. Eliyahu Munk,1,
Test [ru],1,
The Commentators Bible: Leviticus (THe Rubin JPS Miqra'ot Gedolot),1,
The World English Bible,1,
"Malbim's Job, trans. Jeremy I. Pfeffer. Ktav, 2003",1,
 Shaliehsaboo Edition,1,
Responsa to Chaplains,1,
"Berlin: Jüdischer Buch-Verlag Erwin Löwe, 1938 [de]",1,
"Orchot Tzaddikim, trans. Seymour J. Cohen [with corrections]",1,
ComeAndHear,1,
Sefer Hasidim 158,1,
"Treasures Hidden in the Sand, Trans. Menachem Kalish and David Herzberg",1,
The Legends of the Jews by Louis Ginzberg [1909],1,
Traducción: Natan Waingortin,1,
"Tur on the Torah, trans. Eliyahu Munk",1,
"Megillat Taanit, trans. Solomon Zeitlin",1,
Redeeming Relevance -- Numbers 1,1,
"Sefer ha-Yirah, trans. Rabbi Justin S. Kerber, 2007",1,
the Open Siddur Project,1,
Saadia For All: A Creative Commons Translation of the Introduction to Emunot Vdeot by Zachary Kleiman,1,
"Trans. Rabbi Mike Feuer, 2019",1,
"Times of London, 1840",1,
Tum'at Tsara'at - Chapter 5,1,
TYT Intro to Mishna Commentary,1,
"Il Pentateuco. Traduzione italiana di Samuel David Luzzatto, 1872 [it]Nel mese terzo dall’uscita degl’Israeliti dalla terra d’Egitto, in questo giorno [cioè nel primo del mese, nel dì della luna nuova; poiché la voce ebraica che vale mese, significa propriamente ",1,
"The Works of Philo Judaeus. trans. C.D.Yonge, London, H. G. Bohn, 1854-1890.",1,
Bibel - Schlachter 2000,1,
Kohelet Rabbah 5:11:5,1,
"Edited for shnayim mikrah Metsudah Chumash, Metsudah Publications, 2009 [with Onkelos translation]",1,
"Sefaria Edition 2020, Translated by Rabbi Francis Nataf",1,
"F. J. Gurney, C. E. Crandall and O. O. Fletcher, ""A Translation of the Targum (Jonathan) of the Prophecy of Nahum,"" The Hebrew Student, Oct. 1882",1,
The Complete Tanakh,1,
"On Resurrection of the Dead, English translation by Walter Hilliger. Shehakol Inc., 2021",1,
Siddur on the Hill,1,
"Mechilta, translated by Rabbi Shraga Silverstein",1,
Etzion.org,1,
Tum'at Tsara'at - Chapter 4,1,
"Section on Charity, trans. Louis Feinberg. N.Y. School of Philanthropy, 1915",1,
"Genesis translated by Rabbi Dr. H. Freedman, B.A., PhD (London & Bournemouth, Soncino Press 1951)",1,
Etzion VBM,1,
"Shulján Aruj, Oraj Jaim, trad. David Arias Weil [es]",1,
Ramban Commentary,1,
Hadar Egalitarianism Tshuva,1,
"Maharach Or Zarua Responsa digest, trans. by Noah Goldstein, Yeshiva University, 1959",1,
Shulchan Aruch: Chapter 629 - What Materials May Be Used as S’chach,1,
Babylonian Talmud: Tractate Yebamoth ,1,
"THE OLD TESTAMENT TRANSLATED OUT OF THE ORIGINAL TONGUES: AND WITH THE FORMER TRANSLATIONS DILIGENTLY COMPARED AND REVISED, BY HIS MAJESTY’S SPECIAL COMMAND  AUTHORIZED KING JAMES VERSION  ",1,
"Oxford: East and West Library, 1943",1,
"Hilchot Kidushin, trans. by Steven H. Garten. HUC, 1975",1,
"D. Levi, New York, 1837",1,
Suomi Käännös By Ezra Lindholm [fi],1,
Avadim - Chapter 6,1,
"Masejet Guerim. Tratado de los prosélitos, Versión Español Translator: Rabbi Uriel Romano, 2018 [es]",1,
"Orchot Chayim, trans. Reuven Brauner, 2014",1,
Nehama Leibowitz,1,
"Sefer Ha-ikkarim, Jewish Publication Society of America, 1929",1,
"The aleph bet book, translated by Moshe Mykoff. New York: Breslov Research Institute, 1986",1,
Kelim - Chapter 15,1,
"Responsa of Rav Moshe Feinstein, trans. by Moshe David Tendler; Vol. 1: Care of the Critically Ill, Hoboken, NJ: Ktav, 1996.",1,
"Shulhan Shel Arba, translated by Jonathan Brumberg-Kraus, 2010",1,
Tosefta online,1,
Tosefta Online,1,
"Il Pentateuco. Traduzione italiana di Samuel David Luzzatto, 1872 [it]A Mosè poi disse: Sali al Signore, tu ed Aronne, Nadàv ed Avihù, e settanta degli anziani d’Israel, e vi prostrerete da lungi. ",1,
Ira Robinson,1,
ralbag on I Kings 7:23,1,
"S.H. Glick. En Jacob: Agada of the Babylonian Talmud. New York, 1916-1921 (English)",1,
"New York: Yeshiva University, 1962",1,
"Sefaria Community Translation, Spanish [es]",1,
Rashi on Sotah 21b:1:2,1,
Parah Adumah,1,
1,1,
"Wikipedia, by Musashiaharon",1,
A. Alexander 1787,1,
abbreviated,1,
"The Introduction to the Beit Yaakov, Translated and Annotated by Betzalel Edwards",1,
"The Book of Joshua, Metsudah Publications, 1997",1,
Sefaria Edition 2021 by R. Francis Nataf,1,
"Psalms 100 Tanakh: The Holy Scriptures, published by JPS",1,
Ramban Numbers 20:18,1,
"Based on trans. by Moses Hyamson, 1937-1949",1,
"Sefer Yesodei haTorah, Lemberg, 1880",1,
"The Jewish spiritual heroes, by Gershom Bader. New York, N.Y. 1940",1,
debra robbins adapted vayikra rabba 2;7 first paragraph,1,
"Book of Esther in Farsi, trans. by Pole-Choubi, synagogue Talmood Torah, LTR [fa]",1,
El libro de Ester - Meguila Ester - Seminario Rabínico [es],1,
"Translated from German by Ruth Morris, Jerusalem, 2013",1,
En Jacob (Rabbi S.H. Glick),1,
Translated by Hanan and Esther Eshel,1,
"The Torah, A Women's Commentary JPS",1,
[pt-br],1,
Brenton's Septuagint,1,
Messillat Yesharim,1,
Wiki Translation,1,
Online Soncino Babylonian Talmud Translation ,1,
"Maimonides' Mishneh Torah, edited by Philip Birnbaum, New York, 1967 - corrected",1,
Wikisource English Shulchan Aruch,1,
Shir HaShirim Rabbah 1:20,1,
"Midrash Tanhuma-Yelammedenu, trans. Samuel A. Berman",1,
"Carta Jerusalem; 1st edition, 1987",1,
Translated by R. Shraga Silverstein,1,
Kol HaTor : Chapter 3,1,
Mishna Berura Yomi,1,
"Shmonah Kvatzim, trans. Yaacov Dovid Shulman. 2021",1,
Sefaria translation,1,
Avadim - Chapter 4,1,
"Hilkhot Yom ha-Kippurim, trans. by Jan M. Brahms. HUC, 1976",1,
Translated by C. M. M. Brady,1,
"Chizkuni, translated and annotated by Eliyahu Munk",1,
The Best Guarantors,1,
Theyeshiva.net,1,
"Keset HaSofer, trans. Jen Taylor Friedman",1,
Livius translation,1,
Alfredo cerhy español ,1,
"Commentary of Ibn Ezra on Isaiah - trans. by M. Friedlander, 1873",1,
Siddur sha'ar zahav,1,
"Mishna Berahot, translation J. Wilhelm, 2019 [fr]",1,
"Rabbi Francis Nataf, 2021",1,
The Yeshiva,1,
"Der Pentateuch. Übersetzt und erläutert von Samson Raphael Hirsch, 1903 [de]",1,
The Judaica Press Translation,1,
"Living waters, the Mei HaShiloach. Trans. and edited by Betsalel Philip Edwards, Jerusalem, J. Aronson 2001 [Revised digital edition, 2021]",1,
"Kav HaYashar, trans. Metsudah Publications, 2007",1,
"SUKKAH, MISHNA AND TOSEFTA WITH INTRODUCTION, TRANSLATION AND SHORT NOTES",1,
moed katan 23a,1,
German translation of Arnold Ehrlich [de],1,
JPS Miqra'ot Gedolot,1,
El Pentateuco Con El Comentario de Rabí Shelomó Itzjakí (Rashí) [es],1,
"Maamer Mezake Es HaRabim. Trans. Meisels and Kutnowski, Ontario, 2019",1,
"The Book of Character, trans. Simcha H.",1,
Mishna Yomit,1,
New Studies in Shemot ,1,
Niddah 13a,1,
James Montogmery (1907),1,
Gustavo Surazski,1,
Chabad,1,
Rabbi David Etengoff,1,
"New York: Philosophical Library, 1956",1,
"Bartenura on Mishnah, trans. by Rabbi Robert Alpert, 2020",1,
Emoji Megillah,1,
Danny Strassman's translation,1,
"The Eight Chapters of Maimonides on Ethics, by Joseph I Gorfinkle",1,
Version Title 1,1,
Redeeming Relevance -- Exodus,1,
"Return, daily inspiration for the Days of Awe, Erica Brown. Jerusalem, Maggid Books, 2012",1,
"Luncz, 1901",1,
"From David to Destruction, Teaneck, NJ, 2019",1,
Brenton's Septuagint -- updated,1,
"Job, English translation by Victor E. Reichert, Soncino Press, 1946",1,
