Index Title,Jerusalem Talmud Shekalim NEW
Jerusalem Talmud Shekalim 1:1:12,כלום אמרו יוצאין אף על הכלאים לא כדי שיהיו הצמחין ניכרין אם אומר את באדר הראשון עד כדון אינון דקיקין
Jerusalem Talmud Shekalim 1:1:13,רבי חזקיה שאל מעתה בני בבל משמיעין על השקלים מראשו של (חודש) חורף לא כדי שיביאו ישראל שקליהן בעונתן ותיתרם תרומת הלשכה מן החדשה בזמנה באחד בניסן
Jerusalem Talmud Shekalim 1:1:14,התיב רבי עולא קומי רבי מנא והא תנינן בשלשה פרקים בשנה תורמין את הלשכה בפרוס הפסח בפרוס העצרת בפרוס החג
Jerusalem Talmud Shekalim 1:1:15,אמר ליה (לא) נימר אילין דקריבין בפרוס הפסח אילין דרחוקין בפרוס העצרת ואילין דרחוקין מנהון בפרוס החג
Jerusalem Talmud Shekalim 1:1:16,<sup><b>[דף ב:]</b></sup> אל כולה כאחת היא באה ולמה אמרו בשלשה פרקים כדי לעשות פומבי לדבר
Jerusalem Talmud Shekalim 1:1:17,רבי יהודה בר פזי בשם רבי הן נקרא ולא נבעת לטובה כל נדיב לב לרעה ויתפרקו כל העם וגומר
Jerusalem Talmud Shekalim 1:1:18,לטובה ויוצא משה את העם לרעה ותקרבון אלי כלכם
Jerusalem Talmud Shekalim 1:1:19,לטובה אז ישיר משה ובני ישראל לרעה ותשא כל העדה וגו׳
Jerusalem Talmud Shekalim 1:1:20,אמר רבי חייא בר אבא אכן השכימו השחיתו וכל השחתה שהיו עושין בהשכמה היו עושין אותה
Jerusalem Talmud Shekalim 1:1:21,אמר רבי אבא בר אחא אין את יכול לעמוד על אופיא של אומה זו נתבעין לעגל ונותנין נתבעין למשכן ונותנין
Jerusalem Talmud Shekalim 1:1:22,תנא רבי יוסי בר חנינא הדא מתניתא ועשית כפורת זהב טהור יבא זהב של כפורת ויכפר על זהב של עגל
Jerusalem Talmud Shekalim 1:1:23,רבי חגי בשם רבי שמואל בר נחמן שלש תרומות נאמרו בפרשה זאת תרומת אדנים ותרומת שקלים ותרומת המשכן דבר אל בני ישראל ויקחו לי תרומה וגו׳ זו תרומת אדנים מאת כל איש אשר ידבנו לבו תקחו את תרומתי זו תרומת שקלים וזאת התרומה אשר תקחו מאתם זו תרומת המשכן
Jerusalem Talmud Shekalim 1:1:24,תרומת המשכן למשכן מה שירצו יעשו תרומת שקלים לקרבן מה שירצו יעשו כדי שיהא יד כולן שוה
Jerusalem Talmud Shekalim 1:1:25,תרומת אדנים לאדנים העשיר לא ירבה והדל לא ימעיט
Jerusalem Talmud Shekalim 1:1:26,אמר רבי אבון אף בפרשה הזאת נאמר בה שלש תרומות מחצית השקל תרומה לה׳ יתן תרומת ה׳ לתת את תרומת ה׳
Jerusalem Talmud Shekalim 1:1:27,בטו בו קורין את המגילה בכרכים לא כן אמר רבי חלבו רב הונא רב בשם רבי חייא רבה הכל יוצאין בארבעה עשר שהוא זמן קריאתה
Jerusalem Talmud Shekalim 1:1:28,לא בא אלא ללמדך שכל המצות הנוהגות באדר שני אינן נוהגות באדר ראשון
Jerusalem Talmud Shekalim 1:1:29,רבי יוסה ורבי אחא הוון יתבין אמר רבי יוסה לרבי אחא לא מסתברא אלא לשעבר אבל לבא לא
Jerusalem Talmud Shekalim 1:1:30,והא תני מקום שנהגו לקרותה שני ימים קורין אותה שני ימים אמר ליה אוף אנא סבר כן
Jerusalem Talmud Shekalim 1:1:31,אמר רבי מנא ויאות אילו משקרייא בארבעה עשר חוזר וקרייא בחמישה עשר שמא אין שומעין לו אם את אומר כן נמצאת עוקר זמן כרכים בידך
Jerusalem Talmud Shekalim 1:1:32,תני רבן שמעון בן גמליאל אומר מצוות הנוהגות באדר שני אינן נוהגות בראשון חוץ מהספד ותענית שהן שווין בזה ובזה
Jerusalem Talmud Shekalim 1:1:33,רבי בא רבי ירמיה בשם רב רבי סימון בשם רבי יהושע בן לוי הלכה כרבן שמעון בן גמליאל
Jerusalem Talmud Shekalim 1:1:34,רב הונא רבה דצפורין אמר הנהיג רבי חנינא בציפורין כהדא דרבן שמעון בן גמליאל לא אמר אלא הנהיג (אבל) הא להלכה לא
Jerusalem Talmud Shekalim 1:1:35,אבל לענין שטרות כותבין אדר ראשון ואדר שני סתם רבי יוסי אומר אדר ראשון <sup><b>[דף ג.]</b></sup> סתם אדר שני תניין
Jerusalem Talmud Shekalim 1:1:36,מתקנין את הדרכים ואת הרחובות ואת מקוות המים ועושין כל צרכי הרבים אלו הן צרכי הרבים דנין דיני ממונות ודיני נפשות דיני מכות ופודין ערכין וחרמים והקדישות
Jerusalem Talmud Shekalim 1:1:37,ומשקין את הסוטה ושורפין את הפרה ועורפין עגלה ערופה ורוצעין עבד עברי ומטהרין את המצורע ומפרקין את המנעל מעל גבי המים ואין מחזירין אותן
Jerusalem Talmud Shekalim 1:1:38,תמן תנינן משקין בית השלחין ומציינין על הקברות לא כבר ציינו מאדר ותיפתר שירד שטף של גשמים ושטפו
Jerusalem Talmud Shekalim 1:1:39,ויוצאין אף על הכלאים לא כבר יצאו מאדר תיפתר שהיתה השנה אפילה ואין הצמחין נכרים
Jerusalem Talmud Shekalim 1:1:40,מניין לציון רבי ברכיה רבי יעקב בר בת יעקב בשם רבי חונייא דברת חוורין רבי יוסה אמרי לה רבי יעקב בר אחא בשם רבי חונייא דברת חוורין רבי חזקיה רבי עוזיאל בריה דרב חונייא דבית חוורן בשם רבי חונייא דבית חוורן וטמא טמא יקרא
Jerusalem Talmud Shekalim 1:1:41,כדי שתהא הטומאה קוראה לך בפיה ואומרת לך פרוש
Jerusalem Talmud Shekalim 1:1:42,רבי אילא בשם רבי שמואל בר נחמן ועברו העוברים בארץ וראה עצם אדם ובנה אצלו ציון
Jerusalem Talmud Shekalim 1:1:43,עצם מיכן שמציינין על העצמות אדם מיכן שמציינין על השדרה והגלגולת
Jerusalem Talmud Shekalim 1:1:44,ובנה מיכן שמציינין על גבי אבן קבועה אם אומר את על גבי אבן תלושה אף היא הולכת ומטמא במקום אחר
Jerusalem Talmud Shekalim 1:1:45,אצלו למקום טהרה ציון מיכן לציון
Jerusalem Talmud Shekalim 1:1:46,ומצא אבן אחת מצויינת אף על פי שאין מקיימין כן המאהיל עליה טמא אני אומר מת מצויין והיה נתון תחתיה
Jerusalem Talmud Shekalim 1:1:47,היו שתים המאהיל עליהן טהור וביניהן טמא
Jerusalem Talmud Shekalim 1:1:48,אם היה חורש בינתיים הרי הן כיחידיות ביניהן טהור וסביבותיהן טמא
Jerusalem Talmud Shekalim 1:1:49,תני אין מציינין על הבשר שמא נתעכל הבשר
Jerusalem Talmud Shekalim 1:1:50,רבי יוסטא בר שונם בעא קומי רבי מנא ולא נמצא מטמא טהרות למפרע אמר ליה מוטב שיתקלקלו בו לשעה ואל יתקלקלו בו לעולם
Jerusalem Talmud Shekalim 1:2:1,"<strong>הלכה ב <big>מתני׳</big></strong> אמר רבי יהודה: בראשונה היו עוקרין ומשליכין לפניהן, משרבו עוברי עבירה – היו משליכין לדרכים, התקינו שיהו מפקירין את כל השדה."
Jerusalem Talmud Shekalim 1:2:2,<strong>גמ׳</strong> אמר רבי יהודה כו׳ תני אמר רבי יהודה בראשונה היו עוקרין ומשליכין לפניהן והיו שמחים שתי שמחות אחת שהיו מנכשין שדותיהן ואחת שהיו נהנין מן הכלאים
Jerusalem Talmud Shekalim 1:2:3,משרבו עוברי עבירה היו משליכין על הדרכים אף על פי כן היו שמחים שהיו מנכשין שדותיהן התקינו שיהו מפקירין כל השדה כולה
Jerusalem Talmud Shekalim 1:2:4,ומניין שהפקר בית דין הפקר דכתיב וכל אשר לא יבא לשלשת הימים בעצת השרים והזקנים יחרם כל רכושו והוא יבדל מקהל הגולה
Jerusalem Talmud Shekalim 1:2:5,מניין שהיא פטורה מן המעשרות רבי יונתן בריה דרב יצחק בר אחא שמע לה מן הדא אין מעברין את השנה לא בשביעית ולא במוצאי שביעית ואם עיברוה הרי זו מעוברת
Jerusalem Talmud Shekalim 1:2:6,וחודש אחד שהוא מוסיף לא פטור ממעשרות הוא
Jerusalem Talmud Shekalim 1:2:7,עד כדון שביעית מוצאי שביעית מאי אמר רבי בון שלא לרבות באיסור חדש
Jerusalem Talmud Shekalim 1:2:8,רבי זעירא בשם רבי אלעזר הדא דאת אמר עד שלא התיר רבי להביא ירק מחוצה לארץ לארץ אבל משהתיר רבי להביא ירק מחוצה לארץ לארץ היא שביעית היא של שאר שני שבוע
Jerusalem Talmud Shekalim 1:2:9,תני אין מעברין וכו׳ אמר רבי מנא הדא דאת אמר בראשונה שהיו השנים כתקנן אבל עכשיו שאין השנים כתקנן היא שביעית היא שאר שני שבוע
Jerusalem Talmud Shekalim 1:2:10,תני של בית רבן גמליאל עיברוה במוצאי שביעית מיד
Jerusalem Talmud Shekalim 1:2:11,אמר רבי אבון אין מן הדא לית את שמע מינה כלום
Jerusalem Talmud Shekalim 1:2:12,שמור את חדש האביב שומריהו שיביאו בחידושו
Jerusalem Talmud Shekalim 1:2:13,והיידא אמרה דא גדיש שלא לוקט תחתיו כל הנוגעות בארץ הרי הן של עניים ואמר רבי אמי <sup><b>[דף ג:]</b></sup> בשם רבי שמעון בן לקיש דבית שמאי היא
Jerusalem Talmud Shekalim 1:2:14,דאי כבית הלל עניים אוכלים ומעשרין ואמר ליה רבי יוסי שמענו שהוא פטור ממעשר דברי הכל משום קנסא
Jerusalem Talmud Shekalim 1:3:1,"<strong>הלכה ג <big>מתני׳</big></strong> בחמשה עשר בו שולחנות היו יושבין במדינה. בעשרים וחמשה ישבו במקדש, משישבו במקדש התחילו למשכן."
Jerusalem Talmud Shekalim 1:3:2,את מי ממשכנין לוים וישראלים וגרים ועבדים משוחררים אבל לא נשים ועבדים וקטנים וכל קטן שהתחיל אביו לשקול על ידו שוב אינו פוסק אין ממשכנין את הכהנים מפני דרכי שלום
Jerusalem Talmud Shekalim 1:3:3,אמר רבי יהודה העיד בן בוכרי ביבנה כל כהן ששוקל אינו חוטא אמר לו רבן יוחנן בן זכאי לא כי אלא כל כהן שאינו שוקל חוטא
Jerusalem Talmud Shekalim 1:3:4,אלא שהכהנים דורשים מקרא זה לעצמן וכל מנחת כהן כליל תהיה לא תאכל
Jerusalem Talmud Shekalim 1:3:5,הואיל ועומר ושתי הלחם ולחם הפנים שלנו היאך נאכלין
Jerusalem Talmud Shekalim 1:3:6,<strong>גמ׳</strong> אין ממשכנין את הקטנים הא לתבוע תובעין הדא דתימר בשהביא שתי שערות
Jerusalem Talmud Shekalim 1:3:7,אבל אם לא הביא שתי שערות לא בדא ולמשכן אין ממשכנין אף על פי שהביא ב׳ שערות
Jerusalem Talmud Shekalim 1:3:8,כיני מתניתין אין ממשכנין את הכהנים מפני דרך הכבוד
Jerusalem Talmud Shekalim 1:3:9,אמר רבי יהודה העיד כו׳ אמר רבי ברכיה טעמא דרבן יוחנן בן זכאי זה יתנו שנים עשר שבטים יתנו
Jerusalem Talmud Shekalim 1:3:10,רבי טבי בשם רב המנונא כן משיבין חכמים לרבי יהודה חטאת יחיד מתה אין חטאת צבור מתה מנחת היחיד קריבה כליל ואין מנחת הצבור קריבה כליל
Jerusalem Talmud Shekalim 1:3:11,וקשיא משיבין לאדם דבר שאינו מודה בו דתנן שאין חטאת צבור מתה רבי יהודה אומר תמות
Jerusalem Talmud Shekalim 1:3:12,והוא מותיב לן זו לא נדבת יחיד היא ואינון מתיבין ליה כיון שנמסרה לצבור כמי שהוא נדבת צבור
Jerusalem Talmud Shekalim 1:3:13,כתיב כל העובר על הפקודים רבי יהודה ורבי נחמיה חד אמר כל דעבר בימא יתן וחרנא אמר כל דעבר על פיקודייא יתן
Jerusalem Talmud Shekalim 1:3:14,מאן דאמר כל דעבר בימא יתן מסייע לרבן יוחנן בן זכאי מאן דאמר כל דעבר על פיקודייא יתן מסייע לבן בוכרי
Jerusalem Talmud Shekalim 1:4:1,"<strong>הלכה ד <big>מתני׳</big></strong> אף על פי שאמרו אין ממשכנין נשים ועבדים וקטנים, אבל אם שקלו מקבלין מידן. הנכרי והכותי ששקלו – אין מקבלין מהן. ואין מקבלין מידם קני זבין וקני זבות וקני יולדות, וחטאות ואשמות."
Jerusalem Talmud Shekalim 1:4:2,זה הכלל כל שנידר ונידב מקבלין מידן כל שאינו נידר ונידב אין מקבלין מידן וכן מפורש על ידי עזרא שנאמר לא לכם ולנו לבנות בית לאלהינו
Jerusalem Talmud Shekalim 1:4:3,<sup><b>[דף ד.]</b></sup> ואלו שחייבין בקלבון לוים וישראלים וגרים ועבדים משוחררים אבל לא כהנים ונשים ועבדים וקטנים
Jerusalem Talmud Shekalim 1:4:4,השוקל על יד כהן על יד האשה על יד עבד על יד קטן פטור ואם שקל על ידו ועל יד חבירו חייב בקלבון אחד ורבי מאיר אומר שני קולבנות הנותן סלע ונוטל שקל חייב שני קולבנות
Jerusalem Talmud Shekalim 1:4:5,השוקל על יד עני ועל יד שכינו ועל יד בן עירו פטור ואם הלוון חייב
Jerusalem Talmud Shekalim 1:4:6,האחין השותפין שחייבין בקלבון פטורין ממעשר בהמה וכשחייבין במעשר בהמה פטורין מן הקלבון
Jerusalem Talmud Shekalim 1:4:7,וכמה הוא קלבון מעה כסף דברי רבי מאיר וחכמים אומרים חצי מעה
Jerusalem Talmud Shekalim 1:4:8,<strong>גמ׳</strong> אף על פי שאמרו כו׳ הא לתבוע אין תובעין הכא את אמר תובעין והכא את אמר אין תובעין
Jerusalem Talmud Shekalim 1:4:9,כאן בשהביא שתי שערות וכאן בשלא הביא שתי שערות
Jerusalem Talmud Shekalim 1:4:10,הנכרי והכותי כו׳ אמר רבי בא תיפתר כמאן דאמר כותי כנכרי דאתפלגין כותי כנכרי דברי רבי רבן שמעון בן גמליאל אומר כותי כישראל לכל דבר
Jerusalem Talmud Shekalim 1:4:11,אמר רבי לעזר מתניתין בנכרים הא בכותים לא
Jerusalem Talmud Shekalim 1:4:12,ותני כן אדם לרבות את הגרים מכם להוציא את המומרים
Jerusalem Talmud Shekalim 1:4:13,מתניתין פליגי על רבי אלעזר אין מקבלין מידם קני זבין וזבות קני יולדות וכי יש קני זבין וזבות בנכרים
Jerusalem Talmud Shekalim 1:4:14,אלא רישא בנכרים וסיפא בכותים כן הוא רישא בנכרים וסיפא בכותים
Jerusalem Talmud Shekalim 1:4:15,אמר רבי יוחנן בתחלה אין מקבלים מהן לא דבר מסוים ולא דבר שאינו מסוים ובסוף מקבלין מהן דבר שאינו מסוים ואין מקבלין מהן דבר מסוים רבי שמעון בן לקיש אמר בין בתחילה בין בסוף אין מקבלין מהן לא דבר מסוים ולא דבר שאינו מסוים
Jerusalem Talmud Shekalim 1:4:16,מתניתא פליגי על רבי יוחנן אין מקבלין מהן הקדש ונדבה לבדק הבית פתר לה בין בתחלה בין בסוף ובלבד דבר מסוים
Jerusalem Talmud Shekalim 1:4:17,רבי שמעון בן לקיש אמר בין בתחלה ובין בסוף אין מקבלין מהם לא דבר מסוים וכו׳ מתניתא פליגי על רבי שמעון בן לקיש דתני הכל שוין שהן נודרין ונידרין פתר לה עולה
Jerusalem Talmud Shekalim 1:4:18,ניחא נודרין עולה נידרין עולה
Jerusalem Talmud Shekalim 1:4:19,(לא) אלא כשאמר ישראל הרי עלי עולה ושמע נכרי ואמר מה שאמר זה עלי
Jerusalem Talmud Shekalim 1:4:20,ואינו מביא עמו נסכים ומותר נסכים לא לכלי שרת אינון נמצא מביא דבר מסויים
Jerusalem Talmud Shekalim 1:4:21,התיב רבי יוסי בר רבי בון והא תנינן נערכין ועורכין לא לבדק הבית אינון
Jerusalem Talmud Shekalim 1:4:22,היך מה דאת אמר תמן לשמים הוא מתכוין ומאיליהן הן באין לבדק הבית כן את אמר אף הכא לשמים הוא מתכוין <sup><b>[דף ד:]</b></sup> ומאיליהן הן באין לבדק הבית
Jerusalem Talmud Shekalim 1:4:23,מה עבד לה רבי שמעון בן לקיש פתר לה לא לכם ולנו לבנות בית לאלהינו
Jerusalem Talmud Shekalim 1:4:24,רבי חזקיה אמר רבי סימון שאל מעתה אין מקבלין מהן לאמת המים ולחומות העיר ומגדלותיה על שם (שנאמר) ולכם אין חלק וגו׳
Jerusalem Talmud Shekalim 1:4:25,מתניתא דרבי מאיר דאמר רבי מאיר כשם ששקלו תורה כך קלבנו תורה קסבר רבי מאיר בנותן שקלו שלם שהוא חייב בקלבון
Jerusalem Talmud Shekalim 1:4:26,דאמר רבי מאיר כמין מטבע של אש הוציא הקדוש ברוך הוא מתחת כסא כבודו והראהו למשה ואמר לו זה יתנו כזה יתנו
Jerusalem Talmud Shekalim 1:4:27,נתן סלע ליטול שקל חייב שני קולבונות אמר רבי אלעזר דרבי מאיר היא דתניא אלו חייבין בקלבון כו׳ קלבון אחד ורבי מאיר אמר שני קולבנות
Jerusalem Talmud Shekalim 1:4:28,ומר רב דברי הכל היא דאמר רבי מאיר אחד שקל שהוא נותן ואחד שקל שהוא נוטל ואחד לדברי תורה על דעתיה דרב שלשה קולבנות אינון
Jerusalem Talmud Shekalim 1:4:29,אתא רבי ירמיה רבי שמואל בר רב יצחק בשם רב שלשה קולבנות אינון אחד שקל שהוא נותן ואחד שקל שהוא נוטל ואחד לדבר תורה
Jerusalem Talmud Shekalim 1:4:30,האחים והשותפין שחייבין בקלבון ופטורין ממעשר בהמה בשחלקו וחזרו ונשתתפו
Jerusalem Talmud Shekalim 1:4:31,שחייבין במעשר בהמה ופטורים מן הקלבון בשלא חלקו
Jerusalem Talmud Shekalim 1:4:32,אמר רבי לעזר והן שחלקו גדיים כנגד תיישים ותיישים כנגד גדיים
Jerusalem Talmud Shekalim 1:4:33,אבל אם חלקו גדיים כנגד גדיים ותיישים כנגד תיישים הוא חלקו משעה הראשונה
Jerusalem Talmud Shekalim 1:4:34,אמר רבי יוחנן אפילו חלקו גדיים נגד גדיים ותיישים נגד תיישים כלקוחות הן ופטורין מן המעשר כההוא דתנינן תמן הלקוח ושניתן לו במתנה פטור ממעשר בהמה
Jerusalem Talmud Shekalim 1:4:35,רבי חייא אמר רבי ירמיה בעי ולמה לית נן אמרין פעמים שהן חייבין בזה ובזה <sup><b>[דף ה.]</b></sup> ופעמים שהם פטורים מזה ומזה היך עבידא חלקו הנכסים ולא חלקו הבהמה חייבין בזה ובזה חלקו הבהמה ולא חלקו את הנכסים פטורים מזה ומזה
Jerusalem Talmud Shekalim 1:4:36,אמר רבי מנא הדא דאת אמר בשלא היתה הבהמה רוב אבל אם היתה הבהמה רוב הן הן עיקר נכסים
Jerusalem Talmud Shekalim 1:4:37,רבי אבין אמר רבי שמי בעי מפני שעשיתן כאדם אחד אצל מעשר בהמה את פוטרו מן הקלבון
Jerusalem Talmud Shekalim 1:4:38,אמר ליה לא שניא היא שהוא נותן סלע אחת שלימה
Jerusalem Talmud Shekalim 1:4:39,מעתה אפילו חלקו וחזרו ונשתתפו חייבין במעשר בהמה ופטורים מן הקלבון ותנינן חייבין בקלבון ופטורין ממעשר בהמה
Jerusalem Talmud Shekalim 1:4:40,רבי בא בשם אבא בר רב הונא היא שני אחים שירשו את אביהן היא שני גיסין שירשו את חמיהן
Jerusalem Talmud Shekalim 1:4:41,לאיכן היו הקלבנות נופלין רבי מאיר אומר לשקלים רבי לעזר אומר לנדבה
Jerusalem Talmud Shekalim 1:4:42,רבי שמעון שזורי אומר ריקוע זהב וצפוי לבית קודש הקדשים בן עזאי אומר שולחנין היו נוטלין אותן בשכרן ויש אומרים להוצאת דרכים
Jerusalem Talmud Shekalim 1:4:43,הדרן עלך פרק באחד באדר
Jerusalem Talmud Shekalim 2:1:1,<strong>הלכה א <big>מתני׳</big></strong> מצרפין שקלים לדרכונות מפני משוי הדרך. כשם שהיו שופרות במקדש כך היו שופרות במדינה.
Jerusalem Talmud Shekalim 2:1:2,בני העיר ששלחו את שקליהן ונגנבו או שאבדו אם נתרמה התרומה נשבעין לגיזברין
Jerusalem Talmud Shekalim 2:1:3,ואם לאו נשבעין לבני העיר ובני העיר שוקלין תחתיהן נמצאו או שהחזירום הגנבים אלו ואלו שקלים ואין עולין להן לשנה הבאה
Jerusalem Talmud Shekalim 2:1:4,<strong>גמ׳</strong> ויעשו אותן מרגליות שמא תזיל המרגליות ונמצא ההקדש מפסיד
Jerusalem Talmud Shekalim 2:1:5,כההיא דתנינן תמן וכולן נפדין בכסף ובשוה כסף חוץ משקלים ואין פודין בכלים ואמר רבי שמואל בר רב יצחק שמא יזילו הכלים ונמצא ההקדש מפסיד אוף הכא נמי שמא תזיל המרגליות נמצא ההקדש מפסיד
Jerusalem Talmud Shekalim 2:1:6,מתניתא בתקלין חדתין אבל בתקלין עתיקין לא בדא ותני כן עתיקין במקדש ואין עתיקין במדינה
Jerusalem Talmud Shekalim 2:1:7,מתני׳ בשומר חינם אבל בשומר שכר לא בדא אמר רבי אבא ואפילו תימר בשומר שכר נגנבו בלסטים מזויין אבדו כמי שטבעה ספינתו בים
Jerusalem Talmud Shekalim 2:1:8,אמר רבי יוסטי בי רבי סימון אתיא כמאן דאמר תורמין על הגבוי ועל העתיד לגבות
Jerusalem Talmud Shekalim 2:1:9,ברם כמאן דאמר אין תורמין לא על הגיבוי ועל העתיד לגבות לא בדא
Jerusalem Talmud Shekalim 2:1:10,בני העיר ששלחו את שקליהם כו׳
Jerusalem Talmud Shekalim 2:1:11,אמר רבי אלעזר דרבי שמעון היא דרבי שמעון אומר קדשים שהוא חייב באחריותן כנכסיו הן
Jerusalem Talmud Shekalim 2:1:12,אמר רבי יוחנן דברי הכל היא משום שבועת תקנה
Jerusalem Talmud Shekalim 2:1:13,על דעתיה דרבי יוחנן ניחא נשבעים לגזברים ואם לאו נשבעים לבני העיר ובני העיר שוקלים אחרים <sup><b>[דף ה:]</b></sup> תחתיהן משום שבועת תקנה
Jerusalem Talmud Shekalim 2:1:14,אלא לרבי לעזר נשבעים לבני העיר הדא היא דרבי שמעון נשבעים לגזברים גזברים מאי עבידתייהו
Jerusalem Talmud Shekalim 2:1:15,נשבעים לבני העיר במעמד גזברים כי היכי דלא לחשדינהו אי נמי דלא נשוו להו פושעים
Jerusalem Talmud Shekalim 2:1:16,אף על פי שקבלו בני העיר לשלם אין ההקדש יוצא בלא שבועה
Jerusalem Talmud Shekalim 2:1:17,הפריש שקלו ואבד רבי יוחנן אמר חייב באחריותו עד שימסרנו לגזבר רבי שמעון בן לקיש אומר הקדש ברשות הגבוה בכל מקום שהוא
Jerusalem Talmud Shekalim 2:1:18,מתניתא פליגא על רבי שמעון בן לקיש נשבעין לבני העיר ובני העיר שוקלין תחתיהם לא עוד היא משום שבועת תקנה
Jerusalem Talmud Shekalim 2:1:19,תני הראשונים נופלים לתקלין חדתין והשניים נופלין לתקלין עתיקין
Jerusalem Talmud Shekalim 2:1:20,אלו הן הראשונים ואלו הן השניים רבי פנחס בי רבי חייא ורבי אבא מרי חד אמר אלו ששלחו בני העיר תחלה וחרנה אמר אלו שהגיעו לידי גזברין תחלה
Jerusalem Talmud Shekalim 2:2:1,"<strong>הלכה ב <big>מתני׳</big></strong> הנותן שקלו לחבירו לשקול על ידו, ושקלו על ידי עצמו. אם נתרמה התרומה – מעל,"
Jerusalem Talmud Shekalim 2:2:2,השוקל שקלו מן ההקדש ונתרמה התרומה וקרבה הבהמה מעל ממעשר שני ומדמי שביעית יאכל כנגדן
Jerusalem Talmud Shekalim 2:2:3,<strong>גמ׳</strong> השוקל כו׳ אנן תנינן אם קרבה הבהמה ותני דבי רבי אם נתרמה התרומה
Jerusalem Talmud Shekalim 2:2:4,מאן תנא אם נתרמה התרומה רבי שמעון היא דאמר רבי שמעון מיד היה מקבל מעותיו והכהנים זריזים הן
Jerusalem Talmud Shekalim 2:2:5,וקשיא אילו הגונב עולתו של חבירו ושחטו סתם סתמא לא לשם בעלים הראשונים מכפרת
Jerusalem Talmud Shekalim 2:2:6,אמר רבי יודן תיפתר במסוים משל בית רבן גמליאל שהיה מתכוין ודוחפו לתוך הקופה
Jerusalem Talmud Shekalim 2:2:7,וחש לומר שמא לשיריים הן נופלין וכי יש מעילה בשירים
Jerusalem Talmud Shekalim 2:2:8,אלא כרבי מאיר דרבי מאיר אומר מועלין בשיריים עוד היא במסוים של בית רבן גמליאל שהיה מתכוין ותורמו לשמו
Jerusalem Talmud Shekalim 2:2:9,מה נהנה אמר רבי אבין בשם רבנן דתמן מכיון שבית דין ראוין למשכן ולא משכנו כמו שנהנה
Jerusalem Talmud Shekalim 2:2:10,ממעשר שני וכו׳ דכתיב אך בכור אשר יבכר לה׳ בבהמה לא יקדיש איש אתו כל שהוא קודש אין קדושה חלה [עליו] כיצד הוא עושה
Jerusalem Talmud Shekalim 2:2:11,מביא סלע של חולין ואומר מעות מעשר שני בכל מקום שהן יהו מחוללין על סלע זו ואותה סלע נתפס לשם מעשר שני והשאר נעשו שקלים
Jerusalem Talmud Shekalim 2:3:1,"<sup><b>[דף ו.]</b></sup> <strong>הלכה ג <big>מתני׳</big></strong> המכנס מעות ואמר הרי אלו לשקלי״, בית שמאי אומרין: מותרן נדבה, ובית הלל אומרים: מותרן חולין."
