Old	New	Hebrew
03. Leĥem Mishneh (Two Loaves) and Cutting the Bread	03. Lehem Mishneh (Two Loaves) and Cutting the Bread	ג – לחם משנה ובציעת הפת
05. Se’uda Shlishit	05. Se'uda Shlishit	ה – סעודה שלישית
06. Birkat Ha-mazon	06. Birkat Ha'mazon	ו – ברכת המזון
08 - Havdala and Saturday Night	08. Havdala and Saturday Night	פרק ח -הבדלה ומוצאי שבת
09 - The Principles of the Melakhot	09. The Principles of the Melakhot	פרק ט - כללי המלאכות
01. The Torah’s Commandment	01. The Torah's Commandment	א – המצווה בתורה
05. Davar She-eino Mitkaven and Psik Reisha	05. Davar She'eino Mitkaven and Psik Reisha	ה – דבר שאינו מתכוון ופסיק רישא
06. Melakha She-eina Tzerikha Le-gufah	06. Melakha She'eina Tzerikha Le'gufah	ו – מלאכה שאינה צריכה לגופה
10. Children, Non-Jews, and Animals	10. Children, Non Jews, and Animals	י – ילדים וגוים ובעלי חיים
11. Shvut Di-shvut for the Sake of a Mitzva or Great Necessity	11. Shvut Di'shvut for the Sake of a Mitzva or Great Necessity	יא – 'שבות דשבות' לצורך מצווה וצורך גדול
10 - Bishul (Cooking)	10. Bishul (Cooking)	פרק י - בישול
18. Hanaĥa	18. Hanaha	יח – הנחה בשבת – שלא יעשה פעולה שנראית כבישול
19. Haĥzara	19. Hahzara	יט – החזרה בשבת
20. Hanaĥa and Haĥzara on a Plata	20. Hanaha and Hahzara on a Plata	כ – דינים בהנחה והחזרה על פלטה
11 - Borer (Separating)	11. Borer (Separating)	פרק יא - בורר
12 - Food Preparation	12. Food Preparation	פרק יב - הכנת מאכלים
01. Toĥen	01. Tohen	א – מלאכת טוחן
13 - Melakhot Pertaining to Clothing	13. Melakhot Pertaining to Clothing	פרק יג - מלאכות הבגד
11. Kore’a	11. Kore'a	יא – קורע
14 - Personal Grooming	14. Personal Grooming	פרק יד - הטיפול בגוף
02. Gozez and Ĥovel of Human Beings	02. Gozez and Hovel of Human Beings	ב – גוזז וחובל באדם
15 - Boneh and Soter	15. Boneh and Soter	פרק טו - בונה סותר בבית וכלים
01. The Principles of Boneh, Soter, and Makeh Be-fatish	01. The Principles of Boneh, Soter, and Makeh Be'fatish	א – כללי בונה וסותר ומכה בפטיש
10. Meĥatekh	10. Mehatekh	י – מחתך
16 - Mav’ir and Mekhabeh	16. Mav'ir and Mekhabeh	פרק טז - מבעיר ומכבה
01. The Melakha of Hav’ara	01. The Melakha of Hav'ara	א – מלאכת הבערה
02. The Laws of Hav’ara	02. The Laws of Hav'ara	ב – פרטי הלכות הבערה
05. The Melakha of Mekhabeh and the Meaning of Melakha She-eina Tzerikha Le-gufah	05. The Melakha of Mekhabeh and the Meaning of Melakha She'eina Tzerikha Le'gufah	ה – מלאכת מכבה וביאור 'מלאכה שאינה צריכה לגופה'
17 - Electricity and Electrical Appliances	17. Electricity and Electrical Appliances	פרק יז - חשמל ומכשיריו
08. Opening a Refrigerator or Oven, and Entering an Air-Conditioned Room	08. Opening a Refrigerator or Oven, and Entering an Air Conditioned Room	ח – פתיחת מקרר ותנור חשמלי וכניסה לחדר עם מזגן
18 - Kotev, Moĥek, and Tzove’a	18. Kotev, Mohek, and Tzove'a	פרק יח - כותב מוחק וצובע
01. Kotev and Moĥek	01. Kotev and Mohek	א – כתיבה ומחיקה
02. Defining the Prohibition of Writing and Exploring Leniencies for Life-Threatening Situations	02. Defining the Prohibition of Writing and Exploring Leniencies for Life Threatening Situations	ב – גדרי האיסור וההיתרים לצורך פיקוח נפש
06. Mafshit, Me’abed, Memaĥek, and Mesartet	06. Mafshit, Me'abed, Memahek, and Mesartet	ו – מלאכת מפשיט, מעבד, ממחק ומשרטט
19 - Agricultural Melakhot (Ĥoresh, Zore’a, Kotzer, and Me’amer)	19. Agricultural Melakhot (Horesh, Zore'a, Kotzer, and Me'amer)	פרק יט - מלאכות שבצומח
01. Ĥoresh	01. Horesh	א – חורש
03. Zore’a	03. Zore'a	ג – זורע
11. Me’amer	11. Me'amer	יא – מעמר
20 - Animals	20. Animals	פרק כ - בעלי חיים
08. Slaughtering (Shoĥet)	08. Slaughtering (Shohet)	ח – שוחט
09. Wounding (Ĥovel)	09. Wounding (Hovel)	ט – חובל
21 - Hotza’ah	21. Hotza'ah	פרק כא - הלכות הוצאה
01. The Melakha of Hotza’ah	01. The Melakha of Hotza'ah	א – מלאכת הוצאה
04. The Reason Behind the Prohibition of Carrying Four Amot in a Reshut Ha-Rabim	04. The Reason Behind the Prohibition of Carrying Four Amot in a Reshut HaRabim	ד – טעם איסור טלטול ד' אמות ב'רשות הרבים'
06. Carrying Less than Four Amot in a Reshut Ha-Rabim	06. Carrying Less than Four Amot in a Reshut HaRabim	ו – טלטול פחות פחות מד' אמות ברשות הרבים
08. Reshut Ha-rabim as Defined by Torah Law	08. Reshut Ha'rabim as Defined by Torah Law	ח – רשות הרבים מן התורה
12. Items That Serve the Body – Glasses and Bandages	12. Items That Serve the Body. Glasses and Bandages	יב – תשמישי הגוף – משקפיים ותחבושת
13. Canes, Seeing-Eye Dogs, and Wheelchairs	13. Canes, Seeing Eye Dogs, and Wheelchairs	יג – מקל הליכה וכלב נחייה וכסא גלגלים
22 - The Spirit of Shabbat	22. The Spirit of Shabbat	פרק כב - צביון השבת
05. Court Activity, Weddings, Teruma and Ma’aser	05. Court Activity, Weddings, Teruma and Ma'aser	ה – מעשה בית דין, נישואין, תרומות ומעשרות
09. Walking for Non-Shabbat Purposes	09. Walking for Non Shabbat Purposes	ט – הליכה לצורך חול
23 - Muktzeh	23. Muktzeh	פרק כג - מוקצה
03. Muktzeh Maĥmat Gufo	03. Muktzeh Mahmat Gufo	ג – מוקצה מחמת גופו
04. Muktzeh Maĥmat Ĥesron Kis	04. Muktzeh Mahmat Hesron Kis	ד – מוקצה מחמת חסרון כיס
05. Basis Le-davar Ha-asur and Conscious Placement	05. Basis Le'davar Ha'asur and Conscious Placement	ה – בסיס לדבר האסור – נעשה בכוונה
06. More on Basis Le-davar Ha-asur	06. More on Basis Le'davar Ha'asur	ו – המשך
07. Kelim She-melakhtam Le-isur	07. Kelim She'melakhtam Le'isur	ז – כלים שמלאכתם לאיסור
09. Kelim She-melakhtam Le-heter, Food, and Books	09. Kelim She'melakhtam Le'heter, Food, and Books	ט – כלים שמלאכתם להיתר ומאכלים וספרים
10. An Item that was Muktzeh Throughout Bein Ha-shmashot	10. An Item that was Muktzeh Throughout Bein Ha'shmashot	י – מוקצה בבין השמשות משום איסור או מצווה
12. The Permissibility of Removing Filthy Items – “Graf Shel Re’i”	12. The Permissibility of Removing Filthy Items. "Graf Shel Re'i"	יב – היתר סילוק דברים מטונפים – גרף של רעי
13. Broken Kelim and Worn-Out Clothing	13. Broken Kelim and Worn Out Clothing	יג – כלים שנשברו ובגדים שהתבלו
24 - Children	24. Children	פרק כד - דיני קטן
01. The Mitzva of Ĥinukh, Educating One’s Children	01. The Mitzva of Hinukh, Educating One's Children	א – מצוות חינוך
25 – Melakha Performed by a Non-Jew	25. Melakha Performed by a Non Jew	פרק כה - מלאכת גוי
01. Asking a Non-Jew to Do Melakha on Shabbat	01. Asking a Non Jew to Do Melakha on Shabbat	א – איסור אמירה לנכרי
02. Benefiting from a Melakha That a Non-Jew Performed for Himself	02. Benefiting from a Melakha That a Non Jew Performed for Himself	ב – מותר ליהנות ממלאכה שעשה הגוי עבור עצמו
05. A Non-Jew’s Melakha for Someone Sick or Suffering (and Air Conditioners)	05. A Non Jew's Melakha for Someone Sick or Suffering (and Air Conditioners)	ה – היתר מלאכת גוי עבור חולה ועבור מצטער (מזגן)
08. Non-Jewish Contractors	08. Non Jewish Contractors	ח – עבודת גוי בקבלנות
26 – Ma’aseh Shabbat and Lifnei Iver	26. Ma'aseh Shabbat and Lifnei Iver	פרק כו - מעשה שבת ולפני עיוור
09. Interacting with Non-Observant Jews and Lifnei Iver	09. Interacting with Non Observant Jews and Lifnei Iver	ט – בין דתיים לחילוניים (לפני עיוור)
27 – Sick People and Saving Lives	27. Sick People and Saving Lives	פרק כז - פיקוח נפש וחולה
01. The Principles of Piku’aĥ Nefesh (Saving a Life)	01. The Principles of Piku'ah Nefesh (Saving a Life)	א – כללי פיקוח נפש
04. Using a Non-Jew or Child to Minimize Shabbat Desecration	04. Using a Non Jew or Child to Minimize Shabbat Desecration	ד – האם טוב להיעזר בגוי או קטן כדי למעט באיסור
13. A Commanding Officer’s Authority During Wartime and Normal Times	13. A Commanding Officer's Authority During Wartime and Normal Times	יג – מצב מלחמה ומצב שיגרה בצבא וסמכות המפקד
28 – Illness That Is Not Life-Threatening	28. Illness That Is Not Life Threatening	פרק כח - חולה שאינו מסוכן
04. The Enactment Against Medicine – Grinding Ingredients	04. The Enactment Against Medicine. Grinding Ingredients	ד – גזירת תרופות – שחיקת סממנים
14. Seeing a Non-Observant Doctor	14. Seeing a Non Observant Doctor	יד – האם מותר ללכת לרופא חילוני
29 – Eruvin	29. Eruvin	פרק כט - עירובין
02. Tzurat Ha-petaĥ	02. Tzurat Ha'petah	ב – צורת הפתח
04. Fences, Breaches, and a Tel Ha-mitlaket	04. Fences, Breaches, and a Tel Ha'mitlaket	ד – גדרות, פרצות ותל המתלקט
05. Forming a Partnership Using Two Meals’ Worth of Food	05. Forming a Partnership Using Two Meals' Worth of Food	ה – השיתוף שנעשה על ידי מזון שתי סעודות
30 – Teĥum Shabbat	30. Tehum Shabbat	פרק ל - תחומי שבת
01. General Principles of Teĥum Shabbat	01. General Principles of Tehum Shabbat	א – כללי מצוות תחומין
02. Squaring the Teĥum	02. Squaring the Tehum	ב – ריבוע התחום
03. Teĥum Shabbat Is Individual	03. Tehum Shabbat Is Individual	ג – תחום שבת יחודי לכל אדם
05. Measuring Teĥum in Rabbinic Times and Nowadays	05. Measuring Tehum in Rabbinic Times and Nowadays	ה – צורת המדידה בזמן חז"ל וכיום
11. Traveling Beyond the Teĥum and Items Arriving from Beyond the Teĥum	11. Traveling Beyond the Tehum and Items Arriving from Beyond the Tehum	יא – היוצא מתחום שבת ודברים הבאים מחוץ לתחום
12. Eruv Teĥumin	12. Eruv Tehumin	יב – עירוב תחומין
13. Placing the Eruv Teĥumin and Reciting the Berakha	13. Placing the Eruv Tehumin and Reciting the Berakha	יג – סדר הנחת 'עירוב תחומין' וברכתו
01 - Fundamentals of the Laws of Prayer	01. Fundamentals of the Laws of Prayer	פרק א - יסודות הלכות תפילה
01 – Prayer	01. Prayer	א – התפילה
02 – The Prayers of Our Ancestors and Prophets	02. The Prayers of Our Ancestors and Prophets	ב – תפילותיהם של האבות והנביאים
3 – The Effect of Prayer	3. The Effect of Prayer	ג – פעולתה של התפילה
04 – Is Prayer a Biblical Obligation?	04. Is Prayer a Biblical Obligation?	ד – האם חיובה מהתורה
05 – The Institution of Prayer by Anshei Knesset HaGedolah	05. The Institution of Prayer by Anshei Knesset HaGedolah	ה – תקנת התפילה על ידי אנשי כנסת הגדולה
06 – The Standardized Wording (Nusach)	06. The Standardized Wording (Nusach)	ו – הנוסח הקבוע
07 – Establishing Three Prayers	07. Establishing Three Prayers	ז – תקנת שלוש התפילות
08 – Kavanah and Those Who Find It Difficult to Concentrate	08. Kavanah and Those Who Find It Difficult to Concentrate	ח – כוונה והמתקשים לכוון
09 – Hearing the Words One Utters and the Law of Hirhur	09. Hearing the Words One Utters and the Law of Hirhur	ט – להשמיע לאוזנו ודין הרהור
10 – The Language of Prayer	10. The Language of Prayer	י – לשון התפילה
02 - The Minyan	02. The Minyan	פרק ב - המניין
01 – The Virtue of a Minyan	01. The Virtue of a Minyan	א – מעלת המניין
02 – The Virtue of Prayer in a Minyan	02. The Virtue of Prayer in a Minyan	ב – טעם למעלת התפילה במניין
03 – What Is Prayer in a Minyan?	03. What Is Prayer in a Minyan?	ג – מהי תפילה במניין
04 – The Extent of One’s Obligation to Pray in a Minyan	04. The Extent of One's Obligation to Pray in a Minyan	ד – מידת החיוב של התפילה במניין
05 – Priorities Pertaining to Prayer in a Minyan	05. Priorities Pertaining to Prayer in a Minyan	ה – סדרי עדיפויות ביחס לתפילה במניין
06 – Who Can Be Counted in a Minyan?	06. Who Can Be Counted in a Minyan?	ו – מי מצטרף למניין
07 – Is a Person Praying the Amidah Counted as Part of the Minyan?	07. Is a Person Praying the Amidah Counted as Part of the Minyan?	ז – האם העומד בתפילה מצטרף למניין
08 – Counting a Non-Religious Jew as Part of the Minyan	08. Counting a Non Religious Jew as Part of the Minyan	ח – צירוף חילוני למניין
09 – How Is a Person Counted in a Minyan?	09. How Is a Person Counted in a Minyan?	ט – כיצד מצטרפים למניין
10 – A Diminished Minyan	10. A Diminished Minyan	י – מניין שנתמעט
03 - The Place of Prayer	03. The Place of Prayer	פרק ג - מקום התפילה
01 – The Mitzvah to Pray in a Synagogue	01. The Mitzvah to Pray in a Synagogue	א – מצווה להתפלל בבית כנסת
02 – Establishing a Regular Place to Pray	02. Establishing a Regular Place to Pray	ב – קביעת מקום לתפילה
03 – In Which Synagogue Is It Preferable to Pray?	03. In Which Synagogue Is It Preferable to Pray?	ג – באיזה בית כנסת עדיף להתפלל
04 – One May Not Pray in a High Place	04. One May Not Pray in a High Place	ד – אין להתפלל במקום גבוה
05 – One Should Enter Two “Doorways”	05. One Should Enter Two "Doorways"	ה – יכנס שני פתחים
06 – Nothing Should Separate a Person from the Wall While Praying	06. Nothing Should Separate a Person from the Wall While Praying	ו – שלא יהא דבר חוצץ בינו לקיר
07 – One May Not Pray Near His Primary Rabbi	07. One May Not Pray Near His Primary Rabbi	ז – לא יתפלל סמוך לרבו המובהק
08 – A Proper Place to Pray	08. A Proper Place to Pray	ח – מקום ראוי לתפילה
09 – Areas Free from Excrement and Foul Odors	09. Areas Free from Excrement and Foul Odors	ט – נקיות המקום מצואה וריחות רעים
10 – Additional Laws	10. Additional Laws	י – דינים נוספים
11 – The Prohibition of Reciting Matters of Sanctity in Front of “Ervah”	11. The Prohibition of Reciting Matters of Sanctity in Front of "Ervah"	יא – איסור אמירת דברים שבקדושה מול ערווה
04 - The Chazan and the Mourner’s Kaddish	04. The Chazan and the Mourner's Kaddish	פרק ד - החזן וקדיש של אבלים
01 – An Appropriate Prayer Leader	01. An Appropriate Prayer Leader	א – הראוי להיות שליח ציבור
02 – Chazanut for the Sake of Heaven	02. Chazanut for the Sake of Heaven	ב – חזנות לשם שמים
03 – Appointing a Chazan	03. Appointing a Chazan	ג – מינוי החזן
04 – Indecent Attire and the Importance of a Beard	04. Indecent Attire and the Importance of a Beard	ד – הלבוש הראוי לתפילה, פוחח ושנתמלא זקנו
05 – The Mourner’s Prayer	05. The Mourner's Prayer	ה – תפילת אבלים
06 – The Duration of the Kaddish Recital and the Yahrtzeit Day	06. The Duration of the Kaddish Recital and the Yahrtzeit Day	ו – עד מתי נוהגים לומר קדיש, ויום היורצייט
07 – Order of Precedence	07. Order of Precedence	ז – סדרי קדימה
08 – Saying Kaddish for a Person Who Does Not Have an Adult Son	08. Saying Kaddish for a Person Who Does Not Have an Adult Son	ח – אמירת קדיש על מי שאין לו בן גדול
05 - Preparations for Prayer	05. Preparations for Prayer	פרק ה - הכנות לתפילה
01 – Emotional Preparation	01. Emotional Preparation	א – הכנה נפשית
02 – Washing One’s Hands	02. Washing One's Hands	ב – נטילת ידיים
03 – Kippah and Belt	03. Kippah and Belt	ג – כיפה וחגורה
04 – The Appropriate Dress for Prayer	04. The Appropriate Dress for Prayer	ד – מהו הלבוש הראוי לתפילה
05 – Detailed Laws of One’s Dress for Prayer	05. Detailed Laws of One's Dress for Prayer	ה – פרטי דינים של הלבוש בתפילה
06 – One May Not Bring to Synagogue Children Who Are Likely to Disrupt	06. One May Not Bring to Synagogue Children Who Are Likely to Disrupt	ו – שלא להביא לבית הכנסת ילדים העלולים להפריע
07 – Preventing Possible Disruptions in Prayer	07. Preventing Possible Disruptions in Prayer	ז – מניעת דברים הטורדים בתפילה
08 – One Who Must Relieve Himself While Praying	08. One Who Must Relieve Himself While Praying	ח – דין הנצרך לנקביו לעניין תפילה
09 – One Who Needs to Relieve Himself Before Reciting Other Matters of Sanctity	09. One Who Needs to Relieve Himself Before Reciting Other Matters of Sanctity	ט – דין הנצרך לנקביו לשאר עניינים שבקדושה
10 – One Who Needs to Relieve Himself in the Middle of Praying	10. One Who Needs to Relieve Himself in the Middle of Praying	י – מי שבאמצע תפילתו הוצרך להתפנות
11 – One Who Is Tipsy or Drunk	11. One Who Is Tipsy or Drunk	יא – שיכור ושתוי
06 - Nusach: Wording of Prayer	06. Nusach: Wording of Prayer	פרק ו - הנוסחים ומנהגי העדות
01 – The Differences in Nusach	01. The Differences in Nusach	א – שינויי הנוסחים
02 – No Nusach Should Be Considered More Preferable than Another	02. No Nusach Should Be Considered More Preferable than Another	ב – אין להחשיב נוסח אחד כעדיף מחבירו
03 – In What Cases Is One Permitted to Change His Nusach?	03. In What Cases Is One Permitted to Change His Nusach?	ג – דין מהגרים וקהילות שנדדו ממקומם
04 – Immigrants and Communities that Migrated	04. Immigrants and Communities that Migrated	ד – באיזה מקרים מותר לשנות את הנוסח
05 – Praying in a Minyan Conducted in a Different Nusach	05. Praying in a Minyan Conducted in a Different Nusach	ה – המתפלל במניין בעל נוסח אחר
06 – Preserving Minhagim versus Strengthening the Community	06. Preserving Minhagim versus Strengthening the Community	ו – שמירת המנהגים מול חיזוק הקהילה
07 – Those Accustomed to a Different Nusach	07. Those Accustomed to a Different Nusach	ז – המתרגלים לנוסח עדה אחרת
08 – Ashkenazim Who Pray with a Sephardic Pronunciation	08. Ashkenazim Who Pray with a Sephardic Pronunciation	ח – אשכנזים שמתפללים במבטא ספרדי
09 – Members of Different Ethnic Groups Praying Together	09. Members of Different Ethnic Groups Praying Together	ט – בני עדות שונות המתפללים ביחד
07 - Waking Up in the Morning	07. Waking Up in the Morning	פרק ז - השכמת הבוקר
01 – Wake Up Like a Lion	01. Wake Up Like a Lion	א – יקום כארי
02 – Dressing Modestly	02. Dressing Modestly	ב – התלבשות בצניעות
03 – The Extra Pious Custom with Regard to Putting on One’s Clothes and Shoes	03. The Extra Pious Custom with Regard to Putting on One's Clothes and Shoes	ג – מנהג חסידות בלבישת הבגדים ונעילת הנעליים
08 - Washing One’s Hands in the Morning	08. Washing One's Hands in the Morning	פרק ח - נטילת ידיים שחרית
01 – Morning Washing	01. Morning Washing	א – נטילת ידיים של שחרית
02 – Hand Washing Concerning One Who Did Not Sleep All Night	02. Hand Washing Concerning One Who Did Not Sleep All Night	Missing Section
03 – Ruach Ra’ah (Evil Spirit)	03. Ruach Ra'ah (Evil Spirit)	ב – רוח-רעה
04 – Ruach Ra’ah Today	04. Ruach Ra'ah Today	ג – רוח-רעה בזמננו
05 – The Time to Recite Al Netilat Yadayim	05. The Time to Recite Al Netilat Yadayim	ד – זמן ברכת 'על נטילת ידיים'
06 – Hand Washing Following Daytime Sleep	06. Hand Washing Following Daytime Sleep	ה – נטילת ידיים לאחר שינה ביום ולניעור בלילה
07 – Waking in the Middle of the Night to Tend to a Baby or for Any Other Reason	07. Waking in the Middle of the Night to Tend to a Baby or for Any Other Reason	ו – קימה באמצע הלילה לתינוק או לצורך אחר
08 – Food Touched by Unwashed Hands	08. Food Touched by Unwashed Hands	ז – מאכלים שנגעו בהם לפני הנטילה
09 – Minors	09. Minors	ח – קטנים
09 - Birkot HaShachar – The Morning Blessings	09. Birkot HaShachar. The Morning Blessings	פרק ט - ברכות השחר
01 – Blessings of Thanks	01. Blessings of Thanks	א – ברכות ההודאה
02 – The Order of the Morning Blessings	02. The Order of the Morning Blessings	ב – סדר ברכות השחר
03 – Birkot HaShachar for One Who Does Not Derive Pleasure	03. Birkot HaShachar for One Who Does Not Derive Pleasure	ג – ברכות השחר למי שלא נהנה
04 – Until When May One Recite Birkot HaShachar?	04. Until When May One Recite Birkot HaShachar?	ד – עד מתי זמנן של ברכות השחר
05 – The Time to Recite Birkot HaShachar for One Who Wakes Up in the Middle of the Night	05. The Time to Recite Birkot HaShachar for One Who Wakes Up in the Middle of the Night	ה – זמן ברכות השחר למי שקם באמצע הלילה
06 – One Who Was Awake All Night	06. One Who Was Awake All Night	ו – מי שהיה ער כל הלילה
10 - Birkot HaTorah – The Blessings on the Torah	10. Birkot HaTorah: The Blessings on the Torah	פרק י - ברכת התורה
01 – The Value of Birkot HaTorah	01. The Value of Birkot HaTorah	א – ערכה של ברכת התורה
02 – The Content of the Torah Blessings and the Ruling Regarding Ahavat Olam	02. The Content of the Torah Blessings and the Ruling Regarding Ahavat Olam	ב – תוכן ברכת התורה ודין "אהבת עולם"
03 – Is the Recital of Birkot HaTorah a Biblical Commandment?	03. Is the Recital of Birkot HaTorah a Biblical Commandment?	ג – האם המצווה לברך מהתורה
04 – Before What Type of Learning Must the Berachot Be Recited?	04. Before What Type of Learning Must the Berachot Be Recited?	ד – לפני איזה לימוד חייבים לברך
05 – Birkot HaTorah for the Whole Day	05. Birkot HaTorah for the Whole Day	ה – ברכת התורה לכל היום
06 – Is Sleep Considered an Interruption Regarding Birkot HaTorah?	06. Is Sleep Considered an Interruption Regarding Birkot HaTorah?	ו – האם שינה נחשבת הפסקה לברכת התורה
07 – One Who Was Awake All Night	07. One Who Was Awake All Night	ז – היה ער כל הלילה
11 - The Times of Keriat Shema and Shacharit	11. The Times of Keriat Shema and Shacharit	פרק יא - זמן ק"ש ותפילת שחרית
01 – The Morning	01. The Morning	א – זמני הבוקר
02 – Calculation of the Morning Times	02. Calculation of the Morning Times	ב – חשבון זמני הבוקר
03 – The Time of Keriat Shema	03. The Time of Keriat Shema	ג – זמן קריאת שמע
04 – The Time of the Amidah	04. The Time of the Amidah	ד – זמן תפילה
05 – Vatikin at Netz HaChamah	05. Vatikin at Netz HaChamah	ה – תפילת 'ותיקין' ב'הנץ החמה'
06 – The Precise Times of Vatikin and Netz	06. The Precise Times of Vatikin and Netz	ו – זמן 'ותיקין' ו'הנץ' המדויק
07 – How Early May One Begin to Pray?	07. How Early May One Begin to Pray?	ז – עד כמה אפשר להקדים את התפילה
08 – How Early Is One Permitted to Pray in Extenuating Circumstances?	08. How Early Is One Permitted to Pray in Extenuating Circumstances?	ח – עד כמה אפשר להקדים את התפילה בשעת הדחק
09 – Praying Vatikin Individually versus Praying in a Minyan	09. Praying Vatikin Individually versus Praying in a Minyan	ט – ותיקין ביחיד מול תפילה במניין
10 – The Proportional Hours and Their Corresponding Laws	10. The Proportional Hours and Their Corresponding Laws	י – השעות הזמניות ודיניהן
11 – The Practical Halachah Regarding the Final Time to Recite Shema and Pray the Amidah	11. The Practical Halachah Regarding the Final Time to Recite Shema and Pray the Amidah	יא – הלכה למעשה בסוף זמן ק"ש ותפילה
12 – Praying in a Minyan vs. Abiding by the Times	12. Praying in a Minyan vs. Abiding by the Times	יב – תפילה במניין מול שמירת הזמנים
12 - Before the Shacharit Prayer	12. Before the Shacharit Prayer	פרק יב - לקראת תפילת שחרית
01 – Greetings Before Prayer	01. Greetings Before Prayer	א – הקדמת שלום לפני התפילה
02 – One May Not Deal with Personal Business Before Prayer	02. One May Not Deal with Personal Business Before Prayer	ב – שלא לעסוק בעסקיו קודם התפילה
03 – Permitted Activities Before Praying	03. Permitted Activities Before Praying	ג – דברים שמותר לעשות לפני התפילה
04 – Ritual Immersion (Tevilah), Bathing, and Shaving	04. Ritual Immersion (Tevilah), Bathing, and Shaving	ד – טבילה רחצה וגילוח
05 – One Who Is Traveling	05. One Who Is Traveling	ה – היוצא לדרך
06 – Eating and Drinking Before Prayer	06. Eating and Drinking Before Prayer	ו – אכילה ושתייה קודם התפילה
07 – Coffee, Tea, and Cake Before Prayer	07. Coffee, Tea, and Cake Before Prayer	ז – קפה תה ועוגות לפני התפילה
08 – Eating and Drinking Before Amud HaShachar	08. Eating and Drinking Before Amud HaShachar	ח – אכילה ושתייה לפני עמוד השחר
09 – Tefillin and Tzitzit During Keriat Shema and Shacharit	09. Tefillin and Tzitzit During Keriat Shema and Shacharit	ט – תפילין וציצית בקריאת שמע ותפילת שחרית
10 – Laws Pertaining to Tzitzit and Tefillin for Shacharit	10. Laws Pertaining to Tzitzit and Tefillin for Shacharit	י – דינים בהנחת ציצית ותפילין לקראת שחרית
13 - Korbanot – The Passages of the Sacrificial Offerings	13. Korbanot. The Passages of the Sacrificial Offerings	פרק יג - סדר קרבנות
01 – Is It an Obligation to Recite the Korbanot Passages?	01. Is It an Obligation to Recite the Korbanot Passages?	א – האם חובה לומר סדר קרבנות
02 – The Reason for the Recital of the Korbanot and the Different Stages of Prayer	02. The Reason for the Recital of the Korbanot and the Different Stages of Prayer	ב – טעם לאמירת הקרבנות ושלבי התפילה
03 – The Source for the Recital of the Korbanot	03. The Source for the Recital of the Korbanot	ג – מקור לאמירת קרבנות
04 – The Korbanot Passages	04. The Korbanot Passages	ד – סדר קרבנות
05 – The Reason for the Tamid Offering	05. The Reason for the Tamid Offering	ה – טעם לקרבן התמיד
06 – The Reason for the Ketoret	06. The Reason for the Ketoret	ו – טעם הקטורת
14 - Pesukei d’Zimrah	14. Pesukei d'Zimrah	פרק יד - פסוקי דזמרה
01 – The Reason for Its Recital	01. The Reason for Its Recital	א – טעם אמירתם
02 – What Are Pesukei d’Zimrah?	02. What Are Pesukei d'Zimrah?	ב – מהם פסוקי דזמרה
03 – Customs and Kavanah Regarding Their Recital	03. Customs and Kavanah Regarding Their Recital	ג – מנהגים וכוונה באמירתם
