mishnah_ref|german_text|hebrew_text|is_one_to_one|flagged_for_manual|flag_msg|list_rn
Mishnah Berakhot 2:3|<sup>iii</sup> <b>W</b>ER DAS ŠEMA͑ LIEST OHNE ES SEINEM OHRE HÖRBAR ZU MACHEN GENÜGT SEINER PFLICHT; R. JOSE SAGT ER GENÜGE IHR NICHT. WER ES GELESEN UND DIE BUCHSTABEN NICHT GENAU AUSGESPROCHEN HAT HAT WIE R. JOSE SAGT SEINER PFLICHT GENÜGT UND WIE R. JEHUDA SAGT IHR NIGHT GENÜGT. WER RÜCKWÄRTS LIEST GENÜGT SEINER PFLICHT NIGHT. WER GELESEN UND SICH VERIRRT HAT FANGE VON DER STELLE WIEDER AN WO ER SICH VERIRRT HAT.|הַקּוֹרֵא אֶת שְׁמַע וְלֹא הִשְׁמִיעַ לְאָזְנוֹ, יָצָא. רַבִּי יוֹסֵי אוֹמֵר, לֹא יָצָא. קָרָא וְלֹא דִקְדֵּק בְּאוֹתִיּוֹתֶיהָ, רַבִּי יוֹסֵי אוֹמֵר יָצָא, רַבִּי יְהוּדָה אוֹמֵר לֹא יָצָא. הַקּוֹרֵא לְמַפְרֵעַ, לֹא יָצָא. קָרָא וְטָעָה, יַחֲזֹר לְמָקוֹם שֶׁטָּעָה: |True|False||['iii']
Mishnah Berakhot 2:4| <b>H</b>ANDWERKER DÜRFEN AUF DER SPITZE DES BAUMES UND AUF DER HÖHE DES GERÜSTES DAS ŠEMA͑ LESEN NICHT ABER SO DAS GEBET VERRICHTEN. |הָאֻמָּנִין קוֹרִין בְּרֹאשׁ הָאִילָן אוֹ בְרֹאשׁ הַנִּדְבָּךְ, מַה שֶּׁאֵינָן רַשָּׁאִין לַעֲשׂוֹת כֵּן בַּתְּפִלָּה: |True|False||['iv', 'v']
Mishnah Berakhot 2:5| DER BRÄUTIGAM IST IN DER ERSTEN NACHT UND FALLS ER DEN AKT NOCH NICHT VOLLZOGEN HAT BIS ZUM ŠABBATH AUSGANGE VOM ŠEMAA͑LESEN BEFREIT. ALS EINST R. GAMLIÉL ALS ER EINE FRAU NAHM IN DER ERSTEN NACHT DAS ŠEMA͑ LAS SPRACHEN SEINE SCHÜLER ZU IHM: MEISTER DU HAST UNS JA GELEHRT EIN BRÄUTIGAM SEI VOM ŠEMA͑LESEN BEFREIT. ER ERWIDERTE IHNEN: ICH GEBE EUCH NICHT NACH DAS HLMMLISCHE JOCH AUCH NUR EINE STUNDE VON MIR ABZULEGEN.|חָתָן פָּטוּר מִקְּרִיאַת שְׁמַע בַּלַּיְלָה הָרִאשׁוֹן עַד מוֹצָאֵי שַׁבָּת, אִם לֹא עָשָׂה מַעֲשֶׂה. מַעֲשֶׂה בְּרַבָּן גַּמְלִיאֵל שֶׁקָּרָא בַלַּיְלָה הָרִאשׁוֹן שֶׁנָּשָׂא. אָמְרוּ לוֹ תַּלְמִידָיו, לֹא לִמַּדְתָּנוּ, רַבֵּנוּ, שֶׁחָתָן פָּטוּר מִקְּרִיאַת שְׁמַע בַּלַּיְלָה הָרִאשׁוֹן. אָמַר לָהֶם, אֵינִי שׁוֹמֵעַ לָכֶם לְבַטֵּל מִמֶּנִּי מַלְכוּת שָׁמַיִם אֲפִלּוּ שָׁעָה אֶחָת: |True|False||['iv', 'v']
Mishnah Berakhot 2:6| <b>A</b>1S ER IN DER ERSTEN NACHT NACHDEM SEINE FRAU GESTORBEN WAR BADETE SPRACHEN SEINE SCHÜLER ZU IHM: MEISTER DU HAST UNS JA GELEHRT DER LEIDTRAGENDE DÜRFE NICHT BADEN. ER ERWIDERTE IHNEN: ICH GLEICHE NICHT ANDEREN MENSCHEN ICH BIN VERWEICHLICHT. |רָחַץ לַיְלָה הָרִאשׁוֹן שֶׁמֵּתָה אִשְׁתּוֹ. אָמְרוּ לוֹ תַלְמִידָיו, לֹא לִמַּדְתָּנוּ, רַבֵּנוּ, שֶׁאָבֵל אָסוּר לִרְחֹץ. אָמַר לָהֶם, אֵינִי כִשְׁאָר כָּל אָדָם, אִסְטְנִיס אָנִי: |True|False||['vi', 'vii', 'viii']
Mishnah Berakhot 2:7| ALS SEIN SKLAVE ṬABI GESTORBEN WAR UND ER BEILEIDSBEZEUGUNGEN ENTGEGENNAHM SPRACHEN SEINE SCHÜLER ZU IHM: MEISTER DU HAST UNS JA GELEHRT MAN NEHME KEINE BEILEIDSBEZEUGUNGEN ÜBER DEN TOD VON SKLAVEN ENTGEGEN.ER ERWIDERTE IHNEN: MEIN SKLAVE ṬABI GLICH NICHT ALL DEN ANDEREN SKLAVEN ER WAR TUGENDHAFT. |וּכְשֶׁמֵּת טָבִי עַבְדּוֹ, קִבֵּל עָלָיו תַּנְחוּמִין. אָמְרוּ לוֹ תַּלְמִידָיו, לֹא לִמַּדְתָּנוּ רַבֵּנוּ, שֶׁאֵין מְקַבְּלִין תַּנְחוּמִין עַל הָעֲבָדִים. אָמַר לָהֶם, אֵין טָבִי עַבְדִּי כִּשְׁאָר כָּל הָעֲבָדִים, כָּשֵׁר הָיָה: |True|False||['vi', 'vii', 'viii']
Mishnah Berakhot 2:8| DER BRÄUTIGAM DARF FALLS ER WILL AUCH IN DER ERSTEN NACHT DAS ŠEMA͑ LESEN. R. ŠIMO͑N B. GAMLIÉL ABER SAGT NIGHT EIN JEDER DER SICH DEN RUFBEILEGEN WILL DARF IHN SICH BEILEGEN.|חָתָן אִם רָצָה לִקְרוֹת קְרִיאַת שְׁמַע לַיְלָה הָרִאשׁוֹן, קוֹרֵא. רַבָּן שִׁמְעוֹן בֶּן גַּמְלִיאֵל אוֹמֵר, לֹא כָל הָרוֹצֶה לִטֹּל אֶת הַשֵּׁם יִטֹּל: |True|False||['vi', 'vii', 'viii']
Mishnah Berakhot 3:1| <b>W</b>ER SEINEN TOTEN VOR SICH LIEGEN HAT IST VOM ŠEMA͑LESEN VOM GEBETE UND VON ALLEN IN DER TORA GENANNTEN GEBOTEN BEFREIT. VON DEN TRÄGERN DER BAHRE IHREN ABLÖSERN UND DEN ABLÖSERN IHRER ABLÖSER DIE VOR DER BAHRE UND DIE HINTER DER BAHRE SIND DIE VOR DER BAHRE SICH BEFINDEN FALLS MAN SIE BRAUCHT BEFREIT UND DIE HINTER DER BAHRE SICH BEFINDEN AUCH FALLS MAN SIE BRAUCHT VERPFLICHTET. |מִי שֶׁמֵּתוֹ מוּטָל לְפָנָיו, פָּטוּר מִקְּרִיאַת שְׁמַע, מִן הַתְּפִלָּה וּמִן הַתְּפִלִּין. נוֹשְׂאֵי הַמִּטָּה וְחִלּוּפֵיהֶן וְחִלּוּפֵי חִלּוּפֵיהֶן, אֶת שֶׁלִּפְנֵי הַמִּטָּה וְאֶת שֶׁלְּאַחַר הַמִּטָּה, אֶת שֶׁלַּמִּטָּה צֹרֶךְ בָּהֶן פְּטוּרִים, וְאֶת שֶׁאֵין לַמִּטָּה צֹרֶךְ בָּהֶן חַיָּבִין. אֵלּוּ וָאֵלּוּ פְּטוּרִים מִן הַתְּפִלָּה: |True|False||['i', 'ii', 'iii']
Mishnah Berakhot 3:2| DIESE UND JENE SIND VOM GEBETE BEFREIT. SOBALD SIE DEN TOTEN BESTATTET HABEN UND ZURÜCKGEKEHRT SIND MÜSSEN SIE FALLS SIE ANFANGEN UND BEENDEN KÖNNEN BEVOR SIE NOCH IN DIE REIHEKOMMEN ANFANGEN WENN ABER NICHT SO FANGEN SIE NICHT AN. VON DEN IN DER REIHE STEHENDEN SIND DIE INNEREN BEFREIT UND DIE ÄUSSEREN VERPFLICHTET. |קָבְרוּ אֶת הַמֵּת וְחָזְרוּ, אִם יְכוֹלִין לְהַתְחִיל וְלִגְמֹר עַד שֶׁלֹּא יַגִּיעוּ לַשּׁוּרָה, יַתְחִילוּ. וְאִם לָאו, לֹא יַתְחִילוּ. הָעוֹמְדִים בַּשּׁוּרָה, הַפְּנִימִים פְּטוּרִים, וְהַחִיצוֹנִים חַיָּבִין: |True|False||['i', 'ii', 'iii']
Mishnah Berakhot 3:3| (FRAUEN SKLAVEN UND MINDERJÄHRIGE SIND VOM SEMA͑LESEN UND VON DEN TEPHILLIN BEFREIT ZUM GEBETE ZUR MEZUZA UND ZUM TISCHSEGEN VERPFLICHTET.)|נָשִׁים וַעֲבָדִים וּקְטַנִּים פְּטוּרִין מִקְּרִיאַת שְׁמַע וּמִן הַתְּפִלִּין, וְחַיָּבִין בִּתְפִלָּה וּבִמְזוּזָה, וּבְבִרְכַּת הַמָּזוֹן: |True|False||['i', 'ii', 'iii']
Mishnah Berakhot 3:4|<sup>iv</sup> <b>D</b>ER SAMENERGUSSBEHAFTETE DENKE DAS ŠEMA͑ IN SEINEM HERZEN UND SPRECHE DIE SEGENSSPRÜCHE WEDER VORHER NOCH NACHHER. ÜBER DIE MAHLZEIT SPRECHE ER DEN SEGENSSPRUCH NACHHER NICHT ABER VORHER. R. JEHUDA SAGT ER SPRECHE DIE SEGENSSPRÜCHE VORHER UND NACHHER.|בַּעַל קֶרִי מְהַרְהֵר בְּלִבּוֹ וְאֵינוֹ מְבָרֵךְ, לֹא לְפָנֶיהָ וְלֹא לְאַחֲרֶיהָ. וְעַל הַמָּזוֹן מְבָרֵךְ לְאַחֲרָיו, וְאֵינוֹ מְבָרֵךְ לְפָנָיו. רַבִּי יְהוּדָה אוֹמֵר, מְבָרֵךְ לִפְנֵיהֶם וּלְאַחֲרֵיהֶם: |True|False||['iv']
