mishnah_tref,de_text
Mishnah Shabbat 24:1,"<b>W</b>ER <small>UNTERWEGS VON DER</small> D<small>UNKELHEIT ÜBERRASCHT WIRD, GEBE SEINEN</small> G<small>ELDBEUTEL EINEM</small> N<small>ICHTJUDEN; IST KEIN</small> N<small>ICHTJUDE MIT IHM, SO LEGE ER IHN AUF DEN</small> E<small>SEL</small>. S<small>OBALD ER DEN ÄUSSERSTEN</small> H<small>OF</small> <small>DER</small> S<small>TADT</small> <small>ERREICHT, NEHME ER DIE</small> G<small>ERÄTE AB, DIE AM</small> Š<small>ABBATH FORTBEWEGT WERDEN DÜRFEN, UND VON DENEN, DIE NICHT FORTBEWEGT WERDEN DÜRFEN, LÖSE ER DIE</small> S<small>TRICKE, SODASS DIE</small> S<small>ÄCKE VON SELBST HERUNTERFALLEN</small>."
Mishnah Shabbat 24:2," <b>M</b><small>AN DARF FÜR DAS</small> V<small>IEH</small> S<small>TROHBÜNDEL LÖSEN, AUCH</small> G<small>EBUNDE AUFLOKKERN, JEDOCH KEINE</small> R<small>EISER</small>. M<small>AN DARF NICHT</small> F<small>UTTERGRAS ODER</small> J<small>OHANNISBROT FÜR DAS</small> V<small>IEH ZERKRÜMELN, OB</small> K<small>LEINVIEH ODER</small> G<small>ROSSVIEH</small>; R. J<small>EHUDA ERLAUBT ES BEIM</small> J<small>OHANNISBROTE FÜR DAS</small> K<small>LEINVIEH</small>."
Mishnah Shabbat 24:3," <b>M</b><small>AN DARF EINEM</small> K<small>AMEL NICHT</small> <small>DAS</small> F<small>UTTER INS</small> M<small>AUL</small> <small>STOPFEN ODER PRESSEN, WOHL ARER DARF MAN ES FÜTTERN</small>; K<small>ÄLBER DARF MAN NICHT MÄSTEN, WOHL ABER FRETZEN</small>; H<small>ÜHNER DARF MAN ÄTZEN</small>. M<small>AN DARF</small> W<small>ASSER IN DIE</small> K<small>LEIE TUN, JEDOCH NICHT DURCHKNETEN</small>. M<small>AN DARF</small> B<small>IENEN ODER</small> T<small>AUBEN IM</small> S<small>CHLAGE KEIN</small> W<small>ASSER VORSETZEN, WOHL ABER</small> G<small>ÄNSEN</small>, H<small>ÜHNERN UND</small> H<small>AUSTAUBEN</small><sup>33</sup><i class=""footnote"">Über Lesart und Bedeutung des im Texte gebrauchten Wortes für Haustauben (<span dir=""rtl"">חרדיסאות</span> od. <span dir=""rtl"">חדריסאות</span>) schwankt der Talmud (Hul. Fol. 139b); eine Lesart deutet auf einen Personennamen, die andere hingegen auf einen Ortsnamen; die Übereinstimmung mit dem französ. <i>dresser</i> ist Zufall.</i>."
Mishnah Shabbat 24:4," <b>M</b><small>AN DARF</small> K<small>ÜRBISSE FÜR DAS</small> V<small>IEH ZERSCHNEIDEN UND EIN</small> A<small>AS FÜR DIE</small> H<small>UNDE</small>. R. J<small>EHUDA SAGT, WAR DAS</small> A<small>AS AM</small> V<small>ORABEND DES</small> Š<small>ABBATHS NOCH NICHT VORHANDEN, SEI ES VERBOTEN, WEIL ES KEIN</small> V<small>ORBEREITETES IST</small>."
Mishnah Shabbat 24:5," <b>M</b><small>AN DARF AM ŠABBATH, WENN ES FÜR DEN</small> Š<small>ABBATH ERFORDERLICH IST</small>, G<small>ELÜBDE AUFHEBEN</small><sup>67</sup><i class=""footnote"">Der Ausdruck aufheben od. zerstören wird gebraucht von der Auflösung des Gelübdes einer Frau durch ihren Vater od. Ehemann; das Gelübde wird dann gänzlich annulliert; cf. Num. 30,6ff.</i>, <small>UND MAN DARF</small> G<small>ELÜBDE AUFLÖSEN</small><sup>68</sup><i class=""footnote"">Wörtl. sich befragen lassen, sc. vom Gelehrten, der den Gelobenden nach dem Grunde seiner Sinnesänderung fragen muß.</i>. F<small>ERNER DARF MAN DIE</small> L<small>UKE VERSTOPFEN UND EINEN</small> F<small>LICKEN</small><sup>69</sup><i class=""footnote"">Falls ein unreiner Flicken reine Gegenstände berührt, darf man ihn messen, ob er die zur Verunreinigungsfähigkeit erforderliche Größe hat.</i><small>ODER EIN</small> T<small>AUCHBAD</small><sup>70</sup><i class=""footnote"">Ob es die vorschriftsmäßige Weite u. Tiefe hat.</i> <small>MESSEN</small>. I<small>N DEN</small> T<small>AGEN DES</small> V<small>ATERS</small> R. Ç<small>ADOQS UND DES</small> A<small>BBA</small> Š<small>AÚL B</small>. B<small>OTNITH EREIGNETE ES SICH, DASS MAN EIN</small> F<small>ENSTERLOCH MIT EINEM</small> K<small>RUGE VERSTOPFT HATTE, UND MAN BEFESTIGTE EIN</small> T<small>ONGEFÄSS MIT</small> B<small>AST</small><sup>71</sup><i class=""footnote"">Tatbestand u. Grund folgt weiter im Talmud.</i>, <small>UM FESTZUSTELLEN, OB DIE</small> Ö<small>FFNUNG DES</small> K<small>ÜBELS EINE</small> H<small>ANDBREITE HÄTTE ODER NICHT</small>. A<small>US IHREN</small> W<small>ORTEN LERNEN WIR, DASS MAN AM</small> Š<small>ABBATH</small> <small>EIN</small> F<small>ENSTERLOCH</small> <small>VERSTOPFEN, MESSEN UND EINEN</small> K<small>NOTEN MACHEN DARF</small>."
Mishnah Eruvin 1:1," E<small>IN</small> D<small>URCHGANG</small><sup>1</sup><i class=""footnote"">In einem an 3 Seiten umzäunten oder von Häusern umgebenen Raume darf am Šabbath nicht umhergetragen werden (cf. Sab. Fol. 6a), es sei denn, daß auch an der 4. Seite eine Art Torwand errichtet wird, wozu schon ein einziger Pfosten od. ein von Wand zu Wand reichender Querbalken ausreicht. Unter ‘Durchgang’ in unserem Traktate ist eine solche Torwand zu verstehen, zuweilen auch der von Privathäusern umgebene Raum, eine Art Sackgasse, die an einer Seite in die öffentliche Straße mündet; in vorliegender Übersetzung mit ‘Durchgangsgasse’ wiedergegeben.</i>, <small>DER MEHR ALS ZWANZIG</small> E<small>LLEN HOCH IST, MUSS VERRINGERT WERDEN</small>; R.J<small>EHUDA SAGT, DIES SEI NICHT NÖTIG.</small> DER MEHR ALS ZEHN ELLEN BREIT IST, MUSS VERRINGERT WERDEN; HAT ER ABER DIE FORM EINES TÜRRAHMENS, SO IST DIES NICHT NÖTIG, AUCH WENN ER MEHR ALS ZEHN E<small>LLEN BREIT IST.</small>"
Mishnah Eruvin 1:2,"D<small>ER VORSCHRIFTSMÄSSIGE</small> D<small>URCHGANG BESTEHT, WIE DIE</small> S<small>CHULE</small> Š<small>AMMAJS SAGT, AUS EINEM</small> P<small>FOSTEN UND EINEM</small> Q<small>UERBALKEN, UND WIE DIE</small> S<small>CHULE</small> H<small>ILLELS SAGT, AUS EINEM</small> P<small>FOSTEN ODER EINEM</small> Q<small>UERBALKEN;</small> R.E<small>LIEZER SAGT, AUS ZWEI</small> P<small>FOSTEN</small>. E<small>IN</small> S<small>CHÜLER SPRACH VOR</small> R.A͑<small>QIBA IM</small> N<small>AMEN</small> R.J<small>IŠMA͑ÉLS:</small> D<small>IE</small> S<small>CHULE</small> Š<small>AMMAJS UND DIE</small> S<small>CHULE</small> H<small>ILLELS STREITEN NICHT ÜBER EINEN</small> D<small>URCHGANG, DER WENIGER ALS VIER</small> E<small>LLEN</small> <small>BREIT</small> <small>IST, OB ER DURCH EINEN</small> P<small>FOSTEN ODER EINEN</small> Q<small>UERBALKEN ERLAUBT WIRD</small>; <small>SIE STREITEN NUR ÜBER EINEN VON VIER BIS ZEHN</small> E<small>LLEN BREITEN: DIE</small> S<small>CHULE</small> Š<small>AMMAJS SAGT</small>, P<small>FOSTEN UND</small> Q<small>UERBALKEN, UND DIE</small> S<small>CHULE HILLELS SAGT</small>, P<small>FOSTEN ODER</small> Q<small>UERBALKEN</small>. R.A͑<small>QIBA ENTGEGNETE</small>: S<small>IE STREITEN ÜBER DEN EINEN UND DEN ANDEREN</small>."
Mishnah Eruvin 1:3,"D<small>ER</small> Q<small>UERBALKEN, VON DEM SIE SPRECHEN, MUSS SO BREIT SEIN, UM EINEN</small> H<small>ALBZIEGEL AUFNEHMEN ZU KÖNNEN</small>. D<small>ER</small> H<small>ALBZIEGEL HAT DIE</small> H<small>ÄLFTE EINES DREI</small> H<small>ANDBREITEN LANGEN</small> Z<small>IEGELS, JEDOCH GENÜGT FÜR DEN</small> Q<small>UERBALKEN DIE</small> B<small>REITE EINER</small> H<small>ANDBREITE, UM EINEN</small> H<small>ALBZIEGEL SEINER</small> L<small>ÄNGE NACH AUFNEHMEN ZU KÖNNEN</small>."
Mishnah Eruvin 1:4,"E<small>R MUSS BREIT GENUG SEIN, UM EINEN</small> H<small>ALBZIEGEL AUFNEHMEN, UND STARK GENUG, UM EINEN</small> H<small>ALBZIEGEL TRAGEN ZU KÖNNEN;</small> R.J<small>EHUDA SAGT, WENN NUR BREIT GENUG, AUCH WENN NICHT</small>"
Mishnah Eruvin 1:5,"<small>STARK GENUG</small>. I<small>ST ER AUS</small> S<small>TROH</small><sup>207</sup><i class=""footnote"">Ergänzung der Worte RJ.s.</i><small>ODER</small> R<small>OHR, SO IST ER ALS AUS</small> M<small>ETALL BESTEHEND ZU BETRACHTEN;</small> IST ER KRÜMM, SO IST ER ALS GERADE ZU BETRACHTEN; IST ER RUND, SO IST ER ALS VIERECKIG ZU BETRACHTEN. W<small>AS DREI</small> H<small>ANDBREITEN IM</small> K<small>REISE HAT, HAT EINE</small> H<small>ANDBREITE IM</small> D<small>URCHMESSER</small><sup>208</sup><i class=""footnote"">Wie schon die Kommentare bemerken, mathematisch ungenau.</i>."
Mishnah Eruvin 1:6,"D<small>IE</small> P<small>FOSTEN, VON DENEN SIE SPRECHEN, MÜSSEN EINE</small> H<small>ÖHE VON ZEHN</small>H<small>ANDBREITEN UND KÖNNEN EINE BELIEBIGE</small> B<small>REITE UND</small> D<small>ICKE HABEN</small>. R.J<small>OSE SAGT, EINE</small> B<small>REITE VON DREI</small> H<small>ANDBREITEN</small>."
Mishnah Eruvin 1:7,"A<small>LLES KANN ALS</small> P<small>FOSTEN VERWENDET WERDEN, SELBST EIN LEBENDES</small> W<small>ESEN</small>; R.M<small>EÍR VERBIETET DIES</small>. E<small>IN SOLCHES IST FERNER, WENN ES ALS</small> R<small>OLLSTEIN</small><sup>238</sup><i class=""footnote"">Zum Verschlüsse eines Grabes; vgl. Sab. Fol. 152b, Anm. 101.</i><small>VERWENDET WIRD, VERUNREINIGEND;</small> NACH R.M<small>EÍR IST ES REIN</small>. F<small>ERNER KANN MAN AUF EIN SOLCHES SCHEIDEBRIEFE SCHREIBEN; NACH</small> R.J<small>OSE DEM</small> G<small>ALILÄER IST ES DAZU UNBRAUCHBAR</small>."
Mishnah Eruvin 1:8,"W<small>ENN EINE</small> K<small>ARAWANE IN EINEM</small> T<small>ALE LAGERT, DAS SIE MIT DEM</small> S<small>PANNZEUG DER</small> T<small>IERE</small> U<small>MGEBEN HAT, SO DARF MAN IN DIESEM UMIIERTRAGEN, NUR MUSS DIE</small> U<small>MZÄUNUNG ZEHN</small> H<small>ANDBREITEN HOCH SEIN UND DÜRFEN DIE</small> L<small>ÜCKEN NICHT MEHR BETRAGEN ALS DAS</small> U<small>MBAUTE</small>. E<small>INE</small> L<small>ÜCKE VON UNGEFÄHR ZEHN</small> E<small>LLEN IST ZULÄSSIG, WEIL SIE ALS</small> T<small>ÜRÖFFNUNG ANZUSEHEN IST; EINE GRÖSSERE IST VERBOTEN</small>."
Mishnah Eruvin 1:9,"S<small>IE DÜRFEN ES</small><sup>252</sup><i class=""footnote"">Das Tal, von dem in der vorangehenden Mišna gesprochen wird.</i><small>AUCH MIT DREI STRICKEN ÜBEREINANDER UMSPANNEN, NUR DARF EIN</small> S<small>TRICK VOM ANDEREN KEINE DREI</small> H<small>ANDBREITEN ENTFERNT SEIN</small>. D<small>IE</small> S<small>TÄRKE DER</small> S<small>TRICKE, IHRE</small> D<small>ICKE MUSS MEHR ALS EINE</small> H<small>ANDBREITE</small> <small>HABEN, SODASS DIE GANZE</small> H<small>ÖHE</small> <small>ZEHN</small> H<small>ANDBREITEN BETRAGE</small>."
Mishnah Eruvin 1:10,"<sup>x,1</sup>S<small>IE DÜRFEN ES AUCH MIT</small> R<small>OHRSTÄBEN UMZÄUNEN, NUR DARF</small> <small>DER</small> A<small>BSTAND</small> <small>ZWISCHEN EINEM</small> R<small>OHRE UND DEM ANDEREN KEINE DREI</small> H<small>ANDBREITEN BETRAGEN</small>. S<small>IE SAGTEN ES NUR VON EINER</small> K<small>ARAWANE – SO</small> R.J<small>EHUDA; DIE</small> W<small>EISEN SAGEN, SIE SPRECHEN NUR DESHALB VON EINER</small> K<small>ARAWANE, WEIL DIES DAS</small> G<small>EWÖHNLICHE IST</small>. E<small>INE</small> W<small>AND, DIE NICHT AUS KREUZ UND QUER LAUFENDEN</small> S<small>TÄBEN BESTEHT, GILT NICHT ALS</small> W<small>AND – SO</small> R.J<small>OSE B.</small> R.J<small>EHUDA</small>; <small>DIE</small> W<small>EISEN SAGEN, EINES VON BEIDEM</small>. <sup>x,2</sup><b>V</b><small>IER</small> D<small>INGE HAT MAN IM</small> K<small>RIEGSLAGER GESTATTET: MAN DARF</small> H<small>OLZ AUS JEDEM</small> O<small>RTE HOLEN, UND MAN IST DA VOM</small> H<small>ÄNDEWASCHEN, VON</small> <small>DER</small> V<small>ERZEHNTUNG DES</small> D<small>EMAJ</small><sup>270</sup><i class=""footnote"">Cf. Ber. Fol. 40b,Anm. 131.</i><small>UND VOM</small> E͑<small>RUB BEFREIT</small>."
Mishnah Eruvin 2:1,"<b>M</b><small>AN MACHE</small> P<small>FEILER UM DIE</small> B<small>RUNNEN</small><sup>1</sup><i class=""footnote"">Der 10 Hb.n tiefe u. 4 Hb.n breite Brunnen auf öffentlichem Gebiete ist Privatgebiet; um aus diesem am Šabbath schöpfen zu dürfen, muß der Raum ringsum durch Umzäunung in Privatgebiet verwandelt werden.</i>, <small>VIER</small> D<small>OPPELPFEILER, DIE WIE ACHT</small><sup>2</sup><i class=""footnote"">In jeder Ecke einen aus 2 winkelartig zusammengesetzten Brettern.</i> <small>AUSSEHEN – SO</small> R.J<small>EHUDA</small>; R.M<small>EÍR SAGT, ACHT, DIE WIE ZWÖLF AUSSEHEN, VIER</small> D<small>OPPELPFEILER UND VIER EINFACHE</small><sup>3</sup><i class=""footnote"">In der Mitte die 4 fiktiven Wände.</i>. Z<small>EHN HANDBREITEN IHRE</small> H<small>ÖHE, SECHS IHRE</small> B<small>REITE UND IRGENDWELCHE</small> D<small>ICKE</small>, <small>UND ZWISCHEN IHNEN</small> <small>EIN FREIER</small> R<small>AUM</small> <small>WIE FÜR ZWEI</small> G<small>ESPANNE VON JE DREI</small> R<small>INDERN</small> – <small>SO</small> R.M<small>EÍR</small>; R.J<small>EHUDA SAGT, VON JE VIER</small>. A<small>NEINANDER GEBUNDEN UND NICHT LOSE</small>; <small>WÄHREND DAS EINE HINEINGEHT, MUSS DAS ANDERE HERAUSKOMMEN KÖNNEN</small>."
Mishnah Eruvin 2:2,"M<small>AN DARF SIE NAHE AM</small> B<small>RUNNEN MACHEN, NUR MUSS EINE</small> K<small>UH MIT DEM</small> K<small>OPFE UND DEM GRÖSSEREN</small> T<small>EILE DES KÖRPERS SICH INNERHALB DERSELBEN BEFINDEN UND TRINKEN KÖNNEN</small>. M<small>AN DARF</small> SIE AUCH <small>WEITER MACHEN, NUR MACHE MAN DANN MEHR</small> P<small>FEILER</small>."
Mishnah Eruvin 2:3,"R.J<small>EHUDA SAGT, NUR BIS ZWEI</small> S<small>EÁFLÄCHEN</small>. J<small>ENE SPRACHEN ZU IHM</small>: D<small>EN</small> R<small>AUM VON ZWEI</small> S<small>EÁFLÄCHEN HABEN SIE NUR BEZÜGLICH EINES</small> G<small>ARTENS ODER EINES</small> G<small>EHEGES</small><sup>4</sup><i class=""footnote"">Die keine Aufenthaltsräume sind.</i> <small>FESTGESETZT, BEI EINEM</small> P<small>FERCHE, EINER</small> H<small>ÜRDE, EINEM</small> G<small>EHÖFTE ODER EINEM</small> V<small>ORHOFE ABER IST ES AUCH BIS ZU EINEM</small> F<small>LÄCHENRAUME VON FÜNF</small> K<small>OR, SOGAR ZEHN</small> K<small>OR ERLAUBT</small>."
Mishnah Eruvin 2:4,"<sup>iv,1</sup><b>R.</b> J<small>EHUDA SAGT, WENN EIN ÖFFENTLICHER</small> W<small>EG SIE TEILT, SO VERLEGE MAN IHN SEITWÄRTS; DIE</small> W<small>EISEN SAGEN, DIES SEI NICHT NÖTIG</small>. <sup>iv,2</sup><b>S</b><small>OWOHL UM EINE ÖFFENTLICHE</small> Z<small>ISTERNE UND EINEN ÖFFENTLICHEN</small> <small>B</small>RUN<small>NEN, ALS AUCH UM EINEN</small> P<small>RIVATBRUNNEN MACHE MAN</small> P<small>FEILER</small>. <small>UM EINE PRIVATE</small> Z<small>ISTERNE ABER MUSS MAN EINE ZEHN</small> H<small>ANDBREITEN HOHE</small> W<small>AND MACHEN</small> – <small>SO</small> R.A͑<small>QIBA</small>; R. J<small>EHUDA B.</small> B<small>ABA SAGT, MAN MACHE</small> P<small>FEILER NUR UM EINEN ÖFFENTLICHEN</small> B<small>RUNNEN, UM DIE ÜBRIGEN MUSS MAN EINEN ZEHN</small> H<small>ANDBREITEN HOHEN</small> G<small>ÜRTEL</small><sup>145</sup><i class=""footnote"">Aus Stricken; cf. Fol. 16b.</i><small>MACHEN.</small>"
Mishnah Eruvin 2:5,"F<small>ERNER SAGTE</small> R.J<small>EHUDA B.</small> B<small>ABA</small>: I<small>N EINEM</small> G<small>ARTEN ODER IN EINEM</small> G<small>EHEGE</small> <small>BIS</small> <small>SIEBZIG</small> E<small>LLEN MIT EINEM</small> Ü<small>BERSCHUSSE ZU SIEBZIG</small> E<small>LLEN MIT EINEM</small> Ü<small>BERSCHUSSE, DIE MIT EINEM ZEHN</small> H<small>ANDBREITEN HOHEN</small> Z<small>AUNE UMGEBEN SIND, DARF MAN UMHERTRAGEN, NUR MUSS DA EINE WÄCHTERHÜTTE ODER EIN</small> W<small>OHNHAUS VORHANDEN SEIN, ODER SIE MÜSSEN SICH IN DER</small> N<small>ÄHE DER</small> S<small>TADT</small><sup>146</sup><i class=""footnote"">In der der Eigentümer wohnt.</i><small>BEFINDEN</small>. R.J<small>EHUDA SAGT, AUCH WENN SICH DA NUR EINE</small> G<small>RUBE, EIN</small> G<small>RABEN ODER EINE</small> H<small>ÖHLE BEFINDET, DÜRFE MAN DA UMHERTRAGEN</small>. R.A͑<small>QIBA SAGT, AUCH WENN SICH DA NICHTS VON ALLDEM BEFINDET, DÜRFE MAN DA UMHERTRAGEN, NUR DÜRFEN SIE</small> <small>NICHT MEHR ALS</small> <small>SIEBZIG ELLEN MIT EINEM</small> Ü<small>BERSCHÜSSE ZU SIEBZIG</small> E<small>LLEN MIT EINEM</small> Ü<small>BERSCHUSSE HABEN</small>. R.E<small>LIE͑ZER SAGT, WENN IHRE</small> L<small>ÄNGE GRÖSSER IST ALS IHRE</small> B<small>REITE, AUCH NUR EINE</small> E<small>LLE, DÜRFE MAN DA NICHTS UMHERTRAGEN</small>. R.J<small>OSE SAGT, AUCH WENN IHRE LÄNGE DAS</small> D<small>OPPELTE IHRER</small> B<small>REITE HAT, DÜRFE MAN DA UMHERTRAGEN</small>."
Mishnah Eruvin 2:6,"R.E<small>LEA͑J SAGTE: ICH HÖRTE VON</small> R.E<small>LIE͑ZER: SELBST WENN SIE EINEN</small> F<small>LÄCHENRAUM VON EINEM</small> K<small>OR</small> A<small>USSAAT</small> <small>HABEN</small>. F<small>ERNER HÖRTE ICH VON IHM, DASS, WENN VON DEN ANWOHNERN DES VORHOFES EINER VERGESSEN HAT, SICH AM</small> E͑<small>RUB</small><sup>147</sup><i class=""footnote"">Cf. Fol. 12, Anm. 180, mut. mut.</i><small>ZU BETEILIGEN, ES IHM VERBOTEN SEI, ETWAS IN SEIN</small> H<small>AUS</small> ODER AUS DEMSELBEN ZU TRAGEN, DEN ÜBRIGEN ABER ERLAUBT. F<small>ERNER HÖHTE ICH VON IHM, DASS MAN AM</small> P<small>ESAḤFESTE SEINER PFLICHT MIT</small> S<small>KORPIONKRAUT</small><sup>148</sup><i class=""footnote"">So nach Maimonides («bei uns bekannte skorpionartige Blätter»). Diese Blätter, von bitterem Geschmack, wurden am Pesaḥfeste als Bitterkraut (cf. Ex. 12,8) verwendet.</i>G<small>ENÜGE</small>. I<small>CH SUCHTE UNTER ALL SEINEN</small> S<small>CHÜLERN EINEN GENOSSEN</small><sup>149</sup><i class=""footnote"">Der es viell. ebenfalls von ihm gehört hätte.</i>, <small>FAND ABER KEINEN</small>."
Mishnah Eruvin 3:1,"<b>M</b><small>IT ALLEM</small><sup>1</sup><i class=""footnote"">Was als Nahrungsmittel dient.</i> KANN<small> MAN EINEN</small> E͑<small>RUB</small><sup>2</sup><i class=""footnote"">Cf. Er. Fol. 6a, Anm. 84.</i> <small>MACHEN ZUR</small> V<small>EREINIGUNG UND ZUR</small> V<small>ERBINDUNG</small><sup>3</sup><i class=""footnote"">Zur gemeinsamen Benutzung der Höfe und Durchgangsgassen durch einen E͑rub.</i>, <small>AUSSER MIT</small> W<small>ASSER ODER</small> S<small>ALZ</small>. A<small>LLES DARF MIT DEM</small> G<small>ELDE VOM</small> <small>ZWEITEN</small> Z<small>EHNTEN</small><sup>4</sup><i class=""footnote"">Cf. Dt. 122.</i> <small>GEKAUFT WERDEN, AUSSER</small> W<small>ASSER UND</small> S<small>ALZ</small>. W<small>ER SICH</small> S<small>PEISEN ABGELOBT, DEM SIND</small> W<small>ASSER UND</small> S<small>ALZ ERLAUBT</small>. M<small>AN DARF EINEN</small> E͑<small>RUB BEREITEN FÜR EINEN</small> N<small>AZIRÄER</small><sup>5</sup><i class=""footnote"">Dem der Weingenuß verboten ist; Num. 6,12.</i> <small>AUS</small> W<small>EIN UND FÜR EINEN</small> J<small>ISRAÉLITEN AUS</small> H<small>EBE</small><sup>6</sup><i class=""footnote"">Die nur einem Priester erlaubt ist.</i>; S<small>YMMACHOS SAGT, NUR AUS</small> P<small>ROFANEM</small>. M<small>AN DARF FÜR EINEN</small> P<small>RIESTER DEN</small> E͑<small>RUB AUF EINEM</small> G<small>RÄBERPFLUGE</small><sup>7</sup><i class=""footnote"">Den er nicht betreten darf; cf.Ber. 19b, Anm. 50.</i> <small>NIEDERLEGEN;</small> R.J<small>EHUDA SAGT, SOGAR ZWISCHEN</small> G<small>RÄBERN,</small> WEIL ER DA DURCH EINE S<small>CHEIDEWAND GEDECKT HINGEHEN UND ESSEN KANN</small>."
Mishnah Eruvin 3:2,"<sup>ii,1</sup><b>M</b><small>AN DARF EINEN</small> E͑<small>RUB BEREITEN AUS</small> D<small>EMAJ, AUS ERSTEM</small> Z<small>EHNTEN, VON DEM DIE</small> H<small>EBE ABGESONDERT WORDEN IST, AUS ZWEITEM</small> Z<small>EHNTEN UND</small> G<small>EHEILIGTEM, DIE AUSGELÖST WORDEN SIND,</small> NICHT ABER AUS U<small>NVERZEHNTETEM, AUS ERSTEM</small> Z<small>EHNTEN, VON DEM DIE</small> H<small>EBE NICHT ABGESONDERT WORDEN IST, UND AUS ZWEITEM</small> Z<small>EHNTEN UND GEHEILIGTEM, DIE NICHT AUSGELÖST WORDEN SIND</small>. <sup>ii,2</sup><b>W</b><small>ENN JEMAND SEINEN</small> E͑<small>RUB SCHICKT</small><sup>96</sup><i class=""footnote"">Daß er ihn für ihn niederlege.</i><small>DURCH EINEN</small> T<small>AUBEN,</small> B<small>LÖDEN</small>, M<small>INDERJÄHRIGEN ODER EINEN, DER</small> <small>DAS</small> G<small>ESETZ VOM</small> E͑<small>RUB NICHT ANERKENNT, SO IST DER</small> E͑<small>RUB UNGÜLTIG</small>; <small>WENN ER ABER JEMAND IHN IN</small> E<small>MPFANG ZU NEHMEN</small><sup>96</sup><i class=""footnote"">Daß er ihn für ihn niederlege.</i><small>BEAUFTRAGT HAT, SO IST ER GÜLTIG</small>."
Mishnah Eruvin 3:3,"<sup>iii,1</sup><b>H</b><small>AT JEMAND DEN</small> E͑<small>RUB AUF EINEN</small> B<small>AUM OBERHALB ZEHN</small> H<small>ANDBREITEN NIEDERGELEGT, SO IST ER KEIN</small> E͑<small>RUB, WENN UNTERHALB ZEHN</small> H<small>ANDBREITEN, SO IST DER</small> E͑<small>RUB GÜLTIG</small>. H<small>AT ER IHN IN EINE</small> G<small>RUBE GELEGT, SELBST HUNDERT</small> E<small>LLEN TIEF, SO IST DER</small> E͑<small>RUB GÜLTIG.</small><sup>iii,2</sup> <b>H</b><small>AT ER DEN E͑RUB AUF DIE</small> S<small>PITZE EINER</small> S<small>TANGE ODER EINES</small> S<small>TUMPENS GELEGT, DIE</small> <small>VOM</small> S<small>TAMME</small> <small>GETRENNT SIND UND IN DER</small> E<small>RDE STECKEN, SO IST ER GÜLTIG, AUCH WENN SIE HUNDERT</small> E<small>LLEN HOCH SIND</small>. <sup>iii,3</sup> <b>W</b><small>ENN JEMAND</small> <small>DEN</small> E͑<small>RUB</small> <small>IN EINEN</small> S<small>CHRANK GELEGT UND DEN</small> S<small>CHLÜSSEL VERLOREN HAT, SO IST ER GÜLTIG</small>; R.E<small>LIE͑ZER SAGT, WENN ER NICHT WEISS, DASS DER</small> S<small>CHLÜSSEL AUF SEINEM</small> P<small>LATZE LIEGT, SEI DER</small> E͑<small>RUB UNGÜLTIG</small>."
Mishnah Eruvin 3:4," <b>W</b><small>ENN</small> <small>DER E͑RUB</small> <small>AUS DEM</small> Šabbath<small>GEBIETE HINAUSGEROLLT IST, EIN</small> S<small>TEINHAUFEN AUF IHN GEFALLEN IST, VERBRANNT WORDEN IST ODER ALS</small> H<small>EBE UNREIN GEWORDEN IST, SO IST ER, WENN NOCH AM</small> T<small>AGE, KEIN</small> E͑<small>RUB, UND WENN ES SCHON DUNKEL WAR, GÜLTIG</small>. I<small>ST ES ZWEIFELHAFT, SO IST ES, WIE</small> R.M<small>EÍR UND</small> R.J<small>EHUDA SAGEN, WIE BEI EINEM</small> E<small>SEL- UND</small> K<small>AMELTREIBER</small><sup>136</sup><i class=""footnote"">Sprichwörtl. Bezeichnung für einen, der nicht weiß, wohin er sich wenden soll; (ähnl. arare bove et asino;) der Eseltreiber muß hinterher gehen, der Führer des Kamels muß voran gehen, wer beide zusammen antreiben will, weiß nicht, wie er dies machen soll. Ist der E͑. gültig, so verliert er die 2000 E.n jenseits seiner Wohnung, ist er ungültig, so verliert er sie jenseits des E͑., mithin darf er nur die 2000 E.n zwischen seiner Wohnung u. dem E͑. gehen.</i>; R.J<small>OSE UND</small> R.Šimo͑n<small> SAGEN, DER ZWEIFELHAFTE</small> E͑<small>RUB SEI GÜLTIG</small>. R.J<small>OSE SAGTE</small>: E<small>UTOLMIOS</small><sup>137</sup><i class=""footnote"">Im Texte <span dir=""rtl"">אבטולמום</span>, wohl nicht Ptolemäus, der im T. <span dir=""rtl"">תלמי</span> heißt.</i><small>BEKUNDETE IM</small> N<small>AMEN VON FÜNF</small> Ä<small>LTESTEN, DASS DER ZWEIFELHAFTE</small> E͑<small>RUB GÜLTIG SEI</small>."
