tikkun,daf,paragraph,line,phrase,formatting,footnotes
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],3,1,"and it is Father of all,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],3,2,Hei◘‹◘ה›,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],3,2,"is ELQYM, and is Mother of all:",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],3,3,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],3,3,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],3,3,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],3,3,the mother of all life.,Formatting.ITALICS,FootnoteType.CITATION/None[the mother of all life.]:Gen. 3:20
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],3,4,And,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],3,4,"Ḥokhmah, which is Father,",Formatting.FADED,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],3,5,is not known except through,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],3,5,"Binah,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],3,6,which is ELQYM.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],4,0,"And there, Y-H – Father and Mother as one:",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],4,1,two hidden worlds.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],4,2,"V-H are two children,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],4,3,and they are:,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],4,3,"this world,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],4,3,and the world to come.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],4,4,Vav◘‹◘ו›,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],4,4,is the world that is,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],4,4,"coming,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],4,5,"which is ‘the long world’,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],4,6,Hei◘‹◘ה›,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],4,6,"is this world,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],4,7,which is not long.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],5,0,Beiyt◘‹◘ב›‹2›,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],5,0,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],5,0,represents,Formatting.FADED,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],5,0,"two chambers,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],5,1,"for two letters,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],5,1,which are Y-H.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],5,2,And of it is stated:,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],5,3,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],5,3,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],5,3,"ELQYM has understood her way,",Formatting.ITALICS,"FootnoteType.CITATION/None[ELQYM has understood her way,]:Job 28:23"
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],5,4,and He has known her place.,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],5,5,And what are these two chambers?,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],5,6,But one is,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],5,6,"EHYeH,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],5,7,"and the second is ADNY,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],5,8,"and both-of-them are appellations‹kinuiy›,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],5,9,"for the two letters Y-H,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],5,10,Father and Mother.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],6,0,And thus does the numerical value of,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],6,0,EHYeH,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],6,0,"ADNY‹86›,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],6,1,add up to the numerical value of,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],6,1,the word,Formatting.FADED,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],6,1,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],6,1,"kinuiy‹appellation›‹86›,",Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],6,2,and the two hidden ones,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],6,2,are,Formatting.FADED,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],6,2,Father and Mother.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],6,3,And this is:,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],6,4,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],6,4,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],6,4,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],6,4,The hidden things are for Y”Y,Formatting.ITALICS,FootnoteType.CITATION/None[The hidden things are for Y”Y]:Deut. 29:28
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],6,4,,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],6,4,ELoHeYNU,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],6,5,–,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],6,5,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],6,5,which are,Formatting.FADED,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],6,5,"Y-H,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],6,6,"and they are hidden and concealed,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],6,7,and they are the actual secrets of the Torah,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],6,7,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],6,7,.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],7,0,"And because they are hidden,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],7,1,"it is necessary to not reveal them,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],7,2,and this is the mystery of the sexual prohibitions,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],7,2,"of the Torah,",Formatting.FADED,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],7,3,of which it is stated:,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],7,4,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],7,4,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],7,4,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],7,4,The nakedness‹’ervah›,Formatting.ITALICS,FootnoteType.CITATION/None[The nakedness‹’ervah›]:Lev. 18:7
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],7,4,"of your father,",Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],7,5,"and the nakedness of your mother,",Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],7,6,do not reveal,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],7,7,"– do not expose, specifically, from within their coverings.",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,0,Arose,Formatting.BOLD,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,0,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,0,an Elder. He,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,0,opened,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,0,and said:,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,1,‘Rabbi! Rabbi! Descend here,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,2,–,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,2,You,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,2,that,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,2,are the holy lamp!,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,3,for,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,3,the,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,3,holy Shekhinah,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,3,waits,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,3,for you and your companions.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,4,"I adjure you, do",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,4,"not delay there,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,5,but,Formatting.FADED,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,5,you,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,5,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,5,should,Formatting.FADED,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,5,"descend here,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,6,"and thus,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,6,I adjure all those Masters,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,6,of the,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,6,Academy –,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,7,of,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,7,higher and lower,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,7,–,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,8,"that they should descend with you,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,9,"and so,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,9,"I adjure those angels and holy hosts,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,10,that are appointed to protect you.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,11,"And not for my honour do I act,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,12,and not for the honour of,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,12,my,Formatting.FADED,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,12,"Father and Mother,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,13,but for the honour of,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,13,the,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],8,13,Shekhinah.’,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],9,0,"Immediately,",Formatting.BOLD,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],9,1,"a voice was aroused in the branches of the trees,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],9,2,of the Garden of Eden:,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],9,3,‘Higher Ones! Descend! [ V a r,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],9,4,. Angels!],,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],9,4,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],9,4,[Var. lower ones],,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],9,4,Gather,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],9,4,in preparation,Formatting.FADED,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],9,4,"for descent, w",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],9,5,ith,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],9,5,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],9,5,in company of,Formatting.FADED,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],9,5,"these Masters of the Academy,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],9,5,high and low!,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],9,6,For permission is given to you from above.’,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],10,0,"Immediately,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],10,1,"they all became divested of their images,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],10,2,and they donned the,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],10,2,‘airs’,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],10,2,"of this world,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],10,3,which is an appellation and a concealment of the holy letters.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],11,0,"Meanwhile,",Formatting.BOLD,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],11,1,Elijah preceded to prepare,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],11,1,their seats for them.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],11,2,Opened,Formatting.BOLD,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],11,2,he and said:,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],11,3,"‘Rabbi! Rabbi! Holy lamp,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],11,4,whose mouth of yours utters great things,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],11,4,in Torah.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],11,5,The,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],11,5,higher and lower,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],11,5,ones,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],11,5,"quake from it,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],11,6,and of your mouth it is stated:,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],11,7,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],11,7,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],11,7,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],11,7,"…and the mountain of Sinai,",Formatting.ITALICS,"FootnoteType.CITATION/None[…and the mountain of Sinai,]:Ex. 19:18"
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],11,8,in,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],11,8,"smoke‹’ashan›,",Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],11,8,"all of it,",Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[63b],11,8,etc.,Formatting.ITALICS,
