tractate,chapter,content,page,
,,מזכירין יציאת מצרים בלילות. אמ' ר' לעזר בן עזריה הרי אני כבן שבעים שנה ולא זכיתי שאשמע שתאמר יציאת מצרים בלילות עד שדרשה בן זומא שנ' למען תזכור את יום צאתך מארץ מצרים כל ימי חייך. ימי חייך הימים כל ימי חייך הלילות. וחכמים או' ימי חייך העולם הזה כל ימי חייך להביא לימות המשיח. אמ' להם בן זומא וכי מזכירין יציאת מצרים לימות המשיח והלא כבר נאמ' לכן הנה ימים [באים] נאם ה' ולא יאמר עוד חי ה' אשר העלה את בני ישראל מארץ מצרים כי אם חי ה' אשר העלה ואשר הביא את זרע בית ישראל מארץ צפון. אמרו לו לא שתעקר יציאת מצרים ממקומה אלא שתהא יציאת מצרים מוסף על מלכיות מלכיות עיקר ויציאת מצרים טפילה. כיוצא בו לא יקרא עוד שמך יעקב כי אם ישראל וגו' לא שיעקר שם יעקב ממנו אלא שיהא יעקב מוסף על ישראל ישראל עיקר ויעקב טפילה.L,,
,,כיוצא בו אל תזכרו ראשונות וקדמוניות אל תתבוננו. אל תזכרו ראשונות אילו של מלכיות וקדמוניות אל תתבוננו אלו של מצרים הנני עשה חדשה עתה תצמח זו מלחמת גוג ומגוג (של גוג). משלו משל למה הדבר דומה לאחד שהיה מהלך בדרך ופגע בו זאב וניצל ממנו והיה מספר והולך מעשה הזאב. פגע בו ארי וניצל מידו שכח מעשה הזאב והיה מספר במעשה הארי. אחר כך פגע בו נחש וניצל מידו שכח מעשה שניהם והיה מספר והולך מעשה הנחש. אף כך ישראל צרות האחרונות משכחות את הראשונות.L,,
,,כיוצא בהן לא יקרא עוד את שמך אברם והיה שמך אברהם. כתחלה הרי את אב לארם עכשיו הרי את אב לכל העולם כולו שנ' כי אב המון גוים נתתיך.L,,
,,כיוצא בו שרי אשתך לא תקרא את שמה שרי כי שרה שמה. כתחלה הרי היא שרי על עמה עכשיו הרי היא שרה על כל באי עולם שנ' כי שרה שמה.L,,
,,"אע""פ שחזר וקרא את אברהם אברם אינו לגנאי אלא לשבח. ליהושע הושע אינו לגנאי אלא לשבח. הוא אברם עד שלא נדבר עמו והוא אברהם משנדבר עמו. הוא הושע עד שלא נכנס לגדולה והוא יהושע משנכנס לגדולה. משה משה אברהם אברהם יעקב יעקב שמואל שמואל כולן לשון חיבה לשון זירוז. הן הן עד שלא נדבר עמהן והן הן משנדבר עמהן הן הן עד שלא נכנסו לגדולה והן הן משנכנסו לגדולה.L",,
,,"כיוצא בו ויהי בשלם סוכו ומעונתו בציון. וכי מה ראה הכת' להחזיר לה שם הראשון לפי שנ' כי על אפי ועל חמתי היתה לי העיר יכול אף עכשיו הרי היא באף ובחמה ת""ל ההר חמד אלהים לשבתו הרי היא בחמדה ובתאוה מלמד שכיפר לה חורבנה. ומניין שאין השכינה חוזרת לתוכה עד שתעשה הר שנ' ויהי בשלם סוכו מצינו כשהוא שלם קרויה הר הא אין השכינה חוזרת לתוכה עד שתיעשה הר. ואו' ויקרא אברהם את שם המקום ההוא ה' יראה אשר יאמר היום בהר ה' יראה ואו' זכור ה' לבני אדום את יום ירושלם אימתי כשיעקרו יסודותיה",@,
,,ממנה האמרים ערו ערו עד היסוד בה.L,,
,פרק 2,הקורא את שמע צריך להזכיר יציאת מצרים באמת ויציב. ר' או' צריך להזכיר בה מלכות אחרים או' צריך להזכיר בה מכת בכורים וקריעת ים סוף.L,,
,,"הקורא את שמע צריך שיכוין את לבו. ר' אחאי אומ' משם ר' יהודה אם כיון את לבו בפרק הראשון אע""פ שלא כיון לבו בפרק האחרון יצא.L",,
,,הקורא את שמע למפרע לא יצא. וכן בהלל וכן בתפלה וכן במגלה.L,,
,,הקורא את שמע וטעה והשמיט בה פסוק אחד לא יחזור ויקרא אותו פסוק בפני עצמו אלא מתחיל באותו פסוק וגומר. וכן בהלל וכן במגלה וכן בתפלה. נכנס לבית הכנסת ומצאן שקראו חציה וגמר עמהן לא יחזור ויקרא מראשה ועד אותו מקום אלא מתחיל מראשה ועד סוף. וכן בהלל וכן בתפלה וכן במגלה.L,,
,,הקורא את שמע וטעה ואינו יודע היכן טעה יחזור לראשה. טעה באמצע הפרק יחזור לראש הפרק. טעה בין כתיבה ראשונה לכתיבה אחרונה יחזור לכתיבה ראשונה.L,,
,,כותבי ספרים תפלין ומזוזות מפסיקי' לקרית שמע ואין מפסיקין לתפלה. ר' או' כשם שאין מפסיקין לתפילה כך אין מפסיקין לקרית שמע. ר' חנניה בן עקביא או' כשם שמפסיקין לקרית שמע כך מפסיקין לתפלה. אמ' ר' אלעזר בר' צדוק כשהיה רבן גמליאל ובית דינו ביבנה והיו עסוקין בצרכי צבור לא היו מפסיקין שלא להסיע מלבו.L,,
,,"הכתף אע""פ שמשאו על כתיפו הרי זה קורא אבל בשעה שפורק וטוען לא יקרא לפי שאין לבו מכוין. ובין כך ובין כך לא יתפלל עד שיפרוק.L",,
,,פועלים קורין בראש האילן ומתפללין בראש הזית או בראש התאנה. ושאר כל האילן יורדין למטה ומתפללין. בעל הבית בין כך ובין כך יורד למטה ומתפלל.L,,
,,פועלין קורין את שמע ומברכין לפניה ולאחריה ואוכלין פיתן ומברכין לפניה ולאחרי' ומתפללין שלשה פעמים של שמנה עשרה אבל אין מורידין לפני התיבה.L,,
,,השושבינין וכל בני חופה פטורין מן התפילה ומן התפלין כל שבעת הימים חייבי' בקרית שמע. ר' שילא או' חתן פטור וכל בני חופה חייבין.L,,
,,קברו את המת ועמדו בשורה שורה הפנימית פטורה החיצונה חיבת. ר' יהודה או' אם אין שם אלא שורה אחת העומדים לשם כבוד חיבין [ל]שם אבל פטורין. ירדו להספד הרואין את הפנים פטורין שאין רואין את הפנים חיבין. הסופד וכל העסוקין בהספד מפסיקין לקרית שמע ואין מפסיקין לתפלה. מעשה שהפסיקו רבותינו לקרית שמע ולתפלה.L,,
,,בעל קרי חולה שנתן עליו תשעת קבין מים הרי זה קורא אבל אין מוציא את הרבים ידי חובתן עד שיבא בארבעים סאה. ר' יהודה או' ארבעים סאה מכל מקום. הזבין והזבות והנדות והיולדות מותרין לקרות בתורה בנביאים ובכתובים ולשנות במשנה,@,
,,במדרש בהלכות ובאגדות ובעלי קריין אסורין בכולן. ר' יוסה או' אבל שונה הוא בהלכות הרגילות ובלבד שלא יציע את המשנה.L,,
,,בעל קרי שאין לו מים לטבול הרי זה קורא את שמע ואינו משמיע לאזניו דברי ר' מאיר. וחכמים או' קורא את שמע ומשמיע לאזניו ומברך לפניה ולאחריה. אמ' ר' מאיר פעם אחת היינו יושבין בבית המדרש לפני ר' עקיבא והיינו קורין את שמע ולא היינו משמיעין לאזנינו מפני קסדור אחד שהיה עומד על הפתח. אמרו לו אין שעת סכנה ראיה.L,,
,,"הרי שהיה עומד בשדה ערום או שהיה עושה מלאכתו הרי זה מכסה את עצמו בתבן ובקש ובכל דבר וקורא אע""פ שאמרו אין שבחו של אדם להיות עומד ערום שכשברא הקב""ה אדם לא בראו ערום שנ' בשומי ענן לבושו וערפל חתלתו. בשומי ענן לבושו זה השפיר וערפל חתלתו זה שליא. הרי שהיתה מטפחת של בגד ושל עור חגורה על מתניו הרי זה קורא. בין כך ובין כך לא יתפלל עד שיכסה את לבו.L",,
,,לא יכניס אדם את ראשו לתוך אובו ויקרא את שמע. אם היתה אפרקסית חגורה עליו מבפנים הרי זה מותר. שנים שהיו ישנים בטלית אחת אינן רשאין לקרות את שמע אלא זה מתכסה בלבושו וקורא וזה מתכסה בלבושו וקורא. ואם (היה) היו בנו ובתו הקטנים הרי זה מותר.L,,
,,קטן שיכול לוכל כזית דגן פורשין מצואתו וממימי רגליו ארבע אמות. אין פורשין אלא משל אדם ומשל כלבים בזמן שנתן לתוכן עורות. גרף של רעי ושל מימי רגלים עמו בבית הרי זה מרחיק ארבע אמות וקורא. שלפני המטה אם נתן לתוכן מים כל שהן יקרא ואם לאו לא יקרא. ר' או' אם נתן לתוכן רביעית מים יקרא ואם לא לא יקרא. רבן שמעון בן גמליאל או' שלפני המטה לא יקרא שלאחר המטה יקרא. ר' שמעון בן אלעזר או' אפלו כל הבית כולו כעשר אמות ומונח בתוכו לא יקרא עד שיכסנו או עד שיניחנו תחת המטה.L,,
,,לא יכנס אדם במבואות המטונפות ויקרא את שמע ולא עוד אלא אפילו נכנס כשהוא קורא הרי זה מפסיק עד שיצא מרשות כל אותו מקום ויקרא.L,,
,,לא יעמוד אדם ויתפלל והוא צריך לנקביו שנ' הכון לקראת אליך ישראל.L,,
,,לא יטיל אדם את המים במקום שמתפלל אלא אם כן ירחיק ארבע אמות. המטיל את המים לא יתפלל באותו מקום אלא אם כן הרחיק ארבע אמות. יבשו או נבלעו הרי זה מותר.L,,
,,הנכנס לבית המרחץ מקום שבני אדם עומדין לבושין יש שם מקרא ותפלה ואין צריך לומר שאילת שלום. נותן את תפיליו ואין צריך לומר שאינו חולץ. מקום שבני אדם (ערומים) עומדין ערומין אין שם שאילת שלום ואין צריך לומר מקרא ותפלה וחולץ תפליו ואין צריך לומר שאינו נותן. מקום שבני אדם עומדים ערומים ולבושין יש שם שאילת שלום ואין שם מקרא ותפלה ואין חולץ תפליו ואינו נותן לכתחלה.L,,
,,הלל הזקן או' אל תראה ערום אל תראה לבוש אל תראה עומד ואל תראה יושב אל תראה צוחק ואל תראה בוכה משם שנ' עת לשחוק ועת לבכות עת לחבוק ועת לרחוק מחבק.L,@,
,פרק 3,כשם שנתנה תורה קבע לקרית שמע כך נתנו חכמים לתפילה. מפני מה אמרו תפלת השחר עד חצות שכן תמיד של שחר קרב עד חצות. ר' יודה או' עד ארבע שעות. מפני מה אמרו תפלת המנחה עד הערב שכן תמיד של בין הערבים קרב עד הערב. ר' יודה או' עד פלג המנחה. כמה הוא פלג המנחה אחת עשרה שעה חסר רביע.L,,
,,תפלת הערב אין לה קבע ר' לעזר בר' יוסי או' עם נעילת שערים. אמ' ר' לעזר בר' יוסי אבה היה מתפלל אותה עם נעילת שערים.L,,
,,המתפלל תפלת המוספין בין משקרב תמיד של שחר בין עד שלא קרב תמיד של שחר יצא. ר' עקיבא או' אם שגורה תפלתו בפיו סימן יפה לו ואם לאו סימן רע לו. הוא היה או' כל שרוח הבריות נוחה ממנו רוח המקום נוחה ממנו. כל שאין רוח הבריות נוחה ממנו אין רוח המקום נוחה ממנו. כל שרוח עצמו נוחה בשלו סימן יפה לו אין רוח עצמו נוחה בשלו סימן רע לו.L,,
,,בן עזיי או' כל שנטרפה דעתו מפני חכמתו סימן יפה לו נטרפה חכמתו מפני דעתו סימן רע לו. הוא היה או' כל שלקה בגופו מפני חכמתו סימן יפה לו חכמתו מפני גופו סימן רע לו. המתפלל צריך שיכוין את לבו. אבא שאול או' סימן לתפלה תכין לבם תקשיב אזניך.L,,
,,אמ' ר' יהודה כשהיה ר' עקיבא מתפלל עם הצבור היה מקצר בפני כולם וכשהוא מתפלל בינו לבין עצמו אדם מניחו בזוית זו ומוצאו בזוית אחרת מפני הכרעות והשתחואות.L,,
,,"יכול יהא מתפלל והולך כל היום כולו פרש בדניאל וזימנין תלתא ביומא וגו'. יכול כשבא לגולה ת""ל כל קבל די הוה עבד מן קדמת דנא. יכול יהא משמיע קולו פרש בחנה שנ' וחנה היא מדברת על לבה. יכול יהא כוללן כולן בבת אחת פרש בדוד שנ' ערב ובקר וצהרים אשיחה ואהמה. ערב זו תפלת ערבית. בקר זו תפלת שחרית. וצהרים זו תפלת מנחה. יכול יהא שואל צרכיו ומסתלק פרש בשלמה שנ' לשמע אל הרנה ואל התפלה וגו'. הרנה זו רנה שנ' רננו צדיקים בה' לישרים נאוה תהלה. תפלה זו בקשה. אין אומ' דברים אחר אמת ויציב אבל או' דברים אחר תפלה אפילו כסדר וידוי של יום הכפורים.L",,
,,היה מהלך במקום סכנה ולסטין מתפלל תפלה קצרה. אי זה הוא תפלה קצרה. ר' ליעזר או' יעשה רצונך בשמים ממעל ותן נחת רוח ליריאיך והטוב בעיניך עשה. ברוך שומע תפלה. ר' יוסה או' שמע לתפלת עמך ישראל ועשה מהרה בקשתן. ברוך שומע תפלה. [ר' אלעזר בר' צדוק אומ' שמע קול צעקת עמך ישר' ועשה מהרה בקשתם. ב' שומע תפילה]. אחרים או' צרכי עמך מרובים ודעתן קצרה. יהי רצון מלפניך ה' אלהינו שתתן לכל אחד ואחד צרכיו ולכל גויה וגויה די מחסורה. ברוך שומע תפלה. אמ' ר' לעזר בר' צדוק אבא היה מתפלל תפלה קצרה בלילי שבתות. ומאהבתך ה' אליהנו שאהבת את ישראל עמך. ומחמלתך מלכנו שחמלת על בני בריתך נתת לנו ה' אלינו את יום השביעי הגדול והקדוש הזה באהבה. על הכוס הוא או' אשר קדש את יום השבת,@,
,,ואינו חותם.L,,
,,כבוד יום וכבוד לילה כבוד יום קודם לכבוד לילה. אם אין לו אלא כוס אחד קדושת היום קודמת לכבוד היום ולכבוד הלילה. לילי שבתו' ולילי ימים טובים יש בהן קדושת היום על הכוס ויש בהן קדושת היום בברכת המזון. שבת ויום טוב ראש חודש וחולו של מועד יש בהן קדושת היום בברכת המזון ואין בהן קדושת היום על הכוס.L,,
,,לא הזכיר גבורות גשמים בתחיית המתים ולא שאל את הגשמים בברכת השנים מחזירין אותו. לא אמר הבדלה בחונן הדעת אומרה על הכוס. אם לא אמר מחזירין אותו [ר' יוסי אומר אף מי שלא הזכיר ברית בברכת הארץ מחזירין אותו].L,,
,,כל שאין בו מוסף כגון חנוכה ופורים בשחרית ובמנחה מתפלל (תפלה קצרה) שמנה עשרה ואו' מעין המורע. אם לא אמ' אין מחזירין אותו. וכל שיש בו מוסף כגון ראש חדש וחולו של מועד בשחרית ובמנחה מתפלל שמנה עשרה וא' קדושת היום בעבודה. ר' ליעזר או' בהודייה. אם לא אמ' מחזירין אותו. ובמוספין מתפלל שבע ואו' קדושת היום באמצע.L,,
,,שבת שחלה להיות בראש חודש ובחולו של מועד בשחרית ובמנחה מתפלל שבע ואו' קדושת היום בעבודה. ר' ליעזר או' בהודייה אם לא אמ' מחזירין אותו. ובמוספין מתפלל שבע ואו' קדושת היום באמצע.L,,
,,בשבת וביום טוב וביום הכפורים מתפלל שבע ואו' קדושת היום באמצע. רבן שמעון בן גמליאל ור' ישמעאל בר' יוחנן בן ברוקה או' כל זמן שזקוק לשבע או' קדושת היום באמצע.L,,
,,יום טוב של ראש השנה שחל להיות בשבת בית שמיי או' מתפלל (שמנה) עשר(ה). ובית הלל או' מתפלל תשע. יום טוב שחל להיות בשבת בית שמיי אומרי' מתפלל שמנה ואו' של שבת בפני עצמה ושל יום טוב בפני עצמו ומתחיל בשל שבת. ובית הלל או' מתפלל שבע ומתחיל בשל שבת ומסיים בשל שבת ואו' קדושת היום באמצע. ר' או' אף חותם בה ברוך מקדש השבת וישראל והזמנים.L,,
,,סומה ומי שאינו יכול לכוין את הרוחות מכוונין את לבם כנגד אביהם שבשמים ומתפללין שנ' ויתפללו אל ה' אליכם וגו'.L,,
,,העומדים בחוצה לארץ מכוונין את לבם כנגד ארץ ישראל שנ' ויתפללו דרך ארצם. העומדים בארץ ישראל מכוונין את לבם כנגד ירושלם ומתפללין שנ' ויתפללו אל העיר הזאת.L,,
,,העומדים בירושלם מכוונין את לבם כנגד בית המקדש שנ' והתפללו אל הבית הזה. העומדים במקדש מכוונין את לבם כנגד בית קדשי הקדשים ומתפללין שנ' ויתפללו אל המקום הזה. נמצאו עומדין בצפון פניהם לדרום בדרום פניהם לצפון במזרח פניהם למערב במערב פניהם למזרח. נמצאו כל ישראל מתפללין למקום אחד.L,,
,,לא יעמד אדם לא על גבי מטה ולא על גבי ספסל וכסא ולא על גבי מקום גבוה ויתפלל שאין גבהות לפני המקום שנ' ממעמקים קראתיך ה'. ואם היה זקן או חולה מותר.L,,
,,היה רוכב על החמור אם יש לו מי שיאחז החמור ירד למטה ויתפלל ואם לאו מתפלל במקומו. ר' או' בין כך ובין כך מתפלל במקומו ובלבד שיהא לבו מכוין.L,,
,,היה משכים לצאת לדרך הרי זה נוטל שופר ותוקע לולב ומנענע מגלה וקורא בה וכשיגיע זמן קרית שמע קורא. היה משכים לישב בקרון או,@,
,,בספינה הרי זה מתפלל. לכשיגיע זמן קרית שמע קורא.L,,
,,היה עומד ומתפלל בסרטיה ובפלטיה הרי זה עובר פני חמור פני חמר פני קדר (עולה) ואין מפסיק. אמרו עליו על ר' חנינא בן דוסא שהיה מתפלל ונשכו ערוד ולא הפסיק. הלכו תלמידיו ומצאוהו מת על פי חורו. אמרו אילו לאדם שנשכו ערוד אילו לערוד שנשכו לבן דוסא.L,,
,,אין עומדין להתפלל לא מתוך סיחה ולא מתוך השחוק ולא מתוך קלות ראש אלא מתוך דברים של חכמה. וכן לא יפטר אדם מחבירו לא מתוך שיחה ולא מתוך שחוק ולא מתוך קלות ראש אלא מתוך דברים של חכמה שכן מצינו בנביאים הראשונים שסיימו דבריהם בדברי שבח ותנחומין.L,,
,,הכותב את השם אפי' המלך שואל בשלומו לא ישיבנו. היה כותב חמשה ששה שמות כיון שגמר אחד מהן משיב שאילת שלום.L,,
,,מקום שנהגו לומר ברכת אבלים שלש או' שלש. שתים אומ' שתים. אחת אומ' אחת.L,,
,,מקום שנהגו לומר ברכת אבלים שלש כולל את הראשונה בתחיית המתים וחותם בה מחיה המתים. שניה בתנחומי אבלים וחותם בה מנחם עמו בעירו. שלישית בגמילות חסדים ואינו חותם. המפטיר בבית העולמים אינו חותם.L,,
,,שמונה עשרה ברכות שאמרו חכמים כנגד שמנה עשרה אזכרות שבהבו לה' בני אלים. כולל של מינים בשל פרושין ושל גרים בשל זקנים ושל דוד בבונה ירושלם. אם אמר אלו לעצמן ואילו לעצמן יצא.L,,
,,עונין אמן אחר ישראל המברך ואין עונין אמן אחר כותי המברך עד שישמע את כל הברכה.L,,
,פרק 4,לא יטעום אדם כלום עד שיברך שנ' לה' הארץ ומלואה. הנהנה מן העולם הזה בלא ברכה מעל עד שיתירו לו כל המצות. לא ישתמש אדם בפניו בידיו וברגליו אלא לכבוד קונהו שנ' כל פעל ה' למענהו.L,,
,,דבש תמרים ויין תפוחין וחומץ ספווניות מברך עליהן כדרך שמברכין על המוריס.L,,
,,יין חי מברכין עליו בורא פרי העץ ונוטלין הימנו לידים. ואם נתן לתוכו מים מברכין עליו בורא פרי הגפן ואין נוטלין ממנו לידים דברי ר' ליעזר. וחכמים או' בין כך ובין כך מברכין עליו בורא פרי הגפן ואין נוטלין ממנו לידים.L,,
,,הביאו לפניו מיני תרגומה מברך עליהן בורא מיני כסנין. על הזרעים או' בורא מיני זרעים. ועל הדשאים או' בורא מיני דשאים. ועל ירקות או' בורא פרי האדמה. ר' יהודה או' ברוך מצמיח אדמה בדברו. ר' מאיר או' אפלו ראה את הפת ואמ' ברוך אשר ברא את הפת זו כמה היא נאה זו ברכתה.L,,
,,ראה את התאנים (ואמ' ברוך שברא את התאנים) ואמ' ברוך שברא את התאנים הללו כמה נאין הן זו ברכתן. ר' יוסי או' כל המשנה ממטבע (ר') שטבעו חכמים בברכה לא יצא. ר' יהודה אומר כל שנשתנה מברייתו ושינה ברכתו יצא.L,,
,,הכוסס את החטין מברך עליהן בורא מיני זרעים. אפאן בשלן אם היו פרוסות קיימות מברך עליהן המוציא,@,
,,לחם מן הארץ ומברך אחריהן שלש ברכות. אין הפרוסות קיימות מברך עליהן בורא מיני מזונות ומברך אחריהן ברכה אחת.L,,
,,"הכוסס את האורז מברך עליו בורא פרי האדמה. אפאן בשלן אע""פ שהפרוסות קיימות מברך עליהן בורא מיני מזונות ואין מברך אחריהן כלום. זה הכלל כל שתחלתו המוציא לחם מן הארץ מברך אחריו שלש ברכות.L",,
,,"כיצד סדר סעודה אורחין נכנסין ויושבין על ספסלים ועל גבי קתדראות עד שיתכנסו נתכנסו כולן נתנו להם לידים כל אחד ואחד נוטל ידו אחת. מזגו להם את הכוס כל אחד ואחד מברך לעצמו. הביאו לפניהם פרפראות כל אחד ואחד מברך לעצמו. עלו והסבו ונתנו להם לידים אע""פ שנטל ידו אחת נוטל שתי ידיו. מזגו להם את הכוס אע""פ שברך על הראשון מברך על השיני. הביאו לפניהם פרפראות אע""פ שברך על הראשונה מברך על השניה. ואחד מברך לכולן. הבא אחר שלש פרפראות אין לו רשות ליכנס.L",,
,,אמ' רבן שמעון בן גמליאל זה מנהג גדול היה בירושלם פורסין מטפחת על גבי הפתח. כל זמן שהמטפחת פרוסה אורחין נכנסין נסתלקה מטפחת אין רשות לאורחין ליכנס.L,,
,,ועוד מנהג אחר היה בירושלם מוסרין סעודה לטבח. אם נתקלקל דבר בסעודה עונשין את הטבח. הכל לפי כבוד האורחין והכל לפי כבוד בעל הבית.L,,
,,הלכה בסעודה היוצא לסוך את רגליו נוטל ידו אחת. לדבר עם חבירו והפליג נוטל שתי ידיו. היכן הוא נוטל בא ויושב במקומו ונוטל. והטפיח מחזר על כל האורחין.L,,
,,שאלו את בן זומא מפני מה אמרו בא להן יין בתוך המזון כל אחד ואחד מברך לעצמו. אמ' להם לפי שאין בית הבליעה פנוי.L,,
,,הביאו לפניו אורז ויין מברך על האורז ופוטר את היין. צנון ונובלות מברך על הצנון ופוטר את הנובלות.L,,
,,מליח ופרוסה מברך על המליח ופוטר את הפרוסה. ר' חנינה בן גמליאל או' מליח הבא בתחילה לפני המזון ופת הבאה עם המליח לאחר המזון טעונה ברכה לפניה ולאחריה. רבן שמעון בן גמליאל או' פרוסות סימן גדול לאורחין. כל זמן שאורחין רואין את הפרוסות יודעין שדבר אחר בא אחריהן ככר שלם דגה וקטנית יודעין שאין דבר אחר בא אחריהן.L,,
,,"מברכין על הדגן שהוא מן המובחר. כיצד שלימה של גלוסקין ושלימה של בעל הבית מברך על שלימה של (בעל הבית) גלוסקין. פרוסה של גלוסקין ושלימה של בעל הבית מברך על שלימה של בעל הבית. פת חטין ופת שעורין מברך על של חטין. פרוסה של חטין ושלימה של שעורין מברך על פרוסה של חטין. פת שעורין ופת כוסמין מברך על של שעורין. והלא כוסמין יפין מן השעורין אלא שהשעורין ממין שבעה וכוסמין אינן ממין שבעה. זה הכלל כל שהוא ממין שבעה וממין דגן רבן גמליאל או' מברך אחריו שלש ברכות. וחכמים או' ברכה אחת. מעשה ברבן גמליאל וזקנים שהיו מסובין ביריחו הביאו לפניהם כותבות ואכלו. קפץ ר' עקיבא ברך אחריהן אחת אמ' לו רבן גמליאל עקיבא למה אתה מכניס ראשך לבין המחלקות. אמ' לו למדתנו אחרי רבים להטות. אע""פ שאתה או' כך וחביריך",@,
,,או' כך הלכה כדברי המרובין. ר' יהודה או' משמו כל שהוא ממין שבעה ולא ממין דגן או דגן ולא עשאו פת רבן גמליאל או' מברך אחריו שלש ברכות. וחכמים או' ברכה אחת. וכל שאינו לא ממין שבעה ולא ממין דגן רבן גמליאל או' מברך אחריו ברכה אחת. וחכמים או' ולא כלום.L,,
,,מעשה בר' טרפון שהיה מיסב בצלו של שובך במנחה בשבת הביאו לפניו דלי של צונין. או' להם לתלמידיו השותה מים לצמאו מאי מברך. אמרו לו ילמדנו רבינו. אמ' להם בורא נפשות וחסרונן. אמ' להם אשאל. אמרו לו ילמדנו רבנו. אמ' להם הרי הוא או' וישבו לאכל לחם וישאו עיניהם ויראו וגו' והלא אין דרכן של ערביים להיות נושאין אלא עורות וריח רעה ועטרן אלא שנתנו אותו צדיק בין דברים חבובין. והלא דברים קל וחומר ומה אם בשעת כעסן של צדיקים מרחמין עליהם בשעת הרחמים על אחת כמה וכמה.L,,
,,כיוצא בו ויקרבו וישאום בכתנותם אל מחוץ למחנה. והלא דברים קל וחומר ומה אם בשעת כעסן של צדיקים כך בשעת הרחמים על אחת כמה וכמה. כיוצא בו לא אכל האריה את הנבלה ולא שיבר את החמור. והלא דברים קל וחומר ומה אם בשעת כעסן של צדיקים מרחמין עליהם בשעת הרחמים על אחת כמה וכמה. אמ' להם אשאל. אמרו לו ילמדנו רבנו. אמ' להם מפני מה זכה יהודה למלכות מפני שהודה בתמר.L,,
