ב.	<b>רש"י בד"ה שתים כתיבי כו' הן ולאו ולהבא דלהרע כו'</b> כצ"ל:
	<b>בד"ה שהן שש מדבריות כו'</b> נ"ב פי' חמש ירושלמיות הוי כמו שש מדבריות שהיו בימי משה אלמא שהוסיפו על המדה ירושלמי שתות מלבר שהרי מחמשה שלהם יהיו ששה מדבריות ומזה דייק תלמודא במנחות שאין להוסיף על המדה יותר משתות ומ"מ לתודה לא היו נוטלים יותר מחמשה ירושלמיות דהיינו ששה מדבריות כפי המדה ראשונה שהן שתי איפות אכן התוס' פירשו לשם שהוסיפו נמי על האיפות שתות ולפי פירושם היו נוטלין שש ירושלמית וכן בסמ"ג וא"כ מתני' הכי פירושה התודה היתה באה מן המדות הגדולים שחמש היו שש ראשונות אבל לעולם לא פוחתין מן ששה מדות ודו"ק:
	<b>בד"ה אטו לחמי תודה כו' לאכול בה קדשים מי מעכב עליהם</b> כצ"ל:
	<b>בד"ה ה"ג כו' מי איכא דהאי תסברא כו'</b> כצ"ל:
	<b>תוס' בד"ה וכן תעשו כו' לעשות משכן הלא קודם כו'</b> כצ"ל:
	<b>בד"ה מתיב רבא כו' בקרא וכדאמר לקמן כו'</b> כצ"ל:
טו:	<b>גמ' ואומר ארוממך ה' גו' יפול מצדך אלף ואומר יושב בסתר עליון בצל שדי יתלונן עד כי אתה כו' כצ"ל</b> ונ"ב וזה לשון ר' יונה בפי' לרי"ף בפ"ק דברכות שיר של פגעים בכנורות ובנבלים כו' פי' כשקידש עזרא את ירושלים היו הולכים סביבות העיר ואומרים שיר זה להבריח את הפגעים והמזיקים והיו אומרים אותו בשמחה ובשירים ומפרש ואזיל שאותו שיר של פגעים הוא יושב בסתר עליון ולא גרסינן ואומר אלא אומר דפירושי קמפרש מהו שיר של פגעים עכ"ל:
	<b>רש"י בד"ה ושיר של פגעים כו' והכי איתא בתורת כהנים כו' כצ"ל.</b> ונ"ב גליון ותימה לפי פי' זה לא היה לו לומר יושב בסתר עליון אלא ויהי נועם כו' עד כאן:
	<b>בד"ה אין לו חלק כו' הלוחש כו'</b> כצ"ל:
טז:	גמ' אם אינו ענין לטומאה שבחוץ תנהו ענין לטומאה שבפנים כל זה נמחק:
	<b>תוס' בד"ה או אידי כו' ואמר הר"ר שלמה מדריו"ש כו'</b> נ"ב פי' ותופס גירסת הספרים דל"ג ליכתב או אידי ואידי כו' ודו"ק. [עיין במהרש"א]:
	<b>בא"ד וי"ל משום כו'</b> נ"ב כמו אלא י"ל ודו"ק נ"ל:
יז.	<b>רש"י בד"ה דאניס כו' משנטמא שיעור שהייה כו'</b> כצ"ל:
	<b>תוס' בד"ה או אין צריך כו' והכא אפי' כו'</b> נ"ב ענין בפני עצמו שרצה לתרץ דהתם בעינן שהייה קצת והכא משמע אם א"צ שהייה למלקות דחייב מיד אפי' בלא שהה כלל על כן מפרש דהכא נמי בעינן שהייה קצת ובפרק אלו הן הלוקין הקשה קושיא זו ומתרץ בע"א נ"ל:
	<b>בא"ד ונראה דאפי' כו'</b> נ"ב פי' שלא תקשה א"כ לפי מאי דבעי הכא דבעינן נמי שהייה למלקות והלא גבי כלאים לא בעינן שהייה גמורה ודו"ק:
	<b>בד"ה נזיר בקבר כו' משמע כל זמן כו' דמי שיהיה נוגע בו כו'</b> כצ"ל:
יז:	<b>גמ' והא קמ"ל כו'</b> כצ"ל:
יח.	<b>גמ' אנוס ואפרישה מזיד ואי בעם הארץ כו' ובת"ח ות"ח כו' על שלה טמא בספק ופטורין מן הקרבן ואיידי דבעי כו'</b> כצ"ל:
	<b>תוס' בד"ה והא נמצא כו' מספק ופטורה מן כו'</b> כצ"ל:
	<b>בד"ה המשמש כו' לשמש ועד זה נכנס כו'</b> כצ"ל:
יח:	<b>רש"י בד"ה עונה כו' או יום או לילה כו'</b> נ"ב והסמ"ג מפרש שש שעות ע"ש:
יט.	<b>רש"י בד"ה אי מטומאה כו' מן העבירה שאמרו לו כו'</b> כצ"ל:
	<b>תוס' בד"ה הרי העלם כו' גבי העלם שבת והעלם מלאכות פשיט כו'</b> כצ"ל ונ"ב פי' דקמבעי ליה התם אי אמרי' העלם שבת בידו ואינו חייב אלא אחת או העלם מלאכות בידו וחייב אכל מלאכה ומלאכה כו'. בד"ה אמר רב אשי כו' טומאה בידו ואם להפך כו' כצ"ל:
יט:	<b>רש"י בד"ה ונודע לו כו' באשם תלוי וחזר כו'</b> הד"א:
	סליק פרק ידיעות הטומאה
	<b>גמ' במתני' היכן מצינו במדבר שהוא מביא קרבן שזה מביא קרבן</b> כצ"ל:
כא.	<b>רש"י בד"ה אלא מכללא כו' סיפא דשמעתא וא"ר אבהו כו'</b> כצ"ל:
	<b>בד"ה לא למעוטי כו' קאי זו היא כו'</b> הד"א:
כא:	<b>גמ' ביטוי שחייבין על כו'</b> כצ"ל:
כב.	<b>גמ' מהו דתימא אטעום נמי כו' וכי תניא ההיא כו'</b> כצ"ל:
	<b>רש"י בד"ה והרי עפר כו' דקא ס"ד דכיון כו'</b> נ"ב האי סלקא דעתא דפרש"י לאו דוקא שהרי אף לפי האמת כן ומ"ה קמבעיא ליה בעפר אלא הוא סלקא דעתא בדברי המקשן עצמו קודם שאמר אלא תפשוט ודו"ק:
	<b>בד"ה מתוך שחלוקות כו' מוהיה כי יאשם לאחת מאלה כו'. וכן לענין מלקות אם בהתראה אחת כו'</b> כצ"ל:
כב:	<b>גמ' רב ושמואל דאמרי תרוייהו בכולל כו'</b> כצ"ל:
	<b>תוס' בד"ה אהיתרא קא כו' שלא כדרך הנאתו כו'</b> נ"ב ומשהו דקאמר היינו אליבא דריש לקיש וכי פשטינן דבעי כזית הוא הדין דמפשט נמי אליבא דרבי יוחנן דבעינן אכילה כדרך הנאתו ודו"ק:
כג.	<b>תוס' בד"ה שכר שכר מנזיר כו' והכא דריש שכר גופיה כו'</b> נ"ב פי' הכא דדריש ג"ש שכר שכר מנזיר איצטריך כדי שלא יהיה גוף השכר הכתוב במעשר היינו דבילה קעילית ולא קשה הא כ"ש הוא מיין אגב קנקנו מה בכך דלא שייך למיפרך כ"ש אלא כשמרבה דבילה קעילית אבל בגוף הפסוק שהוא פרט ל"ק דשמא אתי לשום דרשא הפרטית וק"ל. [עיין במהרש"א]:
	<b>בא"ד דאתי לפרש דלא כו'</b> כצ"ל:
כג:	<b>גמ' ושמן ודבש דהיה לו לומר כו' מ"ש רישא דפטור ומ"ש סיפא דחייב הא כו' דאמרי תרוייהו בכולל כו'</b> כצ"ל:
	<b>רש"י בד"ה ודלמא ע"י כו' תערובת אי אמר הכי הוי משמע כו'</b> כצ"ל:
	<b>תוס' בד"ה דמוקי לה כו' ועוד דמצי לאוקמי שלא כדרך הנאתן כו'</b> נ"ב וא"ל דא"כ מ"ט דר"ש דפוטר היינו משום דמחייב בכל האיסורים בכל שהוא א"כ הוא הדין דמחייב שלא כדרך הנאתן ורבנן דמחייבי הכא היינו משום דלא מחייבי בכל שהוא בכל שאר איסורים וכ"ש שלא כדרך הנאתן והכא דמיחייב לרבנן איירי כדמפרש שלא כדרך הנאתן ולר"ע אפי' בסתם נמי מיחייב אשלא כדרך הנאתן גבי שבועה כמו שמחייב בכל שהוא וצ"ע [עיין במהרש"א]:
	<b>בא"ד הוה מצי למימר דלא אמר כריש לקיש כו'</b> כצ"ל:
	<b>בא"ד לא משכחת לה הן ולאו כו'</b> כצ"ל: ונ"ב פי' אף שר' יוחנן גופיה יכול לתרץ אליביה שפיר הן ולאו כדמשני לקמן כדרבא מ"מ אינו מיושב אלא לר' יוחנן דוקא דמוקי מתני' בכולל דברים המותרים אבל לריש לקיש הוי סתמא דמתני' בלא כולל אלא נשבע על הנבילה להדיא ודו"ק:
כד.	<b>גמ' כל שהוא למכות ולא אמרי כו'</b> כצ"ל:
	<b>תוס' בד"ה האוכל נבילה כו' כמו וזבחת ולא גיזה כו'</b> כצ"ל:
	<b>בד"ה אלא הן כו' דהוי בקום עשה ודאי חיילא כצ"ל</b> ונ"ב פי' האכילה קורא קום עשה והר"ן נמי הביא דעת הרמב"ן כדברי ר"י אלא שקרא שבועה שאוכל ולא אכל קום עשה ר"ל קום עשה עבירה כדי לקיים שבועתך ע"ש:
	<b>בד"ה אלא כדרבא כו' לשון אכילה אפי' במסרחת הא שלא לאכול עפר ואכל כו'</b> כצ"ל:
	<b>בא"ד דאז ודאי הוי לשון אכילה כצ"ל</b> ונ"ב פי' אבל בסתם לא הוי נבילה בכלל אכילה ומהכא מוכח דאף מן הסתם הוי נבילה בכלל אכילה וק"ל:
	<b>בא"ד דמשכחת הן בדברים המותרים קשיא דאפי' באיסורים נמי כו' משכחת כו' דאפי' וכו' הא ליתא בהן כו'</b> כצ"ל:
	<b>בא"ד דמשכחת הן בתאינים השוערים כו' כצ"ל</b> ונ"ב פי' תאנים רעים שאינם בכלל תאנים כמו נבילה סרוחה וק"ל:
כד:	<b>תוס' בד"ה והרי אשם כו' ולילקי נמי משום וזר כו'</b> נ"ב פי' גבי זר שאכל עולה לפני זריקה כו':
	<b>בא"ד לא יאכל כי קדש הם כו'</b> נ"ב פי' אם אכל חלב וק"ל:
כה.	<b>גמ' אלא כי קתני דחייל אמידי דאית ביה כו'</b> כצ"ל:
	<b>תוס' בד"ה חומר בנדרים כו' דנדרים גופייהו עצמו על הסוכה לא חייל</b> כצ"ל:
	<b>בד"ה משא"כ כו' והשתא א"ש הא דאמר כו'</b> נ"ב וכ"ש הא דקאמר חומר בנדרים מבשבועות וק"ל:
	<b>בא"ד והשתא נמי ניחא חומר בנדרים מבשבועות</b> נ"ב וה"ה הא דקאמר בריש נדרים לאפוקי שבועות דאסר נפשיה מן חפצא [עיין במהרש"א]:
כה:	<b>גמ' אמר ר' יהודה בן בתירא ומה כו'</b> כצ"ל:
	<b>שם בכלל שאיני יודע לך עדות כו'</b> נ"ב פי' שבועה שאיני יודע לך עדות שהוא חוץ לב"ד כו' כדפרש"י אבל מה שמשביעין הבית דין בפני הב"ד וקבל עליו הוי שפיר בכלל שבועת בטוי לרב כדפרי' לקמן ודו"ק:
	<b>שם מלתא דליתיה בלהבא כו'</b> נ"ב פי' ואף אותה שבועה שמשביעין הב"ד אינה בכלל ביטוי משום דליתא בלהבא שא"א שישבע שלא ידע לו עדות שהרי אין זה בידו ודו"ק וכן מצאתי שוב בפירוש הר"ן:
	<b>רש"י בד"ה ה"ג כו' לך ומודה כו'</b> הד"א:
כו.	<b>גמ' מי שהשבועה קודמת לביטוי ולא שהביטוי קודמת לשבועה יצא זה כו'</b> כצ"ל:
	<b>תוס' בד"ה את לבך כו' וחד לפטור ממלקות כו'</b> נ"ב בגמ' לא נאמר פטור ממלקות אלא לפטור מלאו דשבועה ופי' לשם התוס' להדיא דוקא משבועת לא יחל דברו הוא דפטור אפי' קיים את המצוה ועבר על לא יחל אבל חייב לעולם מלקות משום שבועת העדות ותדע דהא לקמן איתא להדיא במתני' דעל שבועת שוא ונשבע לבטל את המצוה חייבין על זדונה מכות כו':
כו:	<b>רש"י בד"ה מצטער בדבר וא"נ כו'</b> כצ"ל:
כז.	<b>גמ' אלא מדאיצטריך או כו'</b> נ"ב וזה לשון הר"ן ונ"ל דלאו אהאי טעמא לחוד הוא דסמכינן דאי הכי עקרינן לברייתא דקתני מה הטבה רשות ומה הרעה רשות אלא ה"ק דהך דרשא דאו מוכחא דכי פרכת א"ה בדבר הרשות נמי כו' לאו פירכא היא דלא דמי דבר מצוה לדבר הרשות ואין לי להאריך בזה דוק ותשכח ע"כ:
כז:	<b>תוס' בד"ה הא תו כו' דחיובא הוא דליכא כו' זו היא כו'</b> כצ"ל:
כח.	<b>גמ' אכזית קמא ואב"א כו'</b> כצ"ל:
	<b>רש"י בד"ה אמר רבא כו' בין שאכל התנאי ראשון כו'</b> ונ"ב פירוש לעולם בעינן שיהא האדם בשבועה אבל כשהוא בשגגה אינו חל כלל אפי' כשיהא מזיד אח"כ בתנאי אבל מ"מ לענין חיוב קרבן לעולם בעינן שתהא שגגה באכילת איסור וכן לענין מלקות ודו"ק:
	<b>בא"ד באכילת האיסור</b> נ"ב פי' לענין קרבן:
	<b>בד"ה ואכל את הראשונה כו' דודאי חיילא כו'</b> נ"ב פי' השבועה חיילא לענין עונש שבועה אלא דלא אשכח ביה קרבן לאפוקי היכא דהוי שגגה מתחלה לא חיילא כלל ומותר ודו"ק כך נראה לפרש דעת רש"י ולא כפי' התוס' נ"ל:
כח:	<b>גמ' שם שגגות מותרות עיפה תני שבועות כו'</b> כצ"ל והשאר נמחק:
	<b>רש"י בד"ה ותני עלה כו' מותרין כו' והיינו כדרבא ולא יתכן כו'</b> כצ"ל:
	<b>תוס' בד"ה כשם כו' ולאו פירכא הוא כדפרישית לעיל כו' כצ"ל</b> ונ"ב דף כ"ה בד"ה משא"כ בשבועות:
כט.	<b>גמ' על זדונה מכות כו'</b> נ"ב פי' משום שבועת שוא לחוד אבל לא משום לא יחל כדפרישית לעיל דף כ"ו:
	<b>תוס' בד"ה שבועה שלא אוכל כו' שבועה בכל ט' וכל ט' שיאכל מהנך כו'</b> כצ"ל [עיין במהרש"א]:
כט:	<b>גמ' עליכם ואמרו אמן כו'</b> כצ"ל:
	<b>רש"י בד"ה אלא ה"ק כו' על דעת רבים אין לו הפרה כצ"ל</b> ונ"ב פי' הקב"ה ומשה וק"ל:
	<b>תוס' בד"ה כי היכי כו' על דעת הקהל כו'</b> נ"ב זה אינו לפי דעת ר"ת שכתב בפרק השולח דף ל"ו להדיא שאינו נקרא על דעת רבים אלא א"כ פרטם פלוני ופלוני כו' בשמם וכ"כ הסמ"ג וכן מוכח מפרש"י:
	<b>בא"ד ואפי' בלא חרטה כו'</b> נ"ב פי' חרטה מעיקרא ודו"ק:
	סליק פרק שבועות שתים בתרא
ל:	גמ' ומנין לדיין שיודע בחבירו כו' ומנין לדיין שיודע בדין כו':
	<b>רש"י בד"ה לא ליקדים וליתב כו'</b> כצ"ל:
	<b>בד"ה לא יעשה כו' להעמיד וכשהוא בוש לחזור כו'</b> כצ"ל:
	<b>תוס' בד"ה א"נ לשודא כו' בעל דין שכנגדו ת"ח כו'</b> נ"ב פי' דלר"ת דמפ' שודא על הדיין דוקא א"כ בע"כ הכא איירי דשניהם תלמידי חכמים ושייך בהו שודא ויעשה הדיין שודא למי שירצה דאי לאו הכי ליכא שודא כלל ויהבינן בע"כ לת"ח בשלמא לפרש"י הא דיהבינן לת"ח ולא לעם הארץ זהו שנקרא שודא וא"כ שפיר קאמר אי נמי לשודא ודו"ק [עיין במהרש"א]:
לא.	<b>גמ' ומנין לתלמיד שיושב כו'</b> כצ"ל וכן בכל העמוד צ"ל ומנין:
	<b>רש"י בד"ה משחק בקוביא בעירבון והמראה כו'</b> נ"ב נראה שהוא מלשון ממירין היונים דסנהדרין פ' זה בורר וחבירו פרק במה מדליקין שהמרו זה בזה בהלל ע"ש נ"ל:
לא:	<b>גמ' לא כל שכן ומדמייתיה לה כו'</b> כצ"ל:
	<b>בד"ה לאו דגמרי כו' בפקדון אשר ישבע עליו כתיב משמע כו'</b> כצ"ל:
	<b>תוס' בד"ה מההיא אין כו' כאנשים וחייב בו כו'</b> כצ"ל:
לב.	<b>רש"י בד"ה בעד טומאה כו' וכפר עדותו חייב דהא כו'</b> כצ"ל:
	<b>תוס' בד"ה שבועה שאין כו' וא"ת לימא כגון כו'</b> נ"ב האי לישנא משמע דעל התרצן פריך דלישני הכי וע"ז תירצו התוס' דלא ניחא ליה לשנויי הכי כי אין רגילות בכך כו' ואף דרב חסדא משני הכי משום שמוכרח לכך דאפשר דלא ס"ל דמהני תוך כדי דיבור כה"ג ותדע דהא שניהם כא' בצמצום לכ"ע אין רגילות בכך וחידוש גדול הוא אפי' לר"י הגלילי דאמר אפשר לצמצם ודו"ק. ומש"ה נמי הוכרח הרי"ף לפסוק הלכתא דתוך כדי דיבור מהני וק"ל. אבל על המקשה אין כאן קושיא דלישנא דכפרו שניהן כו' לא משמע הכי דא"כ הל"ל כגון שסיימו שניהם תוך כ"ד וק"ל ותדע דעל התרצן קפריך דהא משני אחר כך התוס' להדיא דברי התרצן וק"ל:
לב:	<b>תוס' בד"ה אבל כפירה כו' תוך כדי דיבור אף שני חייב</b> נ"ב והר"ן תירץ דקמ"ל דאף הודאה של אחד מהני בתוך כדי דיבור של כפירת חבירו ודו"ק [עיין במהרש"א]:
לג.	<b>גמ' השתא מיהא לא שכיב נמחק</b> ונ"ב לפי' התוס' ל"ג:
לג:	תוס' בד"ה היכא דלא כו' דמיחזי כשיקרא ובפ' כל הגט ובהכותב מסקינן כל זה נמחק:
	<b>בד"ה ונאמר להלן כו' ובעושק יחוד כלי כו'</b> נ"ב פירוש שיחד כלי נגד הלואתו וכן על העושק דהוי דומיא דפקדון אבל אהלואה אינו מיחייב קרבן וק"ל:
לד.	<b>רש"י בד"ה קסבר ר' יוסי כו' וה"ק הא דקאמר כו' המתקיימת בידיעה בלא כו'</b> כצ"ל:
