"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.1",According to the Order of Treatises
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.12","B<small>OOK</small> VII. Comprises the commandments concerning agriculture, for example, Sabbatical and Jubilee years, tithes, heave-offerings and other laws mainly connected therewith or of a kindred subject; and I have named this book: Book of Seeds."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.13",B<small>OOK</small> VIII. Comprises the commandments concerning the building of the Temple and the regular public offerings; and I have named this book; Book of Service.
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.14",B<small>OOK</small> IX. Comprises the commandments concerning private sacrifices; and I have named this book: Book of Sacrifices.
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.15",B<small>OOK</small> X. Comprises the commandments concerning purification and contamination; and I have named this book; Book of Purification.
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.16","B<small>OOK</small> XI. Comprises the commandments concerning man and man, where there is either pecuniary or bodily damage on the face of the dispute; and I have named this book: Book of Torts."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.17",B<small>OOK</small> XII. Comprises the commandments concerning selling and buying; and I have named this book: Book of Bargaining.
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.18","B<small>OOK</small> XIII. Comprises the commandments concerning disputes between man and man in civil laws, where there appears no damage on the face of the dispute, as for example, trustees, debtors, contentions and denials; and I have named this book: Book of Civil Law."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.19","B<small>OOK</small> XIV. Comprises the commandments which the Sanhedrin are to enforce, such as the death penalty, evidence, naming of a king, and his making of wars; and I have named this book: Book of Judicial Procedure."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.20","And now I shall, with the help of God Almighty, begin to summarize all laws derived from each and every commandment, and all the regulations each embraces in its respective subject, according to the order of the treatises."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.21","B<small>OOK OF</small> K<small>NOWLEDGE</small>: Consists of five treatises, in this order: A treatise concerning the foundation of the Torah; a treatise concerning Ethics; a treatise concerning the Study of the Torah; a treatise concerning Worshipers of Stars and Planets and their Practices; a treatise concerning Repentance."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.22","The treatise concerning the Foundations of the Torah embraces ten commandments, six mandatory and four prohibitive, namely: (1) To know that there is a God; (2) not to believe that there is any other god besides the Lord; (3) to believe in His Unity; (4) to love Him; (5) to fear Him; (6) to sanctify His name; (7) not to profane His Name; (8) Not to destroy aught upon which His Name appears; (9) to hearken to the prophet who speaks in His Name; (10) not to tempt Him."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.23","The treatise concerning Ethics embraces eleven commandments, five mandatory and six prohibitive, namely: (1) to imitate His ways; (2) to cleave to His adherers; (3) to love neighbors; (4) to love strangers; (5) not to hate neighbors; (6) to rebuke; (7) not to put anyone to shame; (8) not to afflict the unfortunate; (9) not to bear tales; (10) not to seek vengeance; (11) not to bear a grudge."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.24","The treatise concerning the Study of the Torah embraces two mandatory commandments, namely: (1) to study the Torah; (2) to honor those who study and those who know it."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.25","The treatise concerning Worshipers of Stars and Planets and their Practices embraces fifty-one commandments, two mandatory and forty-nine prohibitive, namely: (1) not to follow the idolaters; (2) not to indulge in impure thoughts of the heart or evil sights of the eyes; (3) not to blaspheme; (4) not to worship idolatry in its customary way; (5) not to bow down to it; (6) not to make an image for oneself; (7) not to make an image even for others; (8) not to make images even for beauty's sake; (9) not to entice others to follow it; (10) to burn an idolatrous city; (11) not to rebuild it; (12) not to enjoy aught of all its wealth; (13) not to entice an individual to worship it; (14) not to love the enticer; (15) not to abandon the hatred against him; (16) not to save him; (17) not to plead for him; (18) not to refrain from testifying against him; (19) not to prophesy in the name of idolatry; (20) not to listen to one prophesying in its name; (21) not to prophesy falsely even in the name of God; (22) not to fear to put to death a false prophet; (23) not to swear in the name of idolatry; (24) not to practice spiritualism; (25) not to practice augury; (26) not to pass through to Moloch; (27) not to erect a pillar; (28) not to bow to a figured stone; (29) not to plant an Asherah; (30) to destroy idols and their belongings; (31) not to partake of aught belonging to idolatry; (32) not to enjoy aught of the ornaments of idols; (33) not to make a covenant with idolaters; (34) not to show grace to them; (35) not to let them dwell in our land; (36) not to follow their customs, even in dress; (37) not to pay attention to sooth-saying; (38) not to practice divination; (39) not to designate times as lucky or unlucky; (40) not to practice enchantry; (41) not to seek spirits of the dead; (42) not to consult those who practice spiritualism; (43) not to consult those who practice augury; (44) not to practice sorcery; (45) not to round the corners of the head; (46) not to round the corners of the beard; (47) man shall not attire in woman's garments; (48) woman shall not attire in man's garments; (49) not to practice tattooism; (50) not to lacerate oneself; (51) not to make oneself baldness for the dead."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.26","The treatise concerning Repentance embraces one mandatory commandment, namely: that the sinner shall repent and confess his sin before God. Consequently, this book embraces seventy-five commandments, sixteen mandatory and fifty-nine prohibitive."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.27","T<small>HE</small> B<small>OOK OF</small> L<small>OVE</small>: Consists of six treatises, they are: a treatise concerning the Reading of the She'ma; a treatise concerning Prayers and Priestly Benediction; a treatise concerning Phylacteries, Mezuzah and the Sepher Torah; a treatise concerning Fringes (Zizit); a treatise concerning Benedictions; a treatise concerning Circumcision."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.28","The treatise concerning the Reading of the She'ma embraces one mandatory commandment, namely: to read the She'ma twice daily."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.29","The treatise concerning Prayer and Priestly Benedictions embraces two mandatory commandments, namely: (1) to worship God daily with prayers; (2) that the priests shall pronounce benedictions upon Israel daily."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.30","The treatise concerning Phylacteries, Mezuzah, and Sepher Torah, embraces five mandatory commandments, namely; (1) to put on a phylactery upon the head; (2) to bind a phylactery upon the arm; (3) to put a Mezuzah on every door-post; (4) that every man shall have a Book of the Torah written for himself; (5) that a king shall have an extra Sepher Torah written for himself, so that he will have two Books of the Torah."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.31","The treatise concerning Zizit embraces one mandatory commandment, namely: to make fringes in the corners of the garment."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.32","The treatise concerning Benedictions embraces one mandatory commandment, namely: to bless His Name after meals."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.33","The treatise concerning Circumcision embraces one mandatory commandment, namely: to circumcise all male children on the eighth day. Consequently, this book embraces eleven mandatory commandments."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.34","T<small>HE</small> B<small>OOK OF</small> T<small>IMES</small>: Consists of ten treatises, they are: a treatise concerning Sabbath; a treatise concerning Erubin; a treatise concerning the Day of Atonement; a treatise concerning Holidays; a treatise concerning Leaven and Mazzah; a treatise concerning Shopher, Sukko, and Lulab (palm branch); a treatise concerning She'kolim; a treatise concerning the Sanctification of the New Moon; a treatise concerning Fast-Days; a treatise concerning Megilah and Hanukah."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.35","The treatise concerning Sabbath embraces five commandments, two mandatory and three prohibitive, namely: (1) to rest on the Seventh Day; (2) not to do any servile work therein; (3) not to inflict punishment on the Sabbath; (4) not to go outside of the city limits on the Sabbath; (5) to sanctify the Day by remembering it."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.36","The treatise concerning Erubin, consists of one precept instituted by the words of the Sophrim, and is not included in the number of the commandments of the Torah."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.37","The treatise concerning the Day of Atonement embraces four commandments, two mandatory and two prohibitive, namely: (1) to abstain from all work; (2) not to do any servile work therein; (3) to fast on that Day; (4) not to eat or drink on that Day."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.38","The treatise concerning Holidays embraces twelve commandments, six mandatory and six prohibitive, namely: (1) to rest on the first day of Passover; (2) not to do any servile work therein; (3) to rest on the seventh day of Passover; (4) not to do any servile work therein; (5) to rest on the Feast of She'buot; (6) not to do any servile work therein; (7) to rest on Rosh ha-Shanah; (8) not to do any servile work therein; (9) to rest on the first day of Sukkot; (10) not to do any servile work therein; (11) to rest on the eighth day of Sukkot (She'mini Azeret); (12) not to do any servile work therein."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.39","The treatise concerning Leaven and Mazzah embraces eight commandments, three mandatory and five prohibitive, namely: (1) not to eat leavened bread on the fourteenth day from mid-day onward; (2) to destroy all leaven on the fourteenth day; (3) not to eat leavened bread all of the seven days; (4) not to eat anything mixed with leaven all of the seven days; (5) no leaven shall be exposed all of the seven days; (6) that no leaven shall be found on the premises all of the seven days; (7) to eat Mazzah on the first night of Passover; (8) to recite the story of the Exodus on that night."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.40","The treatise concerning Shopher, Sukko and Lulab, embraces three mandatory commandments, namely: (1) to hear the sound of the Shopher on the first day of Tishri (Rosh ha-Shanah); (2) to dwell in a Sukko all of the seven days; (3) to take the Four Kinds all of the seven holidays in the Temple."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.41","The treatise concerning She'kolim embraces one mandatory commandment, namely: that each Israelite shall contribute to charity half shekel yearly."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.42","The treatise concerning the Sanctification of the New Moon embraces one mandatory commandment, namely: to calculate, and to find out, and set aside, the day when each of the months of the year begins."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.43","The treatise concerning Fast-Days embraces one mandatory commandment, namely: to fast and cry out to God when a great affliction—may it never approach—! overtakes the public."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.44","The treatise concerning Megilah and Hanukah embrace two mandatory precepts instituted by the words of the Sophrim; but are not included in the number of commandments in the Torah. Consequently, the total number of commandments of the Torah this book embraces, is thirty-five, nineteen mandatory and sixteen prohibitive, besides the three precepts instituted by the words of the Sophrim."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.45","T<small>HE</small> B<small>OOK OF</small> W<small>OMEN</small>: Consists of five treatises, they are: a treatise concerning Marriage; a treatise concerning Divorce; a treatise concerning Yibum and Halizah; a treatise concerning Chastity; a treatise concerning Infidelity."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.46","The treatise concerning Marriage embraces four commandments, two mandatory and four prohibitive, namely: (1) to take a wife by dower and sanctification; (2) no conjugal relationship shall exist without dower and sanctification; (3) not to withold from a wife board, clothes and bed; (4) to have issue by her."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.47","The treatise concerning Divorce embraces two commandments, one mandatory and one prohibitive, namely: (1) to divorce by a written instrument; (2) not to remarry a wife after she has been married to another man."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.48","The treatise concerning Yibum and Halizah embraces three commandments, two mandatory and one prohibitive, namely: (1) to take to wife the widow of a deceased brother who died childless; (2) that the widow, when such brother refuses to perform Yibum, performs Halizah before she can be free to remarry another man; (3) that such widow shall not remarry without the brother consenting to her performing Halizah."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.49","The treatise concerning Chastity embraces five commandments, three mandatory and two prohibitive, namely: (1) to fine the seducer; (2) that one who rapes a virgin shall marry her; (3) that he shall not divorce her; (4) that a victim of evil spread about her by her husband must remain his wife forever; (5) that such husband shall not divorce his wife."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.50","The treatise concerning Infidelity embraces three commandments, one mandatory and two prohibitive, namely: (1) to do to the accused woman according to laws of jealousy outlined in the Torah; (2) not to use oil in her offering; (3) not to use incense in same. Consequently the total number of commandments embraced in this Book is seventeen, nine mandatory and eight prohibitive."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.51","T<small>HE</small> B<small>OOK OF</small> H<small>OLINESS</small>: Consists of three treatises, they are: a treatise concerning forbidden intercourse; a treatise concerning forbidden foods; a treatise concerning the laws of She'hita."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.52","The treatise concerning forbidden intercourse embraces thirty-seven commandments, one mandatory and the rest prohibitive, namely: (1) a mother; (2) father's wife; (3) a sister; (4) father's wife's daughter; (5) a son's daughter; (6) a daughter; (7) a daughter's daughter; (8) a mother and her daughter; (9) a wife's son's daughter; (10) a wife's daughter's daughter; (11) a father's sister; (12) a mother's sister; (13) the wife of a father's brother; (14) a daughter-in-law; (15) a brother's wife; (16) a wife's sister; (17) a female animal to man; (18) a male animal to woman; (19) a male; (20) a father; (21) a father's brother: (22) another man's wife; (23) a menstrous woman; (24) not to marry an idolater; (25) not to admit an Amonite or Moabite in the congregation of God; (26) not to prevent an Egyptian of the third generation from being admitted to the congregation; (27) not to prevent a son of Esau of the third generation from being admitted in the congregation; (28) not to admit a bastard in the congregation; (29) not to admit a eunuch in the congregation; (30) not to castrate any male; (31) a high-priest shall not marry a widow; (32) a high-priest shall not take a widow as concubine; (33) that a high-priest shall marry a virgin; (34) a priest shall not marry a divorcee; (35) a priest shall not marry a harlot; (36) a priest shall not marry a profane woman; (37) not to arouse passion in relatives even though no actual incest be committed."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.53","The treatise concerning forbidden foods embraces twenty-eight commandments, four mandatory and twenty-four prohibitive, namely: (1) to examine the cattle or animal if it belongs to the clean group; (2) to examine the fowl if it belongs to the clean group; (3) to examine the fishes if they belong to the clean group; (4) to examine the locusts if they belong to the clean group; (5) not to eat unclean cattle or animals; (6) not to eat unclean fowl; (7) not to eat unclean fishes; (8) not to eat creeping things which fly; (9) not to eat things which creep upon earth; (10) not to eat reptiles; (11) not to eat worms; (12) not to eat creeping things of the waters; (13) not to eat flesh of aught that died of itself; (14) not to eat of the flesh of an ox which was stoned; (15) not to eat trefah; (16) not to eat a limb of a living beast; (17) not to eat blood; (18) not to eat tallow fat of clean beasts; (19) not to eat the sinew that shrank; (20) not to eat flesh together with milk; (21) not to cook flesh together with milk; (22) not to eat bread of new grain before offering the Omer on Passover; (23) not to eat parched corn before offering the Omer; (24) not to eat green ears of corn before offering the Omer; (25) not to eat fruit of a tree for three years after its planting; (26) not to eat fruits of a vineyard seeded with divers seed; (27) not to eat fruit or grain from which no heave-offering was separated; (28) not to drink wine which was mixed as an offering to idolatry."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.54","The treatise concerning the laws of She'hita embraces five commandments, three mandatory and two prohibitive, namely: (1) to slaughter the animal before eating it; (2) not to slaughter a beast and its young the same day; (3) to cover the blood of a wild animal and fowl; (4) not to take the mother bird and its young; (5) to send away the mother if one takes the young. Consequently, the total number of commandments in this book is seventy, eight mandatory and sixty-two prohibitive."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.55","T<small>HE</small> B<small>OOK OF</small> S<small>EPARATION</small>: Consists of four treatises, they are: a treatise concerning oaths; a treatise concerning vows; a treatise concerning Nazirot; a treatise concerning estimated values and devoted things."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.56","The treatise concerning oaths embraces five commandments, one mandatory and four prohibitive, namely: (1) not to swear falsely by His Name; (2) not to take His Name in vain; (3) not to swear to deny articles left in trust; (4) not to swear falsely in money matters; (5) to swear by His Name in matters of truth."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.57","The treatise concerning vows embraces three commandments, two mandatory and one prohibitive, namely: (1) to do as one vows and keep what is gone out of one's lips; (2) not to profane his word; (3) that vows or oaths shall be annulled by proper authority, in accordance with the expressed laws of Holy Writ."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.58","The treatise concerning Nazirot embraces ten commandments, two mandatory end eight prohibitive, namely: (1) to let his hair grow untouched; (2) not to shave his hair during his days of abstinence; (3) not to drink wine or beverage mixed with grape; (4) not to eat fresh grapes; (5) not to eat dry grapes; (6) not to eat pressed grapes; (7) not to eat the stones of grapes; (8) not to enter the tent of the dead; (9) not to defile himself by any dead; (10) to shave when the days of his abstinence are completed, or if he be defiled during the period."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.59","The treatise concerning estimated values and devoted things embraces seven commandments, five mandatory and two prohibitive, namely: (1) to judge on estimated values of man as it is expressed in the Torah, which is the law on estimated values of man; (2) to judge on estimated values of cattle; (3) to judge on estimated values of houses; (4) to judge on estimated values of fields; (5) the law of one who makes his property an object of devotion; (6) not to sell devotional things; (7) not to redeem devotional things. Consequently the total number of commandments of this book is twenty-five, ten mandatory and fifteen prohibitive."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.60","T<small>HE</small> B<small>OOK OF</small> S<small>EEDS</small>: Consists of seven treatises, they are: a treatise concerning mixed seeding; a treatise concerning gifts to the poor; a treatise concerning heave-offerings; a treatise concerning tithes; a treatise concerning second tithes and the fourth year's fruit after planting; a treatise concerning first-fruits and other gifts to the priests; a treatise concerning the Sabbatical and Jubilee years."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.61","The treatise concerning mixed seeding embraces five prohibitive commandments, namely: (1) not to seed divers seeds; (2) not to sow a vineyard with divers seeds of grain or herbs; (3) not to gender cattle with those of divers species; (4) not to use two kinds of cattle to work together; (5) not to wear garments of wool and linen woven together."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.62","The treatise concerning the gifts to the poor embraces thirteen commandments, seven mandatory and six prohibitive, namely: (1) to leave the corners; (2) not wholly to reap the corners; (3) to leave gleanings; (4) not to gather the gleanings; (5) to leave gleanings in the vineyard; (6) not to glean the vineyard; (7) to leave the single grapes; (8) not to gather the single grapes; (9) to leave a forgotten sheave; (10) not to go back to fetch a forgotten sheaf; (11) to give tithes to the poor; (12) to give alms according to one's means; (13) not to harden the heart against the needy."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.63","The treatise concerning heave-offerings embraces eight commandments, two mandatory and six prohibitive, namely: (1) to separate the great heave-offering; (2) to separate tithes as a heave-offering; (3) not to separate heave-offerings or tithes promiscuously, but separate them in the prescribed order of precedence; (4) no stranger shall eat of the heave-offering; (5) no priest's guest or hired servant shall eat of the heave-offering; (6) no uncircumcised person shall eat of the heave-offering; (7) no unclean priest shall eat of the heave-offering; (8) no profane woman shall eat of the heave-offering or of holy things."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.64","The treatise concerning tithes embraces one mandatory commandment, namely: to separate the first tithe every seeding year and give it to the Levites."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.65","The treatise concerning second tithes and the fourth year's fruit after planting embraces nine commandments, three mandatory and six prohibitive, namely: (1) to separate second tithes; (2) not to exchange the second tithe or its redemption money for anything save food and drink and anointing; (3) not to eat the second tithe while unclean; (4) not to eat it when in mourning; (5) not to eat second tithe of grain without Jerusalem; (6) not to eat the second tithe of vintage without Jerusalem; (7) not to eat the second tithe of oil without Jerusalem; (8) that the fourth year's fruit be wholly sacred and shall be eaten by the owner thereof in Jerusalem even as the second tithe is; (9) to recite the confession of tithes."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.66","The treatise concerning first-fruits and other gifts to the priests embraces nine commandments, eight mandatory and one prohibitive, namely: (1) to bring the first-fruits to the Sanctuary; (2) the priests shall not eat first-fruits without Jerusalem; (3) to extol the Lord in bringing the first-fruits; (4) to give the first cake of one's dough to the priest; (5) to give the shoulder, the two cheeks, and the maw to the priest as his due; (6) to give the priest the first fleece; (7) to redeem the first-born son and give the redemption-money to the priest; (8) to redeem the firstling of an ass and give the redemption-money to the priest; (9) to break the neck of the firstling of an ass, if one does not desire to redeem it."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.67","The treatise concerning the Sabbatical and Jubilee years embraces twenty-two commandments, nine mandatory and thirteen prohibitive, namely: (1) the land shall remain fallow on a Sabbatical year; (2) not to engage in agricultural work on such year; (3) not to prune the trees on such year; (4) not to harvest the crop which grows of itself; (5) not to gather the fruit of the trees; (6) to release all crops; (7) to release all debtors; (8) not to press or make demand upon a debtor; (9) not to refrain from lending before the Sabbatical year so as not to lose his money; (10) to number the Sabbatical years by seven; (11) to hallow the Fiftieth year; (12) to blow the trumpet on the Day of Atonement as a token of liberty to the slaves; (13) not to till the ground on such year; (14) not to harvest the spontaneously grown crops; (15) not to gather the fruit of the trees; (16) to release the land on such year for redemption; (17) not to sell land forever; (18) to render judgment concerning houses in walled-off cities; (19) that the tribe of Levi shall not inherit a share in Eretz Yisrael but to provide for them cities as a gift to dwell in; (20) that the tribe of Levi shall not share in the spoils; (21) to give to the tribe of Levi cities and suburbs to dwell in; (22) not to sell their suburbs, for they are redeemable at all times, whether before or after the Jubilee year. Consequently, the total number of commandments in this book is sixty-seven, thirty mandatory and thirty-seven prohibitive."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.68","T<small>HE</small> B<small>OOK OF</small> S<small>ERVICE</small>: Consists of nine treatises, they are: a treatise concerning the Chosen House; a treatise concerning the vessels of the Sanctuary; a treatise concerning admission into the Sanctuary; a treatise concerning the rejected from the altar; a treatise concerning the preparation of sacrifices; a treatise concerning regular and additional sacrifices; a treatise concerning disqualified sacred offerings; a treatise concerning the service of the Day of Atonement; a treatise concerning Me'ilah."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.69","The treatise concerning the Chosen House embraces six commandments, three mandatory and three prohibitive, namely: (1) to build a Sanctuary; (2) not to build the altar of hewn stone; (3) not to ascend upon it by steps; (4) to revere the Sanctuary; (5) to keep a constant guard around the Sanctuary (6) not to leave the Sanctuary without a guard."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.70","The treatise concerning the vessels and ministers of the Sanctuary embraces fourteen commandments, six mandatory and eight prohibitive, namely: (1) to make the anointing oil; (2) not to imitate it; (3) not to anoint oneself therewith; (4) not to imitate the formula of the incense; (5) not to burn upon the golden altar aught but incense; (6) to carry the Ark upon the shoulders; (7) not to remove the staves therefrom; (8) that the Levite shall minister in the Sanctuary; (9) no one shall do the work of another in the Sanctuary; (10) to consecrate the priest for his service; (11) they shall participate equally in the service and enjoy like portions during holidays; (12) they shall be clothed in their priestly garment during service; (13) not to rend the robe of the Ephod; (14) not to loosen the breastplate from the Ephod."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.71","The treatise concerning the admission into the Sanctuary embraces fifteen commandments, two mandatory and thirteen prohibitive, namely: (1) no intoxicated person shall enter into the Sanctuary; (2) not to enter it bareheaded; (3) not to enter it with rent garments; (4) no priest shall enter the holy place within the veil at all times; (5) a priest shall not go out of the Sanctuary in the middle of service; (6) to send out the defiled from the Sanctuary; (7) the defiled shall not go into the Sanctuary; (8) the defiled shall not go on the Mount of the House; (9) the defiled shall not perform service; (10) that a priest who had an immersion from uncleanness during the day shall not join the service; (11) that the one who performs service shall wash his hands and feet in the laver; (12) a blemished person shall not enter within the veil or approach the altar; (13) a blemished person shall not join the service; (14) a temporary blemished person shall not join the service; (15) a stranger shall not join the service."
