Id,Relevance,Ref,Version,Lang,Content,Field,Score
34,--,Tosafot on Yevamot 87b:11:1,Vilna Edition,he,"הולד ממזר מזה ומזה - אר""י דאפילו לאחר שנתן הראשון גט הוי ממזר מן השני מידי דהוה אראשון שהולד ממזר ממנו:",infreq,31.505262
35,--,"Chizkuni, Deuteronomy 23:3:2",Chizkuni,he,"ממזר שנולד ממי שהוא זר אצל אמו.
",original,15.902575
36,--,Mishnah Yevamot 4:12,Torat Emet 357,he,"המחזיר גרושתו, והנושא חלוצתו, והנושא קרובת חלוצתו, יוציא, והולד ממזר, דברי רבי עקיבא. וחכמים אומרים, אין הולד ממזר. ומודים בנושא קרובת גרושתו, שהולד ממזר: 
",ngram,44.44185
37,--,Bartenura on Mishnah Yevamot 10:1:4,On Your Way,he,"והולד ממזר מזה ומזה. אם ילדה מן השני, ממזר גמור. ואם החזירה הראשון וילדה, הוי ממזר מדבריהם:",ngram,37.288788
38,--,"Terumat HaDeshen, Index to part II 257",Warsaw 1882,he,רנז דין מי שקורא לחבירו כמו ממזר: ,infreq,31.308987
39,--,Yevamot 76b:15,William Davidson Edition - Aramaic,he,אמר ליה אבנר תנינא עמוני ולא עמונית מואבי ולא מואבית אלא מעתה ממזר ולא ממזרת ממזר כתיב מום זר ,ngram,34.09978
40,--,Bartenura on Mishnah Yevamot 2:5:1,On Your Way,he,אח מכל מקום. ואפילו ממזר:,ngram,41.121597
41,--,Deuteronomy 23:3,Tanach with Text Only,he,לא־יבא ממזר בקהל יהוה גם דור עשירי לא־יבא לו בקהל יהוה,ngram,37.745846
42,--,Tosafot Yom Tov on Mishnah Yevamot 7:5:6,"Mishnah, ed. Romm, Vilna 1913",he,"ילדה תאכל. כדמרבינן לקמן אפילו ממזר: 
",original,15.881995
43,--,Rashi on Yevamot 87b:11:1,Vilna Edition,he,והולד ממזר מזה ומזה - אם ילדה משני ממזר גמור ואם שוב החזירה ראשון וילדה לו הוי ממזר מדבריהם:,infreq,31.505262
44,--,Yevamot 37a:11,William Davidson Edition - Aramaic,he,מאי קאמר אמר אביי הכי קאמר ראשון ראוי להיות כהן גדול ושני ספק ממזר ואסור בממזרת רבי אליעזר אומר אינו ספק ממזר אלא ודאי ממזר ומותר בממזרת ,ngram,42.209465
45,--,Yevamot 37a:10,Wikisource Talmud Bavli,he,"ת""ר ראשון ראוי להיות כהן גדול ושני ממזר מספק רבי אליעזר בן יעקב אומר אין ממזר מספק",ngram,33.838737
46,--,Rashi on Kiddushin 66b:16:1,Vilna Edition,he,הולד ממזר - בגמרא מפרש לה:,ngram,38.454742
47,--,Rashi on Yoma 66b:10:2,Vilna Edition,he,ממזר מהו לירש - את אביו:,ngram,38.512352
48,--,Mishnah Kiddushin 4:8,"Mishnah, ed. Romm, Vilna 1913",he,האומר בני זה ממזר אינו נאמן ואפילו שניהם אומרים על העובר שבמעיה ממזר הוא אינם נאמנים. רבי יהודה אומר נאמנים ,ngram,41.616653
49,--,Rashi on Yevamot 44a:15:4,Vilna Edition,he,"יוציא והולד ממזר - דסבר ר""ע יש ממזר מחייבי לאוין:",ngram,38.894176
50,--,Rashi on Kiddushin 4a:6:2,Vilna Edition,he,זרע פסול - כגון ממזר:,ngram,44.01412
51,--,Rashi on Ketubot 14b:3:1,Vilna Edition,he,מכירין ישראל ממזרין שביניהן - וספק ממזר יש לך להכשיר דאי ממזר הוה מידע הוו ידעי ביה:,aggresive-ngram,26.137222
52,--,Rashi on Yevamot 77b:15:2,Vilna Edition,he,ממזר יוכיח - שאין כרת בביאתו ועשה בו בתו כבנו דאחד ממזרת ואחד ממזר אסור:,ngram,34.74978
53,--,Rashi on Yevamot 69b:12:3,Vilna Edition,he,מסתברא מילתיה דרב - דמשוי ליה ממזר ודאי:,original,15.902575
54,--,Niddah 49b:24,Wikisource Talmud Bavli,he,לאתויי ממזר ,ngram,58.833103
55,--,"Sefer Hamitzvot of Rasag, Negative Commandments 260","Sefer Hamitzvot L'Rasag, Warsaw, 1914",he,ממזר,ngram,92.45965
56,--,Sanhedrin 36b:19,Wikisource Talmud Bavli,he,לאתויי ממזר,ngram,57.61456
57,--,Rashi on Kiddushin 76a:5:3,Vilna Edition,he,וניתני חדא - ממזר מאחותו נתערב בהן:,infreq,31.308987
58,--,"Prisha, Even HaEzer 4:25:1","Tur Even HaEzer, Vilna, 1923",he, ובניו כמוהו לעולם כדין שאר ממזר. ,infreq,31.2859
59,--,Ikar Tosafot Yom Tov on Mishnah Kiddushin 3:13:4,On Your Way,he,עבד ממזר. בגמרא פליגי בילפותא דקרא:,infreq,31.308987
60,--,Mishnah Kiddushin 3:13,"Mishnah, ed. Romm, Vilna 1913",he,רבי טרפון אומר. יכולין ממזרים ליטהר. כיצד. ממזר שנשא שפחה הולד עבד. שחררו. נמצא הבן בן חורין. רבי אליעזר אומר הרי זה עבד ממזר:  ,ngram,38.87347
61,--,Yevamot 77b:15,William Davidson Edition - Aramaic,he,מה לעריות שכן כרת ממזר יוכיח,ngram,39.35685
62,--,Rashi on Yevamot 37a:11:3,Vilna Edition,he,"ר""א אומר אין ממזר מספק  אלא כודאי ממזר הוי ומותר בממזרת - דקסבר ספיקן בודאן מותר:",ngram,34.83508
63,--,Kiddushin 69a:3,William Davidson Edition - Aramaic,he,מתני׳ רבי טרפון אומר יכולין ממזרין ליטהר כיצד ממזר שנשא שפחה הולד עבד שיחררו נמצא הבן בן חורין רבי אליעזר אומר הרי זה עבד ממזר,ngram,33.517506
64,--,Rashi on Yevamot 37a:11:2,Vilna Edition,he,אמר אביי כו' ספק ממזר הוי ואסור בממזרת - ובכשרה:,ngram,33.56191
65,--,Ikar Tosafot Yom Tov on Mishnah Yevamot 7:5:5,On Your Way,he,תאכל. כדמרבינן לקמן אפילו ממזר:,ngram,38.503273
66,--,Zechariah 9:6,Tanach with Text Only,he,וישב ממזר באשדוד והכרתי גאון פלשתים,ngram,43.187904
67,--,Rashi on Ketubot 25b:8:1,Vilna Edition,he,להשיאו אשה - שמא ממזר או נתין הוא:,infreq,31.325901
68,--,Kiddushin 68b:5,William Davidson Edition - Aramaic,he,נהי דכשר לא הוי ממזר לא הוי פסול מיקרי,ngram,34.18228
