Id,Relevance,Ref,Version,Lang,Content,Field,Score
30,--,Rashi on Bekhorot 25b:20:1,Vilna Edition,he,בגיזת בכור בעל מום - שנשרה מחיים והניחה בחלון:,hebmorph-exact,20.895609
31,--,Zevachim 37b:1,Wikisource Talmud Bavli,he,לימד על בכור בעל מום שניתן לכהן שלא מצינו לו בכל התורה כולה,hebmorph-standard,79.87091
32,--,Rashi on Menachot 100b:33:1,Wikisource Rashi,he,בעל מום איקרי טמא - מפרש לקמן:,hebmorph-standard,89.37288
33,--,Rashi on Bekhorot 37b:54:2,Vilna Edition,he,היאך הוא עושה בעל מום - הא הדר בריא:,hebmorph-exact,20.763683
34,--,Temurah 7b:29,Wikisource Talmud Bavli,he,המעלה אברי בעלי מומין לגבי מזבח ,hebmorph-standard,82.28574
35,--,Rashi on Leviticus 27:10:1,On Your Way,he,טוב ברע. תם בבעל מום: ,aggresive-ngram,55.031097
36,--,Zevachim 77b:22,Wikisource Talmud Bavli,he,"מתני׳ אברין באברין בעלי מומין ר""א אומר",hebmorph-standard,81.98816
37,--,Zevachim 99a:12,Wikisource Talmud Bavli,he,"(ויקרא ו, כב) כל זכר בכהנים לרבות בעל מום",aggresive-ngram,53.094
38,--,Zevachim 99a:10,Wikisource Talmud Bavli,he,הרי בעל מום דאינו ראוי לחיטוי וחולק,hebmorph-standard,100.21329
39,--,Zevachim 99a:15,Wikisource Talmud Bavli,he,"מסתברא בעל מום ה""ל לרבויי שכן אוכל",hebmorph-standard,100.21329
40,--,Zevachim 116a:4,Wikisource Talmud Bavli,he,תמימין ובעלי מומין) לאפוקי מחוסר אבר דלא,hebmorph-standard,82.37816
41,--,"Chizkuni, Leviticus 21:6:1",Chizkuni,he,והיו קדש לרבות בעלי מומין.,hebmorph-standard,85.3259
42,--,Temurah 6b:57,Wikisource Talmud Bavli,he,שעיר המשתלח בעל מום שפיר דמי ,hebmorph-standard,100.438286
43,--,Rashi on Zevachim 99a:20:1,Wikisource Rashi,he,ראוי לאכילה - בעל מום:,hebmorph-standard,119.97115
44,--,Sanhedrin 83a:20,Wikisource Talmud Bavli,he,בעל מום רבי אומר,hebmorph-standard,134.52296
45,--,Rashi on Malachi 1:14:3,On Your Way,he,"משחת . בעל מום כמו ( ויקרא כ""ב ) משחתם בהם :

",aggresive-ngram,49.833824
46,--,Pesachim 71b:13,Wikisource Talmud Bavli,he,שחטו ונמצא בעל מום חייב שחטו ונמצא טריפה בסתר פטור,hebmorph-standard,83.69857
47,--,Rashi on Meilah 2b:21:1,WikiSource Rashi,he,הנהנה מן החטאת - בעלת מום:,ngram,31.44788
48,--,"Bekhor Shor, Exodus 12:5:2","Bekhor Shor, Leipzig, 1856",he,"תמים. ולא בעל מום:
",hebmorph-standard,119.16383
49,--,Arakhin 5a:23,Wikisource Talmud Bavli,he,בעל מום נמי איבעויי איבעיא לן דבעי רבה,hebmorph-standard,83.69857
50,--,Temurah 32b:31,Wikisource Talmud Bavli,he,"וד""ה בעל מום מעיקרו לא היה בכלל העמדה והערכה ",hebmorph-standard,88.99499
51,--,Bekhorot 37b:54,Wikisource Talmud Bavli,he,במילת היו רוצעין היאך עבד כהן נעשה בעל מום,hebmorph-standard,88.79562
52,--,Bekhorot 25b:14,Wikisource Talmud Bavli,he,"בעלי מומין אוסרין בכ""ש ורבי יוסי אומר",hebmorph-standard,82.37816
53,--,"Chizkuni, Deuteronomy 15:21:1",Chizkuni,he,"כל מום רע להביא נולד בעל מום ממעי אמו.
",ngram,36.390068
54,--,Taanit 27a:1,William Davidson Edition - Aramaic,he,אי מה משרת בעל מום לא אף כהן מברך בעל מום לא הא איתקש לנזיר ,hebmorph-standard,95.12211
55,--,Rashi on Zevachim 98b:20:1,Wikisource Rashi,he,כל שאינו ראוי לעבודה כו' - בגמרא פריך והרי בעל מום:,hebmorph-exact,20.840628
56,--,Rashi on Temurah 7b:2:1,WikiSource Rashi,he,אין לי - רבוי להתפיס בעל מום לבדק הבית:,aggresive-ngram,49.833824
57,--,Rashi on Temurah 24a:40:1,WikiSource Rashi,he,נשחטה הבעלת מום - לאחר פדיונה:,ngram,31.865032
58,--,Temurah 33a:48,Wikisource Talmud Bavli,he,תמימים יקברו ובעלי מומין יפדו ,hebmorph-standard,95.46111
59,--,Bekhorot 26a:1,Wikisource Talmud Bavli,he,"הא בעל מום שרי אע""פ שלא התירו מומחה",hebmorph-standard,83.51107
60,--,Bava Kamma 13a:7,William Davidson Edition - Aramaic,he,כדתניא בבכור נאמר לא תפדה ונמכר תם חי ובעל מום חי ושחוט במעשר נאמר לא יגאל ואינו נמכר לא חי ולא שחוט לא תם ולא בעל מום,infreq,29.46879
61,--,Temurah 7a:32,Wikisource Talmud Bavli,he,שמא לא שנינו אלא בתם שנעשה בעל מום ועובר דאי בעל מום מעיקרא דיקלא בעלמא הוא ,hebmorph-standard,94.671776
62,--,Bartenura on Mishnah Sheviit 7:4:1,On Your Way,he,לקח בכור. בעל מום דמותר לזרים:,hebmorph-standard,89.55239
63,--,Bekhorot 26b:26,Wikisource Talmud Bavli,he,ואם בעל מום הוא ואמר לו,hebmorph-standard,100.89222
64,--,Rashi on Kiddushin 66b:5:2,Vilna Edition,he,ובעל מום פסולו ביחיד - בא אחד ואמר בעל מום הוא נאמן ולקמן מפרש לה:,infreq,30.272516
65,--,Rashi on Zevachim 16b:5:1,Wikisource Rashi,he,בעל מום - יש לו תקנה כשיעבור מומו:,hebmorph-standard,89.97837
66,--,Zevachim 37a:35,Wikisource Talmud Bavli,he,אחד תם ואחד בעל מום,hebmorph-standard,124.56357
67,--,Temurah 17a:35,Wikisource Talmud Bavli,he,בעל מום קרב במינו ,hebmorph-standard,133.61772
68,--,Temurah 17a:33,Wikisource Talmud Bavli,he,והרי בעל מום דלא קריב ונחתא ליה קדושת הגוף ,hebmorph-standard,83.51107
69,--,Menachot 85b:19,Wikisource Talmud Bavli,he,הקדישן מהו שילקה עליהן משום בעל מום,hebmorph-standard,117.63155
70,--,Rashi on Zevachim 16a:7:1,Wikisource Rashi,he,שמוזהרין - שלא לעבוד טמא מוינזרו בעל מום מולא יגש:,aggresive-ngram,49.833824
71,--,"Mishneh Torah, Negative Mitzvot 71",Wikisource Mishneh Torah,he,"שלא יעבוד בעל מום עובר, שנאמר ""כל איש אשר בו מום לא יקרב"" (ויקרא כא, יח).",infreq,28.851759
72,--,"Mishneh Torah, Negative Mitzvot 70",Wikisource Mishneh Torah,he,"שלא יעבוד בעל מום, שנאמר ""אשר יהיה בו מום"" (ויקרא כא, יז).",infreq,28.798452
73,--,Zevachim 102a:83,Wikisource Talmud Bavli,he,אי לחלוקה הרי כבר אמור שיכול אין לי אלא תם ונעשה בעל מום בעל מום מעיקרו מנין,hebmorph-standard,88.881775
74,--,Rashi on Zevachim 102a:92:1,Wikisource Rashi,he,כלפי לייא - בעל מום עובר משמע להתירו טפי מבעל מום קבוע:,infreq,30.272516
75,--,Bekhorot 14b:54,Wikisource Talmud Bavli,he,דאמר קרא אותה אותה למעוטי בעל מום מעיקרא,hebmorph-standard,83.51107
76,--,Bekhorot 44a:58,Wikisource Talmud Bavli,he,אם כן עשיתו למשה רבינו בעל מום דתנן,hebmorph-standard,83.69857
77,--,Avodah Zarah 13b:15,Wikisource Talmud Bavli,he,"וליהוי כמטיל מום בבעל מום דאע""ג דלא חזי להקרבה אסור",ngram,34.388123
78,--,Rashi on Rosh Hashanah 5b:13:2,WikiSource Rashi,he,כפסולי המוקדשים - כבעל מום:,hebmorph-standard,97.84616
79,--,Bekhorot 33b:54,Wikisource Talmud Bavli,he,בעל מום מעיקרו פשיטא דיקלא בעלמא הוא,hebmorph-standard,100.77905
80,--,Yoma 63b:13,Wikisource Talmud Bavli,he,ואיצטריך למיכתב בעל מום ואיצטריך למיכתב מחוסר זמן  דאי כתב רחמנא מחוסר זמן משום דלא מטי זמניה אבל בעל מום דמטי זמניה אימא לא  ואי כתב רחמנא בעל מום משום דמאיס אבל מחוסר זמן דלא מאיס אימא לא צריכא,hebmorph-standard,88.853264
81,--,Bekhorot 33b:53,Wikisource Talmud Bavli,he,מיבעי ליה למעוטי בעל מום מעיקרו,hebmorph-standard,100.21329
82,--,"Prisha, Yoreh Deah 315:6:1","Tur Yoreh Deah, Vilna, 1923",he, ומיהו חשוב בעל מום לישחט עליו כו' דאין לך מום גדול משינוי ברייתו: ,infreq,29.041567
83,--,Rashi on Bekhorot 14b:18:1,Vilna Edition,he,הואיל וקדוש בעל מום - להיות אסור בגיזה ועבודה:,aggresive-ngram,49.833824
84,--,Rashi on Chullin 2a:8:2,Wikisource Rashi,he,רע - בעל מום:,hebmorph-standard,119.16383
85,--,Rashi on Sotah 12b:9:2,Vilna Edition,he,בעל מום - והוא לוי ונפסל בקול לעבודת השיר:,hebmorph-exact,20.958336
86,--,"Mishneh Torah, Admission into the Sanctuary 9:12",Torat Emet 363,he,"זר ששמש בשבת חיב משום שבת ומשום זרות. וכן בעל מום ששמש בטמאה חיב משום טמאה ומשום בעל מום:
",hebmorph-standard,83.13847
87,--,Rashi on Bekhorot 14b:31:1,Vilna Edition,he,ולא ימיר אותו טוב ברע - דהיינו בעל מום אם המר ימיר יהיה קדש אפילו בעל מום:,hebmorph-standard,84.261566
88,--,Sanhedrin 84a:27,Wikisource Talmud Bavli,he,אמר קרא בו ולא בבעל מום,aggresive-ngram,50.34637
89,--,Zevachim 112b:3,Wikisource Talmud Bavli,he,בעלי מומין קבועין פטור בעלי מומין עוברין חייב בלא תעשה,hebmorph-standard,96.974686
90,--,Rashi on Bekhorot 26b:30:2,Vilna Edition,he,בין בעל מום - בזמן הזה:,hebmorph-standard,104.26836
91,--,Avodah Zarah 46a:31,Wikisource Talmud Bavli,he,אלא אתיא מבהמה בעלת מום ומהר,aggresive-ngram,50.192467
92,--,Menachot 56b:16,Wikisource Talmud Bavli,he,בעל מום מעיקרא דיקלא בעלמא הוא,hebmorph-standard,100.89222
93,--,Bekhorot 33b:49,Wikisource Talmud Bavli,he,"לא נחלקו אלא במטיל מום בבעל מום דר""מ סבר",ngram,34.160297
94,--,Bekhorot 33a:42,Wikisource Talmud Bavli,he,דתנן היו לפניו שתי חטאות אחת תמימה ואחת בעלת מום תמימה תקרב בעלת מום תיפדה,aggresive-ngram,50.83149
95,--,Zevachim 16b:5,Wikisource Talmud Bavli,he,בעל מום יוכיח,hebmorph-standard,133.8861
96,--,"Chizkuni, Leviticus 21:18:2",Chizkuni,he,אשר בו מום אפילו נולד בעל מום ממעי אמו.,ngram,36.43026
97,--,Ikar Tosafot Yom Tov on Mishnah Pesachim 9:8:3,On Your Way,he,והתערובת אוכל כולם בתורת בכור בעל מום:,hebmorph-standard,89.37288
