Id,Relevance,Ref,Version,Lang,Content,Field,Score
10,--,Genesis 39:10,The Rashi chumash by Rabbi Shraga Silverstein,en,"	And it was, as she spoke to Joseph day after day, and he did not heed her to lie with her [even without intercourse] to be with her [(in Gehinnom) in the world to come],",aggresive-ngram,109.96543
11,--,Bartenura on Pirkei Avot 4:16:2,Sefaria Community Translation,en,"""drawing room"": The place where the king sits. So [too], you should fix yourself in this world so that you will merit the world to come. ",aggresive-ngram,96.79888
12,--,Psalms 34:13,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,"	Who is the man who desires life [in the world to come], who loves days [in this world] for the seeing of good [in the next] —",aggresive-ngram,126.72543
13,--,Proverbs 18:5,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,"	It is not good for the wicked that favor is shown [them in this world and punishment exacted in the next.] [It is good] for the righteous that [the scales of] judgment are turned [against them in this world, so that they merit life in the world to come].",ngram,26.84471
14,--,Sanhedrin 90a:41,Sefaria Community Translation,en,...These are the ones who do not have a part in the world to come.,aggresive-ngram,153.9712
15,--,Pirkei Avot 4:17,The Mishna with Obadiah Bartenura by Rabbi Shraga Silverstein,en,	He was wont to say: Better one hour for [purposes of] repentance and good deeds in this world than all of the life in the world to come. [For at that time repentance and good deeds are of no avail,aggresive-ngram,158.32819
16,--,Pirkei Avot 4:16,Sefaria Community Translation,en,Rabbi Yaakov says: This world is like a hallway before the world to come. Fix yourself in the hallway so you may enter the drawing room.,aggresive-ngram,135.45726
17,--,Psalms 50:22,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,"	Know this, now, O forgetters of G d, lest I snatch [you for judgment in the world to come] and there be no rescue.",aggresive-ngram,102.77891
18,--,Abraham Cohen Footnotes to the English Translation of Masechet Berakhot 56b:22,"Tractate Berakot by A. Cohen, Cambridge University Press, 1921",en,"M. adds : He should offer up supplication. If [he dreamt] that he had eaten them, he is assured that he is a son of the world to come. ",aggresive-ngram,96.414925
19,--,Rashi on Deuteronomy 7:11:1,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,en,"היום לעשותם [WHICH I COMMANDED THEE] TO-DAY TO DO THEM — to do them to-day, but only in the time to come — in the future world — to receive the reward for them (Eruvin 22a).",infreq,20.564268
20,--,Bava Batra 141b:6,William Davidson Edition - English,en,The Gemara rejects this explanation: Say that you heard Rabbi Meir express this opinion with regard to transferring ownership of an entity that has not yet come into the world to an entity that is in,ngram,25.92021
21,--,Taanit 22a:4,William Davidson Edition - English,en," Rabbi Beroka said to Elijah: Of all the people who come here, is there anyone in this market worthy of the World-to-Come? He said to him: No. In the meantime, Rabbi Beroka saw a man who was wearing black",aggresive-ngram,94.94384
22,--,Taanit 22a:7,William Davidson Edition - English,en,"In the meantime, two brothers came to the marketplace. Elijah said to Rabbi Beroka: These two also have a share in the World-to-Come. Rabbi Beroka went over to the men and said to them: What is your",infreq,19.909414
23,--,Deuteronomy 33:6,The Rashi chumash by Rabbi Shraga Silverstein,en,"	Reuven shall live [in this world] and he shall not die [in the world to come (The episode of Bilhah (Genesis 352) will not be ""brought up"" to him)], and his men will be counted [among those of his brothers].",aggresive-ngram,112.30238
24,--,Ikar Tosafot Yom Tov on Pirkei Avot 4:5:7,Sefaria Community Translation,en,"""from the world"": The explanation [of this] is, from life in the world to come - Rambam.",aggresive-ngram,128.55322
25,--,Psalms 92:1,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,"	A psalm, a song [(sung by the Levites)] for the Sabbath day [(the world to come, which is all ""Sabbath"")].",aggresive-ngram,157.57074
26,--,Bartenura on Pirkei Avot 2:16:2,Sefaria Community Translation,en,"""in the future to come"": In the world to come.",aggresive-ngram,161.33145
27,--,Psalms 119:32,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,"	I shall run upon the path of Your mitzvoth, for [I know that] You will [therefor] expand my heart [in the pleasures of the World to Come].",aggresive-ngram,100.33578
28,--,Abraham Cohen Footnotes to the English Translation of Masechet Berakhot 61b:5,"Tractate Berakot by A. Cohen, Cambridge University Press, 1921",en,"For the former, this world because they have no share in the world to come ; for the latter, the world to come because they usually have to endure sufferings here. ",aggresive-ngram,114.07857
29,--,Ikar Tosafot Yom Tov on Pirkei Avot 4:1:7,Sefaria Community Translation,en,"""in this world"": as you will not be in need from [other] creatures; and ""in the world to come,"" as since he benefits from his [own] effort, he does not come to theft, and he inherits both worlds - Rashi.",ngram,26.58652
30,--,Chagigah 15b:3,Sefaria Community Translation,en,"When Acher died, they said, ""We cannot judge him to punishment [in Gehinnom], but we cannot enter him into the World to Come. We cannot judge him to punishment, because he toiled in Torah; we cannot enter him into the World to Come, because he sinned."" Rabbi Meir said, ""It is better that they sentence him [so as",aggresive-ngram,109.678505
31,--,Kiddushin 39b:2,William Davidson Edition - English,en,"MISHNA: Anyone who performs one mitzva has goodness bestowed upon him, his life is lengthened, and he inherits the land, i.e., life in the World-to-Come. And anyone who does not perform one mitzva",aggresive-ngram,119.58183
32,--,Ecclesiastes 6:7,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,"	All the toil of man is for his ""mouth"" [i.e., that he enjoy both this world and the world to come]; and shall the desire [(for this world as well as for the next)] also not be fulfilled [by this wealthy man]?",ngram,26.13024
33,--,Pirkei Avot 3:11,Sefaria Community Translation,en," upon him; one who reveals meanings in the Torah that run contrary to the law, even though he has Torah knowledge and good deeds, he has no share in the world to come.",aggresive-ngram,93.61679
34,--,Bartenura on Pirkei Avot 4:22:10,Sefaria Community Translation,en,"""and He is destined to judge:"" in the world to come. ",aggresive-ngram,128.55322
35,--,Bava Metzia 85b:3,William Davidson Edition - English,en,Rabbi Yirmeya said to Rabbi Zeira: What is the meaning of that which is written with regard to the World-to-Come: “The humble and great are there; and the servant is free from his master” (Job 3:19,aggresive-ngram,96.414925
36,--,Ikar Tosafot Yom Tov on Pirkei Avot 4:17:1,Sefaria Community Translation,en,"""The world to come"": The beginning is not a [contradiction] to the end, as this world is for action and the world to come is for payment and enjoyment - Midrash Shmuel. And [regarding] the world to come, some",aggresive-ngram,97.41406
37,--,Sotah 12a:11,William Davidson Edition - English,en," and on the females. And now no children will be born. Additionally, Pharaoh decreed to kill them only in this world, but you decreed in this world and in the World-to-Come, as those not born will not enter the World-to-Come.",aggresive-ngram,99.227295
38,--,Leviticus 11:43,The Rashi chumash by Rabbi Shraga Silverstein,en," unclean by them on earth, I shall render you unclean for the world to come and for the heavenly tribunal.)]",aggresive-ngram,102.72262
39,--,Abraham Cohen Footnotes to the English Translation of Masechet Berakhot 54a:7,"Tractate Berakot by A. Cohen, Cambridge University Press, 1921",en,"Lit. ""from the world to the world"" — two worlds. ",aggresive-ngram,19.98428
40,--,Rashi on Genesis 43:9:2,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,en,וחטאתי לך כל הימים THEN SHALL I HAVE SINNED AGAINST THEE ALL THE DAYS — also in the world to come (Genesis Rabbah 91:10). ,aggresive-ngram,98.40208
41,--,Bava Metzia 33b:13,Sefaria Community Translation,en,"Rami bar Chama strongly objects to it, ""And behold, a person can not cede something that has not come into the world! And even according to Rabbi Meir who says,  'A person can cede something that has",ngram,31.871464
42,--,Berakhot 35a:19,Sefaria Community Translation,en,Our rabbis taught (in a baraita) It is forbidden for a person to enjoy [something] from this world without a [saying] a blessing and anyone who enjoys [something] from this world without [saying] a blessing steals.,aggresive-ngram,20.885464
43,--,Rashi on Leviticus 11:43:2,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,en,ונטמתם בם THAT YE SHOULD BE DEFILED THEREBY — If you become defiled thereby on earth I will treat you as defiled in the world-to-come and in the heavenly academy (cf. Yoma 39a).,aggresive-ngram,91.5854
44,--,Taanit 29a:15,William Davidson Edition - English,en,"The Roman officer went to him in private, and said to him: If I save you from death, will you bring me into the World-to-Come? Rabban Gamliel said to him: Yes. The officer said to Rabban Gamliel: Swear to me. He swore to him. The officer ascended",aggresive-ngram,92.83822
45,--,Rashi on Genesis 18:25:3,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,en,חלילה לך IT IS UNWORTHY OF THEE —in the world to come.,aggresive-ngram,128.75357
46,--,Berakhot 5a:23,William Davidson Edition - English,en,"The World-to-Come, as it is written: “For the mitzva is a lamp, the Torah is light, and the reproofs of instruction are the way of life” (Proverbs 6:23). One may arrive at the lamp of mitzva and the",aggresive-ngram,108.874435
47,--,Mishnah Sanhedrin 10:3,The Mishna with Obadiah Bartenura by Rabbi Shraga Silverstein,en,"	The generation of the flood have no share in the world to come and do not rise to be judged, viz. (Genesis 6:3): ""My spirit will not judge in man forever"" — neither judgment nor spirit, [i.e., they",aggresive-ngram,108.85045
48,--,Mishnah Sanhedrin 10:2,Sefaria Community Translation,en,"Three kings and four commoners have no share in the World to Come. The three kings are: Jeroboam, Ahab, and Manasseh. Rabbi Yehudah says, Manasseh does have a share in the World to Come, as it says",aggresive-ngram,120.59692
49,--,Mishnah Sanhedrin 10:1,The Mishna with Obadiah Bartenura by Rabbi Shraga Silverstein,en,"	All of Israel have a share in the world to come, viz. (Isaiah 60:12): ""And your people, all righteous, forever shall inherit the land, the sprout of My plantings, the work of My hands, to be glorified."" [(""All of Israel have a share:"") Even those who were executed by beth-din for their wickedness have a share in the",aggresive-ngram,104.29651
50,--,Proverbs 1:33,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,"	But he who listens to me will rest secure [in this world], and in quiet [(in the world to come)] from the fright of evil [(the judgment of Gehinnom)].",ngram,24.844734
51,--,Ecclesiastes 9:7,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,"	[But you, the righteous one,] go and eat your bread in joy, and drink your wine with a good heart, for G-d has already accepted your good deeds [and you will merit the world to come.]",aggresive-ngram,102.310905
52,--,Berakhot 61b:10,Sefaria Community Translation,en,"The angels in heaven said to Gd: This is Torah? This is its reward?! From men, by Thy hand, O LORD, From men of the world, whose portion is in this life He said to them: Some are living A heavenly voice came out and said Praiseworthy are you Rabbi Akiva, that you are invited to the world to come. ",aggresive-ngram,93.095474
53,--,Ecclesiastes 9:8,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,"	At all times let your garments be white, and let oil not be lacking upon your head [i.e., be constantly engaged in mitzvoth, so that if you die today, you will enter the world to come in peace.]",aggresive-ngram,111.78796
54,--,Berakhot 4b:6,"Tractate Berakot by A. Cohen, Cambridge University Press, 1921",en,"The teacher stated above :  ""Then let him read the Shema' and say the Tefillah.""  This supports the view of R. Johanan who declared :  Who will inherit the world to come?  He who joins the Ge'ullah to the evening Tefillah.  R. Joshua b. Levi said :  The Tefillot were arranged in the middle. ",aggresive-ngram,92.90412
55,--,Mishnah Peah 1:1,Open Mishnah,en," the principal remains for him in the World to Come: Honoring one's father and mother, acts of kindness, and bringing peace between a man and his fellow. But the study of Torah is equal to them all.",infreq,19.569216
56,--,"Mishneh Torah, Forbidden Intercourse 14:4",Sefaria Community Translation,en,"And they say to him: Know that the world to come is hidden only for the righteous, and this is Israel. And the reason that Israel is in pain in this world, it is a good hidden for them for they",ngram,24.793606
57,--,Isaiah 34:1,The Holy Scriptures: A New Translation (JPS 1917),en,"Come near, ye nations, to hear, And attend, ye peoples; Let the earth hear, and the fulness thereof, The world, and all things that come forth of it.",infreq,19.884106
58,--,Bartenura on Pirkei Avot 6:7:1,Sefaria Community Translation,en,"For it gives life to those who do it: He eats its fruits in this world, and the principle is preserved for him in the world to come.",aggresive-ngram,96.85792
59,--,Pirkei Avot 6:4,Sefaria Community Translation,en," do so (Psalms 128: 2) ""happy shall you be, and it shall be well with you"" - happy shall you be in this world, and it shall be well with you in the world to come.",ngram,24.997854
60,--,Kiddushin 49b:10,William Davidson Edition - English,en,"Ten kav of brazenness descended to the world; Meishan, near Babylonia, took nine and the rest of the world took one. Ten kav of conversation descended to the world; women took nine and the rest of",aggresive-ngram,22.839525
61,--,Akeidat Yitzchak 67:139,Akeydat Yitzchak by Eliyahu Munk,en,"That day is symbolic of the menuchah, absolute rest achieved in that world. As the Rabbis say in Avot (chapter 4,22) ""better a single hour of serenity in the world to come, than the entire lifespan in this world.""",ngram,25.108932
62,--,Rashi on Leviticus 11:44:2,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,en,"והייתם קדשים AND YE WILL BE HOLY, because I will then treat you as holy, above and in the world-to-come (Yoma 39a).",aggresive-ngram,109.90248
63,--,Rabbeinu Yonah on Pirkei Avot 2:7:8,Sefaria Community Translation,en,One who has acquired words of Torah has acquired for himself the life of the World to Come:,aggresive-ngram,112.93202
64,--,Berakhot 4b:16,Sefaria Community Translation,en,"...Rabbi Elazar says, Rav Avina says Anyone who says the verse of ""Blessed is David"" every day, three times , He is promised to merit the world to come.",aggresive-ngram,131.70477
65,--,I Chronicles 16:36,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,"	Blessed is the L-rd, the G-d of Israel, from the world [i.e., from this world] until the world [to come]."" And all the people said ""Amen"" and [gave] praise to the L-rd.",aggresive-ngram,97.06247
66,--,Megillah 28b:17,Daf Shevui,en,"It was taught in the house of Eliyahu: Whoever repeats halakhoth is assured of the world to come, as it says, “His goings [halikoth] are to eternity” (Habbakuk 3:6). Read not halikkot but halakhoth.",aggresive-ngram,100.68953
67,--,Shabbat 63a:11,Sefaria Community Translation,en,"This supports Rabbi Hiya bar Abba. For Rabbi Hiya bar Abba said: All of the prophets delivered prophecy concerning the Days of Mashiach but the World to Come, (Isaiah 64:3) ""No eye has seen it, God, except for you.""",aggresive-ngram,104.73
68,--,Psalms 96:13,The Holy Scriptures: A New Translation (JPS 1917),en,"Before the LORD, for He is come; For He is come to judge the earth; He will judge the world with righteousness, And the peoples in His faithfulness.",infreq,19.840351
69,--,Abraham Cohen Footnotes to the English Translation of Masechet Berakhot 28b:11,"Tractate Berakot by A. Cohen, Cambridge University Press, 1921",en,To accompany him into the next world. ,ngram,26.019325
70,--,Sukkah 29a:11,Daf Shevui,en," arrows of famine are coming to the world. If the eclipse is at sunset calamity will be delayed; if at dawn, it will come quickly:  but some say the order is to be reversed",ngram,27.465786
71,--,Eruvin 54b:22,William Davidson Edition - English,en," rest of your generation will merit the World-to-Come? He said: I prefer that I and my generation merit the World-to-Come. The Holy One, Blessed be He, said to the angels: Give him both; he shall live a very long life and he and the rest of his generation will merit the World-to-Come. ",aggresive-ngram,107.50608
72,--,Berakhot 54a:8,William Davidson Edition - English,en," when the Sadducees strayed and declared that there is but one world and there is no World-to-Come, the Sages instituted that at the conclusion of the blessing one recites: From everlasting [haolam] to everlasting [haolam].",ngram,25.023947
73,--,Kiddushin 39b:6,Sefaria Community Translation,en,"Abaye said:  Our mishnah makes for them a good day [in this world] and a bad day [in the world to come]. Rava said:  Who is this? It is Rabbi Ya'akov, who said that there is no reward for a mitzvah in this world.",ngram,25.731798
74,--,Rashi on Deuteronomy 33:6:2,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,en,"ואל ימת AND LET HIM NOT DIE, in the world to come: that the incident of Bilhah be not remembered unto him (Siphre).",aggresive-ngram,96.559456
75,--,Proverbs 18:21,The Rashi Ketuvim by Rabbi Shraga Silverstein,en,	Life and death are in the power of the tongue; those who love [to use] it [in the study of Torah] will eat its fruit [in the world to come].,aggresive-ngram,108.95079
76,--,Pirkei Avot 5:8,Sefaria Community Translation,en,"Seven kinds of punishment come to the world for seven categories of sin:  [When] some of [the people] give tithes, and others do not give tithes, a famine from drought comes; and some go hungry, and",ngram,26.864616
77,--,Tosefta Berakhot 6:27,Tosefta Online,en,] they would let [everyone] know that this world in front of the World to Come is like a vestibule in front of the banquet hall.,ngram,27.214092
78,--,Sotah 35a:18,William Davidson Edition - English,en,"The verse states: “And he died there with the Ark of God” (II Samuel 6:7). Rabbi Yoḥanan says: Uzzah entered the World-to-Come, as it is stated: “With the Ark of God.” Just as the Ark exists forever, so too, Uzzah entered the World-to-Come.",aggresive-ngram,102.08545
79,--,Pesachim 50a:6,William Davidson Edition - English,en,And Rabbi Yehoshua ben Levi said: These are people who are considered important [yekarim] in this world and unimportant [kefuyim] in the World-to-Come. This is like the incident involving Rav Yosef,ngram,27.917246
80,--,Berakhot 9b:21,"Tractate Berakot by A. Cohen, Cambridge University Press, 1921",en, But R. Johanan has said :  Who will inherit the world to come? He who unites the Ge'ullah of the evening to the Tefillah of the evening!,aggresive-ngram,108.54002
81,--,Berakhot 17a:12,"Tractate Berakot by A. Cohen, Cambridge University Press, 1921",en,It was a favourite saying of Rab :  Not like this world is the world to come. In the world to come there is neither eating nor drinking; no procreation of children or business transactions; no envy,aggresive-ngram,98.8337
82,--,Rashi on Genesis 39:10:2,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,en,"להיות עמה  TO BE WITH HER, in the world to come (Gehinnom) (Genesis Rabbah 87:6). ",aggresive-ngram,132.22661
83,--,Leviticus 18:5,The Rashi chumash by Rabbi Shraga Silverstein,en,"	And you shall keep My statutes and My judgments [(including what may be deduced, though not explicitly stated)], which a man shall do, and he shall live by them [in the world to come]; I am the L-rd [trusted to reward].",aggresive-ngram,106.583466
84,--,Pesachim 50a:17,William Davidson Edition - English,en,"Rabbi Aḥa bar Ḥanina said: The World-to-Come is not like this world. In this world, upon good tidings one recites: Blessed…Who is good and does good, and over bad tidings one recites: Blessed…the true Judge. In the World-to-Come one will always recite: Blessed…Who is good and does good. There will be only one mode of blessing God for tidings.",aggresive-ngram,95.20706
85,--,Deuteronomy 23:9,The Rashi chumash by Rabbi Shraga Silverstein,en," causes a Jew to sin (4) is worse than one who kills him, the latter killing him only in this world, but the former removing him from both worlds.]",ngram,26.41661
