mitzvah Title chinukh,mitzvah Title Rambam,chinukh,smk,rambam,wiki_rambam,wiki_table,smg,mishneh,shulchanArukh,pasuk
,,"https://www.sefaria.org/Sefer_HaChinukh.3
","https://www.sefaria.org/Sefer_Mitzvot_Katan,_Remazim.203
","https://www.sefaria.org/Mishneh_Torah,_Negative_Mitzvot.183
","https://www.sefaria.org/Mishneh_Torah,_Negative_Mitzvot.183",,,,"https://www.sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.100
","https://www.sefaria.org/Genesis.32:32
"
,,"שלא לאכל גיד הנשה - וישלח יעקב יש בה מצות לא תעשה אחת, והיא אזהרת גיד הנשה, שנאמר: (בראשית לב:לג) על כן לא יאכלו בני ישראל את גיד הנשה. והאי לא יאכלו לא נאמר על דרך ספור, כלומר מפני שאירע דבר זה באב, ","שלא לאכול גיד הנש' כדכתיב על כן לא יאכלו וגו' (בראשית לב)
","שלא לאכול גיד הנשה, שנאמר ""על כן לא יאכלו בני ישראל את גיד הנשה"" (בראשית לב,לג).
",,,,,"בְּרִיָּה, דְּהַיְנוּ כְּגוֹן נְמָלָה אוֹ עוֹף טָמֵא, וְגִיד הַנָּשֶׁה, וְאֵבֶר מִן הַחַי, וּבֵיצָה שֶׁיֵּשׁ בָּהּ אֶפְרוֹחַ וְכַיּוֹצֵא בָהֶם, אֲפִלּוּ בְּאֶלֶף לֹא בָּטֵל. וְאֵין לוֹ דִּין בְּרִיָּה, אֶלָּא אִם כֵּן הוּא דָּבָר שֶׁהָיָה בּוֹ חַיּוּת, לַאֲפוּקֵי חִטָּה אַחַת שֶׁל אִסוּר. וְכֵן צָרִיךְ שֶׁיְּהֵא דָּבָר שֶׁאָסוּר מִתְּחִלַּת בְּרִיָּתוֹ, לַאֲפוּקֵי עוֹף טָהוֹר שֶׁנִּתְנַבֵּל וְשׁוֹר הַנִּסְקָל. וְכֵן צָרִיךְ שֶׁיִּהְיֶה דָּבָר שָׁלֵם, שֶׁאִם יֵחָלֵק אֵין שְׁמוֹ עָלָיו, לַאֲפוּקֵי חֵלֶב. וְכֵן צָרִיךְ. שֶׁיִּהְיֶה שָׁלֵם. הַגָּה: וְעִקַּר גִּיד הַנָּשֶׁה אֵינוֹ אֶלָּא עַל הַכַּף בִּלְבַד, וְהוּא כְּרֹחַב ד' אֶצְבָּעוֹת, וְאִם הוּא שָׁלֵם מִקְרֵי בְּרִיָּה. (בְּאָרֹךְ כְּלָל כ''ח).  

","וַיִּֽזְרַֽח־ל֣וֹ הַשֶּׁ֔מֶשׁ כַּאֲשֶׁ֥ר עָבַ֖ר אֶת־פְּנוּאֵ֑ל וְה֥וּא צֹלֵ֖עַ עַל־יְרֵכֽוֹ׃
"
ד. מצות קידוש החודש,מצווה ד: מצוות עשה לקדש חדשים,4,סימן קג.," מצוות עשה קנ""ג",,," עשין מ""ו","רמב""ם הלכות קדוש החדש פרק א' ופרק ד'",[],"שמות יב, ב. "
,,4,[103],"[u'Positive', 153]","[u'Positive', 153]",TRUE,"[u'Positive Commandments', 46]","[u'Mishneh Torah, Sanctification of the New Month 1']",[],[u'Exodus 12:2']
,,"https://www.sefaria.org/Sefer_HaChinukh.4
","https://www.sefaria.org/Sefer_Mitzvot_Katan,_Remazim.103
","https://www.sefaria.org/Mishneh_Torah,_Positive_Mitzvot.153
","https://www.sefaria.org/Mishneh_Torah,_Positive_Mitzvot.153",,"https://www.sefaria.org/Sefer_Mitzvot_Gadol,_Positive_Commandments,_Remazim.46
","https://www.sefaria.org/Mishneh_Torah,_Sanctification_of_the_New_Month.1
",,"https://www.sefaria.org/Exodus.12:2
"
,,"מצות קדוש החדש - לקדש חדשים ולעבר שנים בבית דין גדול בחכמה סמוך בארץ, ולקבע מועדי השנה על פי אותו קדוש, שנאמר (שמות יב ב) החדש הזה לכם ראש חדשים, כלומר כשתראו חדושה של לבנה, תקבעו לכם ראש חדש, או אפיל","לעבר שנים דכתיב שמור את חד האביב. (שם)
","לקדש חודשים ולחשב שנים וחודשים בבית דין בלבד, שנאמר: ""החודש הזה לכם, ראש חודשים"" (שמות יב,ב).
",,,"שיקדשו בית דין את החדש שנאמר (בא) החדש הזה לכם:
","חָדְשֵׁי הַשָּׁנָה הֵם חָדְשֵׁי הַלְּבָנָה שֶׁנֶּאֱמַר (במדבר כח יד) ""עלַת חֹדֶשׁ בְּחָדְשׁוֹ"" וְנֶאֱמַר (שמות יב ב) ""הַחֹדֶשׁ הַזֶּה לָכֶם רֹאשׁ חֳדָשִׁים"". כָּךְ אָמְרוּ חֲכָמִים הֶרְאָה לוֹ הַקָּדוֹשׁ בָּרוּךְ הוּא לְמשֶׁה בְּמַרְאֵה הַנְּבוּאָה דְּמוּת לְבָנָה וְאָמַר לוֹ כָּזֶה רְאֵה וְקַדֵּשׁ. וְהַשָּׁנִים שֶׁאָנוּ מְחַשְּׁבִין הֵם שְׁנֵי הַחַמָּה שֶׁנֶּאֱמַר (דברים טז א) ""שָׁמוֹר אֶת חֹדֶשׁ הָאָבִיב"": 

",,"הַחֹ֧דֶשׁ הַזֶּ֛ה לָכֶ֖ם רֹ֣אשׁ חֳדָשִׁ֑ים רִאשׁ֥וֹן הוּא֙ לָכֶ֔ם לְחָדְשֵׁ֖י הַשָּׁנָֽה׃
"
ה. מצות שחיטת הפסח,מצווה ה: מצוות עשה לשחוט הפסח ביד' בניסן,5,[]," מצוות עשה נ""ה",,," עשין רכ""ג","רמב""ם הלכות קרבן פסח פרק א'",[],"שמות יב, ו."
,,5,[],"[u'Positive', 55]","[u'Positive', 55]",TRUE,"[u'Positive Commandments', 223]","[u'Mishneh Torah, Paschal Offering 1']",[],[u'Exodus 12:6']
,,"https://www.sefaria.org/Sefer_HaChinukh.5
",,"https://www.sefaria.org/Mishneh_Torah,_Positive_Mitzvot.55
","https://www.sefaria.org/Mishneh_Torah,_Positive_Mitzvot.55",,"https://www.sefaria.org/Sefer_Mitzvot_Gadol,_Positive_Commandments,_Remazim.223
","https://www.sefaria.org/Mishneh_Torah,_Paschal_Offering.1
",,"https://www.sefaria.org/Exodus.12:6
"
,,"מצות שחיטת הפסח - לשחט ביום ארבעה עשר בניסן בין הערבים שה תמים זכר בן שנה, או גדי בבית הבחירה, וזה נקרא קרבן הפסח, שנאמר (שמות יב ו) ושחטו אתו כל קהל עדת ישראל בין הערבים. וענין המצוה הוא, שמתקבצים אנ",,"לשחוט כבש הפסח, שנאמר: ""וְשָׁחֲטוּ אֹתוֹ כָּל קְהַל "" (שמות יב, ו).
",,,"לשחוט זה תמים זכר בן שנה לשם פסח בזמנו שנ' (בא) שה תמים זכר בן שנה יהיה לכם וגומר שם בארנו הלכות שחיטת פסח:
","מִצְוַת עֲשֵׂה לִשְׁחֹט אֶת הַפֶּסַח בְּאַרְבָּעָה עָשָׂר לְחֹדֶשׁ נִיסָן אַחַר חֲצוֹת. וְאֵין שׁוֹחֲטִין אֶלָּא מִן הַכְּבָשִׂים אוֹ מִן הָעִזִּים בִּלְבַד זָכָר בֶּן שָׁנָה. וְאֶחָד הָאִישׁ וְאֶחָד הָאִשָּׁה חַיָּבִין בְּמִצְוָה זוֹ:

",,"וְהָיָ֤ה לָכֶם֙ לְמִשְׁמֶ֔רֶת עַ֣ד אַרְבָּעָ֥ה עָשָׂ֛ר י֖וֹם לַחֹ֣דֶשׁ הַזֶּ֑ה וְשָׁחֲט֣וּ אֹת֗וֹ כֹּ֛ל קְהַ֥ל עֲדַֽת־יִשְׂרָאֵ֖ל בֵּ֥ין הָעַרְבָּֽיִם׃
"
ו. מצות אכילת בשר הפסח,מצווה ו: מצוות עשה לאכול בשר הפסח בליל טו' בניסן,6,[]," מצוות עשה נ""ו",,," עשין רכ""ה","רמב""ם הלכות קרבן פסח פרק ח'",[],"שמות יב, ח."
,,6,[],"[u'Positive', 56]","[u'Positive', 56]",TRUE,"[u'Positive Commandments', 225]","[u'Mishneh Torah, Paschal Offering 8']",[],[u'Exodus 12:8']
,,"https://www.sefaria.org/Sefer_HaChinukh.6
",,"https://www.sefaria.org/Mishneh_Torah,_Positive_Mitzvot.56
","https://www.sefaria.org/Mishneh_Torah,_Positive_Mitzvot.56",,"https://www.sefaria.org/Sefer_Mitzvot_Gadol,_Positive_Commandments,_Remazim.225
","https://www.sefaria.org/Mishneh_Torah,_Paschal_Offering.8
",,"https://www.sefaria.org/Exodus.12:8
"
,,"מצות אכילת בשר הפסח - לאכל בשר הפסח בליל חמשה עשר בניסן על פי תנאים שבכתוב, שנאמר (שמות יב ח) ואכלו את הבשר בלילה הזה.
",,"לאכול בשר הפסח צלי בלילי חמישה עשר מניסן, שנאמר: ""וְאָכְלוּ אֶת הַבָּשָׂר"" (שמות יב, ח).
",,,"לאכול הפסח כמשפטו בליל ט""ו שנאמר (בא) ואכלו את הבשר בלילה הזה צלי אש ומצות על מרורים יאכלוהו:
","אֲכִילַת בְּשַׂר הַפֶּסַח בְּלֵיל חֲמִשָּׁה עָשָׂר מִצְוַת עֲשֵׂה שֶׁנֶּאֱמַר (שמות יב ח) ""וְאָכְלוּ אֶת הַבָּשָׂר בַּלַּיְלָה הַזֶּה צְלִי אֵשׁ וּמַצּוֹת עַל מְרֹרִים יֹאכְלֻהוּ"":

",,"וְאָכְל֥וּ אֶת־הַבָּשָׂ֖ר בַּלַּ֣יְלָה הַזֶּ֑ה צְלִי־אֵ֣שׁ וּמַצּ֔וֹת עַל־מְרֹרִ֖ים יֹאכְלֻֽהוּ׃
"
ז. שלא לאכול הפסח נא ומבשל,"מצווה ז: מצוות לא תעשה, שלא לאכול פסח נא ומבושל",7,[]," לא תעשה קכ""ה",,," לאוין ש""נ","רמב""ם הלכות קרבן פסח פרק ח'",[],"שמות יב, ט."
,,7,[],"[u'Negative', 125]","[u'Negative', 125]",TRUE,"[u'Negative Commandments', 350]","[u'Mishneh Torah, Paschal Offering 8']",[],[u'Exodus 12:9']
,,"https://www.sefaria.org/Sefer_HaChinukh.7
",,"https://www.sefaria.org/Mishneh_Torah,_Negative_Mitzvot.125
","https://www.sefaria.org/Mishneh_Torah,_Negative_Mitzvot.125",,"https://www.sefaria.org/Sefer_Mitzvot_Gadol,_Negative_Commandments,_Remazim.350
","https://www.sefaria.org/Mishneh_Torah,_Paschal_Offering.8
",,"https://www.sefaria.org/Exodus.12:9
"
,,"שלא לאכל הפסח נא ומבשל - שלא לאכל מבשר הפסח נא ובשל כי אם צלי אש, שנאמר (שמות יב - ט) אל תאכלו ממנו נא ובשל מבשל במים כי אם צלי אש. הענין הזה, שלא יאכל אותו קדם גמר בשולו אפילו בצלי, וזהו פרוש נא, (פס",,"שלא לאכול בשר הפסח נא ומבושל, שנאמר ""אל תאכלו ממנו נא, ובשל"" (שמות יב,ט).
",,,"שלא לאכול מבשר הפסח נא שנאמר לא תאכל ממנו נא:
","אֲכִילַת בְּשַׂר הַפֶּסַח בְּלֵיל חֲמִשָּׁה עָשָׂר מִצְוַת עֲשֵׂה שֶׁנֶּאֱמַר (שמות יב ח) ""וְאָכְלוּ אֶת הַבָּשָׂר בַּלַּיְלָה הַזֶּה צְלִי אֵשׁ וּמַצּוֹת עַל מְרֹרִים יֹאכְלֻהוּ"":

",,"אַל־תֹּאכְל֤וּ מִמֶּ֙נּוּ֙ נָ֔א וּבָשֵׁ֥ל מְבֻשָּׁ֖ל בַּמָּ֑יִם כִּ֣י אִם־צְלִי־אֵ֔שׁ רֹאשׁ֥וֹ עַל־כְּרָעָ֖יו וְעַל־קִרְבּֽוֹ׃
"
ח. שלא להותיר מבשר הפסח,"מצווה ח: מצוות לא תעשה, שלא להותיר מהפסח למחר",8,[]," לא תעשה קי""ז",,," לאוין שנ""ח","רמב""ם הלכות קרבן פסח פרק י' הלכה יא'",[],"שמות יב, י."
,,8,[],"[u'Negative', 117]","[u'Negative', 117]",TRUE,"[u'Negative Commandments', 358]","[u'Mishneh Torah, Paschal Offering 10:11']",[],[u'Exodus 12:10']
,,"https://www.sefaria.org/Sefer_HaChinukh.8
",,"https://www.sefaria.org/Mishneh_Torah,_Negative_Mitzvot.117
","https://www.sefaria.org/Mishneh_Torah,_Negative_Mitzvot.117",,"https://www.sefaria.org/Sefer_Mitzvot_Gadol,_Negative_Commandments,_Remazim.358
","https://www.sefaria.org/Mishneh_Torah,_Paschal_Offering.10:11
",,"https://www.sefaria.org/Exodus.12:10
"
,,"שלא להותיר מבשר הפסח - שלא להותיר כלום מבשר הפסח למחרתו, שהוא יום חמשה עשר בניסן, שנאמר (שמות יב י) ולא תותירו ממנו עד בקר.
",,"שלא להותיר מבשר הפסח, שנאמר ""ולא תותירו ממנו, עד בוקר"" (שמות יב,י).
",,,"שלא להותיר מבשר הפסח שנא' לא תותירו ממנו עד בקר:
","כְּשֶׁאָדָם אוֹכֵל אֶת הַפֶּסַח חוֹתֵךְ הַבָּשָׂר וְאוֹכֵל וְחוֹתֵךְ הָעֲצָמוֹת מִן הַפֶּרֶק וּמְפָרְקָן אִם רָצָה. וּכְשֶׁיַּגִּיעַ לְגִיד הַנָּשֶׁה מוֹצִיאוֹ וּמַנִּיחוֹ עִם שְׁאָר הַגִּידִים וְהָעֲצָמוֹת וְהַקְּרוּמוֹת שֶׁיּוֹצְאִין בִּשְׁעַת אֲכִילָה. שֶׁאֵין מְנַקִּין אוֹתוֹ כִּשְׁאָר הַבָּשָׂר וְאֵין מְחַתְּכִין אוֹתוֹ אֶלָּא צוֹלִין אוֹתוֹ שָׁלֵם. וְאִם חֲתָכוֹ חֲתִיכוֹת חֲתִיכוֹת כָּשֵׁר וְהוּא שֶׁלֹּא יֶחְסַר אֵיבָר. צָרִיךְ אָדָם לְהִשְׁתַּדֵּל שֶׁלֹּא יַשְׁאִיר מִבְּשַׂר הַפֶּסַח עַד בֹּקֶר שֶׁנֶּאֱמַר (שמות יב י) ""לֹא תוֹתִירוּ מִמֶּנּוּ עַד בֹּקֶר"". וְכֵן בַּשֵּׁנִי שֶׁנֶּאֱמַר (במדבר ט יב) ""לֹא יַשְׁאִירוּ מִמֶּנּוּ עַד בֹּקֶר"". וְאִם הִשְׁאִיר מִמֶּנּוּ בֵּין בָּרִאשׁוֹן בֵּין בַּשֵּׁנִי עָבַר בְּלֹא תַּעֲשֶׂה. וְאֵינוֹ לוֹקֶה עַל לָאו זֶה שֶׁהֲרֵי נִתָּק לַעֲשֵׂה שֶׁנֶּאֱמַר (שמות יב י) ""וְהַנֹּתָר מִמֶּנּוּ בָּאֵשׁ תִּשְׂרֹפוּ"": 

",,"וְלֹא־תוֹתִ֥ירוּ מִמֶּ֖נּוּ עַד־בֹּ֑קֶר וְהַנֹּתָ֥ר מִמֶּ֛נּוּ עַד־בֹּ֖קֶר בָּאֵ֥שׁ תִּשְׂרֹֽפוּ׃
"
ט. מצות השבתת החמץ,מצווה ט: מצוות עשה לבער חמץ בערב פסח,9," סימן צד, וצ""ח."," מצוות עשה קנ""ו",,," עשין ל""ט","רמב""ם הלכות חמץ ומצה פרק ב'"," אורח חיים סימן תל""א עד סימן תמ""א","שמות יב, טו."
,,9,"[94, 98, [...]]","[u'Positive', 156]","[u'Positive', 156]",TRUE,"[u'Positive Commandments', 39]","[u'Mishneh Torah, Leavened and Unleavened Bread 2']","[u'Shulchan Arukh, Orach Chayim 431']",[u'Exodus 12:15']
,,"https://www.sefaria.org/Sefer_HaChinukh.9
","https://www.sefaria.org/Sefer_Mitzvot_Katan,_Remazim.94
https://www.sefaria.org/Sefer_Mitzvot_Katan,_Remazim.98
https://www.sefaria.org/Sefer_Mitzvot_Katan,_Remazim.94
https://www.sefaria.org/Sefer_Mitzvot_Katan,_Remazim.98
","https://www.sefaria.org/Mishneh_Torah,_Positive_Mitzvot.156
","https://www.sefaria.org/Mishneh_Torah,_Positive_Mitzvot.156",,"https://www.sefaria.org/Sefer_Mitzvot_Gadol,_Positive_Commandments,_Remazim.39
","https://www.sefaria.org/Mishneh_Torah,_Leavened_and_Unleavened_Bread.2
","https://www.sefaria.org/Shulchan_Arukh,_Orach_Chayim.431
","https://www.sefaria.org/Exodus.12:15
"
,,"מצות השבתת החמץ - להסיר כל לחם חמץ ממשכנותינו ביום ארבעה עשר בניסן, שנאמר (שמות יב: טו) אך ביום הראשון תשביתו שאור מבתכם. ופרושו ''הראשון'', קדם לפסח.
","להשבית חמץ דכתיב ביום הראשון תשביתו (שמות יב)
לבדוק חמץ אור לארבעה עשר.
להשבית חמץ דכתיב ביום הראשון תשביתו (שמות יב)
לבדוק חמץ אור לארבעה עשר.
","לבער חמץ, שנאמר: ""ביום הראשון, תשביתו שאור מבתיכם"" (שמות יב,טו).
",,,"להשבית חמץ בי""ד שנאמר (בא) ביום הראשון תשביתו שאור מבתיכם. שם בארנו הלכות ביעור חמץ:
","מִצְוַת עֲשֵׂה מִן הַתּוֹרָה לְהַשְׁבִּית הֶחָמֵץ קֹדֶם זְמַן אִסּוּר אֲכִילָתוֹ שֶׁנֶּאֱמַר (שמות יב טו) ""בַּיּוֹם הָרִאשׁוֹן תַּשְׁבִּיתוּ שְּׂאֹר מִבָּתֵּיכֶם"". וּמִפִּי הַשְּׁמוּעָה לָמְדוּ שֶׁבָּרִאשׁוֹן זֶה הוּא יוֹם אַרְבָּעָה עָשָׂר. רְאָיָה לְדָבָר זֶה מַה שֶּׁכָּתוּב בַּתּוֹרָה (שמות לד כה) ""לֹא תִשְׁחַט עַל חָמֵץ דַּם זִבְחִי"" כְּלוֹמַר לֹא תִּשְׁחַט הַפֶּסַח וַעֲדַיִן הֶחָמֵץ קַיָּם. וּשְׁחִיטַת הַפֶּסַח הוּא יוֹם אַרְבָּעָה עָשָׂר אַחַר חֲצוֹת: 

","<b>זמן בדיקת החמץ. ובו ב' סעיפים:</b><br> בתחלת ליל י""ד בניסן בודקין את החמץ לאור הנר בחורין ובסדקין בכל המקומות שדרך להכניס שם חמץ:
","שִׁבְעַ֤ת יָמִים֙ מַצּ֣וֹת תֹּאכֵ֔לוּ אַ֚ךְ בַּיּ֣וֹם הָרִאשׁ֔וֹן תַּשְׁבִּ֥יתוּ שְּׂאֹ֖ר מִבָּתֵּיכֶ֑ם כִּ֣י ׀ כָּל־אֹכֵ֣ל חָמֵ֗ץ וְנִכְרְתָ֞ה הַנֶּ֤פֶשׁ הַהִוא֙ מִיִּשְׂרָאֵ֔ל מִיּ֥וֹם הָרִאשֹׁ֖ן עַד־י֥וֹם הַשְּׁבִעִֽי׃
"
י. מצות אכילת מצה,מצווה י: מצוות עשה לאכול מצה בליל ראשון של פסח,10," סימן רי""ט."," מצוות עשה קנ""ח",,,עשין מ',"רמב""ם הלכות חמץ ומצה פרק ו'"," אורח חיים סימן תע""א","שמות יב, יח."
,,10,[219],"[u'Positive', 158]","[u'Positive', 158]",TRUE,"[u'Positive Commandments', 40]","[u'Mishneh Torah, Leavened and Unleavened Bread 6']","[u'Shulchan Arukh, Orach Chayim 471']",[u'Exodus 12:18']
