Index Title,Be'er Mayim Chaim on Torah,
"Be'er Mayim Chaim on Torah, Genesis 1:1:17","והיחוד השני, הוא מתתא לעילא. כי ידוע אשר האדם נקרא עולם קטן, לפי שהוא כלול מכל העולמות שלמעלה ושלמטה אשר בשמים ובארץ, כי נשמתו מן השמים ונכללה מכל העולמות שלמעלה בארבעה בחינותיה: נפש, רוח, ונשמה, ונשמה לנשמה, אשר נלקחה מארבע העולמות. אצילות, בריאה, יצירה, עשיה, הידוע ליודעי חן. וגופו מן הארץ הנכלל מארבע יסודות: אש, רוח, מים, עפר. שהם שורש כל הנבראים שבארץ מהדומם, צומח, חי, מדבר, כללותיהם ופרטותיהם הכל אשר לכל יסודותם ושורשם מהארבע יסודות אלו, כמו שכתב הרמב""ם ז""ל <small>(פרק ד' מהלכות יסודי התורה)</small> עיין שם, באר היטב. ",
"Be'er Mayim Chaim on Torah, Genesis 1:1:18","וכאשר האדם מקשר ומדבק עצמו עם נשמתו וכל כח גופו אל ה' אלהיו בשלימות, היינו שלא יעשה שום עשיה ולא לדבר שום דיבור ולא לחשוב בשום מחשבה ולא יזוז בשום אבר כי אם באופן שימצא מקום לה'. וכאשר הוא מדבק עצמו באמת לאמיתו כן, הנה כל בחינה אשר בשמים ממעל ואשר בארץ מכל הדברים הכלולים ושייכים אל שורש נשמתו נצמדים ונדבקים ונקשרים אתו עמו אל ה' אלהיהם באהבה עזה ונפלאה בחדוה ושמחה. וזה העיקר נחת רוח שצפה הקב""ה לקבל מעולמו, וזה היחוד נקרא מתתא לעילא כי מיחד ומקשר הארץ וכל אשר עליה לרוכב שמים. וזה ענין העלאת מיין נוקבין והורדת מיין דכורין כידוע. ואל זה רמז המשורר בזמירות של שבת, ""ואשרי כל חוכי לתשלומי כפל"", שמתאוה ומצפה תמיד להשלים הכפל השני יחודים האלו מתתא לעילא ומעילא לתתא. ",
"Be'er Mayim Chaim on Torah, Genesis 1:1:19","ושני בחינות היחודים הללו רומזים למה שמבואר בהקדמת עץ חיים בשם האר""י ז""ל: אשר בריאת העולם היה בשביל שני דברים, ושהוא בכדי להיטיב לבריותיו, ובגין דישתמודעין ליה, עיין שם. כי היחוד מעילא לתתא הוא בכדי להיטיב לבריותיו, כי זה כל בחינת היחוד הלז להמשיך שפע אור וברכה לכל העולמות כאמור. והיחוד מתתא לעילא הוא בגין דישתמודעין ליה, כי זה כל תכלית הבריאה שידע כל פעול כי אתה פעלתו ויבין כל יצור כי אתה יצרתו ויאמר כל אשר נשמה באפו ה' אלהי ישראל מלך וכו', ועל ידי כך יצמא נפשו ויכמה בשרו להדבק ולהתקשר במלך חי העולמים ברוך הוא וברוך שמו בקשר אמיץ וחזק בל תמוט עולם ועד. ",
"Be'er Mayim Chaim on Torah, Genesis 1:1:20","וזה רמזו בית שמאי ובית הלל בדבריהם, כי מר אמר חדא ומר אמר חדא ולא פליגי כלל. ובית שמאי מדברים בבחינת הטעם הטוב במה שברא הקב""ה את עולמו שהוא בכדי להיטיב לבריותיו, ועל כן אמרו שמים נבראו תחילה לרמז על היחוד השלם אשר מעילא לתתא שהוא להמשיך משמים שפע אור על הארץ ולדרים עליה בכדי להיטיב לבריותיו. ובית הלל מדברים מטעם השני שהוא בגין דישתמודעין ליה. ועל כן אמרו ארץ נבראת תחילה לרמז על היחוד השלם מתתא לעילא לקשר ולדבק הארץ וכל אשר עליה לשמי השמים ויאמר כל אשר נשמה באפו ה' אלהי ישראל מלך וכו' בגין דישתמודעין ליה להדר שמו בכל הארץ. ועל כן אמר רבי יוחנן משום חכמים לבריאה שמים קדמו, כי ידוע אשר בעת הבריאה לא היה שום איתערותא מלתתא כי לא היה אז שום בריאה להעשות איתערותא מאתו, והיה העלאת מיין נוקבין מניה וביה בכדי לברוא את העולם כמו שאיתא כל זאת בדברי האר""י ז""ל, ועל כן היה תחילה היחוד מעילא לתתא, ולזה לבריאה שמים קדמו. אבל לשכלול, שהוא היסוד והעיקר במה שצפה הקב""ה לקבל נחת רוח מעולמו, הנה ודאי תכלית הבריאה היתה שיהיה איתערותא מתתא לעילא עולה תחילה בכל הדברים, ועל ידי האיתערותא דלתתא מתעורר לעילא להיות על ידי זה הקב""ה מיטיב לבריותיו אשר ברא בידו הגדולה בבחינת היחוד מעילא לתתא, וזה לשכלול הארץ קדמה, כלומר בבחינת היחוד, מתתא לעילא צריך לקדם, כי הוא העיקר והיסוד הקודם. ",
"Be'er Mayim Chaim on Torah, Genesis 1:1:21","ואולם תדע שאף גם זאת האיתערותא מתתא לעילא הנצרך לקדמה, בלתי אפשרי להיות אם לא תקדים אליה שפע אור מעילא לתתא בכדי שיוכל לעשות איתערותא מתתא לעילא. וידוע מאמר חז""ל <small>(קדושין ל':)</small> אלמלא הקב""ה עוזרו לא היה יכול לו. ואך, שני הבחינות האלו נעשים כאחד כמאמר חז""ל <small>(תענית כ""ה:)</small> אין טיפה יורד מן השמים שאין טפיים עולין כנגדם מן התהום. וכידוע מכוונות האר""י ז""ל בשים שלום שהורדת מיין דכורין והעלאת מיין נוקבין נעשה בפעם אחד ככלה היוצאת לקראת החתן. ועל כן אמר רבי שמעון בן יוחאי תמיהני איך נחלקו אבות העולם וכו', אלא שניהם כאחד נבראו קורא אני עליהם יעמדו יחדיו, רומז אל הבחינה הלז במה שנעשה ברגע אחד היחוד מעילא לתתא ומתתא לעילא. כדבר האמור. ",
"Be'er Mayim Chaim on Torah, Genesis 1:1:22","וזה שאמר בראשית ברא אלהים. כלומר ב' ראשית ברא, ומה הם השתי ראשית, את השמים ואת הארץ. כלומר בחינת היחוד מעילא לתתא המתחיל משמים ויורד על הארץ. ובחינת היחוד מתתא לעילא העולה מן הארץ לשמים. ועבור זה חלקן בשני אתין ולא אמר השמים והארץ לרמז כי זה בחינה לבד וזה גם כן בחינה לבד, ובכל אחד מהיחודים הללו ההתחילה שלו נקרא ראש וזה ב' ראשית כנ""ל. ",
"Be'er Mayim Chaim on Torah, Genesis 1:1:23","אכן אמר הכתוב והארץ היתה תוהו ובוהו ופירש התרגום צדיא ורקניא כלומר בעת הבריאה לא היה עדיין מי שיגרום היחוד מתתא לעילא כמו שכתוב <small>(בראשית ב', ה')</small> ואדם אין לעבוד את האדמה. ועל כן אמר אלהים יהי אור, ואמרו חז""ל <small>(בראשית רבה א', ו')</small> זה מעשיהן של צדיקים כלומר שצפה הקב""ה במעשיהן של צדיקים ועל ידי כך העלה המיין נוקבין מניה וביה וברא את עולמו. כידוע לטועמי מעץ החיים. ",
"Be'er Mayim Chaim on Torah, Genesis 1:1:24","ג עוד ירמוז הכתוב באומרו בראשית ברא אלהים וגו'. הנה איתא בתיקוני זוהר בכמה מקומות בראשית, ברא שית ואינון שית אתוון בתיבת בראשית. ולעמוד על תוכן הענין נראה בהקדם לתת לב להבין מאמר חז""ל <small>(בראשית רבה א', י')</small> למה נברא העולם בב', מה ב' יש לו שני עוקצין אחד מלמעלה ואחד מלמטה מאחוריו, אומרים לב' מי בראך והוא מראה בעוקצו מלמעלה ואומר זה שלמעלה בראני, ומה שמו והוא מראה להן בעוקצו של אחריו ואומר ה' שמו. וכבר הארכנו בספרנו <small>(סידורו של שבת חלק ב' דרוש ב' עיין שם)</small> בביאור מאמר הלז וכאן לקצר באנו להבין מקצת הענין בדרך אחרת, והוא על פי מה שאיתא בזוה""ק <small>(בראשית כ""א.)</small> וזה לשונו: רזא סתימן דמחשבה ולא ידיע עד דאתפשט נהירו מניה באתר דאית ביה רשימין דאתוון כולהו מתמן נפקין, בריש כולא א' רישא וסיפא דכל דרגין, רשימו דאתרשים ביה כולהו דרגין ולא איקרי אלא אחד לאחזאה דאף על גב דאית ביה דיוקנין סגיאין לאו איהו אלא חד וכו', ראשיתא דאל""ף טמירא דרזא דמחשבה עילאה וכו', אמצעיתא דא' שית דרגין כלילין ביה וכו', עד דהוי אברהם יתיב פתח האהל וכו'. עד כאן. וביאור דבריו להבין קצת ענין אות האל""ף שמספרו אחד הוא מטעם שצורתו הוא להעיד על האחדות האמיתי של בוראינו ברוך הוא וברוך שמו יתברך ויתעלה. כי היו""ד שלמעלה מורה על מחשבה עילאה, והוא""ו שבאמצע מורה על שית דרגין, ויו""ד שאחריה מורה על מדת מלכות בחינת פתח האהל, ומרמז בזה לומר אני ראשון ואני אחרון ומבלעדי אין אלהים. ואל האחדות האמיתי הזה רמזה התורה במלת בראשית ברא אלהים. כי בראשית, הוא שית אתוון רומז אל הוא""ו שבאמצע האל""ף בחינת שית דרגין. ברא אלהים, רומז אל היו""ד שאחורי האל""ף מדת מלכות שהוא בחינת אלהים כנודע. והנה חסר עוד רמז אל היו""ד העליונה של האל""ף, וכאן השלימה הב' של בראשית בקוצה שלמעלה שהוא בחינת יו""ד, לרמז אל היו""ד העליונה שבאל""ף, ולהורות על אחדות השלם בחינת אני ראשון ואני אחרון וגו'. ",1
"Be'er Mayim Chaim on Torah, Genesis 1:1:25","והנה ידוע אשר אל""ף כזה א שהוא יו""י מורה על שם הוי""ה כי מספרו כמספר שם הוי""ה ברוך הוא. וזה ששואלין לב' מי בראך כלומר אילו השית דרגין המרומז בשית אתוון שבך, והוא מראה בעוקצו מלמעלה ואומר זה שלמעלה בראני רומז אל היו""ד שלמעלה טמירו דרזא דמחשבה עילאה. ואומרים לו ומה שמו כלומר היכן מרומז שם שיורה על האחדות הלז, והיא מראה בקוצה שלאחריה ואומר ה' שמו כלומר שמראה אל האות האל""ף שאחוריה שהוא הוא המורה על האחדות האמיתי הלז בסוד הכתוב <small>(ישעיה מ""ד, ו')</small> אני ראשון ואני אחרון וגו'. ומספרו כשם ה' שם הוי""ה ברוך הוא, וזהו ה' שמו. וכיון שבשלוש תיבות הללו בראשית ברא אלהים נשלמה אות האל""ף המורה על אחד יחיד ומיוחד בשמים ובארץ, רמזה תורתינו הקדושה בסופי תיבותיהן אמת כי גם תיבת אמת מורה על אחדות האמיתי הלז כי הוא ראש תוך סוף מן הא""ב כידוע, להורות על אני ראשון ואני אחרון ומבלעדי וגו'. ",
"Be'er Mayim Chaim on Torah, Genesis 1:1:26","והנה גם כל התורה כולה בכללה רמזה אל האחדות הגמור, כי מתחלת בקוצו של ב' שלמעלה הרומזת ליו""ד הראשונה של אל""ף טמירו דרזא דמחשבה עילאה. והתורה בתרי""ג מצוותיה רומזין אל השית דרגין הנמשכים מי""ג מכילין דרחמין, ושית הדרגין ידוע אשר כל אחד כלול ממאה הרי תרי""ג. וסיום התורה בלמ""ד של לעיני כל ישראל, ונמצא סוף התורה ברגל התחתון של הלמ""ד המורה על עולם התחתון. כי ידוע אשר הלמ""ד היא בחינת סולם מוצב ארצה וראשו מגיע השמימה, ורומז גם כן לשלוש בחינות הללו ראש תוך סוף בסוד האחדות אני ראשון ואני אחרון וגו', והוא סוד מה שאמרו חז""ל <small>(חגיגה ט""ו:)</small> במגדל הפורח באויר שכתבו המקובלים שהוא סוד הלמ""ד, כי היא מדמה את עצמה לאל""ף שהיה בסוד אויר קודם שנראה אור כידוע. על כן התחלת התורה והתורה בכללה וסופה מורים על האחדות המרומז באל""ף להורות על אני ראשון ואני אחרון. ",
"Be'er Mayim Chaim on Torah, Genesis 1:1:27","גם בתיבת בראשית לבד מרומז על יחוד הלז בשלוש בחינות הללו, כי היו""ד שבקוצי ב' מלמעלה ושית אתוון בתיבת בראשית הם י""ו של האל""ף כאמור, ורגל האחרון היוצא מן התי""ו רומז למדת המלכות סיפא דכל דרגין כי גם התי""ו עצמה רומזת אל מדת המלכות כידוע, אך הרגל של התי""ו מורה יותר להשלים אחדות האל, כי בעת אשר מדת המלכות נקראת על שם אות הדל""ת אז היא ח""ו בבחינת עניה ודלה דלית לה מגרמה כלום, ואז נכנס בדל""ת רגל התי""ו של מילוי הדל""ת ונעשה מן הדל""ת ה""א בסוד הא לכם זרע, ונתתקן בבחינת שדה הראוי לזריעה ונשאר מהתי""ו חי""ת ומהדל""ת נעשה ה""א. וה""א וחי""ת עולים מספר י""ג שהוא אחד, אשר על כן גם תיבת בראשית לחוד מורה בשלוש בחינות האל""ף הללו, והוא האחדות האמיתי אני ראשון ואני וגו'. ",
