masechet,commentary,perek,halakha,page,comment,dh,base text ref,base text,problem,prev found match,next found match,index
Megillah,"חת""ם סופר",1,0,1a,"@11ואימא י""ו וי""ז ר""א וכו' ולא יעבר לא יעברו ר""י וכו' לא יעבר ולא יעבר. @33נ""ל הך מ""ד דיליף ליה מדכתיב וימי הפורים האלה לא יעברו מתוך היהודים ס""ל כריב""ק דמוקף חומה בימי אחשורוש ולא ביב""נ תליא ובימי אחשורוש לא שייך אעפ""י שאין לו עכשיו והיה לו קודם לכן דלא שייך קדושה לעתיד לבוא. וא""כ איך אפשר לומר ב' ימים הפורים האלו לא יעברו הלא אם יחרבו כל אותם חומות שהיו בימי אחשורוש וגם בשושן לא ישבו יהודים הרי נעקר ט""ו לגמרי ואיך יאמר לא יעברו. ודוחק לומר בזה ברה""ק נאמר שלא יחרבו ערי אחשורוש לעולם. אע""כ לא יעברו ר""ל לא יעברו מזמנם לזמן ט""ז אלא מקדימים ולא מאחרין:","ואימא י""ו וי""ז ר""א וכו' ולא יעבר",,,no ref,JTmock Megillah 3:2:4,JTmock Megillah 1:1:5,0
Megillah,"חת""ם סופר",1,0,5a,"@11וסעודת פורים מאחרין ולא מקדימין. @33נ""ב עיין במג""א ססי' תרפ""ח ושו""ת חתם סופר או""ח קצ""ו. @11כל מקום ששנה רבי מחלוקת ואח""כ שנה סתם וכו' @33ופליגי לחד מ""ד סתם במתני' ומחלוקת בברייתא אין הלכה כסתם דתלינן רבי לא ידע הברייתא ואלו הוה ידע הוה הדר ביה ולאידך מ""ד ס""ל דברבי שאני דגברא רבא כמותי אין לתלות בו שלא ידע דודאי את הכל ראה וידע ואפ""ה סתם דלא כמחלוקת בברייתא. ועיין בח""ס אהע""ז ח""ב סי' ע""א ד""ה האמנם הרמ""א:",וסעודת פורים מאחרין ולא מקדימין,Jerusalem Talmud Megillah 1:4:3,"באלו אמרו מקדימין ולא מאחרין קריאת מגילה ותרומת שקלים מקדימין ולא מאחרין סעודת ראש חדש וסעודת פורים מאחרין ולא מקדימין ר' זעירה בעא קומי ר' אבהו ויעשו אותן שבת א""ל (אסתר ט) לעשות אותם ימי משתה ושמחה את ששמחתו תלויה בב""ד יצא זה ששמחתו תלויה בידי שמים",suspect for two comments,,,2
Shekalim,"חת""ם סופר",1,0,4b,"@11העכו""ם והכותי ששקלו איך מקבלין מהם וגו' וכן מפורש ע""י עזרא לא לכם ולנו לבנות בית לאלקינו. @33פי' וממותרי שקלים בונין בבהמ""ק ועיין לקמן בירושלמי וברמב""ם פ""א משקלים. וצ""ע דבלאו האי טעמא נמי איך מקבלין דהא קרבנות צבור אינן באין משלהם כע""ש תוס' מנחות ע""ג ע""ב ד""ה איש איש. ומכ""ש למ""ד התם דאין מביאין משל גוי אלא עולת וא""כ איך יתנו שקלים ויביאו מהם מנחות ושלמי ציבור וחטאות. והרי מטעם זה אין הכהנים שוקלים משום דכתיב וכל מנחת כהך כליל תהיה. ומיהו י""ל אה""נ אלא חדא מתרי ותלת טעמי נקט ונקיט טפי הך קרא דעזרא משום דלא תקשי לנו הא בפ' שקלים כתיב כי תשא את ראש בנ""י וגו' ונתנו איש כופר וגו' וא""כ נהי דבני ישראל ממעט גוים מ""מ נימא איש לרבות גוים ויהיה ממועט משום דבר ומרבינן לי' לשום דבר כמו בערכיך [מס' ערכין ה' ע""ב] ומ""ט נאמר שאיך מקבלים מהם שום שקלים בשום אופן. וע""כ צריך לומר דמוקמי' איש לרבות מופלא סמוך לאיש דישראל [עי' נזיר דף ס""ב ע""א] ומייתי' ראיה לזה מדכתיב לא לכם ולנו ואי ס""ד איש אתי' לרבוי' גוי א""כ גם בערכין מרבינן גוי גדול היודע להפלאות עכ""פ ומ""ע לא קבל עזרא שקלים מהם. אע""כ איש הכא והתם לא אתי אלא לרבוי' מופלא סמוך לאיש דישראל וק""ל. עוד נראה דמפרש קרא הכי כיון דמ""ע על בניו בהמ""ק דאורייתא מוטל על ישראל ואין אנו יוצאים י""ח אם משתתפים גוים בבנינו והיינו לא לכם ולנו. וממילא ה""ה שקלים לקרבנות צבור אין אנו יוצאים ידי חובותינו בשותפות גוי. ונ""ל דש""ס דערכין ה' ע""ב קאי אסיפי' דקרא אין לכם חלק וזכרון בירושלים דליכא מ""ע לבנות ירושלים:","העכו""ם והכותי ששקלו איך מקבלין מהם וגו'",,,no ref,Jerusalem Talmud Shekalim 1:3:1,JTmock Shekalim 2:5:2,2
Shabbat,"חת""ם סופר",1,0,19a,"@11בשיורי קרבן @33ד""ה וקשיא על דר' יוסי וקשה הא ר' יוסי סובר הבערה ללאו יצאה. י""ל חייב מלקות בהתרו בו וכפירש""י פ' המצניע צ""ד ע""א וע""ש תוס' ד""ה אלא אימא וכו' אבל מ""מ קשיא לישנא דקאמר הבערה למדה וכו' ולר' יוסי לאו מהבערה ילפינן לחלק:","בשיורי קרבן ד""ה וקשיא על דר' יוסי",,,no ref,Jerusalem Talmud Shabbat 1:5:2,JTmock Shabbat 2:5:9,13
Shabbat,"חת""ם סופר",1,0,21a,"@11שהיד שולטת @33עיין מג""א סי' שי""ח ס""ק כ""ח נראה דמפרש יד שולטת כמו יד סולדת ודלא כשפתי כהן י""ד סי' ק""ה וכן השיב בשאלות ותשובות בית יעקב סי' כ' להש""ך מדברי הערוך ערך סלד ע""ש מיהו מצאתי חידושי רמב""ן סוף ע""ז דמפרש כמו שפירש הש""ך ע""ש:","שהיד שולטת עיין מג""א סי' שי""ח ס""ק",,,no ref,Jerusalem Talmud Shabbat 2:5:9,JTmock Shabbat 3:3:14,15
Shabbat,"חת""ם סופר",1,0,25b,"@11הרי חטין בזריעה וכו' @33מפשט פשיטא ליה דחטין שזרען בקרקע וביצה שתחת התרנגולת אסורים ובש""ס בבלי מבעיא ליה והקרבן עדה הרגיש בזה ולא קשה מידי הכא לר""י דהא ר""י כר""י סבירא ליה חוץ במחתכין נבילה משום דלא דחיא וגם יושב ומצפה דמיירי במסוכנת שמתה כמבואר בתוס' במס' שבת ע""ה ע""ב ד""ה אין לנו ומשום הכי פשיטא ליה לאיסור והתם אליבא דר""ש קא מיבעיא ליה וליה לא ס""ל ופשוט מאד:",הרי חטין בזריעה וכו' מפשט פשיטא ליה,,,no ref,Jerusalem Talmud Shabbat 3:5:3,JTmock Shabbat 3:7:12,18
Shabbat,"חת""ם סופר",1,0,41a,"@11דמר ר' ירמיה הבערה לצורך יצאת ללמד על בתי דינין שלא יהיו דנין בשבת וכו' @33מיירי בב""ד של ג' דלא שייך הגזרה דשמא יכתוב דמדכרי אהדדי אפ""ה אסור משום דמחזי כדין עונשין שאסור מן התורה בשבת ויחיד מומחה דלא שייך דין עונשין רק דיני ממונות מ""מ אסור משום שמא יכתוב:",דמר ר' ירמיה הבערה לצורך יצאת ללמד,,,no ref,Jerusalem Talmud Shabbat 7:1:5,,23
Shabbat,"חת""ם סופר",1,0,41a,"[ועיין בספר החינוך מצוה קי""ד (פ' ויקהל) שהיה לו גירסא ר' אילא בשם ר' ינאי מכאן וכו']:","ועיין בספר החינוך מצוה קי""ד פ' ויקהל",,,no ref,,,24
Shevuot,"חת""ם סופר",1,0,20a,"להזימו ותי' דעכ""פ אצטריך קרא למפסל לעדות שאין צריך דין הזמה כגון בן גרושה וחלוצה וחיוב גלות ע""ש. וזה התי' לא שייך הכא דהא בלא יומתו קיימי' דבעינן יכול להזימו ומדאצטריך לא יומתו ש""מ עבד נידון ואייתר שני להפנאה למפסל אשה מעדות ולק""מ. ומה שהקשה המפרש ניליף לה לה מעבד. לק""מ לפמ""ש פ""י פ""ק דגיטין דלה דגבי אשה אינו מופנה דאצטריך וכ' לה לשמה ואידך וכתב לה ולא לה ולחברתה. אך תופשה לא ניתן לה הוא דמופנה. וא""כ לק""מ לפי הכלל שכ' ר""פ דלעולם ילפי' המופנה משאינו מופנה ולא בהיפוך עמ""ש בסוף ס' באר יעקב ועמ""ש בחי' ר""פ המפלת:","להזימו ותי' דעכ""פ אצטריך קרא למפסל לעדות",,,no ref,Jerusalem Talmud Shevuot 4:1:6,,3
Shevuot,"חת""ם סופר",1,0,20a,"נפש נפש וגו'. ובש""ס דילן יליף מגז""ש דתחטא תחטא כן משמע מתוס' דשמעתין. ומהך גז""ש נפש נפש יליף ירושלמי לעיל ספ""ג שבועת ביטוי מעדות לעשות מושבע כנשבע ע""ש. ונראה דהירושלמי מפרש מתני' דספ""ג דלעיל כמ""ד דן מנה ומנה לכן ברישא אמרינן שבועת ביטוי נוהג בנשים וקרובים ופסולים ושלא בפני ב""ד וע""ז מסיים דזהוא דוקא מפי עצמו ובסיפא דתנן מפי אחריה נמי חייב לא מוקי ליה הירושלמי בעונה אמן וכש""ס דילן שם דא""כ היינו מפי עצמו אלא מיירי בב""ד ובכשרים דילפי' מעדות ומנה לחייב במושבע כנשבע ודוקא בראוי' להעיד אותן חייבים בביטוי במושבע כנשבע. כנ""ל בכוונת הירושלמי. וש""ס דילן לא ס""ל גז""ש דנפש נפש רק תחטא תחטא וזה לא כתיב רק בעדות ופקדון ולא בביטוי. ויותר נראה בזה דא""א לשנוי מתני' דספ""ג הנ""ל כנ""ל וכמ""ד דו מנה ומנה דא""כ לא יהיה חייב אלא בדבר דליתא בלהבא כמו בעדות עיין לעיל כ""ה ע""ב אמר אביי ומודה רב וכו' ע""ש היטב. והש""ס דלעיל ספ""ג אזלא לשמואל דס""ל לעיל כ""ה ע""א דאינו חייב על שבועת ביטוי מה דליתא בלהבא דכתיב להרע או להיטב. והירושלמי ס""ל כרב דגם מה דליתא בלהבא מחייב עליו משום ביטוי ושייך שפיר למילף מעדות מושבע כנשבע ודן מנה ומנה וק""ל:",נפש נפש וגו',,,no ref,,,4
Shevuot,"חת""ם סופר",1,0,20b,"ר' ירמיה בעי השביע עליו חמשה פעמים וכו' מהו שיהא חייב קרבן עולה ויורד. והכי פירושו דהנך כולן איבעיות הן ובעי מתחלה לרבנן אם השביע ה' פעמים חוץ לב""ד וה' פעמים בב""ד ואח""כ כפר בב""ד מהו שיצטרף כפירה האחרונה אכל א' וא' מאלו ולא נימא חוץ לב""ד אינו מצטרף עם בב""ד דה""ל כשני שמות או דלמא וכו'. תו שאל מאחר דר""מ עביד מפיו כב""ד פי' דלר""מ שבועה מפי עצמו הו""ל כבב""ד דדון מינה ומינה מהו שיקבע לקרבן והיינו לפמ""ש הר""ן במשנתינו דאפילו כפר חוץ לב""ד אם חזר והודה בב""ד נפטר אע""ג דמפי עצמו חוץ לב""ד הוה כמו מפי אחרים בב""ד ובב""ד אם כפר תו לא מהני הודאה מ""מ מפי עצמו חוץ לב""ד יכול לחזור ולהודות ע""ש ומאי דפשיטא ליה להר""ן מספקא להירושלמי מהו שיקבע לקרבן ולא יוכל לחזור ולהודות. ותו שאל ולחייבו בראשונה בלא תביעה היינו מפי עצמו ממש בלא שיתבענו התובע דומיא דשבועת הפקדון דלכ""ע אמר לאו דוקא ור""מ אית ליה דון מינה ומינה וע""ז פשיט ייבא כהדא וכו' את ששמע קול חייב כו' דרחמנא מיעטתו. ושאר האיבעיות מובנים מאליהם ובעל פני משה פירש בו פירוש רחוק מאד:",ר' ירמיה בעי השביע עליו חמשה פעמים,,,no ref,,JTmock Shevuot 4:3:4,5
Shevuot,"חת""ם סופר",1,0,21b,"אבל אלו היו ד' עדים והמה כת א' היה הראשונה פטורה הואיל וחזרו והודו בתכ""ד של כפירת השניה ש""מ ה""ל למשנתנו כמ""ד בטלה כולה ומישך שייכי אהדדי. והשתא תו ליכא לאקשויי' דלמא לעולם כמ""ד תתקיים עדות בשאר ומ""מ לא הו""מ למתני בד' עדים וכת א'. משום דא""כ השניה פטורים משום הכחשה שלא ראו באותו מעמד ההלואה כהגהת מרדכי הנ""ל [משא""כ בב' כתים ולא היו במעמד א' אלא ב' מעידים על גוף ההלואה וב' על ההודאה שמועילים ומצטרפים ולא יכלו להכחיש זא""ז]. דז""א כיון דמתני' לא נחית אלא להשמענו חיובן של ראשונים אע""פ שחזרו והודו ולאפוקי מרישא דסיפא דמהני ההודאה. א""כ מה אכפת למשנתינו אם יהיה המציאות באופן שהשניה פטורה או חייבת וה""ל למתני היו ארבעה עדים הראשונים חייבים ואשמועינן דלא מהני הודאתן אחר השניה משום דס""ל תתקיים עדות בשאר ולא מהני חזרה בתוך כ""ד של שניה. והשניה פטורה ואשמועי' דינו של הגהת מרדכי דמשו""ה פטורים משום שנפסלו בהכחשה ומדלא תני הכי ש""מ דאז היה באמת הראשונים פטורים משום שחזרו והודו בתוך כ""ד של שנייה דהכל עדות א' וכמ""ד תתקיים עדות בשאר וק""ל:",אבל אלו היו ד' עדים והמה כת,,,no ref,Jerusalem Talmud Shevuot 4:3:4,,7
Shevuot,"חת""ם סופר",1,0,21b,"היו שתי כתי עדים וכו'. וצ""ל דמיירי באופן שידעי' שלא שכח העדות בשעה שנשבע כמ""ש והאריך הר""ן ר""פ כל הנשבעים ע""ש היטב דאל""ה לא מפסל לעדות אע""פ שנאמן בהודאתו לחייב קרבן מ""מ אין אדם משים עצמו רשע למפסל א""ע ומכ""ש אחרינא אע""כ מיירי באופן שכ' והאריך שם הר""ן ואפ""ה מייתי שפיר ראיה מסיפא דמתני' לומר דמשו""ה לא נקטה ממני' ד' משום דמיירי בכל גווני. ובהני גווני דנעשה הראשון פסול היו כולם פסולים. ומ""מ לא קשה אש""ס דילן ל""ב ע""א מתני' דלא כהאי תנא וכו' מנ""ל דמתני' לית לה משביע ע""א חייב ואפ""ה פטור השני משום שנעשה פסול ע""י הצטרפותו של ראשון ולק' זו עוררני תלמידי הבח' ר""מ א""ש. ולק""מ דא""כ מתני' לא מיירי אלא בגווני הנ""ל. וזהו לא נראה. מיהו בלא""ה נ""ל דלא ס""ל להירושלמי כתלמודן דאמרי' בדף ל""ג ע""א דסיפא מיירי בקרובים בנשותיהם וגוססות וא""כ לא הו""מ למימר ארבעה וא""כ צריך למנקט בב' כתים דאל""כ בטלה כולה ע""י קרבות הנשים וק""ל:",היו שתי כתי עדים וכו',,,no ref,,JTmock Shevuot 4:7:1,8
Shevuot,"חת""ם סופר",1,0,23a,"הכוונה דבאמת לקי דהא ישאל על נדרו ואין כאן נדר כלל. אלא שהקשה מה צורך לומר שאינו דומה לפקדון. תפ""ל אי לא ישאל על נדרו ילקה משום שעבר על נדרו. ובזה מיושב מה שהקשה המפרש הא לא יחל ה""ל לאו שא""ב מעשה. והא""ש דיש בו מעשה דהא עבר על נדרו והוציא הממון לצרכו ועי' היטב מ""ש תוס' גיטין ל""ג ע""א ד""ה ואפקועינהי וכו' דאל""כ נזיר שהיה שותה יין וכו' ע""ש וקי""ל. וניחא נמי מה שהקשה עוד המפרש הא ב""ד נחתי לנכסיה לקיים נדרו וממילא דלא אתי לידי בו יחל. ולפי הנ""ל א""ש אפי' אי נחתי לנכסיה לשלם להעני מה שאכל ממונו שלו מ""מ לא הועיל לו זה מה שעבר על נדרו ואכל אותו ממון שהפריש לצדקה. ועוד יש להסתפק אי נכסיו משועבדים בכה""ג לשלם עמ""ש בתומים בכעין זה סי' כ""ו ס""ק ה' ע""ש והכא שאותו החפץ כבר נאכל אפשר לכ""ע לא נחתינן. וי""ל נמי בהיפוך והדבר שקול וק""ל. וא""ש מה שמקשים אירושלמי הנ""ל הא ממון מתחייב כבר משעה שנדר ומלקות לא מחייב אלא עתה בשעה שכופר ובכה""ג שפיר לוקה ומשלם לכ""ע. ולפי הנ""ל א""ש דבשעה שנדר והפריש ויחד חפץ לא מתחייב ממון כלל דהרי הוא כנמסר ביד העני. ורק כשאכלו מתחייב ממון ואז מתחייב גם במלקות דלא יחל באופן דדברי ירושלמי עולים כהוגן ומוכרחים הם מכל צד לפמ""ש וק""ל:",הכוונה דבאמת לקי דהא ישאל על נדרו,,,no ref,Jerusalem Talmud Shevuot 4:7:1,,10
Shevuot,"חת""ם סופר",1,0,23a,"מהו ללקות וכו' למה שהוא ל""ת שאין בו מעשה וכו'. עי' כסף משנה פרק כ""ו מסנהדרין הלכה ג' נדחק בפי' הירושלמי ובתומים סי' כ""ז נדחק יותר ומעייל פילא בקופא דמחטא. ולפע""ד הכל כפשוטו דבלא""ה צ""ל בירושלמי דמסתפק אי לוקין על מקלל עצמו וחברו משום לאו שא""ב מעשה וקשה הא בירושלמי עצמו ס""פ דלעיל מייתי דברי הש""ס דבבלי פ""ק דתמורה ג' ע""ב דמקלל חברו בשם לוקה משום אם לא תשמור לעשות וגו' והפלה ה' את מכתך. אע""כ צ""ל","מהו ללקות וכו' למה שהוא ל""ת שאין",,,no ref,,,11
