Index Title,Sefer HaShorashim
"Sefer HaShorashim, Introduction 7",וכמדומה לי כי אין מלה בכל המקרא שלא תלמד נקודה מזה הספר או מהחלק הראשון או מהחלק השני הזה.
"Sefer HaShorashim, Introduction 8",וכן אזכיר קצת מחלוקת בן אשר ובן נפתלי ואנחנו סומכים על קריאת בן אשר והנני משביע בשם הנכבד והנורא כל מעתיק ספר זה שלא יניח ברצונו פסוק אחד אותיבה אחת מכל מה שימצא בכל שרש ושרש.
"Sefer HaShorashim, Introduction 9","כי הרבה פסוקים הבאתי שם שיחשב המעיין המעתיק שהם יתרים שם שלא הבאתים לצורך ואין זה כי לא הבאתי שם פסוק כי אם לצורך או ללמד על ענינו או בנינו או קריאתו או ללמד על שמוש הלשון, והמשכילים יבינו."
"Sefer HaShorashim, Introduction 10",ועתה אחל לבאר בעזרת המלמד לאדם דעת
"Sefer HaShorashim, Biblical Aramaic Lexicon, Introduction 1","אמר דוד בן יוסף בן קמחי הספרדי ראיתי לכתוב עם ספר הזה אשר חברתי באור המלים אשר באו בלשון ארמי בספרי הקדש למען לא יחסר הקורא בספר הזה דבר, ולא תהיה מלה בארבעה ועשרים ספרים שלא ימצא באורה בספר הזה, עם מה שאני מוסיף בו עתה. לכן כל מעתיק ספר זה יכתוב זה בתכלית הספר כמו שכתבתי אני הנה."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Introduction 2",ועתה אחל בעזרת לאדם דעה.
"Sefer HaShorashim, Biblical Aramaic Lexicon, Genesis 31:47:1","<strong>יְגַר שָֽׂהֲדוּתָא</strong>, פירושו גלעד. וכן תרגום וְהָֽיְתָה בָבֶל לְגַלִּים (ירמיה נא, לז) <strong>לְיַגְרִין</strong>, לְעִי הַשָּׂדֶה (מיכה א, ו) <strong>לְיַגְרֵי חַקְלָן</strong>."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Jeremiah 10:11:1","<strong>דִּֽי־שְׁמַיָּא וְאַרְקָא</strong>, שמים וארץ."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 2:5:1","<strong>אַזְדָּא</strong>, הלכה, וכן בדברי רבותינו ז""ל (מעילה יז, ע""ב), נפל אזדא, נפק אזדא, ואזדא לטעמיה. <strong>הַדָּמִין</strong>, נתחים, תרגום וַֽיְנַתְּחֶהָ לַעֲצָמֶיהָ (שופטים יט, כט)<strong> וְהַדְמָה</strong>, וַֽיְשַׁסְּעֵהוּ כְּשַׁסַּע הַגְּדִי (שופטים יד, ו) <strong>וְהַדְמֵיהּ כְּמָא דִמְהַדְמִין גַדְיָא</strong>. וכן בדברי רבותינו ז""ל (עבודה זרה לח, ע""ב) ודלמא הדומי הדמוה, משלטי הדמיה אין בו משום אסופי (קידושין דף עג, ריש ע""ב). <strong>נְוָלִי</strong>, אשפה מקום נוול."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 2:6:1","<strong>וּנְבִזְבָּה </strong>דורון ומנחה. ובבראשית רבה (פרשה לד, דף לז, ד) וירח י""י את ריח הניחוח לאוהבו של מלך שכבדו בזה דסקינאה פירוש דורון נאה."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 2:8:1","<strong>יַצִּיב</strong>, אמת והלשון מורגל וידוע. <strong>זָֽבְנִין</strong>, נמכרים כלומר נמכרים ונמסרים."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 2:9:1","<strong>כִדְבָה וּשְׁחִיתָה</strong>, נכזבת ונשחתת. <strong>הִזְְמִנְתּוּן [הִזְדְּמִנְתּוּן]</strong>, אתם מזומנים, <strong>עַד דִּי עִדָּנָא יִשְׁתַּנֵּא</strong>, עד אשר העת ישתנה עליכם שתהיו נמסרים למיתה, ויש מפרשים עד הערב שישתנה העת."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 2:12:1","<strong>בְּנַס</strong>, בזעף תרגם וְהִנָּם זֹֽעֲפִֽים (בראשית מ, ו) <strong>וְהָא אִינוּן כְּנִיסִין.</strong>"
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 2:14:1","<strong>בֵּאדַיִן</strong>, תרגום של או. <strong>עֵטָא וּטְעֵם</strong>, עצה. ובדברי רבותינו ז""ל (בבא בתרא יז, ע""א) ארבעה מתו בעטיו של נחש בעצתו שנתן לחוה. וטעם כמו וְטַעַם זְקֵנִים יִקָּֽח שהוא תוכן הדבר (איוב יב, כ)."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 2:15:1","<strong>מְהַחְצְפָה</strong>, גלויה לשון חצוף בדברי רבותינו ז""ל (סנהדרין קה, ע""א) למי שהוא עז פנים. ותרגום קְשֵׁי פָנִים (יחזקאל ב, ד) <strong>חֲצִיפֵי אַפַּיָא</strong>."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 2:18:1","<strong>רָזָא דְּנָה</strong>, הסתר הזה תרגום חֶרֶשׁ לֵאמֹר (יהושע ב, א) <strong>בְּרָז לְמֵימָר</strong>, והרבה כמוהו בלשון ארמי."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 2:26:1","<strong>הַאִיתָיךְ [הַאִיתָךְ] כָּהֵל</strong>, הישך יכול."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 2:31:1","<strong>וַֽאֲלוּ</strong>, לשון והנה. <strong>דִּכֵּן</strong>, זה תרגום הָאִישׁ הַלָּזֶה (בראשית כד, סה) <strong>גַּבְרָא דֵיכִי</strong>.<strong> וְזִיוֵהּ יַתִּיר</strong>, וזהו גדול. <strong>וְרֵוֵהּ דְּחִֽיל</strong>, ותארו נורא תרגום יְפֵה־תֹאַר (בראשית לט, ו) <strong>שַׁפִּיר בְּרֵיוָא</strong>."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 2:32:1","<strong>חֲדוֹהִי</strong>, חזות שלו תרגום הֶֽחָזֶה (שמות כט, כו) <strong>חֶדְיָא</strong>. <strong>מְעוֹהִי וְיַרְכָתֵהּ</strong> בטנו וירכיו."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 2:33:1","<strong>שָׁקוֹהִי דִּי פַרְזֶל</strong>, שוקיו של ברזל. <strong>דִּי חֲסַף</strong>, של חרש תרגום וּכְלִי־חֶרֶשׂ (ויקרא ו, כא)<strong> וּמָן דַּחֲסַף</strong>."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 2:34:1","<strong>וְהַדֵּקֶת הִמּֽוֹן</strong>, והדקה אותם."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 2:35:1","<strong>כְּעוּר מִן־אִדְּרֵי־קַיִט</strong>, כמוץ מן גרנות הקיץ. ואולי <strong>עוּר</strong> חסר <strong>נו""ן</strong> מן נעורת של פשתן, כי המוץ הוא הדק הננער מן התבן."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 2:39:1","<strong>אֲֽרַעא [אֲֽרַע] מִנָּךְ</strong>, תחת ממך כלומר שפלה ממך."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 2:40:1","<strong>מְהַדֵּק וְחָשֵׁל</strong>, מדק ומועך. ובדברי רבותינו ז""ל (חולין צג, ע""ב) ביעיא חשילתא פירוש ביצים מעוכות."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 2:41:1","<strong>חֲסַף דִּֽי־פֶחָר</strong>, חרש היוצר. ובדברי רבותינו ז""ל מני דפחרא כלי היוצר, וכן בלשון ערבי פכא""ר וה<strong>חי""ת</strong> בערבי <strong>כ""ף</strong> בעברי. <strong>וּמִן־נִצְבְּתָא דִֽי־פַרְזְלָ</strong>, ומחוזק הברזל. ולשון <strong>נִצְבְּתָא</strong> נטע מתרגום נְטַע שַֽׁעֲשׁוּעָיו (ישעיה ה, ז) <strong>נִצְבָא דְחֶדְוָתֵיהּ</strong> כלומר מנטע ומכח הברזל יהיה בה כחרש."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 3:2:1","<strong>לַֽאֲחַשְׁדַּרְפְּנַיָּא סִגְנַיָּא וּפַֽחֲוָתָא אֲדַרְגָּֽזְרַיָּא גְדָֽבְרַיָּא דְּתָֽבְרַיָּא תִּפְתָּיֵא</strong>, כל אלו שמות בלשון ארמי לממונים ולגדולים זה למעלה מזה."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 3:4:1","<strong>וְכָֽרוֹזָא קָרֵא בְחָיִל</strong>, והכרוז קורא בכה."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 3:5:1","<strong>מַשְׁרֽוֹקִיתָא</strong>, כלי ששורקין בו שיפלא""ד בלע""ז. <strong>קַיתְרוֹס [קַתְרוֹס] סַבְּכָא</strong>, מיני כלי זמר הם ידועים אצלם, שמם כן בלשון ארמי. <strong>וְכֹל זְנֵי זְמָרָא</strong>, וכד מיני זמר. תרגום לְמִינֵהוּ (בראשית א, יב) <strong>לִזְנוֹהִי</strong>."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 3:8:1","<strong>וַֽאֲכַלוּ קַרְצֵיהוֹן</strong>, תרגום לֹֽא־תֵלֵךְ רָכִיל (ויקרא יט, טז) <strong>לָא תֵיכוּל קוּרְצִין</strong>."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 3:12:1","<strong>אִלֵּךְ</strong>, אלה."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 3:14:1","<strong>הַצְדָּא</strong>, יש מפרשים האמת לשון תמיהא. ולא נדע לו חבר, אבל לפי הענין יתפרש כך. ויש מפרשים לשון שממה כלומר וכי דברי וגזרותי צדו ושממת ודבר רק הוא בעיניכם. ורבינו האיי ז""ל פירשו לשון כוון והצדה מן וַֽאֲשֶׁר לֹא צָדָה (שמות כא, יג) וְאַתָּה צֹדֶה אֶת־נַפְשִׁי לְקַחְתָּֽהּ (שמואל א' כד, יא) כלומר אם במזיד וכונה עשיתם."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 3:16:1","<strong>לָֽא־חַשְׁחִין אֲנַחְנָא</strong>, אין אנחנו חוששין."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 3:19:1","<strong>לְמֵזֵא לְאַתּוּנָא</strong>, להבעיר הכבשן מְזֵי רָעָב (דברים לב, כד) שרופי רעב."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 3:20:1","<strong>לְכַפָּתָה</strong>, לקשור. ובמשנה (תמיד פרק רביעי משנה א. דף ל, ע""ב) לא היו כופתין את הטלה. כפתוה בחבל שד מגג (פרה פרק שלישי משנה ט. דף צו' ע""א)."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 3:21:1","<strong>כְּפִתוּ</strong>, נקשרו, <strong>בְּסַרְבָּֽלֵיהוֹן פַּטְּישֵׁיהוֹן [פַּטְּשֵׁיהוֹן] וְכַרְבְּלָֽתְהוֹן</strong>, מיני לבושים הם, סרבליהון הוא סרבל שיתכסה אדם בו. ובמדרש תנחומא (בריש פרשת הן האדם היה) מפרש פטשיהון אלו ברקים הנתונים על ירכותיהם, <strong>כַרְבְּלָֽתְהוֹן </strong>אלו הסקרין שבראשיהם. ודומה לו כרבלתא דתרנגולא (ברכות ו, ע""א)."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 3:22:1","<strong>דִּי הַסִּקוּ</strong>, אשר העלו כלומר העלו אותם על פי הכבשן והפילום לתוכו."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 3:24:1","<strong>תְּוַהּ</strong>, חרד. תרגום וַיֶּֽחֱרַד יִצְחָק חֲרָדָה גְּדֹלָה (בראשית כז, לג) <strong>וּתְוָה יִצְחָק תִּוְהָא</strong>. <strong>לְהַדָּֽבְרוֹהִי</strong>, יועציו ומנהיגיו כמו בְּתוֹךְ הַדָּֽבְרוֹ (מיכה ב, יב) בתוך מנהיגיו ותרגום וַיִּנְהַג (בראשית לא, יח) <strong>וּדְבַר</strong>."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 3:25:1","<strong>שְׁרַיִן</strong>, מותרים מאסוריהם."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 3:27:1","<strong>בְּגֶשְׁמְהוֹן</strong>, בגופם ובלשון מקרא וְגֶשֶׁם יְגַדֵּֽל (ישעיה מד, יד) לדעת המפרשים. <strong>לָא עֲדָת</strong>, לא עברה תרגום אֲשֶׁר עָבַר (בראשית טו, יז) <strong>דִּי עֲדָא</strong>."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 3:29:1","<strong>שָׁלֻה [שָׁלֻו]</strong>, שגגה."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 4:5:1","<strong>וְעַד אָֽחֳרֵין</strong>, ועד שבאחרונה בא לפני דניאל."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 4:8:1","<strong>וַֽחֲזוֹתֵהּ</strong>,<strong> </strong>וענפיו כמו קֶרֶן חָזוּת (דניאל ח, ה)."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 4:9:1","<strong>עֳפְיֵהּ</strong>, עליו כמו מִבֵּין עֳפָאיִם (תהלים קד, יב) עלים. <strong>וְאִנְבֵּהּ</strong> פריו.<strong> תַּטְלֵל</strong> תרגום צֵל (שופטים ט, לו) <strong>טוּלָא</strong>."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 4:10:1","<strong>עִיר</strong>, מלאך. ונקרא כן שהוא ער לעולם."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 4:11:1","<strong>גֹּדּוּ</strong>, כרתו, <strong>אַתַּרוּ</strong>, השירו מלשון פיתה הנושרין בדברי רבותינו ז""ל (ביצה ב, ע""ב). <strong>וּבַדַּרוּ</strong>, פזרו."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 4:12:1","<strong>וּבֶֽאֱסוּר דִּֽי־פַרְזֶל וּנְחָשׁ בְּדִתְאָא דִּי בָרָא</strong>, ובטל שמא יצטבע כלומר באסורי ברזל ונחשת יהיה בדשא השדה, כלומר שלא יוסל לזוז משם כאלו אמור בנחשתים ובטל השמים יתכבס."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 4:13:1","<strong>יַחְלְפוּן</strong>, יעברו."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 4:14:1","<strong>בִּגְזֵרַת עִירִין</strong>, בגזירת מלאכים."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 4:16:1","<strong>לְעָרָֽיךְ [לְעָרָֽךְ]</strong>, לשנאך כמו וַיְהִי עָרֶֽךָ (שמואל א' כח, טז)."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 4:22:1","<strong>וְלָךְ טָֽרְדִין</strong>, מגרשים, תרגום וַֽיְשַׁלְּחֵהוּ י""י אֱלֹהִים מִגַּן־עֵדֶן (בראשית ג, כג) וטרדיה, גָּרֵשׁ יְגָרֵשׁ אֶתְכֶם (שמות יא, א) מטרד יטר."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 4:24:1","<strong>מִלְכִּי</strong>, עצתי מן וַיִּמָּלֵךְ לִבִּי עָלַי (נחמיה ה, ז). <strong>וַֽעֲוָֽיָתָךְ בְּמִחַן עֲנָיִן</strong>, ועונך בחנון עניים. <strong>אַרְכָה לִשְׁלֵֽוְתָֽךְ,</strong> אריכות לשלומך ושלותך או פירושו רפואה לשגגחך."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 4:28:1","<strong>עֲדָת מִנָּֽךְ</strong>, סרה ממך."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 4:30:1","<strong>מִלְּתָא סָפַת עַל־נְבֽוּכַדְנֶצַּר</strong>, כענין כִּֽי־כָלְתָה אֵלָיו הָרָעָה (אסתר ז, ז) <strong>עַד דִּי שַׂעְרֵהּ כְּנִשְׁרִין רְבָה</strong>, עד אשר היה שערו גדול ככנפי נשרים. <strong>וְטִפְרוֹהִי כְצִפְּרִֽין</strong>, וצפרניו כצפרני עופות הדורסים."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 4:32:1","<strong>כְּלָה חֲשִׁיבִין</strong>, ככלום הם נחשבים. <strong>וּכְמִצְבְּיֵהּ</strong>, וכרצונו מגזרת וּלְמַן־דִּי יִצְבֵּא (דניאל ד, יד)."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 4:33:1","<strong>הָתְקְנַת</strong>, הייתי מתקן. <strong>וּרְבוּ יַתִּירָה</strong>, וגדולה יתירה."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 4:34:1","<strong>בְּגֵוָה</strong>, בגאות."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 5:2:1","<strong>בִּטְעֵם חַמְרָא</strong>, בטעם היין כמו כְּטוֹב לֵב־הַמֶּלֶךְ בַּיָּיִן (אסתר א, י)."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 5:5:1","<strong>נֶבְרַשְׁתָּא</strong>, מנורה. ובמשנה (יומא פרק שלישי משנה דף לז, ע""א) הלני המלכה עשתה נברשת של זהב. <strong>עַל־גִּירָא</strong>, על הסיד הטוח בכותל כמו כְּאַבְנֵי־גִר (ישעיה כז, ט) <strong>פַּס יְדָא</strong>, כף היד."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 5:6:1","<strong>וְקִטְרֵי חַרְצֵהּ מִשְׁתָּרַיִן</strong>, קשרי מתניו נתתם. <strong>נָֽקְשָֽׁן</strong>, מקישות ודופקות."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 5:7:1","<strong>אַרְגְּוָנָא</strong>, ארגמן, <strong>וְהַֽמְונִכָא [וְהַֽמְנִיכָא]</strong>, תרגום רְבִד (בראשית מא, מב) <strong>מָנִיכָא</strong>."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 5:9:1","<strong>מִשְׁתַּבְּשִֽׁין</strong>, לשון שיבוש כלומר נדהמים שלא דעו מה לעשות."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 5:11:1","<strong>נַֽהִירוּ</strong>. זכר וידיעה. ובדברי רבותינו ז""ל (שבת פרק עשרים וארבע דף קנו, א) נהיר וחכים, יהירין לי שבילי דשמייא כשבילי דנהרדעא (ברכות פרק תשיעי דף נח, ע""ב), נהירנא כד הוו קיימין ארבע סאין בסילע (בבא בתרא פרק חמישי דף צא, ע""ב)."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 5:12:1",<strong>וַֽאֲֽחֲוָיַת אֲחִידָן</strong>. והגדת חידות.
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 5:19:1","<strong>וְדִֽי־הֲוָה צָבֵא הֲוָה מַחֵא</strong>, מכה. או פירושו מחיה הפך קטל. ופירוש מחיה מעמיד בחיים שלא היה הורגו כמו הַֽחִיִּיתֶם כָּל־נְקֵבָֽה (במדבר לא, טו), וַתְּחַיֶּין ָ אֶת־הַיְלָדִֽים (שמות א, יח)."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 5:20:1","<strong>הֶעְדִּיוּ מִנֵּֽהּ</strong>, הסירו ממנו."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 5:21:1","<strong>וְעִם־עֲרָֽדַיָּא</strong>, פראים כמו וּמֹֽסְרוֹת עָרוֹד (איוב לט, ה)."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 5:28:1","<strong>פְּרִיסַת</strong>, מן הֲלוֹא פָרֹס לָֽרָעֵב לַחְמֶךָ (ישעיה נח, ז)."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 6:3:1","<strong>סָֽרְכִין</strong>, שוטרים ותרגום וְשֹׁטְרָיו (שמות ה, י) <strong>וְסָרְכוֹהִי</strong>."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 6:4:1","<strong>עֲשִׁית</strong>, חשב מן עֶשְׁתֹּנֹתָֽיו (תהלים קמו, ד)."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 6:6:1","<strong>עִלָּא</strong>, עלילה מן עֲלִילֹת דְּבָרִים (דברים כב, יד)."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 6:7:1","<strong>הַרְגִּשׁוּ עַל־מַלְכָּא</strong>, התקבצו על המלך מן לָמָּה רָגְשׁוּ גוֹיִם (תהלים ב, א)."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 6:8:1","<strong>אִתְיָעַטוּ</strong>, נתיעצו, <strong>לְגֹב</strong>, לבור."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 6:9:1","<strong>דִּי־לָא תֶעְדֵּֽא</strong>, אשר לא תעבור."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 6:15:1","<strong>בְּאֵשׁ</strong>, רע. <strong>בָּל</strong>, כמו לֵב הפוך, כלומר שם לבו להצילו, ויש מפרשים בל מחשב. וכן הוא בלשון ערבי <strong>אגע""ל בל""ך</strong> כמו שים מחשבתך. ואדוני אבי ז""ל פירשו כמשמעו לשון לא, כלומר כיל לאו שמצא היה טוען עליו להצילו, כלומר לא תוכלו לעשות מפני כך, וכאשר היו מבטלים אותה טענה היה משים אחרת. <strong>מִשְׁתַּדַּר</strong>, משתדל ובמשנה (אבות פרק שני משנה ה). ובמקום שאין אנשים השתדר להיות איש כמו השתדל."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 6:18:1","<strong>צְבוּ</strong>, רצון כלומר שלא ישנה רצונם להזיקו שלא ישנה רצון המלך להצילו."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 6:19:1","<strong>וּבָת טְוָת</strong>, ולן בתענית. וכן בלשון רבותינו ז""ל בפסחים (קז, ע""א) ובת טות ולא אבדיל רוצה לומר שלא אכל כל הלילה כשלא היה לו יין להבדלה. <strong>וְדַֽחֲוָן לָֽא־הַנְעֵל קָֽדָמוֹהִי</strong>, ושלחן. ובתוספתא הדחוונות של בעלי בתים פירוש שלחנות. ויש מפרשים המלה מורכבת <strong>ודי</strong> <strong>יחון</strong> כלומר מגידי החידות ובעלי השיר."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 6:20:1","<strong>בִּשְׁפַרְפָּרָא</strong>, בשחר. אָז יִבָּקַע כַּשַּׁחַר (ישעיה נח, ח) תרגם יונתן <strong>בְּכֵן יִתְגְלֵי כִּשְׁפַּרְפָּרָא</strong>."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 6:23:1","<strong>חֲבוּלָה לָא עַבְדֵֽת</strong>, דבר השחתה."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 6:24:1","<strong>וְהֻסַּק</strong>, והועלה."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 6:25:1","<strong>וְלָא־מְטוֹ לְאַרְעִית גֻּבָּא</strong>, ולא הגיעו לתחתית הבור."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 7:1:1","<strong>רֵאשׁ מִלִּין אֲמַֽר</strong>, ראשי הדברים אמר ולא כלם."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 7:2:1","<strong>וַֽאֲרוּ</strong>, והנה,<strong> מְגִיחָן לְיַמָּא רַבָּֽא</strong>, פירוש לפי ענינו נושבות ומסערות אותו. ואפשר שהלשון הזה מן כִּֽי־יָגִיחַ יַרְדֵּן אֶל־פִּֽיהוּ (איוב מ, כג). לשון יציאה כלומר יוצאות אליו."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 7:4:1","<strong>מְּרִיטוּ גַפַּיהּ [גַפַּהּ]</strong>, נמרטו כנפיה. <strong>הֳקִימַת</strong>, הוקמה."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 7:5:1","<strong>וְלִשְׂטַר־חַד</strong>, ולצד אחד. תרגום וּלְצֶלַע הַמִּשְׁכָּן (שמות כו, כ) <strong>וְלִסְטַר מַשְׁכְּנָא, עִלְעִין</strong>,<strong> </strong>צלעות."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 7:7:1","<strong>בְּרַגְלַיהּ [בְּרַגְלַהּ] רָֽפְסָה</strong>, כמו בְּרַגְלֵיכֶם (יחזקאל לד, יח) תרפושון."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 7:9:1","<strong>כִּתְלַג חִוָּר</strong>, כשלג לבן, <strong>כַּֽעֲמַר נְקֵא</strong>, כצמר נקי. <strong>גַּלְגִּלּוֹהִי נוּר דָּלִֽק</strong>, גלגליו אש בוערה פירוש גלגלי הכסא."
