id,sefer_id,title_eng,title_heb,intro_eng,intro_heb,range_eng,range_heb,range_start,range_end,parent_id
11,1,The War of Conquest of the Southern Cities,מלחמת כיבוש ערי הדרום,"The submission of Givon and its inhabitants made a great impression upon the other inhabitants of the land. Although it is possible that the details of the agreement between Israel and the Givonites were not made public, as neither side was proud of the result, it was nevertheless known that the Givonites surrendered and that they were under Israel’s protection. Now, in an attempt to punish the Givonites, five major kings from the south join forces against them, thus provoking a war with Israel, who comes to the Givonites’ defense. By taking this step, these kings seek to deter others from following the Givonites’ example. If their coalition succeeds, the defeat of the Givonites will cast fear on all the other nations, and they will refrain from cooperating with Israel and will not seek independent peace agreements with this invading enemy. The kings who attack Givon likely assume that Joshua and his army will not commit large forces to participate in this war, as they are not challenging Israel directly. If he so chooses, Joshua could dismiss the event as an internal Canaanite conflict. At this stage, the five kings do not intend to act against Israel, the main force, but only to destroy the Givonites. Joshua’s intervention in the war and the miracles that accompany his involvement mark the completion of Israel’s conquest of the south of Canaan.","כניעת גבעון ובנותיה עשתה רושם גדול על תושבי הארץ. אולי פרטי חוזה הכניעה של הגבעונים לא פורסמו ברבים משום ששני הצדדים לא היו גאים בתוצאה, אך היה ידוע שהגבעונים נכנעו, והם נתונים תחת חסות ישראל. כדי להענישם ולהילחם בהם חברו כמה מלכים מרכזיים בחבל הארץ הדרומי, ובכך הם התגרו גם בישראל, שהיו עשויים להיעזר בגבעונים ובעריהם. בצעד זה ביקשו המלכים להרתיע גם גורמים אחרים. הרי אם הקואליציה שלהם תצליח במשימתה, תבוסת הגבעונים תטיל אימה על כל האחרים והם יימנעו משיתוף פעולה ומגיבוש חוזי שלום עצמאיים עם הכובש. תוקפיה של גבעון הניחו שיהושע וצבאו לא יתערבו במלחמה בעצמה רבה מדי, שהרי אין זו מתקפה ישירה על בני ישראל; והרי יהושע יכול לבחור להתעלם ממה שייראה לו מריבה פנים-כנענית. בשלב זה חמשת המלכים לא התכוונו לפעול כנגד ישראל, הכוח המרכזי, אלא רק כנגד הגבעונים, הענף שנכנע. התערבותו של יהושע במלחמה והנסים שליוו אותה סימנו את סיומו של כיבוש דרום ארץ כנען על ידי ישראל.",Joshua 10:1–43,פרק י,214,256,NULL
12,1,The Defeat of the Northern Cities,הורשות הערים הצפוניות,"Up to this point, Israel’s wars have been concentrated in the south of the land of Canaan, and the center of resistance against their invasion was contained in the region later to become known as the land of Judah. Now a coalition of kings from the north gathers together to fight Joshua. Here too the outcome of the campaign is decided through Joshua’s use of the element of surprise. However, in contrast to the smooth, uninterrupted capture of the southern kingdoms, the conquest of the north is difficult and prolonged.","עד כה התרכזה המלחמה בחלקה הדרומי של ארץ כנען, ומוקד ההתנגדות היה באזור שלאחר מכן נקרא 'ארץ יהודה'. עתה קואליציה של מלכים צפוניים מתארגנת להילחם ביהושע. גם כאן יהושע מופיע בהפתעה ומכריע את המערכה. אולם לעומת כיבושן הרצוף של הממלכות הדרומיות, כיבוש הצפון קשה וממושך.",Joshua 11:1–15,פרק יא פס' א–טו,257,271,NULL
13,1,Survey of the Territories and Kings Conquered by Israel,סקירת התחומים והמלכים שנכבשו בידי ישראל,"This section summarizes in brief Israel’s conquests on both sides of the Jordan. After the second broad-scale battle, no significant force remained in the land to oppose the Israelites apart from the Philistines. Joshua and the Israelites did not conquer the land of the Philistines, and for many years there was a Philistine presence on the coast.","בעניין זה מסוכמים הכיבושים משני עברי הירדן בתמציתיות. אחרי המלחמה הכוללת השנייה לא נותר בארץ כוח משמעותי שהיה עלול להילחם עם ישראל, מלבד הפלשתים. את ארצם של הפלשתים לא כבשו יהושע וישראל, ובמשך שנים רבות נשארה נוכחות הפלשתים בשפלת החוף.",Joshua 11:16–12:24,פרק יא פס' טז – פרק יב,272,303,NULL
14,1,The Command to Divide the Land among the Tribes,הציווי על חלוקת הארץ לשבטים,"Not all the areas of the land that were supposed to be taken by Israel had been conquered. This section lists those regions that were not captured during Joshua’s time. Unlike other conquerors of the land, who came from the sea, the Israelites arrived from the east, and therefore the tracts of land that remained unconquered were mainly on the western side of Canaan, along the coast. After Joshua completed his conquests, he was required to divide the entire land, including the portions that had not yet been conquered, among the tribes of Israel. In this context, the chapter mentions once again that Moses gave the territories on the eastern side of the Jordan to the tribes of Reuben, Gad, and half of Manasseh. The division of these inheritances will be detailed in the next section.","לא כל שטחי הארץ שנועדו להיכבש על ידי ישראל נכבשו. כאן נמנים האזורים שלא נכבשו בדורו של יהושע. שלא ככובשים אחרים של הארץ, שבאו מצד הים, יהושע הגיע אליה ממזרח, ולכן חבלי הארץ שנותרו בלתי כבושים, כמו שפלת החוף, שכנו בתחומיה המערביים. לאחר כיבושיו הרבים של יהושע נדרש ממנו לחלק את הארץ לשבטים. אגב כך נזכר כאן שנית, שאת עבר הירדן המזרחי נתן משה לשבט ראובן, שבט גד וחצי שבט המנשה. חלוקת נחלות אלה תפורט בעניין הבא.",Joshua 13:1–14,פרק יג פס' א–יד,304,317,NULL
15,1,Details of the Division of the Land East of the Jordan,פירוט חלוקת עבר הירדן המזרחי,"This section deals with the division of the lands east of the Jordan and their inheritance by the two and a half tribes. Some of the cities listed here were previously mentioned in the Torah, but the borders between the tribes were not stated there. Here, in the context of the division of the entire land, the verses also specify Moses’ distribution according to tribal borders.","כאן יבוא פירוט הנחלות וחלוקתן לשבטי עבר הירדן. חלק מן הערים נזכרו בתורה,<footnote data-lang=""heb"" data-id=""238"" data-num=""1""/> אם כי שם לא הופיעה חלוקת הגבולות של השבטים הללו. כאן, בהקשר של חלוקת הארץ כולה, מפורטת גם חלוקת משה.<footnote data-lang=""heb"" data-id=""239"" data-num=""2""/>",Joshua 13:15–33,פרק יג פס' טו–לג,318,336,NULL
16,1,The Distribution of the Land of Canaan to the Tribes,חלוקת ארץ כנען לשבטים,"The following chapters focus in detail on the inheritances of the tribes on the western side of the Jordan, including the boundaries of their territories and the names of their cities. After Moses had conquered the lands of Sihon and Og east of the Jordan, he gave them as an inheritance to the tribes of Gad, Reuben, and half the tribe of Manasseh. His disciple Joshua acts similarly; capturing most of the settled area of the land of Canaan, he first grants an inheritance to the tribe of Judah, followed by the sons of Joseph. The portions of these major tribes, who would later head two separate kingdoms that ruled over all of Israel,<footnote data-lang=""eng"" data-id=""212"" data-num=""212""/> are spread across the breadth of Canaan, with the land of Judah in the south and the territory of Ephraim and Manasseh in the center and north. The main Israelite camp subsequently moves to Shilo, where the Tabernacle is established. At this stage, Joshua maps out the rest of the land and divides it into seven parts. Based on the lottery, performed in the presence of the High Priest and the tribal heads, Joshua determines the final division of the land among the remaining seven tribes. The first lot selected is that of the tribe of Benjamin, which receives the eastern area between Judah and Ephraim. Next is the tribe of Simeon, which receives a portion in the south, incorporated within the inheritance of Judah. Zebulun inherits in the north, and its territory reaches the Mediterranean Sea, while Issachar’s portion is in the plains, northeast of Manasseh. Asher receives its inheritance in the western Galilee, and Naphtali is to its east. Dan, the tribe that traveled last in the wilderness,<footnote data-lang=""eng"" data-id=""213"" data-num=""213""/> is the final tribe selected by the lot. Its original inheritance is north of Judah, west of Benjamin and Ephraim. However, due to the heavy presence of foreign nations in that region, in practice Dan settles only a small part of its designated portion, in the strip of Tzora and Eshtaol. After some years, when the area becomes too crowded, some of the members of Dan venture out and capture a more peaceful area on the northeastern edge of the land of Canaan, where they could live comfortably.<footnote data-lang=""eng"" data-id=""214"" data-num=""214""/> This section concludes the division of the land. However, it will take many years for every tribe to settle in its portion, and for citizens to fully establish agricultural settlements.","הפרקים הבאים עוסקים בפירוט נחלות השבטים בעבר הירדן המערבי, בתחומי גבולותיהם ובשמות עריהם. לאחר שמשה כבש את ארצם של סיחון ועוג בעבר הירדן המזרחי, הוא נתן אותה נחלה לשבטי ראובן, גד וחצי שבט המנשה. כך עשה יהושע תלמידו – לאחר שכבש את רובו של היישוב בארץ כנען, הנחיל את שבט יהודה תחילה ולאחריו את בני יוסף. נחלות השבטים הראשיים הללו, שכעבור זמן קמו בהן שתי ממלכות,<footnote data-lang=""heb"" data-id=""247"" data-num=""1""/> השתרעו על פני כל רוחבה של הארץ, ארץ יהודה בדרום וארץ אפרים ומנשה מן המרכז וצפונה. לאחר מכן עבר מחנה ישראל המרכזי לשילה, ובה נקבע המשכן. אז מיפה יהושע את שאר שטחי הארץ וחילקם לשבעה חלקים. על פי הגורל ובהשתתפות הכהן הגדול וראשי השבטים, קבע יהושע את חלוקת הארץ באופן סופי. שבט בנימין עלה תחילה בגורל ונחל את האזור המזרחי שבין יהודה לאפרים. אחריו עלה גורלו של שמעון בדרום הארץ בתוך גבול יהודה; זבולון נחל בצפון, וגבולו הגיע לים התיכון. יששכר בעמקים, מצפון-מזרח למנשה. אשר קיבל חלקו בגליל המערבי, ונפתלי – ממזרח אליו. דן המאסף עלה בגורל אחרון לשבטים. נחלתו המקורית שכנה מצפון ליהודה, ממערב לבנימין ולאפרים. מחמת הגויים שישבו באזור, דן לא התיישב בפועל אלא בחלק מצומצם בנחלתו, בחבל צרעה-אשתאול. לאחר זמן, עקב הדחק יצאו מבני שבטו וכבשו להם מקום שלֵו בקצה הצפוני-מזרחי של ארץ כנען כדי לשבת שם במנוחה.<footnote data-lang=""heb"" data-id=""248"" data-num=""2""/> בכך תמה חלוקת הארץ. אולם חלפו שנים רבות עד שהתיישבו כל שבט וכל משפחה בנחלתם וניהלו חיים חקלאיים מלאים.",Joshua 14:1–19:51,פרקים יד–יט,337,521,NULL
17,1,The Tribes That Inherited in Canaan,השבטים שנחלו בכנען,,,Joshua 14:1–5,פרק יד פס' א–ה,337,341,16
18,1,"The Borders and Cities of the Tribe of Judah, and the Inheritance of Caleb","גבולות שבט יהודה, עריו ונחלת כלב נשיא יהודה",,,Joshua 14:6–15:63,פרק יד פס' ו – פרק טו,342,414,16
19,1,The Inheritance of the Sons of Joseph,נחלות בני יוסף,,,Joshua 16:1–17:18,פרקים טז–יז,415,442,16
20,1,Mapping the remaining Land into seven parts and raffling them,מיפוי הארץ הנשארת לשבעה חלקים והגרלתם,,,Joshua 18:1–18:10,פרק יח פס' א–י,443,452,16
21,1,The lands of the seven remaining Tribes,נחלות שבעת השבטים הנותרים,,,Joshua 18:11–19:51,פרק יח פס' יא – פרק יט,453,521,16
22,1,Allocation of Cities of Refuge and Levite Cities,הקצאת ערי מקלט לרוצח ונתינת ערים לישיבת הלויים,"After each tribe has received its inheritance, and its members have dispersed to their allotted portions of land, it is time for Joshua to perform the last of his public functions: The allocation of the cities of refuge, which would absorb unwitting killers, and the designation of cities for the Levites. As the Torah stated, the tribe of Levi received no portion of land of its own. The role of the tribe is to serve in the Temple, to judge the people, and to teach them Torah. However, all the other tribes of Israel were commanded to designate areas within their territory as residential cities for the Levites.","לאחר שכל שבט נחל את נחלתו, ואנשיו התפזרו למקומותיהם, הגיע השלב האחרון בתפקידו הציבורי של יהושע: קביעת הערים שבהן ייקלט מי שרצח בשגגה ונתינת הערים ללויים.<footnote data-lang=""heb"" data-id=""358"" data-num=""1""/> כפי שנאמר בתורה, לשבט לוי אין נחלת אדמה משלו. הוא נועד לשרת במקדש, לשפוט ולהורות תורה לעם. כל שבטי ישראל האחרים מצֻווים לתת ללויים ערי מגורים מנחלותיהם.<footnote data-lang=""heb"" data-id=""359"" data-num=""2""/>",Joshua 20:1–21:40,פרק כ – פרק כא פס' מ,522,570,NULL
