abbrev,expanded,context_before,context_after
שצ,שליח צבור,"לו י""ג שנה",שמאריך בתפלה כדי
שצ,שליח צבור,מונעים גר מלהיות,ונדחו דבריהם אפלו
לשצ,לשליח צבור,ומי שהוא שונא,לא יעלה לספר
שצ,שליח צבור,אחר ברכותיו שכר,פורעים מקפת הקהל
השצ,השליח צבור,כשחוזרין להתפלל יאמר,מקצת פסוקי דזמרה
פסדז,פסוקי דזמרה,השליח צבור מקצת,ויאמר קדיש עליהם
והה,והוא הדין,שהביאו ב' שערות,לקדשה וברכו שאין
לקש,לקריאת שמע,שלאחריו לא שיך,וברכותיה יש מתירין
שצ,שליח צבור,בעזרה אינם מצטרפין,בתבה וט' בבית
ויא,ויש אומרים,עמהם יכול לענות,שצריך שלא יהא
יא,"י"" א",במקומו ואם הם,ורוצים לצאת שנים
שצ,שליח צבור,אומר,ברכו את ה'
שצ,שליח צבור,לעולם ועד וחוזר,ואומר ברוך ה'
קש,קריאת שמע,זמן,של שחרית משיראה
במע,במעריב ערבים,על פי שהפסיק,יש אומרים שהקדשה
השצ,השליח צבור,וערבית אומר עם,בנחת הגה וימהר
שצ,שליח צבור,ויענה אמן אחר,ומיהו אם לא
משצ,משליח צבור,אמרה רק שמעה,יצא דברכות אלו
סא,"ס""א אם",ועין לקמן סי',טעה בברכת יוצר
שצ,שליח צבור,של אדם מסים,ה' אלהיכם אמת
אמנ,אל מלך נאמן,שמע ביחיד יאמר,שמע וגו' כי
בפ,ב' פעמים,אסור לומר שמע,בין שכופל התבות
בפ,ב' פעמים,על שום ברכה,אמן אחר פסוק
בשכמלו,ברוך שם כבוד מלכותו לעולם ועד,ראשון צריך לומר,בחשאי צריך להפסיק
ויא,ויש אומרים,מחמת אנס הגה,דאם היה אנוס
קש,קריאת שמע,"סימן ק""ד קרא",ונכנס לבית הכנסת
קש,קריאת שמע,ומצא צבור שקורין,צריך לקרות עמהם
וכש,וכל שכן,גדול ממנו בחכמה,מלך או אנס
המ,הני מילי,וכן עקר ולכל,פוסקים מכל שכן
ויא,ויש אומרים,דהוי הפסק הגה,דעונין אמן וכן
השצ,השליח צבור,נוהגין לענות אחר,אמן אבל אם
בשח,בשירה חדשה,וכיצד עושה ממתין,כדי לענות כל
קש,קריאת שמע,ספק אם קרא,חוזר וקורא ומברך
כז,כל זמן,אסור להפסיק ולעסק,שהצבור אומר פיוטים
מקש,מקריאת שמע,נשים ועבדים פטורים,מפני שהוא מצות
לרת,לרבנו תם,ראשון קטנים פטורים,כשלא הגיעו לחנוך
מקש,מקריאת שמע,את הבתולה פטור,ג' ימים אם
קש,קריאת שמע,אם שכור יקרא,היה עוסק בצרכי
ואחכ,ואחר כך,"בדין להרמב""ם גומר",קורא קריאת שמע
קש,קריאת שמע,"שס""ה אסור לקרות",תוך ד' אמות
בבהק,בבית הקברות,של מת או,ואם קרא לא
בש,ב' שערות,לתינקת אם הביאו,אסור בלא הפסק
אעפ,אף על פי,לכסותו ממתניו ולמטה,שממתניו ולמעלה הוא
אחכ,אחר כך,להסתפק בצואה ומצאה,צריך לחזר ולקרות
עג,על גבי,מתר ולא שנא,קרקע לא שנא
קש,קריאת שמע,השנה אבל לקרות,אסור עד שיכלה
קש,קריאת שמע,מוטב שיעבר זמן,ותפלה ולא יתפלל
קש,קריאת שמע,עליו מתר לקרות,כנגדו כיון שאין
שש,שאלת שלום,שם ערמים אפלו,אסור ואסור לענות
בדת,בדברי תורה,"ס""ה אפלו להרהר",אסור בבית הכסא
בבהכ,בבית הכסא,בדברי תורה אסור,ובבית המרחץ ובמקום
ואחכ,ואחר כך,אצל נשותיהן כתרנגולין,בטלו אותה תקנה
עג,על גבי,גבוהין ג' ולא,מקום גבוה אלא
בה,בית הכנסת,תפלין או שיש,אחר בעיר או
אעפכ,אף על פי כן,והוא מתפלל ביחיד,יתפלל בבית הכנסת
ביוד,ביורה דעה,אמות מתר ועין,"סימן רמ""ב סעיף"
בדת,בדברי תורה,לנקביו אסור אפלו,כל זמן שגופו
קש,קריאת שמע,יפסיק ואם בשעת,וברכותיה נתעורר בין
בלאה,בלאו הכי,בל תשקצו אבל,יותר טוב להפסיק
בחל,בחוץ לארץ,אם היה עומד,יחזיר פניו כנגד
אי,ארץ ישראל,יחזיר פניו כנגד,ויכון גם לירושלים
ואל,ואם לאו,יוכל לעמד עומד,יושב במקומו ומתפלל
אא,אי אפשר,לו לרק ואם,לו שלא לרק
וכשכ,וכל שכן,אבל לא לימינו,לפניו דאסור אם
עג,על גבי,ד' קבין מניחם,קרקע ומתפלל
קש,קריאת שמע,שוגג הגה ודין,כדין תפלה אבל
רח,ראש חדש,של מועדות ושל,צריך להסדיר תפלתו
עפ,על פה,אומרים דוקא כשמתפללים,אבל כשמתפללין מתוך
בלהק,בלשון הקדש,לא יתפלל אלא,ויש אומרים דהני
דא,ד' אמות,אסור לישב בתוך,של מתפלל בין
ועיל,ועין לעיל,למקום שפסק הגה,"סי' פ""ה יש"
אא,אי אפשר,יפסיק בדבור ואם,לו יפסיק היה
מקש,מקריאת שמע,כל הפטורים,פטורים מתפלה וכל
מע,מצות עשה,בתפלה מפני שהיא,שלא הזמן גרמא
לקש,לקריאת שמע,"רשב""י וחבריו מפסיק",ולא לתפלה אבל
ויח,ושמונה עשרה,לאחר שאומר יוצר,ברכות יאמר אשרי
ואצ,ואינו צריך,יתפלל אותה נדבה,חדוש אם מתפלל
במוצש,במוצאי שבת,של שבת מתפלל,שתים ואינו מבדיל
והה,והוא הדין,לחדש בה דבר,אם לא הזכיר
רח,ראש חדש,ויבא במנחה של,הטועה ומזכיר מארע
שצ,שליח צבור,ולגמר קדם שיגיע,לקדשה או לקדיש
והה,והוא הדין,או לקדיש יתפלל,אמן דהאל הקדוש
שצ,שליח צבור,ולגמר קדם שיגיע,למודים יתפלל ואם
אצ,אין צריך,ואם היה רוכב,לירד אין צריך
לביהמד,לבית המדרש,בלא ברכה הנכנס,יתפלל יהי רצון
ירמ,יהי רצון מלפניך,לבית המדרש יתפלל,ה' אלהינו ואלהי
קש,קריאת שמע,עמהם אלא קורא,ואחר כך יתפלל
אעפ,אף על פי,בו לא ישחה,שלבו לשמים אין
אעפ,אף על פי,שהכריז שליח צבור,שהוא לא שמע
ובאי,ובארץ ישראל,הוא בכלל הס',מתחילין לשאל מליל
בשת,בשומע תפלה,בברכת השנים אלא,ואפלו עיר גדולה
בשת,בשומע תפלה,מחזירין אותו ושואל,ואם היה לו
בשת,בשומע תפלה,אלא יאמר עננו,כיחיד
אצ,אין צרך,התפלה בקול רם,לחזר לפסע ג'
ואצ,ואינו צריך,בקול רם לצבור,לחזר ולהתפלל בלחש
אעפכ,אף על פי כן,וכלם בקיאים בתפלה,ירד שליח צבור
בה,ברוך הוא,בכל מקום אומר,וברוך שמו ויענו
ובש,וברוך שמו,אומר ברוך הוא,ויענו אמן אחר
אעפ,אף על פי,וזה אינו שומעה,שיודע איזו ברכה
אצ,אין צריך,שמאריכין יותר מדאי,המברך להמתין להם
שצ,שליח צבור,חדש שאם שכח,ולא הזכיר יעלה
יעוי,יעלה ויבא,צבור ולא הזכיר,עד שהשלים תפלתו
ברח,בראש חדש,טוב דינו כמו,והכי נהוג אם
שצ,שליח צבור,שם כהנים אומר,אלהינו ואלהי אבותינו
בלאה,בלאו הכי,אלהינו כו' אבל,מתחילין שלום רב
כז,כל זה,עולין לדוכן יאמר,בשעה שהשליח צבור
וסת,וספר תורה,במקום שיש ארון,בתוכו אבל בלא
בביהכנ,בבית הכנסת,בבית החתן ולא,ביום מילה ולא
אעפ,אף על פי,התינוק אבל במנחה,שמתפללין אצל התינוק
בנ,בן נון,בטוח שיענה כיהושע,הגה וכן אסור
מביהכנ,מבית הכנסת,אסור לאדם לצאת,קדם קדשה דסדרא
סת,ספר תורה,מראה פני כתיבת,לעם העומדים לימינו
השצ,השליח צבור,כשמוציאין אותו אומר,גדלו והקהל אומרים
ויוט,ויום טוב,בשבת,ויום הכפורים קורים
ואחכ,ואחר כך,ממנים על הצבור,ראשי כנסיות וכל
סת,ספר תורה,הגר בתוכם וגלל,חוזר ופותח ומתחיל
ואחכ,ואחר כך,שצריך להתחיל בו,יברך ולאחר שקרא
אעפ,אף על פי,הצבור את המברך,ששמעו החזן עונה
אבב,אשר בחר בנו,נפטר מלברך ברכת,דלא גרע ממי
בסת,בספר תורה,בתורה צריך לאחז,בשעת ברכה הגה
בזהז,בזמן הזה,בתחלה הגה ואפלו,ששליח צבור קורא
ויא,ויש אומרים,צריך לחזר ולברך,שצריך
אאכ,אלא אם כן,או לעמוד אסור,הוא בעל בשר
ושצ,ושליח צבור,אלא העולה קורא,שותק או שליח
שצ,שליח צבור,צבור שותק או,קורא והעולה לא
השצ,השליח צבור,הוא לקרות עם,כדי שלא תהא
עי,על ידי,שכשם שנתנה תורה,סרסור כך אנו
עי,על ידי,צריכים לנהג בה,סרסור אין הצבור
סת,ספרי תורה,לאדם אחד בשני,משום פגמו של
בדת,בדברי תורה,אסור לספר אפלו,אפלו בין גברא
לסת,לספר תורה,ואין לעשות מפות,מדברים ישנים שנעשו
דכז,דכל זה,הספר תורה ונראה,מירי כשאחד עושה
מביהכנ,מבית הכנסת,יותר בקרן אחד,סגי בכך הבונה
השצ,השליח צבור,וישמעו כלם וכשמתפלל,פניו כלפי הקדש
ויא,ויש אומרים,ולשתות בהם מדחק,דבבית המדרש אפלו
ואחכ,ואחר כך,יאמר דבר שמועה,יקראנו כדי שלא
בביהמד,בבית המדרש,שנת עראי אבל,מתר לצרך בית
ואחכ,ואחר כך,בונים אחר תחלה,סותרים הישן ואפלו
אכ,אם כן,מבית הכנסת אלא,עושה על מנת
סת,ספר תורה,או מטפחת או,ורצו לשנותן מלצרך
סת,ספר תורה,דברים שבקדשה ואפלו,להספקת תלמידים או
אאכ,אלא אם כן,משלהם אינו נמכר,תלו אותו בדעת
והה,והוא הדין,שירצה בהסכמת הצבור,לכל דברי קדשה
כביהכנ,כבית הכנסת,ונתנה לקהל דינה,של קהל אבל
כביהכנ,כבית הכנסת,לבית הכנסת דינו,אבל אינו קדוש
סת,ספר תורה,דיחיד בשלו אפלו,מתר למכרו ולעשות
עי,על ידי,או להשאילן אפלו,ז' טובי העיר
זטה,ז' טובי העיר,אפלו על ידי,שעדין נשארים בקדשתן
סת,ספר תורה,מתר להשאיל אפלו,לקרות בה אפלו
לדמ,לדבר מצוה,וקורות לא ימכרום,אלא לפדיון שבויים
סת,ספר תורה,בית הכנסת או,ודוקא מהאתנן עצמה
סת,ספר תורה,וארגז שנותנין בו,או חמש וכסא
סת,ספר תורה,לכבס מטפחות של,במי רגלים מפני
סת,ספר תורה,וזו היא גניזתן,שבלה מניחין אותו
ואעג,ואף על גב,אדם לידי תקלה,דלא התנו כאלו
בד,בית דין,עכשו משום לב,מתנה עליהם לנהג
בביהכנ,בבית הכנסת,לישראל אסור להדליקם,הגה אף על
אעפ,אף על פי,בבית הכנסת הגה,שמתרים להדיוט ועין
בביהכנ,בבית הכנסת נר,מאוס אסור להדליקו,של בית הכנסת
לביהמד,לבית המדרש,יודע ללמד ילך,ושכר הליכה בידו
הז,הרי זה,הנוטל ידיו לפרות,מגסי הרוח הגה
מנטי,מנטילת ידים,לו מים פטור,צריך לזהר בנטילת
אחכ,אחר כך,אחר נגוב מברך,וינגבם היטב קדם
עי,על ידי,מים ומכל מקום,הדחק מתרים שעוברי
עי,על ידי,ומתחלה נעשה לקבל,כך לא יתן
בבא,בבת אחת,ששפך עליה רביעית,הגה ונהגו להקל
יא,יש אומרים,אינו מחבר לקרקע,שעלתה לו נטילה
ויא,ויש אומרים,שעלתה לו נטילה,שלא עלתה לו
אצ,אינו צריך,טהורות המטביל ידיו,שתי פעמים ולא
ויא,ויש אומרים,על נטילת ידים,דמברכין על טבילת
ויא,ויש אומרים,אלא במים בלבד,שהיין כשר לנטילת
אצ,אינו צריך,לטל כאחד האחרון,ואפלו בזה אחר
עג,על גב,זה או זה,זה ולטל כאחד
ואחכ,ואחר כך,וזה ידו אחת,חזר השני ונטל
והה,והוא הדין,את הידים הגה,אם משפילן מתחלת
עמ,על מנת,שנטל בתחלה טופח,להטפיח הרי זו
ואחכ,ואחר כך,כל אחת רביעית,ישפשפם שהשופך רביעית
עי,על ידי,שהרי זה טמאם,המים שעליהם לכך
אצ,אינו צריך,כל יד מרביעית,לכל זה מתוך
וכש,וכל שכן,שתיהם כאחת הגה,לזהר שלא יגע
עי,על ידי,במשקה או אוכל,כף המאכיל לאחרים
נטי,נטילת ידים,לאחרים אינו צריך,והאוכל צריך נטילת
אעפ,אף על פי,צריך נטילת ידים,שאחר נותן לתוך
והה,והוא הדין,ואינו נוגע במאכל,לאוכל במגרפה שצריך
שאצ,שאינו צריך,יש אומרים,לזהר מלהפסיק בין
ויא,ויש אומרים,בין נטילה להמוציא,שצריך לזהר וטוב
אצ,אינו צריך,לאכל פת חרבה,להמתין הגה ומכל
אחכ,אחר כך,שאכל הבוצע אבל,לא הוי שיחה
ואחכ,ואחר כך,ונתכון להוציא השומעים,נגב ראובן ידיו
שהנב,שהכל נהיה בדברו,ברכת המוציא ברך,או שאמר בריך
תח,תלמיד חכם,הכהן עם הארץ,קודם לו ואם
בעהב,בעל הבית,ואם יש עמהם,הוא בוצע ואפלו
אעפ,אף על פי,שרי לברך לאחרים,שאינו טועם אלא
אעפ,אף על פי,שהוא ממין ז',שהכסמין יפים פת
בעהב,בעל הבית,דמצוה מטלת על,יבצע מן היפה
חביצא,"חביצ"" א",שלא אכל כזית,דהינו פרורי לחם
אעפ,אף על פי,יש בהם כזית,שאין בו תאר
וכז,וכל זה,שאר הפת תחלה,לא מירי אלא
שאחכ,שאחר כך,הבאה בכיסנין חלוט,אפאו בתנור פת
בעהב,בעל הבית,בידו או ביד,ודוקא לשמש אבל
והמ,והני מילי,ודאי צריך נטילה,לשתות אבל לאכל
בלאה,בלאו הכי,שמא יאכל אבל,אין צריך נטילה
אצ,אין צריך,אבל בלאו הכי,נטילה לשתיה (
אעפ,אף על פי,זה אוכל עמהם,שלא נתנו לו
עי,על ידי,זורקין אכלין הנמאסים,זריקה אבל מדי
אחכ,אחר כך,והנשאר מן הפת,אוכלים אותו ממשיכין
ויא,ויש אומרים,ברכה ראשונה הגה,דמברך עליהם וכן
כא,כל אחד,להיכן יגיע הכוס,צריך לברך דמקרי
סס,סוף סימן,"בתוך המזון וע""ל","רע""ב ולענין יין"
ויא,ויש אומרים,היא ופת פוטרתם,לברך על המים
אעג,אף על גב,הטוב והמטיב הגה,שאין לו עוד
ועל,ועין לעיל,וכל מיני פרות,"סימן קס""ח סעיף"
קסח,"קס""ח סעיף ח'",ועין לעיל סימן,אם אוכל אותם
ואא,ואי אפשר,ולהתפלל שחיב להפסיק,לו לאכל עד
בעהב,בעל הבית,הדעת עד שיאמר,אם לא אמר
על,עיין לקמן,שאומר שאינו צריך,"סי' ק""ץ וסי'"
ועכ,ועל כן,יסיח דעתו הגה,אין לוקחין כוס
הה,הוא הדין,דוקא המברך אלא,כל המסבין לא
ועל,ועין לעיל,מיני דגן דוקא,"סי' קע""ח סעיף"
סה,סעיף ה',"לעיל סי' קע""ח",אכל ואינו יודע
יא,יש אומרים,,ברוך משביע לרעבים
ואחכ,ואחר כך,אומר רצה והחליצנו,יעלה ויבא ואינו
יוט,יום טוב,והזמנים ואם חל,בשבת אומר שנתן
כרח,כראש חדש,וחל המועד דינו,הגה ואפשר דמכל
רח,ראש חדש,ואינו חותם בשל,סעדה שלישית בשבת
כרח,כראש חדש,שלישית בשבת דינה,ג' שאכלו בשבתות
והה,והוא הדין,בתר התחלת הסעדה,לראש חדש ופורים
לרח,לראש חדש,הסעדה והוא הדין,ופורים וחנכה
כא,כי אם,יאמר בה החי,בבית האבל ואומר
סטו,"סעיף ט""ו ואחר","ע""ל סי' רע""א",כך יטעמו האחרים
וממ,ומכל מקום,יחד בגמר האכילה,אם יאכל עמהם
כמ,כל מקום,ומכל מקום אפלו,שרשאין לחלק עדיף
אחכ,אחר כך,לזמן אפלו אכלו,יחד וגמרו סעודתן
ועל,ועין לקמן,סכנה מברכים עליו,"סי' ר""ד שלשה"
ועל,ועין לעיל,לן ונבריך דמי,"סי' קע""ט תשעה"
עה,עם הארץ,ואין מזמנין עליו,גמור מזמנין עליו
אעפ,אף על פי,בזמון שלנו הגה,שאינן מבינות אנדרוגינוס
תח,תלמיד חכם,כלום אבל כהן,מצוה להקדימו שנאמר
הול,הוה ליה,הוא חושש בגרונו,שמן עקר ומברך
ויא,ויש אומרים,בורא פרי העץ,לברך עליהם שהכל
בפהע,בורא פרי העץ על,"על אגוז מושקא""ט","קניל""ה ר""ל צימרינ""ד"
אעג,אף על גב,לאכל או לשתות,דהחיך נהנה ממנו
אעפ,אף על פי,על הירקות עצמן,שאין בהם אלא
ופהע,ופרי העץ,לפניו פרי האדמה,וברך על פרי
אעפ,אף על פי,צריך לחזר ולברך,שהיה מאותו מין
בממ,בורא מיני מזונות,ובשלו בקדרה מברך,ועל המחיה ואם
בממ,בורא מיני מזונות,בקדרה מברך תחלה,ואחריו בורא נפשות
וכש,וכל שכן,נפשות על התפוחים,אם אכל בשר
והה,והוא הדין,כל אחת ואחת,אם אכל בשר
ויא,ויש אומרים,הראויה לאותו המין,שאם לקח כוס
אעפ,אף על פי,מקדים מין ז',שאינו חביב כמו
ויא,ויש אומרים,ואפלו אינו חביב,שגם בזה צריך
בממ,בורא מיני מזונות,המוציא קודמת לברכת,וכל שכן לשאר
ואחכ,ואחר כך,עליו מברך עליו,מברך על העקר
ויא,ויש אומרים,זמון לפרות הגה,דבכל הדברים חוץ
אעפ,אף על פי,מתחלתה ועד סופה,שאינו חיב באותה
ויא,ויש אומרים,מצוה מברך עליו,שאינו מברך לכך
ויא,ויש אומרים,ריח טוב בפת,דאין לברך עליו
אעפ,אף על פי,לבטלה מן המברך,שלא נתחיב בברכה
ככ,כל כך,בגשמים ואינן נעצרין,ומה מברך אם
אעפ,אף על פי,הטובה הטוב והמטיב,שירא שמא יבא
גכ,גם כן,לו אחים מברך,שהחינו ואם יש
ויא,ויש אומרים,בהם יברך הגה,דאפלו עני אינו
באי,בארץ ישראל,א אם הוא,אומר ברוך אתה
ויא,ויש אומרים,גדול מאד הגה,משלשים יום לשלשים
מב,מעשה בראשית,מלך העולם עושה,ועל הים הגדול
עי,על ידי,שלא נשתנה מהלכם,אדם ולא על
אא,אם אי,,אפשר לו ללמד
השצ,השליח צבור,ויש אומרים שיתפלל,עם הקהל בקול
למק,למנחה קטנה,קטנה אפלו סמוך,שרי ונהגו להקל
אעפ,אף על פי,ידיו כדי להתפלל,שאינו יודע להם
אאכ,אלא אם כן,להתפלל תפלת רשות,מכיר בעצמו שהוא
קש,קריאת שמע,יום יקרא עמהם,וברכותיה ויתפלל עמהם
קש,קריאת שמע,שעה סמוך לזמן,של ערבית ואם
אעפ,אף על פי,לא התחיל לאכל,שנוטל ידיו צריך
קש,קריאת שמע,ולא מדברים אחר,שעל מטתו אלא
תח,תלמידי חכמים,לששה חדשים ועונת,מליל שבת לליל
עי,על ידי,הוא נעור ואפלו,הפסק מחצה עשרה
עג,על גבי,ואם פרש טלית,ארגז חשוב ככלי
אעפ,אף על פי,עשרה לפני הנר,שהאור נראה דרך
ותח,ותלמיד חכם,בית אפל הגה,מאפיל בטליתו ושרי
בעהב,בעל הבית,יישן בטליתו של,שכבת הזרע הוא
הקבה,"הקב""ה המשתין",אחד מהדברים ששונא,בפני מטתו ערם
ואעפ,ואף על פי,דינם כשדה הגה,שלא לקחה הכותי
יא,יש אומרים,והשכירו במקום האסור,ששכרו מתר ויש
אי,אינו יהודי,מכס ומשכיר לו,לקבל מכס בשבת
והאי,והאינו יהודי,השבתות לאינו יהודי,יקח הרוח של
בעש,בערב שבת,"לעכו""ם בשבת ואפלו",אם הוא סמוך
אחכ,אחר כך,על פי שהתנו,ואם ילוה אותה
עי,על ידי,מעכשו ויש מתירים,"שיזהיר את העכו""ם"
אעפ,אף על פי,טרח אבל בסתם,שיש בדעתו שיתן
בעש,בערב שבת,ילך אם הוא,אסור דכשיוצא בשבת
בעש,בערב שבת,להפליג בספינה אפלו,אם הולך לדבר
אחכ,אחר כך,שיצטרך הישראל לעשות,מלאכה בשבת להוליך
בעש,בערב שבת,להפליג בהם אפלו,והוא שלא יהא
מעש,מערב שבת,שקנה בה שביתה,מתר אחר כך
אחכ,אחר כך,מתר לצאת ואם,יארע לו סכנה
והמ,והני מילי,בין שהולך לביתו,כשהוא בישוב במקום
בעש,בערב שבת,גונא אסור לקבע,סעדה ומשתה שאינו
ויא,ויש אומרים,הצבור תפלתן הגה,דלא ישלים אלא
בעש,בערב שבת,לא קצץ אסור,ועין לעיל סי'
אעפ,אף על פי,ולאסר כל שקצץ,"שיעשה העכו""ם מלאכה"
בעש,בערב שבת,למשמש אדם בכליו,סמוך לחשכה שלא
אאכ,אלא אם כן,יום להשהותו עליה,נתבשל כל צרכו
אעפ,אף על פי,על הגרופה וקטומה,שמוסיף הבל משאינה
וכש,וכל שכן,שהיד סולדת בו,שאסור לשהות בתוכו
ויא,ויש אומרים,"ריש סי' רנ""ז",שכל שנתבשל כמאכל
כז,כל זמן,בשבת מתר להחזירה,שהיא רותחת הגה
ויא,ויש אומרים,אפלו באותה כירה,דכל זה אינו
יא,יש אומרים,להניחו בכרים ובכסתות,דכל שהוא סמוך
ככ,כל כך,אם הוא סמוך,שאם נצטנן הקדרה
עג,על גבי,כל כך ודוקא,כירה ממש אבל
שהיסב,שהיד סולדת בו,סמוך לאש במקום,שרי אפלו סמוך
ככ,כל כך,בזה ואם החם,בתנור שהיד סולדת
אעפ,אף על פי,,שבשר חי מתר
ועג,ועל גבי,בטיט הכל שרי,האש שהוא מגלה
אעפ,אף על פי,לתנם סביב הקדרה,שאי אפשר שיצלו
עש,ערב שבת,ויתן לתוך התנור,עם חשכה ואם
יא,יש אומרים,ראשונה מתר הגה,דאם שכח והטמין
עג,על גבי,שמתר להשהות קדרה,כירה שיש בה
בעש,בערב שבת,ידיו ורגליו בחמין,ומצוה לחף הראש
בעש,בערב שבת,הראש ולגלח הצפרנים,הגה ואם היו
ביוט,ביום טוב,ואחד האשה גם,צריך לברך להדליק
יוט,יום טוב,להדליק נר של,"ובי""ה בלא שבת"
מבעי,מבעוד יום,והתפלל של שבת,חל עליו קבלת
וכש,וכל שכן,מאותה המלאכה בשבת,במוצאי שבת מי
במוש,במוצאי שבת,בשבת וכל שכן,מי שמאחר להתפלל
וממ,ומכל מקום,יונתן מהבהב) הגה,נהגו להדליק הפתילה
מבעי,מבעוד יום,לתוכו מים אפלו,מפני שמקרב זמן
ויא,ויש אומרים,להגביה השמן הגה,אפלו מתכון לכבוי
ואעפ,ואף על פי,שכר על זה,שנתנו לו משחשכה
ויא,ויש אומרים,בשחרית מוסף ומנחה,דבמוסף פוסק אפלו
משצ,משליח צבור,התפלל כלל ושמע,ברכה מעין שבע
בעש,בערב שבת,טוב שחל להיות,ויש שאין אומרים
ואחכ,ואחר כך,בלא ברכת היין,מברך ברכת המוציא
אעפ,אף על פי,ולשתות קדם שיקדשו,שאינם רשאים צריכים
ואחכ,ואחר כך,יקדש על הפת,יאכל אבל בהבדלה
ויא,ויש אומרים,הקדוש במקום סעדה,דאף בגמר סעודתו
ויא,ויש אומרים,על הפת הגה,דלכתחלה יש לטל
ואצ,ואין צריך,בורא פרי הגפן,לחזר ולקדש והוא
ואחכ,ואחר כך,מנת לאכל שם,נמלך לאכל במקום
בלאה,בלאו הכי,שם מיד אבל,אפלו אכל במקום
שאצ,שאינו צריך,הנר כוסות מפני,עיון הרבה ואם
אעפ,אף על פי,שהוא משתמש לאורה,שרב ישראל מתר
ועל,ועיין לקמן,על סברא זו,"סי' ש""ז אם"
שבבהכנ,שבבית הכנסת,שמתר לגע במנורה,והנרות דולקות עליו
אעפ,אף על פי,בו באותו שבת,שכבה אסור לטלטלו
