Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Re'eh 29",אבד וגו' אשר אתם ירשים אתם את אלהיהם,
"Aderet Eliyahu, Re'eh 30",ונתצתם את מזבחתם וגו',
"Aderet Eliyahu, Re'eh 31",ונתצתם את מזבחתם זהו שלש בתים וכו',Deuteronomy 12:3
"Aderet Eliyahu, Re'eh 32",מן המקום ההוא,Deuteronomy 12:3
"Aderet Eliyahu, Re'eh 33",ונתצתם את מזבחתם וגו' ופסילי אלהיהם תגדעון,
"Aderet Eliyahu, Re'eh 34",ואבדתם את שמם,
"Aderet Eliyahu, Re'eh 35",אבד תאבדון וגו',
"Aderet Eliyahu, Re'eh 36",אשר עבדו,
"Aderet Eliyahu, Re'eh 37",לא תעשון כן לה' אלהיכם,Deuteronomy 12:4
"Aderet Eliyahu, Re'eh 38",כי אם אל המקום אשר יבחר ה',Deuteronomy 12:5
"Aderet Eliyahu, Re'eh 39",וחשב כאן חמשה זמנים,
"Aderet Eliyahu, Re'eh 40",לשכן שמו שם,Deuteronomy 12:5
"Aderet Eliyahu, Re'eh 41",אשר יבחר ה' ונאמר לשכנו תדרשו,Deuteronomy 12:11
"Aderet Eliyahu, Re'eh 42",ובאת שמה והבאתם שמה,
"Aderet Eliyahu, Re'eh 43",ואת מעשרתיכם,
"Aderet Eliyahu, Re'eh 44",ואת תרומת ידכם,
"Aderet Eliyahu, Re'eh 45",ואכלתם שם,
"Aderet Eliyahu, Re'eh 46",ושמחתם,Deuteronomy 12:12
"Aderet Eliyahu, Re'eh 47",ושמחתם,Deuteronomy 12:12
"Aderet Eliyahu, Re'eh 48",אשר ברכך ה' אלהיך,
"Aderet Eliyahu, Re'eh 49",לא תעשון,
"Aderet Eliyahu, Re'eh 50",ככל אשר אנחנו עשים פה,
"Aderet Eliyahu, Re'eh 51",כי לא באתם וגו' אל המנוחה ואל הנחלה,
"Aderet Eliyahu, Re'eh 52","ועברתם את הירדן וגו' והניח לכם מכל איביכם וגו' ואח""כ והיה המקום",
"Aderet Eliyahu, Re'eh 53",והניח לכם מכל איביכם מסביב,Deuteronomy 12:12
"Aderet Eliyahu, Re'eh 54",והיה המקו' אשר יבחר ה',
"Aderet Eliyahu, Re'eh 55",עולתיכם וזבחיכם,
"Aderet Eliyahu, Re'eh 56",וכל מבחר נדריכם,
"Aderet Eliyahu, Re'eh 57",ושמחתם,
"Aderet Eliyahu, Re'eh 58",אתם ובניכם וגו',Deuteronomy 12:12
"Aderet Eliyahu, Re'eh 59",כי אין לו חלק,Deuteronomy 12:12
"Aderet Eliyahu, Re'eh 60",השמר לך פן תעלה,Deuteronomy 12:13
"Aderet Eliyahu, Re'eh 61",בכל מקום אשר תראה,Deuteronomy 12:13
"Aderet Eliyahu, Re'eh 62",כי אם במקום אשר יבחר וגו',Deuteronomy 12:14
"Aderet Eliyahu, Re'eh 63",שם תעלה ושם תעשה,Deuteronomy 12:14
"Aderet Eliyahu, Re'eh 64",רק בכל אות נפשך,Deuteronomy 12:15
"Aderet Eliyahu, Re'eh 65",רק בכל אות נפשך,Deuteronomy 12:15
"Aderet Eliyahu, Re'eh 66",תזבח,Deuteronomy 12:15
"Aderet Eliyahu, Re'eh 67",כברכת ה' אלהיך וגו',
"Aderet Eliyahu, Re'eh 68",הטמא והטהור יאכלנו,Deuteronomy 12:15
"Aderet Eliyahu, Re'eh 69",יאכלנו,
"Aderet Eliyahu, Re'eh 70",יאכלנו כצבי וגו',Deuteronomy 12:15
"Aderet Eliyahu, Re'eh 71",על הארץ תשפכנו כמים,Deuteronomy 12:16
"Aderet Eliyahu, Re'eh 72",לא תוכל לאכל בשעריך,Deuteronomy 12:17
"Aderet Eliyahu, Re'eh 73",מעשר,Deuteronomy 12:17
"Aderet Eliyahu, Re'eh 74",בקרך וצאנך,Deuteronomy 12:17
"Aderet Eliyahu, Re'eh 75",השמר לך פן תעזב וגו',Deuteronomy 12:19
"Aderet Eliyahu, Re'eh 76",על אדמתך,Deuteronomy 12:19
"Aderet Eliyahu, Re'eh 77",כי ירחיב ה' אלהיך את וגו',Deuteronomy 12:20
"Aderet Eliyahu, Re'eh 78",כאשר דבר לך,Deuteronomy 12:20
"Aderet Eliyahu, Re'eh 79",ואמרת אכלה בשר וגו' כי תאוה וגו' בכל אות נפשך וגו',
"Aderet Eliyahu, Re'eh 80",ואמרת אכלה וגו',Deuteronomy 12:20
"Aderet Eliyahu, Re'eh 81",ואמרת אכלה וגו',Deuteronomy 12:20
"Aderet Eliyahu, Re'eh 82",כי ירחק ממך המקו',Deuteronomy 12:21
"Aderet Eliyahu, Re'eh 83",וזבחת,Deuteronomy 12:21
"Aderet Eliyahu, Re'eh 84",כאשר צויתך,Deuteronomy 12:21
"Aderet Eliyahu, Re'eh 85",את הצבי ואת האיל,
"Aderet Eliyahu, Re'eh 86",בכל אות נפשך,Deuteronomy 12:21
"Aderet Eliyahu, Re'eh 87",אך כאשר יאכל את הצבי ואת האיל,Deuteronomy 12:22
"Aderet Eliyahu, Re'eh 88",רק חזק לבלתי אכל הדם,Deuteronomy 12:23
"Aderet Eliyahu, Re'eh 89",ולא תאכל הנפש עם הבשר,Deuteronomy 12:23
"Aderet Eliyahu, Re'eh 90",על הארץ תשפכנו כמים,Deuteronomy 12:24
"Aderet Eliyahu, Re'eh 91",רק קדשיך וגו',Deuteronomy 12:26
"Aderet Eliyahu, Re'eh 92",אשר יהיו לך,Deuteronomy 12:26
"Aderet Eliyahu, Re'eh 93",ודם זבחיך,Deuteronomy 12:27
"Aderet Eliyahu, Re'eh 94",ועשית עלתיך הבשר והדם,
"Aderet Eliyahu, Re'eh 95",והבשר תאכל,Deuteronomy 12:27
"Aderet Eliyahu, Re'eh 96",ועשית עלתיך הבשר והדם,
"Aderet Eliyahu, Re'eh 97",שמר ושמעת,Deuteronomy 12:28
"Aderet Eliyahu, Re'eh 98",שמר ושמעת,Deuteronomy 12:28
"Aderet Eliyahu, Re'eh 99",כי תעשה הטוב והישר,Deuteronomy 12:28
"Aderet Eliyahu, Re'eh 100",כי יכרית ה' אלהיך את הגוים וגו',Deuteronomy 12:29
"Aderet Eliyahu, Re'eh 101",השמר לך פן תנקש אחריהם וגו',Deuteronomy 12:30
"Aderet Eliyahu, Re'eh 102",איכה יעבדו הגוים,Deuteronomy 12:30
"Aderet Eliyahu, Re'eh 103",לא תעשה כן לה' אלהיך,Deuteronomy 12:31
"Aderet Eliyahu, Re'eh 104",כי כל תועבת,Deuteronomy 12:31
"Aderet Eliyahu, Re'eh 105",כי גם את בניהם ואת וגו',Deuteronomy 12:31
"Aderet Eliyahu, Re'eh 106",את כל הדבר וגו' תשמרו לעשות לא תסף,
"Aderet Eliyahu, Re'eh 107",את כל הדבר,Deuteronomy 13:1
"Aderet Eliyahu, Re'eh 108",כי יקום בקרבך נביא,Deuteronomy 13:2
"Aderet Eliyahu, Re'eh 109",ונתן אליך אות או מופת,Deuteronomy 13:2
"Aderet Eliyahu, Re'eh 110",ונתן אליך אות או מופת,Deuteronomy 13:2
"Aderet Eliyahu, Re'eh 111",ובספרי אמרו אות הוא בשמים,
"Aderet Eliyahu, Re'eh 112",ובא האות והמופ' וגו' נלכה אחרי אלהים אחרים,
"Aderet Eliyahu, Re'eh 113",נלכה אחרי אלהים וגו' אשר לא ידעתם,Deuteronomy 13:3
"Aderet Eliyahu, Re'eh 114",כי יקום בקרבך נביא,
"Aderet Eliyahu, Re'eh 115",לא תשמע אל דברי וגו' ההוא או אל חולם וגו',Deuteronomy 13:4
"Aderet Eliyahu, Re'eh 116",חולם וגו' ההוא,
"Aderet Eliyahu, Re'eh 117",כי מנסה ה' אלהיכם אתכם,Deuteronomy 13:4
"Aderet Eliyahu, Re'eh 118",אחרי ה' אלהיכם תלכו,Deuteronomy 13:5
"Aderet Eliyahu, Re'eh 119",ואתו תיראו,Deuteronomy 13:5
"Aderet Eliyahu, Re'eh 120",ואת מצותיו תשמרו,Deuteronomy 13:5
"Aderet Eliyahu, Re'eh 121",ובקלו תשמעו,Deuteronomy 13:5
"Aderet Eliyahu, Re'eh 122",ואתו תעבדו,Deuteronomy 13:5
"Aderet Eliyahu, Re'eh 123",ובו תדבקון,Deuteronomy 13:5
"Aderet Eliyahu, Re'eh 124",והנביא ההוא או חולם החלם ההוא וגו',Deuteronomy 13:6
"Aderet Eliyahu, Re'eh 125",יומת,Deuteronomy 13:6
"Aderet Eliyahu, Re'eh 126",כי דבר סרה,Deuteronomy 13:6
"Aderet Eliyahu, Re'eh 127",המוציא אתכם מארץ מצדים והפדך מבית עבדים,Deuteronomy 13:6
"Aderet Eliyahu, Re'eh 128",ולמעלה כתיב מדוע באתי ואין איש,
"Aderet Eliyahu, Re'eh 129",להדיחך,Deuteronomy 13:6
"Aderet Eliyahu, Re'eh 130",מן הדרך,Deuteronomy 13:6
"Aderet Eliyahu, Re'eh 131",אשר צוך ה' אלהיך,
"Aderet Eliyahu, Re'eh 132",ללכת בה,Deuteronomy 13:6
"Aderet Eliyahu, Re'eh 133",ובערת הרע,Deuteronomy 13:6
"Aderet Eliyahu, Re'eh 134",כי יסיתך אחיך,Deuteronomy 13:7
"Aderet Eliyahu, Re'eh 135",בן אמך,Deuteronomy 13:7
"Aderet Eliyahu, Re'eh 136",בנך או בתך,Deuteronomy 13:7
"Aderet Eliyahu, Re'eh 137",או אשת,Deuteronomy 13:7
"Aderet Eliyahu, Re'eh 138",חיקך,Deuteronomy 13:7
"Aderet Eliyahu, Re'eh 139",או רעך,Deuteronomy 13:7
"Aderet Eliyahu, Re'eh 140",אשר כנפשך,Deuteronomy 13:7
"Aderet Eliyahu, Re'eh 141",בסת',Deuteronomy 13:7
"Aderet Eliyahu, Re'eh 142",נלכה ונעבדה אלהים אחרים,Deuteronomy 13:7
"Aderet Eliyahu, Re'eh 143",אשר לא ידעת אתה ואבתיך,Deuteronomy 13:7
"Aderet Eliyahu, Re'eh 144",כי יסיתך וגו',
"Aderet Eliyahu, Re'eh 145",מאלהי העמים אשר סביבתיכם הקרבים אליך או הרחקים וגו',Deuteronomy 13:8
"Aderet Eliyahu, Re'eh 146",מקצה הארץ ועד קצה הארץ,Deuteronomy 13:8
"Aderet Eliyahu, Re'eh 147",לא תאבה לו,Deuteronomy 13:9
"Aderet Eliyahu, Re'eh 148",לא תאבה ולא תשמע וגו' פי' בברייתא לא תאבה בלב,
"Aderet Eliyahu, Re'eh 149",כי הרג תהרגנו,Deuteronomy 13:10
"Aderet Eliyahu, Re'eh 150",תהרגנו,Deuteronomy 13:10
"Aderet Eliyahu, Re'eh 151",ידך תהיה בו וגו',Deuteronomy 13:10
"Aderet Eliyahu, Re'eh 152",וסקלתו באבנים,Deuteronomy 13:11
"Aderet Eliyahu, Re'eh 153",כי בקש להדיחך,Deuteronomy 13:11
"Aderet Eliyahu, Re'eh 154",המוציאך וגו' מבית עבדים,
"Aderet Eliyahu, Re'eh 155",המוציאך מארץ מצרים וגו',Deuteronomy 13:11
"Aderet Eliyahu, Re'eh 156",וכל ישראל ישמעו ויראון,Deuteronomy 13:12
"Aderet Eliyahu, Re'eh 157",ולא יוספו וגו' כדבר הרע,Deuteronomy 13:12
"Aderet Eliyahu, Re'eh 158",כי תשמע באחת,Deuteronomy 13:13
"Aderet Eliyahu, Re'eh 159",לשבת,Deuteronomy 13:13
"Aderet Eliyahu, Re'eh 160",לאמר,Deuteronomy 13:13
"Aderet Eliyahu, Re'eh 161",לאמר,Deuteronomy 13:13
"Aderet Eliyahu, Re'eh 162",יצאו,Deuteronomy 13:14
"Aderet Eliyahu, Re'eh 163",אנשים,Deuteronomy 13:14
"Aderet Eliyahu, Re'eh 164",אנשים,Deuteronomy 13:14
"Aderet Eliyahu, Re'eh 165",בני בליעל,Deuteronomy 13:14
"Aderet Eliyahu, Re'eh 166",מקרבך,Deuteronomy 13:14
"Aderet Eliyahu, Re'eh 167",עירם ולא מיושבי עיר אחרת,
"Aderet Eliyahu, Re'eh 168",לאמר,Deuteronomy 13:14
"Aderet Eliyahu, Re'eh 169",ודרשת,Deuteronomy 13:15
"Aderet Eliyahu, Re'eh 170",ושאלת,Deuteronomy 13:15
"Aderet Eliyahu, Re'eh 171",וחקרת,
"Aderet Eliyahu, Re'eh 172",והנה אמת נכון הדבר,Deuteronomy 13:15
"Aderet Eliyahu, Re'eh 173",בקרבך,Deuteronomy 13:15
"Aderet Eliyahu, Re'eh 174",הכה תכה,Deuteronomy 13:16
"Aderet Eliyahu, Re'eh 175",החרם אתה,Deuteronomy 13:16
"Aderet Eliyahu, Re'eh 176",ואת כל אשר בה,Deuteronomy 13:16
"Aderet Eliyahu, Re'eh 177",בה,Deuteronomy 13:16
"Aderet Eliyahu, Re'eh 178",ואת בהמתה,Deuteronomy 13:16
"Aderet Eliyahu, Re'eh 179",את ישבי העיר,Deuteronomy 13:17
"Aderet Eliyahu, Re'eh 180",ואת כל שללה,Deuteronomy 13:17
"Aderet Eliyahu, Re'eh 181",שללה,Deuteronomy 13:17
"Aderet Eliyahu, Re'eh 182",אל תוך רחבה,
"Aderet Eliyahu, Re'eh 183",תקבץ,
"Aderet Eliyahu, Re'eh 184",ושרפת באש וגו' שללה,
"Aderet Eliyahu, Re'eh 185",כליל לה',
"Aderet Eliyahu, Re'eh 186",והיתה תל עולם לא תבנה,Deuteronomy 13:17
"Aderet Eliyahu, Re'eh 187",ולא ידבק בידך מאומה מן החרם,Deuteronomy 13:18
"Aderet Eliyahu, Re'eh 188",למען ישוב ה' מחרון אפו,Deuteronomy 13:18
"Aderet Eliyahu, Re'eh 189",ונתן לך רחמים ורחמך,Deuteronomy 13:18
"Aderet Eliyahu, Re'eh 190",בנים אתם לה' אלהיכם,Deuteronomy 14:1
"Aderet Eliyahu, Re'eh 191",לא תתגדדו,Deuteronomy 14:1
"Aderet Eliyahu, Re'eh 192",ולא תשימו קרחה,Deuteronomy 14:1
"Aderet Eliyahu, Re'eh 193",כי עם קדוש אתה,Deuteronomy 14:2
"Aderet Eliyahu, Re'eh 194",ובך בחר,Deuteronomy 14:2
"Aderet Eliyahu, Re'eh 195",להיות לו לעם סגלה,Deuteronomy 14:2
"Aderet Eliyahu, Re'eh 196",אשר על פני האדמה,Deuteronomy 14:2
"Aderet Eliyahu, Re'eh 197",לא תאכל כל תועבה,Deuteronomy 14:3
"Aderet Eliyahu, Re'eh 198",זאת הבהמה,
"Aderet Eliyahu, Re'eh 199",זאת הבהמה וגו' איל וגו',Deuteronomy 14:4
"Aderet Eliyahu, Re'eh 200",תאו,
"Aderet Eliyahu, Re'eh 201",בבהמה,Deuteronomy 14:6
"Aderet Eliyahu, Re'eh 202",השסועה,
"Aderet Eliyahu, Re'eh 203",את הגמל,
"Aderet Eliyahu, Re'eh 204",אתה תאכלו,Deuteronomy 14:6
"Aderet Eliyahu, Re'eh 205",אך וגו' לא תאכלו,
"Aderet Eliyahu, Re'eh 206",אך את זה לא תאכלו ממעלי הגרה,Deuteronomy 14:7
"Aderet Eliyahu, Re'eh 207",לא תאכלו וגו' ממפריסי הפרסה,Deuteronomy 14:7
"Aderet Eliyahu, Re'eh 208",את הגמל וגו',Deuteronomy 14:7
"Aderet Eliyahu, Re'eh 209",מבשרם,Deuteronomy 14:8
"Aderet Eliyahu, Re'eh 210",ובנבלתם לא תגעו,Deuteronomy 14:8
"Aderet Eliyahu, Re'eh 211",את זה תאכלו מכל אשר במים וגו',Deuteronomy 14:9
"Aderet Eliyahu, Re'eh 212",כל צפור טהרה,Deuteronomy 14:11
"Aderet Eliyahu, Re'eh 213",כל צפור וגו',Deuteronomy 14:11
"Aderet Eliyahu, Re'eh 214",אשר לא תאכלו,Deuteronomy 14:12
"Aderet Eliyahu, Re'eh 215",הנשר והפרס,Deuteronomy 14:12
"Aderet Eliyahu, Re'eh 216",ואת האיה וגו',Deuteronomy 14:13
"Aderet Eliyahu, Re'eh 217",ואת כל ערב,Deuteronomy 14:14
"Aderet Eliyahu, Re'eh 218",ואת בת היענה,Deuteronomy 14:15
"Aderet Eliyahu, Re'eh 219",הנץ למינהו,Deuteronomy 14:15
"Aderet Eliyahu, Re'eh 220",את הכוס ואת הינשוף,Deuteronomy 14:16
"Aderet Eliyahu, Re'eh 221",והתנשמת,Deuteronomy 14:16
"Aderet Eliyahu, Re'eh 222",והקאת ואת הרחמה,Deuteronomy 14:17
"Aderet Eliyahu, Re'eh 223",ואת השלך,Deuteronomy 14:17
"Aderet Eliyahu, Re'eh 224",בפ' שמיני כתיב שלך ינשוף כו' והרחם,
"Aderet Eliyahu, Re'eh 225",והחסידה,Deuteronomy 14:18
"Aderet Eliyahu, Re'eh 226",חסידה,
"Aderet Eliyahu, Re'eh 227",למינה,Deuteronomy 14:18
"Aderet Eliyahu, Re'eh 228",וכל שרץ העוף וגו',Deuteronomy 14:19
"Aderet Eliyahu, Re'eh 229",כל עוף טהור תאכלו,Deuteronomy 14:20
"Aderet Eliyahu, Re'eh 230",לא תאכלו כל נבלה לגר אשר בשעריך תתננה,Deuteronomy 14:21
"Aderet Eliyahu, Re'eh 231",לא תבשל גדי,Deuteronomy 14:21
"Aderet Eliyahu, Re'eh 232",בחלב אמו,Deuteronomy 14:21
