book; chapter; name; mishna count; description
מעשר_שני;1;מַעֲשֵׂר שֵׁנִי (אין מוכרין אותו);7;
מעשר_שני;2;מַעֲשֵׂר שֵׁנִי (ניתן לאכילה);10;
מעשר_שני;3;לֹא יֹאמַר;13;
מעשר_שני;4;הַמּוֹלִיךְ פֵּרוֹת;12;
מעשר_שני;5;כֶּרֶם רְבָעִי;15;
חלה;1;חֲמִשָּׁה דְּבָרִים;9;
חלה;2;פֵּרוֹת;8;אופן הפרשת החלה.
חלה;3;אוֹכְלִין;10;דיני מעילה בחלה.
חלה;4;שְׁתֵּי נָשִׁים;11;צירוף עיסות, ודיני נתינה לכוהן.
ערלה;1;הַנּוֹטֵעָ;9;
ערלה;2;הַתְּרוּמָה;17;עוסק בדיני תערובת
ערלה;3;בֶּגֶד;9;עוסק באיסור הנאה של ערלה ובמשנה האחרונה בתחולת ערלה,   ו  ב  ומחוצה לה.
ביכורים;1;יֵשׁ מְבִיאִין;11;
ביכורים;2;הַתְּרוּמָה;11;
ביכורים;3;כֵּיצַד;12;
ביכורים;4;אנדרוגינוס  (רק בתוספתא);5;
שבת;1;יְצִיאוֹת הַשַׁבָּת;11;
שבת;2;בַּמֶּה מַדְלִיקִין;7;דיני ה  וה  הכשרים להדלקת  , דיני   ודיני ערב שבת  .
שבת;3;כִּירָה;6;דיני בישול בשבת ודיני  .
שבת;4;בַּמֶּה טוֹמְנִין;2;דיני  .
שבת;5;בַּמֶּה בְהֵמָה;4;דיני הכלים ש  יוצאת ולא יוצאת בהם ל .
שבת;6;בַּמָּה אִשָּׁה;10;דיני   ואביזרים שונים, שאשה ואיש יוצאים ולא יוצאים בהם לרשות הרבים.
שבת;7;כְּלָל גָּדוֹל;4;דיני חיוב   על   ב , לט מלאכות שבת ודיני הוצאה מרשות לרשות.
שבת;8;הַמּוֹצִיא יַיִן;7;דיני שיעורים בהוצאה מרשות לרשות.
שבת;9;אָמַר רַבִּי עֲקִיבָא;7;סדרת   הפותחות במניין בנושאים שונים,   ודיני הוצאה מרשות לרשות.
שבת;10;הַמַּצְנִיעַ;6;דיני הוצאה מרשות לרשות, מלאכות שונות של טיפוח הגוף ודיני תלישה.
שבת;11;הַזּוֹרֵק;6;דיני זריקה והושטה מרשות לרשות.
שבת;12;הַבּוֹנֶה;6;דיני ה , מלאכות חקלאיות שונות ודיני ה .
שבת;13;הָאוֹרֵג;7;דיני ה  וה .
שבת;14;שמנה שרצים;4;דיני החובל, הכנת ואכילת מאכלים שונים בשבת, דיני   בשבת.
שבת;15;אֵלּוּ קְשָׁרִין;3;דיני הקושר והמתיר, וקיפול הבגדים.
שבת;16;כָּל כִּתְבֵי;8;דיני שריפה בשבת, שבות ו ,
שבת;17;כָּל הַכֵּלִים;8;דיני טלטול כלים בשבת.
שבת;18;מְפַנִּין;3;דיני טלטול חומרים, הנעת בעלי חיים וילדים, ילוד בהמות ונשים.
שבת;19;רַבִּי אֱלִיעֶזֶר דְּמִילָה;6;דיני   בשבת ובכלל.
שבת;20;תּוֹלִין;5;דיני סינון, השריה, טיפול בקש ושימוש במכבש.
שבת;21;נוֹטֵל;3;דיני טלטול שונים ופינוי פסולת.
שבת;22;חָבִית;6;דיני מלאכת  , מלאכת  ,   ועוד דינים נוספים.
שבת;23;שׁוֹאֵל;5;דיני מסחר והעסקה בשבת, דיני טיפול במת בשבת.
שבת;24;מִי שֶׁהֶחְשִׁיךְ;5;דינים שונים.
עירובין;1;מָבוֹי;10;
עירובין;2;עוֹשִׂין פַּסִּין;6;
עירובין;3;בַּכֹּל מְעָרְבִין;9;
עירובין;4;מִי שֶׁהוֹצִיאוּהוּ;11;
עירובין;5;כֵּיצַד מְעַבְּרִין;9;
עירובין;6;הַדָּר;10;
עירובין;7;חָלוֹן;11;
עירובין;8;כֵּיצַד מִשְׁתַּתְּפִין;11;
עירובין;9;כָּל גָּגּוֹת;4;
עירובין;10;הַמּוֹצֵא תְּפִילִּין;15;
פסחים;1;אוֹר לְאַרְבָּעָה עָשָׂר;7;
פסחים;2;כָּל שָׁעָה;8;
פסחים;3;אֵלּוּ עוֹבְרִין;8;
פסחים;4;מְקוֹם שֶׁנָּהֲגוּ;9;
פסחים;5;תָּמִיד נִשְׁחָט;10;
פסחים;6;אֵלּוּ דְּבָרִים;6;
פסחים;7;כֵּיצַד צוֹלִין;13;
פסחים;8;הָאִשָּׁה;8;
פסחים;9;מִי שֶׁהָיָה;11;
פסחים;10;ערבי פסחים נקרא גם "ערב פסחים";9;
שקלים;1;בְּאֶחָד בַּאֲדָר;7;
שקלים;2;מְצָרְפִין שְׁקָלֶים;5;
שקלים;3;בִּשְׁלֹשָׁה פְּרָקִים;4;
שקלים;4;הַתְּרוּמָה;9;
שקלים;5;אֵלּוּ הֵן הַמְמֻנִּין;6;
שקלים;6;שְׁלֹשָׁה עָשָׂר שׁוֹפָרוֹת;6;
שקלים;7;מָעוֹת שֶׁנִּמְצְאוּ;7;
שקלים;8;כָּל הָרֻקִּין;8;
יומא;1;שִׁבְעַת יָמִים;8;
יומא;2;בָּרִאשׁוֹנָה;7;עוסק בקורבן התמיד של השחר.
יומא;3;אָמַר לָהֶם הַמְּמֻנֶּה;11;עוסק בתחילת עבודת היום.
יומא;4;טָרַף בַּקַּלְפִּי;6;עוסק בהגרלת שני השעירים ובוידויו של הכהן הגדול.
יומא;5;הוֹצִיאוּ לוֹ;7;עוסק בהקטרת הקטורת בקודש הקודשים והזאת הדמים.
יומא;6;שְׁנֵי שְׂעִירֵי;8;עוסק בשילוח השעיר לעזעזל.
יומא;7;בָּא לוֹ כֹּהֵן גָּדוֹל;5;עוסק בסיום עבודת היום.
יומא;8;יוֹם הַכִּיפּוּרִים;9;דן בחמישה עינויים שיש להתענות ביום הכיפורים: שתייה ואכילה, סיכה, רחיצה, נעילת הסנדל ותשמיש המיטה. בנוסף עוסק הפרק בענייני תשובה. זהו למעשה הפרק היחיד במסכת אשר מתאר את יום הכיפור כפי שהוא מוכר לנו היום.
סוכה;1;סֻכָּה;11;
סוכה;2;הַיָּשֵן תַּחַת הַמִּטָּה;9;
סוכה;3;לוּלָב הַגָּזוּל;15;
סוכה;4;לוּלָב וַעֲרָבָה;10;
סוכה;5;הֶחָלִיל;8;
ביצה;1;בֵּיצָה;10;
ביצה;2;יוֹם טוֹב;10;– פרק זה עוסק בהלכות יום טוב שחל בערב שבת. מלאכות אוכל נפש מותרות ביום טוב עצמו לצורכי אותו יום, אך אסור להכין מיום טוב אוכל לשבת שבאה אחריו.
ביצה;3;אֵין צָדִין;8;– הפרק השלישי עוסק בהלכות ציד ביום טוב. הוא גם דן במקרים מיוחדים בהם נכנס בעל חיים כשר לביתו של אדם, האם ובאילו תנאים האדם יכול להחזיק בעל חיים זה.
ביצה;4;הַמֵּבִיא;7;– הפרק הרביעי, עוסק בתחילתו באיזה עצים מותר לקחת להסקה בשבת. בהמשך הפרק מדובר על איסורים החלים ביום טוב.
ביצה;5;מַשִּׁילִין;7;– הפרק החמישי והאחרון, עוסק בקדושת החגים וקובע שההבדל היחיד בין יום טוב לשבת הוא רק במלאכות הקשורות באוכל נפש, כלומר מלבד העיסוק בהכנת אוכל ביום טוב, שאסור בשבת, כל איסורי השבת חלים אף ביום טוב.
ראש_השנה;1;FAILED TO PARSE
ראש_השנה;2;אִם אֵינָן מַכִּירִין;9;ממשיך בהלכות קידוש החודש ובדרכים בהם הודיעו לכל העולם היהודי לגבי הקביעה של ראש חודש.
ראש_השנה;3;רָאוּהוּ בֵּית דִּין;8;
ראש_השנה;4;יוֹם טוֹב;9;עוסק בהלכות  , בין השאר בסדר התפילות של ראש השנה וסדר התקיעה בשופר, מאיזה חיה צריך לקחת את הקרן, מה פוסל את הקרן מלהיות שופר והאם תוקעים בשופר בשבת.
תענית;1;מֵאֵימָתַי;7;‏  – הזכרה ושאלה של גשמים בתפילה ותעניות שגוזרים אם לא ירדו גשמים.
תענית;2;סֵדֶר תַּעֲנִיּוֹת כֵּיצַד;10;– דיני התענית: מה עושים ביום התענית? מה אסור לעשות? מי מתענה? עד מתי? באילו ימים לא גוזרים תענית?
תענית;3;סֵדֶר תַּעֲנִיּוֹת אֵלּוּ;9;– על אילו צרות מתענים?
תענית;4;בִּשְׁלֹשָׁה פְּרָקִים;8;– דיני מעמדות, תאריכים שאירעו בהם אסונות לעם ישראל ונושאים נוספים.
מגילה;1;מְגִלָּה נִקְרֵאת;11;‏   עוסק בעיקר בזמני קריאת  . חציו השני הוא אוסף משניות בנושאים שונים המתחילות במילים אין בין.... בסוף הפרק בתלמוד הבבלי ישנן דרשות רבות על פסוקי המגילה.
מגילה;2;הַקּוֹרֵא לְמַפְרֵעַ;6;עוסק בהלכות קריאת מגילה.
מגילה;3;בְּנֵי הָעִיר;6;‏   עוסק בקדושת ודיני מכירת   והלכות  .
מגילה;4;הַקּוֹרֵא עוֹמֵד;10;עוסק בהלכות  , עליה לתורה ו .
מועד_קטן;1;מַשְׁקִין בֵּית הַשְׁלָחִין;10;‏   פרק זה וכן הבא אחריו עוסקים בפרטי הלכות  .
מועד_קטן;2;מִי שֶׁהָפַךְ;5;
מועד_קטן;3;וְאֵלּוּ מְגַלְּחִין;9;עוסק בדיני  .
חגיגה;1;הַכֹּל חַיָּבִין;8;
חגיגה;2;אֵין דּוֹרְשִׁין;7;– עוסק בהרחבה ב  ו  וכן ב  על תנאים שעסקו בסתרי תורה ( , ועוד). סוף הפרק עוסק בדיני  .
חגיגה;3;חֹמֶר בַּקֹדֶשׁ;8;– עוסק בהבדלים בין קודש לתרומה.
יבמות;1;חֲמֵשׁ עֶשְׂרֵה נָשִׁים פוטרות צרותיהן;4;‏   מניין הנשים שאם היו נשואות לאחיו שמת בלא בנים, אין דין ייבום חל עליהן או על שאר נשי אחיו המת.
יבמות;2;כֵּיצַד אשת אחיו שלא היה בעולמו;10;המשך של הנושא מהפרק הקודם, פירוט סוגים שונים של יבמות ודיניהן,   שנולדים בדיני ייבום ואיסור נישואין מחמת חשד זנות.
יבמות;3;אַרְבָּעָה אַחִין;10;דיני יבמה שיש לה קשר עם כמה יבמים וספק   ו .
יבמות;4;הַחוֹלֵץ לִיבִמְתּוֹ;13;חליצה בטעות, דיני נכסי האח המת, איסור קרובות החלוצה על החולץ, דיני המתנת נשים לפני שינשאו שנית והגדרת  .
יבמות;5;רַבָּן גַּמְלִיאֵל אומר;6;דיני   ו , וכיצד הם מועילים ביבמה.
יבמות;6;הַבָּא עַל יְבִמְתּוֹ;6;דיני ביאת היבם על יבימתו וכיצד היא נקנית, דיני העראה בשאר נשים, דיני יבמות של   ו  ודיני מצוות  .
יבמות;7;אַלְמָנָה לְכֹהֵן גָּדוֹל;6;דיני אכילת אשת כהן   ב .
יבמות;8;הֶעָרֵל וכל הטמאים;6;דיני  ,  ,  ,   ו  לעניין   ולעניין אכילת  .
יבמות;9;יֵשׁ מֻתָּרוֹת לבעליהן;6;דיני נשים האסורות על הבעל או היבם לעניין ייבום,   ואכילת תרומה.
יבמות;10;הָאִשָּׁה שהלך בעלה למדינת הים;9;דיני אשה שנישאה אחר ששמעה שמת בעלה ונמצא חי, ודינים נוספים לעניין טעות של   על אדם שמת.
יבמות;11;נוֹשְׂאִין עַל הָאֲנוּסָה;7;איסורי ביאה ודיני וולד שלא יודעים בן מי הוא.
יבמות;12;מִצְוַת חֲלִיצָה בשלושה דיינין;6;דיני ופרטי פעולת ה .
יבמות;13;בֵּית שַׂמַּאי אומרים;13;דיני  , דיני הנשוי   ודיני יבמה שאינה רוצה להתייבם מסיבות שונות.
יבמות;14;חֵרֵשׁ שֶׁנָּשָׂא פקחת;9;דיני חרש וחרשת לעניין נישואין, גירושין וייבום.
יבמות;15;הָאִשָּׁה שהלכה;10;דיני נאמנות האשה לומר שמת בעלה.
יבמות;16;הָאִשָּׁה שהלך בעלה וצרתה;7;דיני אשה שמת בעלה בחוץ לארץ אם חוששים שחייבת ייבום ודיני עדות על אדם שמת.
כתובות;1;בְּתוּלָה נִשֵּׂאת ליום הרביעי;10;
כתובות;2;הָאִשָּׁה שֶׁנִּתְאַרְמָלָה;10;דיני  , דיני  .
כתובות;3;אֵלּוּ נְעָרוֹת שיש להן קנס;9;דיני  .
כתובות;4;נַעֲרָה שֶׁנִּתְפַּתָּתָה;12;דיני  .
כתובות;5;אַף עַל פִּי שאמרו;9;דיני  .
כתובות;6;מְצִיאַת הָאִשָּׁה;7;דיני ממונות בין האיש לאשתו.
כתובות;7;הַמַּדִּיר את אשתו;10;דיניהם של איש ואשה המדירים הנאה זה מזה. מסופר, כי הפרק היה תמיד שגור על לשונו של האמורא המפורסם  ‏ .
כתובות;8;הָאִשָּׁה שֶׁנָּפְלוּ לה נכסים;8;דיני  .
כתובות;9;הַכּוֹתֵב לְאִשְׁתּוֹ;9;דיני קניין  .
כתובות;10;מִי שֶׁהָיָה נָשׂוּי שתי נשים;6;דיני גביית הכתובה, בפרק גם מופיעה הסוגיא המפורסמת  .
כתובות;11;אַלְמָנָה נִזּוֹנֶת מנכסי יתומים;6;דיני גביית מזונות האלמנה וכתובתה, ודיני אלמנה ודיינים שטועים, ודיני אלו שאין להם כתובה.
כתובות;12;הַנּוֹשֵׂא אֶת הָאִשָּׁה;4;דיני מזונות בת אשתו ומדור האלמנה.
כתובות;13;שְׁנֵי דַּיָּנֵי גזירות;11;הלכות שנאמרו על ידי שני דייני גזירות שהיו בירושלים:   ו . פרק זה נשנה במסכת זו שכן חלק מהלכותיו שנויות במסכת.
נדרים;1;כל כנויי נדרים;4;‏  הבהרת דרכי לשון הנדר, המבטא בלשונו את כינויי הנדר והתפסת הנדר.
נדרים;2;ואלו מותרין;5;המשך דיני התפסת וחלות הנדר, הבדלים בין נדרים לשבועות ודוגמאות לחומרה שיש בנדרים עפ שבועות.
נדרים;3;ארבעה נדרים התירו חכמים;11;ארבע המשניות הראשונות עוסקות בנדרים שמבחינת לשונם נדרים גמורים הם אלא שהתירו אותם חכמים כי הוכח שליבו של הנודר לא רצה בהיתכנות הנדר. בהמשך עוס הפרק בנדרי הקדש והנודר שלא להנות מבני אדם מסוג כלשהו  בסוף משנה יא ישנם קטעי אגדה על חשיבותה של מצוות המילה.
נדרים;4;אין בין המודר;8;דיני המודר הנאה מחברו.
נדרים;5;השותפין שנדרו;6;המשך דיני הנודר הנאה מחברו.
נדרים;6;הנודר מן המבושל;10;חזרה לבירור משמעות הנדרים עב הכלל ההלכתי בנדרים הולכים אחרי לשון בני אדם.
נדרים;7;הנודר מן הירק;9;המשך עיסוק בלשון נדרים: הנודר הנאה מירק, בגדים, בית, מיטה, פירות ולבסוף הנאה מעשה אשתו ומעשי ידיה.
נדרים;8;קונם יין שאני טועם;7;נדרים שיש בהם הגבלה של זמן  מה פירושם בלשון בני אדם? הלכות אחרות בהן הולכים אחרי כוונת הנודר.
נדרים;9;רבי אליעזר אומר;10;דיני התרת נדרים  במה פותחים פתח להתרת הנדר. דיני נדר שהותר מקצתו הותר כולו. נדר שגגה (הנודר בדבר שחשב שהוא אמת והתברר למפרע שאינו אמת).
נדרים;10;נערה המאורסה;8;דיני   של אב לבתו (כל עוד היא במעמד של בנעוריה בית אביה), של גבר לאשתו, זכותו של היבם להפר את נדרי יבמתו בעודה שומרת יבם, הפרת בעל את נדרי אשתו שתדור לעתיד וזמני הפרת הנדר.
נדרים;11;ואלו נדרים שהוא מפר;12;המשך דיון ב , חזרה‏  לדיני המופר הנאה מחברו, דיני תשע נערות שנדריהן קיימין והמתנה את נדרה.
נזיר;1;כל כנויי נזירות כנזירות;7;‏  ידות וכינויי נזירות, סוגי נזירים, נזירות לזמן קצוב וסוגים שונים של נזיר עולם.
נזיר;2;הריני נזיר מן הגרוגרות;10;כינויי קבלת נזירות שונים, המקבל על עצמו נזירות חלקית, השומע את חברו שקיבל על עצמו נזירות, נזירות עקב התנאה עתידית.
נזיר;3;מי שאמר הריני נזיר;7;דיני גילוח הנזיר בסיום תקופת נזירותו, מי שנדר נזירות לשתי תקופות, היטמאות נזיר ביום נזירותו האחרון, הנודר נזירות בבית הקברות ובחול ומחלוקות עדים על התקופות שנזר.
נזיר;4;מי שאמר הריני נזיר ושמע חברו;7;קבלת נזירות בהתפסה, דיני אישה שנזרה ונזירוּת שבטלה.
נזיר;5;בית שמאי אומרים;7;מחלוקת בית שמאי ובית הלל בהקדש טעות, מי שנזר ונגנבה בהמתו, מחלוקת בית שמאי ובית הלל בגזירת טעות והנודר נזירות זר על בסיס מהותו של  .
נזיר;6;שלשה מינין אסורין בנזיר;11;דיני האיסור של נזיר: הגפן, הגילוח והטומאה  דיני טומאת הנזיר.
נזיר;7;כהן גדול ונזיר;4;דיני איסור טומאת מת בנזיר, על אלו טומאות הוא מגלח (וסותר את תקופת נזירותו) ועל אלו טומאות לא.
נזיר;8;שני נזירים;2;שני נזירים שנולד להם ספק טומאה וספק טומאה בנזיר.
נזיר;9;הגויים אין להם נזירות;5;מי יכול לקבל על עצמו נזירות ונזיר שגילח ונודע לו שהוא טמא. במשנה ב התברר הכלל ההלכתי: שרגליים לדבר ומשניות גד מביאות מקרים נוספים עב כלל זה. המסכת מסיימת במחלוקת תנאים אם   היה נזיר.
סוטה;1;המקנא לאשתו;9;‏  דיני קינוי וסתירה, העלאת הסוטה לבית המקדש, אגדות בדבר  .
סוטה;2;היה מביא;6;דיני מנחת הסוטה, כתיבת המגילה, שבועת הסוטה.
סוטה;3;היה נוטל;8;הקרבת מנחת הסוטה, השקאת הסוטה, מחיית המגילה ובדיקת המים את הסוטה. במשנה ו חוזרת המסכת למנחת הסוטה ועוסקת בין השאר בהבדלים בין כהן לכהנת ומתוך דיון זה מפרטת הבדלים שבין איש לאישה בכלל.
סוטה;4;ארוסה ושומרת יבם;5;דיני הסוטה בארוסה ושומרת יבם ונשים שאינן שותות או נוטלות את כתובתן, אשת כהן וקינוי בית דין.
סוטה;5;כשם שהמים בודקין אותה;5;בדיקת המים את האיש, משניות המתחילות בביטוי בו ביום .
סוטה;6;מי שקינא לאשתו;4;חזרה לדיני עדות בסוטה.
סוטה;7;אלו נאמרין בכל לשון;8;החל מפרק זה ועד סוף המסכת עוסקות המשניות בדברים הטעונים אמירה שיש מהן שנאמרים בכל לשון ויש שנאמרים אלא בלשון הקודש (דוגמת דברי כהן משוח מלחמה שיפורטו בפרק ח ופרשת עגלה ערופה שתפורט בפרק ט). עניינים אלו הובאו במסכתנו על מנת ללמד שפרשת סוטה נאמרת בכל לשון.
סוטה;8;משוח מלחמה;7;דברי כהן משוח מלחמה ודיני מלחמה שונים.
סוטה;9;עגלה ערופה;15;ביאור פרטי הדינים של פרשת  .
גיטין;1;המביא גט ממדינת הים;6;‏   דיני שליחות גט ממדינת הים, והקשר בין גיטין לשטרות שחרור  .
גיטין;2;המביא גט ממדינת הים   ואמר;7;סיום   ממדינת הים, דיני כתיבת וחתימת הגט ו  הבאה.
גיטין;3;כל גט   שנכתב;8;דיני כתיבת הגט  , שליח גט שחלה, ו .
גיטין;4;השולח גט לאשתו;9;דיני ביטול שליח, ודינים שנאמרו מפני תיקון העולם.
גיטין;5;הניזקין שמין להם בעידית;9;עוד דינים מפני תיקון העולם ומפני  .
גיטין;6;האומר התקבל גט זה לאשתי;7;עוד דיני שליחים בגט: לכתיבה, חתימה, הולכה וקבלה.
גיטין;7;FAILED TO PARSE
גיטין;8;הזורק גט לאשתו;10;דיני קבלת הגט, גט ישן, נשים שחובה לגרשן וגט קרח.
גיטין;9;המגרש את אשתו;10;דיני גירושין לחצאין,   בגט, ועילות לגירושין.
קידושין;1;האשה נקנית בשלוש דרכים;10;
קידושין;2;האיש מקדש בו ובשלוחו;10;דיני שליחות בקידושין, קידושי טעות.
קידושין;3;האומר לחברו צא וקדש לי;13;המשך דיני קידושין, קידושין על תנאי, קידושי קטנה, יחוסו של הוולד ודרכי טיהורו של ממזר.
קידושין;4;עשרה יוחסין עלו מבבל;14;ענייני היחוסין ונישואיהם, נאמנות אדם לפסול את בנו ודיני יחוד.
בבא_קמא;1;ארבעה אבות נזיקים;4;‏     ודינים כללים בהלכות  .
בבא_קמא;2;כיצד הרגל מועדת;6;דינים באבות הנזיקין   ואדם המזיק, תמות ומועדות בנזקי  .
בבא_קמא;3;המניח כד ברשות הרבים;11;דיני אב הנזקין  , דיני אדם הנתקל במכשול ב , דיני אדם שנתקל באדם אחר ברשות הרבים וגרם לו נזק, ( ) דיני תשלומי קרן תמה ומועדת, והכלל  .
בבא_קמא;4;שור שנגח ארבעה וחמישה;9;תמות ומועדות בנזקי קרן, דינים שונים בחיוב תשלומים על נזקי  , דיני שור היוצא ל  על שהרג אדם ודיני השמירה הנצרכת על בעלי חיים.
בבא_קמא;5;שור שנגח את הפרה;7;דיני נזקים שנעשו ברשות האדם שהוא או רכושו הזיקו, דיני   ודיני בור.
בבא_קמא;6;'ה כונס צאן לדיר;6;דיני חיוב השמירה של האדם על רכושו העלול להזיק, ודיני אב הנזיקין אש.
בבא_קמא;7;מרובה מידת תשלומי כפל;7;דיני  ,   ו .
בבא_קמא;8;החובל בחברו;7;דיני 5 התשלומים שמשלם האדם החובל בחברו  נזק, צער, שבת, בושת וריפוי.
בבא_קמא;9;הגוזל עצים ועשאן כלים;12;דיני תשלומי ה , בעל מלאכה שקלקל, ודיני הגוזל חבירו ונשבע לו לשקר.
בבא_קמא;10;הגוזל ומאכיל את בניו;10;דינים שונים בגזלן ובגזילה.
בבא_מציעא;1;FAILED TO PARSE
בבא_מציעא;2;אלו מציאות שלו;11;– הלכות  .
בבא_מציעא;3;המפקיד אצל חברו;12;– דיני פקדון.
בבא_מציעא;4;הזהב קונה את הכסף;12;התייחסות לשערי מטבעות, דיני ממון חריף וממון שאינו חריף והיחס ביניהם, דיני  .
בבא_מציעא;5;איזהו נשך;11;– הלכות  .
בבא_מציעא;6;השוכר את האומנין;8;– דיני שכירות, פועל שביטל עבודה שהוזמנה.
בבא_מציעא;7;השוכר את הפועלים;11;– חובות מעביד לפועליו. בגמרא יש הרחבה על דמותו של רבי אלעזר בנו של רשבי והרחבה על דמותם של רבי יוחנן וריש לקיש.
בבא_מציעא;8;השואל את הפרה;9;– שואל ומשאיל וענייני שכירות בתים
בבא_מציעא;9;המקבל שדה מחבירו;13;ענייני קבלנות, אריסות, חכירות ומצרנות. כמו כן עוסק הפרק בדיני פרעון, שכר שכיר ודיני הבא למשכן את חברו.
בבא_מציעא;10;הבית והעלייה;6;– נושא פרק זה הוא שותפות, המשך לנושא זה יש בפרק הראשון במסכת הבאה במשנה ( ).
בבא_בתרא;1;השותפין שרצו לעשות מחיצה;6;‏   הפרק עוסק בהלכות חלוקת שותפות, מחיצה בין חצרות ( ) ועוד. בתלמוד עוסק הפרק גם במצוות צדקה, בזהותם של כותבי ה  ועוד.
בבא_בתרא;2;לא יחפור אדם בור;14;הפרק עוסק בנזקי שכנים.
בבא_בתרא;3;חזקת הבתים;8;הפרק עוסק בהלכות   ו  במקרקעין. בתלמוד עוסק הפרק בכללים יסודיים בדיני טוען ונטען, כגון הלכות  ,   ועוד. בפרק גם סוגיות הלכתיות מפורסמות, כמו   ו .
בבא_בתרא;4;המוכר את הבית;9;פרק זה והשלושה שאחריו עוסקים בהלכות מכירה של בתים, חצרות, ספינות, שדות, בהמות, תבואה ועוד.
בבא_בתרא;5;המוכר את הספינה;11;
בבא_בתרא;6;המוכר פירות לחבירו;8;
בבא_בתרא;7;האומר לחבירו בית כור;4;דיני מכירה, כאשר לשון המכירה מתפרש למשמעויות סותרות, כגון האומר לחבירו מידה בחבל (כלומר מידה מדויקת) הן חסר הן יתר (כלומר מידה משוערת) אני מוכר לך, וכדומה.
בבא_בתרא;8;יש נוחלין ומנחילין;8;פרק זה עוסק בדיני ירושות, בין השאר בירושת הבת, בכור ובעל היורש את אשתו.
