Quoting Book,Quoting Ref,Quoted Book,Quoted Ref,Snippet
Alshich on Torah,"Alshich on Torah, Genesis 6:9:12",Sanhedrin,,") שלא נזקקו לשאינן מינן. הנה בדין היו זוכים להנצל גם לפי מדה""ד וז"
Alshich on Torah,"Alshich on Torah, Genesis 6:9:20",Kiddushin,," כי הלא מי שאין לו עונות ועושה מצוה א' כדאי הוא לינצל. כמאמר התנא (קדושין דף ל""ט) כל העושה מצוה אחת מטיבין לו ומאריכין לו את ימיו ונוחל את הארץ כ"
Alshich on Torah,"Alshich on Torah, Genesis 6:9:23",,,) שהיה כחבוש בבית האסורין צועק ואומר לפניו ית'. הוציאה ממסגר נפשי
Alshich on Torah,"Alshich on Torah, Genesis 6:19:2",,," להחיות. לומר כדי שיהיה כל מין למינו צריך יבאו אליך. והוא הידוע מרז""ל (סנהדרין דף קי""א) שלא נכנסו בתיבה רק אשר דבקו במינן ולא אשר נזקקו לשאינן מינן. וז"
Alshich on Torah,"Alshich on Torah, Genesis 8:7:1",Sanhedrin,," חוץ לתיבה ימותו. ויצא. אך לא לגמרי רק יצא ושב על בת זוגו. כמשז""ל (סנהדרין דף ק""ח) כי מקנא היה. או יאמר שכן עשה שעד יבשת המים ויצאו מן התיבה. היה "
Alshich on Torah,"Alshich on Torah, Genesis 8:19:1",,,") (ב""ר פ' ל""ג) והוא אומרם. כי מהיכן ידע נח ענין ההקרבה. שהבין רצו"
Alshich on Torah,"Alshich on Torah, Genesis 8:21:2",Sanhedrin,,") כ""מ שאתה מוצא ישיבה לאכול עושה רושם. וישבו לאכול וימכרו את יוסף"
Alshich on Torah,"Alshich on Torah, Genesis 9:23:1",,," שאומר ראו. חוזר אל פניהם הנזכר. ותצדק בהם ראייה כד""א בלשון רז""ל (ברכות דף כ""ה) לבו רואה את הערוה. והוא כי הלא צדיקים היו וצלם אלהים על פניהם. "
Alshich on Torah,"Alshich on Torah, Genesis 12:2:2",,,"ובמררש (גם בגמ' דפסחים דף קי""ז) ואעשך לגוי גדול אמר הקדוש ב""ה לאברהם קובע אני לך ברכה בי""ח. ואע"
Alshich on Torah,"Alshich on Torah, Genesis 13:7:1",Sanhedrin,,) האי תיגרא דמיא לבידקא דמיא כיון דרווח רווח. כי דרך הריב להתחיל 
Alshich on Torah,"Alshich on Torah, Genesis 15:2:2",Yoma,," וש""ת כי הלא המניח בעה""ז תלמוד הגון עולה לו במקום בן. ואליעזר ארז""ל (יומא כ""ח) שהיה דולה ומשקה מתורתו לאחרים זה איננו שוה לי כי אשר הוא בן משק"
Alshich on Torah,"Alshich on Torah, Genesis 17:17:2",Bava Metzia,,) כי פסח היה. או שיעור הכתובים אבל שרה דוקא יולדת מה שיהיה לך בן.
Alshich on Torah,"Alshich on Torah, Genesis 18:7:1",,,"ואל הבקר רץ כו'. הנה ארז""ל (ב""מ דף פ""ו) כי ג' בהמות שחט. בן בקר. וגם רך. וגם טוב. להאכילם ג' לשונות בחר"
Alshich on Torah,"Alshich on Torah, Genesis 19:24:1",Chagigah,," גבולה להורות כי יד ה' עליהם חזקה. או יאמר כמ""ש ז""ל פ' אין דורשין (חגיגה דף י""ב) כי מכון הוא רקיע ששם אוצרות שלג וברד וקיטור וסערה וגו'. ובגמרא "
Alshich on Torah,"Alshich on Torah, Genesis 19:24:1",Sanhedrin,," או' מאת ה' מיותר וגם הל""ל מאתו כי כבר נזכר ה'. אך הנה אמרו רז""ל (סנהדרין דף ק""ד) כי אין דבר רע יוצא מלמעלה. אלא מתחלה יצא מטר ואח""כ נעשה גפרית ו"
Alshich on Torah,"Alshich on Torah, Genesis 19:27:1",Berakhot,," ועוד אומרו בהפוך כו' מי לא ידע בכל אלה. ולבא אל הענין נזכיר מז""ל (ברכות דף ו') כל הקובע מקום לתפלתו אלהי אברהם יהי' בעזרו. שנא' וישכם אברהם אל"
Alshich on Torah,"Alshich on Torah, Genesis 21:1:2",Rosh Hashanah,,") בר""ה נפקדה שרה וכו'. הנה ידוע כי יום מיוחד להיות הוא ית' וב""ד י"
Alshich on Torah,"Alshich on Torah, Genesis 21:6:4",,," לנערות'. וידעו הכל כי מה' יצא הדבר לקיים אשר דבר לאברהם. ולמשז""ל (פסחים קי""ט) ביום הגמל. ביום ה' ג' מל שהוא ביום השמיני שנמול בו. יתכן דאפקיה"
Alshich on Torah,"Alshich on Torah, Genesis 21:14:1",Berakhot,," ועכ""ז גם זכותך הגר תעמיד לו להקימו מחליו. כי קומי שאי וכו' כענין (ברכות דף ה') הב לי ידך ואוקמיה מהיסורין. כן קומי שאי כי טרם ישתה מים יקום על"
Alshich on Torah,"Alshich on Torah, Genesis 23:1:1",Rosh Hashanah,," תיקון העולם שהיתה מתקנ' לקיימו כמדובר. (ב) על צרת עצמה ומה גם לרז""ל (ר""ה דף ט""ז) שעל שמסרה דין על אברהם חסרו מחייה ל""ג שנה. (ג) על הנוגע אל אברה"
Alshich on Torah,"Alshich on Torah, Genesis 24:28:1",Sotah,," והוא מעין מאמר אברהם לאורחיו כמשז""ל שהיה אומר בריכו למריה דהאי פיתא (סוטה דף י'). והיה מודיעם כי לא לו הוא כ""א לאל עליון. והיה נמשך מזה יחזיק לה"
Alshich on Torah,"Alshich on Torah, Genesis 24:32:1",,,"ויבא האיש וגו'. הוא מה שאמרו רז""ל (ב""מ דף צ""ב) על ונתתי עשב וגו' ואכלתם וגו. שנותנין תחלה מאכל לבהמה ואח""כ לפנ"
Alshich on Torah,"Alshich on Torah, Genesis 24:34:3",,,) היום יצאתי והיום באתי. ועל פי דרכו רמז למו כי לא היה הויכוח עם 
Alshich on Torah,"Alshich on Torah, Genesis 24:50:4",,," לו על מה זה הקדים הבן לאב. באומרו לבן ובתואל שעל זה יש מרז""ל אמרו (מ""ק דף י""ח) שהורה לבן רוע מוסר שקפץ בראש קודם לאביו על כן להשיב על הכל אמר "
Alshich on Torah,"Alshich on Torah, Genesis 24:51:2",,,"עוד יתכן כיוונו והוא כי הנה ארז""ל (כתובות דף נ""ו) שמכריזין למעלה בת פלוני לפלוני. ואין אומרים פלונית לפלוני או פל"
Alshich on Torah,"Alshich on Torah, Genesis 24:64:1",,," ותמר ותהיה הכוונה להורות כי לפי רוב צניעות האשה כן תפקד בבנים כענין (תהלים קכ""ב) אשתך כגפן פוריה בירכתי ביתך וזה יורה בזה כי ב' נתכסו בצעיף שהוא"
Alshich on Torah,"Alshich on Torah, Genesis 24:67:2",Shabbat,,) היא כבתה נרו של עולם תדליק את הנר היא שפכה דמו של עולם תשפך דמה
Alshich on Torah,"Alshich on Torah, Genesis 25:19:12",Yevamot,," יצחק אשה אחרת להטיל בה זוהמא והוא כי ויעתר יצחק כו' שהוא כמשז""ל (יבמות דף פ""ד) מאי לנכח אשתו הוא מתפלל בזוויות זה לא תתן לי בנים אלא מן הצדקת "
Alshich on Torah,"Alshich on Torah, Genesis 25:24:1",Berakhot,,"וימלאו כו'. הנה ארז""ל (ברכות דף ה') כאן הוא אומר וימלאו ימיה. ובתמר הוא אומר ויהי בעת לדתה. אלא שבת"
Alshich on Torah,"Alshich on Torah, Genesis 26:35:1",,,) על פסוק צופה רשע לצדיק ומבקש להמיתו אין לך יום שאין יצרו של אדם
Alshich on Torah,"Alshich on Torah, Genesis 26:35:1",I Samuel,, דמכרזי עלך ברקיעא הזהרו בפלוני ובתורתו הייתי מחטיא' וזה מאמר הכתוב (שמואל א' א') רגלי חסידיו ישמור והוא לתת טוב טעם כי אדרבה את הרשע היה ראוי לה
Alshich on Torah,"Alshich on Torah, Genesis 27:32:2",Nedarim,," שגם זרעו יזכו לברכה שהוא מספר צדיקים שבכל דור מזרע יעקב כמו שאז""ל (נדרים דף ל""ב) אין לך דור שאין בו שלשים צדיקים כמנין יהי""ה זרעך שיהיו זוכים לע"
Alshich on Torah,"Alshich on Torah, Genesis 28:5:2",,,) כי לא היו ללבן בנים כי אם בנות עד שבירך אותו אלהים לרגליו של יע
Alshich on Torah,"Alshich on Torah, Genesis 28:10:1",Chullin,," אומרו וילך חרנה אם כבר הלך לחרן איך אח""כ פגע במקום עד שהוצרכו (רז""ל חולין דף צ""א) לומר שאחרי היותו שם אמר עברתי על מקום שהתפללו אבותי ולא התפללתי"
Alshich on Torah,"Alshich on Torah, Genesis 28:10:3",Megillah,,") כי בן ס""ג שנה נתברך יעקב וי""ד שנה נטמן בבית מדרשו של שם ועבר הר"
Alshich on Torah,"Alshich on Torah, Genesis 28:13:6",Psalms,," שפע קדושת שכינה שהמרכבה העליונה שורה עליה. והשכינ' על המרכבה כענין (תהלי' מ""ה) רכב אלהים רבותים כו' ה' בם. שהוא בם ולא בהר סיני עצמו ועם כל זה"
Alshich on Torah,"Alshich on Torah, Genesis 28:15:1",Chullin,," הוא היה בלוז ונעתק הר המוריה ממקומו ובא אצלו שם כמו שכתבנו מרז""ל (חולין דף צ""ח) למעלה. לכן בהקיצו והוא חשב היה בלוז תמה אכן יש ה' במקום הזה בלו"
Alshich on Torah,"Alshich on Torah, Genesis 28:18:7",Lamentations,," בנוי וחרוב ובנוי ה' יראה הרי בנוי. אשר יאמר היום בהר הרי חרוב כד""א (איכה ד') על הר ציון ששמם ה' יראה הרי בנוי ומשוכלל לעתיד לבא. כד""א (תהלים"
Alshich on Torah,"Alshich on Torah, Genesis 28:20:3",Shabbat,," שיקרא אלהי יעקב וכן היה לו וזה שאמר הכתוב ויבא יעקב שלם כו' וארז""ל (שבת דף ל') שלם בגופו כו' שהוא בלתי חשוב כמת ושלם בממונו שאינו עני חשוב כמת"
Alshich on Torah,"Alshich on Torah, Genesis 29:32:1",Berakhot,,"ותהר לאה כו'. הנה ארז""ל (ברכות דף ז') שאמרה ראו מה בין בני לבן חמי. שהוא מכר את הבכורה וערער עליה וזה"
Alshich on Torah,"Alshich on Torah, Genesis 29:32:3",Berakhot,," דעת בעל העקידה שחשבו השבטים בהתקוממם על יוסף. וזה אחשוב כוונו רז""ל (ברכות כה) שבאה לשלול לאה. והוא כי הוקשה להם שאם על כי ראה ה' בעציה קראתו "
Alshich on Torah,"Alshich on Torah, Genesis 32:8:3",Berakhot,," הא'. ויודע כי רע ומר לב אחיו אז ויירא יעקב כו'. והנה בגמ' אמרו רז""ל (ברכות דף י') כי ר' פלוני שראה את תלמידו מתיירא. א""ל חטאה את כדכתיב פחדו בציו"
Alshich on Torah,"Alshich on Torah, Genesis 32:14:1",Chullin,," וגם נאמר לבלי צורך וגם מה ענין אומרו מן הבא בידו. והנה אמרו רז""ל (חולין דף צ""ו) שהם אבנים טובות ומרגליות ולמה לא פירש. וכן דחקו בפירושים אחרים "
Alshich on Torah,"Alshich on Torah, Genesis 33:6:2",,,) על פסוק בן פורת עלי עין. ששם עצמו יוסף בפני אמו בל יסתכל עשו בי
Alshich on Torah,"Alshich on Torah, Genesis 33:11:1",Chullin,,"קח נא כו'. ארז""ל (חולין דף קל""ז) על פסוק מלכי תרשיש ואיים מנחה ישיבו יביאו לא נאמר אלא ישיבו שאו"
Alshich on Torah,"Alshich on Torah, Genesis 34:13:5",,," בתנו אך הנה ידוע כי מולי אומות העולם עובדי ע""ג ערלים יקראו כענין (נדרים דף ל""ח) הנודר מן המולים וכו' כי הערלה דבקה בם. ובזה אמר אל תאמרו ימול ש"
Alshich on Torah,"Alshich on Torah, Genesis 35:1:3",Berakhot,,) כל הקובע מקום לתפלתו אלהי אברהם יהיה בעזרו שנא' וישכם אברהם כו'
Alshich on Torah,"Alshich on Torah, Genesis 35:10:1",Berakhot,," אומרו שמך יעקב הוא מיותר וכן אומרו יהיה שמך עד סוף פסוק. והנה ארז""ל (ברכות יב) לא שיעקב יעקר ממקומו וכו' וראוי לשים לב למה באברהם נתבטל שם אבר"
Alshich on Torah,"Alshich on Torah, Genesis 35:21:1",Shabbat,," יפסיק באומרו וישמע ישראל. והנה לבא אל הענין. נשית לב אל מאמרם ז""ל. (שבת דף נ""ה) שאמרו לא שכב חלילה כי אם שבלבל יצועי אביו שנתן לבלהה מקום רחל ל"
Alshich on Torah,"Alshich on Torah, Genesis 35:29:1",,," בעשו שלא חלק כבוד ליעקב שעל כן נאמר עשו ויעקב. והוא מאמרם ז""ל בגמרא (ב""ב דף י""ד) שמזה נלמד ואומרו שבע ימים מפורש ענינו סוף פ' חיי שרה בסייעתא דש"
Alshich on Torah,"Alshich on Torah, Genesis 37:5:2",,,") וש""ת האם נעלם ענין בלהה מיעקב שמזה מהביל כל החלום לז""א ואביו שמ"
Alshich on Torah,"Alshich on Torah, Genesis 37:18:2",Taanit,," שעת' ועל כן לא המיתוהו. אך לא יבצר כי בן מות הוא כענין ר' יוחנן (תענית דף כ""א) דעל דהוה קיימ' לה שעתא לא שדא מלאכ' ביה גוד'. וזהו הנה בעל החלו"
Alshich on Torah,"Alshich on Torah, Genesis 37:31:2",Genesis,," הדבר ועל כן לא יתכן יכלו לו הבעלי חיים. ולא נפלה חתיתו עליהם. כד""א (בראשית ט') ומוראכם כו' שהוא כמפורש למעלה על אשר לא השחית צלם אלהים מפניו'."
Alshich on Torah,"Alshich on Torah, Genesis 38:13:2",Sanhedrin,," האשה נגדוה כי לא ידעו כי בא ושכב עמה בלילה הוא וקרוב לזה אמרו רז""ל (סנהדרין דף ק""ט) באשת אדוני יוסף כי כל ישעה וכל חפץ. כי ידעה כי מיוסף עתיד לצאת "
Alshich on Torah,"Alshich on Torah, Genesis 38:25:2",,,"""ד) שכבר התחילה לישרף ועם כל זה לבלתי ביישו. לא אמרה לו דבר בפניו"
Alshich on Torah,"Alshich on Torah, Genesis 39:4:1",,,) שדברה תורה לשון נקיה אפי' אשתו שהוא הלחם שהזכיר היה עוזב ביד יו
Alshich on Torah,"Alshich on Torah, Genesis 39:6:2",,,) שראתה באצטגנינות שיוצא לה ממנו גדולה וטעתה שלא היה רק מבתה יאמר
Alshich on Torah,"Alshich on Torah, Genesis 39:6:7",,,"רות על פסוק חי ה' שכבי עד הבקר ארז""ל (סנהדרין דף ק""ט) א""ר ייסא ג' בא יצרן לתקפן ונזדרזו עליו כל אחד ואחד בשבועה ואלו "
Alshich on Torah,"Alshich on Torah, Genesis 39:10:4",,," כי את עצמו תפס אך לא לגמרי חלילה רק קרה לו כרב עמרם חסידא (במסכת תענית דף כ""ב) שפד' הרביה ויתנה בעלייתו ויצרו הביאו לעלות ליזקק לה וישם הסולם "
Alshich on Torah,"Alshich on Torah, Genesis 39:10:4",Berakhot,," א""ל מוטב אתבייש בעה""ז ולא בעה""ב והוא מאמר ר' יוחנן ב""ז לתלמידיו (ברכות דף כ""ח) יהי רצון שיהא מורא שמים עליכם כמורא ב""ו כו' כמבאור אצלנו בביאור"
Alshich on Torah,"Alshich on Torah, Genesis 41:10:3",Berakhot,," לנוכח ולא אמר קצפת וכן אומר השיב על כני ואותו תלה שעל כן אמרו רז""ל (ברכות דף נ""ה) שחוזר אל יוסף שהחלומות הולכים אחר הפה היה אפשר לפרש אומרו לאמר "
Alshich on Torah,"Alshich on Torah, Genesis 41:33:5",Berakhot,,") הרואה קנה בחלום יצפה לחכמה ובינה כד""א קנה חכמה קנה בינה. או כפש"
Alshich on Torah,"Alshich on Torah, Genesis 42:9:1",,,) שאמר לו כשם שאי אפשר באמך שכבר מתה כן אי אפשר בשאר ועל דרך זה א
Alshich on Torah,"Alshich on Torah, Genesis 42:9:3",Exodus,," ה' במקרא. (א) כלנו בני איש אחד נחנו. (ב) ונחנו מה כי תלינו עלינו (שמות י""ג). (ג) ונחנו מה לא עלינו תלונותיכם כי על ה' (שם). (ד) נחנו נעבור "
Alshich on Torah,"Alshich on Torah, Genesis 42:35:4",Bava Kamma,,) מת אחד מן המשפחה תדאג כל המשפחה שהוא כנופל אבן מקיר כי הקרובה א
Alshich on Torah,"Alshich on Torah, Genesis 43:2:2",,,) שאמרו הניחו לו לזקן כו'. וגם הוא חשב מחשבות לאמר אם מה שאומרים 
Alshich on Torah,"Alshich on Torah, Genesis 43:33:1",,," ואפשר לומר כי ראה יוסף את אחיו בפניו והכיר כי לא טעם טעם חטא כנודע (שבת דף נ""ה) כי הוא מד' שמתו בעטיו של נחש והראה מהם יתרונו בפניהם כי המה חטא"
Alshich on Torah,"Alshich on Torah, Genesis 45:4:3",Chullin,,) שעשה כן על כבוד אחיו שלא יחרפום בגרות: 
Alshich on Torah,"Alshich on Torah, Genesis 45:4:17",Shabbat,," חלילה מחלל בריתו ומטמאו בזימה. בשבטים לא יתחשב על דרך מאמר רז""ל (שבת דף נ""ה) על ראובן שנאמר בו וישכב את בלהה פלגש אביו וכו' ויהיו בני יעקב ש"
Alshich on Torah,"Alshich on Torah, Genesis 47:29:4",Sotah,," בתוך החצוניות גם עלה אל הגוף שעל ארונו היתה שכינה כמו שאמרו רז""ל (סוטה דף י""ג) שעל כן לא נגעו בארונו זולת בניו על הדר הדגלים כנודע גם בישרו בש"
Alshich on Torah,"Alshich on Torah, Genesis 48:1:1",,,) כי עד יעקב לא הוה חולשא שהיו בתחלה מתים בלי חולי. והיחל ביעקב ל
Alshich on Torah,"Alshich on Torah, Genesis 48:1:1",,," יחד יקרא קהל א'. אך אין זה רק ששבט א' יהיה לב' עמים. והנה ארז""ל (הוריות דף ו') כי אין בכורת יוסף רק לנחלת הארץ. אך לא ליחס כ""א בראובן כמפו' בד"
Alshich on Torah,"Alshich on Torah, Genesis 48:1:1",Shabbat,," חולי. והיחל ביעקב למען אשר יצוה את בניו. (ב) מה שקיימו וקבלו רז""ל (שבת דף י') שאומרו וישתחו ישראל על ראש המטה היא שכינה שנקראת ראש המטה. ונבא"
Alshich on Torah,"Alshich on Torah, Genesis 48:8:8",Berakhot,," הארץ אשר שם עיני הכל בהם ומה גם למ""ש המתרגם בגו בני אנשא. וכן בגמ' (דברכות דף כ') ר' יוחנן היה שם עצמו במקום שהיה הכל מסתכלים בו באומרו שמזרעא די"
Alshich on Torah,"Alshich on Torah, Genesis 50:2:1",Taanit,,"ויציו וכו'. והנה ארז""ל (תענית דף ה') כי יעקב אבינו לא מת ואיך נחנט. אך לזה נשית לב אל אומר את עבדיו "
Alshich on Torah,"Alshich on Torah, Genesis 50:4:1",,,"וידבר וכו'. הנה ידענו מרז""ל (סוטה דף ל""ו) כי השביע פרעה את יוסף שלא יגלה שלא ידע ל' הקודש פן יעבירוהו ממל"
Alshich on Torah,"Alshich on Torah, Exodus 1:1:18",,," היה לאדם מטרם תדבק הזוהמא בו למה שאחר כך. ועדיין צריך טעם לרז""ל (שבת ד' פ""ח) האומרי' שפסקה זוהמתן איך נטהרו יחד כלם ויתבאר במאמרינו בס""ד: "
Alshich on Torah,"Alshich on Torah, Exodus 2:2:1",,,) אומרים כי גרשה בעלה מחמת הגזרה. וכבר היתה מעוברת וכשהחזירה היה 
Alshich on Torah,"Alshich on Torah, Exodus 2:2:5",,," להצפינו בבית בלי פחד כי זכות תורה תעמוד לו. והוא כי הנה קיימו וקבלו (מגילה דף י""ג) כי ביום שביעי לאדר נולד משה נמצא כי מאז ועד יום מתן תורה ג' ירח"
Alshich on Torah,"Alshich on Torah, Exodus 2:4:1",,,"ותתצב אחותו וכו'. מהראו שיאמר מה יהיה מהנער. אך הנה ארז""ל (סוטה דף י""ב) שטרם יולד התנבאה ותאמר לאביה ולאמה הנה בן תלד אמי שיושיע את ישר"
Alshich on Torah,"Alshich on Torah, Exodus 2:10:2",Sotah,,") והוא פליאה וז""א תדעו למה קראתיו משה על דבר ההמשכה. וגם לא קראתי"
Alshich on Torah,"Alshich on Torah, Exodus 2:12:1",,,"ויפן כו'. הנה נקרא זה איש מצרי וזה איש עברי. וארז""ל (נדרים דף ס""ד) דהעברי היה דתן ויתכן אמר משה בלבו אולי יש חשיבות במצרי או מצדו "
Alshich on Torah,"Alshich on Torah, Exodus 3:11:2",,,) איך לא בטח שיצילהו ה' בלכתו בדרך מצותיו ית'. ואמרו היכא דשכיח ה
Alshich on Torah,"Alshich on Torah, Exodus 4:24:4",Genesis,," ישראל ומה גם לספר הזוהר שמאז הורד יוסף מצרימה ירדה שכינה עמו וז""א (בראשית ל""ח) ויהי ה' את יוסף לכך אותו ה' בלכתו בשליחותו ית' יצא ה' אשר היה ש"
Alshich on Torah,"Alshich on Torah, Exodus 6:2:2",Psalms,," ישלם טוב והנה ידענו כי הצדיקים מהפכים מדת הדין למדת רחמים כמד""א (תהלים ק""ג) ברוגז רחם תזכור והרשעים מהפכים מדת רחמי' למדת הדין כמד""א (בראשי"
Alshich on Torah,"Alshich on Torah, Exodus 7:25:1",,," הצפרדעים אסרס אתכם והוא מאמרם (שם פ""י) שהיו הצפרדעים מסרסים אותם שנא' (תהלים ק""ה) וצפרדע ותשחיתם כד""א (ויקרא כ""ב) כי משחתם בהם: "
Alshich on Torah,"Alshich on Torah, Exodus 10:21:1",,,) שלח חשך ויחשיך כו' שראוי לשום לב שמלת ויחשיך מיותרת וגם או' לא 
Alshich on Torah,"Alshich on Torah, Exodus 11:4:1",,," הזאת. יורה הפך הפעול שהיה בחצי הלילה. כאומרו ויהי בחצי כו' ארז""ל (ברכות דף ג') שחש משה פן יטעו המצרים בנקוד' חצי הלילה. ויאמרו כי לא היתה המכה"
Alshich on Torah,"Alshich on Torah, Exodus 11:4:5",,," והשופט כל הארץ יעשה משפט כי על כן נאמר חבי כמעט רגע כו' וכן ארז""ל (ב""ק דף ס') דבר בעיר כנס רגלך ואביי סכר כוי ואמרו בספר הזוהר (פרשה זו דף ל"""
Alshich on Torah,"Alshich on Torah, Exodus 12:1:4",Taanit,,") האי מאן דאית ליה תיגרא בהדי ע""ג לתבעי בניסן כו' ויהיה על ידי תש"
Alshich on Torah,"Alshich on Torah, Exodus 12:1:16",Taanit,," היצה""ר ואם כל זה לא יועיל לך נגדו וישיאך לחטא תעשה כרב עמרם חסידא (תענית דף כ""א) שהי' עולה בסולם לעליית שתי הבנות ולא היה יכול להעמיד עצמו ולחזו"
Alshich on Torah,"Alshich on Torah, Exodus 12:1:17",Sukkah,,") וזהו והיה לכם למשמרת כי צריך שימור עד זמן י""ד לחדש הזה לעתיד לב"
Alshich on Torah,"Alshich on Torah, Exodus 12:12:3",Sanhedrin,,) על פסוק הנה אנכי שולח מלאך לפניך כו' ובאמור הנה מלאכי ילך כו': 
Alshich on Torah,"Alshich on Torah, Exodus 12:12:4",,," ה' אני הוא ולא אחר הכוונה כי חש הוא יתברך בל יקרנו כמאמר הזקנים (ע""ז דף נ""ד) שאמר להם אותו האדון אם הקב""ה שונא הע""ג למה אינו מבטלה והשיב לו "
Alshich on Torah,"Alshich on Torah, Exodus 12:13:1",Ezekiel,," אין פחד כי הלא ידעו כי ע""כ ניתן בהם סימן לבל יגעו בהם וכענין הכ' (יחזקאל ז') והתוית תי""ו על מצחות האנשים כו' ואשר בו התי""ו אל תגעו לז""א אל י"
Alshich on Torah,"Alshich on Torah, Exodus 12:13:3",,," ומארצות קבצם כו'. וע""כ גם בדורות שאחריהם עושים מצות על זה כמאמר התנא (פסחים דף קי""ו) מצה זו שאנו אוכלים כו' על שום שלא הספיק בצקם של אבותינו להחמיץ "
Alshich on Torah,"Alshich on Torah, Exodus 12:13:4",,,") למה תלוי ירך הה""א רמז לבעלי התשובה שנכנסים מן הצד ומקשי וליעול "
Alshich on Torah,"Alshich on Torah, Exodus 12:13:5",,, יראה אור כי יהיה לו מעיר לעזור והוא רמז רמז לנו התנא באמת באמור (פסחים ד' א') אור לארבעה עשר בודקין את החמץ לאור הנר והוא כי כאשר השאור מחמיץ
